"Total.No..of.Electors.in.Assembly.Constituency...189643"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"237"	"131"	"17"	"14"	"38"	"327"	"29"	"4"	"3"	"432"	"0"	"432"	"0"	""
"238"	"131A"	"114"	"24"	"73"	"150"	"29"	"1"	"5"	"396"	"0"	"396"	"0"	""
"239"	"132"	"130"	"26"	"112"	"199"	"91"	"9"	"5"	"572"	"0"	"572"	"0"	""
"240"	"133"	"82"	"44"	"187"	"253"	"31"	"7"	"12"	"616"	"0"	"616"	"0"	""
"241"	"Total"	"966"	"345"	"1116"	"3017"	"673"	"68"	"81"	"6266"	"0"	"6266"	"0"	""
"242"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"247"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"249"	"134"	"61"	"23"	"105"	"183"	"23"	"10"	"5"	"410"	"0"	"410"	"0"	""
"250"	"135"	"87"	"30"	"249"	"138"	"8"	"4"	"8"	"524"	"0"	"524"	"0"	""
"251"	"136"	"41"	"33"	"172"	"239"	"16"	"6"	"12"	"519"	"0"	"519"	"0"	""
"252"	"137"	"46"	"8"	"132"	"321"	"17"	"6"	"18"	"548"	"0"	"548"	"0"	""
"253"	"138"	"110"	"41"	"187"	"229"	"8"	"13"	"9"	"597"	"0"	"597"	"0"	""
"254"	"139"	"14"	"55"	"112"	"159"	"22"	"2"	"6"	"370"	"0"	"370"	"0"	""
"255"	"140"	"32"	"24"	"186"	"110"	"21"	"5"	"9"	"387"	"0"	"387"	"0"	""
"256"	"141"	"201"	"17"	"139"	"93"	"31"	"11"	"4"	"496"	"0"	"496"	"0"	""
"257"	"142"	"8"	"28"	"209"	"181"	"17"	"3"	"4"	"450"	"0"	"450"	"0"	""
"258"	"143"	"54"	"11"	"172"	"110"	"8"	"7"	"3"	"365"	"0"	"365"	"0"	""
"259"	"144"	"104"	"13"	"113"	"160"	"8"	"2"	"4"	"404"	"0"	"404"	"0"	""
"260"	"145"	"33"	"9"	"102"	"239"	"14"	"1"	"8"	"406"	"0"	"406"	"0"	""
"261"	"145A"	"16"	"9"	"119"	"102"	"11"	"13"	"11"	"281"	"0"	"281"	"0"	""
"262"	"146"	"15"	"15"	"73"	"204"	"2"	"1"	"2"	"312"	"0"	"312"	"0"	""
"263"	"Total"	"822"	"316"	"2070"	"2468"	"206"	"84"	"103"	"6069"	"0"	"6069"	"0"	""
"264"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"269"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"271"	"146A"	"56"	"9"	"37"	"84"	"25"	"4"	"0"	"215"	"0"	"215"	"0"	""
"272"	"147"	"39"	"13"	"71"	"116"	"6"	"2"	"6"	"253"	"0"	"253"	"0"	""
"273"	"147A"	"11"	"10"	"73"	"159"	"16"	"3"	"2"	"274"	"0"	"274"	"0"	""
"274"	"148"	"160"	"16"	"125"	"242"	"16"	"15"	"14"	"588"	"0"	"588"	"0"	""
"275"	"149"	"43"	"21"	"143"	"323"	"10"	"10"	"12"	"562"	"0"	"562"	"0"	""
"276"	"150"	"120"	"45"	"63"	"124"	"92"	"6"	"6"	"456"	"0"	"456"	"0"	""
"277"	"151"	"83"	"11"	"33"	"231"	"19"	"3"	"2"	"382"	"0"	"382"	"0"	""
"278"	"152"	"66"	"46"	"145"	"191"	"4"	"5"	"10"	"467"	"0"	"467"	"0"	""
"279"	"153"	"57"	"31"	"126"	"245"	"7"	"5"	"13"	"484"	"0"	"484"	"0"	""
"280"	"154"	"19"	"21"	"277"	"191"	"8"	"9"	"7"	"532"	"0"	"532"	"0"	""
"281"	"155"	"213"	"74"	"132"	"92"	"4"	"2"	"17"	"534"	"0"	"534"	"0"	""
"282"	"156"	"63"	"16"	"126"	"103"	"31"	"2"	"7"	"348"	"0"	"348"	"0"	""
"283"	"156A"	"28"	"20"	"146"	"130"	"5"	"4"	"4"	"337"	"0"	"337"	"0"	""
"284"	"157"	"38"	"14"	"222"	"107"	"8"	"11"	"5"	"405"	"0"	"405"	"0"	""
"285"	"Total"	"996"	"347"	"1719"	"2338"	"251"	"81"	"105"	"5837"	"0"	"5837"	"0"	""
"286"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"291"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"292"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"293"	"158"	"11"	"52"	"69"	"215"	"11"	"10"	"12"	"380"	"0"	"380"	"0"	""
"294"	"159"	"21"	"116"	"262"	"81"	"6"	"6"	"9"	"501"	"0"	"501"	"0"	""
"295"	"160"	"29"	"45"	"229"	"32"	"6"	"8"	"7"	"356"	"0"	"356"	"0"	""
"296"	"160A"	"21"	"12"	"162"	"139"	"10"	"5"	"7"	"356"	"0"	"356"	"0"	""
"297"	"161"	"26"	"10"	"43"	"277"	"12"	"7"	"15"	"390"	"0"	"390"	"0"	""
"298"	"161A"	"5"	"21"	"13"	"286"	"7"	"2"	"3"	"337"	"0"	"337"	"0"	""
"299"	"162"	"12"	"6"	"35"	"105"	"5"	"0"	"3"	"166"	"0"	"166"	"0"	""
"300"	"163"	"12"	"27"	"88"	"409"	"20"	"3"	"3"	"562"	"0"	"562"	"0"	""
"301"	"164"	"156"	"25"	"115"	"288"	"7"	"4"	"13"	"608"	"0"	"608"	"0"	""
"302"	"165"	"84"	"16"	"139"	"104"	"9"	"10"	"15"	"377"	"0"	"377"	"0"	""
"303"	"166"	"73"	"12"	"84"	"175"	"3"	"4"	"9"	"360"	"0"	"360"	"0"	""
"304"	"166A"	"195"	"13"	"17"	"74"	"1"	"3"	"3"	"306"	"0"	"306"	"0"	""
"305"	"167"	"52"	"25"	"105"	"291"	"17"	"5"	"3"	"498"	"0"	"498"	"0"	""
"306"	"168"	"13"	"32"	"172"	"186"	"12"	"6"	"6"	"427"	"0"	"427"	"0"	""
"307"	"Total"	"710"	"412"	"1533"	"2662"	"126"	"73"	"108"	"5624"	"0"	"5624"	"0"	""
"308"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"313"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"314"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"315"	"168A"	"41"	"11"	"75"	"116"	"18"	"5"	"1"	"267"	"0"	"267"	"0"	""
"316"	"169"	"31"	"25"	"65"	"239"	"102"	"5"	"7"	"474"	"0"	"474"	"0"	""
"317"	"170"	"61"	"89"	"106"	"165"	"73"	"9"	"7"	"510"	"0"	"510"	"0"	""
"318"	"Total"	"133"	"125"	"246"	"520"	"193"	"19"	"15"	"1251"	"0"	"1251"	"0"	""
"319"	"Total No. of Electors in Assembly Constituency - 189643"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Election for 7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"324"	"Polling    Station No."	"Ezaz Hussain"	"Vipin Tiwari"	"Vishwa   Mohan Sharma"	"Satish  Chandra Dubey"	"Pankaj Kumar"	"Nanadlalram"	"Ravi Lal Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"325"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"	""
"326"	"Total"	"9138"	"5667"	"22086"	"42960"	"6214"	"1150"	"1621"	"88836"	"0"	"88836"	"0"	""
"327"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"328"	"Grand Tot."	"9138"	"5667"	"22086"	"42960"	"6214"	"1150"	"1621"	"88836"	"0"	"88836"	"0"	""
"329"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"7-Chanpatia Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"16"	""	""	""	""	""	""	""	""	""	""	""	""
