"X..vf.klwfpr.ernku.dsUnzksa.ls.fHkUu.ernku.dsUnzksa.ij.ernku.dk.ifj.kke"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X1....izk.i.20.."	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"172"	"144"	""	"14"	"20"	""	"187"	"124"	"140"	""	"5"	""	"2"	"15"	"7"	""	"514"	"0"	"514"	""	""
"173"	"145"	""	"9"	"10"	""	"339"	"35"	"23"	""	"4"	""	"6"	"3"	"2"	""	"431"	"0"	"431"	""	""
"174"	"146"	""	"13"	"5"	""	"63"	"420"	"163"	""	"15"	""	"6"	"11"	"16"	""	"712"	"0"	"712"	""	""
"175"	"147"	""	"6"	"1"	""	"13"	"419"	"10"	""	"4"	""	"2"	"5"	"10"	""	"470"	"0"	"470"	""	""
"176"	"148"	""	"11"	"8"	""	"154"	"300"	"8"	""	"6"	""	"1"	"5"	"4"	""	"497"	"0"	"497"	""	""
"177"	"149"	""	"7"	"3"	""	"98"	"556"	"9"	""	"8"	""	"0"	"3"	"3"	""	"687"	"0"	"687"	""	""
"178"	"150"	""	"8"	"2"	""	"242"	"30"	"4"	""	"2"	""	"4"	"6"	"12"	""	"310"	"0"	"310"	""	""
"179"	"151"	""	"28"	"20"	""	"321"	"382"	"39"	""	"26"	""	"9"	"7"	"8"	""	"840"	"0"	"840"	""	""
"180"	"152"	""	"18"	"4"	""	"72"	"476"	"26"	""	"8"	""	"3"	"4"	"4"	""	"615"	"0"	"615"	""	""
"181"	"153"	""	"16"	"6"	""	"97"	"607"	"22"	""	"12"	""	"7"	"9"	"7"	""	"783"	"0"	"783"	""	""
"182"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"183"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"184"	"154"	""	"6"	"5"	""	"219"	"357"	"16"	""	"1"	""	"4"	"2"	"3"	""	"613"	"0"	"613"	""	""
"185"	"155"	""	"6"	"2"	""	"31"	"689"	"54"	""	"5"	""	"5"	"1"	"0"	""	"793"	"0"	"793"	""	""
"186"	"156"	""	"3"	"0"	""	"9"	"705"	"3"	""	"6"	""	"2"	"1"	"3"	""	"732"	"0"	"732"	""	""
"187"	"157"	""	"4"	"4"	""	"134"	"260"	"27"	""	"3"	""	"1"	"4"	"3"	""	"440"	"0"	"440"	""	""
"188"	"158"	""	"10"	"6"	""	"463"	"39"	"165"	""	"25"	""	"7"	"13"	"8"	""	"736"	"0"	"736"	""	""
"189"	"159"	""	"6"	"6"	""	"199"	"235"	"103"	""	"8"	""	"12"	"15"	"38"	""	"622"	"0"	"622"	""	""
"190"	"160"	""	"5"	"3"	""	"6"	"310"	"27"	""	"6"	""	"4"	"1"	"9"	""	"371"	"0"	"371"	""	""
"191"	"161"	""	"15"	"9"	""	"215"	"174"	"120"	""	"36"	""	"7"	"3"	"6"	""	"585"	"0"	"585"	""	""
"192"	"162"	""	"4"	"8"	""	"392"	"43"	"77"	""	"11"	""	"14"	"8"	"6"	""	"563"	"0"	"563"	""	""
"193"	"163"	""	"18"	"10"	""	"377"	"31"	"53"	""	"32"	""	"6"	"5"	"12"	""	"544"	"0"	"544"	""	""
"194"	"164"	""	"16"	"5"	""	"244"	"130"	"71"	""	"7"	""	"4"	"5"	"12"	""	"494"	"0"	"494"	""	""
"195"	"165"	""	"10"	"4"	""	"255"	"38"	"136"	""	"21"	""	"4"	"2"	"13"	""	"483"	"0"	"483"	""	""
"196"	"166"	""	"0"	"0"	""	"379"	"64"	"0"	""	"0"	""	"20"	"27"	"0"	""	"490"	"0"	"490"	""	""
"197"	"167"	""	"22"	"18"	""	"340"	"129"	"109"	""	"18"	""	"14"	"11"	"22"	""	"683"	"0"	"683"	""	""
"198"	"168"	""	"22"	"11"	""	"133"	"299"	"12"	""	"18"	""	"5"	"8"	"14"	""	"522"	"0"	"522"	""	""
"199"	"169"	""	"5"	"8"	""	"56"	"188"	"14"	""	"130"	""	"10"	"11"	"19"	""	"441"	"0"	"441"	""	""
"200"	"170"	""	"7"	"10"	""	"220"	"36"	"13"	""	"148"	""	"17"	"10"	"44"	""	"505"	"0"	"505"	""	""
"201"	"171"	""	"16"	"23"	""	"110"	"36"	"35"	""	"154"	""	"10"	"13"	"18"	""	"415"	"0"	"415"	""	""
"202"	"172"	""	"16"	"41"	""	"119"	"189"	"96"	""	"108"	""	"9"	"22"	"43"	""	"643"	"0"	"643"	""	""
"203"	"173"	""	"5"	"4"	""	"58"	"51"	"11"	""	"193"	""	"8"	"5"	"18"	""	"353"	"0"	"353"	""	""
"204"	"174"	""	"8"	"12"	""	"112"	"118"	"10"	""	"35"	""	"3"	"7"	"5"	""	"310"	"0"	"310"	""	""
"205"	"ernku dsUnz dh dz0 la0"	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	""	"fufonRr erksa dh la[;k"
"206"	""	""	"?ku';ke i.Mhr"	"cukjlh izlkn flag"	""	"fcHkk\"k pUnz pkS/kjh"	"eqgEen 'kdqj"	"l;ksfxrk flag"	""	"nhuk ;kno"	""	"vklqrks\"k dqekj pkS/kjh"	"dY;k.k fe="	"Hkksyk izlkn ;kno"	""	""	""	""	""	""
"207"	"175"	""	"16"	"6"	""	"117"	"340"	"28"	""	"9"	""	"7"	"6"	"15"	""	"544"	"0"	"544"	""	""
"208"	"176"	""	"9"	"2"	""	"10"	"331"	"27"	""	"2"	""	"2"	"1"	"2"	""	"386"	"0"	"386"	""	""
"209"	"177"	""	"3"	"4"	""	"215"	"10"	"0"	""	"0"	""	"1"	"0"	"2"	""	"235"	"0"	"235"	""	""
"210"	"178"	""	"6"	"3"	""	"9"	"382"	"14"	""	"3"	""	"3"	"2"	"6"	""	"428"	"0"	"428"	""	""
"211"	"179"	""	"12"	"4"	""	"39"	"499"	"16"	""	"7"	""	"3"	"3"	"6"	""	"589"	"0"	"589"	""	""
"212"	"180"	""	"2"	"2"	""	"76"	"226"	"17"	""	"2"	""	"0"	"2"	"1"	""	"328"	"0"	"328"	""	""
"213"	"181"	""	"12"	"6"	""	"47"	"327"	"16"	""	"3"	""	"1"	"4"	"5"	""	"421"	"0"	"421"	""	""
"214"	"182"	""	"7"	"7"	""	"236"	"49"	"44"	""	"15"	""	"4"	"6"	"11"	""	"379"	"0"	"379"	""	""
"215"	"183"	""	"7"	"4"	""	"383"	"36"	"18"	""	"5"	""	"2"	"0"	"8"	""	"463"	"0"	"463"	""	""
"216"	"183A"	""	"5"	"2"	""	"257"	"64"	"19"	""	"7"	""	"1"	"3"	"8"	""	"366"	"0"	"366"	""	""
"217"	"184"	""	"7"	"7"	""	"754"	"21"	"7"	""	"2"	""	"10"	"3"	"7"	""	"818"	"0"	"818"	""	""
"218"	"185"	""	"13"	"2"	""	"15"	"313"	"29"	""	"4"	""	"1"	"4"	"1"	""	"382"	"0"	"382"	""	""
"219"	"185A"	""	"14"	"8"	""	"263"	"140"	"14"	""	"7"	""	"9"	"6"	"11"	""	"472"	"0"	"472"	""	""
"220"	"186"	""	"13"	"5"	""	"132"	"503"	"21"	""	"0"	""	"4"	"2"	"2"	""	"682"	"0"	"682"	""	""
"221"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	""	"2364"	"1436"	""	"38491"	"35327"	"17539"	""	"3995"	""	"1200"	"1931"	"2409"	""	"104692"	"0"	"104692"	""	""
"222"	"Mkys x, dqy er"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh la[;k
¼lHkk fuokZpu&
{ks= ls fuokZpu dh n'kk esa Hkjk tk, ½"	""	""	"ernku dsUnz dh dz0 la0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"2364"	"0"	""	""	"?ku';ke i.Mhr"	""	""	""	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"224"	"1436"	"0"	""	""	"cukjlh izlkn flag"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"38493"	"2"	""	""	"fcHkk\"k pUnz pkS/kjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"35330"	"3"	""	""	"eqgEen 'kdqj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"17540"	"1"	""	""	"l;ksfxrk flag"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"3995"	"0"	""	""	"nhuk ;kno"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"1200"	"0"	""	""	"vklqrks\"k dqekj pkS/kjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"1931"	"0"	""	""	"dY;k.k fe="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"2409"	"0"	""	""	"Hkksyk izlkn ;kno"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"104698"	"6"	""	""	"dqy fof/k ekU; er"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"0"	"0"	""	""	"izfr{ksfir erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"104698"	"6"	""	""	";ksx"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	""	""	""	""	"fufonRr erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
