"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"177"	"7"	"63"	"3"	"6"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"639"	"1"	"1"	"655"	"0"	"655"	"0"
"178"	"8"	"64"	"0"	"251"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"255"	"0"	"255"	"0"
"179"	"9"	"65"	"2"	"315"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"324"	"0"	"324"	"0"
"180"	"10"	"66"	"15"	"9"	"1"	"13"	"0"	"0"	"2"	"0"	"4"	"2"	"7"	"447"	"5"	"21"	"526"	"0"	"526"	"0"
"181"	"11"	"67"	"10"	"34"	"0"	"4"	"0"	"1"	"0"	"1"	"4"	"2"	"9"	"158"	"10"	"12"	"245"	"0"	"245"	"0"
"182"	"12"	"68"	"9"	"286"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"2"	"305"	"0"	"305"	"0"
"183"	"13"	"69"	"0"	"13"	"3"	"3"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"351"	"3"	"4"	"383"	"0"	"383"	"0"
"184"	"14"	"70"	"4"	"43"	"1"	"6"	"2"	"1"	"2"	"1"	"3"	"1"	"2"	"360"	"7"	"7"	"440"	"0"	"440"	"0"
"185"	"Total Votes Polled"	""	"60"	"3327"	"15"	"29"	"4"	"5"	"5"	"6"	"15"	"5"	"26"	"2581"	"30"	"56"	"6164"	"0"	"6164"	"0"
"186"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"189"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"194"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"201"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"1"	"71"	"9"	"77"	"10"	"15"	"3"	"4"	"1"	"2"	"4"	"2"	"6"	"180"	"3"	"2"	"318"	"0"	"318"	"0"
"204"	"2"	"72"	"8"	"437"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"3"	"2"	"455"	"0"	"455"	"0"
"205"	"3"	"72A"	"17"	"341"	"3"	"5"	"1"	"2"	"1"	"1"	"1"	"2"	"1"	"2"	"0"	"1"	"378"	"0"	"378"	"0"
"206"	"4"	"73"	"2"	"507"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"513"	"0"	"513"	"0"
"207"	"5"	"74"	"5"	"295"	"6"	"2"	"1"	"4"	"0"	"0"	"1"	"2"	"1"	"82"	"2"	"1"	"402"	"0"	"402"	"0"
"208"	"6"	"75"	"20"	"145"	"4"	"1"	"2"	"1"	"1"	"0"	"1"	"3"	"3"	"24"	"10"	"15"	"230"	"0"	"230"	"0"
"209"	"7"	"76"	"13"	"197"	"6"	"3"	"1"	"2"	"0"	"0"	"3"	"0"	"0"	"13"	"1"	"4"	"243"	"0"	"243"	"0"
"210"	"8"	"77"	"10"	"489"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"505"	"0"	"505"	"0"
"211"	"9"	"78"	"16"	"320"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"345"	"0"	"345"	"0"
"212"	"10"	"79"	"3"	"195"	"7"	"3"	"3"	"0"	"0"	"2"	"1"	"0"	"1"	"36"	"1"	"0"	"252"	"0"	"252"	"0"
"213"	"11"	"79A"	"7"	"312"	"3"	"5"	"1"	"0"	"1"	"2"	"1"	"1"	"0"	"5"	"1"	"1"	"340"	"0"	"340"	"0"
"214"	"12"	"80"	"8"	"308"	"3"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"325"	"0"	"325"	"0"
"215"	"13"	"81"	"12"	"180"	"0"	"20"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"21"	"0"	"0"	"235"	"0"	"235"	"0"
"216"	"14"	"82"	"4"	"28"	"3"	"6"	"0"	"1"	"0"	"0"	"1"	"1"	"6"	"459"	"5"	"1"	"515"	"0"	"515"	"0"
"217"	"Total Votes Polled"	""	"134"	"3831"	"51"	"61"	"13"	"16"	"5"	"9"	"18"	"12"	"19"	"832"	"26"	"29"	"5056"	"0"	"5056"	"0"
"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"1"	"83"	"14"	"77"	"8"	"19"	"2"	"1"	"2"	"2"	"9"	"3"	"7"	"194"	"11"	"11"	"360"	"0"	"360"	"0"
"236"	"2"	"84"	"6"	"186"	"9"	"10"	"4"	"3"	"4"	"3"	"6"	"2"	"5"	"86"	"4"	"7"	"335"	"0"	"335"	"0"
"237"	"3"	"85"	"2"	"324"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"330"	"0"	"330"	"0"
"238"	"4"	"86"	"5"	"541"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"551"	"0"	"551"	"0"
"239"	"5"	"87"	"5"	"359"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"0"	"0"	"371"	"0"	"371"	"0"
"240"	"6"	"88"	"4"	"14"	"3"	"16"	"0"	"2"	"0"	"3"	"3"	"3"	"17"	"100"	"3"	"9"	"177"	"0"	"177"	"0"
"241"	"7"	"89"	"10"	"13"	"2"	"14"	"2"	"0"	"0"	"0"	"3"	"0"	"9"	"601"	"3"	"3"	"660"	"0"	"660"	"0"
"242"	"8"	"90"	"28"	"273"	"17"	"10"	"0"	"4"	"2"	"2"	"4"	"3"	"7"	"41"	"5"	"12"	"408"	"0"	"408"	"0"
"243"	"9"	"91"	"1"	"4"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"386"	"0"	"2"	"406"	"0"	"406"	"0"
"244"	"10"	"92"	"7"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"499"	"4"	"1"	"520"	"0"	"520"	"0"
"245"	"11"	"93"	"27"	"406"	"5"	"8"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"35"	"1"	"2"	"491"	"0"	"491"	"0"
"246"	"12"	"94"	"4"	"66"	"5"	"12"	"3"	"7"	"0"	"3"	"4"	"2"	"6"	"242"	"1"	"3"	"358"	"0"	"358"	"0"
"247"	"13"	"95"	"21"	"225"	"6"	"17"	"3"	"1"	"3"	"8"	"12"	"8"	"5"	"47"	"6"	"14"	"376"	"0"	"376"	"0"
"248"	"14"	"95A"	"7"	"255"	"3"	"4"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"22"	"1"	"2"	"301"	"0"	"301"	"0"
"249"	"Total Votes Polled"	""	"141"	"2745"	"71"	"119"	"17"	"21"	"11"	"24"	"44"	"23"	"64"	"2258"	"40"	"66"	"5644"	"0"	"5644"	"0"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"265"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"266"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"1"	"96"	"18"	"436"	"2"	"8"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"24"	"1"	"1"	"496"	"0"	"496"	"0"
"268"	"2"	"97"	"26"	"70"	"7"	"3"	"2"	"4"	"0"	"1"	"3"	"2"	"12"	"184"	"8"	"3"	"325"	"0"	"325"	"0"
"269"	"3"	"97A"	"15"	"109"	"4"	"12"	"2"	"4"	"2"	"1"	"5"	"4"	"6"	"137"	"3"	"2"	"306"	"0"	"306"	"0"
"270"	"4"	"98"	"62"	"419"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"0"	"503"	"0"	"503"	"0"
"271"	"5"	"98A"	"20"	"181"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"214"	"0"	"214"	"0"
"272"	"6"	"99"	"21"	"302"	"2"	"6"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"7"	"2"	"8"	"351"	"0"	"351"	"0"
"273"	"7"	"100"	"11"	"103"	"6"	"14"	"2"	"20"	"1"	"1"	"11"	"3"	"19"	"164"	"15"	"30"	"400"	"0"	"400"	"0"
"274"	"8"	"101"	"20"	"409"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"13"	"1"	"0"	"455"	"0"	"455"	"0"
"275"	"9"	"102"	"16"	"92"	"6"	"16"	"3"	"2"	"0"	"5"	"4"	"6"	"7"	"188"	"2"	"5"	"352"	"0"	"352"	"0"
"276"	"10"	"103"	"41"	"105"	"2"	"10"	"2"	"4"	"1"	"1"	"6"	"1"	"10"	"304"	"3"	"4"	"494"	"0"	"494"	"0"
"277"	"11"	"104"	"14"	"30"	"1"	"2"	"0"	"1"	"1"	"0"	"1"	"5"	"6"	"281"	"5"	"2"	"349"	"0"	"349"	"0"
"278"	"12"	"105"	"8"	"35"	"2"	"14"	"2"	"2"	"0"	"1"	"11"	"4"	"3"	"201"	"2"	"4"	"289"	"0"	"289"	"0"
"279"	"13"	"105A"	"9"	"115"	"8"	"6"	"0"	"4"	"0"	"1"	"2"	"1"	"3"	"81"	"2"	"11"	"243"	"0"	"243"	"0"
"280"	"14"	"106"	"46"	"217"	"11"	"21"	"3"	"2"	"0"	"2"	"3"	"0"	"4"	"92"	"4"	"3"	"408"	"0"	"408"	"0"
"281"	"Total Votes Polled"	""	"327"	"2623"	"53"	"146"	"19"	"44"	"6"	"13"	"48"	"28"	"71"	"1685"	"49"	"73"	"5185"	"0"	"5185"	"0"
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"297"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"1"	"107"	"36"	"107"	"15"	"42"	"4"	"1"	"0"	"1"	"8"	"4"	"15"	"135"	"8"	"10"	"386"	"0"	"386"	"0"
"300"	"2"	"108"	"12"	"12"	"4"	"24"	"3"	"3"	"0"	"3"	"7"	"1"	"15"	"345"	"9"	"7"	"445"	"0"	"445"	"0"
"301"	"3"	"108A"	"8"	"13"	"1"	"8"	"1"	"0"	"0"	"0"	"3"	"1"	"5"	"304"	"1"	"5"	"350"	"0"	"350"	"0"
"302"	"4"	"109"	"1"	"28"	"1"	"13"	"0"	"0"	"0"	"0"	"5"	"1"	"7"	"431"	"2"	"1"	"490"	"0"	"490"	"0"
"303"	"5"	"110"	"23"	"107"	"2"	"12"	"2"	"0"	"1"	"0"	"6"	"2"	"2"	"129"	"1"	"4"	"291"	"0"	"291"	"0"
"304"	"6"	"111"	"14"	"56"	"9"	"22"	"2"	"0"	"4"	"6"	"12"	"6"	"18"	"379"	"10"	"25"	"563"	"0"	"563"	"0"
"305"	"7"	"112"	"38"	"342"	"10"	"25"	"2"	"0"	"1"	"1"	"5"	"1"	"3"	"48"	"1"	"7"	"484"	"0"	"484"	"0"
"306"	"8"	"113"	"10"	"182"	"6"	"10"	"1"	"2"	"0"	"2"	"0"	"1"	"2"	"11"	"2"	"2"	"231"	"0"	"231"	"0"
"307"	"9"	"114"	"3"	"21"	"10"	"19"	"2"	"0"	"0"	"2"	"3"	"5"	"10"	"341"	"7"	"16"	"439"	"0"	"439"	"0"
"308"	"10"	"115"	"0"	"9"	"3"	"16"	"1"	"1"	"1"	"0"	"3"	"1"	"8"	"428"	"9"	"6"	"486"	"0"	"486"	"0"
"309"	"11"	"116"	"11"	"93"	"8"	"24"	"8"	"13"	"1"	"4"	"10"	"2"	"9"	"196"	"4"	"10"	"393"	"0"	"393"	"0"
"310"	"12"	"117"	"20"	"264"	"2"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"10"	"0"	"0"	"302"	"0"	"302"	"0"
"311"	"13"	"118"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"312"	"14"	"119"	"27"	"360"	"9"	"9"	"1"	"1"	"3"	"0"	"3"	"1"	"6"	"56"	"4"	"10"	"490"	"0"	"490"	"0"
"313"	"Total Votes Polled"	""	"203"	"1594"	"80"	"229"	"27"	"21"	"11"	"19"	"66"	"26"	"100"	"2813"	"58"	"103"	"5350"	"0"	"5350"	"0"
"314"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Table No."	"No. & Name of Polling Station"	"AJAY KUMAR RAVIKANT"	"ARUNA DEVI"	"JAGDISH PRASAD CHAUHAN"	"LALIT KUMAR"	"SONA MIYAN"	"ATA KARIM"	"ARVIND YADAV"	"ARJUN PRASAD"	"ARTI SINHA"	"JAINATH PASWAN"	"TANIK MOCHI"	"PRADEEP KUMAR"	"SIYA SARAN SINGH"	"SUPENDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"329"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"1"	"120"	"11"	"180"	"21"	"24"	"3"	"2"	"3"	"3"	"10"	"5"	"21"	"307"	"21"	"15"	"626"	"0"	"626"	"0"
"332"	"2"	"121"	"7"	"81"	"4"	"7"	"2"	"11"	"0"	"0"	"6"	"4"	"10"	"204"	"6"	"13"	"355"	"0"	"355"	"0"
"333"	"3"	"122"	"12"	"30"	"2"	"7"	"4"	"1"	"1"	"1"	"8"	"0"	"3"	"264"	"6"	"5"	"344"	"0"	"344"	"0"
"334"	"4"	"123"	"31"	"91"	"11"	"27"	"6"	"7"	"3"	"3"	"5"	"2"	"6"	"184"	"3"	"10"	"389"	"0"	"389"	"0"
"335"	"5"	"124"	"2"	"868"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"870"	"0"	"870"	"0"
"336"	"6"	"125"	"3"	"16"	"8"	"16"	"0"	"1"	"2"	"1"	"7"	"0"	"7"	"318"	"4"	"7"	"390"	"0"	"390"	"0"
"337"	"7"	"126"	"5"	"77"	"4"	"6"	"0"	"1"	"2"	"2"	"2"	"0"	"1"	"20"	"6"	"4"	"130"	"0"	"130"	"0"
"338"	"8"	"127"	"14"	"75"	"8"	"18"	"5"	"1"	"2"	"3"	"7"	"1"	"4"	"130"	"8"	"9"	"285"	"0"	"285"	"0"
"339"	"9"	"127A"	"7"	"75"	"7"	"6"	"4"	"7"	"3"	"4"	"12"	"3"	"4"	"64"	"2"	"6"	"204"	"0"	"204"	"0"
"340"	"10"	"128"	"56"	"102"	"33"	"21"	"8"	"10"	"2"	"3"	"6"	"6"	"16"	"163"	"11"	"14"	"451"	"0"	"451"	"0"
"341"	"11"	"129"	"22"	"19"	"9"	"34"	"6"	"2"	"1"	"3"	"17"	"1"	"15"	"233"	"16"	"21"	"399"	"0"	"399"	"0"
"342"	"12"	"130"	"10"	"101"	"6"	"20"	"4"	"2"	"1"	"0"	"1"	"0"	"2"	"167"	"4"	"9"	"327"	"0"	"327"	"0"
"343"	"13"	"130A"	"6"	"144"	"2"	"10"	"0"	"3"	"0"	"1"	"3"	"0"	"2"	"295"	"11"	"1"	"478"	"0"	"478"	"0"
"344"	"14"	"131"	"10"	"163"	"2"	"8"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"19"	"0"	"0"	"211"	"0"	"211"	"0"
"345"	"Total Votes Polled"	""	"196"	"2022"	"117"	"204"	"42"	"57"	"20"	"24"	"84"	"22"	"91"	"2368"	"98"	"114"	"5459"	"0"	"5459"	"0"
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"242-Warisaliganj Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"Place - Nawada"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Date - 08/04/2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Election to the State Legislative Assembly from the 242- Warisaliganj Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
