"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"171"	"68"	""	"100"	""	"352"	""	""	""	"0"	""	""	"18"	""	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"10"	""	""	""	"506"	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""
"172"	"69"	""	"6"	""	"272"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"299"	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""
"173"	"Total"	""	"612"	""	"3978"	""	""	""	"23"	""	""	"105"	""	""	""	""	""	"20"	""	""	""	""	"85"	""	""	""	"11"	""	""	""	"6"	""	""	""	"8"	""	""	""	""	""	"16"	""	""	""	""	"4"	""	""	"9"	""	""	""	"8"	""	""	""	"28"	""	""	""	"4913"	""	""	""	""	""	""	"4913"	""	""	""	"0"	""	""	""	""	""	""	""
"174"	"Till Last Round"	""	"6000"	""	"19133"	""	""	""	"147"	""	""	"673"	""	""	""	""	""	"215"	""	""	""	""	"443"	""	""	""	"50"	""	""	""	"39"	""	""	""	"57"	""	""	""	""	""	"89"	""	""	""	""	"45"	""	""	"55"	""	""	""	"72"	""	""	""	"205"	""	""	""	"27223"	""	""	""	"0"	""	""	"27223"	""	""	""	"0"	""	""	""	""	""	""	""
"175"	"Grand Total"	""	"6612"	""	"23111"	""	""	""	"170"	""	""	"778"	""	""	""	""	""	"235"	""	""	""	""	"528"	""	""	""	"61"	""	""	""	"45"	""	""	""	"65"	""	""	""	""	""	"105"	""	""	""	""	"49"	""	""	"64"	""	""	""	"80"	""	""	""	"233"	""	""	""	"32136"	""	""	""	"0"	""	""	"32136"	""	""	""	"0"	""	""	""	""	""	""	""
"176"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"181"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"69A"	""	"7"	""	"180"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"190"	""	""	""	""	""	""	"190"	""	""	""	""	""	""	""	""	""	""	""
"183"	"70"	""	"136"	""	"137"	""	""	""	"2"	""	""	"15"	""	""	""	""	""	"1"	""	""	""	""	"12"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"6"	""	""	""	"316"	""	""	""	""	""	""	"316"	""	""	""	""	""	""	""	""	""	""	""
"184"	"70A"	""	"115"	""	"72"	""	""	""	"0"	""	""	"35"	""	""	""	""	""	"2"	""	""	""	""	"10"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	""	"8"	""	""	""	"247"	""	""	""	""	""	""	"247"	""	""	""	""	""	""	""	""	""	""	""
"185"	"71"	""	"28"	""	"165"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"203"	""	""	""	""	""	""	"203"	""	""	""	""	""	""	""	""	""	""	""
"186"	"71A"	""	"24"	""	"217"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"251"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""
"187"	"72"	""	"29"	""	"261"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"305"	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""
"188"	"72A"	""	"12"	""	"225"	""	""	""	"3"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"250"	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""
"189"	"73"	""	"31"	""	"312"	""	""	""	"1"	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"360"	""	""	""	""	""	""	"360"	""	""	""	""	""	""	""	""	""	""	""
"190"	"74"	""	"14"	""	"312"	""	""	""	"3"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	"339"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""
"191"	"75"	""	"32"	""	"236"	""	""	""	"2"	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"288"	""	""	""	""	""	""	"288"	""	""	""	""	""	""	""	""	""	""	""
"192"	"75A"	""	"39"	""	"257"	""	""	""	"2"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"4"	""	""	""	"313"	""	""	""	""	""	""	"313"	""	""	""	""	""	""	""	""	""	""	""
"193"	"76"	""	"23"	""	"221"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"259"	""	""	""	""	""	""	"259"	""	""	""	""	""	""	""	""	""	""	""
"194"	"76A"	""	"45"	""	"239"	""	""	""	"4"	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"309"	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""
"195"	"77"	""	"23"	""	"339"	""	""	""	"0"	""	""	"5"	""	""	""	""	""	"23"	""	""	""	""	"8"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"2"	""	""	""	"414"	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""	""	""
"196"	"Total"	""	"558"	""	"3173"	""	""	""	"20"	""	""	"94"	""	""	""	""	""	"35"	""	""	""	""	"75"	""	""	""	"7"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	""	"15"	""	""	""	""	"4"	""	""	"6"	""	""	""	"12"	""	""	""	"34"	""	""	""	"4044"	""	""	""	""	""	""	"4044"	""	""	""	"0"	""	""	""	""	""	""	""
"197"	"Till Last Round"	""	"6612"	""	"23111"	""	""	""	"170"	""	""	"778"	""	""	""	""	""	"235"	""	""	""	""	"528"	""	""	""	"61"	""	""	""	"45"	""	""	""	"65"	""	""	""	""	""	"105"	""	""	""	""	"49"	""	""	"64"	""	""	""	"80"	""	""	""	"233"	""	""	""	"32136"	""	""	""	"0"	""	""	"32136"	""	""	""	"0"	""	""	""	""	""	""	""
"198"	"Grand Total"	""	"7170"	""	"26284"	""	""	""	"190"	""	""	"872"	""	""	""	""	""	"270"	""	""	""	""	"603"	""	""	""	"68"	""	""	""	"50"	""	""	""	"71"	""	""	""	""	""	"120"	""	""	""	""	"53"	""	""	"70"	""	""	""	"92"	""	""	""	"267"	""	""	""	"36180"	""	""	""	"0"	""	""	"36180"	""	""	""	"0"	""	""	""	""	""	""	""
"199"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"204"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"78"	""	"51"	""	"387"	""	""	""	"3"	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"467"	""	""	""	""	""	""	"467"	""	""	""	""	""	""	""	""	""	""	""
"206"	"79"	""	"13"	""	"231"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"253"	""	""	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""	""
"207"	"79A"	""	"21"	""	"269"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"299"	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""
"208"	"80"	""	"75"	""	"149"	""	""	""	"2"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"12"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"247"	""	""	""	""	""	""	"247"	""	""	""	""	""	""	""	""	""	""	""
"209"	"80A"	""	"36"	""	"172"	""	""	""	"0"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"232"	""	""	""	""	""	""	"232"	""	""	""	""	""	""	""	""	""	""	""
"210"	"81"	""	"28"	""	"489"	""	""	""	"4"	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"536"	""	""	""	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""
"211"	"82"	""	"120"	""	"244"	""	""	""	"4"	""	""	"43"	""	""	""	""	""	"4"	""	""	""	""	"11"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"441"	""	""	""	""	""	""	"441"	""	""	""	""	""	""	""	""	""	""	""
"212"	"83"	""	"17"	""	"279"	""	""	""	"0"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"5"	""	""	""	"310"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""
"213"	"83A"	""	"13"	""	"257"	""	""	""	"2"	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"284"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""	""	""
"214"	"84"	""	"24"	""	"394"	""	""	""	"0"	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"432"	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""
"215"	"85"	""	"17"	""	"348"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"383"	""	""	""	""	""	""	"383"	""	""	""	""	""	""	""	""	""	""	""
"216"	"86"	""	"41"	""	"419"	""	""	""	"15"	""	""	"32"	""	""	""	""	""	"4"	""	""	""	""	"9"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"2"	""	""	""	"2"	""	""	""	"6"	""	""	""	"533"	""	""	""	""	""	""	"533"	""	""	""	""	""	""	""	""	""	""	""
"217"	"87"	""	"42"	""	"301"	""	""	""	"6"	""	""	"11"	""	""	""	""	""	"22"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"397"	""	""	""	""	""	""	"397"	""	""	""	""	""	""	""	""	""	""	""
"218"	"88"	""	"21"	""	"259"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"294"	""	""	""	""	""	""	"294"	""	""	""	""	""	""	""	""	""	""	""
"219"	"Total"	""	"519"	""	"4198"	""	""	""	"40"	""	""	"140"	""	""	""	""	""	"47"	""	""	""	""	"80"	""	""	""	"7"	""	""	""	"3"	""	""	""	"9"	""	""	""	""	""	"15"	""	""	""	""	"4"	""	""	"8"	""	""	""	"12"	""	""	""	"26"	""	""	""	"5108"	""	""	""	""	""	""	"5108"	""	""	""	"0"	""	""	""	""	""	""	""
"220"	"Till Last Round"	""	"7170"	""	"26284"	""	""	""	"190"	""	""	"872"	""	""	""	""	""	"270"	""	""	""	""	"603"	""	""	""	"68"	""	""	""	"50"	""	""	""	"71"	""	""	""	""	""	"120"	""	""	""	""	"53"	""	""	"70"	""	""	""	"92"	""	""	""	"267"	""	""	""	"36180"	""	""	""	"0"	""	""	"36180"	""	""	""	"0"	""	""	""	""	""	""	""
"221"	"Grand Total"	""	"7689"	""	"30482"	""	""	""	"230"	""	""	"1012"	""	""	""	""	""	"317"	""	""	""	""	"683"	""	""	""	"75"	""	""	""	"53"	""	""	""	"80"	""	""	""	""	""	"135"	""	""	""	""	"57"	""	""	"78"	""	""	""	"104"	""	""	""	"293"	""	""	""	"41288"	""	""	""	"0"	""	""	"41288"	""	""	""	"0"	""	""	""	""	""	""	""
"222"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"227"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"88A"	""	"15"	""	"172"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"192"	""	""	""	""	""	""	"192"	""	""	""	""	""	""	""	""	""	""	""
"229"	"89"	""	"22"	""	"276"	""	""	""	"4"	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"321"	""	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""	""
"230"	"89A"	""	"23"	""	"196"	""	""	""	"1"	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"234"	""	""	""	""	""	""	"234"	""	""	""	""	""	""	""	""	""	""	""
"231"	"90"	""	"30"	""	"286"	""	""	""	"2"	""	""	"44"	""	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"380"	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""
"232"	"91"	""	"264"	""	"199"	""	""	""	"5"	""	""	"30"	""	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"2"	""	""	""	"2"	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	"1"	""	""	""	"4"	""	""	""	"8"	""	""	""	"541"	""	""	""	""	""	""	"541"	""	""	""	""	""	""	""	""	""	""	""
"233"	"92"	""	"17"	""	"310"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"339"	""	""	""	""	""	""	"339"	""	""	""	""	""	""	""	""	""	""	""
"234"	"93"	""	"20"	""	"251"	""	""	""	"4"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"284"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""	""	""
"235"	"93A"	""	"24"	""	"295"	""	""	""	"0"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"329"	""	""	""	""	""	""	"329"	""	""	""	""	""	""	""	""	""	""	""
"236"	"94"	""	"51"	""	"190"	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"253"	""	""	""	""	""	""	"253"	""	""	""	""	""	""	""	""	""	""	""
"237"	"94A"	""	"25"	""	"248"	""	""	""	"1"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"287"	""	""	""	""	""	""	"287"	""	""	""	""	""	""	""	""	""	""	""
