"iz.i..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"pÿ la[;k&1                                                                                          º fu;e 56 º7Ω nsf[k;sΩ"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"vafre ifj.kke &i=                                                           Hkkx&1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"209& fnukjk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy;s fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"209& fnukjk fo/kku lHkk fuokZpu {ks= [k.M esa fuokZpdksa dh dqy la[;k   206190"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"212"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"213"	"113"	"15"	"15"	"217"	"271"	"34"	"4"	"2"	"0"	"1"	""	""	"559"	""
"214"	"114"	"163"	"72"	"195"	"106"	"20"	"1"	"6"	"1"	"5"	""	""	"569"	""
"215"	"115"	"92"	"14"	"105"	"257"	"1"	"1"	"0"	"1"	"3"	""	""	"474"	""
"216"	"115 d"	"111"	"16"	"74"	"292"	"9"	"1"	"7"	"1"	"4"	""	""	"515"	""
"217"	"116"	"45"	"70"	"113"	"255"	"4"	"1"	"0"	"0"	"0"	""	""	"488"	""
"218"	"117"	"32"	"33"	"89"	"159"	"6"	"1"	"1"	"1"	"1"	""	""	"323"	""
"219"	"118"	"9"	"14"	"89"	"449"	"25"	"7"	"2"	"1"	"5"	""	""	"601"	""
"220"	"119"	"2"	"12"	"7"	"232"	"1"	"0"	"0"	"0"	"0"	""	""	"254"	""
"221"	"120"	"164"	"31"	"79"	"235"	"56"	"3"	"10"	"2"	"6"	""	""	"586"	""
"222"	"121"	"43"	"9"	"270"	"154"	"8"	"4"	"3"	"4"	"13"	""	""	"508"	""
"223"	"122"	"50"	"10"	"275"	"84"	"8"	"6"	"10"	"5"	"3"	""	""	"451"	""
"224"	"122 d"	"33"	"3"	"30"	"275"	"22"	"3"	"0"	"7"	"14"	""	""	"387"	""
"225"	"123"	"4"	"11"	"172"	"348"	"17"	"0"	"0"	"2"	"6"	""	""	"560"	""
"226"	"124"	"153"	"3"	"112"	"294"	"5"	"2"	"0"	"1"	"0"	""	""	"570"	""
"227"	";ksx"	"916"	"313"	"1827"	"3411"	"216"	"34"	"41"	"26"	"61"	"0"	"0"	"6845"	""
"228"	"fiNys i`\"B dk ;ksx"	"7425"	"5949"	"26480"	"21284"	"944"	"271"	"348"	"267"	"583"	"0"	"0"	"63551"	""
"229"	"dqy ;ksx"	"8341"	"6262"	"28307"	"24695"	"1160"	"305"	"389"	"293"	"644"	"0"	"0"	"70396"	""
"230"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"i`\"B la0 10"	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"234"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"235"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"236"	"125"	"59"	"55"	"367"	"22"	"7"	"0"	"5"	"1"	"9"	""	""	"525"	""
"237"	"126"	"7"	"12"	"146"	"160"	"3"	"0"	"1"	"3"	"5"	""	""	"337"	""
"238"	"127"	"25"	"34"	"237"	"213"	"9"	"4"	"2"	"6"	"4"	""	""	"534"	""
"239"	"128"	"5"	"13"	"94"	"361"	"10"	"4"	"3"	"2"	"5"	""	""	"497"	""
"240"	"129"	"83"	"6"	"12"	"100"	"1"	"1"	"2"	"0"	"1"	""	""	"206"	""
"241"	"130"	"13"	"6"	"37"	"310"	"21"	"5"	"5"	"0"	"20"	""	""	"417"	""
"242"	"131"	"10"	"12"	"291"	"119"	"7"	"3"	"1"	"2"	"6"	""	""	"451"	""
"243"	"132"	"31"	"4"	"181"	"187"	"6"	"2"	"0"	"0"	"3"	""	""	"414"	""
"244"	"133"	"35"	"20"	"68"	"347"	"10"	"6"	"5"	"4"	"13"	""	""	"508"	""
"245"	"134"	"12"	"30"	"76"	"252"	"13"	"12"	"8"	"1"	"23"	""	""	"427"	""
"246"	"135"	"9"	"33"	"130"	"211"	"7"	"3"	"2"	"1"	"5"	""	""	"401"	""
"247"	"136"	"62"	"29"	"93"	"316"	"16"	"5"	"10"	"5"	"15"	""	""	"551"	""
"248"	"136 d"	"18"	"4"	"3"	"145"	"2"	"0"	"1"	"0"	"3"	""	""	"176"	""
"249"	"137"	"33"	"5"	"77"	"311"	"6"	"4"	"0"	"2"	"2"	""	""	"440"	""
"250"	";ksx"	"402"	"263"	"1812"	"3054"	"118"	"49"	"45"	"27"	"114"	"0"	"0"	"5884"	""
"251"	"fiNys i`\"B dk ;ksx"	"8341"	"6262"	"28307"	"24695"	"1160"	"305"	"389"	"293"	"644"	"0"	"0"	"70396"	""
"252"	"dqy ;ksx"	"8743"	"6525"	"30119"	"27749"	"1278"	"354"	"434"	"320"	"758"	"0"	"0"	"76280"	""
"253"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"i`\"B la0 11"	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"fuokZph inkf/kdkjh d"	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"257"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"258"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"259"	"137 d"	"17"	"5"	"86"	"246"	"5"	"2"	"1"	"0"	"2"	""	""	"364"	""
"260"	"138"	"28"	"55"	"120"	"321"	"10"	"1"	"1"	"2"	"5"	""	""	"543"	""
"261"	"139"	"44"	"119"	"74"	"193"	"17"	"1"	"2"	"0"	"4"	""	""	"454"	""
"262"	"140"	"81"	"76"	"114"	"130"	"10"	"1"	"3"	"2"	"3"	""	""	"420"	""
"263"	"141"	"246"	"23"	"16"	"77"	"8"	"1"	"7"	"1"	"4"	""	""	"383"	""
"264"	"141 d"	"33"	"45"	"53"	"192"	"8"	"1"	"0"	"0"	"5"	""	""	"337"	""
"265"	"142"	"69"	"29"	"52"	"124"	"6"	"4"	"4"	"1"	"3"	""	""	"292"	""
"266"	"143"	"31"	"6"	"77"	"205"	"7"	"2"	"3"	"4"	"12"	""	""	"347"	""
"267"	"144"	"132"	"30"	"226"	"143"	"9"	"3"	"12"	"4"	"8"	""	""	"567"	""
"268"	"145"	"49"	"10"	"82"	"189"	"13"	"5"	"9"	"6"	"8"	""	""	"371"	""
"269"	"146"	"45"	"3"	"98"	"166"	"1"	"0"	"0"	"1"	"0"	""	""	"314"	""
"270"	"147"	"87"	"28"	"278"	"70"	"6"	"1"	"3"	"1"	"3"	""	""	"477"	""
"271"	"148"	"13"	"128"	"12"	"123"	"4"	"3"	"1"	"2"	"4"	""	""	"290"	""
"272"	"149"	"14"	"49"	"155"	"247"	"11"	"6"	"4"	"7"	"13"	""	""	"506"	""
"273"	";ksx"	"889"	"606"	"1443"	"2426"	"115"	"31"	"50"	"31"	"74"	"0"	"0"	"5665"	""
"274"	"fiNys i`\"B dk ;ksx"	"8743"	"6525"	"30119"	"27749"	"1278"	"354"	"434"	"320"	"758"	"0"	"0"	"76280"	""
"275"	"dqy ;ksx"	"9632"	"7131"	"31562"	"30175"	"1393"	"385"	"484"	"351"	"832"	"0"	"0"	"81945"	""
"276"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"i`\"B la0 12"	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"280"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"282"	"150"	"92"	"11"	"232"	"376"	"15"	"3"	"1"	"3"	"4"	""	""	"737"	""
"283"	"151"	"26"	"332"	"11"	"62"	"3"	"2"	"5"	"9"	"6"	""	""	"456"	""
"284"	"152"	"11"	"291"	"8"	"54"	"1"	"0"	"2"	"1"	"2"	""	""	"370"	""
"285"	"153"	"48"	"90"	"22"	"154"	"9"	"3"	"3"	"0"	"4"	""	""	"333"	""
"286"	"154"	"157"	"55"	"184"	"68"	"2"	"1"	"2"	"3"	"1"	""	""	"473"	""
"287"	"155"	"332"	"8"	"166"	"144"	"4"	"1"	"11"	"1"	"9"	""	""	"676"	""
"288"	"156"	"325"	"5"	"165"	"26"	"3"	"0"	"4"	"2"	"9"	""	""	"539"	""
"289"	"157"	"48"	"20"	"78"	"253"	"7"	"3"	"1"	"4"	"5"	""	""	"419"	""
"290"	"158"	"84"	"17"	"398"	"47"	"2"	"0"	"9"	"1"	"4"	""	""	"562"	""
"291"	"159"	"56"	"109"	"126"	"178"	"7"	"0"	"3"	"1"	"4"	""	""	"484"	""
"292"	"160"	"16"	"12"	"105"	"224"	"14"	"4"	"4"	"6"	"13"	""	""	"398"	""
"293"	"161"	"13"	"36"	"201"	"196"	"16"	"4"	"9"	"5"	"13"	""	""	"493"	""
"294"	"162"	"67"	"72"	"101"	"352"	"5"	"3"	"6"	"4"	"8"	""	""	"618"	""
"295"	"163"	"36"	"8"	"190"	"88"	"5"	"1"	"1"	"1"	"3"	""	""	"333"	""
"296"	";ksx"	"1311"	"1066"	"1987"	"2222"	"93"	"25"	"61"	"41"	"85"	"0"	"0"	"6891"	""
"297"	"fiNys i`\"B dk ;ksx"	"9632"	"7131"	"31562"	"30175"	"1393"	"385"	"484"	"351"	"832"	"0"	"0"	"81945"	""
"298"	"dqy ;ksx"	"10943"	"8197"	"33549"	"32397"	"1486"	"410"	"545"	"392"	"917"	"0"	"0"	"88836"	""
"299"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"i`\"B la0 13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"303"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"304"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"305"	"164"	"5"	"15"	"26"	"424"	"7"	"4"	"1"	"3"	"11"	""	""	"496"	""
"306"	"165"	"158"	"16"	"127"	"291"	"11"	"2"	"5"	"7"	"5"	""	""	"622"	""
"307"	"166"	"44"	"11"	"165"	"313"	"28"	"3"	"7"	"7"	"13"	""	""	"591"	""
"308"	"167"	"29"	"16"	"164"	"167"	"10"	"0"	"3"	"3"	"11"	""	""	"403"	""
"309"	"167 d"	"9"	"14"	"92"	"189"	"6"	"6"	"0"	"3"	"7"	""	""	"326"	""
"310"	"168"	"37"	"21"	"90"	"366"	"4"	"3"	"2"	"3"	"12"	""	""	"538"	""
"311"	"169"	"172"	"9"	"44"	"341"	"9"	"1"	"1"	"2"	"3"	""	""	"582"	""
"312"	"170"	"75"	"22"	"183"	"258"	"19"	"7"	"5"	"6"	"21"	""	""	"596"	""
"313"	"171"	"95"	"9"	"142"	"201"	"18"	"2"	"12"	"5"	"6"	""	""	"490"	""
"314"	"172"	"28"	"7"	"176"	"150"	"8"	"2"	"9"	"5"	"4"	""	""	"389"	""
"315"	"173"	"103"	"6"	"171"	"52"	"9"	"1"	"3"	"1"	"5"	""	""	"351"	""
"316"	"174"	"181"	"10"	"62"	"248"	"5"	"0"	"4"	"3"	"4"	""	""	"517"	""
"317"	"175"	"73"	"29"	"108"	"291"	"12"	"3"	"9"	"0"	"12"	""	""	"537"	""
"318"	"175 d"	"14"	"2"	"92"	"135"	"4"	"3"	"4"	"1"	"3"	""	""	"258"	""
"319"	";ksx"	"1023"	"187"	"1642"	"3426"	"150"	"37"	"65"	"49"	"117"	"0"	"0"	"6696"	""
"320"	"fiNys i`\"B dk ;ksx"	"10943"	"8197"	"33549"	"32397"	"1486"	"410"	"545"	"392"	"917"	"0"	"0"	"88836"	""
"321"	"dqy ;ksx"	"11966"	"8384"	"35191"	"35823"	"1636"	"447"	"610"	"441"	"1034"	"0"	"0"	"95532"	""
"322"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"i`\"B la0 14"	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"326"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"327"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"328"	"176"	"65"	"4"	"229"	"258"	"17"	"6"	"13"	"4"	"15"	""	""	"611"	""
"329"	"177"	"116"	"11"	"113"	"188"	"22"	"2"	"4"	"2"	"11"	""	""	"469"	""
"330"	"178"	"62"	"7"	"93"	"286"	"6"	"1"	"7"	"2"	"6"	""	""	"470"	""
"331"	"179"	"105"	"13"	"312"	"175"	"7"	"6"	"3"	"4"	"15"	""	""	"640"	""
"332"	"180"	"173"	"26"	"119"	"168"	"10"	"5"	"7"	"7"	"10"	""	""	"525"	""
"333"	"181"	"44"	"9"	"164"	"145"	"3"	"2"	"5"	"0"	"0"	""	""	"372"	""
"334"	"181 d"	"0"	"17"	"225"	"138"	"11"	"1"	"2"	"1"	"2"	""	""	"397"	""
"335"	"182"	"122"	"5"	"131"	"86"	"1"	"0"	"2"	"0"	"0"	""	""	"347"	""
"336"	"182 d"	"54"	"4"	"187"	"57"	"13"	"0"	"6"	"0"	"3"	""	""	"324"	""
"337"	"183"	"2"	"86"	"4"	"174"	"2"	"3"	"0"	"1"	"0"	""	""	"272"	""
"338"	"184"	"31"	"4"	"184"	"347"	"10"	"3"	"1"	"4"	"0"	""	""	"584"	""
"339"	"185"	"212"	"13"	"226"	"29"	"2"	"4"	"3"	"2"	"11"	""	""	"502"	""
"340"	"186"	"74"	"13"	"82"	"444"	"9"	"5"	"5"	"4"	"12"	""	""	"648"	""
"341"	"187"	"21"	"19"	"222"	"160"	"7"	"1"	"1"	"1"	"5"	""	""	"437"	""
"342"	";ksx"	"1081"	"231"	"2291"	"2655"	"120"	"39"	"59"	"32"	"90"	"0"	"0"	"6598"	""
"343"	"fiNys i`\"B dk ;ksx"	"11966"	"8384"	"35191"	"35823"	"1636"	"447"	"610"	"441"	"1034"	"0"	"0"	"95532"	""
"344"	"dqy ;ksx"	"13047"	"8615"	"37482"	"38478"	"1756"	"486"	"669"	"473"	"1124"	"0"	"0"	"102130"	""
"345"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"i`\"B la0 15"	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"pÿ la[;k&16"	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"iz:i& 20 ºvafre ifj.kke&Ik=Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"209& fnukjk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy;s fuokZpu Hkkx& 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"352"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"353"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"354"	"188"	"91"	"110"	"192"	"143"	"8"	"2"	"6"	"0"	"13"	""	""	"565"	""
"355"	"189"	"121"	"11"	"34"	"192"	"7"	"2"	"0"	"4"	"2"	""	""	"373"	""
"356"	"190"	"116"	"30"	"112"	"378"	"45"	"5"	"2"	"0"	"0"	""	""	"688"	""
"357"	"191"	"44"	"5"	"366"	"84"	"4"	"1"	"0"	"0"	"0"	""	""	"504"	""
"358"	"192"	"172"	"118"	"101"	"269"	"8"	"1"	"7"	"4"	"15"	""	""	"695"	""
"359"	"193"	"44"	"17"	"199"	"174"	"3"	"3"	"3"	"1"	"2"	""	""	"446"	""
"360"	"193 d"	"9"	"4"	"93"	"251"	"2"	"2"	"1"	"0"	"0"	""	""	"362"	""
"361"	"194"	"28"	"19"	"316"	"47"	"4"	"0"	"0"	"1"	"0"	""	""	"415"	""
"362"	"195"	"156"	"3"	"264"	"2"	"0"	"0"	"2"	"0"	"0"	""	""	"427"	""
"363"	"196"	"45"	"21"	"130"	"92"	"133"	"2"	"4"	"1"	"3"	""	""	"431"	""
"364"	"197"	"113"	"16"	"243"	"286"	"5"	"0"	"4"	"2"	"2"	""	""	"671"	""
"365"	"198"	"10"	"28"	"154"	"161"	"44"	"3"	"1"	"1"	"5"	""	""	"407"	""
"366"	"199"	"63"	"19"	"132"	"47"	"7"	"1"	"6"	"3"	"5"	""	""	"283"	""
"367"	"200"	"85"	"57"	"204"	"164"	"8"	"7"	"3"	"2"	"1"	""	""	"531"	""
"368"	";ksx"	"1097"	"458"	"2540"	"2290"	"278"	"29"	"39"	"19"	"48"	"0"	"0"	"6798"	""
"369"	"fiNys i`\"B dk ;ksx"	"13047"	"8615"	"37482"	"38478"	"1756"	"486"	"669"	"473"	"1124"	"0"	"0"	"102130"	""
"370"	"dqy ;ksx"	"14144"	"9073"	"40022"	"40768"	"2034"	"515"	"708"	"492"	"1172"	"0"	"0"	"108928"	""
"371"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"i`\"B la0 16"	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"pÿ la[;k&17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"iz:i& 20 ºvafre ifj.kke&Ik=Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"209& fnukjk fuokZpu {ks= esa fcgkj fo/kku lHkk ds fy;s fuokZpu Hkkx& 1"	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"ernku dsanz dh la[;k"	"fuEufyf[kr i{k esa fn;s x;s   fof/kekU; erkssa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"378"	""	"v'kksd dqekj xqIrk"	"dkes'oj flag"	"jke/kuh flaag"	"lhrk lqanjh nsoh"	"f'koewjr frokjh"	"flikgh jk;"	"f'koth flag"	"';keyky ikloku"	"lqjs'k ilkn"	""	""	""	""
"379"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"380"	"201"	"13"	"10"	"277"	"273"	"3"	"3"	"1"	"2"	"4"	""	""	"586"	""
"381"	"202"	"8"	"1"	"313"	"56"	"8"	"2"	"1"	"1"	"4"	""	""	"394"	""
"382"	"203"	"27"	"11"	"14"	"389"	"8"	"0"	"0"	"0"	"3"	""	""	"452"	""
"383"	"204"	"2"	"50"	"38"	"293"	"2"	"0"	"0"	"0"	"0"	""	""	"385"	""
"384"	"205"	"35"	"15"	"288"	"39"	"13"	"3"	"1"	"2"	"2"	""	""	"398"	""
"385"	"205 d"	"7"	"33"	"101"	"120"	"9"	"7"	"2"	"4"	"2"	""	""	"285"	""
"386"	";ksx"	"92"	"120"	"1031"	"1170"	"43"	"15"	"5"	"9"	"15"	""	""	"2500"	""
"387"	"fiNys i`\"B dk ;ksx"	"14144"	"9073"	"40022"	"40768"	"2034"	"515"	"708"	"492"	"1172"	""	""	"108928"	""
"388"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh
dqy la[;k"	"14236"	"9193"	"41053"	"41938"	"2077"	"530"	"713"	"501"	"1187"	"0"	"0"	"111428"	""
"389"	"Mkd er i=ksa ij vfHkfyf[kr erksa dh la[;k"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	"6"	""
"390"	"egk ;ksx"	"14239"	"9195"	"41054"	"41938"	"2077"	"530"	"713"	"501"	"1187"	"0"	"0"	"111434"	""
"391"	"dqy i`\"Bksa dh la[;k & 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"i`\"B la0 17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""	""	""	""	""	""	""	""	""	""	""	""
