"X.See.Rule.56c.2.c."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"203"	"165"	"43"	"193"	"15"	"44"	"4"	"3"	"1"	"0"	"1"	"2"	"3"	""	"309"	"309"	"0"
"204"	"166"	"125"	"34"	"7"	"48"	"13"	"1"	"1"	"6"	"5"	"10"	"38"	""	"288"	"288"	"0"
"205"	"167"	"42"	"246"	"17"	"27"	"8"	"5"	"2"	"7"	"6"	"8"	"20"	""	"388"	"388"	"0"
"206"	"168"	"42"	"81"	"11"	"388"	"6"	"0"	"4"	"4"	"0"	"3"	"13"	""	"552"	"552"	"0"
"207"	"169"	"78"	"99"	"13"	"236"	"16"	"7"	"5"	"9"	"4"	"5"	"25"	""	"497"	"497"	"0"
"208"	"170"	"32"	"110"	"8"	"222"	"6"	"1"	"4"	"2"	"3"	"4"	"15"	""	"407"	"407"	"0"
"209"	"171"	"36"	"203"	"6"	"98"	"14"	"10"	"7"	"8"	"6"	"4"	"16"	""	"408"	"408"	"0"
"210"	"172"	"35"	"223"	"17"	"36"	"9"	"7"	"2"	"4"	"7"	"6"	"19"	"0"	"365"	"365"	"0"
"211"	"173"	"4"	"50"	"11"	"317"	"5"	"5"	"3"	"5"	"3"	"3"	"16"	"0"	"422"	"422"	"0"
"212"	"174"	"18"	"154"	"16"	"180"	"10"	"4"	"1"	"18"	"6"	"12"	"25"	"0"	"444"	"444"	"0"
"213"	"175"	"62"	"59"	"11"	"239"	"7"	"1"	"1"	"5"	"2"	"9"	"13"	"0"	"409"	"409"	"0"
"214"	"175A"	"72"	"110"	"5"	"105"	"4"	"0"	"1"	"1"	"1"	"0"	"2"	"0"	"301"	"301"	"0"
"215"	"176"	"27"	"121"	"10"	"61"	"7"	"0"	"3"	"5"	"2"	"3"	"13"	"0"	"252"	"252"	"0"
"216"	"177"	"20"	"320"	"10"	"271"	"7"	"3"	"3"	"6"	"2"	"3"	"5"	"0"	"650"	"650"	"0"
"217"	"178"	"20"	"289"	"12"	"76"	"10"	"3"	"3"	"5"	"0"	"7"	"20"	""	"445"	"445"	"0"
"218"	"179"	"8"	"502"	"15"	"91"	"10"	"0"	"6"	"7"	"11"	"11"	"19"	""	"680"	"680"	"0"
"219"	"180"	"17"	"316"	"10"	"48"	"6"	"3"	"4"	"2"	"3"	"1"	"4"	""	"414"	"414"	"0"
"220"	"181"	"24"	"196"	"6"	"193"	"5"	"1"	"8"	"7"	"4"	"7"	"5"	""	"456"	"456"	"0"
"221"	"181A"	"54"	"55"	"5"	"127"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	""	"246"	"246"	"0"
"222"	"182"	"114"	"205"	"11"	"263"	"9"	"4"	"12"	"11"	"6"	"3"	"27"	""	"665"	"665"	"0"
"223"	"183"	"103"	"286"	"12"	"158"	"7"	"5"	"13"	"8"	"2"	"5"	"9"	""	"608"	"608"	"0"
"224"	"184"	"104"	"329"	"15"	"45"	"9"	"2"	"4"	"1"	"2"	"3"	"8"	"0"	"522"	"522"	"0"
"225"	"185"	"11"	"14"	"5"	"253"	"19"	"2"	"6"	"10"	"4"	"4"	"15"	"0"	"343"	"343"	"0"
"226"	"186"	"14"	"114"	"7"	"182"	"10"	"0"	"3"	"6"	"2"	"5"	"6"	"0"	"349"	"349"	"0"
"227"	"187"	"50"	"136"	"5"	"258"	"11"	"0"	"4"	"4"	"2"	"5"	"6"	"0"	"481"	"481"	"0"
"228"	"188"	"39"	"191"	"10"	"35"	"3"	"1"	"3"	"7"	"5"	"8"	"15"	"0"	"317"	"317"	"0"
"229"	"189"	"49"	"132"	"10"	"165"	"13"	"2"	"0"	"2"	"3"	"4"	"13"	"0"	"393"	"393"	"0"
"230"	"189A"	"61"	"173"	"7"	"82"	"10"	"1"	"0"	"5"	"1"	"5"	"10"	"0"	"355"	"355"	"0"
"231"	"190"	"29"	"279"	"17"	"59"	"3"	"3"	"6"	"0"	"1"	"0"	"4"	""	"401"	"401"	"0"
"232"	"191"	"18"	"320"	"13"	"28"	"2"	"5"	"1"	"2"	"0"	"3"	"6"	""	"398"	"398"	"0"
"233"	"191A"	"5"	"235"	"15"	"25"	"3"	"3"	"6"	"1"	"1"	"9"	"9"	""	"312"	"312"	"0"
"234"	"192"	"22"	"400"	"18"	"32"	"5"	"1"	"7"	"5"	"5"	"14"	"19"	""	"528"	"528"	"0"
"235"	"193"	"6"	"54"	"2"	"301"	"8"	"0"	"1"	"3"	"0"	"0"	"0"	""	"375"	"375"	"0"
"236"	"193A"	"19"	"173"	"3"	"27"	"6"	"1"	"0"	"5"	"2"	"0"	"10"	""	"246"	"246"	"0"
"237"	"194"	"27"	"298"	"12"	"10"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	""	"353"	"353"	"0"
"238"	"195"	"50"	"122"	"10"	"27"	"3"	"3"	"3"	"1"	"2"	"6"	"17"	"0"	"244"	"244"	"0"
"239"	"196"	"81"	"325"	"15"	"79"	"8"	"3"	"3"	"1"	"2"	"2"	"5"	"0"	"524"	"524"	"0"
"240"	"197"	"58"	"251"	"28"	"188"	"11"	"5"	"9"	"4"	"4"	"3"	"7"	"0"	"568"	"568"	""
"241"	"198"	"23"	"322"	"16"	"57"	"4"	"1"	"0"	"1"	"1"	"4"	"4"	"0"	"433"	"433"	""
"242"	"198A"	"39"	"222"	"26"	"51"	"7"	"1"	"2"	"4"	"5"	"11"	"15"	"0"	"383"	"383"	""
"243"	"199"	"58"	"142"	"10"	"169"	"10"	"4"	"2"	"4"	"4"	"2"	"10"	"0"	"415"	"415"	""
"244"	"200"	"224"	"159"	"18"	"129"	"19"	"5"	"5"	"4"	"2"	"3"	"16"	"0"	"584"	"584"	""
"245"	"201"	"27"	"17"	"5"	"210"	"10"	"2"	"3"	"3"	"2"	"3"	"7"	""	"289"	"289"	""
"246"	"202"	"18"	"285"	"15"	"19"	"4"	"4"	"7"	"2"	"2"	"2"	"1"	""	"359"	"359"	""
"247"	"203"	"12"	"201"	"15"	"13"	"6"	"3"	"2"	"1"	"1"	"8"	"7"	""	"269"	"269"	""
"248"	"204"	"39"	"167"	"20"	"298"	"15"	"5"	"9"	"12"	"1"	"5"	"19"	""	"590"	"590"	""
"249"	"205"	"49"	"246"	"25"	"280"	"17"	"4"	"5"	"14"	"1"	"3"	"12"	""	"656"	"656"	""
"250"	"206"	"86"	"208"	"19"	"88"	"6"	"5"	"0"	"2"	"1"	"2"	"6"	""	"423"	"423"	""
"251"	"207"	"51"	"83"	"6"	"255"	"11"	"5"	"0"	"2"	"1"	"0"	"7"	""	"421"	"421"	""
"252"	"207A"	"67"	"111"	"10"	"181"	"7"	"1"	"5"	"6"	"4"	"8"	"11"	"0"	"411"	"411"	""
"253"	"208"	"73"	"336"	"11"	"140"	"7"	"0"	"1"	"6"	"1"	"2"	"4"	"0"	"581"	"581"	""
"254"	"209"	"20"	"229"	"14"	"135"	"5"	"2"	"1"	"3"	"1"	"2"	"5"	"0"	"417"	"417"	""
"255"	"210"	"34"	"223"	"17"	"298"	"11"	"5"	"3"	"10"	"3"	"4"	"14"	"0"	"622"	"622"	""
"256"	"211"	"44"	"131"	"3"	"281"	"8"	"0"	"1"	"4"	"1"	"5"	"10"	"0"	"488"	"488"	""
"257"	"212"	"25"	"74"	"3"	"247"	"9"	"1"	"1"	"2"	"2"	"2"	"3"	"0"	"369"	"369"	""
"258"	"212A"	"35"	"70"	"3"	"126"	"7"	"2"	"3"	"11"	"6"	"4"	"20"	"0"	"287"	"287"	""
"259"	"213"	"19"	"131"	"8"	"227"	"19"	"4"	"4"	"4"	"5"	"5"	"13"	""	"439"	"439"	""
"260"	"214"	"35"	"82"	"4"	"232"	"6"	"1"	"1"	"2"	"1"	"1"	"14"	""	"379"	"379"	""
"261"	"215"	"45"	"83"	"6"	"85"	"5"	"1"	"2"	"0"	"0"	"2"	"1"	""	"230"	"230"	""
"262"	"216"	"111"	"198"	"4"	"289"	"8"	"0"	"0"	"4"	"1"	"1"	"8"	""	"624"	"624"	""
"263"	"217"	"66"	"149"	"12"	"182"	"11"	"2"	"6"	"7"	"5"	"9"	"18"	""	"467"	"467"	""
"264"	"218"	"18"	"163"	"5"	"182"	"8"	"3"	"0"	"5"	"1"	"1"	"15"	""	"401"	"401"	""
"265"	"218A"	"23"	"184"	"11"	"80"	"9"	"4"	"1"	"5"	"1"	"4"	"8"	""	"330"	"330"	""
"266"	"219"	"58"	"219"	"15"	"30"	"5"	"3"	"2"	"3"	"0"	"6"	"11"	"0"	"352"	"352"	""
"267"	"220"	"29"	"352"	"17"	"61"	"9"	"5"	"3"	"2"	"6"	"11"	"16"	"0"	"511"	"511"	""
"268"	"221"	"80"	"253"	"17"	"149"	"11"	"4"	"1"	"2"	"2"	"3"	"9"	"0"	"531"	"531"	""
"269"	"222"	"14"	"164"	"14"	"230"	"12"	"3"	"2"	"6"	"3"	"3"	"6"	"0"	"457"	"457"	""
"270"	"223"	"32"	"184"	"7"	"324"	"9"	"1"	"4"	"1"	"0"	"0"	"3"	"0"	"565"	"565"	""
"271"	"224"	"23"	"254"	"14"	"21"	"4"	"0"	"0"	"1"	"1"	"4"	"3"	"0"	"325"	"325"	""
"272"	"225"	"26"	"259"	"10"	"109"	"2"	"0"	"2"	"2"	"3"	"5"	"5"	"0"	"423"	"423"	""
"273"	"226"	"31"	"212"	"13"	"223"	"8"	"5"	"0"	"7"	"3"	"6"	"18"	""	"526"	"526"	""
"274"	"227"	"23"	"155"	"6"	"275"	"14"	"0"	"0"	"4"	"1"	"3"	"6"	""	"487"	"487"	""
"275"	"228"	"67"	"325"	"14"	"58"	"6"	"2"	"2"	"1"	"2"	"4"	"2"	""	"483"	"483"	""
"276"	"229"	"16"	"160"	"6"	"43"	"6"	"2"	"0"	"2"	"2"	"6"	"7"	""	"250"	"250"	""
"277"	"230"	"10"	"129"	"19"	"190"	"6"	"2"	"1"	"8"	"3"	"5"	"8"	""	"381"	"381"	""
"278"	"Total"	"9217"	"41448"	"2535"	"41366"	"1890"	"565"	"600"	"968"	"598"	"1057"	"2676"	"0"	"102920"	"102920"	"0"
"279"	""	"Postal  Ballot"	""	""	"2"	""	""	""	""	""	""	""	"1"	""	"3"	""
"280"	"G.Tota"	"9217"	""	"2535"	"41368"	"1890"	"565"	"600"	"968"	"598"	"1057"	"2676"	"1"	"102920"	"102923"	"0"
"281"	"Place                       Bazar Samiti,Lakhisarai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Date                          11/22/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
