"Name.of.the.Assembly....72.Pupri"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"188"	"149"	"2"	"168"	"14"	"40"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	"229"	"-"	"229"	"-"
"189"	"150"	"9"	"86"	"12"	"177"	"3"	"0"	"10"	"2"	"1"	"0"	"5"	"305"	"-"	"305"	"-"
"190"	"151"	"13"	"127"	"107"	"191"	"5"	"11"	"15"	"11"	"11"	"6"	"19"	"516"	"-"	"516"	"-"
"191"	"152"	"16"	"259"	"86"	"67"	"8"	"5"	"3"	"4"	"6"	"6"	"13"	"473"	"-"	"473"	"-"
"192"	"153"	"9"	"27"	"12"	"208"	"3"	"1"	"7"	"1"	"2"	"1"	"4"	"275"	"-"	"275"	"-"
"193"	"154"	"9"	"52"	"162"	"63"	"4"	"10"	"11"	"8"	"7"	"5"	"8"	"339"	"-"	"339"	"-"
"194"	"155"	"16"	"62"	"129"	"98"	"6"	"11"	"11"	"8"	"9"	"37"	"10"	"397"	"-"	"397"	"-"
"195"	"156"	"6"	"96"	"24"	"329"	"6"	"2"	"12"	"12"	"6"	"3"	"13"	"509"	"-"	"509"	"-"
"196"	"157"	"8"	"148"	"21"	"88"	"3"	"3"	"3"	"3"	"1"	"2"	"3"	"283"	"-"	"283"	"-"
"197"	"158"	"10"	"88"	"74"	"72"	"4"	"7"	"7"	"6"	"10"	"7"	"13"	"298"	"-"	"298"	"-"
"198"	"159"	"16"	"119"	"51"	"191"	"6"	"6"	"7"	"6"	"1"	"4"	"17"	"424"	"-"	"424"	"-"
"199"	"160"	"15"	"178"	"66"	"146"	"9"	"10"	"11"	"3"	"6"	"7"	"9"	"460"	"-"	"460"	"-"
"200"	"161"	"5"	"56"	"88"	"132"	"5"	"15"	"9"	"5"	"12"	"10"	"15"	"352"	"-"	"352"	"-"
"201"	"162"	"10"	"107"	"79"	"130"	"4"	"14"	"14"	"7"	"15"	"4"	"28"	"412"	"-"	"412"	"-"
"202"	"163"	"8"	"47"	"116"	"38"	"2"	"7"	"5"	"11"	"10"	"4"	"14"	"262"	"-"	"262"	"-"
"203"	"164"	"10"	"165"	"43"	"69"	"8"	"5"	"7"	"6"	"8"	"2"	"14"	"337"	"-"	"337"	"-"
"204"	"165"	"8"	"126"	"112"	"68"	"3"	"7"	"5"	"3"	"6"	"2"	"10"	"350"	"-"	"350"	"-"
"205"	"165A"	"1"	"41"	"20"	"93"	"2"	"5"	"8"	"3"	"2"	"0"	"2"	"177"	"-"	"177"	"-"
"206"	"166"	"3"	"68"	"62"	"131"	"2"	"3"	"10"	"3"	"9"	"4"	"6"	"301"	"-"	"301"	"-"
"207"	"167"	"3"	"25"	"72"	"83"	"4"	"9"	"10"	"1"	"2"	"2"	"1"	"212"	"-"	"212"	"-"
"208"	"168"	"6"	"85"	"160"	"82"	"8"	"8"	"10"	"5"	"8"	"3"	"3"	"378"	"-"	"378"	"-"
"209"	"169"	"14"	"112"	"106"	"65"	"4"	"7"	"2"	"5"	"4"	"3"	"1"	"323"	"-"	"323"	"-"
"210"	"170"	"27"	"146"	"98"	"80"	"10"	"15"	"13"	"1"	"5"	"8"	"6"	"409"	"-"	"409"	"-"
"211"	"171"	"13"	"179"	"40"	"24"	"2"	"3"	"0"	"0"	"3"	"4"	"6"	"274"	"-"	"274"	"-"
"212"	"171A"	"12"	"120"	"132"	"7"	"6"	"6"	"0"	"7"	"6"	"6"	"10"	"312"	"-"	"312"	"-"
"213"	"172"	"5"	"43"	"3"	"146"	"2"	"2"	"4"	"6"	"4"	"2"	"7"	"224"	"-"	"224"	"-"
"214"	"173"	"12"	"7"	"32"	"330"	"7"	"5"	"18"	"17"	"3"	"5"	"22"	"458"	"-"	"458"	"-"
"215"	"174"	"18"	"168"	"133"	"101"	"1"	"14"	"7"	"11"	"7"	"4"	"10"	"474"	"-"	"474"	"-"
"216"	"175"	"13"	"220"	"74"	"71"	"4"	"9"	"3"	"6"	"6"	"1"	"11"	"418"	"-"	"418"	"-"
"217"	"176"	"7"	"202"	"104"	"62"	"1"	"1"	"2"	"4"	"5"	"1"	"9"	"398"	"-"	"398"	"-"
"218"	"177"	"17"	"201"	"120"	"54"	"13"	"5"	"4"	"11"	"7"	"3"	"13"	"448"	"-"	"448"	"-"
"219"	"178"	"7"	"73"	"74"	"203"	"6"	"11"	"12"	"9"	"8"	"5"	"7"	"415"	"-"	"415"	"-"
"220"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"222"	"179"	"4"	"20"	"152"	"36"	"4"	"8"	"6"	"8"	"8"	"2"	"3"	"251"	"-"	"251"	"-"
"223"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"224"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"225"	"180"	"1"	"61"	"56"	"113"	"0"	"6"	"3"	"1"	"2"	"5"	"8"	"256"	"-"	"256"	"-"
"226"	"181"	"0"	"41"	"52"	"271"	"2"	"3"	"9"	"5"	"4"	"2"	"14"	"403"	"-"	"403"	"-"
"227"	"182"	"1"	"49"	"101"	"114"	"4"	"8"	"6"	"3"	"9"	"3"	"11"	"309"	"-"	"309"	"-"
"228"	"183"	"21"	"93"	"52"	"176"	"2"	"8"	"17"	"9"	"12"	"7"	"28"	"425"	"-"	"425"	"-"
"229"	"184"	"21"	"133"	"74"	"123"	"9"	"17"	"12"	"7"	"7"	"5"	"14"	"422"	"-"	"422"	"-"
"230"	"185"	"3"	"79"	"77"	"291"	"7"	"7"	"11"	"2"	"2"	"3"	"2"	"484"	"-"	"484"	"-"
"231"	"186"	"3"	"55"	"136"	"38"	"1"	"6"	"3"	"3"	"6"	"2"	"3"	"256"	"-"	"256"	"-"
"232"	"186A"	"0"	"22"	"4"	"301"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"331"	"-"	"331"	"-"
"233"	"187"	"7"	"58"	"207"	"19"	"58"	"12"	"2"	"6"	"12"	"1"	"4"	"386"	"-"	"386"	"-"
"234"	"188"	"13"	"219"	"18"	"55"	"8"	"3"	"7"	"5"	"1"	"3"	"14"	"346"	"-"	"346"	"-"
"235"	"189"	"4"	"15"	"143"	"23"	"1"	"11"	"7"	"2"	"13"	"1"	"8"	"228"	"-"	"228"	"-"
"236"	"190"	"9"	"39"	"7"	"170"	"4"	"4"	"4"	"3"	"3"	"5"	"10"	"258"	"-"	"258"	"-"
"237"	"191"	"4"	"51"	"4"	"77"	"0"	"0"	"4"	"1"	"2"	"2"	"3"	"148"	"-"	"148"	"-"
"238"	"192"	"6"	"194"	"25"	"66"	"1"	"3"	"4"	"0"	"0"	"2"	"1"	"302"	"-"	"302"	"-"
"239"	"193"	"4"	"30"	"36"	"15"	"3"	"9"	"4"	"3"	"4"	"1"	"5"	"114"	"-"	"114"	"-"
"240"	"194"	"14"	"95"	"44"	"317"	"8"	"9"	"17"	"5"	"4"	"6"	"12"	"531"	"-"	"531"	"-"
"241"	"195"	"32"	"123"	"25"	"233"	"6"	"6"	"9"	"7"	"3"	"2"	"8"	"454"	"-"	"454"	"-"
"242"	"196"	"9"	"91"	"164"	"184"	"10"	"11"	"11"	"6"	"6"	"7"	"8"	"507"	"-"	"507"	"-"
"243"	"197"	"20"	"181"	"45"	"39"	"4"	"3"	"8"	"8"	"3"	"7"	"5"	"323"	"-"	"323"	"-"
"244"	"198"	"30"	"293"	"86"	"148"	"4"	"5"	"10"	"5"	"2"	"2"	"5"	"590"	"-"	"590"	"-"
"245"	"199"	"15"	"158"	"27"	"224"	"5"	"6"	"11"	"6"	"1"	"0"	"4"	"457"	"-"	"457"	"-"
"246"	"200"	"11"	"145"	"29"	"96"	"6"	"9"	"4"	"0"	"4"	"2"	"2"	"308"	"-"	"308"	"-"
"247"	"201"	"3"	"39"	"7"	"223"	"2"	"2"	"5"	"2"	"1"	"2"	"5"	"291"	"-"	"291"	"-"
"248"	"202"	"27"	"216"	"23"	"95"	"7"	"3"	"6"	"0"	"3"	"3"	"9"	"392"	"-"	"392"	"-"
"249"	"203"	"6"	"245"	"14"	"30"	"4"	"1"	"0"	"0"	"2"	"3"	"2"	"307"	"-"	"307"	"-"
"250"	"204"	"7"	"183"	"44"	"205"	"3"	"7"	"5"	"3"	"8"	"2"	"11"	"478"	"-"	"478"	"-"
"251"	"205"	"9"	"282"	"26"	"168"	"9"	"4"	"6"	"6"	"2"	"8"	"17"	"537"	"-"	"537"	"-"
"252"	"206"	"9"	"132"	"29"	"131"	"4"	"4"	"6"	"7"	"6"	"1"	"3"	"332"	"-"	"332"	"-"
"253"	"207"	"5"	"73"	"55"	"15"	"5"	"5"	"1"	"2"	"8"	"2"	"11"	"182"	"-"	"182"	"-"
"254"	"208"	"3"	"45"	"77"	"179"	"3"	"3"	"2"	"2"	"5"	"5"	"3"	"327"	"-"	"327"	"-"
"255"	"209"	"11"	"68"	"41"	"151"	"7"	"5"	"11"	"3"	"3"	"2"	"5"	"307"	"-"	"307"	"-"
"256"	"210"	"12"	"126"	"32"	"126"	"5"	"6"	"10"	"7"	"4"	"5"	"21"	"354"	"-"	"354"	"-"
"257"	"211"	"12"	"189"	"36"	"216"	"12"	"7"	"17"	"2"	"4"	"3"	"16"	"514"	"-"	"514"	"-"
"258"	"212"	"13"	"125"	"62"	"107"	"6"	"5"	"11"	"8"	"13"	"9"	"29"	"388"	"-"	"388"	"-"
"259"	"212A"	"3"	"140"	"10"	"66"	"3"	"1"	"8"	"2"	"2"	"0"	"4"	"239"	"-"	"239"	"-"
"260"	"213"	"4"	"51"	"5"	"192"	"2"	"0"	"4"	"2"	"2"	"1"	"8"	"271"	"-"	"271"	"-"
"261"	"214"	"5"	"66"	"94"	"83"	"12"	"13"	"11"	"6"	"8"	"8"	"9"	"315"	"-"	"315"	"-"
"262"	"215"	"3"	"28"	"14"	"320"	"7"	"7"	"8"	"8"	"2"	"1"	"8"	"406"	"-"	"406"	"-"
"263"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"264"	""	"Krishna Dev Rai"	"Ram Dulari Devi"	"Ram Pramod Sahni"	"Shahid Ali Khan"	"Shambhu Prasad"	"Sonelal Sah"	"Ashlam"	"Ehsanul Rahman"	"Dharmnath Paswan"	"Pappu Kumar Mishra"	"Mahtab Husain Azad"	""	""	""	""
"265"	"216"	"21"	"252"	"108"	"104"	"14"	"13"	"5"	"9"	"5"	"10"	"17"	"558"	"-"	"558"	"-"
"266"	"217"	"13"	"17"	"32"	"119"	"9"	"6"	"5"	"6"	"3"	"4"	"11"	"225"	"-"	"225"	"-"
"267"	"218"	"6"	"88"	"18"	"90"	"6"	"3"	"7"	"4"	"3"	"2"	"1"	"228"	"-"	"228"	"-"
"268"	"219"	"10"	"35"	"21"	"382"	"6"	"6"	"8"	"6"	"5"	"2"	"12"	"493"	"-"	"493"	"-"
"269"	"220"	"26"	"215"	"90"	"29"	"4"	"9"	"6"	"8"	"7"	"8"	"5"	"407"	"-"	"407"	"-"
"270"	"221"	"1"	"55"	"41"	"228"	"4"	"2"	"9"	"3"	"5"	"3"	"6"	"357"	"-"	"357"	"-"
"271"	"222"	"1"	"61"	"8"	"64"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"136"	"-"	"136"	"-"
"272"	"223"	"8"	"156"	"55"	"132"	"3"	"4"	"8"	"5"	"6"	"2"	"9"	"388"	"-"	"388"	"-"
"273"	"224"	"14"	"179"	"47"	"89"	"4"	"13"	"15"	"5"	"13"	"9"	"26"	"414"	"-"	"414"	"-"
"274"	"225"	"6"	"119"	"25"	"150"	"3"	"7"	"15"	"3"	"12"	"8"	"18"	"366"	"-"	"366"	"-"
"275"	"226"	"4"	"50"	"9"	"196"	"5"	"1"	"13"	"1"	"2"	"0"	"9"	"290"	"-"	"290"	"-"
"276"	"226A"	"3"	"26"	"4"	"159"	"4"	"0"	"5"	"3"	"1"	"1"	"2"	"208"	"-"	"208"	"-"
"277"	"227"	"18"	"201"	"148"	"151"	"16"	"14"	"22"	"6"	"7"	"5"	"14"	"602"	"-"	"602"	"-"
"278"	"228"	"9"	"259"	"13"	"227"	"2"	"1"	"13"	"3"	"0"	"2"	"4"	"533"	"-"	"533"	"-"
"279"	"229"	"24"	"205"	"24"	"14"	"4"	"4"	"4"	"4"	"5"	"7"	"16"	"311"	"-"	"311"	"-"
"280"	"Total"	"2485"	"31639"	"13624"	"38301"	"1259"	"1534"	"2001"	"1273"	"1222"	"1012"	"2304"	"96654"	"0"	"96654"	"-"
"281"	"Total No. of Valid Votes recorded on Postal Ballot Papers for Candidates and of rejected Postal Ballot Papers"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"6"	"6"	"-"
"282"	"Grand
Total"	"2485"	"31639"	"13624"	"38301"	"1259"	"1534"	"2001"	"1273"	"1222"	"1012"	"2304"	"96654"	"6"	"96660"	"-"
"283"	"Place :- Sitamarhi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Date :- 22 Nov. 2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
