"ANNEXURE..XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"245"	"172A"	"39"	"4"	"72"	"19"	"1"	"28"	"84"	"14"	"261"	"0"	"261"	"0"
"246"	"173"	"27"	"9"	"72"	"25"	"23"	"7"	"15"	"3"	"181"	"0"	"181"	"0"
"247"	"173A"	"110"	"3"	"73"	"22"	"3"	"26"	"6"	"2"	"245"	"0"	"245"	"0"
"248"	"174"	"52"	"8"	"140"	"32"	"8"	"21"	"30"	"15"	"306"	"0"	"306"	"0"
"249"	"175"	"67"	"14"	"200"	"125"	"15"	"14"	"74"	"26"	"535"	"0"	"535"	"0"
"250"	"176"	"59"	"4"	"56"	"37"	"176"	"6"	"28"	"4"	"370"	"0"	"370"	"0"
"251"	"177"	"38"	"5"	"198"	"72"	"20"	"28"	"122"	"33"	"516"	"0"	"516"	"0"
"252"	"178"	"44"	"12"	"105"	"37"	"143"	"22"	"128"	"15"	"506"	"0"	"506"	"0"
"253"	"179"	"26"	"14"	"140"	"56"	"33"	"18"	"108"	"19"	"414"	"0"	"414"	"0"
"254"	"Total No. of Votes recorded on Polling Stations"	"16174"	"2183"	"34102"	"29141"	"2625"	"2594"	"7058"	"2460"	"96337"	"0"	"96337"	"0"
"255"	"No. of Votes recorded on Postal Ballot
papers"	"0"	"0"	"0"	"4"	"0"	"0"	"1"	"0"	"5"	"2"	"7"	"0"
"256"	"Total Votes
Polled"	"16174"	"2183"	"34102"	"29145"	"2625"	"2594"	"7059"	"2460"	"96342"	"2"	"96344"	"0"
"257"	"Place :        Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Date :          22/11/2005"	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"Assistant Returning Officer                                  Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"106- BARAUNI A.C.                                        106- BARAUNI A.C."	""	""	""	""	""	""	""	""	""	""	""	""
