"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"
"1"	"SEE RULE 56C (2) ©"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE 39 MARHOWRAH LEGSLATIVE ASSEMBLY CONSTITUENCY 2005 PART-1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RSULT SHEET 39- MARHOWRAH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"SR.NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	"TOTAL"	""	""	""	""	""	""	""	""	""
"5"	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	""	"SHEO NATH SHARMA"	""	"AJJET
KUMAR"	""	"TEJ NARAYAN
SINGH"	""	"RAJENDRA
MANJHI"	""	"RAJESH
KUMAR"	""	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"100"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ
NARAYAN SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"101"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"102"	"54"	""	"15"	""	""	"126"	""	"23"	""	""	"53"	""	""	"6"	""	"5"	""	""	"5"	""	""	"4"	""	""	"4"	""	""	"8"	""	"118"	""	""	"19"	""	""	"386"	""	""	""	""	""	""	""
"103"	"55"	""	"9"	""	""	"37"	""	"17"	""	""	"32"	""	""	"4"	""	"12"	""	""	"6"	""	""	"4"	""	""	"4"	""	""	"13"	""	"249"	""	""	"8"	""	""	"395"	""	""	""	""	""	""	""
"104"	"56"	""	"5"	""	""	"130"	""	"44"	""	""	"20"	""	""	"4"	""	"5"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	"8"	""	"104"	""	""	"9"	""	""	"333"	""	""	""	""	""	""	""
"105"	"57"	""	"18"	""	""	"32"	""	"27"	""	""	"34"	""	""	"5"	""	"5"	""	""	"7"	""	""	"9"	""	""	"10"	""	""	"17"	""	"275"	""	""	"36"	""	""	"475"	""	""	""	""	""	""	""
"106"	"58"	""	"15"	""	""	"24"	""	"22"	""	""	"67"	""	""	"4"	""	"10"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	"7"	""	"166"	""	""	"9"	""	""	"329"	""	""	""	""	""	""	""
"107"	"59"	""	"16"	""	""	"106"	""	"21"	""	""	"123"	""	""	"5"	""	"6"	""	""	"7"	""	""	"2"	""	""	"7"	""	""	"6"	""	"204"	""	""	"12"	""	""	"515"	""	""	""	""	""	""	""
"108"	"60"	""	"8"	""	""	"89"	""	"63"	""	""	"40"	""	""	"0"	""	"7"	""	""	"0"	""	""	"3"	""	""	"6"	""	""	"7"	""	"184"	""	""	"3"	""	""	"410"	""	""	""	""	""	""	""
"109"	"61"	""	"2"	""	""	"27"	""	"17"	""	""	"21"	""	""	"1"	""	"4"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"4"	""	"140"	""	""	"9"	""	""	"227"	""	""	""	""	""	""	""
"110"	"62"	""	"6"	""	""	"78"	""	"29"	""	""	"4"	""	""	"8"	""	"7"	""	""	"4"	""	""	"22"	""	""	"11"	""	""	"17"	""	"285"	""	""	"14"	""	""	"485"	""	""	""	""	""	""	""
"111"	"63"	""	"13"	""	""	"47"	""	"22"	""	""	"138"	""	""	"13"	""	"5"	""	""	"2"	""	""	"0"	""	""	"7"	""	""	"4"	""	"178"	""	""	"22"	""	""	"451"	""	""	""	""	""	""	""
"112"	"64"	""	"17"	""	""	"33"	""	"27"	""	""	"87"	""	""	"18"	""	"4"	""	""	"3"	""	""	"4"	""	""	"9"	""	""	"6"	""	"265"	""	""	"14"	""	""	"487"	""	""	""	""	""	""	""
"113"	"65"	""	"9"	""	""	"114"	""	"58"	""	""	"11"	""	""	"3"	""	"3"	""	""	"6"	""	""	"3"	""	""	"2"	""	""	"3"	""	"136"	""	""	"8"	""	""	"356"	""	""	""	""	""	""	""
"114"	"66"	""	"18"	""	""	"90"	""	"57"	""	""	"36"	""	""	"8"	""	"9"	""	""	"10"	""	""	"4"	""	""	"8"	""	""	"7"	""	"216"	""	""	"26"	""	""	"489"	""	""	""	""	""	""	""
"115"	"67"	""	"12"	""	""	"23"	""	"2"	""	""	"105"	""	""	"11"	""	"7"	""	""	"4"	""	""	"7"	""	""	"4"	""	""	"8"	""	"223"	""	""	"28"	""	""	"434"	""	""	""	""	""	""	""
"116"	"GRAND TOTAL"	""	"163"	""	""	"956"	""	"429"	""	""	"771"	""	""	"90"	""	"89"	""	""	"58"	""	""	"66"	""	""	"75"	""	""	"115"	""	"2743"	""	""	"217"	""	""	"5772"	""	""	""	""	""	""	""
"117"	"SR.NO. OF POLLING STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"118"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"119"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"120"	"68"	""	"7"	""	""	"49"	""	"9"	""	""	"11"	""	""	"6"	""	"5"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	"16"	""	"251"	""	""	"57"	""	""	"417"	""	""	""	""	""	""	""
"121"	"69"	""	"17"	""	""	"21"	""	"11"	""	""	"62"	""	""	"8"	""	"3"	""	""	"5"	""	""	"0"	""	""	"0"	""	""	"4"	""	"213"	""	""	"19"	""	""	"363"	""	""	""	""	""	""	""
"122"	"70"	""	"9"	""	""	"57"	""	"42"	""	""	"27"	""	""	"9"	""	"2"	""	""	"9"	""	""	"6"	""	""	"9"	""	""	"12"	""	"186"	""	""	"35"	""	""	"403"	""	""	""	""	""	""	""
"123"	"71"	""	"16"	""	""	"17"	""	"34"	""	""	"215"	""	""	"14"	""	"5"	""	""	"2"	""	""	"7"	""	""	"12"	""	""	"11"	""	"124"	""	""	"27"	""	""	"484"	""	""	""	""	""	""	""
"124"	"72"	""	"11"	""	""	"89"	""	"28"	""	""	"50"	""	""	"5"	""	"3"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	"3"	""	"119"	""	""	"6"	""	""	"317"	""	""	""	""	""	""	""
"125"	"73"	""	"5"	""	""	"63"	""	"11"	""	""	"86"	""	""	"6"	""	"1"	""	""	"4"	""	""	"3"	""	""	"6"	""	""	"4"	""	"114"	""	""	"11"	""	""	"314"	""	""	""	""	""	""	""
"126"	"74"	""	"26"	""	""	"18"	""	"30"	""	""	"23"	""	""	"10"	""	"8"	""	""	"7"	""	""	"3"	""	""	"9"	""	""	"20"	""	"412"	""	""	"45"	""	""	"611"	""	""	""	""	""	""	""
"127"	"75"	""	"6"	""	""	"17"	""	"21"	""	""	"21"	""	""	"2"	""	"2"	""	""	"3"	""	""	"2"	""	""	"6"	""	""	"14"	""	"403"	""	""	"28"	""	""	"525"	""	""	""	""	""	""	""
"128"	"76"	""	"1"	""	""	"5"	""	"56"	""	""	"2"	""	""	"3"	""	"1"	""	""	"3"	""	""	"1"	""	""	"4"	""	""	"8"	""	"192"	""	""	"20"	""	""	"296"	""	""	""	""	""	""	""
"129"	"77"	""	"17"	""	""	"50"	""	"77"	""	""	"74"	""	""	"4"	""	"5"	""	""	"4"	""	""	"4"	""	""	"14"	""	""	"11"	""	"260"	""	""	"37"	""	""	"557"	""	""	""	""	""	""	""
"130"	"78"	""	"0"	""	""	"8"	""	"53"	""	""	"46"	""	""	"0"	""	"3"	""	""	"1"	""	""	"2"	""	""	"4"	""	""	"8"	""	"164"	""	""	"26"	""	""	"315"	""	""	""	""	""	""	""
"131"	"79"	""	"7"	""	""	"36"	""	"15"	""	""	"82"	""	""	"3"	""	"2"	""	""	"4"	""	""	"1"	""	""	"6"	""	""	"4"	""	"113"	""	""	"12"	""	""	"285"	""	""	""	""	""	""	""
"132"	"80"	""	"7"	""	""	"10"	""	"58"	""	""	"13"	""	""	"5"	""	"6"	""	""	"6"	""	""	"2"	""	""	"4"	""	""	"8"	""	"203"	""	""	"13"	""	""	"335"	""	""	""	""	""	""	""
"133"	"81"	""	"5"	""	""	"5"	""	"103"	""	""	"44"	""	""	"5"	""	"1"	""	""	"1"	""	""	"2"	""	""	"3"	""	""	"4"	""	"191"	""	""	"25"	""	""	"389"	""	""	""	""	""	""	""
"134"	"GRAND TOTAL"	""	"134"	""	""	"445"	""	"548"	""	""	"756"	""	""	"80"	""	"47"	""	""	"52"	""	""	"35"	""	""	"81"	""	""	"127"	""	"2945"	""	""	"361"	""	""	"5611"	""	""	""	""	""	""	""
"135"	"SR.NO. OF POLLING
STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"136"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"137"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"138"	"82"	""	"5"	""	""	"5"	""	"2"	""	""	"80"	""	""	"4"	""	"4"	""	""	"7"	""	""	"5"	""	""	"7"	""	""	"9"	""	"321"	""	""	"36"	""	""	"485"	""	""	""	""	""	""	""
"139"	"83"	""	"4"	""	""	"14"	""	"2"	""	""	"98"	""	""	"7"	""	"4"	""	""	"3"	""	""	"1"	""	""	"6"	""	""	"6"	""	"292"	""	""	"14"	""	""	"451"	""	""	""	""	""	""	""
"140"	"84"	""	"7"	""	""	"25"	""	"28"	""	""	"82"	""	""	"11"	""	"4"	""	""	"6"	""	""	"8"	""	""	"7"	""	""	"18"	""	"305"	""	""	"33"	""	""	"534"	""	""	""	""	""	""	""
"141"	"85"	""	"25"	""	""	"11"	""	"107"	""	""	"81"	""	""	"7"	""	"7"	""	""	"7"	""	""	"3"	""	""	"6"	""	""	"10"	""	"206"	""	""	"24"	""	""	"494"	""	""	""	""	""	""	""
"142"	"86"	""	"8"	""	""	"28"	""	"245"	""	""	"4"	""	""	"4"	""	"2"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	"5"	""	"94"	""	""	"3"	""	""	"397"	""	""	""	""	""	""	""
"143"	"87"	""	"8"	""	""	"56"	""	"24"	""	""	"105"	""	""	"6"	""	"1"	""	""	"5"	""	""	"4"	""	""	"6"	""	""	"5"	""	"113"	""	""	"23"	""	""	"356"	""	""	""	""	""	""	""
"144"	"88"	""	"21"	""	""	"28"	""	"120"	""	""	"45"	""	""	"10"	""	"2"	""	""	"8"	""	""	"1"	""	""	"4"	""	""	"6"	""	"134"	""	""	"18"	""	""	"397"	""	""	""	""	""	""	""
"145"	"89"	""	"5"	""	""	"3"	""	"6"	""	""	"44"	""	""	"4"	""	"6"	""	""	"2"	""	""	"5"	""	""	"0"	""	""	"3"	""	"63"	""	""	"14"	""	""	"155"	""	""	""	""	""	""	""
"146"	"90"	""	"14"	""	""	"20"	""	"19"	""	""	"33"	""	""	"0"	""	"5"	""	""	"5"	""	""	"6"	""	""	"0"	""	""	"8"	""	"312"	""	""	"47"	""	""	"469"	""	""	""	""	""	""	""
"147"	"91"	""	"23"	""	""	"15"	""	"5"	""	""	"43"	""	""	"2"	""	"10"	""	""	"3"	""	""	"3"	""	""	"6"	""	""	"4"	""	"171"	""	""	"19"	""	""	"304"	""	""	""	""	""	""	""
"148"	"92"	""	"4"	""	""	"57"	""	"20"	""	""	"15"	""	""	"1"	""	"5"	""	""	"4"	""	""	"5"	""	""	"5"	""	""	"13"	""	"286"	""	""	"31"	""	""	"446"	""	""	""	""	""	""	""
"149"	"93"	""	"12"	""	""	"26"	""	"88"	""	""	"47"	""	""	"7"	""	"6"	""	""	"7"	""	""	"11"	""	""	"9"	""	""	"13"	""	"318"	""	""	"40"	""	""	"584"	""	""	""	""	""	""	""
"150"	"94"	""	"11"	""	""	"69"	""	"16"	""	""	"102"	""	""	"6"	""	"3"	""	""	"4"	""	""	"5"	""	""	"1"	""	""	"10"	""	"329"	""	""	"28"	""	""	"584"	""	""	""	""	""	""	""
"151"	"95"	""	"8"	""	""	"163"	""	"5"	""	""	"30"	""	""	"0"	""	"1"	""	""	"5"	""	""	"3"	""	""	"4"	""	""	"5"	""	"270"	""	""	"12"	""	""	"506"	""	""	""	""	""	""	""
"152"	"GRAND TOTAL"	""	"155"	""	""	"520"	""	"687"	""	""	"809"	""	""	"69"	""	"60"	""	""	"68"	""	""	"61"	""	""	"62"	""	""	"115"	""	"3214"	""	""	"342"	""	""	"6162"	""	""	""	""	""	""	""
"153"	"SR.NO. OF POLLING STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"154"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"155"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"156"	"96"	""	"23"	""	""	"25"	""	"39"	""	""	"84"	""	""	"4"	""	"5"	""	""	"5"	""	""	"6"	""	""	"6"	""	""	"13"	""	"243"	""	""	"28"	""	""	"481"	""	""	""	""	""	""	""
"157"	"97"	""	"58"	""	""	"22"	""	"10"	""	""	"57"	""	""	"9"	""	"6"	""	""	"5"	""	""	"7"	""	""	"16"	""	""	"40"	""	"321"	""	""	"59"	""	""	"610"	""	""	""	""	""	""	""
"158"	"98"	""	"6"	""	""	"44"	""	"9"	""	""	"89"	""	""	"6"	""	"3"	""	""	"3"	""	""	"2"	""	""	"2"	""	""	"6"	""	"172"	""	""	"13"	""	""	"355"	""	""	""	""	""	""	""
"159"	"99"	""	"19"	""	""	"15"	""	"10"	""	""	"142"	""	""	"6"	""	"3"	""	""	"0"	""	""	"2"	""	""	"4"	""	""	"4"	""	"144"	""	""	"13"	""	""	"362"	""	""	""	""	""	""	""
"160"	"100"	""	"8"	""	""	"29"	""	"10"	""	""	"50"	""	""	"6"	""	"4"	""	""	"4"	""	""	"6"	""	""	"7"	""	""	"16"	""	"322"	""	""	"28"	""	""	"490"	""	""	""	""	""	""	""
"161"	"101"	""	"15"	""	""	"8"	""	"0"	""	""	"8"	""	""	"2"	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"3"	""	"184"	""	""	"5"	""	""	"226"	""	""	""	""	""	""	""
"162"	"102"	""	"28"	""	""	"49"	""	"1"	""	""	"5"	""	""	"3"	""	"3"	""	""	"5"	""	""	"3"	""	""	"10"	""	""	"14"	""	"399"	""	""	"43"	""	""	"563"	""	""	""	""	""	""	""
"163"	"103"	""	"41"	""	""	"34"	""	"10"	""	""	"34"	""	""	"4"	""	"9"	""	""	"8"	""	""	"3"	""	""	"3"	""	""	"13"	""	"357"	""	""	"43"	""	""	"559"	""	""	""	""	""	""	""
"164"	"104"	""	"1"	""	""	"29"	""	"3"	""	""	"52"	""	""	"2"	""	"2"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"3"	""	"103"	""	""	"2"	""	""	"201"	""	""	""	""	""	""	""
"165"	"105"	""	"7"	""	""	"50"	""	"7"	""	""	"14"	""	""	"7"	""	"5"	""	""	"4"	""	""	"4"	""	""	"3"	""	""	"10"	""	"207"	""	""	"29"	""	""	"347"	""	""	""	""	""	""	""
"166"	"106"	""	"6"	""	""	"41"	""	"2"	""	""	"7"	""	""	"2"	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"3"	""	"193"	""	""	"3"	""	""	"258"	""	""	""	""	""	""	""
"167"	"107"	""	"5"	""	""	"53"	""	"16"	""	""	"23"	""	""	"4"	""	"9"	""	""	"3"	""	""	"2"	""	""	"80"	""	""	"12"	""	"282"	""	""	"18"	""	""	"507"	""	""	""	""	""	""	""
"168"	"108"	""	"17"	""	""	"144"	""	"6"	""	""	"11"	""	""	"4"	""	"6"	""	""	"4"	""	""	"9"	""	""	"9"	""	""	"12"	""	"219"	""	""	"37"	""	""	"478"	""	""	""	""	""	""	""
"169"	"109"	""	"13"	""	""	"175"	""	"5"	""	""	"4"	""	""	"9"	""	"1"	""	""	"6"	""	""	"17"	""	""	"15"	""	""	"17"	""	"205"	""	""	"44"	""	""	"511"	""	""	""	""	""	""	""
"170"	"GRAND TOTAL"	""	"247"	""	""	"718"	""	"128"	""	""	"580"	""	""	"68"	""	"56"	""	""	"48"	""	""	"64"	""	""	"157"	""	""	"166"	""	"3351"	""	""	"365"	""	""	"5948"	""	""	""	""	""	""	""
"171"	"SR.NO. OF POLLING STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"172"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"173"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"174"	"110"	""	"21"	""	""	"504"	""	"10"	""	""	"1"	""	""	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"11"	""	""	"6"	""	"54"	""	""	"21"	""	""	"642"	""	""	""	""	""	""	""
"175"	"111"	""	"5"	""	""	"65"	""	"3"	""	""	"10"	""	""	"4"	""	"2"	""	""	"7"	""	""	"4"	""	""	"8"	""	""	"12"	""	"304"	""	""	"41"	""	""	"465"	""	""	""	""	""	""	""
"176"	"112"	""	"6"	""	""	"118"	""	"5"	""	""	"9"	""	""	"1"	""	"1"	""	""	"5"	""	""	"8"	""	""	"8"	""	""	"4"	""	"116"	""	""	"20"	""	""	"301"	""	""	""	""	""	""	""
"177"	"113"	""	"4"	""	""	"67"	""	"7"	""	""	"50"	""	""	"6"	""	"3"	""	""	"1"	""	""	"5"	""	""	"6"	""	""	"7"	""	"225"	""	""	"27"	""	""	"408"	""	""	""	""	""	""	""
"178"	"114"	""	"3"	""	""	"169"	""	"2"	""	""	"82"	""	""	"17"	""	"6"	""	""	"4"	""	""	"1"	""	""	"15"	""	""	"5"	""	"112"	""	""	"36"	""	""	"452"	""	""	""	""	""	""	""
"179"	"115"	""	"9"	""	""	"60"	""	"81"	""	""	"28"	""	""	"3"	""	"7"	""	""	"149"	""	""	"15"	""	""	"8"	""	""	"16"	""	"192"	""	""	"44"	""	""	"612"	""	""	""	""	""	""	""
"180"	"116"	""	"12"	""	""	"40"	""	"12"	""	""	"24"	""	""	"3"	""	"2"	""	""	"14"	""	""	"1"	""	""	"7"	""	""	"6"	""	"439"	""	""	"24"	""	""	"584"	""	""	""	""	""	""	""
"181"	"117"	""	"5"	""	""	"26"	""	"4"	""	""	"6"	""	""	"5"	""	"1"	""	""	"5"	""	""	"2"	""	""	"3"	""	""	"6"	""	"232"	""	""	"20"	""	""	"315"	""	""	""	""	""	""	""
"182"	"117A"	""	"9"	""	""	"40"	""	"11"	""	""	"10"	""	""	"3"	""	"6"	""	""	"12"	""	""	"1"	""	""	"6"	""	""	"6"	""	"286"	""	""	"12"	""	""	"402"	""	""	""	""	""	""	""
"183"	"118"	""	"5"	""	""	"19"	""	"6"	""	""	"84"	""	""	"5"	""	"0"	""	""	"10"	""	""	"2"	""	""	"0"	""	""	"3"	""	"132"	""	""	"17"	""	""	"283"	""	""	""	""	""	""	""
"184"	"119"	""	"1"	""	""	"47"	""	"36"	""	""	"101"	""	""	"3"	""	"4"	""	""	"5"	""	""	"1"	""	""	"4"	""	""	"1"	""	"49"	""	""	"3"	""	""	"255"	""	""	""	""	""	""	""
"185"	"120"	""	"6"	""	""	"59"	""	"11"	""	""	"8"	""	""	"2"	""	"4"	""	""	"2"	""	""	"2"	""	""	"1"	""	""	"4"	""	"186"	""	""	"29"	""	""	"314"	""	""	""	""	""	""	""
"186"	"121"	""	"5"	""	""	"138"	""	"11"	""	""	"26"	""	""	"3"	""	"4"	""	""	"10"	""	""	"3"	""	""	"6"	""	""	"10"	""	"240"	""	""	"34"	""	""	"490"	""	""	""	""	""	""	""
"187"	"122"	""	"4"	""	""	"129"	""	"15"	""	""	"11"	""	""	"2"	""	"10"	""	""	"7"	""	""	"9"	""	""	"5"	""	""	"6"	""	"305"	""	""	"28"	""	""	"531"	""	""	""	""	""	""	""
"188"	"GRAND TOTAL"	""	"95"	""	""	"1481"	""	"214"	""	""	"450"	""	""	"59"	""	"53"	""	""	"235"	""	""	"59"	""	""	"88"	""	""	"92"	""	"2872"	""	""	"356"	""	""	"6054"	""	""	""	""	""	""	""
"189"	"SR.NO. OF POLLING
STATION"	""	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL OF VALID VOTES"	""	""	"TOTAL"	""	""	""	""
"190"	""	""	"CHULHAN
PD SINGH"	""	""	"JITENDRA
KUMAR RAI"	""	"NILAM DEVI"	""	""	"SHEOPUJA
N PD. RAI"	""	""	"AWADESH
KUMAR"	""	"SHEO NATH
SHARMA"	""	""	"AJJET
KUMAR"	""	""	"TEJ NARAYAN
SINGH"	""	""	"RAJENDRA
MANJHI"	""	""	"RAJESH
KUMAR"	""	"LALBABU
RAI"	""	""	"LALBABU
RAY"	""	""	""	""	""	""	""	""	""	""
"191"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	"5"	""	""	"6"	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	"11"	""	"12"	""	""	"13"	""	""	"14"	""	""	"15"	""	""	""	""
"192"	"123"	""	"13"	""	""	"90"	""	"37"	""	""	"11"	""	""	"4"	""	"4"	""	""	"10"	""	""	"5"	""	""	"6"	""	""	"5"	""	"233"	""	""	"29"	""	""	"447"	""	""	""	""	""	""	""
"193"	"124"	""	"3"	""	""	"83"	""	"75"	""	""	"39"	""	""	"4"	""	"9"	""	""	"2"	""	""	"2"	""	""	"6"	""	""	"14"	""	"192"	""	""	"23"	""	""	"452"	""	""	""	""	""	""	""
"194"	"125"	""	"4"	""	""	"34"	""	"83"	""	""	"36"	""	""	"3"	""	"1"	""	""	"4"	""	""	"2"	""	""	"1"	""	""	"6"	""	"93"	""	""	"17"	""	""	"284"	""	""	""	""	""	""	""
"195"	"126"	""	"6"	""	""	"62"	""	"15"	""	""	"20"	""	""	"4"	""	"4"	""	""	"2"	""	""	"2"	""	""	"3"	""	""	"1"	""	"97"	""	""	"10"	""	""	"226"	""	""	""	""	""	""	""
"196"	"127"	""	"7"	""	""	"87"	""	"45"	""	""	"13"	""	""	"1"	""	"6"	""	""	"17"	""	""	"4"	""	""	"3"	""	""	"8"	""	"184"	""	""	"12"	""	""	"387"	""	""	""	""	""	""	""
"197"	"128"	""	"8"	""	""	"178"	""	"84"	""	""	"31"	""	""	"5"	""	"1"	""	""	"5"	""	""	"5"	""	""	"13"	""	""	"9"	""	"295"	""	""	"13"	""	""	"647"	""	""	""	""	""	""	""
"198"	"129"	""	"15"	""	""	"54"	""	"81"	""	""	"21"	""	""	"5"	""	"6"	""	""	"3"	""	""	"3"	""	""	"7"	""	""	"6"	""	"206"	""	""	"36"	""	""	"443"	""	""	""	""	""	""	""
"199"	"130"	""	"8"	""	""	"70"	""	"43"	""	""	"188"	""	""	"13"	""	"6"	""	""	"14"	""	""	"7"	""	""	"11"	""	""	"8"	""	"52"	""	""	"34"	""	""	"454"	""	""	""	""	""	""	""
"200"	"131"	""	"7"	""	""	"100"	""	"24"	""	""	"42"	""	""	"13"	""	"4"	""	""	"6"	""	""	"3"	""	""	"16"	""	""	"6"	""	"112"	""	""	"37"	""	""	"370"	""	""	""	""	""	""	""
