"Election.to.the..Bihar.Legislative..Assembly..From.100.ROSERA.Assembly..Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"284"	"Page Total"	"27607"	"1314"	"10490"	"31134"	"2430"	"3178"	"76153"	"0"	"76153"	"0"
"285"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"286"	"PART I"	""	""	""	""	""	""	""	""	""	""
"287"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"288"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"289"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"290"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"291"	"B.F."	"27607"	"1314"	"10490"	"31134"	"2430"	"3178"	"76153"	"0"	"76153"	"0"
"292"	"165A"	"80"	"4"	"32"	"310"	"9"	"10"	"445"	""	"445"	""
"293"	"166"	"156"	"2"	"39"	"39"	"7"	"12"	"255"	""	"255"	""
"294"	"166A"	"202"	"2"	"31"	"21"	"3"	"5"	"264"	""	"264"	""
"295"	"167"	"24"	"7"	"32"	"115"	"8"	"20"	"206"	""	"206"	""
"296"	"168"	"83"	"6"	"68"	"132"	"20"	"17"	"326"	""	"326"	""
"297"	"168A"	"90"	"7"	"73"	"169"	"15"	"12"	"366"	""	"366"	""
"298"	"169"	"100"	"8"	"32"	"115"	"6"	"12"	"273"	""	"273"	""
"299"	"169A"	"143"	"8"	"96"	"156"	"13"	"18"	"434"	""	"434"	""
"300"	"170"	"371"	"14"	"145"	"185"	"18"	"31"	"764"	""	"764"	""
"301"	"171"	"72"	"4"	"48"	"253"	"25"	"24"	"426"	""	"426"	""
"302"	"172"	"211"	"15"	"208"	"149"	"22"	"30"	"635"	""	"635"	""
"303"	"173"	"78"	"16"	"144"	"190"	"22"	"30"	"480"	""	"480"	""
"304"	"173A"	"34"	"5"	"63"	"185"	"14"	"17"	"318"	""	"318"	""
"305"	"174"	"184"	"9"	"128"	"205"	"24"	"22"	"572"	""	"572"	""
"306"	"Page Total"	"29435"	"1421"	"11629"	"33358"	"2636"	"3438"	"81917"	"0"	"81917"	"0"
"307"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"308"	"PART I"	""	""	""	""	""	""	""	""	""	""
"309"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"310"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"311"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"312"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"313"	"B.F."	"29435"	"1421"	"11629"	"33358"	"2636"	"3438"	"81917"	"0"	"81917"	"0"
"314"	"175"	"245"	"4"	"161"	"87"	"9"	"18"	"524"	""	"524"	""
"315"	"176"	"110"	"2"	"74"	"90"	"6"	"2"	"284"	""	"284"	""
"316"	"176A"	"138"	"5"	"116"	"103"	"8"	"11"	"381"	""	"381"	""
"317"	"177"	"77"	"12"	"90"	"170"	"17"	"21"	"387"	""	"387"	""
"318"	"177A"	"50"	"14"	"78"	"174"	"19"	"21"	"356"	""	"356"	""
"319"	"178"	"58"	"21"	"247"	"148"	"15"	"40"	"529"	""	"529"	""
"320"	"179"	"38"	"10"	"356"	"80"	"21"	"41"	"546"	""	"546"	""
"321"	"180"	"75"	"9"	"187"	"95"	"10"	"28"	"404"	""	"404"	""
"322"	"181"	"18"	"7"	"162"	"243"	"15"	"28"	"473"	""	"473"	""
"323"	"182"	"219"	"11"	"151"	"145"	"15"	"14"	"555"	""	"555"	""
"324"	"183"	"253"	"7"	"140"	"247"	"12"	"13"	"672"	""	"672"	""
"325"	"184"	"258"	"13"	"151"	"203"	"12"	"33"	"670"	""	"670"	""
"326"	"185"	"186"	"3"	"82"	"82"	"3"	"8"	"364"	""	"364"	""
"327"	"186"	"75"	"3"	"137"	"60"	"8"	"8"	"291"	""	"291"	""
"328"	"Page Total"	"31235"	"1542"	"13761"	"35285"	"2806"	"3724"	"88353"	"0"	"88353"	"0"
"329"	"B.F."	"31235"	"1542"	"13761"	"35285"	"2806"	"3724"	"88353"	"0"	"88353"	"0"
"330"	"187"	"135"	"11"	"80"	"338"	"16"	"24"	"604"	""	"604"	""
"331"	"188"	"193"	"6"	"45"	"67"	"7"	"7"	"325"	""	"325"	""
"332"	"189"	"135"	"3"	"160"	"104"	"5"	"9"	"416"	""	"416"	""
"333"	"189A"	"166"	"7"	"87"	"114"	"16"	"16"	"406"	""	"406"	""
"334"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"335"	"PART I"	""	""	""	""	""	""	""	""	""	""
"336"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"338"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"339"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"340"	"190"	"177"	"8"	"347"	"72"	"8"	"16"	"628"	""	"628"	""
"341"	"191"	"285"	"5"	"67"	"67"	"11"	"7"	"442"	""	"442"	""
"342"	"192"	"314"	"6"	"46"	"136"	"13"	"4"	"519"	""	"519"	""
"343"	"193"	"147"	"7"	"131"	"122"	"12"	"20"	"439"	""	"439"	""
"344"	"193A"	"224"	"1"	"50"	"62"	"6"	"7"	"350"	""	"350"	""
"345"	"194"	"220"	"5"	"70"	"138"	"12"	"6"	"451"	""	"451"	""
"346"	"195"	"240"	"4"	"115"	"185"	"11"	"18"	"573"	""	"573"	""
"347"	"196"	"312"	"7"	"167"	"110"	"11"	"26"	"633"	""	"633"	""
"348"	"197"	"196"	"10"	"217"	"87"	"11"	"17"	"538"	""	"538"	""
"349"	"198"	"218"	"12"	"15"	"100"	"5"	"7"	"357"	""	"357"	""
"350"	"Page Total"	"34197"	"1634"	"15358"	"36987"	"2950"	"3908"	"95034"	"0"	"95034"	"0"
"351"	"B.F."	"34197"	"1634"	"15358"	"36987"	"2950"	"3908"	"95034"	"0"	"95034"	"0"
"352"	"199"	"274"	"7"	"85"	"127"	"12"	"34"	"539"	""	"539"	""
"353"	"200"	"74"	"8"	"88"	"176"	"20"	"41"	"407"	""	"407"	""
"354"	"201"	"97"	"5"	"142"	"136"	"18"	"16"	"414"	""	"414"	""
"355"	"202"	"104"	"3"	"41"	"312"	"17"	"26"	"503"	""	"503"	""
"356"	"203"	"103"	"11"	"64"	"136"	"10"	"13"	"337"	""	"337"	""
"357"	"204"	"105"	"5"	"88"	"107"	"14"	"22"	"341"	""	"341"	""
"358"	"205"	"56"	"5"	"54"	"161"	"16"	"23"	"315"	""	"315"	""
"359"	"Page Total"	"35010"	"1678"	"15920"	"38142"	"3057"	"4083"	"97890"	"0"	"97890"	"0"
"360"	"Election to the  Bihar Legislative  Assembly  From 100 ROSERA Assembly  Constituency"	""	""	""	""	""	""	""	""	""	""
"361"	"PART I"	""	""	""	""	""	""	""	""	""	""
"362"	"No.of  valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"363"	"Total No. of Voters"	""	""	""	""	""	""	""	""	""	""
"364"	"Serial No.of Polling Station*"	"Ashok Kuamr"	"Upendar Das"	"Kailash Das"	"Gajendra Prasad Singh"	"Dinesh Panjiyar"	"Ram Narayan Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"365"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"366"	"Total No of votes recorded at Polling Stations"	"35010"	"1678"	"15920"	"38142"	"3057"	"4083"	"97890"	"0"	"97890"	"0"
"367"	"No. of Votes recorded on Postal ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"368"	"Total Votes Polled"	"35010"	"1678"	"15920"	"38142"	"3057"	"4083"	"97890"	"0"	"97890"	"0"
"369"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""	""
"370"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""
"371"	"100- Rosera"	""	""	""	""	""	""	""	""	""	""
"372"	"Date:- 22nd Nov 2005                                                                                                      Samastipur"	""	""	""	""	""	""	""	""	""	""
