"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.108.CHERIA.BARIARPUR.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"227"	"142"	"131"	"23"	"1"	"182"	"4"	"1"	"3"	"5"	"350"	"0"	"350"	"0"
"228"	"142A"	"100"	"143"	"4"	"48"	"1"	"0"	"2"	"2"	"300"	"0"	"300"	"0"
"229"	"143"	"84"	"341"	"21"	"19"	"3"	"1"	"2"	"2"	"473"	"0"	"473"	"0"
"230"	"144"	"73"	"251"	"14"	"103"	"8"	"5"	"6"	"16"	"476"	"0"	"476"	"0"
"231"	"145"	"296"	"283"	"39"	"11"	"5"	"8"	"18"	"15"	"675"	"0"	"675"	"0"
"232"	"146"	"99"	"204"	"14"	"16"	"2"	"1"	"6"	"7"	"349"	"0"	"349"	"0"
"233"	"146A"	"153"	"134"	"12"	"48"	"3"	"2"	"4"	"7"	"363"	"0"	"363"	"0"
"234"	"147"	"256"	"130"	"7"	"130"	"10"	"5"	"7"	"9"	"554"	"0"	"554"	"0"
"235"	"148"	"281"	"191"	"12"	"76"	"1"	"6"	"8"	"5"	"580"	"0"	"580"	"0"
"236"	"149"	"104"	"283"	"12"	"100"	"6"	"6"	"11"	"7"	"529"	"0"	"529"	"0"
"237"	"150"	"84"	"194"	"11"	"38"	"8"	"4"	"3"	"6"	"348"	"0"	"348"	"0"
"238"	"150A"	"29"	"178"	"13"	"66"	"2"	"3"	"6"	"8"	"305"	"0"	"305"	"0"
"239"	"151"	"149"	"74"	"7"	"123"	"9"	"3"	"4"	"15"	"384"	"0"	"384"	"0"
"240"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"244"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"245"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"246"	"152"	"135"	"140"	"19"	"278"	"21"	"13"	"17"	"57"	"680"	"0"	"680"	"0"
"247"	"153"	"34"	"199"	"14"	"57"	"8"	"7"	"4"	"17"	"340"	"0"	"340"	"0"
"248"	"154"	"130"	"213"	"9"	"99"	"6"	"5"	"6"	"8"	"476"	"0"	"476"	"0"
"249"	"155"	"69"	"274"	"17"	"35"	"4"	"4"	"6"	"5"	"414"	"0"	"414"	"0"
"250"	"156"	"112"	"311"	"15"	"50"	"7"	"5"	"8"	"16"	"524"	"0"	"524"	"0"
"251"	"157"	"205"	"20"	"12"	"344"	"16"	"2"	"10"	"24"	"633"	"0"	"633"	"0"
"252"	"158"	"162"	"132"	"6"	"37"	"2"	"4"	"10"	"7"	"360"	"0"	"360"	"0"
"253"	"159"	"141"	"99"	"14"	"102"	"7"	"3"	"9"	"13"	"388"	"0"	"388"	"0"
"254"	"160"	"252"	"148"	"12"	"72"	"14"	"5"	"13"	"6"	"522"	"0"	"522"	"0"
"255"	"161"	"234"	"55"	"7"	"109"	"19"	"5"	"5"	"8"	"442"	"0"	"442"	"0"
"256"	"162"	"80"	"146"	"15"	"29"	"23"	"10"	"11"	"14"	"328"	"0"	"328"	"0"
"257"	"162A"	"162"	"109"	"11"	"32"	"76"	"4"	"10"	"7"	"411"	"0"	"411"	"0"
"258"	"163"	"186"	"223"	"19"	"102"	"40"	"9"	"9"	"11"	"599"	"0"	"599"	"0"
"259"	"164"	"138"	"138"	"9"	"353"	"14"	"16"	"14"	"12"	"694"	"0"	"694"	"0"
"260"	"165"	"39"	"104"	"7"	"166"	"34"	"5"	"6"	"14"	"375"	"0"	"375"	"0"
"261"	"166"	"134"	"133"	"12"	"147"	"24"	"5"	"15"	"25"	"495"	"0"	"495"	"0"
"262"	"167"	"57"	"106"	"12"	"109"	"6"	"6"	"8"	"21"	"325"	"0"	"325"	"0"
"263"	"168"	"186"	"185"	"10"	"108"	"6"	"2"	"10"	"22"	"529"	"0"	"529"	"0"
"264"	"169"	"101"	"135"	"9"	"107"	"6"	"3"	"13"	"6"	"380"	"0"	"380"	"0"
"265"	"169A"	"63"	"168"	"7"	"65"	"3"	"2"	"4"	"11"	"323"	"0"	"323"	"0"
"266"	"170"	"256"	"245"	"16"	"23"	"5"	"1"	"6"	"3"	"555"	"0"	"555"	"0"
"267"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 108 CHERIA BARIARPUR A.C"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Total No. of Electors in Assembly Constituency ------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Name of the Assembly  - 108 CHERIA BARIARPUR"	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"271"	""	"Anil Choudhary"	"Kumari Savitri"	"Gulab Paswan"	"Rajvanshi Mahto"	"Ram Balak Sahani"	"Janki Devi"	"Hafiz Gulam Sarwar"	"Vijay Kumar"	""	""	""	"Tendered votes"
"272"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"273"	"Total No. of Votes recorded on Polling
Stations"	"32892"	"32359"	"2540"	"20502"	"1593"	"1388"	"1998"	"2672"	"95944"	"0"	"95944"	"0"
"274"	"No. of Votes recorded on Postal Ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"275"	"Total Votes
Polled"	"65696"	"32359"	"2540"	"20502"	"1593"	"1388"	"1998"	"2672"	"95944"	"0"	"95944"	"0"
"276"	"Place :       Bazar Samitee Begusarai"	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Date :         11/22/2005"	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"108- Cheria Bariarpur A.C."	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"108- Cheria Bariarpur A.C."	""	""	""	""	""	""	""	""	""	""	""	""
