"fuEufyf.kr.vH.fFkZ.ksa.ds.i.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"234"	"171"	"258"	"12"	"15"	"262"	"10"	"6"	"4"	"567"	""	"567"	""
"235"	"172"	"287"	"9"	"8"	"107"	"7"	"5"	"15"	"438"	""	"438"	""
"236"	"173"	"326"	"8"	"7"	"221"	"10"	"6"	"10"	"588"	""	"588"	""
"237"	"Total-XIV"	"4289"	"96"	"134"	"2520"	"126"	"80"	"138"	"7383"	""	"7383"	""
"238"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"239"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"240"	"174"	"298"	"9"	"9"	"215"	"15"	"6"	"13"	"565"	""	"565"	""
"241"	"175"	"229"	"10"	"7"	"122"	"4"	"7"	"24"	"403"	""	"403"	""
"242"	"176"	"204"	"17"	"12"	"353"	"16"	"10"	"26"	"638"	""	"638"	""
"243"	"177"	"350"	"14"	"11"	"118"	"13"	"5"	"6"	"517"	""	"517"	""
"244"	"178"	"201"	"10"	"4"	"95"	"6"	""	"3"	"319"	""	"319"	""
"245"	"179"	"252"	"11"	"6"	"15"	"7"	"11"	"16"	"318"	""	"318"	""
"246"	"180"	"128"	"4"	"8"	"32"	"4"	"55"	"3"	"234"	""	"234"	""
"247"	"181"	"141"	"6"	"8"	"27"	"2"	"4"	"5"	"193"	""	"193"	""
"248"	"182"	"136"	"12"	"13"	"27"	"6"	"15"	"3"	"212"	""	"212"	""
"249"	"183"	"608"	"18"	"12"	"15"	"12"	"15"	"30"	"710"	""	"710"	""
"250"	"184"	"162"	"9"	"8"	"207"	"7"	"4"	"14"	"411"	""	"411"	""
"251"	"184d"	"131"	"8"	"15"	"198"	"10"	"1"	"18"	"381"	""	"381"	""
"252"	"185"	"345"	"21"	"12"	"214"	"9"	"6"	"12"	"619"	""	"619"	""
"253"	"186"	"160"	"12"	"44"	"154"	"13"	"9"	"14"	"406"	""	"406"	""
"254"	"Total-XV"	"3345"	"161"	"169"	"1792"	"124"	"148"	"187"	"5926"	""	"5926"	""
"255"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"256"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"257"	"187"	"219"	"4"	"4"	"252"	"10"	"6"	""	"495"	""	"495"	""
"258"	"188"	"398"	"8"	"9"	"111"	"18"	"9"	"23"	"576"	""	"576"	""
"259"	"189"	"364"	"13"	"9"	"92"	"6"	"14"	"8"	"506"	""	"506"	""
"260"	"190"	"371"	"6"	"12"	"17"	"1"	"1"	"7"	"415"	""	"415"	""
"261"	"191"	"236"	"6"	"9"	"42"	"4"	""	"11"	"308"	""	"308"	""
"262"	"192"	"89"	"8"	"11"	"305"	"25"	"14"	"27"	"479"	""	"479"	""
"263"	"193"	"90"	"1"	"5"	"75"	"1"	"1"	"2"	"175"	""	"175"	""
"264"	"193d"	"101"	"3"	"2"	"68"	"4"	"3"	"2"	"183"	""	"183"	""
"265"	"194"	"107"	"5"	"7"	"67"	"6"	"5"	"5"	"202"	""	"202"	""
"266"	"195"	"213"	"11"	"5"	"18"	"3"	"3"	"9"	"262"	""	"262"	""
"267"	"196"	"191"	"2"	"1"	"19"	"2"	"2"	"4"	"221"	""	"221"	""
"268"	"197"	"155"	"7"	"4"	"38"	"2"	"1"	"2"	"209"	""	"209"	""
"269"	"198"	"348"	"8"	"5"	"18"	"3"	"3"	"6"	"391"	""	"391"	""
"270"	"199"	"55"	"4"	"3"	"11"	"3"	"41"	"7"	"124"	""	"124"	""
"271"	"Total-XVI"	"2937"	"86"	"86"	"1133"	"88"	"103"	"113"	"4546"	""	"4546"	""
"272"	"fuEufyf[kr vH;fFkZ;ksa ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""
"273"	"ernku  dsUnz dh  Øe la[;k"	"vfu:) izlkn
;kno"	"vHk; dqekj jke"	"jke fd'kksj esgrk"	"fot; dqekj xqIrk"	"Hkksxh eaMy"	"Mk0  jke izlkn
;kno"	"veu dqekj lektlsoh"	"dqy fof/k ekU;  er"	"izfr{ksfir  erksa dh  la[;k"	";ksx"	"fufonÙk  erksa dh  la[;k"
"274"	"200"	"324"	"7"	"1"	"36"	"4"	"4"	"12"	"388"	""	"388"	""
"275"	"201"	"167"	"15"	"13"	"105"	"6"	"11"	"3"	"320"	""	"320"	""
"276"	"TOTAL-XVII"	"491"	"22"	"14"	"141"	"10"	"15"	"15"	"708"	""	"708"	""
"277"	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"matdana kond`aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""
"279"	"AC Total"	"52668"	"2077"	"2745"	"27107"	"2261"	"2772"	"2925"	"92555"	""	"92555"	""
"280"	"Dak matp~aoM pr AiBailaiKt mataoM kI saM#yaa :"	""	""	""	""	""	""	""	""	""	""	""
"281"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"282"	"Dalao gayao kula mat :"	""	""	""	""	""	""	""	""	""	""	""
"283"	""	"52668"	"2077"	"2745"	"27107"	"2261"	"2772"	"2925"	"92555"	""	"92555"	""
"284"	"sqaana : saupaOla"	""	""	""	""	""	""	""	""	""	""	""
"285"	"tarIK : 27.02.2005                                                                                                                       irTina--Mga Aaifsar ko hstaxar"	""	""	""	""	""	""	""	""	""	""	""
"286"	"111¹ iksanapur"	""	""	""	""	""	""	""	""	""	""	""
