"Round.No."	"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"249"	""	"179"	"52"	"40"	"19"	"414"	"27"	"31"	"583"	"0"	"583"	"0"
"250"	""	"180"	"109"	"13"	"17"	"274"	"21"	"47"	"481"	"0"	"481"	"0"
"251"	""	"Total"	"1055"	"245"	"222"	"3471"	"357"	"448"	"5798"	"0"	"5798"	"0"
"252"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"253"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"254"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"255"	"Round - 15"	"181"	"122"	"20"	"8"	"172"	"20"	"24"	"366"	"0"	"366"	"0"
"256"	""	"182"	"135"	"13"	"9"	"195"	"23"	"38"	"413"	"0"	"413"	"0"
"257"	""	""	""	""	""	""	""	""	""	""	""	""
"258"	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	""	""	""	""	""	""	""	""	""	""
"260"	""	""	""	""	""	""	""	""	""	""	""	""
"261"	""	""	""	""	""	""	""	""	""	""	""	""
"262"	""	""	""	""	""	""	""	""	""	""	""	""
"263"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	"Total"	"257"	"33"	"17"	"367"	"43"	"62"	"779"	"0"	"779"	"0"
"270"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"271"	""	""	"ANIS AHMAD,"	"RAM NARAYAN YADAV"	"SANJAY KUMAR"	"HARI  PRASAD SAH"	"DR. MUKHTAR AHMAD"	"KALAWATI DEVI"	""	""	""	""
"272"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	""	""	""	""
"273"	"Total No. of votes recorded at Polling stations"	""	"26990"	"7056"	"2799"	"35737"	"7949"	"4909"	"85440"	""	"85440"	"0"
"274"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""
"275"	"TOTAL VOTES POLLED"	""	"26990"	"7056"	"2799"	"35737"	"7949"	"4909"	"85440"	""	"85440"	"0"
