"Serial..No.of.Polling.Station"	"No..of.Valid.Votes.Cast.in.Favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"Total.of.Vaild.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"232"	"186"	"304"	"59"	"143"	"8"	"3"	"2"	"18"	"14"	"551"	"-"	"551"	"-"
"233"	"187"	"328"	"39"	"125"	"8"	"7"	"5"	"23"	"15"	"550"	"-"	"550"	"-"
"234"	"188"	"219"	"56"	"238"	"9"	"5"	"9"	"20"	"17"	"573"	"-"	"573"	"-"
"235"	"189"	"171"	"88"	"167"	"7"	"3"	"9"	"15"	"19"	"479"	"-"	"479"	"-"
"236"	"190"	"50"	"33"	"105"	"4"	"1"	"1"	"2"	"1"	"197"	"-"	"197"	"-"
"237"	"191"	"229"	"119"	"132"	"15"	"9"	"3"	"12"	"10"	"529"	"-"	"529"	"-"
"238"	"192"	"14"	"10"	"432"	"24"	"3"	"4"	"2"	"6"	"495"	"-"	"495"	"-"
"239"	"193"	"49"	"38"	"284"	"15"	"10"	"2"	"5"	"1"	"404"	"-"	"404"	"-"
"240"	"194"	"184"	"96"	"149"	"17"	"7"	"3"	"18"	"14"	"488"	"-"	"488"	"-"
"241"	"195"	"45"	"238"	"117"	"6"	"10"	"3"	"9"	"12"	"440"	"-"	"440"	"-"
"242"	"196"	"42"	"22"	"79"	"5"	"2"	"3"	"9"	"9"	"171"	"-"	"171"	"-"
"243"	"197"	"209"	"84"	"164"	"14"	"4"	"3"	"27"	"25"	"530"	"-"	"530"	"-"
"244"	"198"	"156"	"116"	"22"	"8"	"6"	"3"	"8"	"4"	"323"	"-"	"323"	"-"
"245"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"246"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"247"	"199"	"95"	"66"	"36"	"6"	"0"	"1"	"9"	"3"	"216"	"-"	"216"	"-"
"248"	"200"	"67"	"152"	"13"	"6"	"4"	"2"	"8"	"2"	"254"	"-"	"254"	"-"
"249"	"201"	"34"	"57"	"144"	"6"	"4"	"2"	"7"	"6"	"260"	"-"	"260"	"-"
"250"	"202"	"105"	"40"	"274"	"20"	"8"	"12"	"19"	"29"	"507"	"-"	"507"	"-"
"251"	"203"	"29"	"42"	"188"	"9"	"3"	"3"	"4"	"6"	"284"	"-"	"284"	"-"
"252"	"204"	"111"	"48"	"126"	"10"	"11"	"1"	"15"	"30"	"352"	"-"	"352"	"-"
"253"	"204A"	"24"	"196"	"131"	"6"	"5"	"1"	"11"	"10"	"384"	"-"	"384"	"-"
"254"	"205"	"89"	"51"	"198"	"12"	"3"	"3"	"9"	"4"	"369"	"-"	"369"	"-"
"255"	"206"	"248"	"13"	"68"	"4"	"7"	"5"	"13"	"12"	"370"	"-"	"370"	"-"
"256"	"207"	"142"	"128"	"77"	"1"	"1"	"3"	"5"	"3"	"360"	"-"	"360"	"-"
"257"	"208"	"116"	"89"	"40"	"1"	"2"	"2"	"7"	"2"	"259"	"-"	"259"	"-"
"258"	"208A"	"79"	"96"	"21"	"7"	"3"	"3"	"5"	"16"	"230"	"-"	"230"	"-"
"259"	"209"	"68"	"180"	"212"	"9"	"6"	"7"	"11"	"8"	"501"	"-"	"501"	"-"
"260"	"210"	"81"	"265"	"48"	"6"	"7"	"11"	"13"	"17"	"448"	"-"	"448"	"-"
"261"	"211"	"51"	"75"	"139"	"5"	"7"	"2"	"4"	"3"	"286"	"-"	"286"	"-"
"262"	"212"	"53"	"43"	"168"	"4"	"1"	"0"	"3"	"2"	"274"	"-"	"274"	"-"
"263"	"213"	"35"	"108"	"306"	"3"	"2"	"5"	"5"	"1"	"465"	"-"	"465"	"-"
"264"	"214"	"22"	"159"	"40"	"2"	"2"	"1"	"5"	"5"	"236"	"-"	"236"	"-"
"265"	"215"	"87"	"101"	"59"	"4"	"3"	"2"	"7"	"10"	"273"	"-"	"273"	"-"
"266"	"215A"	"111"	"55"	"60"	"5"	"1"	"3"	"16"	"6"	"257"	"-"	"257"	"-"
"267"	"216"	"52"	"21"	"363"	"12"	"2"	"2"	"10"	"3"	"465"	"-"	"465"	"-"
"268"	"217"	"40"	"137"	"142"	"7"	"0"	"3"	"8"	"2"	"339"	"-"	"339"	"-"
"269"	"218"	"70"	"117"	"181"	"9"	"8"	"10"	"15"	"13"	"423"	"-"	"423"	"-"
"270"	"219"	"63"	"27"	"179"	"1"	"6"	"1"	"1"	"2"	"280"	"-"	"280"	"-"
"271"	"220"	"12"	"129"	"225"	"1"	"2"	"0"	"0"	"3"	"372"	"-"	"372"	"-"
"272"	"221"	"78"	"43"	"274"	"20"	"5"	"1"	"10"	"7"	"438"	"-"	"438"	"-"
"273"	"222"	"62"	"67"	"178"	"10"	"7"	"3"	"4"	"9"	"340"	"-"	"340"	"-"
"274"	"223"	"86"	"81"	"249"	"12"	"4"	"8"	"11"	"6"	"457"	"-"	"457"	"-"
"275"	"224"	"16"	"33"	"251"	"6"	"2"	"1"	"4"	"4"	"317"	"-"	"317"	"-"
"276"	"224A"	"13"	"16"	"232"	"7"	"3"	"2"	"4"	"5"	"282"	"-"	"282"	"-"
"277"	"225"	"21"	"150"	"104"	"9"	"5"	"2"	"5"	"3"	"299"	"-"	"299"	"-"
"278"	"226"	"86"	"112"	"101"	"3"	"0"	"2"	"6"	"3"	"313"	"-"	"313"	"-"
"279"	"227"	"16"	"24"	"196"	"2"	"5"	"1"	"4"	"4"	"252"	"-"	"252"	"-"
"280"	"Serial  No of Polling Station"	"No. of Valid Votes Cast in Favour of"	""	""	""	""	""	""	""	"Total of Vaild Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	"Dr. Indal Singh Naveen"	"Md. Khalil Ansari"	"Sunil Kumar \"Pintu\""	"Rameshwar Prasad Yadav"	"Vinod Kumar Singh"	"Ganesh Prasad"	"Majid Ansari"	"Rambabu Tiwari"	""	""	""	""
"282"	"228"	"22"	"108"	"161"	"10"	"6"	"3"	"5"	"2"	"317"	"-"	"317"	"-"
"283"	"229"	"208"	"56"	"229"	"8"	"9"	"2"	"19"	"3"	"534"	"-"	"534"	"-"
"284"	"230"	"31"	"257"	"185"	"15"	"2"	"3"	"11"	"6"	"510"	"-"	"510"	"-"
"285"	"231"	"41"	"252"	"42"	"7"	"8"	"8"	"13"	"5"	"376"	"-"	"376"	"-"
"286"	"232"	"36"	"185"	"64"	"6"	"3"	"1"	"4"	"4"	"303"	"-"	"303"	"-"
"287"	"232A"	"14"	"136"	"22"	"3"	"5"	"3"	"0"	"3"	"186"	"-"	"186"	"-"
"288"	"233"	"11"	"134"	"105"	"6"	"5"	"1"	"5"	"3"	"270"	"-"	"270"	"-"
"289"	"234"	"121"	"224"	"26"	"5"	"4"	"2"	"8"	"19"	"409"	"-"	"409"	"-"
"290"	"235"	"130"	"145"	"29"	"3"	"2"	"1"	"13"	"7"	"330"	"-"	"330"	"-"
"291"	"Total"	"21776"	"29720"	"50973"	"1960"	"1142"	"904"	"2172"	"2013"	"110660"	"-"	"110660"	"-"
"292"	"Total No. of Valid Votes recorded on Postal Ballot Papers for Candidates and of rejected Postal Ballot Papers"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"_"	"8"	"8"	"_"
"293"	"Grand
Total"	"21776"	"29720"	"50973"	"1960"	"1142"	"904"	"2172"	"2013"	"110660"	"8"	"110668"	"0"
"294"	"Place :- Sitamarhi"	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Date :- 22 Nov. 2005                                                                                                                                                  Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
