"Total.No..of.Electors.in.Assembly.Constituency...203388"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"197"	"Total"	"1233"	"57"	"760"	"227"	"1618"	"753"	"55"	"101"	"23"	"67"	"4894"	"0"	"4894"	"0"	""
"198"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"204"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"205"	"116"	"119"	"5"	"88"	"157"	"58"	"48"	"18"	"13"	"5"	"10"	"521"	"0"	"521"	"0"	""
"206"	"117"	"33"	"3"	"114"	"7"	"25"	"19"	"1"	"12"	"4"	"2"	"220"	"0"	"220"	"0"	""
"207"	"118"	"27"	"2"	"18"	"0"	"27"	"6"	"1"	"1"	"2"	"1"	"85"	"0"	"85"	"0"	""
"208"	"118A"	"20"	"1"	"18"	"1"	"48"	"2"	"0"	"1"	"1"	"1"	"93"	"0"	"93"	"0"	""
"209"	"119"	"127"	"5"	"7"	"2"	"264"	"31"	"5"	"2"	"1"	"7"	"451"	"0"	"451"	"0"	""
"210"	"120"	"98"	"6"	"71"	"7"	"200"	"24"	"10"	"8"	"3"	"12"	"439"	"0"	"439"	"0"	""
"211"	"121"	"249"	"1"	"69"	"3"	"96"	"13"	"7"	"17"	"3"	"7"	"465"	"0"	"465"	"0"	""
"212"	"122"	"239"	"14"	"28"	"6"	"223"	"17"	"2"	"5"	"1"	"4"	"539"	"0"	"539"	"0"	""
"213"	"123"	"139"	"3"	"21"	"1"	"208"	"11"	"1"	"1"	"1"	"3"	"389"	"0"	"389"	"0"	""
"214"	"124"	"207"	"5"	"41"	"1"	"216"	"36"	"7"	"9"	"3"	"4"	"529"	"0"	"529"	"0"	""
"215"	"125"	"101"	"3"	"3"	"4"	"122"	"7"	"7"	"2"	"2"	"1"	"252"	"0"	"252"	"0"	""
"216"	"126"	"207"	"9"	"122"	"7"	"187"	"113"	"10"	"26"	"9"	"14"	"704"	"0"	"704"	"0"	""
"217"	"127"	"86"	"7"	"37"	"43"	"64"	"83"	"12"	"7"	"4"	"2"	"345"	"0"	"345"	"0"	""
"218"	"128"	"161"	"0"	"12"	"0"	"57"	"219"	"8"	"5"	"5"	"1"	"468"	"0"	"468"	"0"	""
"219"	"Total"	"1813"	"64"	"649"	"239"	"1795"	"629"	"89"	"109"	"44"	"69"	"5500"	"0"	"5500"	"0"	""
"220"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"227"	"129"	"12"	"2"	"55"	"1"	"197"	"93"	"3"	"6"	"2"	"7"	"378"	"0"	"378"	"0"	""
"228"	"130"	"22"	"7"	"40"	"3"	"225"	"24"	"7"	"3"	"2"	"2"	"335"	"0"	"335"	"0"	""
"229"	"131"	"109"	"21"	"8"	"2"	"144"	"27"	"1"	"2"	"2"	"3"	"319"	"0"	"319"	"0"	""
"230"	"132"	"254"	"11"	"7"	"5"	"213"	"26"	"6"	"4"	"8"	"12"	"546"	"0"	"546"	"0"	""
"231"	"133"	"231"	"8"	"21"	"62"	"120"	"28"	"3"	"3"	"0"	"5"	"481"	"0"	"481"	"0"	""
"232"	"134"	"22"	"7"	"23"	"2"	"86"	"12"	"1"	"10"	"1"	"5"	"169"	"0"	"169"	"0"	""
"233"	"135"	"100"	"6"	"7"	"3"	"232"	"192"	"5"	"7"	"3"	"4"	"559"	"0"	"559"	"0"	""
"234"	"136"	"93"	"7"	"7"	"2"	"67"	"84"	"4"	"4"	"2"	"8"	"278"	"0"	"278"	"0"	""
"235"	"137"	"129"	"5"	"8"	"2"	"143"	"65"	"2"	"3"	"0"	"3"	"360"	"0"	"360"	"0"	""
"236"	"138"	"63"	"19"	"21"	"1"	"152"	"39"	"3"	"0"	"4"	"12"	"314"	"0"	"314"	"0"	""
"237"	"139"	"57"	"19"	"251"	"10"	"81"	"11"	"5"	"43"	"3"	"13"	"493"	"0"	"493"	"0"	""
"238"	"140"	"53"	"153"	"13"	"5"	"78"	"10"	"2"	"7"	"3"	"5"	"329"	"0"	"329"	"0"	""
"239"	"141"	"51"	"16"	"14"	"51"	"174"	"17"	"9"	"11"	"6"	"7"	"356"	"0"	"356"	"0"	""
"240"	"142"	"236"	"54"	"17"	"31"	"85"	"24"	"15"	"14"	"5"	"22"	"503"	"0"	"503"	"0"	""
"241"	"Total"	"1432"	"335"	"492"	"180"	"1997"	"652"	"66"	"117"	"41"	"108"	"5420"	"0"	"5420"	"0"	""
"242"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"249"	"143"	"159"	"34"	"42"	"3"	"188"	"12"	"3"	"10"	"5"	"4"	"460"	"0"	"460"	"0"	""
"250"	"144"	"90"	"25"	"23"	"119"	"147"	"11"	"20"	"12"	"13"	"32"	"492"	"0"	"492"	"0"	""
"251"	"145"	"196"	"11"	"12"	"50"	"40"	"25"	"7"	"2"	"3"	"3"	"349"	"0"	"349"	"0"	""
"252"	"145A"	"100"	"2"	"24"	"46"	"177"	"33"	"5"	"1"	"3"	"6"	"397"	"0"	"397"	"0"	""
"253"	"146"	"38"	"6"	"7"	"92"	"64"	"262"	"14"	"3"	"4"	"14"	"504"	"0"	"504"	"0"	""
"254"	"147"	"177"	"5"	"16"	"184"	"104"	"121"	"22"	"11"	"21"	"19"	"680"	"0"	"680"	"0"	""
"255"	"148"	"71"	"79"	"21"	"2"	"94"	"9"	"0"	"4"	"0"	"1"	"281"	"0"	"281"	"0"	""
"256"	"149"	"183"	"15"	"13"	"18"	"287"	"30"	"2"	"5"	"1"	"8"	"562"	"0"	"562"	"0"	""
"257"	"150"	"138"	"4"	"31"	"10"	"53"	"24"	"3"	"6"	"1"	"2"	"272"	"0"	"272"	"0"	""
"258"	"151"	"90"	"4"	"23"	"29"	"259"	"19"	"7"	"3"	"7"	"19"	"460"	"0"	"460"	"0"	""
"259"	"152"	"15"	"1"	"5"	"1"	"186"	"5"	"3"	"2"	"1"	"2"	"221"	"0"	"221"	"0"	""
"260"	"153"	"47"	"106"	"122"	"7"	"68"	"14"	"3"	"10"	"3"	"7"	"387"	"0"	"387"	"0"	""
"261"	"154"	"178"	"22"	"80"	"4"	"227"	"12"	"5"	"10"	"5"	"15"	"558"	"0"	"558"	"0"	""
"262"	"155"	"130"	"7"	"10"	"4"	"252"	"16"	"3"	"3"	"2"	"4"	"431"	"0"	"431"	"0"	""
"263"	"Total"	"1612"	"321"	"429"	"569"	"2146"	"593"	"97"	"82"	"69"	"136"	"6054"	"0"	"6054"	"0"	""
"264"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"271"	"156"	"210"	"44"	"10"	"4"	"138"	"6"	"2"	"4"	"2"	"4"	"424"	"0"	"424"	"0"	""
"272"	"157"	"168"	"17"	"8"	"5"	"128"	"13"	"3"	"2"	"2"	"1"	"347"	"0"	"347"	"0"	""
"273"	"158"	"288"	"14"	"35"	"4"	"105"	"37"	"3"	"9"	"2"	"13"	"510"	"0"	"510"	"0"	""
"274"	"159"	"265"	"31"	"27"	"3"	"66"	"15"	"4"	"5"	"2"	"16"	"434"	"0"	"434"	"0"	""
"275"	"160"	"210"	"5"	"49"	"6"	"72"	"14"	"3"	"6"	"1"	"5"	"371"	"0"	"371"	"0"	""
"276"	"161"	"247"	"25"	"8"	"2"	"97"	"5"	"7"	"4"	"3"	"3"	"401"	"0"	"401"	"0"	""
"277"	"162"	"31"	"7"	"14"	"182"	"38"	"9"	"35"	"8"	"16"	"5"	"345"	"0"	"345"	"0"	""
"278"	"163"	"198"	"26"	"11"	"2"	"152"	"64"	"11"	"1"	"1"	"6"	"472"	"0"	"472"	"0"	""
"279"	"164"	"117"	"7"	"102"	"5"	"134"	"22"	"1"	"11"	"0"	"6"	"405"	"0"	"405"	"0"	""
"280"	"165"	"97"	"95"	"101"	"7"	"92"	"14"	"3"	"17"	"5"	"4"	"435"	"0"	"435"	"0"	""
"281"	"166"	"157"	"4"	"68"	"6"	"110"	"13"	"1"	"7"	"1"	"5"	"372"	"0"	"372"	"0"	""
"282"	"167"	"204"	"25"	"164"	"14"	"71"	"14"	"6"	"17"	"4"	"12"	"531"	"0"	"531"	"0"	""
"283"	"168"	"130"	"2"	"14"	"6"	"172"	"16"	"5"	"5"	"1"	"6"	"357"	"0"	"357"	"0"	""
"284"	"169"	"220"	"15"	"95"	"37"	"117"	"21"	"6"	"13"	"2"	"6"	"532"	"0"	"532"	"0"	""
"285"	"Total"	"2542"	"317"	"706"	"283"	"1492"	"263"	"90"	"109"	"42"	"92"	"5936"	"0"	"5936"	"0"	""
"286"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"292"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"293"	"170"	"128"	"5"	"22"	"5"	"117"	"20"	"3"	"4"	"4"	"13"	"321"	"0"	"321"	"0"	""
"294"	"171"	"146"	"49"	"24"	"22"	"199"	"18"	"12"	"8"	"5"	"12"	"495"	"0"	"495"	"0"	""
"295"	"172"	"40"	"7"	"78"	"9"	"87"	"16"	"7"	"15"	"2"	"7"	"268"	"0"	"268"	"0"	""
"296"	"173"	"254"	"23"	"44"	"6"	"127"	"65"	"2"	"7"	"7"	"9"	"544"	"0"	"544"	"0"	""
"297"	"174"	"269"	"45"	"41"	"100"	"126"	"12"	"20"	"8"	"7"	"16"	"644"	"0"	"644"	"0"	""
"298"	"175"	"206"	"59"	"61"	"59"	"115"	"13"	"9"	"10"	"10"	"25"	"567"	"0"	"567"	"0"	""
"299"	"176"	"18"	"1"	"52"	"12"	"119"	"12"	"2"	"5"	"2"	"6"	"229"	"0"	"229"	"0"	""
"300"	"176A"	"28"	"3"	"32"	"92"	"122"	"11"	"8"	"7"	"6"	"12"	"321"	"0"	"321"	"0"	""
"301"	"177"	"342"	"12"	"73"	"28"	"57"	"14"	"4"	"10"	"3"	"9"	"552"	"0"	"552"	"0"	""
"302"	"178"	"171"	"4"	"105"	"49"	"148"	"9"	"5"	"8"	"3"	"11"	"513"	"0"	"513"	"0"	""
"303"	"179"	"51"	"2"	"35"	"61"	"107"	"24"	"7"	"5"	"0"	"0"	"292"	"0"	"292"	"0"	""
"304"	"180"	"57"	"6"	"51"	"22"	"110"	"12"	"6"	"15"	"5"	"5"	"289"	"0"	"289"	"0"	""
"305"	"181"	"13"	"3"	"67"	"5"	"232"	"17"	"2"	"10"	"3"	"8"	"360"	"0"	"360"	"0"	""
"306"	"182"	"8"	"2"	"10"	"4"	"211"	"2"	"4"	"0"	"1"	"1"	"243"	"0"	"243"	"0"	""
"307"	"Total"	"1731"	"221"	"695"	"474"	"1877"	"245"	"91"	"112"	"58"	"134"	"5638"	"0"	"5638"	"0"	""
"308"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"314"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"315"	"183"	"178"	"5"	"122"	"1"	"69"	"19"	"7"	"18"	"5"	"6"	"430"	"0"	"430"	"0"	""
"316"	"184"	"123"	"8"	"124"	"4"	"115"	"20"	"16"	"16"	"2"	"9"	"437"	"0"	"437"	"0"	""
"317"	"185"	"224"	"2"	"93"	"8"	"164"	"16"	"6"	"18"	"5"	"15"	"551"	"0"	"551"	"0"	""
"318"	"186"	"48"	"5"	"214"	"4"	"123"	"5"	"3"	"14"	"0"	"9"	"425"	"0"	"425"	"0"	""
"319"	"187"	"119"	"10"	"196"	"8"	"94"	"30"	"6"	"18"	"5"	"11"	"497"	"0"	"497"	"0"	""
"320"	"188"	"76"	"2"	"6"	"0"	"221"	"55"	"6"	"4"	"2"	"5"	"377"	"0"	"377"	"0"	""
"321"	"189"	"82"	"2"	"17"	"6"	"278"	"17"	"3"	"4"	"2"	"1"	"412"	"0"	"412"	"0"	""
"322"	"190"	"24"	"3"	"133"	"4"	"195"	"42"	"1"	"16"	"2"	"12"	"432"	"0"	"432"	"0"	""
"323"	"191"	"35"	"0"	"30"	"4"	"175"	"35"	"3"	"4"	"1"	"10"	"297"	"0"	"297"	"0"	""
"324"	"192"	"274"	"4"	"5"	"0"	"214"	"22"	"5"	"2"	"1"	"12"	"539"	"0"	"539"	"0"	""
"325"	"193"	"164"	"3"	"3"	"1"	"136"	"8"	"0"	"0"	"0"	"3"	"318"	"0"	"318"	"0"	""
"326"	"194"	"228"	"3"	"5"	"6"	"208"	"11"	"2"	"3"	"3"	"12"	"481"	"0"	"481"	"0"	""
"327"	"195"	"191"	"7"	"90"	"7"	"315"	"22"	"2"	"9"	"4"	"8"	"655"	"0"	"655"	"0"	""
"328"	"196"	"47"	"3"	"9"	"7"	"236"	"11"	"1"	"1"	"0"	"3"	"318"	"0"	"318"	"0"	""
"329"	"Total"	"1813"	"57"	"1047"	"60"	"2543"	"313"	"61"	"127"	"32"	"116"	"6169"	"0"	"6169"	"0"	""
"330"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"336"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"337"	"197"	"279"	"9"	"13"	"4"	"297"	"24"	"2"	"1"	"5"	"5"	"639"	"0"	"639"	"0"	""
"338"	"198"	"233"	"2"	"3"	"1"	"176"	"16"	"1"	"2"	"2"	"1"	"437"	"0"	"437"	"0"	""
"339"	"199"	"202"	"2"	"11"	"4"	"338"	"20"	"2"	"0"	"0"	"9"	"588"	"0"	"588"	"0"	""
"340"	"200"	"423"	"3"	"4"	"3"	"193"	"18"	"2"	"2"	"2"	"3"	"653"	"0"	"653"	"0"	""
"341"	"201"	"376"	"10"	"12"	"0"	"99"	"9"	"1"	"1"	"1"	"6"	"515"	"0"	"515"	"0"	""
"342"	"202"	"481"	"6"	"13"	"2"	"153"	"20"	"0"	"3"	"1"	"2"	"681"	"0"	"681"	"0"	""
"343"	"203"	"365"	"3"	"0"	"6"	"115"	"14"	"1"	"3"	"1"	"3"	"511"	"0"	"511"	"0"	""
"344"	"204"	"568"	"2"	"2"	"2"	"107"	"32"	"2"	"0"	"2"	"3"	"720"	"0"	"720"	"0"	""
"345"	"205"	"394"	"3"	"9"	"0"	"141"	"16"	"1"	"4"	"1"	"3"	"572"	"0"	"572"	"0"	""
"346"	"206"	"155"	"4"	"19"	"2"	"94"	"8"	"0"	"0"	"0"	"1"	"283"	"0"	"283"	"0"	""
"347"	"207"	"218"	"4"	"14"	"0"	"119"	"8"	"1"	"0"	"1"	"2"	"367"	"0"	"367"	"0"	""
"348"	"208"	"365"	"14"	"25"	"7"	"178"	"14"	"8"	"14"	"4"	"20"	"649"	"0"	"649"	"0"	""
"349"	"209"	"324"	"3"	"7"	"1"	"145"	"14"	"1"	"1"	"0"	"2"	"498"	"0"	"498"	"0"	""
"350"	"210"	"123"	"2"	"16"	"21"	"311"	"38"	"4"	"6"	"2"	"3"	"526"	"0"	"526"	"0"	""
"351"	"Total"	"4506"	"67"	"148"	"53"	"2466"	"251"	"26"	"37"	"22"	"63"	"7639"	"0"	"7639"	"0"	""
"352"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"358"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"359"	"211"	"128"	"6"	"29"	"137"	"219"	"13"	"17"	"4"	"3"	"8"	"564"	"0"	"564"	"0"	""
"360"	"212"	"164"	"3"	"6"	"1"	"49"	"27"	"1"	"0"	"0"	"1"	"252"	"0"	"252"	"0"	""
"361"	"Total"	"292"	"9"	"35"	"138"	"268"	"40"	"18"	"4"	"3"	"9"	"816"	"0"	"816"	"0"	""
"362"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"4-Shikarpur(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"Total No. of Electors in Assembly Constituency - 203388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"Election for 4-Shikarpur (SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Round No."	"Bhagirathi Devi"	"Munna Ram"	"Munni      Lal Ram"	"Yogendra Manjhi"	"Subodh Kumar"	"Hira         Lal Ram"	"Umarao Manjhi"	"Nathu Ravi"	"Rajeshwar Paswan"	"Sugiv Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"370"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"371"	"Total"	"35145"	"3015"	"7914"	"8303"	"29893"	"7922"	"1661"	"1609"	"960"	"1917"	"98339"	"0"	"98339"	"0"	""
"372"	"Postal Ballot"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	""
"373"	"Grand Tot."	"35147"	"3015"	"7914"	"8303"	"29893"	"7922"	"1661"	"1609"	"960"	"1917"	"98341"	"0"	"98341"	"0"	""
"374"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"4-Shikarpur(SC) Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
