"Total.No..of.Electors.in.Assembly.Constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"280"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"281"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"282"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"283"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"284"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"285"	"Round - 15"	"162&d"	"16"	"169"	"20"	"129"	"20"	"354"	""	"354"	"0"
"286"	""	"163"	"47"	"250"	"19"	"49"	"8"	"373"	""	"373"	"0"
"287"	""	"163&d"	"115"	"153"	"19"	"111"	"29"	"427"	""	"427"	"0"
"288"	""	"164"	"40"	"116"	"25"	"224"	"24"	"429"	""	"429"	"0"
"289"	""	"165"	"44"	"107"	"31"	"277"	"33"	"492"	""	"492"	"0"
"290"	""	"166"	"90"	"102"	"18"	"161"	"20"	"391"	""	"391"	"0"
"291"	""	"167"	"63"	"104"	"28"	"255"	"39"	"489"	""	"489"	"0"
"292"	""	"168"	"34"	"177"	"19"	"134"	"37"	"401"	""	"401"	"0"
"293"	""	"169"	"46"	"319"	"31"	"64"	"19"	"479"	""	"479"	"0"
"294"	""	"170"	"24"	"100"	"30"	"397"	"26"	"577"	""	"577"	"0"
"295"	""	"171"	"53"	"23"	"9"	"195"	"15"	"295"	""	"295"	"0"
"296"	""	"172"	"96"	"229"	"45"	"52"	"34"	"456"	""	"456"	"0"
"297"	""	"173"	"18"	"79"	"23"	"201"	"32"	"353"	""	"353"	"0"
"298"	""	"173&d"	"41"	"69"	"12"	"96"	"13"	"231"	""	"231"	"0"
"299"	""	"Total"	"727"	"1997"	"329"	"2345"	"349"	"5747"	""	"5747"	"0"
"300"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"301"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"302"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"303"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"304"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"305"	"Round - 16"	"174"	"29"	"108"	"15"	"86"	"39"	"277"	""	"277"	"0"
"306"	""	"174&d"	"40"	"184"	"20"	"29"	"29"	"302"	""	"302"	"0"
"307"	""	"175"	"75"	"80"	"15"	"100"	"18"	"288"	""	"288"	"0"
"308"	""	"175&d"	"29"	"135"	"18"	"64"	"16"	"262"	""	"262"	"0"
"309"	""	"176"	"30"	"114"	"14"	"172"	"28"	"358"	""	"358"	"0"
"310"	""	"177"	"43"	"96"	"8"	"106"	"15"	"268"	""	"268"	"0"
"311"	""	"177&d"	"59"	"48"	"16"	"144"	"21"	"288"	""	"288"	"0"
"312"	""	"178"	"38"	"381"	"26"	"183"	"41"	"669"	""	"669"	"0"
"313"	""	"179"	"35"	"122"	"11"	"171"	"25"	"364"	""	"364"	"0"
"314"	""	"180"	"28"	"205"	"23"	"227"	"39"	"522"	""	"522"	"0"
"315"	""	"181"	"16"	"129"	"13"	"112"	"31"	"301"	""	"301"	"0"
"316"	""	"182"	"23"	"157"	"22"	"120"	"53"	"375"	""	"375"	"0"
"317"	""	"182&d"	"15"	"99"	"18"	"110"	"36"	"278"	""	"278"	"0"
"318"	""	"183"	"19"	"49"	"26"	"198"	"24"	"316"	""	"316"	"0"
"319"	""	"Total"	"479"	"1907"	"245"	"1822"	"415"	"4868"	""	"4868"	"0"
"320"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""
"321"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""
"322"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""
"323"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""
"324"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""
"325"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 79 Pandaul"	""	""	""	""	""	""	""	""	""	""
"326"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"327"	""	""	"Devendra Prasad Singh"	"Naiyar Azam"	"Vinay Kumar Jha"	"Binod Narayan Jha"	"Aghanu Yadav"	""	""	""	""
"328"	""	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"329"	"Round - 17"	"184"	"54"	"220"	"36"	"219"	"36"	"565"	""	"565"	"0"
"330"	""	"185"	"25"	"115"	"20"	"170"	"25"	"355"	""	"355"	"0"
"331"	""	"Total"	"79"	"335"	"56"	"389"	"61"	"920"	""	"920"	"0"
"332"	"Total No. of votes recorded at Polling stations"	""	"14902"	"30241"	"3866"	"33552"	"5504"	"88065"	"0"	"88065"	"0"
"333"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""
"334"	"TOTAL VOTES POLLED"	""	"14902"	"30241"	"3866"	"33552"	"5504"	"88065"	""	"88065"	"0"
