"Á.Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"167"	"119"	"58"	"1"	"5"	"160"	"5"	"3"	"1"	"0"	"0"	"1"	"18"	"0"	"0"	"0"	"252"	"0"	"252"	"0"
"168"	"119 d"	"18"	"1"	"1"	"111"	"10"	"5"	"2"	"0"	"0"	"2"	"12"	"1"	"5"	"5"	"173"	"0"	"173"	"0"
"169"	"120"	"21"	"0"	"1"	"0"	"231"	"2"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"261"	"0"	"261"	"0"
"170"	"121"	"148"	"16"	"9"	"17"	"97"	"3"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"7"	"303"	"0"	"303"	"0"
"171"	"122"	"89"	"1"	"3"	"2"	"250"	"3"	"0"	"0"	"3"	"5"	"0"	"2"	"1"	"5"	"364"	"0"	"364"	"0"
"172"	"122 d"	"16"	"0"	"0"	"3"	"289"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"3"	"317"	"0"	"317"	"0"
"173"	"123"	"11"	"1"	"1"	"26"	"13"	"1"	"43"	"2"	"0"	"1"	"3"	"0"	"1"	"0"	"103"	"0"	"103"	"0"
"174"	"124"	"16"	"3"	"0"	"3"	"18"	"3"	"6"	"0"	"0"	"0"	"69"	"0"	"1"	"0"	"119"	"0"	"119"	"0"
"175"	"125"	"97"	"1"	"2"	"71"	"134"	"5"	"7"	"6"	"4"	"3"	"1"	"1"	"0"	"4"	"336"	"0"	"336"	"0"
"176"	"dqy%&"	"6591"	"2171"	"1444"	"10130"	"22231"	"612"	"625"	"283"	"415"	"321"	"3108"	"241"	"305"	"572"	"49049"	"0"	"49049"	"0"
"177"	"B.F."	"6591"	"2171"	"1444"	"10130"	"22231"	"612"	"625"	"283"	"415"	"321"	"3108"	"241"	"305"	"572"	"49049"	"0"	"49049"	"0"
"178"	"126"	"110"	"3"	"0"	"53"	"60"	"7"	"12"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"251"	"0"	"251"	"0"
"179"	"127"	"118"	"18"	"2"	"147"	"10"	"10"	"3"	"0"	"1"	"3"	"22"	"1"	"6"	"16"	"357"	"0"	"357"	"0"
"180"	"128"	"4"	"0"	"2"	"139"	"9"	"4"	"5"	"1"	"0"	"1"	"20"	"1"	"5"	"5"	"196"	"0"	"196"	"0"
"181"	"129"	"45"	"40"	"22"	"178"	"179"	"5"	"6"	"12"	"9"	"8"	"19"	"3"	"10"	"14"	"550"	"0"	"550"	"0"
"182"	"130"	"143"	"4"	"4"	"6"	"19"	"21"	"9"	"0"	"5"	"5"	"149"	"3"	"5"	"13"	"386"	"0"	"386"	"0"
"183"	"131"	"2"	"2"	"1"	"13"	"124"	"2"	"0"	"0"	"0"	"3"	"164"	"1"	"3"	"1"	"316"	"0"	"316"	"0"
"184"	"132"	"62"	"5"	"3"	"9"	"218"	"14"	"3"	"5"	"8"	"16"	"33"	"4"	"11"	"30"	"421"	"0"	"421"	"0"
"185"	"133"	"22"	"1"	"34"	"11"	"42"	"12"	"29"	"4"	"2"	"5"	"190"	"3"	"2"	"17"	"374"	"0"	"374"	"0"
"186"	"134"	"33"	"4"	"10"	"14"	"63"	"23"	"10"	"1"	"4"	"6"	"126"	"5"	"2"	"11"	"312"	"0"	"312"	"0"
"187"	"135"	"18"	"12"	"1"	"13"	"92"	"8"	"2"	"0"	"3"	"1"	"98"	"2"	"2"	"2"	"254"	"0"	"254"	"0"
"188"	"136"	"88"	"6"	"3"	"7"	"38"	"12"	"5"	"1"	"1"	"5"	"139"	"4"	"22"	"15"	"346"	"0"	"346"	"0"
"189"	"137"	"20"	"2"	"1"	"34"	"73"	"4"	"2"	"2"	"0"	"1"	"47"	"2"	"3"	"2"	"193"	"0"	"193"	"0"
"190"	"138"	"6"	"2"	"7"	"23"	"5"	"9"	"11"	"1"	"2"	"0"	"166"	"1"	"2"	"3"	"238"	"0"	"238"	"0"
"191"	"139"	"47"	"67"	"2"	"10"	"142"	"8"	"2"	"5"	"4"	"7"	"132"	"5"	"5"	"4"	"440"	"0"	"440"	"0"
"192"	"dqy%&"	"7309"	"2337"	"1536"	"10787"	"23305"	"751"	"724"	"315"	"454"	"383"	"4413"	"277"	"385"	"707"	"53683"	"0"	"53683"	"0"
"193"	"B.F."	"7309"	"2337"	"1536"	"10787"	"23305"	"751"	"724"	"315"	"454"	"383"	"4413"	"277"	"385"	"707"	"53686"	"0"	"53683"	"0"
"194"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"195"	"140"	"122"	"9"	"20"	"14"	"47"	"4"	"18"	"1"	"3"	"5"	"22"	"7"	"2"	"19"	"293"	"0"	"293"	"0"
"196"	"141"	"5"	"0"	"0"	"22"	"14"	"8"	"105"	"2"	"0"	"5"	"172"	"4"	"4"	"3"	"344"	"0"	"344"	"0"
"197"	"142"	"54"	"2"	"1"	"116"	"6"	"5"	"4"	"3"	"0"	"0"	"191"	"6"	"7"	"15"	"410"	"0"	"410"	"0"
"198"	"143"	"9"	"0"	"0"	"51"	"1"	"2"	"2"	"1"	"0"	"0"	"46"	"2"	"5"	"2"	"121"	"0"	"121"	"0"
"199"	"144"	"17"	"2"	"1"	"108"	"8"	"2"	"0"	"0"	"1"	"1"	"20"	"0"	"1"	"0"	"161"	"0"	"161"	"0"
"200"	"145"	"50"	"7"	"3"	"61"	"72"	"31"	"3"	"5"	"7"	"8"	"179"	"8"	"11"	"19"	"464"	"0"	"464"	"0"
"201"	"146"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"202"	"147"	"23"	"2"	"3"	"19"	"69"	"10"	"2"	"4"	"13"	"4"	"31"	"0"	"7"	"11"	"198"	"0"	"198"	"0"
"203"	"148"	"12"	"0"	"13"	"25"	"139"	"5"	"2"	"3"	"8"	"4"	"25"	"2"	"1"	"2"	"241"	"0"	"241"	"0"
"204"	"149"	"150"	"43"	"18"	"46"	"32"	"20"	"13"	"4"	"12"	"8"	"51"	"12"	"14"	"45"	"468"	"0"	"468"	"0"
"205"	"150"	"20"	"3"	"14"	"5"	"72"	"5"	"8"	"2"	"0"	"3"	"51"	"2"	"6"	"5"	"196"	"0"	"196"	"0"
"206"	"151"	"118"	"0"	"14"	"111"	"15"	"5"	"16"	"0"	"1"	"3"	"63"	"3"	"3"	"6"	"358"	"0"	"358"	"0"
"207"	"152"	"1"	"1"	"0"	"70"	"7"	"2"	"51"	"0"	"0"	"1"	"130"	"0"	"1"	"1"	"265"	"0"	"265"	"0"
"208"	"153"	"64"	"12"	"2"	"163"	"38"	"8"	"2"	"0"	"3"	"3"	"19"	"2"	"2"	"6"	"324"	"0"	"324"	"0"
"209"	"dqy%&"	"7954"	"2418"	"1625"	"11598"	"23825"	"858"	"950"	"340"	"502"	"428"	"5413"	"325"	"449"	"841"	"57526"	"0"	"57526"	"0"
"210"	"B.F."	"7954"	"2418"	"1625"	"11598"	"23825"	"858"	"950"	"340"	"502"	"428"	"5413"	"325"	"449"	"841"	"57526"	"0"	"57526"	"0"
"211"	"154"	"32"	"0"	"3"	"111"	"124"	"6"	"0"	"3"	"5"	"3"	"4"	"2"	"0"	"15"	"308"	"0"	"308"	"0"
"212"	"155"	"28"	"3"	"25"	"136"	"55"	"6"	"4"	"6"	"0"	"3"	"19"	"1"	"6"	"4"	"296"	"0"	"296"	"0"
"213"	"155 d"	"3"	"0"	"4"	"15"	"5"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"31"	"0"	"31"	"0"
"214"	"156"	"140"	"5"	"5"	"68"	"82"	"17"	"13"	"1"	"7"	"9"	"23"	"6"	"3"	"23"	"402"	"0"	"402"	"0"
"215"	"157"	"82"	"1"	"0"	"13"	"195"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"297"	"0"	"297"	"0"
"216"	"157 d"	"135"	"20"	"4"	"139"	"65"	"4"	"2"	"0"	"5"	"4"	"2"	"4"	"2"	"16"	"402"	"0"	"402"	"0"
"217"	"158"	"78"	"6"	"5"	"104"	"101"	"3"	"9"	"2"	"6"	"1"	"7"	"0"	"5"	"20"	"347"	"0"	"347"	"0"
"218"	"159"	"18"	"0"	"19"	"70"	"202"	"2"	"4"	"3"	"5"	"2"	"3"	"1"	"0"	"1"	"330"	"0"	"330"	"0"
"219"	"160"	"14"	"3"	"6"	"466"	"37"	"6"	"9"	"2"	"2"	"4"	"4"	"0"	"3"	"9"	"565"	"0"	"565"	"0"
"220"	"161"	"116"	"2"	"1"	"38"	"139"	"1"	"1"	"0"	"2"	"1"	"0"	"1"	"5"	"13"	"320"	"0"	"320"	"0"
"221"	"162"	"43"	"4"	"11"	"116"	"240"	"9"	"1"	"1"	"5"	"1"	"3"	"0"	"2"	"7"	"443"	"0"	"443"	"0"
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"223"	"163"	"91"	"6"	"15"	"89"	"305"	"6"	"2"	"5"	"11"	"4"	"6"	"3"	"3"	"8"	"554"	"0"	"554"	"0"
"224"	"164"	"53"	"6"	"35"	"139"	"102"	"2"	"2"	"18"	"2"	"1"	"12"	"0"	"4"	"4"	"380"	"0"	"380"	"0"
"225"	"165"	"113"	"40"	"7"	"99"	"123"	"3"	"0"	"0"	"1"	"6"	"1"	"0"	"4"	"6"	"403"	"0"	"403"	"0"
"226"	"dqy%&"	"8900"	"2514"	"1765"	"13201"	"25600"	"925"	"997"	"382"	"555"	"468"	"5498"	"343"	"487"	"969"	"62604"	"0"	"62604"	"0"
"227"	"B.F."	"8900"	"2514"	"1765"	"13201"	"25600"	"925"	"997"	"382"	"555"	"468"	"5498"	"343"	"487"	"969"	"62604"	"0"	"62604"	"0"
"228"	"166"	"168"	"15"	"15"	"141"	"52"	"4"	"2"	"0"	"5"	"3"	"4"	"2"	"3"	"12"	"426"	"0"	"426"	"0"
"229"	"167"	"172"	"2"	"0"	"77"	"189"	"2"	"1"	"0"	"3"	"8"	"3"	"0"	"2"	"7"	"466"	"0"	"466"	"0"
"230"	"168"	"41"	"5"	"7"	"117"	"171"	"6"	"7"	"4"	"6"	"3"	"9"	"2"	"5"	"9"	"392"	"0"	"392"	"0"
"231"	"169"	"0"	"0"	"15"	"272"	"3"	"0"	"0"	"0"	"0"	"0"	"33"	"0"	"0"	"0"	"323"	"0"	"323"	"0"
"232"	"170"	"175"	"41"	"5"	"53"	"145"	"5"	"2"	"18"	"4"	"5"	"2"	"2"	"1"	"8"	"466"	"0"	"466"	"0"
"233"	"171"	"15"	"3"	"67"	"211"	"18"	"4"	"5"	"5"	"4"	"1"	"12"	"2"	"7"	"4"	"358"	"0"	"358"	"0"
"234"	"172"	"71"	"2"	"17"	"10"	"183"	"8"	"9"	"74"	"7"	"6"	"1"	"1"	"2"	"4"	"395"	"0"	"395"	"0"
"235"	"173"	"29"	"3"	"8"	"20"	"495"	"2"	"1"	"14"	"2"	"0"	"1"	"0"	"0"	"1"	"576"	"0"	"576"	"0"
"236"	"174"	"250"	"47"	"13"	"17"	"64"	"5"	"1"	"2"	"6"	"6"	"2"	"1"	"5"	"11"	"430"	"0"	"430"	"0"
"237"	"175"	"53"	"29"	"5"	"85"	"185"	"7"	"5"	"8"	"9"	"11"	"6"	"9"	"6"	"24"	"442"	"0"	"442"	"0"
"238"	"176"	"40"	"0"	"5"	"81"	"192"	"4"	"2"	"5"	"0"	"0"	"1"	"0"	"2"	"8"	"340"	"0"	"340"	"0"
"239"	"177"	"36"	"8"	"8"	"157"	"94"	"1"	"1"	"0"	"4"	"2"	"1"	"1"	"5"	"4"	"322"	"0"	"322"	"0"
"240"	"178"	"25"	"2"	"7"	"73"	"52"	"48"	"2"	"2"	"3"	"2"	"6"	"0"	"1"	"1"	"224"	"0"	"224"	"0"
"241"	"178 d"	"78"	"8"	"62"	"108"	"25"	"8"	"1"	"0"	"1"	"1"	"20"	"2"	"2"	"3"	"319"	"0"	"319"	"0"
"242"	"dqy%&"	"10053"	"2679"	"1999"	"14623"	"27468"	"1029"	"1036"	"514"	"609"	"516"	"5599"	"365"	"528"	"1065"	"68083"	"0"	"68083"	"0"
"243"	"B.F."	"10053"	"2679"	"1999"	"14623"	"27468"	"1029"	"1036"	"514"	"609"	"516"	"5599"	"365"	"528"	"1065"	"68083"	"0"	"68083"	"0"
"244"	"179"	"36"	"11"	"130"	"85"	"167"	"8"	"1"	"5"	"5"	"1"	"3"	"5"	"5"	"8"	"470"	"0"	"470"	"0"
"245"	"179 d"	"88"	"5"	"21"	"86"	"53"	"5"	"3"	"1"	"5"	"7"	"7"	"6"	"7"	"25"	"319"	"0"	"319"	"0"
"246"	"180"	"1"	"1"	"7"	"60"	"345"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"419"	"0"	"419"	"0"
"247"	"181"	"114"	"4"	"19"	"129"	"237"	"6"	"8"	"2"	"6"	"6"	"3"	"1"	"3"	"12"	"550"	"0"	"550"	"0"
"248"	"182"	"19"	"11"	"47"	"37"	"359"	"5"	"1"	"13"	"3"	"6"	"5"	"6"	"3"	"6"	"521"	"0"	"521"	"0"
"249"	"183"	"40"	"17"	"155"	"100"	"63"	"9"	"4"	"5"	"9"	"19"	"47"	"30"	"24"	"27"	"549"	"0"	"549"	"0"
"250"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"251"	"184"	"0"	"0"	"2"	"254"	"3"	"1"	"0"	"0"	"0"	"0"	"10"	"1"	"0"	"0"	"271"	"0"	"271"	"0"
"252"	"185"	"14"	"0"	"53"	"48"	"184"	"0"	"0"	"1"	"12"	"3"	"3"	"3"	"2"	"5"	"328"	"0"	"328"	"0"
"253"	"186"	"45"	"57"	"11"	"300"	"61"	"0"	"5"	"0"	"3"	"4"	"10"	"4"	"5"	"5"	"510"	"0"	"510"	"0"
"254"	"187"	"14"	"0"	"3"	"14"	"189"	"3"	"0"	"0"	"6"	"3"	"0"	"2"	"2"	"2"	"238"	"0"	"238"	"0"
"255"	"188"	"6"	"26"	"1"	"156"	"3"	"4"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"2"	"203"	"0"	"203"	"0"
"256"	"189"	"15"	"7"	"46"	"124"	"16"	"4"	"11"	"0"	"2"	"7"	"4"	"4"	"7"	"3"	"250"	"0"	"250"	"0"
"257"	"190"	"3"	"0"	"0"	"86"	"222"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"315"	"0"	"315"	"0"
"258"	"191"	"17"	"0"	"0"	"61"	"244"	"6"	"1"	"0"	"0"	"1"	"49"	"2"	"0"	"15"	"396"	"0"	"396"	"0"
"259"	"dqy%&"	"10465"	"2818"	"2494"	"16163"	"29614"	"1083"	"1071"	"542"	"660"	"573"	"5741"	"431"	"590"	"1177"	"73422"	"0"	"73422"	"0"
"260"	"B.F."	"10465"	"2818"	"2494"	"16163"	"29614"	"1083"	"1071"	"542"	"660"	"573"	"5741"	"431"	"590"	"1177"	"73422"	"0"	"73422"	"0"
"261"	"192"	"46"	"6"	"1"	"14"	"54"	"4"	"1"	"5"	"1"	"11"	"81"	"6"	"3"	"5"	"238"	"0"	"238"	"0"
"262"	"193"	"20"	"9"	"3"	"85"	"10"	"13"	"3"	"0"	"0"	"3"	"238"	"5"	"1"	"4"	"394"	"0"	"394"	"0"
"263"	"194"	"56"	"0"	"1"	"7"	"315"	"4"	"0"	"2"	"3"	"3"	"26"	"1"	"2"	"9"	"429"	"0"	"429"	"0"
"264"	"195"	"18"	"0"	"0"	"7"	"159"	"5"	"1"	"5"	"1"	"1"	"3"	"0"	"1"	"4"	"205"	"0"	"205"	"0"
"265"	"196"	"24"	"6"	"4"	"20"	"53"	"30"	"3"	"11"	"2"	"9"	"147"	"6"	"3"	"17"	"335"	"0"	"335"	"0"
"266"	"197"	"12"	"3"	"1"	"220"	"38"	"7"	"2"	"0"	"2"	"6"	"127"	"1"	"2"	"3"	"424"	"0"	"424"	"0"
"267"	"198"	"34"	"17"	"6"	"90"	"99"	"13"	"3"	"3"	"3"	"4"	"129"	"13"	"28"	"9"	"451"	"0"	"451"	"0"
"268"	"199"	"11"	"4"	"2"	"213"	"7"	"1"	"0"	"0"	"1"	"1"	"11"	"3"	"3"	"1"	"258"	"0"	"258"	"0"
"269"	"200"	"20"	"1"	"16"	"80"	"71"	"3"	"3"	"2"	"5"	"1"	"4"	"1"	"3"	"4"	"214"	"0"	"214"	"0"
"270"	"201"	"18"	"5"	"19"	"36"	"79"	"4"	"12"	"0"	"4"	"1"	"11"	"2"	"2"	"3"	"196"	"0"	"196"	"0"
"271"	"201 d"	"9"	"0"	"5"	"284"	"14"	"0"	"3"	"1"	"1"	"1"	"6"	"2"	"1"	"8"	"335"	"0"	"335"	"0"
"272"	"202"	"65"	"4"	"9"	"282"	"27"	"7"	"45"	"5"	"2"	"4"	"15"	"2"	"11"	"8"	"486"	"0"	"486"	"0"
"273"	"203"	"102"	"5"	"1"	"246"	"6"	"3"	"7"	"2"	"0"	"3"	"20"	"1"	"6"	"10"	"412"	"0"	"412"	"0"
"274"	"204"	"122"	"11"	"29"	"255"	"14"	"5"	"32"	"3"	"1"	"5"	"8"	"1"	"6"	"4"	"496"	"0"	"496"	"0"
"275"	"dqy%&"	"11022"	"2889"	"2591"	"18002"	"30560"	"1182"	"1186"	"581"	"686"	"626"	"6567"	"475"	"662"	"1266"	"78295"	"0"	"78295"	"0"
"276"	"B.F."	"11022"	"2889"	"2591"	"18002"	"30560"	"1182"	"1186"	"581"	"686"	"626"	"6567"	"475"	"662"	"1266"	"78295"	"0"	"78295"	"0"
"277"	"205"	"39"	"7"	"6"	"18"	"197"	"27"	"63"	"14"	"4"	"8"	"6"	"2"	"6"	"11"	"408"	"0"	"408"	"0"
"278"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"279"	"206"	"5"	"1"	"2"	"13"	"6"	"6"	"334"	"3"	"1"	"0"	"38"	"0"	"2"	"0"	"411"	"0"	"411"	"0"
"280"	"207"	"123"	"20"	"74"	"74"	"23"	"5"	"18"	"1"	"4"	"3"	"17"	"2"	"4"	"8"	"376"	"0"	"376"	"0"
"281"	"207 d"	"41"	"1"	"67"	"33"	"29"	"5"	"13"	"0"	"4"	"0"	"3"	"2"	"3"	"5"	"206"	"0"	"206"	"0"
"282"	"208"	"37"	"4"	"18"	"66"	"8"	"7"	"146"	"5"	"1"	"6"	"6"	"0"	"1"	"3"	"308"	"0"	"308"	"0"
"283"	"209"	"12"	"2"	"3"	"81"	"68"	"2"	"2"	"4"	"4"	"2"	"1"	"2"	"6"	"5"	"194"	"0"	"194"	"0"
"284"	"210"	"18"	"39"	"9"	"74"	"193"	"5"	"6"	"20"	"6"	"5"	"6"	"4"	"8"	"6"	"399"	"0"	"399"	"0"
"285"	"211"	"52"	"1"	"4"	"75"	"158"	"7"	"14"	"25"	"4"	"0"	"4"	"5"	"4"	"9"	"362"	"0"	"362"	"0"
"286"	"212"	"28"	"3"	"17"	"122"	"21"	"4"	"125"	"9"	"8"	"5"	"24"	"9"	"10"	"18"	"403"	"0"	"403"	"0"
"287"	"213"	"68"	"105"	"6"	"22"	"109"	"0"	"31"	"2"	"7"	"4"	"0"	"1"	"2"	"13"	"370"	"0"	"370"	"0"
"288"	";ksx%&"	"11445"	"3072"	"2797"	"18580"	"31372"	"1250"	"1938"	"664"	"729"	"659"	"6672"	"502"	"708"	"1344"	"81732"	"0"	"81732"	"0"
"289"	"Mkad erksa dh la[;k"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"290"	"dqy ;ksx%&"	"11445"	"3072"	"2797"	"18580"	"31372"	"1250"	"1938"	"664"	"729"	"659"	"6672"	"502"	"708"	"1344"	"81732"	"0"	"81732"	"0"
"291"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"L Fkku &       vjoy"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"rkfj[k&        22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"81732"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"225 dqFkkZ fo/kku lHkk {ks="	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
