"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"226"	"201"	"168"	"48"	"2"	"1"	"17"	"299"	"16"	"4"	"18"	"405"	"-"	"405"	""
"227"	"202"	"169"	"22"	"143"	"7"	"8"	"142"	"13"	"10"	"24"	"369"	"-"	"369"	""
"228"	"203"	"170"	"45"	"22"	"8"	"31"	"340"	"22"	"16"	"35"	"519"	"-"	"519"	""
"229"	"204"	"171"	"23"	"216"	"13"	"10"	"75"	"8"	"13"	"17"	"375"	"-"	"375"	""
"230"	"205"	"172"	"14"	"183"	"4"	"7"	"167"	"17"	"6"	"12"	"410"	"-"	"410"	""
"231"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"232"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"234"	"206"	"173"	"14"	"21"	"5"	"39"	"336"	"16"	"7"	"15"	"453"	"-"	"453"	""
"235"	"207"	"174"	"12"	"42"	"10"	"10"	"320"	"20"	"14"	"26"	"454"	"-"	"454"	""
"236"	"208"	"175"	"106"	"33"	"4"	"9"	"195"	"9"	"9"	"29"	"394"	"-"	"394"	""
"237"	"209"	"176"	"71"	"132"	"10"	"14"	"86"	"4"	"16"	"21"	"354"	"-"	"354"	""
"238"	"210"	"177"	"99"	"117"	"11"	"22"	"141"	"9"	"14"	"34"	"447"	"-"	"447"	""
"239"	"211"	"178"	"97"	"103"	"18"	"15"	"46"	"15"	"17"	"75"	"386"	"-"	"386"	""
"240"	"212"	"178A"	"6"	"20"	"2"	"5"	"145"	"9"	"5"	"9"	"201"	"-"	"201"	""
"241"	"213"	"179"	"54"	"122"	"6"	"40"	"6"	"2"	"7"	"11"	"248"	"-"	"248"	""
"242"	"214"	"180"	"13"	"232"	"9"	"6"	"46"	"1"	"6"	"22"	"335"	"-"	"335"	""
"243"	"215"	"181"	"91"	"177"	"14"	"8"	"37"	"13"	"9"	"23"	"372"	"-"	"372"	""
"244"	"216"	"182"	"68"	"101"	"8"	"6"	"33"	"1"	"7"	"7"	"231"	"-"	"231"	""
"245"	"217"	"182A"	"107"	"126"	"2"	"4"	"7"	"2"	"8"	"11"	"267"	"-"	"267"	""
"246"	"218"	"183"	"54"	"214"	"23"	"15"	"155"	"29"	"12"	"43"	"545"	"-"	"545"	""
"247"	"219"	"184"	"75"	"85"	"7"	"19"	"27"	"3"	"15"	"63"	"294"	"-"	"294"	""
"248"	"220"	"184A"	"35"	"69"	"14"	"50"	"13"	"12"	"7"	"45"	"245"	"-"	"245"	""
"249"	"221"	"185"	"368"	"34"	"2"	"1"	"11"	"1"	"4"	"4"	"425"	"-"	"425"	""
"250"	"222"	"185A"	"208"	"20"	"1"	"12"	"18"	"2"	"1"	"2"	"264"	"-"	"264"	""
"251"	"223"	"186"	"87"	"139"	"8"	"12"	"56"	"9"	"20"	"25"	"356"	"-"	"356"	""
"252"	"224"	"187"	"113"	"85"	"9"	"28"	"75"	"19"	"11"	"18"	"358"	"-"	"358"	""
"253"	"225"	"188"	"66"	"118"	"10"	"4"	"36"	"5"	"9"	"9"	"257"	"-"	"257"	""
"254"	"226"	"188A"	"38"	"85"	"5"	"3"	"45"	"8"	"14"	"15"	"213"	"-"	"213"	""
"255"	"227"	"189"	"64"	"242"	"10"	"18"	"39"	"58"	"11"	"17"	"459"	"-"	"459"	""
"256"	"228"	"190"	"39"	"203"	"5"	"1"	"7"	"7"	"9"	"10"	"281"	"-"	"281"	""
"257"	"229"	"190A"	"20"	"148"	"2"	"21"	"23"	"2"	"0"	"9"	"225"	"-"	"225"	""
"258"	"230"	"191"	"50"	"97"	"13"	"14"	"50"	"5"	"7"	"13"	"249"	"-"	"249"	""
"259"	"231"	"192"	"98"	"179"	"9"	"11"	"54"	"11"	"27"	"37"	"426"	"-"	"426"	""
"260"	"232"	"193"	"108"	"295"	"13"	"19"	"30"	"19"	"16"	"41"	"541"	"-"	"541"	""
"261"	"233"	"194"	"198"	"212"	"10"	"3"	"4"	"7"	"8"	"59"	"501"	"-"	"501"	""
"262"	"234"	"195"	"14"	"120"	"6"	"16"	"107"	"1"	"3"	"8"	"275"	"-"	"275"	""
"263"	"235"	"195A"	"2"	"4"	"1"	"35"	"250"	"10"	"6"	"5"	"313"	"-"	"313"	""
"264"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"265"	""	""	"Narendra Kumar Singh"	"Pramod Kumar Jha"	"Bishwanath Mandal"	"Satya Narayan Mukhia"	"Hare Krishna Yadav"	"Sushil Kumar Choudhary"	"Md. Afatab Alam"	"Sunita Devi"	""	""	""	""
"266"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"267"	"236"	"196"	"36"	"172"	"17"	"39"	"240"	"16"	"15"	"16"	"551"	"-"	"551"	""
"268"	"237"	"197"	"12"	"72"	"3"	"10"	"226"	"15"	"8"	"28"	"374"	"-"	"374"	""
"269"	"238"	"197A"	"26"	"19"	"5"	"8"	"198"	"12"	"7"	"44"	"319"	"-"	"319"	""
"270"	"239"	"198"	"22"	"108"	"7"	"10"	"190"	"12"	"23"	"29"	"401"	"-"	"401"	""
"271"	"240"	"199"	"58"	"188"	"13"	"3"	"17"	"2"	"5"	"34"	"320"	"-"	"320"	""
"272"	"241"	"200"	"169"	"38"	"6"	"10"	"101"	"9"	"8"	"37"	"378"	"-"	"378"	""
"273"	"242"	"201"	"185"	"66"	"7"	"27"	"44"	"4"	"10"	"21"	"364"	"-"	"364"	""
"274"	"243"	"202"	"77"	"69"	"9"	"44"	"71"	"17"	"14"	"30"	"331"	"-"	"331"	""
"275"	"244"	"203"	"23"	"40"	"7"	"83"	"56"	"22"	"8"	"40"	"279"	"-"	"279"	""
"276"	"245"	"204"	"146"	"55"	"7"	"66"	"24"	"6"	"8"	"46"	"358"	"-"	"358"	""
"277"	"Total No. of votes recording at polling Stations"	""	"26465"	"17425"	"1678"	"4171"	"33420"	"2607"	"2207"	"6062"	"94035"	"-"	"94035"	""
"278"	"No. of votes recorded"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"279"	"Total Votes polled"	""	"26465"	"17425"	"1678"	"4171"	"33420"	"2607"	"2207"	"6062"	"94035"	"-"	"94035"	""
"280"	"Place :   DARBHANGA                                                                                                                                                                       Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Date  :   22.11.2005                                                                                                                                                                           87-Baheri"	""	""	""	""	""	""	""	""	""	""	""	""	""
