"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"276"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"277"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"278"	"B/F"	"7421"	"24144"	"25675"	"1782"	"790"	"1429"	"61241"	"0"	"61241"	"0"
"279"	"151"	"44"	"252"	"123"	"10"	"7"	"5"	"441"	""	"441"	""
"280"	"152"	"19"	"78"	"268"	"11"	"0"	"5"	"381"	""	"381"	""
"281"	"153"	"29"	"86"	"181"	"12"	"5"	"17"	"330"	""	"330"	""
"282"	"153A"	"15"	"64"	"153"	"7"	"3"	"33"	"275"	""	"275"	""
"283"	"154"	"14"	"82"	"313"	"15"	"5"	"11"	"440"	""	"440"	""
"284"	"155"	"43"	"151"	"211"	"17"	"8"	"5"	"435"	""	"435"	""
"285"	"156"	"20"	"203"	"317"	"11"	"5"	"8"	"564"	""	"564"	""
"286"	"157"	"95"	"157"	"132"	"4"	"8"	"6"	"402"	""	"402"	""
"287"	"158"	"17"	"150"	"94"	"2"	"17"	"1"	"281"	""	"281"	""
"288"	"159"	"17"	"19"	"180"	"9"	"5"	"7"	"237"	""	"237"	""
"289"	"160"	"10"	"212"	"199"	"24"	"5"	"10"	"460"	""	"460"	""
"290"	"161"	"23"	"118"	"98"	"3"	"6"	"1"	"249"	""	"249"	""
"291"	"162"	"15"	"145"	"223"	"8"	"6"	"5"	"402"	""	"402"	""
"292"	"162A"	"18"	"127"	"61"	"8"	"5"	"11"	"230"	""	"230"	""
"293"	""	""	""	""	""	""	""	""	""	""	""
"294"	"TOTAL"	"7800"	"25988"	"28228"	"1923"	"875"	"1554"	"66368"	"0"	"66368"	"0"
"295"	"ROUND:-13"	""	""	""	""	""	""	""	""	""	""
"296"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""
"297"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"298"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"299"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"300"	"B/F"	"7800"	"25988"	"28228"	"1923"	"875"	"1554"	"66368"	"0"	"66368"	"0"
"301"	"163"	"11"	"132"	"64"	"6"	"5"	"7"	"225"	""	"225"	""
"302"	"164"	"16"	"96"	"102"	"9"	"9"	"20"	"252"	""	"252"	""
"303"	"165"	"22"	"107"	"20"	"11"	"10"	"47"	"217"	""	"217"	""
"304"	"166"	"9"	"204"	"120"	"3"	"6"	"14"	"356"	""	"356"	""
"305"	"167"	"6"	"96"	"207"	"10"	"6"	"31"	"356"	""	"356"	""
"306"	"168"	"29"	"182"	"105"	"19"	"16"	"21"	"372"	""	"372"	""
"307"	"169"	"136"	"88"	"90"	"18"	"6"	"19"	"357"	""	"357"	""
"308"	"170"	"77"	"243"	"154"	"19"	"8"	"10"	"511"	""	"511"	""
"309"	"171"	"23"	"366"	"117"	"14"	"8"	"32"	"560"	""	"560"	""
"310"	"172"	"21"	"205"	"160"	"25"	"4"	"14"	"429"	""	"429"	""
"311"	"173"	"21"	"100"	"178"	"8"	"2"	"8"	"317"	""	"317"	""
"312"	"174"	"20"	"207"	"68"	"3"	"5"	"13"	"316"	""	"316"	""
"313"	"175"	"115"	"128"	"80"	"3"	"3"	"7"	"336"	""	"336"	""
"314"	"176"	"93"	"113"	"99"	"4"	"1"	"4"	"314"	""	"314"	""
"315"	""	""	""	""	""	""	""	""	""	""	""
"316"	"TOTAL"	"8399"	"28255"	"29792"	"2075"	"964"	"1801"	"71286"	"0"	"71286"	"0"
"317"	"ROUND:-14"	""	""	""	""	""	""	""	""	""	""
"318"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"319"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"320"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"321"	"B/F"	"8399"	"28255"	"29792"	"2075"	"964"	"1801"	"71286"	"0"	"71286"	"0"
"322"	"177"	"13"	"31"	"290"	"2"	"1"	"0"	"337"	""	"337"	""
"323"	"178"	"40"	"232"	"96"	"5"	"4"	"3"	"380"	""	"380"	""
"324"	"179"	"6"	"145"	"131"	"12"	"1"	"3"	"298"	""	"298"	""
"325"	"180"	"13"	"238"	"80"	"4"	"1"	"7"	"343"	""	"343"	""
"326"	"181"	"13"	"263"	"110"	"7"	"7"	"2"	"402"	""	"402"	""
"327"	"182"	"16"	"125"	"165"	"13"	"3"	"14"	"336"	""	"336"	""
"328"	"183"	"69"	"147"	"136"	"12"	"21"	"46"	"431"	""	"431"	""
"329"	"184"	"34"	"140"	"260"	"18"	"18"	"37"	"507"	""	"507"	""
"330"	"185"	"19"	"325"	"107"	"9"	"4"	"4"	"468"	""	"468"	""
"331"	"186"	"7"	"168"	"208"	"15"	"0"	"15"	"413"	""	"413"	""
"332"	"187"	"16"	"252"	"255"	"14"	"2"	"9"	"548"	""	"548"	""
"333"	"188"	"22"	"257"	"314"	"14"	"5"	"11"	"623"	""	"623"	""
"334"	"189"	"58"	"242"	"153"	"20"	"7"	"33"	"513"	""	"513"	""
"335"	"190"	"98"	"177"	"127"	"7"	"6"	"5"	"420"	""	"420"	""
"336"	""	""	""	""	""	""	""	""	""	""	""
"337"	"TOTAL"	"8823"	"30997"	"32224"	"2227"	"1044"	"1990"	"77305"	"0"	"77305"	"0"
"338"	"ROUND:-15"	""	""	""	""	""	""	""	""	""	""
"339"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"NO. OF TEDR VOTES"
"340"	""	"ANIL KUMAR SINGH"	"RAJEEV KUMAR SINGH"	"SHAKUNI CHAUDHARY"	"SANJAY KUMAR SINGH"	"DEO PRAKASH SINGH"	"BHARAT MANDAL"	"TOTAL OF VALID VOTES"	"NO.OF REJ. VOTES"	"TOTAL"	""
"341"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"342"	"B/F"	"8823"	"30997"	"32224"	"2227"	"1044"	"1990"	"77305"	"0"	"77305"	"0"
"343"	"191"	"13"	"429"	"172"	"0"	"5"	"2"	"621"	""	"621"	""
"344"	"192"	"42"	"243"	"187"	"8"	"9"	"11"	"500"	""	"500"	""
"345"	"193"	"21"	"344"	"148"	"21"	"6"	"23"	"563"	""	"563"	""
"346"	"194"	"9"	"204"	"97"	"4"	"4"	"20"	"338"	""	"338"	""
"347"	""	""	""	""	""	""	""	""	""	""	""
"348"	"TOTAL"	"8908"	"32217"	"32828"	"2260"	"1068"	"2046"	"79327"	"0"	"79327"	"0"
"349"	"ROUND:-16"	""	""	""	""	""	""	""	""	""	""
