"No..and.Name.of.Assembly.Contituency.37.MASHRAKH.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"
"126"	"99"	"92"	""	"110"	"12"	"3"	""	"9"	""	"3"	""	"4"	""	"11"	""	"8"	""	"53"	"5"	"15"	""	"16"	""	"341"	""	""	""	""	""	""	""	""
"127"	"10"	"103"	""	"170"	"6"	"4"	""	"13"	""	"2"	""	"5"	""	"2"	""	"1"	""	"105"	"0"	"5"	""	"10"	""	"426"	""	""	""	""	""	""	""	""
"128"	"101"	"155"	""	"289"	"21"	"4"	""	"5"	""	"1"	""	"2"	""	"14"	""	"3"	""	"23"	"7"	"16"	""	"24"	""	"564"	""	""	""	""	""	""	""	""
"129"	"102"	"219"	""	"278"	"29"	"8"	""	"13"	""	"4"	""	"4"	""	"23"	""	"3"	""	"9"	"4"	"6"	""	"6"	""	"606"	""	""	""	""	""	""	""	""
"130"	"103"	"176"	""	"265"	"28"	"5"	""	"1"	""	"0"	""	"3"	""	"11"	""	"3"	""	"14"	"4"	"10"	""	"18"	""	"538"	""	""	""	""	""	""	""	""
"131"	"104"	"138"	""	"125"	"9"	"2"	""	"4"	""	"0"	""	"1"	""	"6"	""	"2"	""	"3"	"3"	"4"	""	"16"	""	"313"	""	""	""	""	""	""	""	""
"132"	"104A"	"122"	""	"124"	"13"	"6"	""	"1"	""	"2"	""	"5"	""	"14"	""	"7"	""	"97"	"11"	"13"	""	"25"	""	"440"	""	""	""	""	""	""	""	""
"133"	"105"	"184"	""	"75"	"9"	"2"	""	"2"	""	"0"	""	"0"	""	"10"	""	"0"	""	"6"	"0"	"7"	""	"6"	""	"301"	""	""	""	""	""	""	""	""
"134"	"106"	"181"	""	"100"	"9"	"0"	""	"4"	""	"2"	""	"0"	""	"6"	""	"2"	""	"6"	"1"	"4"	""	"15"	""	"330"	""	""	""	""	""	""	""	""
"135"	"107"	"178"	""	"228"	"21"	"9"	""	"6"	""	"4"	""	"5"	""	"6"	""	"3"	""	"112"	"3"	"10"	""	"16"	""	"601"	""	""	""	""	""	""	""	""
"136"	"108"	"174"	""	"408"	"43"	"9"	""	"5"	""	"11"	""	"11"	""	"16"	""	"3"	""	"18"	"5"	"16"	""	"25"	""	"744"	""	""	""	""	""	""	""	""
"137"	"Total"	"2440"	""	"2780"	"235"	"64"	""	"71"	""	"35"	""	"46"	""	"134"	""	"44"	""	"508"	"61"	"125"	""	"208"	""	"6751"	""	""	""	""	""	""	""	""
"138"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"139"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"140"	"109"	"202"	""	"288"	"9"	"3"	""	"5"	""	"4"	""	"1"	""	"3"	""	"4"	""	"25"	"3"	"8"	""	"20"	""	"575"	""	""	""	""	""	""	""	""
"141"	"110"	"70"	""	"50"	"7"	"2"	""	"8"	""	"2"	""	"1"	""	"2"	""	"2"	""	"38"	"4"	"3"	""	"6"	""	"195"	""	""	""	""	""	""	""	""
"142"	"111"	"132"	""	"192"	"16"	"5"	""	"7"	""	"0"	""	"4"	""	"5"	""	"7"	""	"61"	"6"	"18"	""	"36"	""	"489"	""	""	""	""	""	""	""	""
"143"	"112"	"93"	""	"180"	"24"	"9"	""	"6"	""	"3"	""	"1"	""	"4"	""	"3"	""	"19"	"5"	"11"	""	"11"	""	"369"	""	""	""	""	""	""	""	""
"144"	"112A"	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	""	""	""	""	""	""	""	""
"145"	"113"	"139"	""	"218"	"21"	"6"	""	"6"	""	"4"	""	"7"	""	"16"	""	"5"	""	"32"	"8"	"17"	""	"32"	""	"511"	""	""	""	""	""	""	""	""
"146"	"114"	"117"	""	"201"	"29"	"12"	""	"13"	""	"7"	""	"5"	""	"61"	""	"7"	""	"43"	"7"	"14"	""	"26"	""	"542"	""	""	""	""	""	""	""	""
"147"	"115"	"140"	""	"230"	"31"	"8"	""	"10"	""	"5"	""	"10"	""	"30"	""	"13"	""	"44"	"13"	"38"	""	"70"	""	"642"	""	""	""	""	""	""	""	""
"148"	"116"	"212"	""	"256"	"32"	"7"	""	"19"	""	"6"	""	"4"	""	"11"	""	"2"	""	"10"	"4"	"15"	""	"18"	""	"596"	""	""	""	""	""	""	""	""
"149"	"117"	"214"	""	"295"	"35"	"8"	""	"4"	""	"7"	""	"6"	""	"43"	""	"4"	""	"11"	"4"	"8"	""	"9"	""	"648"	""	""	""	""	""	""	""	""
"150"	"118"	"242"	""	"182"	"12"	"6"	""	"7"	""	"3"	""	"8"	""	"52"	""	"9"	""	"16"	"9"	"17"	""	"50"	""	"613"	""	""	""	""	""	""	""	""
"151"	"119"	"61"	""	"177"	"6"	"1"	""	"2"	""	"0"	""	"1"	""	"12"	""	"2"	""	"4"	"1"	"8"	""	"2"	""	"277"	""	""	""	""	""	""	""	""
"152"	"119A"	"179"	""	"172"	"13"	"1"	""	"6"	""	"1"	""	"2"	""	"21"	""	"4"	""	"7"	"5"	"4"	""	"8"	""	"423"	""	""	""	""	""	""	""	""
"153"	"120"	"52"	""	"134"	"17"	"2"	""	"0"	""	"1"	""	"1"	""	"7"	""	"3"	""	"5"	"3"	"12"	""	"25"	""	"262"	""	""	""	""	""	""	""	""
"154"	"Total"	"1853"	""	"2575"	"252"	"70"	""	"93"	""	"43"	""	"51"	""	"267"	""	"65"	""	"315"	"72"	"173"	""	"313"	""	"6142"	""	""	""	""	""	""	""	""
"155"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"156"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"157"	"120A"	"152"	""	"122"	"14"	"6"	""	"1"	""	"3"	""	"2"	""	"45"	""	"8"	""	"11"	"2"	"14"	""	"26"	""	"406"	""	""	""	""	""	""	""	""
"158"	"121"	"36"	""	"120"	"17"	"5"	""	"1"	""	"0"	""	"2"	""	"22"	""	"1"	""	"11"	"7"	"12"	""	"11"	""	"245"	""	""	""	""	""	""	""	""
"159"	"122"	"109"	""	"181"	"14"	"7"	""	"2"	""	"0"	""	"1"	""	"3"	""	"2"	""	"1"	"0"	"2"	""	"5"	""	"327"	""	""	""	""	""	""	""	""
"160"	"123"	"166"	""	"271"	"21"	"7"	""	"6"	""	"5"	""	"7"	""	"7"	""	"3"	""	"23"	"13"	"15"	""	"32"	""	"576"	""	""	""	""	""	""	""	""
"161"	"124"	"262"	""	"148"	"15"	"6"	""	"3"	""	"2"	""	"3"	""	"10"	""	"2"	""	"13"	"5"	"11"	""	"19"	""	"499"	""	""	""	""	""	""	""	""
"162"	"125"	"217"	""	"238"	"21"	"9"	""	"4"	""	"6"	""	"5"	""	"15"	""	"0"	""	"9"	"12"	"17"	""	"22"	""	"575"	""	""	""	""	""	""	""	""
"163"	"126"	"268"	""	"260"	"37"	"14"	""	"8"	""	"10"	""	"13"	""	"9"	""	"10"	""	"62"	"10"	"14"	""	"28"	""	"743"	""	""	""	""	""	""	""	""
"164"	"127"	"82"	""	"51"	"7"	"4"	""	"5"	""	"3"	""	"4"	""	"124"	""	"10"	""	"9"	"2"	"9"	""	"29"	""	"339"	""	""	""	""	""	""	""	""
"165"	"127A"	"92"	""	"84"	"10"	"5"	""	"11"	""	"3"	""	"2"	""	"82"	""	"7"	""	"71"	"7"	"10"	""	"27"	""	"411"	""	""	""	""	""	""	""	""
"166"	"128"	"173"	""	"234"	"30"	"10"	""	"14"	""	"8"	""	"7"	""	"49"	""	"6"	""	"15"	"10"	"7"	""	"16"	""	"579"	""	""	""	""	""	""	""	""
"167"	"129"	"144"	""	"311"	"24"	"11"	""	"9"	""	"3"	""	"9"	""	"50"	""	"11"	""	"43"	"9"	"25"	""	"35"	""	"684"	""	""	""	""	""	""	""	""
"168"	"130"	"175"	""	"163"	"36"	"9"	""	"8"	""	"6"	""	"3"	""	"35"	""	"5"	""	"18"	"3"	"8"	""	"10"	""	"479"	""	""	""	""	""	""	""	""
"169"	"131"	"106"	""	"107"	"7"	"3"	""	"1"	""	"3"	""	"3"	""	"3"	""	"4"	""	"73"	"4"	"6"	""	"6"	""	"326"	""	""	""	""	""	""	""	""
"170"	"132"	"150"	""	"102"	"9"	"6"	""	"9"	""	"2"	""	"25"	""	"6"	""	"3"	""	"26"	"5"	"11"	""	"19"	""	"373"	""	""	""	""	""	""	""	""
"171"	"Total"	"2132"	""	"2392"	"262"	"102"	""	"82"	""	"54"	""	"86"	""	"460"	""	"72"	""	"385"	"89"	"161"	""	"285"	""	"6562"	""	""	""	""	""	""	""	""
"172"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"173"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"174"	"133"	"144"	""	"42"	"10"	"4"	""	"2"	""	"2"	""	"8"	""	"5"	""	"4"	""	"163"	"5"	"5"	""	"11"	""	"405"	""	""	""	""	""	""	""	""
"175"	"134"	"78"	""	"17"	"4"	"16"	""	"1"	""	"3"	""	"1"	""	"4"	""	"7"	""	"190"	"4"	"7"	""	"15"	""	"347"	""	""	""	""	""	""	""	""
"176"	"135"	"144"	""	"44"	"12"	"21"	""	"14"	""	"7"	""	"5"	""	"13"	""	"3"	""	"244"	"5"	"5"	""	"9"	""	"526"	""	""	""	""	""	""	""	""
"177"	"136"	"194"	""	"123"	"17"	"6"	""	"6"	""	"4"	""	"4"	""	"12"	""	"2"	""	"35"	"7"	"23"	""	"52"	""	"485"	""	""	""	""	""	""	""	""
"178"	"137"	"71"	""	"188"	"19"	"30"	""	"8"	""	"6"	""	"10"	""	"79"	""	"7"	""	"97"	"7"	"15"	""	"16"	""	"553"	""	""	""	""	""	""	""	""
"179"	"138"	"88"	""	"100"	"12"	"61"	""	"8"	""	"6"	""	"7"	""	"14"	""	"9"	""	"58"	"15"	"17"	""	"35"	""	"430"	""	""	""	""	""	""	""	""
"180"	"139"	"82"	""	"167"	"16"	"49"	""	"5"	""	"1"	""	"4"	""	"7"	""	"7"	""	"50"	"10"	"21"	""	"25"	""	"444"	""	""	""	""	""	""	""	""
"181"	"140"	"227"	""	"236"	"21"	"37"	""	"16"	""	"2"	""	"2"	""	"17"	""	"1"	""	"21"	"2"	"11"	""	"16"	""	"609"	""	""	""	""	""	""	""	""
"182"	"141"	"83"	""	"180"	"18"	"62"	""	"14"	""	"7"	""	"11"	""	"15"	""	"12"	""	"48"	"11"	"12"	""	"31"	""	"504"	""	""	""	""	""	""	""	""
"183"	"142"	"184"	""	"216"	"28"	"71"	""	"7"	""	"2"	""	"8"	""	"36"	""	"12"	""	"37"	"18"	"25"	""	"37"	""	"681"	""	""	""	""	""	""	""	""
"184"	"143"	"171"	""	"150"	"15"	"15"	""	"2"	""	"2"	""	"9"	""	"25"	""	"11"	""	"17"	"10"	"22"	""	"38"	""	"487"	""	""	""	""	""	""	""	""
"185"	"144"	"271"	""	"172"	"22"	"18"	""	"3"	""	"5"	""	"3"	""	"18"	""	"13"	""	"65"	"16"	"25"	""	"52"	""	"683"	""	""	""	""	""	""	""	""
"186"	"145"	"124"	""	"182"	"27"	"4"	""	"4"	""	"4"	""	"4"	""	"3"	""	"3"	""	"24"	"5"	"7"	""	"15"	""	"406"	""	""	""	""	""	""	""	""
"187"	"146"	"96"	""	"62"	"8"	"2"	""	"6"	""	"9"	""	"6"	""	"91"	""	"7"	""	"3"	"3"	"5"	""	"9"	""	"307"	""	""	""	""	""	""	""	""
"188"	"Total"	"1957"	""	"1879"	"229"	"396"	""	"96"	""	"60"	""	"82"	""	"339"	""	"98"	""	"1052"	"118"	"200"	""	"361"	""	"6867"	""	""	""	""	""	""	""	""
"189"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"190"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"191"	"146A"	"123"	""	"87"	"5"	"2"	""	"5"	""	"2"	""	"2"	""	"74"	""	"2"	""	"6"	"1"	"3"	""	"10"	""	"322"	""	""	""	""	""	""	""	""
"192"	"147"	"160"	""	"47"	"5"	"3"	""	"8"	""	"3"	""	"6"	""	"135"	""	"10"	""	"13"	"10"	"9"	""	"32"	""	"441"	""	""	""	""	""	""	""	""
"193"	"148"	"201"	""	"32"	"9"	"3"	""	"7"	""	"6"	""	"2"	""	"77"	""	"6"	""	"5"	"6"	"5"	""	"12"	""	"371"	""	""	""	""	""	""	""	""
"194"	"149"	"201"	""	"99"	"11"	"7"	""	"17"	""	"6"	""	"2"	""	"22"	""	"6"	""	"11"	"4"	"5"	""	"19"	""	"410"	""	""	""	""	""	""	""	""
"195"	"150"	"218"	""	"180"	"15"	"7"	""	"9"	""	"1"	""	"4"	""	"42"	""	"2"	""	"10"	"9"	"9"	""	"11"	""	"517"	""	""	""	""	""	""	""	""
"196"	"151"	"150"	""	"164"	"10"	"3"	""	"3"	""	"0"	""	"1"	""	"33"	""	"0"	""	"5"	"0"	"2"	""	"3"	""	"374"	""	""	""	""	""	""	""	""
"197"	"152"	"21"	""	"156"	"11"	"4"	""	"1"	""	"0"	""	"8"	""	"106"	""	"5"	""	"8"	"1"	"5"	""	"5"	""	"331"	""	""	""	""	""	""	""	""
"198"	"153"	"130"	""	"122"	"4"	"5"	""	"2"	""	"0"	""	"1"	""	"7"	""	"3"	""	"7"	"2"	"8"	""	"8"	""	"299"	""	""	""	""	""	""	""	""
"199"	"154"	"111"	""	"136"	"6"	"5"	""	"2"	""	"0"	""	"4"	""	"43"	""	"4"	""	"11"	"6"	"12"	""	"15"	""	"355"	""	""	""	""	""	""	""	""
"200"	"155"	"43"	""	"143"	"6"	"2"	""	"4"	""	"0"	""	"0"	""	"35"	""	"7"	""	"2"	"0"	"4"	""	"3"	""	"249"	""	""	""	""	""	""	""	""
"201"	"155A"	"131"	""	"57"	"2"	"1"	""	"2"	""	"1"	""	"6"	""	"47"	""	"3"	""	"6"	"3"	"4"	""	"11"	""	"274"	""	""	""	""	""	""	""	""
"202"	"156"	"149"	""	"85"	"18"	"9"	""	"12"	""	"3"	""	"4"	""	"43"	""	"5"	""	"10"	"1"	"6"	""	"12"	""	"357"	""	""	""	""	""	""	""	""
"203"	"157"	"42"	""	"100"	"10"	"3"	""	"4"	""	"4"	""	"1"	""	"70"	""	"5"	""	"8"	"2"	"5"	""	"4"	""	"258"	""	""	""	""	""	""	""	""
"204"	"158"	"193"	""	"290"	"16"	"2"	""	"2"	""	"0"	""	"2"	""	"10"	""	"0"	""	"40"	"2"	"1"	""	"3"	""	"561"	""	""	""	""	""	""	""	""
"205"	"Total"	"1873"	""	"1698"	"128"	"56"	""	"78"	""	"26"	""	"43"	""	"744"	""	"58"	""	"142"	"47"	"78"	""	"148"	""	"5119"	""	""	""	""	""	""	""	""
"206"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"207"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"208"	"159"	"178"	""	"145"	"20"	"10"	""	"2"	""	"6"	""	"3"	""	"9"	""	"1"	""	"18"	"2"	"6"	""	"6"	""	"406"	""	""	""	""	""	""	""	""
"209"	"160"	"100"	""	"125"	"19"	"3"	""	"4"	""	"5"	""	"6"	""	"17"	""	"1"	""	"8"	"2"	"7"	""	"4"	""	"301"	""	""	""	""	""	""	""	""
"210"	"161"	"213"	""	"86"	"19"	"0"	""	"6"	""	"0"	""	"0"	""	"8"	""	"0"	""	"4"	"1"	"5"	""	"6"	""	"348"	""	""	""	""	""	""	""	""
"211"	"162"	"144"	""	"194"	"19"	"13"	""	"8"	""	"1"	""	"7"	""	"4"	""	"5"	""	"26"	"3"	"7"	""	"26"	""	"457"	""	""	""	""	""	""	""	""
"212"	"163"	"186"	""	"65"	"5"	"6"	""	"6"	""	"1"	""	"1"	""	"3"	""	"0"	""	"29"	"1"	"1"	""	"5"	""	"309"	""	""	""	""	""	""	""	""
"213"	"163A"	"178"	""	"49"	"9"	"4"	""	"3"	""	"3"	""	"2"	""	"5"	""	"1"	""	"10"	"5"	"6"	""	"12"	""	"287"	""	""	""	""	""	""	""	""
"214"	"164"	"31"	""	"82"	"2"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"3"	"1"	"1"	""	"1"	""	"121"	""	""	""	""	""	""	""	""
"215"	"165"	"191"	""	"48"	"5"	"4"	""	"15"	""	"2"	""	"1"	""	"4"	""	"6"	""	"21"	"8"	"11"	""	"29"	""	"345"	""	""	""	""	""	""	""	""
"216"	"166"	"83"	""	"81"	"8"	"3"	""	"3"	""	"2"	""	"3"	""	"11"	""	"3"	""	"32"	"5"	"13"	""	"50"	""	"297"	""	""	""	""	""	""	""	""
"217"	"167"	"49"	""	"116"	"15"	"6"	""	"23"	""	"7"	""	"6"	""	"146"	""	"9"	""	"4"	"2"	"17"	""	"11"	""	"411"	""	""	""	""	""	""	""	""
"218"	"168"	"274"	""	"117"	"11"	"11"	""	"8"	""	"6"	""	"3"	""	"14"	""	"10"	""	"9"	"11"	"8"	""	"27"	""	"509"	""	""	""	""	""	""	""	""
"219"	"169"	"279"	""	"153"	"15"	"7"	""	"15"	""	"2"	""	"6"	""	"9"	""	"10"	""	"19"	"16"	"17"	""	"38"	""	"586"	""	""	""	""	""	""	""	""
"220"	"170"	"194"	""	"220"	"24"	"8"	""	"45"	""	"5"	""	"3"	""	"7"	""	"1"	""	"9"	"3"	"17"	""	"25"	""	"561"	""	""	""	""	""	""	""	""
"221"	"171"	"314"	""	"86"	"15"	"2"	""	"3"	""	"0"	""	"3"	""	"7"	""	"6"	""	"15"	"5"	"8"	""	"33"	""	"497"	""	""	""	""	""	""	""	""
"222"	"Total"	"2414"	""	"1567"	"186"	"77"	""	"141"	""	"40"	""	"44"	""	"244"	""	"53"	""	"207"	"65"	"124"	""	"273"	""	"5435"	""	""	""	""	""	""	""	""
"223"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"224"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"225"	"172"	"202"	""	"210"	"7"	"4"	""	"0"	""	"1"	""	"1"	""	"9"	""	"2"	""	"8"	"5"	"11"	""	"18"	""	"478"	""	""	""	""	""	""	""	""
"226"	"173"	"214"	""	"130"	"12"	"8"	""	"3"	""	"1"	""	"1"	""	"7"	""	"2"	""	"15"	"8"	"8"	""	"37"	""	"446"	""	""	""	""	""	""	""	""
"227"	"174"	"159"	""	"143"	"12"	"7"	""	"5"	""	"3"	""	"2"	""	"9"	""	"3"	""	"11"	"6"	"16"	""	"13"	""	"389"	""	""	""	""	""	""	""	""
"228"	"175"	"136"	""	"228"	"11"	"6"	""	"3"	""	"1"	""	"2"	""	"2"	""	"1"	""	"19"	"6"	"4"	""	"9"	""	"428"	""	""	""	""	""	""	""	""
"229"	"176"	"111"	""	"161"	"21"	"5"	""	"9"	""	"1"	""	"5"	""	"4"	""	"1"	""	"15"	"3"	"11"	""	"17"	""	"364"	""	""	""	""	""	""	""	""
"230"	"177"	"196"	""	"116"	"19"	"8"	""	"14"	""	"10"	""	"4"	""	"5"	""	"2"	""	"9"	"6"	"14"	""	"32"	""	"435"	""	""	""	""	""	""	""	""
"231"	"175"	"53"	""	"12"	"0"	"6"	""	"3"	""	"6"	""	"10"	""	"243"	""	"14"	""	"1"	"0"	"6"	""	"8"	""	"362"	""	""	""	""	""	""	""	""
"232"	"179"	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	""	"0"	""	"0"	""	""	""	""	""	""	""	""
"233"	"180"	"116"	""	"192"	"22"	"6"	""	"11"	""	"1"	""	"6"	""	"59"	""	"2"	""	"12"	"3"	"9"	""	"9"	""	"448"	""	""	""	""	""	""	""	""
"234"	"181"	"133"	""	"21"	"4"	"4"	""	"5"	""	"3"	""	"0"	""	"39"	""	"3"	""	"4"	"2"	"5"	""	"10"	""	"233"	""	""	""	""	""	""	""	""
"235"	"182"	"106"	""	"147"	"29"	"6"	""	"36"	""	"4"	""	"4"	""	"10"	""	"3"	""	"7"	"5"	"15"	""	"15"	""	"387"	""	""	""	""	""	""	""	""
"236"	"183"	"75"	""	"207"	"27"	"6"	""	"15"	""	"3"	""	"1"	""	"35"	""	"5"	""	"11"	"8"	"22"	""	"31"	""	"446"	""	""	""	""	""	""	""	""
"237"	"184"	"50"	""	"148"	"8"	"5"	""	"10"	""	"1"	""	"5"	""	"30"	""	"2"	""	"10"	"7"	"13"	""	"15"	""	"304"	""	""	""	""	""	""	""	""
"238"	"184A"	"121"	""	"44"	"27"	"3"	""	"3"	""	"4"	""	"1"	""	"29"	""	"4"	""	"5"	"0"	"6"	""	"21"	""	"268"	""	""	""	""	""	""	""	""
"239"	"Total"	"1672"	""	"1759"	"199"	"74"	""	"117"	""	"39"	""	"42"	""	"481"	""	"44"	""	"127"	"59"	"140"	""	"235"	""	"4988"	""	""	""	""	""	""	""	""
"240"	"Serial No of Polling Station"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"241"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"242"	"185"	"98"	""	"202"	"23"	"6"	""	"3"	""	"2"	""	"4"	""	"28"	""	"3"	""	"9"	"8"	"5"	""	"15"	""	"406"	""	""	""	""	""	""	""	""
"243"	"186"	"271"	""	"196"	"3"	"0"	""	"7"	""	"1"	""	"0"	""	"1"	""	"2"	""	"9"	"0"	"1"	""	"1"	""	"492"	""	""	""	""	""	""	""	""
"244"	"187"	"195"	""	"121"	"11"	"7"	""	"5"	""	"5"	""	"3"	""	"109"	""	"10"	""	"4"	"10"	"16"	""	"55"	""	"551"	""	""	""	""	""	""	""	""
"245"	"188"	"491"	""	"65"	"6"	"1"	""	"2"	""	"2"	""	"1"	""	"12"	""	"1"	""	"0"	"0"	"1"	""	"0"	""	"582"	""	""	""	""	""	""	""	""
"246"	"189"	"475"	""	"27"	"2"	"1"	""	"7"	""	""	""	"0"	""	"24"	""	"3"	""	"4"	"0"	"0"	""	"1"	""	"544"	""	""	""	""	""	""	""	""
"247"	"Total"	"1530"	""	"611"	"45"	"15"	""	"24"	""	"10"	""	"8"	""	"174"	""	"19"	""	"26"	"18"	"23"	""	"72"	""	"2575"	""	""	""	""	""	""	""	""
"248"	"No. and Name of Assembly Contituency 37-MASHRAKH ROUND Wise"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"Serial No of Round Wise"	"No.of Valid Votes cast favover of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Tatal Of Valid Votes"	""	"No. of rejected votes"	""	"Total"	""	"No. of tendered Votes"	""	""
"250"	""	"Kedar Nath Singh"	""	"Tarkeshw ar Singh"	"Sanjeev Kumar Mishra"	"Sabha Rai"	""	"Harendra Kishore Singh"	""	"Ajit Kumar Singh"	""	"Asheshwa r Pandey"	""	"Kameshw ar Singh"	""	"Baleshwar Ram"	""	"Ram Narayan Prasad Yadav"	"Sanjay Kumar"	"Sanjeev Ku.Singh"	""	"Sadhu Rai"	""	""	""	""	""	""	""	""	""	""
"251"	"1"	"2"	""	"3"	"4"	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	"12"	"13"	""	"14"	""	"15"	""	"16"	""	"17"	""	"18"	""	""
"252"	"1"	"2355"	""	"2731"	"477"	"74"	""	"124"	""	"43"	""	"60"	""	"134"	""	"44"	""	"168"	"68"	"132"	""	"260"	""	"6670"	""	""	""	""	""	""	""	""
