"No..and.Name.of.Assembly.Constituency...........46..Raghopur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"288"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"293"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"294"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"295"	"145"	"522"	"70"	"19"	"253"	"180"	"522"	"0"	"522"	"0"
"296"	"146"	"550"	"96"	"19"	"327"	"108"	"550"	"0"	"550"	"0"
"297"	"147"	"303"	"31"	"14"	"144"	"114"	"303"	"0"	"303"	"0"
"298"	"148"	"263"	"44"	"28"	"69"	"122"	"263"	"0"	"263"	"0"
"299"	"149"	"139"	"6"	"3"	"16"	"114"	"139"	"0"	"139"	"0"
"300"	"149K"	"195"	"11"	"2"	"54"	"128"	"195"	"0"	"195"	"0"
"301"	"150"	"247"	"6"	"6"	"48"	"187"	"247"	"0"	"247"	"0"
"302"	"151"	"250"	"21"	"4"	"48"	"177"	"250"	"0"	"250"	"0"
"303"	"152"	"469"	"354"	"16"	"30"	"69"	"469"	"0"	"469"	"0"
"304"	"153"	"171"	"81"	"9"	"29"	"52"	"171"	"0"	"171"	"0"
"305"	"154"	"541"	"63"	"10"	"172"	"296"	"541"	"0"	"541"	"0"
"306"	"155"	"318"	"44"	"7"	"127"	"140"	"318"	"0"	"318"	"0"
"307"	"156"	"353"	"32"	"13"	"98"	"210"	"353"	"0"	"353"	"0"
"308"	"156K"	"224"	"18"	"8"	"89"	"109"	"224"	"0"	"224"	"0"
"309"	"Grand Total"	"4545"	"877"	"158"	"1504"	"2006"	"4545"	"0"	"4545"	"0"
"310"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"311"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"317"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"318"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"319"	"157"	"280"	"89"	"21"	"88"	"82"	"280"	"0"	"280"	"0"
"320"	"158"	"328"	"77"	"20"	"164"	"67"	"328"	"0"	"328"	"0"
"321"	"159"	"528"	"42"	"21"	"327"	"138"	"528"	"0"	"528"	"0"
"322"	"160"	"353"	"30"	"12"	"208"	"103"	"353"	"0"	"353"	"0"
"323"	"160K"	"118"	"10"	"6"	"82"	"20"	"118"	"0"	"118"	"0"
"324"	"161"	"351"	"33"	"12"	"233"	"73"	"351"	"0"	"351"	"0"
"325"	"162"	"433"	"57"	"17"	"256"	"103"	"433"	"0"	"433"	"0"
"326"	"163"	"456"	"30"	"14"	"215"	"197"	"456"	"0"	"456"	"0"
"327"	"164"	"583"	"71"	"23"	"343"	"146"	"583"	"0"	"583"	"0"
"328"	"165"	"496"	"84"	"18"	"239"	"155"	"496"	"0"	"496"	"0"
"329"	"166"	"382"	"139"	"15"	"149"	"79"	"382"	"0"	"382"	"0"
"330"	"167"	"313"	"52"	"10"	"140"	"111"	"313"	"0"	"313"	"0"
"331"	"168"	"411"	"52"	"13"	"184"	"162"	"411"	"0"	"411"	"0"
"332"	"169"	"333"	"9"	"7"	"54"	"263"	"333"	"0"	"333"	"0"
"333"	"Grand Total"	"5365"	"775"	"209"	"2682"	"1699"	"5365"	"0"	"5365"	"0"
"334"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"335"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"336"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"338"	"Round No.  :-    15"	""	""	""	""	""	""	""	""	""
"339"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"340"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"341"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"342"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"343"	"170"	"320"	"42"	"4"	"73"	"201"	"320"	"0"	"320"	"0"
"344"	"171"	"233"	"15"	"8"	"47"	"163"	"233"	"0"	"233"	"0"
"345"	"172"	"237"	"114"	"7"	"40"	"76"	"237"	"0"	"237"	"0"
"346"	"173"	"449"	"63"	"25"	"215"	"146"	"449"	"0"	"449"	"0"
"347"	"174"	"370"	"23"	"11"	"238"	"98"	"370"	"0"	"370"	"0"
"348"	"175"	"359"	"16"	"31"	"282"	"30"	"359"	"0"	"359"	"0"
"349"	"176"	"273"	"8"	"13"	"215"	"37"	"273"	"0"	"273"	"0"
"350"	"176K"	"357"	"42"	"48"	"179"	"88"	"357"	"0"	"357"	"0"
"351"	"177"	"301"	"16"	"15"	"216"	"54"	"301"	"0"	"301"	"0"
"352"	"177K"	"390"	"24"	"21"	"278"	"67"	"390"	"0"	"390"	"0"
"353"	"178"	"220"	"9"	"4"	"46"	"161"	"220"	"0"	"220"	"0"
"354"	"179"	"251"	"20"	"5"	"39"	"187"	"251"	"0"	"251"	"0"
"355"	"179K"	"147"	"10"	"6"	"32"	"99"	"147"	"0"	"147"	"0"
"356"	"180"	"301"	"46"	"23"	"79"	"153"	"301"	"0"	"301"	"0"
"357"	"Grand Total"	"4208"	"448"	"221"	"1979"	"1560"	"4208"	"0"	"4208"	"0"
"358"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"359"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"360"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"361"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"362"	"Round No.  :-    16"	""	""	""	""	""	""	""	""	""
"363"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"364"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"365"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"366"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"367"	"181"	"403"	"30"	"19"	"237"	"117"	"403"	"0"	"403"	"0"
"368"	"182"	"233"	"41"	"18"	"33"	"141"	"233"	"0"	"233"	"0"
"369"	"183"	"394"	"10"	"12"	"289"	"83"	"394"	"0"	"394"	"0"
"370"	"184"	"192"	"10"	"7"	"93"	"82"	"192"	"0"	"192"	"0"
"371"	"185"	"253"	"33"	"10"	"80"	"130"	"253"	"0"	"253"	"0"
"372"	"186"	"238"	"25"	"4"	"72"	"137"	"238"	"0"	"238"	"0"
"373"	"187"	"355"	"32"	"31"	"209"	"83"	"355"	"0"	"355"	"0"
"374"	"188"	"352"	"16"	"4"	"296"	"36"	"352"	"0"	"352"	"0"
"375"	"188K"	"356"	"20"	"10"	"294"	"32"	"356"	"0"	"356"	"0"
"376"	"189"	"320"	"60"	"17"	"101"	"142"	"320"	"0"	"320"	"0"
"377"	"189K"	"289"	"32"	"7"	"119"	"131"	"289"	"0"	"289"	"0"
"378"	"190"	"417"	"17"	"9"	"310"	"81"	"417"	"0"	"417"	"0"
"379"	"191"	"198"	"17"	"3"	"46"	"132"	"198"	"0"	"198"	"0"
"380"	"191K"	"218"	"62"	"6"	"42"	"108"	"218"	"0"	"218"	"0"
"381"	"Grand Total"	"4218"	"405"	"157"	"2221"	"1435"	"4218"	"0"	"4218"	"0"
"382"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"383"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"384"	"No. and Name of Assembly Constituency  :-       46- Raghopur"	""	""	""	""	""	""	""	""	""
"385"	"Total No. of Electors in the Assembly Constituency :-  214802"	""	""	""	""	""	""	""	""	""
"386"	"Round No.  :-    17"	""	""	""	""	""	""	""	""	""
"387"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"388"	""	""	"1"	"2"	"3"	"4"	""	""	""	""
"389"	""	""	"LJP"	"BSP"	"RJD"	"JD  (U)"	""	""	""	""
"390"	""	""	"PRAMOD KU SINGH"	"BALENDRA DAS"	"RABRI DEVI"	"SATISH KUMAR"	""	""	""	""
"391"	"192"	"320"	"58"	"18"	"98"	"146"	"320"	"0"	"320"	"0"
"392"	"193"	"384"	"48"	"21"	"140"	"175"	"384"	"0"	"384"	"0"
"393"	"194"	"381"	"24"	"11"	"219"	"127"	"381"	"0"	"381"	"0"
"394"	"195"	"423"	"59"	"5"	"51"	"308"	"423"	"0"	"423"	"0"
"395"	"196"	"325"	"67"	"10"	"35"	"213"	"325"	"0"	"325"	"0"
"396"	"196K"	"161"	"9"	"2"	"11"	"139"	"161"	"0"	"161"	"0"
"397"	"197"	"665"	"23"	"25"	"453"	"164"	"665"	"0"	"665"	"0"
"398"	"198"	"341"	"52"	"23"	"86"	"180"	"341"	"0"	"341"	"0"
"399"	"Grand Total"	"3000"	"340"	"115"	"1093"	"1452"	"3000"	"0"	"3000"	"0"
"400"	"Total No. of Votes recorded of polling stations"	""	"15137"	"3193"	"35891"	"30601"	"84822"	"0"	"84822"	"0"
"401"	"No. of Votes Recorded on Postal Ballot Papers (To be filled in the case of election from assembly constituency)"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"402"	"Total Votes Polled"	""	"15137"	"3193"	"35891"	"30601"	"84822"	"0"	"84822"	"0"
"403"	"Place :- Hajipur Date :-  22.11.05"	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"404"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"405"	"Returning Officer"	""	""	""	""	""	""	""	""	""
"406"	"46- Raghopur Assembly Constituency"	""	""	""	""	""	""	""	""	""
