"Total.No..of.Electors.in.Assembly.Constituency...120838"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"185"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"186"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"187"	"106"	"9"	"7"	"90"	"18"	"214"	"5"	"40"	"4"	"2"	"0"	"2"	"391"	"0"	"391"	"0"	""
"188"	"107"	"7"	"4"	"245"	"10"	"113"	"4"	"26"	"2"	"1"	"2"	"2"	"416"	"0"	"416"	"0"	""
"189"	"108"	"12"	"3"	"98"	"58"	"148"	"10"	"28"	"16"	"6"	"2"	"15"	"396"	"0"	"396"	"0"	""
"190"	"109"	"8"	"1"	"41"	"19"	"231"	"15"	"45"	"15"	"10"	"11"	"29"	"425"	"0"	"425"	"0"	""
"191"	"110"	"6"	"0"	"45"	"3"	"45"	"1"	"1"	"0"	"0"	"0"	"0"	"101"	"0"	"101"	"0"	""
"192"	"111"	"3"	"2"	"69"	"5"	"232"	"4"	"7"	"5"	"2"	"2"	"1"	"332"	"0"	"332"	"0"	""
"193"	"112"	"10"	"6"	"113"	"11"	"58"	"3"	"17"	"1"	"1"	"0"	"0"	"220"	"0"	"220"	"0"	""
"194"	"113"	"1"	"2"	"16"	"1"	"262"	"7"	"16"	"2"	"1"	"5"	"3"	"316"	"0"	"316"	"0"	""
"195"	"113A"	"1"	"1"	"0"	"0"	"160"	"4"	"4"	"1"	"1"	"2"	"4"	"178"	"0"	"178"	"0"	""
"196"	"114"	"17"	"4"	"8"	"5"	"242"	"18"	"35"	"4"	"8"	"7"	"11"	"359"	"0"	"359"	"0"	""
"197"	"115"	"17"	"4"	"20"	"9"	"350"	"8"	"33"	"6"	"5"	"2"	"5"	"459"	"0"	"459"	"0"	""
"198"	"116"	"21"	"2"	"221"	"6"	"154"	"13"	"36"	"5"	"3"	"1"	"8"	"470"	"0"	"470"	"0"	""
"199"	"117"	"8"	"0"	"133"	"10"	"175"	"2"	"53"	"2"	"1"	"0"	"0"	"384"	"0"	"384"	"0"	""
"200"	"118"	"0"	"0"	"21"	"4"	"48"	"5"	"33"	"1"	"1"	"0"	"0"	"113"	"0"	"113"	"0"	""
"201"	"Total"	"120"	"36"	"1120"	"159"	"2432"	"99"	"374"	"64"	"42"	"34"	"80"	"4560"	"0"	"4560"	"0"	""
"202"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"210"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"211"	"119"	"26"	"2"	"46"	"5"	"159"	"8"	"46"	"5"	"1"	"6"	"4"	"308"	"0"	"308"	"0"	""
"212"	"120"	"143"	"11"	"13"	"100"	"63"	"14"	"55"	"15"	"11"	"5"	"14"	"444"	"0"	"444"	"0"	""
"213"	"120A"	"146"	"4"	"40"	"25"	"147"	"5"	"18"	"6"	"1"	"2"	"5"	"399"	"0"	"399"	"0"	""
"214"	"121"	"8"	"5"	"299"	"13"	"166"	"61"	"21"	"4"	"7"	"4"	"11"	"599"	"0"	"599"	"0"	""
"215"	"122"	"22"	"1"	"48"	"1"	"253"	"33"	"17"	"6"	"3"	"4"	"6"	"394"	"0"	"394"	"0"	""
"216"	"123"	"10"	"2"	"76"	"12"	"105"	"225"	"11"	"6"	"13"	"5"	"6"	"471"	"0"	"471"	"0"	""
"217"	"124"	"29"	"0"	"50"	"3"	"22"	"150"	"4"	"5"	"3"	"2"	"3"	"271"	"0"	"271"	"0"	""
"218"	"125"	"36"	"5"	"359"	"12"	"98"	"95"	"19"	"2"	"7"	"7"	"13"	"653"	"0"	"653"	"0"	""
"219"	"126"	"424"	"16"	"11"	"1"	"150"	"11"	"33"	"0"	"0"	"4"	"2"	"652"	"0"	"652"	"0"	""
"220"	"127"	"254"	"16"	"9"	"13"	"105"	"19"	"86"	"4"	"4"	"4"	"9"	"523"	"0"	"523"	"0"	""
"221"	"128"	"18"	"5"	"28"	"111"	"179"	"8"	"38"	"4"	"5"	"5"	"16"	"417"	"0"	"417"	"0"	""
"222"	"129"	"6"	"1"	"2"	"0"	"51"	"1"	"4"	"1"	"0"	"1"	"1"	"68"	"0"	"68"	"0"	""
"223"	"Total"	"1122"	"68"	"981"	"296"	"1498"	"630"	"352"	"58"	"55"	"49"	"90"	"5199"	"0"	"5199"	"0"	""
"224"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency - 120838"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Election for 1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Polling Station No."	"Arthraj Yadav"	"Awadh Kishore Mishra"	"Mukesh Kumar Kushwaha"	"Rajesh Kumar Kawat"	"Rajesh Singh"	"Krishna Bihari Prasad Kushwaha"	"Ramadhar Yadav"	"Mahesh Sahani"	"Ramakant Singh Yadav"	"Ram Chandra Ram"	"Shambhu Ram"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.           of
Tendered Votes"	""
"232"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""
"233"	"Total"	"4285"	"518"	"11839"	"1373"	"19164"	"1649"	"17700"	"810"	"638"	"440"	"941"	"59357"	"0"	"59357"	"0"	""
"234"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"235"	"Grand Tot."	"4285"	"518"	"11839"	"1373"	"19164"	"1649"	"17700"	"810"	"638"	"440"	"941"	"59357"	"0"	"59357"	"0"	""
"236"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"1-Dhanaha Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
