"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"3"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"4"	""	""	""	""	""	""	""	"1st round"	""
"5"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"318"	"167"	"44"	"5"	"78"	"3"	"6"	"1"	"6"	"143"
"319"	"168"	"62"	"157"	"62"	"7"	"24"	"11"	"14"	"337"
"320"	"169"	"66"	"88"	"153"	"19"	"9"	"9"	"32"	"376"
"321"	";ksx"	"1160"	"502"	"2304"	"700"	"155"	"88"	"185"	"5094"
"322"	"LFkku &"	""	""	""	""	""	""	""	""
"323"	""	""	""	""	""	""	""	""	""
"324"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"325"	"izi=&20"	""	""	""	""	""	""	""	""
"326"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"327"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"328"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"329"	""	""	""	""	""	""	""	"14th round"	""
"330"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"331"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"332"	"170"	"91"	"5"	"181"	"133"	"8"	"6"	"8"	"432"
"333"	"171"	"151"	"38"	"117"	"95"	"14"	"8"	"15"	"438"
"334"	"172"	"218"	"13"	"20"	"40"	"6"	"6"	"10"	"313"
"335"	"173"	"108"	"4"	"198"	"15"	"9"	"3"	"16"	"353"
"336"	"173A"	"20"	"6"	"155"	"23"	"3"	"2"	"1"	"210"
"337"	"174"	"93"	"15"	"173"	"14"	"8"	"5"	"4"	"312"
"338"	"175"	"260"	"17"	"174"	"36"	"7"	"6"	"14"	"514"
"339"	"176"	"132"	"13"	"132"	"38"	"3"	"5"	"1"	"324"
"340"	"177"	"254"	"31"	"152"	"59"	"12"	"8"	"14"	"530"
"341"	"178"	"73"	"29"	"195"	"130"	"22"	"10"	"24"	"483"
"342"	"179"	"56"	"7"	"70"	"51"	"1"	"14"	"28"	"227"
"343"	"180"	"95"	"14"	"117"	"34"	"9"	"10"	"20"	"299"
"344"	"181"	"225"	"35"	"41"	"151"	"4"	"5"	"4"	"465"
"345"	"182"	"137"	"16"	"121"	"16"	"2"	"2"	"8"	"302"
"346"	";ksx"	"1913"	"243"	"1846"	"835"	"108"	"90"	"167"	"5202"
"347"	"LFkku &"	""	""	""	""	""	""	""	""
"348"	""	""	""	""	""	""	""	""	""
"349"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
"350"	"izi=&20"	""	""	""	""	""	""	""	""
"351"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""
"352"	"fo/kku lHkk fuokZpu&2005"	""	""	""	""	""	""	""	""
"353"	"157 csygj fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""
"354"	""	""	""	""	""	""	""	"15th round"	""
"355"	"ernku dsUnz
la[;k"	"tukZnu ek>h"	"jktsUnz
iafMr usrkth"	"jkenso
;kno"	"foy{.k
jfonkl"	"uUnfd'kksj
iafMr"	"d`r ukjk;.k
ikloku"	"Hkwous'oj ikloku"	"erks dk ;ksx"
"356"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"357"	"183"	"25"	"9"	"120"	"7"	"5"	"2"	"1"	"169"
"358"	"184"	"138"	"17"	"157"	"129"	"11"	"8"	"17"	"477"
"359"	"185"	"19"	"6"	"181"	"9"	"2"	"1"	"1"	"219"
"360"	"186"	"60"	"17"	"150"	"91"	"12"	"14"	"17"	"361"
"361"	"187"	"170"	"17"	"182"	"33"	"14"	"7"	"19"	"442"
"362"	"188"	"89"	"7"	"186"	"43"	"9"	"8"	"25"	"367"
"363"	";ksx"	"501"	"73"	"976"	"312"	"53"	"40"	"80"	"2035"
"364"	"LFkku &"	""	""	""	""	""	""	""	""
"365"	""	""	""	""	""	""	""	""	""
"366"	"fnukad &"	""	""	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""
