"X.To.be.record.for.recording.the.result.of.voting.at.notified.Polling.Station."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"
"303"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"304"	"201"	"70"	"217"	"197"	"35"	"13"	"-532"	""	"532"	""
"305"	"202"	"123"	"169"	"31"	"15"	"8"	"-346"	""	"346"	""
"306"	"203"	"72"	"162"	"48"	"10"	"4"	"-296"	""	"296"	""
"307"	"204"	"135"	"185"	"12"	"15"	"16"	"-363"	""	"363"	""
"308"	"205"	"137"	"261"	"22"	"24"	"15"	"-459"	""	"459"	""
"309"	"206"	"165"	"177"	"8"	"9"	"12"	"-371"	""	"371"	""
"310"	"206A"	"86"	"325"	"29"	"25"	"7"	"-472"	""	"472"	""
"311"	"207"	"59"	"204"	"159"	"18"	"9"	"-449"	""	"449"	""
"312"	"208"	"133"	"217"	"50"	"24"	"20"	"-444"	""	"444"	""
"313"	"209"	"181"	"158"	"22"	"17"	"26"	"-404"	""	"404"	""
"314"	"210"	"260"	"106"	"10"	"6"	"11"	"-393"	""	"393"	""
"315"	"211"	"202"	"98"	"17"	"14"	"16"	"-347"	""	"347"	""
"316"	"212"	"250"	"42"	"51"	"12"	"12"	"-367"	""	"367"	""
"317"	"212A"	"133"	"98"	"58"	"10"	"7"	"-306"	""	"306"	""
"318"	"Form-20"	""	""	""	""	""	""	""	""	""
"319"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"320"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"321"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"322"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"323"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"324"	"213"	"92"	"123"	"160"	"27"	"14"	"-416"	""	"416"	""
"325"	"214"	"99"	"167"	"28"	"20"	"28"	"-342"	""	"342"	""
"326"	"215"	"22"	"182"	"17"	"10"	"7"	"-238"	""	"238"	""
"327"	"215A"	"62"	"226"	"29"	"29"	"10"	"-356"	""	"356"	""
"328"	"216"	"168"	"224"	"64"	"68"	"27"	"-551"	""	"551"	""
"329"	"217"	"222"	"73"	"8"	"3"	"5"	"-311"	""	"311"	""
"330"	"218"	"35"	"465"	"19"	"5"	"1"	"-525"	""	"525"	""
"331"	"219"	"82"	"59"	"6"	"16"	"5"	"-168"	""	"168"	""
"332"	"220"	"298"	"170"	"13"	"12"	"13"	"-506"	""	"506"	""
"333"	"221"	"227"	"228"	"15"	"5"	"7"	"-482"	""	"482"	""
"334"	"222"	"158"	"193"	"25"	"24"	"6"	"-406"	""	"406"	""
"335"	"223"	"245"	"196"	"29"	"33"	"28"	"-531"	""	"531"	""
"336"	"224"	"79"	"183"	"18"	"47"	"9"	"-336"	""	"336"	""
"337"	"225"	"36"	"463"	"19"	"10"	"8"	"-536"	""	"536"	""
"338"	"Form-20"	""	""	""	""	""	""	""	""	""
"339"	"See rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""
"340"	"(To be record for recording the result of voting at notified Polling Station)"	""	""	""	""	""	""	""	""	""
"341"	"Election to the Bihar Legislative Assembly from 228- Ghosi Assembly Constituency"	""	""	""	""	""	""	""	""	""
"342"	"Serial No. of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"343"	""	"Ajay Singh"	"Jagdish Sharma"	"Pradip Kumar"	"Vijay Yadav"	"Abhay Kumar Anil"	""	""	""	""
"344"	"226"	"28"	"380"	"21"	"13"	"8"	"-450"	""	"450"	""
"345"	"227"	"45"	"334"	"22"	"17"	"23"	"-441"	""	"441"	""
"346"	"228"	"80"	"430"	"22"	"17"	"16"	"-565"	""	"565"	""
"347"	"TOTAL"	"24994"	"54105"	"10247"	"2790"	"1892"	"-94028"	"0"	"94028"	""
"348"	"Postal Ballot Paper"	"0"	"9"	"2"	"0"	"0"	"-11"	"0"	"11"	""
"349"	"Grand Total"	"24994"	"54114"	"10249"	"2790"	"1892"	"-94039"	"0"	"94039"	""
