"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"105"	"11"	""	"64"	""	""	"2"	""	"23"	""	""	""	"196"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"36"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"271"	""	""	""	""	""	""	"0"	""	""	""	""	""	"271"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"106"	"12"	""	"65"	""	""	"3"	""	"191"	""	""	""	"57"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"41"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"298"	""	""	""	""	""	""	"0"	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"107"	"13"	""	"65A"	""	""	"3"	""	"8"	""	""	""	"58"	""	""	""	"3"	""	""	""	""	"11"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"47"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"158"	""	""	""	""	""	""	"0"	""	""	""	""	""	"158"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"108"	"14"	""	"66"	""	""	"0"	""	"16"	""	""	""	"318"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"335"	""	""	""	""	""	""	"0"	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"Total"	""	""	""	""	"145"	""	"1176"	""	""	""	"1315"	""	""	""	"47"	""	""	""	""	"82"	""	""	""	""	""	""	"43"	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"51"	""	""	""	""	""	"3545"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3545"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"110"	"Total No. of Electors in Assembly Constituency                                                                                                                                       Round No. …        6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"111"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendere d  votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"112"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"1"	""	"67"	""	""	"29"	""	"121"	""	""	""	"242"	""	""	""	"14"	""	""	""	""	"18"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"468"	""	""	""	""	""	""	"0"	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"2"	""	"68"	""	""	"0"	""	"8"	""	""	""	"670"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"697"	""	""	""	""	""	""	"0"	""	""	""	""	""	"697"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"3"	""	"69"	""	""	"11"	""	"149"	""	""	""	"188"	""	""	""	"10"	""	""	""	""	"14"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"423"	""	""	""	""	""	""	"0"	""	""	""	""	""	"423"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"4"	""	"70"	""	""	"8"	""	"170"	""	""	""	"132"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"75"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	"417"	""	""	""	""	""	""	"0"	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"5"	""	"71"	""	""	"9"	""	"92"	""	""	""	"193"	""	""	""	"12"	""	""	""	""	"12"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"28"	""	""	""	""	""	"436"	""	""	""	""	""	""	"0"	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"119"	"6"	""	"72"	""	""	"17"	""	"59"	""	""	""	"84"	""	""	""	"13"	""	""	""	""	"12"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"94"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"312"	""	""	""	""	""	""	"0"	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"7"	""	"73"	""	""	"12"	""	"130"	""	""	""	"18"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"205"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"403"	""	""	""	""	""	""	"0"	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"8"	""	"74"	""	""	"7"	""	"93"	""	""	""	"18"	""	""	""	"12"	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"104"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"264"	""	""	""	""	""	""	"0"	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"122"	"9"	""	"75"	""	""	"14"	""	"110"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"89"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"236"	""	""	""	""	""	""	"0"	""	""	""	""	""	"236"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"123"	"10"	""	"76"	""	""	"19"	""	"182"	""	""	""	"132"	""	""	""	"7"	""	""	""	""	"11"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"101"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"514"	""	""	""	""	""	""	"0"	""	""	""	""	""	"514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"124"	"11"	""	"77"	""	""	"3"	""	"103"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"54"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"178"	""	""	""	""	""	""	"0"	""	""	""	""	""	"178"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"125"	"12"	""	"78"	""	""	"2"	""	"148"	""	""	""	"70"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"238"	""	""	""	""	""	""	"0"	""	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"13"	""	"79"	""	""	"7"	""	"13"	""	""	""	"126"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"187"	""	""	""	""	""	""	"0"	""	""	""	""	""	"187"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"127"	"14"	""	"80"	""	""	"9"	""	"128"	""	""	""	"135"	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"333"	""	""	""	""	""	""	"0"	""	""	""	""	""	"333"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"128"	"Total"	""	""	""	""	"147"	""	"1506"	""	""	""	"2016"	""	""	""	"100"	""	""	""	""	"93"	""	""	""	""	""	""	"44"	""	""	""	""	""	""	"889"	""	""	""	""	""	""	""	"35"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	""	"39"	""	""	""	""	""	""	"60"	""	""	""	""	""	""	""	"99"	""	""	""	""	""	"5106"	""	""	""	""	""	""	"0"	""	""	""	""	""	"5106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"129"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"130"	"Date   22-11-2005                                                                                                                                                                                              Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"131"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendere d  votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	"1"	""	"81"	""	""	"9"	""	"112"	""	""	""	"66"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"238"	""	""	""	""	""	""	"0"	""	""	""	""	""	"238"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"2"	""	"82"	""	""	"29"	""	"43"	""	""	""	"41"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"115"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"265"	""	""	""	""	""	""	"0"	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"3"	""	"83"	""	""	"12"	""	"150"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"218"	""	""	""	""	""	""	"0"	""	""	""	""	""	"218"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"4"	""	"84"	""	""	"5"	""	"315"	""	""	""	"13"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"96"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"455"	""	""	""	""	""	""	"0"	""	""	""	""	""	"455"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"5"	""	"84A"	""	""	"4"	""	"282"	""	""	""	"32"	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"31"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"372"	""	""	""	""	""	""	"0"	""	""	""	""	""	"372"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"6"	""	"85"	""	""	"15"	""	"219"	""	""	""	"12"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"119"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"412"	""	""	""	""	""	""	"0"	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"7"	""	"86"	""	""	"41"	""	"116"	""	""	""	"6"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"66"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"256"	""	""	""	""	""	""	"0"	""	""	""	""	""	"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"8"	""	"87"	""	""	"5"	""	"174"	""	""	""	"13"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"60"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"263"	""	""	""	""	""	""	"0"	""	""	""	""	""	"263"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"9"	""	"88"	""	""	"11"	""	"56"	""	""	""	"9"	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"147"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"251"	""	""	""	""	""	""	"0"	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"10"	""	"89"	""	""	"46"	""	"27"	""	""	""	"157"	""	""	""	"4"	""	""	""	""	"12"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"302"	""	""	""	""	""	""	"0"	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"11"	""	"90"	""	""	"15"	""	"133"	""	""	""	"55"	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"267"	""	""	""	""	""	""	"0"	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"12"	""	"91"	""	""	"4"	""	"102"	""	""	""	"16"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"34"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"165"	""	""	""	""	""	""	"0"	""	""	""	""	""	"165"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"13"	""	"92"	""	""	"8"	""	"197"	""	""	""	"53"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"321"	""	""	""	""	""	""	"0"	""	""	""	""	""	"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
