"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"263"	"235"	"196A"	"39"	"34"	"15"	"195"	"8"	"10"	"301"	"-"	"301"	""
"264"	"236"	"197"	"209"	"98"	"12"	"109"	"17"	"28"	"473"	"-"	"473"	""
"265"	"237"	"198"	"109"	"284"	"17"	"186"	"11"	"19"	"626"	"-"	"626"	""
"266"	"238"	"199"	"150"	"99"	"18"	"231"	"19"	"21"	"538"	"-"	"538"	""
"267"	"239"	"200"	"204"	"83"	"8"	"28"	"4"	"20"	"347"	"-"	"347"	""
"268"	"240"	"201"	"104"	"193"	"16"	"143"	"8"	"22"	"486"	"-"	"486"	""
"269"	"241"	"202"	"93"	"66"	"32"	"168"	"14"	"17"	"390"	"-"	"390"	""
"270"	"242"	"202A"	"105"	"38"	"15"	"142"	"5"	"7"	"312"	"-"	"312"	""
"271"	"243"	"203"	"241"	"40"	"25"	"178"	"17"	"16"	"517"	"-"	"517"	""
"272"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"273"	""	""	"Izhar Ahmad"	"Dr. Mahabir Prasad"	"Laxmi Nayak"	"Vijay Shankar Chaudhary"	"Vidyanand Ram"	"Harendra Singh"	""	""	""	""
"274"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"275"	"244"	"204"	"77"	"55"	"64"	"169"	"8"	"7"	"380"	"-"	"380"	""
"276"	"245"	"204A"	"40"	"23"	"18"	"218"	"7"	"10"	"316"	"-"	"316"	""
"277"	"246"	"205"	"105"	"127"	"51"	"106"	"15"	"18"	"422"	"-"	"422"	""
"278"	"247"	"206"	"49"	"228"	"25"	"80"	"9"	"19"	"410"	"-"	"410"	""
"279"	"248"	"207"	"100"	"21"	"43"	"131"	"7"	"8"	"310"	"-"	"310"	""
"280"	"249"	"207A"	"122"	"21"	"25"	"99"	"12"	"16"	"295"	"-"	"295"	""
"281"	"250"	"208"	"109"	"215"	"61"	"69"	"13"	"27"	"494"	"-"	"494"	""
"282"	"251"	"209"	"90"	"25"	"16"	"459"	"12"	"13"	"615"	"-"	"615"	""
"283"	"Total No. of votes recording at polling Stations"	""	"33888"	"29035"	"3971"	"28056"	"2742"	"4258"	"101950"	"-"	"101950"	""
"284"	"No. of votes recorded"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"285"	"Total Votes polled"	""	"33888"	"29035"	"3971"	"28056"	"2742"	"4258"	"101950"	"-"	"101950"	""
"286"	"Place :   DARBHANGA                                                                                                                                 Returning Officer"	""	""	""	""	""	""	""	""	""	""	""
"287"	"Date  :   22.11.2005                                                                                                                                    86-Ghanshyampur"	""	""	""	""	""	""	""	""	""	""	""
