"X120.....e.ksiqjk"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"233"	"166"	"121"	"13"	"59"	"39"	"5"	"104"	"7"	"31"	"379"	"0"	"379"	"0"
"234"	"167"	"128"	"13"	"65"	"8"	"5"	"71"	"6"	"18"	"314"	"0"	"314"	"0"
"235"	"167 A"	"37"	"22"	"95"	"7"	"7"	"39"	"8"	"7"	"222"	"0"	"222"	"0"
"236"	"168"	"121"	"16"	"58"	"9"	"7"	"140"	"11"	"20"	"382"	"0"	"382"	"0"
"237"	"169"	"146"	"25"	"11"	"1"	"2"	"6"	"1"	"6"	"198"	"0"	"198"	"0"
"238"	"170"	"106"	"72"	"130"	"2"	"6"	"12"	"5"	"15"	"348"	"0"	"348"	"0"
"239"	"ROUND 15"	"1257"	"361"	"2088"	"128"	"63"	"733"	"85"	"189"	"4904"	"0"	"4904"	"0"
"240"	"171"	"61"	"37"	"332"	"5"	"6"	"10"	"5"	"7"	"463"	"0"	"463"	"0"
"241"	"172"	"142"	"56"	"168"	"3"	"11"	"2"	"7"	"11"	"400"	"0"	"400"	"0"
"242"	"173"	"93"	"44"	"224"	"4"	"7"	"11"	"6"	"14"	"403"	"0"	"403"	"0"
"243"	"174"	"64"	"17"	"163"	"7"	"1"	"10"	"9"	"7"	"278"	"0"	"278"	"0"
"244"	"175"	"232"	"20"	"51"	"7"	"1"	"46"	"1"	"5"	"363"	"0"	"363"	"0"
"245"	"176"	"192"	"16"	"61"	"4"	"2"	"28"	"8"	"4"	"315"	"0"	"315"	"0"
"246"	"177"	"91"	"14"	"42"	"1"	"1"	"94"	"12"	"13"	"268"	"0"	"268"	"0"
"247"	"178"	"9"	"42"	"195"	"7"	"0"	"5"	"3"	"11"	"272"	"0"	"272"	"0"
"248"	"178 A"	"9"	"22"	"143"	"1"	"0"	"0"	"1"	"4"	"180"	"0"	"180"	"0"
"249"	"179"	"25"	"29"	"218"	"7"	"4"	"8"	"11"	"23"	"325"	"0"	"325"	"0"
"250"	"180"	"81"	"102"	"126"	"12"	"15"	"28"	"18"	"56"	"438"	"0"	"438"	"0"
"251"	"181"	"11"	"4"	"228"	"4"	"2"	"3"	"1"	"0"	"253"	"0"	"253"	"0"
"252"	"181 A"	"15"	"10"	"250"	"2"	"4"	"9"	"3"	"4"	"297"	"0"	"297"	"0"
"253"	"182"	"94"	"59"	"21"	"6"	"4"	"2"	"3"	"5"	"194"	"0"	"194"	"0"
"254"	"ROUND 16"	"1119"	"472"	"2222"	"70"	"58"	"256"	"88"	"164"	"4449"	"0"	"4449"	"0"
"255"	"183"	"53"	"25"	"164"	"6"	"3"	"11"	"5"	"9"	"276"	"0"	"276"	"0"
"256"	"184"	"22"	"4"	"202"	"3"	"1"	"0"	"2"	"4"	"238"	"0"	"238"	"0"
"257"	"185"	"264"	"55"	"56"	"1"	"6"	"9"	"10"	"30"	"431"	"0"	"431"	"0"
"258"	"185 A"	"63"	"29"	"11"	"3"	"4"	"8"	"7"	"9"	"134"	"0"	"134"	"0"
"259"	"186"	"317"	"35"	"27"	"6"	"3"	"36"	"6"	"9"	"439"	"0"	"439"	"0"
"260"	"187"	"181"	"37"	"146"	"12"	"6"	"34"	"1"	"18"	"435"	"0"	"435"	"0"
"261"	"188"	"203"	"36"	"89"	"3"	"5"	"8"	"3"	"13"	"360"	"0"	"360"	"0"
"262"	"189"	"147"	"86"	"112"	"7"	"4"	"19"	"6"	"12"	"393"	"0"	"393"	"0"
"263"	"190"	"216"	"13"	"59"	"1"	"1"	"13"	"3"	"2"	"308"	"0"	"308"	"0"
"264"	"191"	"204"	"15"	"135"	"15"	"3"	"10"	"1"	"4"	"387"	"0"	"387"	"0"
"265"	"192"	"57"	"113"	"107"	"9"	"4"	"80"	"7"	"9"	"386"	"0"	"386"	"0"
"266"	"193"	"149"	"29"	"339"	"8"	"6"	"10"	"4"	"12"	"557"	"0"	"557"	"0"
"267"	"194"	"231"	"68"	"66"	"3"	"1"	"8"	"4"	"5"	"386"	"0"	"386"	"0"
"268"	"195"	"130"	"68"	"335"	"8"	"11"	"16"	"4"	"11"	"583"	"0"	"583"	"0"
"269"	"ROUND 17"	"2237"	"613"	"1848"	"85"	"58"	"262"	"63"	"147"	"5313"	"0"	"5313"	"0"
"270"	"196"	"129"	"35"	"128"	"8"	"4"	"16"	"9"	"17"	"346"	"0"	"346"	"0"
"271"	"197"	"96"	"34"	"272"	"19"	"9"	"28"	"8"	"14"	"480"	"0"	"480"	"0"
"272"	"198"	"40"	"69"	"196"	"13"	"12"	"11"	"25"	"8"	"374"	"0"	"374"	"0"
"273"	"199"	"119"	"44"	"143"	"6"	"6"	"0"	"5"	"10"	"333"	"0"	"333"	"0"
"274"	"200"	"137"	"11"	"111"	"4"	"2"	"4"	"0"	"1"	"270"	"0"	"270"	"0"
"275"	"201"	"109"	"49"	"132"	"2"	"1"	"8"	"1"	"2"	"304"	"0"	"304"	"0"
"276"	"201 A"	"125"	"12"	"93"	"8"	"1"	"30"	"11"	"17"	"297"	"0"	"297"	"0"
"277"	"202"	"217"	"122"	"47"	"6"	"4"	"57"	"5"	"20"	"478"	"0"	"478"	"0"
"278"	"ROUND 18"	"972"	"376"	"1122"	"66"	"39"	"154"	"64"	"89"	"2882"	"0"	"2882"	"0"
