"pÿ..1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"117"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"118"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"119"	"7"	"135"	""	""	"89"	""	"64"	""	"88"	""	"8"	""	"2"	""	"5"	""	"12"	""	"6"	""	"10"	""	"13"	"29"	""	"17"	"478"	""	""	""	""	""	""	""	""
"120"	"71"	"104"	""	""	"53"	""	"109"	""	"93"	""	"3"	""	"1"	""	"1"	""	"6"	""	"1"	""	"5"	""	"11"	"16"	""	"35"	"438"	""	""	""	""	""	""	""	""
"121"	"72"	"270"	""	""	"30"	""	"47"	""	"14"	""	"10"	""	"1"	""	"1"	""	"1"	""	"0"	""	"6"	""	"6"	"3"	""	"10"	"399"	""	""	""	""	""	""	""	""
"122"	"73"	"109"	""	""	"95"	""	"7"	""	"139"	""	"2"	""	"4"	""	"7"	""	"8"	""	"4"	""	"3"	""	"3"	"14"	""	"14"	"409"	""	""	""	""	""	""	""	""
"123"	"74"	"101"	""	""	"78"	""	"8"	""	"59"	""	"23"	""	"2"	""	"1"	""	"1"	""	"2"	""	"1"	""	"2"	"14"	""	"6"	"298"	""	""	""	""	""	""	""	""
"124"	"75"	"90"	""	""	"37"	""	"18"	""	"137"	""	"4"	""	"1"	""	"5"	""	"0"	""	"1"	""	"1"	""	"3"	"8"	""	"9"	"314"	""	""	""	""	""	""	""	""
"125"	"76"	"125"	""	""	"74"	""	"12"	""	"56"	""	"21"	""	"2"	""	"4"	""	"2"	""	"4"	""	"1"	""	"5"	"17"	""	"8"	"331"	""	""	""	""	""	""	""	""
"126"	"77"	"29"	""	""	"94"	""	"3"	""	"150"	""	"2"	""	"0"	""	"1"	""	"0"	""	"5"	""	"1"	""	"4"	"45"	""	"2"	"336"	""	""	""	""	""	""	""	""
"127"	"78"	"75"	""	""	"17"	""	"4"	""	"162"	""	"26"	""	"2"	""	"4"	""	"7"	""	"0"	""	"4"	""	"2"	"24"	""	"14"	"341"	""	""	""	""	""	""	""	""
"128"	"79"	"151"	""	""	"9"	""	"36"	""	"265"	""	"49"	""	"7"	""	"12"	""	"3"	""	"8"	""	"9"	""	"9"	"24"	""	"31"	"613"	""	""	""	""	""	""	""	""
"129"	"80"	"110"	""	""	"10"	""	"31"	""	"85"	""	"14"	""	"6"	""	"8"	""	"6"	""	"4"	""	"7"	""	"16"	"52"	""	"27"	"376"	""	""	""	""	""	""	""	""
"130"	"80d"	"119"	""	""	"15"	""	"7"	""	"186"	""	"20"	""	"10"	""	"14"	""	"6"	""	"6"	""	"3"	""	"7"	"33"	""	"10"	"436"	""	""	""	""	""	""	""	""
"131"	"81"	"63"	""	""	"51"	""	"5"	""	"113"	""	"1"	""	"1"	""	"1"	""	"5"	""	"4"	""	"2"	""	"2"	"10"	""	"7"	"265"	""	""	""	""	""	""	""	""
"132"	"81d"	"46"	""	""	"18"	""	"4"	""	"221"	""	"9"	""	"4"	""	"8"	""	"4"	""	"5"	""	"2"	""	"2"	"47"	""	"13"	"383"	""	""	""	""	""	""	""	""
"133"	";ksx"	"1527"	""	""	"670"	""	"355"	""	"1768"	""	"192"	""	"43"	""	"72"	""	"61"	""	"50"	""	"55"	""	"85"	"336"	""	"203"	"5417"	""	""	""	""	""	""	""	""
"134"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"136"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"137"	"82"	"117"	""	""	"24"	""	"7"	""	"281"	""	"6"	""	"5"	""	"7"	""	"6"	""	"3"	""	"3"	""	"5"	"24"	""	"9"	"497"	""	""	""	""	""	""	""	""
"138"	"83"	"175"	""	""	"35"	""	"7"	""	"59"	""	"3"	""	"1"	""	"1"	""	"4"	""	"3"	""	"2"	""	"5"	"8"	""	"12"	"315"	""	""	""	""	""	""	""	""
"139"	"83d"	"162"	""	""	"6"	""	"7"	""	"10"	""	"2"	""	"2"	""	"0"	""	"4"	""	"1"	""	"0"	""	"1"	"1"	""	"3"	"199"	""	""	""	""	""	""	""	""
"140"	"84"	"105"	""	""	"13"	""	"29"	""	"53"	""	"1"	""	"3"	""	"3"	""	"7"	""	"2"	""	"4"	""	"3"	"14"	""	"4"	"241"	""	""	""	""	""	""	""	""
"141"	"84d"	"64"	""	""	"48"	""	"45"	""	"70"	""	"2"	""	"3"	""	"3"	""	"9"	""	"5"	""	"0"	""	"2"	"7"	""	"8"	"266"	""	""	""	""	""	""	""	""
"142"	"85"	"77"	""	""	"40"	""	"18"	""	"314"	""	"7"	""	"10"	""	"12"	""	"19"	""	"4"	""	"13"	""	"4"	"18"	""	"34"	"570"	""	""	""	""	""	""	""	""
"143"	"86"	"128"	""	""	"52"	""	"10"	""	"118"	""	"8"	""	"1"	""	"4"	""	"4"	""	"3"	""	"4"	""	"4"	"5"	""	"16"	"357"	""	""	""	""	""	""	""	""
"144"	"87"	"175"	""	""	"76"	""	"15"	""	"122"	""	"8"	""	"0"	""	"7"	""	"5"	""	"2"	""	"0"	""	"4"	"14"	""	"7"	"435"	""	""	""	""	""	""	""	""
"145"	"88"	"302"	""	""	"15"	""	"2"	""	"18"	""	"2"	""	"3"	""	"5"	""	"9"	""	"2"	""	"1"	""	"1"	"5"	""	"19"	"384"	""	""	""	""	""	""	""	""
"146"	"88d"	"105"	""	""	"33"	""	"26"	""	"164"	""	"4"	""	"0"	""	"8"	""	"10"	""	"4"	""	"8"	""	"5"	"12"	""	"20"	"399"	""	""	""	""	""	""	""	""
"147"	"89"	"140"	""	""	"119"	""	"14"	""	"135"	""	"4"	""	"4"	""	"9"	""	"5"	""	"4"	""	"2"	""	"5"	"26"	""	"14"	"481"	""	""	""	""	""	""	""	""
"148"	"89d"	"15"	""	""	"80"	""	"2"	""	"104"	""	"0"	""	"0"	""	"1"	""	"3"	""	"0"	""	"1"	""	"2"	"1"	""	"1"	"210"	""	""	""	""	""	""	""	""
"149"	"90"	"63"	""	""	"42"	""	"8"	""	"96"	""	"16"	""	"3"	""	"3"	""	"2"	""	"1"	""	"2"	""	"2"	"7"	""	"6"	"251"	""	""	""	""	""	""	""	""
"150"	"91"	"347"	""	""	"105"	""	"16"	""	"127"	""	"3"	""	"2"	""	"1"	""	"12"	""	"4"	""	"7"	""	"3"	"33"	""	"20"	"680"	""	""	""	""	""	""	""	""
"151"	";ksx"	"1975"	""	""	"688"	""	"206"	""	"1671"	""	"66"	""	"37"	""	"64"	""	"99"	""	"38"	""	"47"	""	"46"	"175"	""	"173"	"5285"	""	""	""	""	""	""	""	""
"152"	"pÿ& 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"fu;e 59 , ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd, tkus grs  q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"4&xksikyxat  lalnh;  fo/kku  lHkk  {ks=  esa  lekfo\"V  23&ehjxat  fo/kku  lHkk  fuokZpu  {ks=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"157"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"158"	"91d"	"31"	""	""	"4"	""	"0"	""	"32"	""	"1"	""	"0"	""	"0"	""	"0"	""	"1"	""	"0"	""	"1"	"7"	""	"0"	"77"	""	""	""	""	""	""	""	""
"159"	"92"	"93"	""	""	"39"	""	"2"	""	"100"	""	"2"	""	"3"	""	"12"	""	"307"	""	"4"	""	"1"	""	"3"	"4"	""	"14"	"584"	""	""	""	""	""	""	""	""
"160"	"92d"	"14"	""	""	"16"	""	"0"	""	"9"	""	"1"	""	"0"	""	"1"	""	"68"	""	"3"	""	"0"	""	"1"	"4"	""	"1"	"118"	""	""	""	""	""	""	""	""
"161"	"93"	"59"	""	""	"81"	""	"10"	""	"57"	""	"2"	""	"5"	""	"4"	""	"58"	""	"4"	""	"1"	""	"5"	"13"	""	"15"	"314"	""	""	""	""	""	""	""	""
"162"	"93d"	"8"	""	""	"0"	""	"6"	""	"137"	""	"9"	""	"0"	""	"13"	""	"3"	""	"2"	""	"5"	""	"2"	"5"	""	"7"	"197"	""	""	""	""	""	""	""	""
"163"	"94"	"6"	""	""	"60"	""	"11"	""	"102"	""	"0"	""	"0"	""	"3"	""	"2"	""	"1"	""	"2"	""	"2"	"2"	""	"1"	"192"	""	""	""	""	""	""	""	""
"164"	"95"	"140"	""	""	"42"	""	"12"	""	"96"	""	"7"	""	"2"	""	"11"	""	"77"	""	"4"	""	"1"	""	"1"	"7"	""	"11"	"411"	""	""	""	""	""	""	""	""
"165"	"95d"	"25"	""	""	"17"	""	"6"	""	"26"	""	"43"	""	"1"	""	"10"	""	"92"	""	"3"	""	"3"	""	"4"	"12"	""	"23"	"265"	""	""	""	""	""	""	""	""
"166"	"96"	"113"	""	""	"17"	""	"25"	""	"85"	""	"6"	""	"1"	""	"5"	""	"56"	""	"7"	""	"3"	""	"8"	"7"	""	"29"	"362"	""	""	""	""	""	""	""	""
"167"	"97"	"54"	""	""	"69"	""	"5"	""	"81"	""	"2"	""	"2"	""	"2"	""	"1"	""	"3"	""	"4"	""	"4"	"13"	""	"22"	"262"	""	""	""	""	""	""	""	""
"168"	"97d"	"86"	""	""	"52"	""	"11"	""	"34"	""	"18"	""	"2"	""	"4"	""	"97"	""	"1"	""	"4"	""	"8"	"8"	""	"15"	"340"	""	""	""	""	""	""	""	""
"169"	"98"	"175"	""	""	"17"	""	"5"	""	"32"	""	"5"	""	"2"	""	"7"	""	"58"	""	"0"	""	"1"	""	"5"	"5"	""	"3"	"315"	""	""	""	""	""	""	""	""
"170"	"99"	"51"	""	""	"5"	""	"4"	""	"72"	""	"17"	""	"20"	""	"2"	""	"2"	""	"1"	""	"2"	""	"2"	"18"	""	"7"	"203"	""	""	""	""	""	""	""	""
"171"	"100"	"117"	""	""	"20"	""	"17"	""	"157"	""	"1"	""	"4"	""	"4"	""	"6"	""	"3"	""	"3"	""	"2"	"81"	""	"7"	"422"	""	""	""	""	""	""	""	""
"172"	";ksx"	"972"	""	""	"439"	""	"114"	""	"1020"	""	"114"	""	"42"	""	"78"	""	"827"	""	"37"	""	"30"	""	"48"	"186"	""	"155"	"4062"	""	""	""	""	""	""	""	""
"173"	"pÿ& 10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"fu;e 59 , ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd, tkus grs  q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"4&xksikyxat  lalnh;  fo/kku  lHkk  {ks=  esa  lekfo\"V  23&ehjxat  fo/kku  lHkk  fuokZpu  {ks=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"178"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"179"	"101"	"90"	""	""	"92"	""	"6"	""	"190"	""	"3"	""	"4"	""	"5"	""	"5"	""	"3"	""	"5"	""	"3"	"6"	""	"13"	"425"	""	""	""	""	""	""	""	""
"180"	"101d"	"69"	""	""	"65"	""	"9"	""	"98"	""	"2"	""	"18"	""	"7"	""	"2"	""	"10"	""	"1"	""	"7"	"45"	""	"11"	"344"	""	""	""	""	""	""	""	""
"181"	"102"	"121"	""	""	"29"	""	"3"	""	"183"	""	"3"	""	"12"	""	"3"	""	"3"	""	"3"	""	"3"	""	"1"	"7"	""	"9"	"380"	""	""	""	""	""	""	""	""
"182"	"102d"	"50"	""	""	"18"	""	"4"	""	"190"	""	"4"	""	"13"	""	"4"	""	"2"	""	"6"	""	"8"	""	"5"	"69"	""	"21"	"394"	""	""	""	""	""	""	""	""
"183"	"103"	"76"	""	""	"27"	""	"9"	""	"115"	""	"5"	""	"9"	""	"10"	""	"10"	""	"4"	""	"6"	""	"6"	"30"	""	"16"	"323"	""	""	""	""	""	""	""	""
"184"	"103d"	"72"	""	""	"56"	""	"9"	""	"159"	""	"21"	""	"5"	""	"7"	""	"2"	""	"3"	""	"1"	""	"0"	"1"	""	"9"	"345"	""	""	""	""	""	""	""	""
"185"	"104"	"85"	""	""	"53"	""	"13"	""	"335"	""	"12"	""	"23"	""	"17"	""	"13"	""	"2"	""	"4"	""	"5"	"7"	""	"4"	"573"	""	""	""	""	""	""	""	""
"186"	"105"	"222"	""	""	"9"	""	"11"	""	"212"	""	"7"	""	"0"	""	"4"	""	"6"	""	"5"	""	"7"	""	"5"	"8"	""	"16"	"512"	""	""	""	""	""	""	""	""
"187"	"106"	"5"	""	""	"11"	""	"4"	""	"300"	""	"21"	""	"2"	""	"4"	""	"0"	""	"0"	""	"0"	""	"1"	"0"	""	"3"	"351"	""	""	""	""	""	""	""	""
"188"	"106d"	"108"	""	""	"117"	""	"11"	""	"94"	""	"13"	""	"9"	""	"3"	""	"3"	""	"1"	""	"4"	""	"6"	"13"	""	"10"	"392"	""	""	""	""	""	""	""	""
"189"	"107"	"26"	""	""	"153"	""	"31"	""	"350"	""	"26"	""	"2"	""	"12"	""	"1"	""	"5"	""	"5"	""	"5"	"12"	""	"15"	"643"	""	""	""	""	""	""	""	""
"190"	"108"	"60"	""	""	"16"	""	"16"	""	"230"	""	"33"	""	"0"	""	"13"	""	"5"	""	"2"	""	"2"	""	"11"	"7"	""	"18"	"413"	""	""	""	""	""	""	""	""
"191"	"109"	"96"	""	""	"4"	""	"22"	""	"141"	""	"8"	""	"194"	""	"15"	""	"5"	""	"0"	""	"2"	""	"3"	"25"	""	"12"	"527"	""	""	""	""	""	""	""	""
"192"	"110"	"120"	""	""	"39"	""	"7"	""	"260"	""	"10"	""	"13"	""	"1"	""	"1"	""	"2"	""	"2"	""	"0"	"3"	""	"9"	"467"	""	""	""	""	""	""	""	""
"193"	";ksx"	"1200"	""	""	"689"	""	"155"	""	"2857"	""	"168"	""	"304"	""	"105"	""	"58"	""	"46"	""	"50"	""	"58"	"233"	""	"166"	"6089"	""	""	""	""	""	""	""	""
"194"	"fuokZpu lapkyu fu;e 1961 izi= &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"195"	"fu;e 56 ch0 º7Ω nsf[k,                                                          fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"vafre  ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"pÿ& 11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"fu;e 59 , ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd, tkus grs  q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"4&xksikyxat  lalnh;  fo/kku  lHkk  {ks=  esa  lekfo\"V  23&ehjxat  fo/kku  lHkk  fuokZpu  {ks=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"202"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"203"	"111"	"92"	""	""	"29"	""	"19"	""	"233"	""	"10"	""	"73"	""	"10"	""	"2"	""	"1"	""	"2"	""	"7"	"9"	""	"2"	"489"	""	""	""	""	""	""	""	""
"204"	"112"	"120"	""	""	"56"	""	"17"	""	"213"	""	"2"	""	"3"	""	"9"	""	"3"	""	"6"	""	"3"	""	"9"	"18"	""	"10"	"469"	""	""	""	""	""	""	""	""
"205"	"113"	"112"	""	""	"40"	""	"2"	""	"359"	""	"4"	""	"3"	""	"8"	""	"4"	""	"4"	""	"1"	""	"1"	"32"	""	"10"	"580"	""	""	""	""	""	""	""	""
"206"	"114"	"119"	""	""	"56"	""	"17"	""	"259"	""	"5"	""	"20"	""	"13"	""	"2"	""	"5"	""	"5"	""	"14"	"26"	""	"6"	"547"	""	""	""	""	""	""	""	""
"207"	"115"	"60"	""	""	"13"	""	"4"	""	"332"	""	"3"	""	"7"	""	"15"	""	"5"	""	"4"	""	"4"	""	"6"	"26"	""	"7"	"486"	""	""	""	""	""	""	""	""
"208"	"116"	"53"	""	""	"9"	""	"2"	""	"467"	""	"6"	""	"10"	""	"17"	""	"6"	""	"1"	""	"4"	""	"1"	"8"	""	"3"	"587"	""	""	""	""	""	""	""	""
"209"	"117"	"74"	""	""	"2"	""	"1"	""	"267"	""	"5"	""	"1"	""	"9"	""	"5"	""	"2"	""	"2"	""	"0"	"37"	""	"4"	"409"	""	""	""	""	""	""	""	""
"210"	"118"	"19"	""	""	"14"	""	"1"	""	"253"	""	"3"	""	"9"	""	"3"	""	"2"	""	"0"	""	"1"	""	"0"	"2"	""	"0"	"307"	""	""	""	""	""	""	""	""
"211"	"119"	"208"	""	""	"28"	""	"6"	""	"227"	""	"20"	""	"29"	""	"14"	""	"6"	""	"4"	""	"1"	""	"4"	"7"	""	"11"	"565"	""	""	""	""	""	""	""	""
"212"	"120"	"28"	""	""	"22"	""	"35"	""	"234"	""	"6"	""	"34"	""	"29"	""	"21"	""	"6"	""	"9"	""	"8"	"11"	""	"14"	"457"	""	""	""	""	""	""	""	""
"213"	"121"	"113"	""	""	"26"	""	"17"	""	"245"	""	"12"	""	"12"	""	"31"	""	"10"	""	"6"	""	"3"	""	"9"	"7"	""	"26"	"517"	""	""	""	""	""	""	""	""
"214"	"121d"	"16"	""	""	"28"	""	"4"	""	"151"	""	"6"	""	"45"	""	"5"	""	"3"	""	"2"	""	"1"	""	"2"	"4"	""	"7"	"274"	""	""	""	""	""	""	""	""
"215"	"122"	"67"	""	""	"49"	""	"10"	""	"134"	""	"5"	""	"6"	""	"3"	""	"5"	""	"3"	""	"3"	""	"2"	"10"	""	"21"	"318"	""	""	""	""	""	""	""	""
"216"	"122d"	"132"	""	""	"98"	""	"5"	""	"55"	""	"0"	""	"22"	""	"8"	""	"2"	""	"4"	""	"1"	""	"3"	"6"	""	"16"	"352"	""	""	""	""	""	""	""	""
"217"	";ksx"	"1213"	""	""	"470"	""	"140"	""	"3429"	""	"87"	""	"274"	""	"174"	""	"76"	""	"48"	""	"40"	""	"66"	"203"	""	"137"	"6357"	""	""	""	""	""	""	""	""
"218"	"fuokZpu lapkyu fu;e 1961 izi= &20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"fu;e 56 ch0 º7Ω nsf[k,                                                          fuokZpdksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"vafre  ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"pÿ& 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"fu;e 59 , ds v/khu fofufnZ\"V fuokZpu {ks= ds ernku dsUnzksa ij ernku ifj.kke dks vfHkfyf[kr djus ds fy, mi;ksx fd, tkus grs  q"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"4&xksikyxat  lalnh;  fo/kku  lHkk  {ks=  esa  lekfo\"V  23&ehjxat  fo/kku  lHkk  fuokZpu  {ks=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"ernku dsUnz la[;k"	"vH;FkhZ  ds  Ik{k  esa  fn,  x,  erksa  dh  la[;k  ,oa  vH;fFkZ;ksa  ds  uke"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	""	"ckcqnhu [kk°"	""	""	"jkts'k dq0 flg"	""	"jkeujs'k izlkn"	""	"jkelsod flg"	""	"jkey[ku izlkn"	""	"larks\"k pkS/kjh"	""	"lqjsUnz jke"	""	"vykuqj"	""	"d`\".kk lkgh"	""	"tyhy fe;k°"	""	"jkts'k izlkn"	"jsuq nsoh"	""	"gjsjke flg"	"oS/k erksa dk ;ksx"	""	"vLohdr`   erksa dh la[;k"	""	";ksx"	""	"fufonr erksa dh la[;k"	""	""
"226"	"1"	"2"	""	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	""	"16"	""	"17"	""	"18"	""	""
"227"	"123"	"145"	""	""	"165"	""	"9"	""	"71"	""	"6"	""	"3"	""	"2"	""	"4"	""	"2"	""	"4"	""	"5"	"31"	""	"9"	"456"	""	""	""	""	""	""	""	""
"228"	"124"	"75"	""	""	"87"	""	"1"	""	"131"	""	"3"	""	"4"	""	"3"	""	"2"	""	"1"	""	"4"	""	"2"	"11"	""	"4"	"328"	""	""	""	""	""	""	""	""
"229"	"125"	"83"	""	""	"18"	""	"3"	""	"127"	""	"0"	""	"4"	""	"5"	""	"1"	""	"2"	""	"3"	""	"3"	"3"	""	"6"	"258"	""	""	""	""	""	""	""	""
"230"	"125d"	"208"	""	""	"21"	""	"17"	""	"24"	""	"3"	""	"3"	""	"0"	""	"1"	""	"1"	""	"2"	""	"9"	"1"	""	"12"	"302"	""	""	""	""	""	""	""	""
"231"	"126"	"74"	""	""	"42"	""	"26"	""	"195"	""	"0"	""	"14"	""	"6"	""	"2"	""	"3"	""	"2"	""	"4"	"139"	""	"10"	"517"	""	""	""	""	""	""	""	""
"232"	"127"	"200"	""	""	"38"	""	"13"	""	"83"	""	"4"	""	"1"	""	"3"	""	"8"	""	"5"	""	"2"	""	"6"	"56"	""	"18"	"437"	""	""	""	""	""	""	""	""
"233"	"128"	"80"	""	""	"62"	""	"17"	""	"298"	""	"6"	""	"12"	""	"7"	""	"2"	""	"5"	""	"0"	""	"1"	"9"	""	"5"	"504"	""	""	""	""	""	""	""	""
