"vfUre.ifj.kke.Ik."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"170"	"104"	"489"	"5"	"8"	"2"	"3"	"1"	"0"	"1"	"0"	"1"	"87"	"0"	"3"	""	""	"600"	""
"171"	"105"	"418"	"4"	"37"	"2"	"15"	"1"	"1"	"2"	"1"	"6"	"188"	"6"	"11"	""	""	"692"	""
"172"	"106"	"48"	"1"	"12"	"4"	"108"	"1"	"1"	"4"	"3"	"4"	"302"	"7"	"2"	""	""	"497"	""
"173"	"106d"	"103"	"1"	"7"	"5"	"190"	"3"	"4"	"5"	"9"	"3"	"117"	"0"	"2"	""	""	"449"	""
"174"	"107"	"196"	"3"	"10"	"6"	"10"	"1"	"0"	"2"	"1"	"3"	"466"	"1"	"5"	""	""	"704"	""
"175"	"108"	"53"	"3"	"0"	"0"	"12"	"1"	"0"	"0"	"1"	"3"	"355"	"7"	"9"	""	""	"444"	""
"176"	"109"	"160"	"0"	"2"	"0"	"170"	"0"	"0"	"1"	"0"	"0"	"156"	"0"	"1"	""	""	"490"	""
"177"	"110"	"12"	"1"	"65"	"11"	"11"	"0"	"1"	"0"	"1"	"4"	"437"	"4"	"7"	""	""	"554"	""
"178"	";ksx"	"15923"	"1046"	"4101"	"366"	"5553"	"236"	"751"	"182"	"273"	"605"	"35698"	"567"	"1142"	""	""	"66443"	""
"179"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"181"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"183"	"fiNys Ik`\"V dk ;ksx"	"15923"	"1046"	"4101"	"366"	"5553"	"236"	"751"	"182"	"273"	"605"	"35698"	"567"	"1142"	""	""	"66443"	""
"184"	"110d"	"47"	"3"	"46"	"1"	"29"	"2"	"0"	"0"	"1"	"6"	"360"	"1"	"3"	""	""	"499"	""
"185"	"111"	"129"	"0"	"6"	"2"	"5"	"2"	"0"	"1"	"0"	"5"	"278"	"5"	"19"	""	""	"452"	""
"186"	"111d"	"39"	"3"	"24"	"1"	"11"	"1"	"0"	"4"	"0"	"5"	"344"	"3"	"3"	""	""	"438"	""
"187"	"112"	"2"	"1"	"1"	"0"	"159"	"0"	"0"	"2"	"3"	"4"	"150"	"2"	"1"	""	""	"325"	""
"188"	"113"	"213"	"3"	"61"	"6"	"57"	"5"	"3"	"4"	"2"	"9"	"378"	"9"	"18"	""	""	"768"	""
"189"	"114"	"10"	"2"	"0"	"0"	"25"	"0"	"1"	"1"	"0"	"1"	"189"	"0"	"1"	""	""	"230"	""
"190"	"115"	"43"	"13"	"4"	"0"	"89"	"0"	"5"	"2"	"1"	"4"	"435"	"6"	"8"	""	""	"610"	""
"191"	"116"	"187"	"6"	"4"	"5"	"50"	"1"	"13"	"1"	"4"	"9"	"284"	"6"	"12"	""	""	"582"	""
"192"	"117"	"202"	"5"	"12"	"0"	"14"	"0"	"0"	"0"	"1"	"2"	"235"	"3"	"2"	""	""	"476"	""
"193"	"118"	"129"	"2"	"8"	"0"	"14"	"0"	"1"	"1"	"2"	"7"	"319"	"3"	"12"	""	""	"498"	""
"194"	"119"	"335"	"9"	"18"	"2"	"1"	"1"	"1"	"2"	"2"	"5"	"296"	"0"	"3"	""	""	"675"	""
"195"	"120"	"58"	"1"	"23"	"0"	"4"	"0"	"0"	"1"	"1"	"4"	"508"	"1"	"2"	""	""	"603"	""
"196"	"121"	"108"	"0"	"15"	"1"	"0"	"1"	"1"	"0"	"1"	"6"	"331"	"2"	"9"	""	""	"475"	""
"197"	"122"	"160"	"2"	"42"	"2"	"2"	"1"	"0"	"1"	"1"	"3"	"219"	"1"	"5"	""	""	"439"	""
"198"	";ksx"	"17585"	"1096"	"4365"	"386"	"6013"	"250"	"776"	"202"	"292"	"675"	"40024"	"609"	"1240"	""	""	"73513"	""
"199"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"201"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"202"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"203"	"fiNys Ik`\"V dk ;ksx"	"17585"	"1096"	"4365"	"386"	"6013"	"250"	"776"	"202"	"292"	"675"	"40024"	"609"	"1240"	""	""	"73513"	""
"204"	"123"	"67"	"3"	"1"	"2"	"3"	"0"	"1"	"0"	"1"	"8"	"577"	"5"	"3"	""	""	"671"	""
"205"	"124"	"59"	"1"	"16"	"2"	"4"	"0"	"1"	"0"	"1"	"3"	"353"	"5"	"9"	""	""	"454"	""
"206"	"124d"	"75"	"1"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	""	"345"	"1"	"6"	""	""	"435"	""
"207"	"125"	"25"	"4"	"7"	"3"	"11"	"0"	"1"	"0"	"3"	"7"	"438"	"13"	"22"	""	""	"534"	""
"208"	"126"	"85"	"3"	"10"	"6"	"52"	"1"	"1"	"1"	"3"	"6"	"359"	"5"	"9"	""	""	"541"	""
"209"	"127"	"77"	"3"	"27"	"2"	"187"	"3"	"2"	"4"	"4"	"6"	"428"	"7"	"17"	""	""	"767"	""
"210"	"128"	"161"	"1"	"16"	"0"	"24"	"2"	"1"	"1"	"1"	"8"	"639"	"4"	"8"	""	""	"866"	""
"211"	"129"	"70"	"1"	"8"	"1"	"197"	"3"	"1"	"0"	"2"	"6"	"181"	"6"	"7"	""	""	"483"	""
"212"	"130"	"103"	"2"	"39"	"1"	"12"	"0"	"0"	"0"	"0"	"2"	"463"	"1"	"3"	""	""	"626"	""
"213"	"131"	"71"	"1"	"6"	"3"	"126"	"1"	"1"	"2"	"4"	"3"	"367"	"8"	"11"	""	""	"604"	""
"214"	"132"	"29"	"1"	"11"	"3"	"10"	"1"	"0"	"0"	"1"	"5"	"344"	"7"	"17"	""	""	"429"	""
"215"	"133"	"50"	"2"	"7"	"3"	"1"	"1"	"3"	"2"	"1"	"3"	"431"	"4"	"17"	""	""	"525"	""
"216"	"134"	"139"	"4"	"4"	"2"	"35"	"3"	"1"	"0"	"1"	"7"	"478"	"2"	"17"	""	""	"693"	""
"217"	"135"	"218"	"3"	"7"	"2"	"53"	"3"	"3"	"0"	"2"	"6"	"322"	"6"	"7"	""	""	"632"	""
"218"	";ksx"	"18814"	"1126"	"4527"	"417"	"6731"	"268"	"792"	"212"	"316"	"745"	"45749"	"683"	"1393"	""	""	"81773"	""
"219"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"221"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"222"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"223"	"fiNys Ik`\"V dk ;ksx"	"18814"	"1126"	"4527"	"417"	"6731"	"268"	"792"	"212"	"316"	"745"	"45749"	"683"	"1393"	""	""	"81773"	""
"224"	"136"	"146"	"2"	"11"	"3"	"179"	"4"	"1"	"3"	"1"	"2"	"163"	"3"	"4"	""	""	"522"	""
"225"	"137"	"95"	"4"	"9"	"3"	"13"	"2"	"3"	"2"	"2"	"7"	"345"	"3"	"7"	""	""	"495"	""
"226"	"138"	"110"	"1"	"8"	"1"	"4"	"1"	"1"	"2"	"2"	"7"	"282"	"3"	"11"	""	""	"433"	""
"227"	"139"	"25"	"0"	"2"	"1"	"38"	"1"	"5"	"1"	"0"	"4"	"321"	"2"	"10"	""	""	"410"	""
"228"	"140"	"33"	"0"	"5"	"0"	"7"	"0"	"0"	"1"	"1"	"6"	"202"	"6"	"1"	""	""	"262"	""
"229"	"140d"	"30"	"2"	"1"	"0"	"2"	"0"	"1"	"1"	"2"	"1"	"132"	"1"	"3"	""	""	"176"	""
"230"	"141"	"64"	"3"	"11"	"1"	"17"	"3"	"3"	"2"	"2"	"5"	"357"	"6"	"10"	""	""	"484"	""
"231"	"142"	"64"	"1"	"8"	"1"	"3"	"0"	"0"	"1"	"1"	"0"	"281"	"2"	"5"	""	""	"367"	""
"232"	"143"	"93"	"1"	"4"	"0"	"17"	"4"	"0"	"1"	"0"	"3"	"284"	"4"	"6"	""	""	"417"	""
"233"	"144"	"27"	"4"	"1"	"0"	"10"	"0"	"0"	"1"	"2"	"4"	"302"	"2"	"6"	""	""	"359"	""
"234"	"145"	"37"	"0"	"3"	"5"	"3"	"1"	"106"	"1"	"3"	"2"	"224"	"3"	"2"	""	""	"390"	""
"235"	"146"	"62"	"1"	"4"	"3"	"13"	"1"	"2"	"1"	"2"	"5"	"424"	"5"	"16"	""	""	"539"	""
"236"	"147"	"31"	"1"	"2"	"3"	"55"	"1"	"0"	"0"	"2"	"4"	"361"	"5"	"1"	""	""	"466"	""
"237"	"148"	"49"	"0"	"6"	"2"	"55"	"1"	"0"	"0"	"2"	"1"	"271"	"3"	"4"	""	""	"394"	""
"238"	";ksx"	"19680"	"1146"	"4602"	"440"	"7147"	"287"	"914"	"229"	"338"	"796"	"49698"	"731"	"1479"	""	""	"87487"	""
"239"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"241"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"242"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"243"	"fiNys Ik`\"V dk ;ksx"	"19680"	"1146"	"4602"	"440"	"7147"	"287"	"914"	"229"	"338"	"796"	"49698"	"731"	"1479"	""	""	"87487"	""
"244"	"149"	"129"	"3"	"14"	"4"	"7"	"5"	"1"	"0"	"0"	"0"	"210"	"4"	"9"	""	""	"386"	""
"245"	"150"	"44"	"4"	"8"	"1"	"4"	"0"	"1"	"2"	"2"	"4"	"295"	"0"	"10"	""	""	"375"	""
"246"	"151"	"42"	"0"	"8"	"2"	"58"	"3"	"4"	"1"	"4"	"3"	"352"	"4"	"5"	""	""	"486"	""
"247"	"152"	"24"	"4"	"1"	"0"	"21"	"0"	"2"	"0"	"2"	"4"	"291"	"0"	"2"	""	""	"351"	""
"248"	"`53"	"46"	"8"	"6"	"2"	"49"	"2"	"0"	"2"	"1"	"3"	"367"	"3"	"2"	""	""	"491"	""
"249"	"154"	"185"	"3"	"7"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"226"	"8"	"7"	""	""	"442"	""
"250"	"154d"	"67"	"2"	"2"	"2"	"9"	"1"	"0"	"1"	"1"	"2"	"226"	"2"	"7"	""	""	"322"	""
"251"	"155"	"17"	"0"	"1"	"0"	"47"	"0"	"0"	"1"	"2"	"2"	"404"	"3"	"3"	""	""	"480"	""
"252"	"155d"	"12"	"0"	"3"	"3"	"14"	"0"	"0"	"1"	"3"	"1"	"391"	"6"	"9"	""	""	"443"	""
"253"	"156"	"104"	"1"	"4"	"2"	"6"	"1"	"1"	"1"	"6"	"10"	"534"	"10"	"18"	""	""	"698"	""
"254"	"157"	"91"	"3"	"1"	"0"	"28"	"3"	"2"	"0"	"2"	"4"	"287"	"6"	"6"	""	""	"433"	""
"255"	"157d"	"52"	"1"	"9"	"1"	"21"	"0"	"2"	"2"	"1"	"0"	"276"	"6"	"3"	""	""	"374"	""
"256"	"158"	"71"	"0"	"4"	"1"	"19"	"3"	"2"	"3"	"2"	"3"	"403"	"4"	"14"	""	""	"529"	""
"257"	"159"	"47"	"0"	"0"	"1"	"60"	"2"	"1"	"0"	"2"	"1"	"205"	"0"	"1"	""	""	"320"	""
"258"	";ksx"	"20611"	"1175"	"4670"	"459"	"7491"	"308"	"931"	"244"	"366"	"835"	"54165"	"787"	"1575"	""	""	"93617"	""
"259"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"261"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"262"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"263"	"fiNys Ik`\"V dk ;ksx"	"20611"	"1175"	"4670"	"459"	"7491"	"308"	"931"	"244"	"366"	"835"	"54165"	"787"	"1575"	""	""	"93617"	""
"264"	"159d"	"72"	"1"	"4"	"0"	"41"	"3"	"2"	"3"	"6"	"4"	"316"	"5"	"10"	""	""	"467"	""
"265"	"160"	"51"	"0"	"2"	"0"	"60"	"0"	"1"	"0"	"1"	"3"	"335"	"4"	"6"	""	""	"463"	""
"266"	"161"	"15"	"0"	"6"	"0"	"138"	"2"	"2"	"0"	"4"	"2"	"300"	"6"	"3"	""	""	"478"	""
"267"	"162"	"48"	"1"	"4"	"6"	"37"	"1"	"1"	"4"	"2"	"8"	"471"	"5"	"9"	""	""	"597"	""
"268"	"163"	"64"	"0"	"3"	"1"	"55"	"2"	"2"	"1"	"7"	"3"	"214"	"1"	"5"	""	""	"358"	""
"269"	"163d"	"113"	"1"	"2"	"1"	"25"	"1"	"1"	"0"	"1"	"4"	"240"	"3"	"4"	""	""	"396"	""
"270"	"164"	"20"	"2"	"1"	"0"	"15"	"1"	"0"	"1"	"1"	"5"	"343"	"3"	"3"	""	""	"395"	""
"271"	"164d"	"54"	"1"	"1"	"0"	"12"	"1"	"0"	"2"	"0"	"1"	"151"	"1"	"4"	""	""	"228"	""
"272"	"165"	"101"	"1"	"2"	"3"	"59"	"2"	"7"	"0"	"4"	"4"	"358"	"8"	"5"	""	""	"554"	""
"273"	"166"	"149"	"8"	"7"	"2"	"12"	"1"	"2"	"3"	"10"	"14"	"426"	"8"	"9"	""	""	"651"	""
"274"	"167"	"115"	"4"	"5"	"1"	"16"	"1"	"0"	"2"	"0"	"2"	"438"	"7"	"16"	""	""	"607"	""
"275"	"168"	"27"	"3"	"7"	"4"	"9"	"2"	"2"	"0"	"1"	"2"	"398"	"4"	"4"	""	""	"463"	""
"276"	"169"	"27"	"1"	"3"	"1"	"123"	"1"	"0"	"0"	"2"	"6"	"199"	"4"	"5"	""	""	"372"	""
"277"	"170"	"72"	"1"	"3"	"0"	"56"	"1"	"2"	"1"	"1"	"8"	"326"	"1"	"2"	""	""	"474"	""
"278"	";ksx"	"21539"	"1199"	"4720"	"478"	"8149"	"327"	"953"	"261"	"406"	"901"	"58680"	"847"	"1660"	""	""	"100120"	""
"279"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"281"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"282"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"283"	"fiNys Ik`\"V dk ;ksx"	"21539"	"1199"	"4720"	"478"	"8149"	"327"	"953"	"261"	"406"	"901"	"58680"	"847"	"1660"	""	""	"100120"	""
"284"	"171"	"56"	"2"	"4"	"1"	"17"	"0"	"0"	"1"	"1"	"2"	"352"	"2"	"14"	""	""	"452"	""
"285"	"172"	"269"	"4"	"4"	"2"	"16"	"0"	"3"	"1"	"1"	"3"	"396"	"5"	"7"	""	""	"711"	""
"286"	"173"	"136"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	""	"1"	"136"	"2"	"3"	""	""	"294"	""
"287"	"174"	"303"	"0"	"8"	"0"	"11"	"1"	"0"	"1"	"0"	"1"	"108"	"0"	"4"	""	""	"437"	""
"288"	"175"	"253"	"1"	"16"	"1"	"7"	"0"	"0"	"0"	"1"	"3"	"123"	"2"	"8"	""	""	"415"	""
"289"	"176"	"207"	"1"	"6"	"0"	"3"	"0"	"1"	"1"	"0"	"2"	"141"	"1"	"0"	""	""	"363"	""
"290"	"177"	"294"	"0"	"2"	"2"	"16"	"0"	"0"	"0"	"0"	"4"	"213"	"0"	"3"	""	""	"534"	""
"291"	"178"	"182"	"0"	"1"	"0"	"13"	"0"	"2"	"1"	"0"	"1"	"72"	"0"	"3"	""	""	"275"	""
"292"	"178d"	"196"	"2"	"3"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"95"	"2"	"3"	""	""	"323"	""
"293"	"179"	"19"	"1"	"5"	"2"	"18"	"0"	"0"	"0"	"0"	"1"	"206"	"2"	"1"	""	""	"255"	""
"294"	"179d"	"46"	"0"	"7"	"0"	"14"	"0"	"0"	"0"	"1"	"0"	"275"	"1"	"4"	""	""	"348"	""
"295"	"180"	"40"	"0"	"1"	"1"	"22"	"1"	"0"	"1"	"0"	"1"	"202"	"1"	"5"	""	""	"275"	""
"296"	"181"	"29"	"1"	"7"	"2"	"41"	"1"	"1"	"1"	"0"	"3"	"288"	"6"	"3"	""	""	"383"	""
"297"	"181d"	"14"	"2"	"2"	"0"	"37"	"0"	"4"	"0"	"1"	"1"	"276"	"2"	"2"	""	""	"341"	""
"298"	";ksx"	"23583"	"1215"	"4800"	"489"	"8386"	"330"	"964"	"268"	"411"	"924"	"61563"	"873"	"1720"	""	""	"105526"	""
"299"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"301"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"303"	"fiNys Ik`\"V dk ;ksx"	"23583"	"1215"	"4800"	"489"	"8386"	"330"	"964"	"268"	"411"	"924"	"61563"	"873"	"1720"	""	""	"105526"	""
"304"	"182"	"28"	"1"	"5"	"10"	"23"	"1"	"3"	"3"	"2"	"6"	"608"	"8"	"16"	""	""	"714"	""
"305"	"183"	"296"	"4"	"14"	"0"	"7"	"0"	"0"	"1"	"1"	"1"	"101"	"1"	"7"	""	""	"433"	""
"306"	"184"	"81"	"2"	"1"	"3"	"19"	"1"	"2"	"1"	"6"	"3"	"382"	"7"	"5"	""	""	"513"	""
"307"	"185"	"83"	"4"	"13"	"1"	"53"	"1"	"2"	"1"	"3"	"7"	"386"	"4"	"10"	""	""	"568"	""
"308"	"186"	"51"	"2"	"5"	"2"	"67"	"1"	"1"	"0"	"1"	"1"	"355"	"2"	"5"	""	""	"493"	""
"309"	"187"	"119"	"3"	"7"	"1"	"6"	"0"	"0"	"0"	"2"	"3"	"399"	"9"	"12"	""	""	"561"	""
"310"	"187d"	"95"	"2"	"7"	"3"	"19"	"0"	"1"	"0"	"1"	"0"	"281"	"1"	"2"	""	""	"412"	""
"311"	"188"	"120"	"0"	"3"	"3"	"13"	"1"	"1"	"4"	"1"	"2"	"233"	"3"	"2"	""	""	"386"	""
"312"	"188d"	"154"	"1"	"3"	"1"	"18"	"0"	"0"	"0"	"1"	"3"	"255"	"3"	"5"	""	""	"444"	""
"313"	"189"	"180"	"0"	"4"	"0"	"14"	"2"	"1"	"0"	"1"	"3"	"302"	"4"	"2"	""	""	"513"	""
"314"	"190"	"301"	"4"	"4"	"0"	"4"	"0"	"0"	"0"	"1"	"2"	"114"	"2"	"3"	""	""	"435"	""
"315"	"191"	"213"	"2"	"2"	"0"	"8"	"0"	"1"	"0"	"4"	"1"	"192"	"2"	"12"	""	""	"437"	""
"316"	"191d"	"132"	"0"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"3"	"145"	"4"	"8"	""	""	"302"	""
"317"	"192"	"112"	"3"	"2"	"2"	"28"	"1"	"0"	"0"	"1"	"7"	"562"	"5"	"6"	""	""	"729"	""
"318"	";ksx"	"25548"	"1243"	"4874"	"516"	"8670"	"338"	"976"	"278"	"436"	"966"	"65878"	"928"	"1815"	""	""	"112466"	""
"319"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
"321"	"dh la[;k"	"ek-s bfy;kl gqlSu"	"derk flag"	"jk/kk d`\".k flag"	"ohj pUn iVsy flag"	"``'khyk flag"	"uhrk flag"	"ccu jke"	"banzthr flag"	"T;ksfr jf'e"	"fueZy flag"	"iznhi dqekj tks'kh"	"ohjsUnz flag"	"Jo.k dqekj"	""	""	""	""
"322"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	""	""	""	""
"323"	"fiNys Ik`\"V dk ;ksx"	"25548"	"1243"	"4874"	"516"	"8670"	"338"	"976"	"278"	"436"	"966"	"65878"	"928"	"1815"	""	""	"112466"	""
"324"	"193"	"122"	"1"	"5"	"0"	"14"	"1"	"1"	"0"	"0"	"2"	"355"	"1"	"5"	""	""	"507"	""
"325"	"194"	"146"	"2"	"1"	"0"	"19"	"1"	"0"	"2"	"2"	"3"	"366"	"1"	"2"	""	""	"545"	""
"326"	"195"	"326"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"4"	"339"	"2"	"1"	""	""	"679"	""
"327"	"196"	"124"	"0"	"2"	"3"	"14"	"1"	"1"	"1"	"2"	"4"	"270"	"1"	"4"	""	""	"427"	""
"328"	"196d"	"56"	"0"	"7"	"0"	"13"	"0"	"1"	"1"	"1"	"3"	"345"	"5"	"5"	""	""	"437"	""
"329"	"197"	"246"	"2"	"8"	"0"	"7"	"3"	"0"	"0"	"0"	"4"	"227"	"0"	"7"	""	""	"504"	""
"330"	"198"	"182"	"5"	"2"	"0"	"18"	"2"	"1"	"0"	"4"	"3"	"479"	"5"	"9"	""	""	"710"	""
"331"	"199"	"91"	"1"	"4"	"2"	"4"	"0"	"3"	"1"	"0"	"6"	"313"	"6"	"5"	""	""	"436"	""
"332"	"199d"	"122"	"2"	"3"	"3"	"4"	"1"	"0"	"2"	"1"	"3"	"221"	"1"	"4"	""	""	"367"	""
"333"	"200"	"66"	"0"	"8"	"1"	"20"	"1"	"0"	"1"	"1"	"2"	"519"	"1"	"4"	""	""	"624"	""
"334"	"201"	"92"	"3"	"1"	"0"	"4"	"1"	"1"	"0"	"2"	"4"	"326"	"9"	"8"	""	""	"451"	""
"335"	"201d"	"16"	"2"	"1"	"0"	"30"	"1"	"2"	"0"	"2"	"1"	"325"	"5"	"2"	""	""	"387"	""
"336"	"202"	"78"	"3"	"3"	"2"	"35"	"0"	"1"	"1"	"2"	"1"	"220"	"2"	"2"	""	""	"350"	""
"337"	"203"	"38"	"1"	"6"	"1"	"13"	"0"	"1"	"0"	"1"	"3"	"198"	"3"	"1"	""	""	"266"	""
"338"	";ksx"	"27253"	"1266"	"4926"	"528"	"8866"	"351"	"989"	"288"	"455"	"1009"	"70381"	"970"	"1874"	""	""	"119156"	""
"339"	"217 fMgjh fo/kku lHkk fuokZpu&{ks= [k.M esa fuokZpdksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"ernku dsUnz"	"fuEufyf[kr Ik{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erk dh la[;k"	";ksx"	"fufonÙk erksa dh la[;k"
