"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARA PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                      224621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                            197-Barhara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"138"	"105"	"SAMUDAYIK BHAWAN BANDHU CHHAPRA"	"148"	"22"	"9"	"38"	"3"	"5"	"9"	"3"	"3"	"3"	"44"	"287"	"0"	"287"	"0"
"139"	"106"	"PRIMARY SCHOOL WISHUANPUR(SOUTH PART)"	"269"	"132"	"18"	"4"	"2"	"1"	"8"	"0"	"5"	"8"	"52"	"499"	"0"	"499"	"0"
"140"	"107"	"PRIMARY SCHOOL WINDGAWA"	"513"	"88"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"28"	"634"	"0"	"634"	"0"
"141"	"108"	"PRIMARY SCHOOL SEMRA(E)"	"147"	"260"	"12"	"21"	"0"	"2"	"5"	"4"	"4"	"13"	"25"	"493"	"0"	"493"	"0"
"142"	"108A"	"PRIMARY SCHOOL SEMRA(W)"	"52"	"185"	"6"	"6"	"3"	"2"	"4"	"0"	"3"	"8"	"18"	"287"	"0"	"287"	"0"
"143"	"109"	"SAMUDAYIK BHAWAN MANICHHAPRA(E)"	"98"	"190"	"4"	"3"	"5"	"2"	"2"	"1"	"2"	"3"	"53"	"363"	"0"	"363"	"0"
"144"	"109A"	"SAMUDAYIK BHAWAN MANICHHAPRA(W)"	"33"	"130"	"3"	"9"	"0"	"2"	"0"	"0"	"5"	"5"	"16"	"203"	"0"	"203"	"0"
"145"	"110"	"PRIMARY SCHOOL BARHARA (EAST PART)"	"170"	"223"	"13"	"2"	"4"	"1"	"7"	"3"	"1"	"4"	"95"	"523"	"0"	"523"	"0"
"146"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"147"	"Serial No of Polling Station"	""	"JD(U)"	"RJD"	"CPI(ML)(L)"	"LJP"	"BSP"	"ABJS"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"148"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"149"	"111"	"PRIMARY SCHOOL BARHARA (WEST PART)"	"59"	"240"	"13"	"6"	"1"	"1"	"1"	"0"	"5"	"7"	"96"	"429"	"0"	"429"	"0"
"150"	"112"	"PRIMARY SCHOOL RAMPUR(E)"	"173"	"80"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"19"	"279"	"0"	"279"	"0"
"151"	"112A"	"PRIMARY SCHOOL RAMPUR(W)"	"79"	"54"	"4"	"7"	"1"	"4"	"4"	"5"	"1"	"3"	"24"	"186"	"0"	"186"	"0"
"152"	"113"	"PRIMARY SCHOOL ALAKHI TOLA(E)"	"20"	"185"	"6"	"2"	"0"	"2"	"2"	"1"	"0"	"4"	"99"	"321"	"0"	"321"	"0"
"153"	"113A"	"PRIMARY SCHOOL ALAKHI TOLA(W)"	"4"	"73"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"71"	"149"	"0"	"149"	"0"
"154"	"114"	"PRIMARY SCHOOL JIWAROY KA TOLA"	"9"	"318"	"4"	"1"	"3"	"1"	"2"	"3"	"0"	"10"	"56"	"407"	"0"	"407"	"0"
"155"	"115"	"PRIMARY SCHOOL NAKNAM TOLA"	"204"	"200"	"7"	"2"	"2"	"0"	"2"	"1"	"5"	"5"	"67"	"495"	"0"	"495"	"0"
"156"	"116"	"PRIMARY SCHOOL SHEMRA BINDGAWA"	"315"	"69"	"3"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"2"	"394"	"0"	"394"	"0"
"157"	"117"	"PRIMARY SCHOOL PICHROKHIYA KALA"	"114"	"297"	"66"	"20"	"6"	"7"	"10"	"9"	"7"	"16"	"48"	"600"	"0"	"600"	"0"
"158"	"118"	"BHARTYA JANTA HIGH SCHOOL RAJAPUR"	"315"	"137"	"58"	"8"	"4"	"1"	"14"	"5"	"5"	"2"	"29"	"578"	"0"	"578"	"0"
"159"	"119"	"MEDDLA SCHOOL MANIKPUR"	"306"	"65"	"115"	"9"	"3"	"1"	"2"	"0"	"4"	"3"	"29"	"537"	"0"	"537"	"0"
"160"	"120"	"PRIMARY SCHOOL ENGLISH PUR"	"159"	"56"	"90"	"9"	"1"	"2"	"4"	"3"	"3"	"0"	"25"	"352"	"0"	"352"	"0"
"161"	"121"	"MIDDLE SCHOOL DHOLATPUR SOUTH PART"	"268"	"91"	"66"	"47"	"5"	"4"	"7"	"6"	"1"	"7"	"113"	"615"	"0"	"615"	"0"
"162"	"122"	"MIDDLE SCHOOL DOALATPUR NORTH PART"	"317"	"264"	"8"	"4"	"0"	"3"	"7"	"2"	"2"	"1"	"32"	"640"	"0"	"640"	"0"
"163"	"123"	"BALAK PRIMARY SCHOOL NARAYANPUR(N)"	"114"	"214"	"2"	"7"	"0"	"0"	"1"	"1"	"1"	"3"	"40"	"383"	"0"	"383"	"0"
"164"	"123A"	"BALAK PRIMARY SCHOOL NARAYANPUR(S)"	"127"	"158"	"62"	"6"	"1"	"1"	"3"	"2"	"2"	"2"	"55"	"419"	"0"	"419"	"0"
"165"	"124"	"URDU PRIMARY SCHOOL JAMALPUR"	"278"	"135"	"20"	"50"	"3"	"3"	"15"	"7"	"6"	"7"	"36"	"560"	"0"	"560"	"0"
"166"	"125"	"BALIRAM BHAGAT HIGH SCHOOL BABHNAULI"	"96"	"147"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"24"	"283"	"0"	"283"	"0"
"167"	"126"	"SAMUDIYK BHAWAN SUNDHARPUR"	"162"	"31"	"44"	"0"	"2"	"1"	"3"	"1"	"3"	"1"	"18"	"266"	"0"	"266"	"0"
"168"	"127"	"PANCHYAT BHAWAN BAGMAJHAUA"	"236"	"96"	"19"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"358"	"0"	"358"	"0"
"169"	"128"	"PRIMARY SCHOOL DAWARIYA"	"104"	"104"	"4"	"3"	"0"	"1"	"2"	"0"	"1"	"3"	"5"	"227"	"0"	"227"	"0"
"170"	"129"	"PRIMARY SCHOOL MATHURAPUR LAWGA BABA KA MATHIYA WEST PART"	"103"	"95"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"204"	"0"	"204"	"0"
"171"	"130"	"PRIMARY SCHOOL DORJANCHAK"	"77"	"199"	"62"	"4"	"1"	"4"	"2"	"0"	"1"	"1"	"51"	"402"	"0"	"402"	"0"
"172"	"131"	"PRIMARY SCHOOL BISANPURA"	"233"	"97"	"23"	"6"	"2"	"1"	"5"	"2"	"2"	"5"	"73"	"449"	"0"	"449"	"0"
"173"	"132"	"PRIMARY SCHOOL,SHRIPALPUR"	"98"	"23"	"19"	"12"	"3"	"1"	"4"	"5"	"3"	"2"	"111"	"281"	"0"	"281"	"0"
"174"	"133"	"PRIMARY SCHOOL , JALPURA"	"190"	"150"	"13"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"8"	"364"	"0"	"364"	"0"
"175"	"134"	"PRIMARY SCHOOL, BHOPATPUR CHANDWA"	"81"	"200"	"58"	"16"	"5"	"6"	"3"	"2"	"10"	"13"	"159"	"553"	"0"	"553"	"0"
"176"	"135"	"MIDDLE SCHOOL , KASARHIYA"	"186"	"67"	"7"	"18"	"0"	"1"	"10"	"1"	"8"	"10"	"139"	"447"	"0"	"447"	"0"
"177"	"136"	"PRIMARY SCHOOL , MAHAKKAMPUR"	"178"	"272"	"54"	"15"	"3"	"6"	"12"	"5"	"15"	"24"	"203"	"787"	"0"	"787"	"0"
"178"	"137"	"PRIMARY SCHOOL , BISUNPURA"	"80"	"131"	"24"	"7"	"1"	"0"	"3"	"3"	"2"	"3"	"111"	"365"	"0"	"365"	"0"
"179"	"138"	"PRIMARY SCHOOL , BIRAMPUR(E)"	"142"	"157"	"23"	"1"	"1"	"0"	"1"	"2"	"2"	"3"	"10"	"342"	"0"	"342"	"0"
"180"	"138A"	"PRIMARY SCHOOL , BIRAMPUR(W)"	"128"	"104"	"8"	"1"	"3"	"1"	"3"	"0"	"3"	"3"	"20"	"274"	"0"	"274"	"0"
"181"	"139"	"MIDDLE SCHOOL , BIRAMPUR"	"216"	"297"	"46"	"19"	"3"	"3"	"8"	"4"	"5"	"7"	"93"	"701"	"0"	"701"	"0"
"182"	"140"	"RAMANAND HIGH SCHOOL , BIRAMPUR , KRITPURA (NORTH PART)"	"150"	"190"	"15"	"2"	"0"	"0"	"7"	"1"	"2"	"1"	"30"	"398"	"0"	"398"	"0"
"183"	"141"	"RAMANAND HIGH SCHOOL , BIRAMPUR , KRITPURA (SOUTH PARRT)"	"307"	"123"	"121"	"30"	"6"	"5"	"19"	"8"	"6"	"11"	"62"	"698"	"0"	"698"	"0"
"184"	"142"	"PRIMARY SCHOOL , MOKHLISHA(E)"	"167"	"178"	"7"	"8"	"0"	"3"	"4"	"3"	"2"	"5"	"29"	"406"	"0"	"406"	"0"
"185"	"142A"	"PRIMARY SCHOOL , MOKHLISHA(W)"	"171"	"97"	"22"	"46"	"5"	"1"	"5"	"7"	"2"	"5"	"24"	"385"	"0"	"385"	"0"
"186"	"143"	"PRIMARY SCHOOL , GIYANPURA"	"21"	"151"	"446"	"23"	"0"	"0"	"4"	"1"	"0"	"1"	"15"	"662"	"0"	"662"	"0"
"187"	"144"	"PRIMARY SCHOOL , KAYAMNAGAR TOLA MATIYARA (E)"	"222"	"108"	"13"	"67"	"3"	"1"	"7"	"12"	"5"	"10"	"50"	"498"	"0"	"498"	"0"
"188"	"144A"	"PRIMARY SCHOOL , KAYAMNAGAR TOLA MATIYARA (W)"	"197"	"83"	"18"	"12"	"1"	"1"	"2"	"1"	"8"	"1"	"35"	"359"	"0"	"359"	"0"
"189"	"145"	"URDU PRIMARY SCHOOL , PURDILGANJ"	"8"	"304"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"43"	"362"	"0"	"362"	"0"
"190"	"146"	"MIDDLE SCHOOL , KAYAMNAGAR (NORTH PART)"	"317"	"70"	"128"	"60"	"15"	"3"	"14"	"6"	"2"	"9"	"38"	"662"	"0"	"662"	"0"
"191"	"147"	"MIDDLE SCHOOL , KAYAMNAGAR (MIDDLE PART)"	"285"	"321"	"23"	"22"	"1"	"2"	"3"	"1"	"1"	"6"	"30"	"695"	"0"	"695"	"0"
"192"	"148"	"MIDDLE SCHOOL , GIDHA (SOUTH PART)"	"223"	"178"	"82"	"20"	"0"	"3"	"8"	"5"	"1"	"10"	"36"	"566"	"0"	"566"	"0"
"193"	"149"	"MIDDLE SCHOOL , GIDHA (NORTH PART)"	"228"	"294"	"94"	"18"	"1"	"4"	"4"	"3"	"5"	"7"	"41"	"699"	"0"	"699"	"0"
"194"	"150"	"PRIMARY SCHOOL ,SONGHATA(E)"	"196"	"185"	"9"	"2"	"1"	"1"	"3"	"1"	"4"	"6"	"37"	"445"	"0"	"445"	"0"
"195"	"150A"	"PRIMARY SCHOOL ,SONGHATA(W)"	"172"	"150"	"9"	"1"	"2"	"0"	"2"	"0"	"2"	"4"	"4"	"346"	"0"	"346"	"0"
"196"	"151"	"PRIMARY SCHOOL , PACHYANA"	"224"	"143"	"4"	"1"	"0"	"0"	"3"	"1"	"0"	"1"	"29"	"406"	"0"	"406"	"0"
"197"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"198"	"Serial No of Polling Station"	""	"JD(U)"	"RJD"	"CPI(ML)(L)"	"LJP"	"BSP"	"ABJS"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"199"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"200"	"152"	"PRIMART SCHOOL , MAHUE , TOLA GOLAKPUR"	"257"	"91"	"15"	"9"	"1"	"0"	"5"	"0"	"3"	"9"	"73"	"463"	"0"	"463"	"0"
"201"	"153"	"PRIMARY SCHOOL , BARKA CHANDA"	"147"	"310"	"22"	"21"	"6"	"1"	"5"	"1"	"2"	"9"	"40"	"564"	"0"	"564"	"0"
"202"	"154"	"PRIMARY SCHOOL , HARIPUR"	"368"	"61"	"72"	"8"	"4"	"4"	"15"	"2"	"3"	"4"	"27"	"568"	"0"	"568"	"0"
"203"	"155"	"PRIMARY SCHOOL , PACAYNA BAJAR , SHRIPALPUR"	"189"	"24"	"56"	"3"	"1"	"4"	"17"	"2"	"9"	"4"	"171"	"480"	"0"	"480"	"0"
"204"	"156"	"PRIMARY SCHOOL , KAJECHAK"	"74"	"276"	"7"	"13"	"1"	"0"	"2"	"2"	"0"	"8"	"28"	"411"	"0"	"411"	"0"
"205"	"157"	"MIDDLE SCHOOL ,KULHARIYA"	"352"	"94"	"19"	"11"	"1"	"1"	"7"	"1"	"2"	"2"	"14"	"504"	"0"	"504"	"0"
"206"	"158"	"PANCHYAT BAWAN , KULHARIYA"	"171"	"214"	"68"	"21"	"3"	"5"	"9"	"5"	"7"	"16"	"46"	"565"	"0"	"565"	"0"
"207"	"159"	"URDU PRIMARY SCHOOL , KULHARIYA"	"338"	"170"	"16"	"35"	"2"	"2"	"5"	"3"	"2"	"6"	"16"	"595"	"0"	"595"	"0"
"208"	"160"	"BHAGWAN SAAH TARAMANI HIGH SCHOOL , KOIWLAR (EAST PART)"	"214"	"100"	"8"	"10"	"0"	"1"	"11"	"5"	"4"	"7"	"37"	"397"	"0"	"397"	"0"
"209"	"160A"	"BHAGWAN SAAH TARAMANI HIGH SCHOOL , KOIWLAR (WEST PART)"	"135"	"63"	"1"	"3"	"0"	"0"	"4"	"2"	"1"	"2"	"26"	"237"	"0"	"237"	"0"
"210"	"161"	"BHAGWAN SAH TARAMANI H.S. KOILWER (WEST PART)"	"221"	"255"	"13"	"5"	"0"	"1"	"6"	"4"	"1"	"4"	"46"	"556"	"0"	"556"	"0"
"211"	"162"	"PRKHAND KARYALAY KOILWAR"	"222"	"121"	"5"	"6"	"1"	"5"	"11"	"1"	"4"	"3"	"86"	"465"	"0"	"465"	"0"
"212"	"163"	"HINDKANKYA PRIMARY SCHOOL KOILWAR"	"106"	"46"	"2"	"6"	"2"	"1"	"7"	"2"	"0"	"2"	"111"	"285"	"0"	"285"	"0"
"213"	"164"	"KAJIWHIAD ASRAK MIDDLE SCHOOL,KOILWEAR"	"205"	"201"	"40"	"24"	"7"	"8"	"19"	"6"	"6"	"11"	"34"	"561"	"0"	"561"	"0"
"214"	"165"	"PRIMARY SCHOOL , KATKAYRA"	"216"	"32"	"4"	"2"	"0"	"1"	"6"	"1"	"2"	"0"	"12"	"276"	"0"	"276"	"0"
"215"	"166"	"STAT BORING NO. 11 , KUBER CHAK DHANDIHA"	"83"	"322"	"6"	"8"	"4"	"2"	"0"	"0"	"1"	"5"	"24"	"455"	"0"	"455"	"0"
"216"	"167"	"PRIMARY SCHOOL, DHANDIHA"	"223"	"126"	"11"	"5"	"2"	"1"	"3"	"1"	"3"	"3"	"9"	"387"	"0"	"387"	"0"
"217"	"168"	"PANCHYAT BHAWAN , DHANDIHA"	"294"	"41"	"2"	"6"	"6"	"2"	"1"	"1"	"0"	"0"	"11"	"364"	"0"	"364"	"0"
"218"	"169"	"KANYA HIGH SCHOOL , DHANDIHA"	"374"	"128"	"8"	"4"	"2"	"1"	"4"	"3"	"3"	"4"	"24"	"555"	"0"	"555"	"0"
"219"	"170"	"KANYA PRIMARY SCHOOL , FARHAGPUR(E)"	"248"	"21"	"21"	"13"	"0"	"1"	"7"	"3"	"4"	"3"	"69"	"390"	"0"	"390"	"0"
"220"	"170A"	"KANYA PRIMARY SCHOOL , FARHAGPUR(W)"	"49"	"30"	"74"	"19"	"3"	"3"	"12"	"8"	"12"	"12"	"104"	"326"	"0"	"326"	"0"
"221"	"171"	"PRIMARY SCHOOL , BHADWAR(EAST PART)"	"141"	"316"	"18"	"19"	"1"	"1"	"7"	"4"	"4"	"7"	"48"	"566"	"0"	"566"	"0"
"222"	"172"	"PRIMARY SCHOOL , BHADWEAR (WEST PART)"	"285"	"209"	"7"	"5"	"1"	"2"	"1"	"1"	"2"	"2"	"70"	"585"	"0"	"585"	"0"
"223"	"173"	"PANCHYAT BAWAN , BHADWEAR"	"307"	"244"	"16"	"19"	"3"	"3"	"13"	"2"	"0"	"4"	"44"	"655"	"0"	"655"	"0"
"224"	"174"	"URDU SCHOOL , BAHIYARA"	"215"	"61"	"24"	"6"	"4"	"3"	"7"	"3"	"3"	"4"	"121"	"451"	"0"	"451"	"0"
"225"	"175"	"MIDDLE SCHOOL , SAKADDI (EAST PART)"	"314"	"248"	"8"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"18"	"592"	"0"	"592"	"0"
"226"	"176"	"MIDDLE SCHOOL , SAKADDI ( WEST PART)"	"164"	"290"	"55"	"8"	"3"	"2"	"5"	"1"	"3"	"2"	"83"	"616"	"0"	"616"	"0"
"227"	"177"	"PANCHAYAT BHAWAN , SAKADDI(E)"	"269"	"67"	"14"	"13"	"8"	"3"	"6"	"4"	"1"	"4"	"37"	"426"	"0"	"426"	"0"
"228"	"177A"	"PANCHAYAT BHAWAN , SAKADDI(W)"	"135"	"126"	"8"	"6"	"1"	"0"	"1"	"1"	"2"	"1"	"7"	"288"	"0"	"288"	"0"
"229"	"178"	"MIDDLE SCHOOL , NARAHI (NORTH PART)"	"258"	"175"	"7"	"42"	"6"	"0"	"6"	"7"	"4"	"10"	"25"	"540"	"0"	"540"	"0"
"230"	"179"	"MIDDLE SCHOOL , NARHI (SOUTH PART)"	"291"	"102"	"2"	"1"	"0"	"3"	"6"	"2"	"1"	"3"	"30"	"441"	"0"	"441"	"0"
"231"	"180"	"RAJKYEA NALKUP BAWAN , AMBA. NARBER PUR"	"56"	"374"	"32"	"2"	"3"	"1"	"2"	"0"	"2"	"3"	"17"	"492"	"0"	"492"	"0"
"232"	"181"	"HARWANS HIGH SCHOOL , CHANDI NARBIRPUR (NORTH PART)"	"296"	"157"	"20"	"28"	"5"	"4"	"7"	"7"	"1"	"7"	"14"	"546"	"0"	"546"	"0"
"233"	"182"	"HARWANS HIGH SCHOOL , CHANDI NARBIR PUR (SOUTH PART)"	"196"	"200"	"20"	"12"	"2"	"6"	"10"	"5"	"5"	"5"	"21"	"482"	"0"	"482"	"0"
"234"	"183"	"BRIDHED BAHUDHANDE SAHYOG SAMETY , GODAM CHANDI (EAST PART)"	"219"	"118"	"15"	"5"	"2"	"3"	"7"	"5"	"0"	"1"	"74"	"449"	"0"	"449"	"0"
"235"	"184"	"KANYA MIDDLE SCHOOL , CHANDI"	"200"	"149"	"7"	"4"	"1"	"1"	"6"	"1"	"1"	"2"	"62"	"434"	"0"	"434"	"0"
"236"	"185"	"BRIHAD BAHUDHANDI SAHYOG SAMETY GODAM , CHANDI (WEST PART)"	"205"	"55"	"154"	"25"	"4"	"4"	"8"	"2"	"3"	"3"	"40"	"503"	"0"	"503"	"0"
"237"	"186"	"MIDDLE SCHOOL KHANGAON (NORTH PART)"	"275"	"165"	"4"	"18"	"1"	"2"	"4"	"1"	"4"	"6"	"20"	"500"	"0"	"500"	"0"
"238"	"187"	"MIDDLE SCHOOL , KHANGAON (SOUTH PART)"	"223"	"147"	"25"	"23"	"0"	"5"	"6"	"2"	"1"	"9"	"80"	"521"	"0"	"521"	"0"
"239"	"188"	"PRIMARY SCHOOL , ROOPCHAKIYA"	"353"	"108"	"14"	"8"	"0"	"3"	"6"	"3"	"5"	"7"	"53"	"560"	"0"	"560"	"0"
"240"	"189"	"PRIMARY SCHOOL ROOPCAKIYA . NAYA BAWAN"	"106"	"163"	"39"	"4"	"6"	"3"	"5"	"5"	"2"	"2"	"21"	"356"	"0"	"356"	"0"
"241"	"190"	"PRIMARY SCHOOL , RAMNAGAR"	"36"	"482"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"522"	"0"	"522"	"0"
"242"	"191"	"PRIMARY SCHOOL , LODIPUR"	"287"	"44"	"0"	"0"	"1"	"0"	"3"	"2"	"1"	"0"	"22"	"360"	"0"	"360"	"0"
"243"	"192"	"PRIMARY SCHOOL , GOPALPUR"	"309"	"209"	"21"	"11"	"4"	"1"	"5"	"0"	"1"	"6"	"41"	"608"	"0"	"608"	"0"
"244"	"193"	"URDU SCHOOL , KOSIHAN"	"96"	"334"	"9"	"11"	"2"	"0"	"3"	"1"	"1"	"2"	"16"	"475"	"0"	"475"	"0"
"245"	"194"	"PRIMARY SCHOOL , BAGWATPUR"	"156"	"94"	"8"	"0"	"0"	"2"	"5"	"1"	"0"	"1"	"17"	"284"	"0"	"284"	"0"
"246"	"195"	"PRIMARY SCHOOL , BISUNPUR"	"290"	"138"	"23"	"13"	"2"	"6"	"3"	"2"	"3"	"5"	"23"	"508"	"0"	"508"	"0"
"247"	"196"	"PANCHYAT BAWAN , JALPURA"	"129"	"140"	"95"	"3"	"4"	"5"	"7"	"3"	"6"	"3"	"12"	"407"	"0"	"407"	"0"
"248"	""	""	"ASHA DEVI"	"RAGHVENDRA PRATAP
SINGH"	"LALAN YADAV"	"DR. SIYAMATI
RAI"	"SUDARAHAN RAM"	"SHASHI BHUSHAN
SINGH"	"JANG BAHADUR
RAM"	"NIRMAL SINGH"	"VIJAY KUMAR
SINGH"	"VIJAY SINGH"	"HAKIM PRASAD"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"249"	"Serial No of Polling Station"	""	"JD(U)"	"RJD"	"CPI(ML)(L)"	"LJP"	"BSP"	"ABJS"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"250"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"251"	"197"	"PRIMARY SCHOOL , JALPURA (EAST PART)"	"197"	"97"	"27"	"0"	"0"	"0"	"10"	"1"	"2"	"4"	"41"	"379"	"0"	"379"	"0"
"252"	"198"	"PRIMARY SCHOOL , JALPURA (WEST PART)"	"124"	"147"	"3"	"4"	"1"	"1"	"4"	"1"	"3"	"5"	"113"	"406"	"0"	"406"	"0"
"253"	"199"	"PRIMARY SCHOOL , SALAMPUR (NORTH PART)"	"25"	"419"	"16"	"12"	"1"	"3"	"1"	"5"	"8"	"12"	"56"	"558"	"0"	"558"	"0"
"254"	"200"	"PRIMARY SCHOOL , SALAMPUR (SOUTH PART)"	"18"	"162"	"5"	"1"	"1"	"0"	"0"	"1"	"0"	"10"	"35"	"233"	"0"	"233"	"0"
"255"	"201"	"PRIMARY SCHOOL , RAMPUR"	"9"	"376"	"14"	"15"	"0"	"0"	"0"	"3"	"0"	"0"	"65"	"482"	"0"	"482"	"0"
"256"	"202"	"HIGH SCHOOL , JOGTA(E)"	"55"	"266"	"9"	"10"	"0"	"0"	"2"	"3"	"1"	"9"	"23"	"378"	"0"	"378"	"0"
"257"	"202A"	"HIGH SCHOOL , JOGTA(W)"	"56"	"192"	"7"	"12"	"2"	"0"	"1"	"5"	"2"	"2"	"35"	"314"	"0"	"314"	"0"
"258"	"203"	"PRIMARY SCHOOL, JOGTA(E)"	"44"	"314"	"18"	"11"	"2"	"0"	"1"	"0"	"2"	"3"	"20"	"415"	"0"	"415"	"0"
"259"	"203A"	"PRIMARY SCHOOL, JOGTA(W)"	"34"	"166"	"18"	"42"	"2"	"2"	"2"	"3"	"1"	"5"	"19"	"294"	"0"	"294"	"0"
"260"	"204"	"PRIMARY SCHOOL , SUNDRA NAW NIRMIT BHAWAN"	"150"	"120"	"18"	"2"	"4"	"0"	"5"	"0"	"1"	"6"	"75"	"381"	"0"	"381"	"0"
"261"	"205"	"PRIMARY SCHOOL , JAHANPUR"	"37"	"389"	"58"	"4"	"4"	"0"	"2"	"0"	"2"	"0"	"6"	"502"	"0"	"502"	"0"
"262"	"Total No. of Votes recorded at Polling Stations"	""	"41129"	"37945"	"4802"	"2692"	"551"	"351"	"980"	"502"	"550"	"1038"	"10235"	"100775"	"0"	"100775"	"0"
"263"	"No of votes recorded on postal ballot papers"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"264"	""	"Total votes polled"	"41129"	"37945"	"4802"	"2692"	"551"	"351"	"980"	"502"	"550"	"1038"	"10235"	"100775"	"0"	"100775"	"0"
"265"	"Place :                                                                                                                                                                                                                                       Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Date : 22/11/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
