"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"[SEE  RULE 56(7) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 159- CHAKAI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-   213566"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"179"	"152"	"18"	"142"	"171"	"17"	""	"65"	""	"93"	"4"	"12"	"17"	"14"	"553"	""	"&"	"553"	"&"
"180"	"153"	"22"	"55"	"74"	"7"	""	"129"	""	"65"	"6"	"17"	"10"	"20"	"405"	""	"&"	"405"	"&"
"181"	"154"	"12"	"190"	"47"	"15"	""	"168"	""	"17"	"4"	"17"	"4"	"3"	"477"	""	"&"	"477"	"&"
"182"	"155"	"141"	"63"	"82"	"11"	""	"126"	""	"26"	"11"	"15"	"6"	"34"	"515"	""	"&"	"515"	"&"
"183"	"156"	"6"	"10"	"10"	"11"	""	"129"	""	"23"	"4"	"15"	"6"	"12"	"226"	""	"&"	"226"	"&"
"184"	"157"	"9"	"66"	"47"	"5"	""	"221"	""	"18"	"3"	"11"	"1"	"4"	"385"	""	"&"	"385"	"&"
"185"	"158"	"36"	"109"	"28"	"3"	""	"34"	""	"8"	"0"	"6"	"1"	"5"	"230"	""	"&"	"230"	"&"
"186"	"159"	"10"	"33"	"392"	"8"	""	"9"	""	"7"	"0"	"3"	"2"	"5"	"469"	""	"&"	"469"	"&"
"187"	"160"	"37"	"156"	"88"	"14"	""	"37"	""	"50"	"2"	"3"	"4"	"7"	"398"	""	"&"	"398"	"&"
"188"	"161"	"62"	"61"	"215"	"6"	""	"130"	""	"79"	"3"	"10"	"4"	"5"	"575"	""	"&"	"575"	"&"
"189"	"162"	"64"	"156"	"88"	"14"	""	"121"	""	"83"	"8"	"23"	"24"	"36"	"617"	""	"&"	"617"	"&"
"190"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"192"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"193"	"163"	"15"	"24"	"8"	"1"	""	"60"	""	"39"	"4"	"6"	"5"	"9"	"171"	""	"&"	"171"	"&"
"194"	"164"	"118"	"77"	"134"	"25"	""	"123"	""	"10"	"3"	"13"	"2"	"7"	"512"	""	"&"	"512"	"&"
"195"	"165"	"27"	"202"	"42"	"6"	""	"51"	""	"8"	"4"	"1"	"2"	"8"	"351"	""	"&"	"351"	"&"
"196"	"166"	"115"	"24"	"110"	"5"	""	"17"	""	"7"	"0"	"4"	"1"	"13"	"296"	""	"&"	"296"	"&"
"197"	"167"	"346"	"108"	"107"	"15"	""	"33"	""	"4"	"3"	"5"	"7"	"32"	"660"	""	"&"	"660"	"&"
"198"	"168"	"149"	"122"	"35"	"30"	""	"90"	""	"24"	"13"	"22"	"15"	"55"	"555"	""	"&"	"555"	"&"
"199"	"168A"	"48"	"19"	"69"	"6"	""	"105"	""	"33"	"4"	"10"	"2"	"5"	"301"	""	"&"	"301"	""
"200"	"169"	"144"	"93"	"52"	"2"	""	"40"	""	"8"	"0"	"4"	"7"	"8"	"358"	""	"&"	"358"	"&"
"201"	"170"	"90"	"278"	"52"	"8"	""	"64"	""	"18"	"7"	"10"	"13"	"19"	"559"	""	"&"	"559"	"&"
"202"	"171"	"14"	"154"	"45"	"5"	""	"215"	""	"7"	"4"	"12"	"5"	"4"	"465"	""	"&"	"465"	"&"
"203"	"172"	"7"	"108"	"88"	"4"	""	"49"	""	"8"	"0"	"5"	"6"	"8"	"283"	""	"&"	"283"	"&"
"204"	"173"	"21"	"173"	"79"	"14"	""	"132"	""	"20"	"1"	"17"	"3"	"6"	"466"	""	"&"	"466"	"&"
"205"	"174"	"28"	"288"	"28"	"4"	""	"39"	""	"3"	"1"	"6"	"9"	"6"	"412"	""	"&"	"412"	"&"
"206"	"175"	"46"	"211"	"83"	"11"	""	"50"	""	"9"	"7"	"13"	"6"	"18"	"454"	""	"&"	"454"	"&"
"207"	"176"	"24"	"227"	"232"	"10"	""	"40"	""	"8"	"7"	"14"	"5"	"10"	"577"	""	"&"	"577"	"&"
"208"	"177"	"19"	"290"	"177"	"15"	""	"142"	""	"8"	"1"	"14"	"4"	"13"	"683"	""	"&"	"683"	"&"
"209"	"178"	"28"	"231"	"140"	"13"	""	"54"	""	"7"	"10"	"21"	"13"	"20"	"537"	""	"&"	"537"	"&"
"210"	"179"	"78"	"49"	"84"	"28"	""	"225"	""	"41"	"9"	"26"	"3"	"15"	"558"	""	"&"	"558"	"&"
"211"	"180"	"13"	"80"	"86"	"5"	""	"74"	""	"8"	"3"	"15"	"3"	"5"	"292"	""	"&"	"292"	"&"
"212"	"181"	"36"	"36"	"88"	"4"	""	"24"	""	"3"	"0"	"2"	"0"	"2"	"195"	""	"&"	"195"	"&"
"213"	"182"	"21"	"76"	"183"	"26"	""	"49"	""	"13"	"4"	"8"	"1"	"14"	"395"	""	"&"	"395"	"&"
"214"	"183"	"93"	"59"	"35"	"6"	""	"75"	""	"12"	"1"	"6"	"1"	"9"	"297"	""	"&"	"297"	"&"
"215"	"184"	"71"	"68"	"30"	"6"	""	"179"	""	"19"	"8"	"9"	"10"	"17"	"417"	""	"&"	"417"	"&"
"216"	"185"	"28"	"226"	"193"	"17"	""	"20"	""	"3"	"7"	"3"	"2"	"6"	"505"	""	"&"	"505"	"&"
"217"	"186"	"84"	"152"	"73"	"6"	""	"22"	""	"7"	"6"	"5"	"16"	"32"	"403"	""	"&"	"403"	"&"
"218"	"187"	"18"	"22"	"35"	"5"	""	"80"	""	"3"	"0"	"3"	"0"	"7"	"173"	""	"&"	"173"	"&"
"219"	"188"	"19"	"47"	"31"	"6"	""	"143"	""	"2"	"3"	"7"	"2"	"7"	"267"	""	"&"	"267"	"&"
"220"	"189"	"29"	"23"	"93"	"10"	""	"36"	""	"6"	"3"	"4"	"2"	"4"	"210"	""	"&"	"210"	"&"
"221"	"190"	"85"	"297"	"75"	"0"	""	"14"	""	"1"	"1"	"3"	"5"	"4"	"485"	""	"&"	"485"	"&"
"222"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"224"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"225"	"190A"	"33"	"154"	"85"	"1"	""	"26"	""	"1"	"0"	"2"	"1"	"1"	"304"	""	"&"	"304"	"&"
"226"	"191"	"142"	"79"	"69"	"8"	""	"16"	""	"9"	"3"	"8"	"5"	"16"	"355"	""	"&"	"355"	"&"
"227"	"192"	"43"	"262"	"34"	"8"	""	"65"	""	"9"	"6"	"9"	"6"	"14"	"456"	""	"&"	"456"	"&"
"228"	"192A"	"38"	"55"	"12"	"1"	""	"94"	""	"11"	"4"	"7"	"2"	"6"	"230"	""	"&"	"230"	"&"
"229"	"193"	"10"	"51"	"115"	"1"	""	"4"	""	"1"	"0"	"3"	"0"	"5"	"190"	""	"&"	"190"	"&"
"230"	"194"	"69"	"103"	"124"	"14"	""	"92"	""	"10"	"1"	"16"	"4"	"5"	"438"	""	"&"	"438"	"&"
"231"	"195"	"167"	"112"	"97"	"10"	""	"24"	""	"13"	"9"	"11"	"7"	"13"	"463"	""	"&"	"463"	"&"
"232"	"196"	"13"	"97"	"33"	"6"	""	"71"	""	"7"	"5"	"8"	"2"	"6"	"248"	""	"&"	"248"	"&"
"233"	"197"	"123"	"207"	"78"	"5"	""	"47"	""	"14"	"2"	"5"	"1"	"6"	"488"	""	"&"	"488"	"&"
"234"	"198"	"32"	"398"	"79"	"99"	""	"68"	""	"16"	"6"	"9"	"13"	"14"	"734"	""	"&"	"734"	"&"
"235"	"199"	"38"	"115"	"14"	"6"	""	"153"	""	"14"	"3"	"5"	"2"	"4"	"354"	""	"&"	"354"	"&"
"236"	"200"	"77"	"128"	"91"	"16"	""	"73"	""	"17"	"6"	"11"	"4"	"9"	"432"	""	"&"	"432"	"&"
"237"	"201"	"22"	"68"	"20"	"12"	""	"256"	""	"29"	"6"	"26"	"4"	"10"	"453"	""	"&"	"453"	"&"
"238"	"202"	"35"	"110"	"20"	"7"	""	"294"	""	"20"	"3"	"18"	"5"	"10"	"522"	""	"&"	"522"	"&"
"239"	"203"	"76"	"192"	"50"	"10"	""	"130"	""	"13"	"6"	"17"	"9"	"23"	"526"	""	"&"	"526"	"&"
"240"	"204"	"17"	"99"	"48"	"5"	""	"133"	""	"1"	"1"	"3"	"2"	"1"	"310"	""	"&"	"310"	"&"
"241"	"205"	"43"	"111"	"93"	"6"	""	"167"	""	"20"	"10"	"24"	"6"	"12"	"492"	""	"&"	"492"	"&"
"242"	"206"	"20"	"85"	"121"	"7"	""	"192"	""	"23"	"8"	"14"	"16"	"22"	"508"	""	"&"	"508"	"&"
"243"	"206A"	"13"	"45"	"11"	"4"	""	"152"	""	"10"	"4"	"14"	"6"	"12"	"271"	""	"&"	"271"	"&"
"244"	"207"	"27"	"117"	"42"	"11"	""	"195"	""	"26"	"6"	"23"	"4"	"34"	"485"	""	"&"	"485"	"&"
"245"	"208"	"53"	"87"	"8"	"11"	""	"125"	""	"5"	"4"	"6"	"4"	"13"	"316"	""	"&"	"316"	"&"
"246"	"209"	"103"	"160"	"181"	"26"	""	"110"	""	"31"	"20"	"19"	"16"	"14"	"680"	""	"&"	"680"	"&"
"247"	"210"	"65"	"105"	"193"	"21"	""	"116"	""	"26"	"7"	"26"	"13"	"9"	"581"	""	"&"	"581"	"&"
"248"	"211"	"5"	"18"	"46"	"10"	""	"221"	""	"48"	"6"	"10"	"5"	"2"	"371"	""	"&"	"371"	"&"
"249"	"212"	"13"	"124"	"79"	"13"	""	"21"	""	"9"	"2"	"6"	"6"	"9"	"282"	""	"&"	"282"	"&"
"250"	"213"	"59"	"129"	"154"	"39"	""	"219"	""	"44"	"19"	"30"	"21"	"45"	"759"	""	"&"	"759"	"&"
"251"	"214"	"174"	"59"	"113"	"8"	""	"67"	""	"15"	"6"	"14"	"11"	"25"	"492"	""	"&"	"492"	"&"
"252"	"215"	"16"	"65"	"53"	"5"	""	"147"	""	"14"	"3"	"17"	"3"	"10"	"333"	""	"&"	"333"	"&"
"253"	"216"	"24"	"60"	"99"	"14"	""	"86"	""	"14"	"5"	"18"	"6"	"4"	"330"	""	"&"	"330"	"&"
"254"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Sl. No. of Polling Stations."	"ARJUN MANDAL"	"PHALGUNI PRASAD YADAV"	"BIJAY SINGH"	"BIRENDRA KUMAR DAS"	""	"BIRENDRA PRADHAN"	""	"GOVIND HAZRA"	"VIJAY SHANKAR YADAV"	"DEVANAND MANJHI"	"SHIVAN MANJHI"	"SHYAM NATH CHOUDHAR Y"	"Total of valid
votes"	""	"No. of rejected
votes"	"Total"	"No. of tendere
d votes"
"256"	""	"1"	"2"	"3"	"4"	""	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	"12"	"13"	"14"
"257"	"217"	"20"	"73"	"98"	"9"	""	"38"	""	"7"	"6"	"6"	"4"	"9"	"270"	""	"&"	"270"	"&"
"258"	"218"	"24"	"61"	"94"	"10"	""	"67"	""	"10"	"8"	"11"	"4"	"16"	"305"	""	"&"	"305"	"&"
"259"	"219"	"9"	"60"	"18"	"2"	""	"15"	""	"1"	"2"	"1"	"2"	"3"	"113"	""	"&"	"113"	"&"
"260"	"220"	"9"	"62"	"121"	"7"	""	"64"	""	"8"	"3"	"5"	"1"	"1"	"281"	""	"&"	"281"	"&"
"261"	"221"	"68"	"97"	"102"	"15"	""	"150"	""	"34"	"9"	"17"	"5"	"9"	"506"	""	"&"	"506"	"&"
"262"	"222"	"23"	"133"	"81"	"10"	""	"7"	""	"7"	"1"	"5"	"2"	"8"	"277"	""	"&"	"277"	"&"
"263"	"223"	"41"	"76"	"137"	"11"	""	"20"	""	"9"	"8"	"10"	"9"	"18"	"339"	""	"&"	"339"	"&"
"264"	"223A"	"51"	"55"	"104"	"12"	""	"24"	""	"7"	"6"	"12"	"10"	"31"	"312"	""	"&"	"312"	"&"
"265"	"224"	"52"	"81"	"45"	"16"	""	"26"	""	"5"	"0"	"2"	"2"	"3"	"232"	""	"&"	"232"	"&"
"266"	"225"	"49"	"128"	"124"	"10"	""	"89"	""	"5"	"3"	"17"	"3"	"3"	"431"	""	"&"	"431"	"&"
"267"	"226"	"16"	"16"	"155"	"8"	""	"93"	""	"7"	"5"	"5"	"2"	"16"	"323"	""	"&"	"323"	"&"
"268"	"227"	"&"	"&"	"&"	"&"	""	"&"	""	"&"	"&"	"&"	"&"	"&"	"0"	""	"&"	"0"	"&"
"269"	"228"	"78"	"37"	"60"	"17"	""	"78"	""	"9"	"6"	"14"	"2"	"11"	"312"	""	"&"	"312"	"&"
"270"	"229"	"42"	"206"	"221"	"30"	""	"12"	""	"8"	"7"	"10"	"4"	"7"	"547"	""	"&"	"547"	"&"
"271"	"230"	"102"	"209"	"171"	"17"	""	"47"	""	"10"	"5"	"12"	"5"	"10"	"588"	""	"&"	"588"	"&"
"272"	"231"	"89"	"126"	"42"	"8"	""	"28"	""	"8"	"3"	"3"	"5"	"14"	"326"	""	"&"	"326"	"&"
"273"	"232"	"36"	"84"	"52"	"13"	""	"150"	""	"12"	"6"	"10"	"8"	"29"	"400"	""	"&"	"400"	"&"
"274"	"Total Votes"	"19292"	"24975"	"18575"	"2425"	""	"17050"	""	"3649"	"997"	"2064"	"1177"	"2851"	"93055"	""	"&"	"-93055"	"&"
"275"	"Total no. of votes recorded at polling Stations"	""	""	""	""	"-   93055"	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"No of voters recorded on postal papers"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Grand Total"	""	""	""	""	"93055"	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Place ………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Date  …………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
