"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"220"	"Current Round Total"	"1088"	"99"	"2902"	"1110"	"104"	"101"	"97"	"112"	"218"	"5831"	"0"	"5831"	"0"
"221"	"Previous Round Total"	"10118"	"942"	"16347"	"16423"	"1087"	"838"	"1020"	"885"	"2045"	"49705"	"0"	"49705"	"0"
"222"	"TOTAL"	"11206"	"1041"	"19249"	"17533"	"1191"	"939"	"1117"	"997"	"2263"	"55536"	"0"	"55536"	"0"
"223"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"229"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"231"	"116"	"37"	"7"	"122"	"181"	"10"	"7"	"5"	"10"	"81"	"460"	""	"460"	""
"232"	"117"	"38"	"7"	"115"	"200"	"48"	"30"	"14"	"14"	"69"	"535"	""	"535"	""
"233"	"118"	"251"	"20"	"329"	"60"	"9"	"29"	"5"	"9"	"9"	"721"	""	"721"	""
"234"	"119"	"52"	"24"	"478"	"45"	"6"	"10"	"4"	"4"	"11"	"634"	""	"634"	""
"235"	"120"	"128"	"10"	"121"	"225"	"19"	"14"	"21"	"10"	"14"	"562"	""	"562"	""
"236"	"121"	"44"	"8"	"87"	"239"	"6"	"13"	"5"	"1"	"4"	"407"	""	"407"	""
"237"	"122"	"161"	"14"	"165"	"202"	"25"	"13"	"15"	"12"	"18"	"625"	""	"625"	""
"238"	"123"	"36"	"9"	"134"	"37"	"3"	"2"	"5"	"6"	"15"	"247"	""	"247"	""
"239"	"124"	"56"	"12"	"292"	"69"	"11"	"13"	"27"	"19"	"56"	"555"	""	"555"	""
"240"	"125"	"38"	"4"	"177"	"10"	"5"	"6"	"3"	"0"	"9"	"252"	""	"252"	""
"241"	"126"	"293"	"11"	"170"	"12"	"9"	"6"	"5"	"9"	"11"	"526"	""	"526"	""
"242"	"127"	"101"	"8"	"243"	"74"	"8"	"5"	"10"	"6"	"2"	"457"	""	"457"	""
"243"	"128"	"97"	"9"	"251"	"46"	"5"	"8"	"15"	"7"	"12"	"450"	""	"450"	""
"244"	"129"	"204"	"2"	"46"	"137"	"23"	"16"	"10"	"15"	"25"	"478"	""	"478"	""
"245"	"Current Round Total"	"1536"	"145"	"2730"	"1537"	"187"	"172"	"144"	"122"	"336"	"6909"	"0"	"6909"	"0"
"246"	"Previous Round Total"	"11206"	"1041"	"19249"	"17533"	"1191"	"939"	"1117"	"997"	"2263"	"55536"	"0"	"55536"	"0"
"247"	"TOTAL"	"12742"	"1186"	"21979"	"19070"	"1378"	"1111"	"1261"	"1119"	"2599"	"62445"	"0"	"62445"	"0"
"248"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"254"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"256"	"130"	"343"	"14"	"22"	"28"	"13"	"3"	"1"	"12"	"3"	"439"	""	"439"	""
"257"	"131"	"307"	"13"	"71"	"77"	"13"	"4"	"5"	"14"	"47"	"551"	""	"551"	""
"258"	"132"	"203"	"7"	"12"	"77"	"13"	"4"	"5"	"12"	"16"	"349"	""	"349"	""
"259"	"133"	"144"	"10"	"77"	"109"	"7"	"5"	"2"	"1"	"9"	"364"	""	"364"	""
"260"	"134"	"280"	"6"	"48"	"25"	"8"	"5"	"3"	"12"	"101"	"488"	""	"488"	""
"261"	"135"	"62"	"6"	"184"	"208"	"9"	"8"	"7"	"4"	"20"	"508"	""	"508"	""
"262"	"136"	"100"	"9"	"136"	"117"	"19"	"9"	"9"	"9"	"10"	"418"	""	"418"	""
"263"	"137"	"303"	"23"	"242"	"28"	"16"	"6"	"4"	"4"	"14"	"640"	""	"640"	""
"264"	"138"	"284"	"11"	"23"	"114"	"14"	"1"	"3"	"14"	"9"	"473"	""	"473"	""
"265"	"139"	"172"	"8"	"41"	"48"	"8"	"1"	"4"	"7"	"20"	"309"	""	"309"	""
"266"	"140"	"289"	"9"	"33"	"72"	"15"	"5"	"8"	"16"	"42"	"489"	""	"489"	""
"267"	"141"	"142"	"4"	"4"	"25"	"1"	"1"	"1"	"0"	"14"	"192"	""	"192"	""
"268"	"142"	"250"	"10"	"18"	"236"	"13"	"67"	"9"	"12"	"18"	"633"	""	"633"	""
"269"	"143"	"217"	"4"	"14"	"104"	"3"	"17"	"4"	"4"	"34"	"401"	""	"401"	""
"270"	"Current Round Total"	"3096"	"134"	"925"	"1268"	"152"	"136"	"65"	"121"	"357"	"6254"	"0"	"6254"	"0"
"271"	"Previous Round Total"	"12742"	"1186"	"21979"	"19070"	"1378"	"1111"	"1261"	"1119"	"2599"	"62445"	"0"	"62445"	"0"
"272"	"TOTAL"	"15838"	"1320"	"22904"	"20338"	"1530"	"1247"	"1326"	"1240"	"2956"	"68699"	"0"	"68699"	"0"
"273"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"279"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"281"	"143A"	"354"	"9"	"5"	"42"	"9"	"17"	"6"	"10"	"18"	"470"	""	"470"	""
"282"	"144"	"359"	"13"	"72"	"68"	"12"	"5"	"9"	"7"	"9"	"554"	""	"554"	""
"283"	"145"	"135"	"1"	"92"	"45"	"13"	"6"	"8"	"14"	"27"	"341"	""	"341"	""
"284"	"146"	"428"	"18"	"45"	"18"	"9"	"4"	"6"	"7"	"8"	"543"	""	"543"	""
"285"	"147"	"103"	"5"	"118"	"79"	"4"	"12"	"3"	"5"	"3"	"332"	""	"332"	""
"286"	"148"	"105"	"6"	"95"	"16"	"4"	"2"	"1"	"2"	"2"	"233"	""	"233"	""
"287"	"149"	"53"	"8"	"159"	"133"	"8"	"8"	"3"	"11"	"8"	"391"	""	"391"	""
"288"	"150"	"147"	"11"	"296"	"16"	"13"	"12"	"10"	"10"	"7"	"522"	""	"522"	""
"289"	"151"	"32"	"4"	"145"	"14"	"16"	"4"	"9"	"4"	"11"	"239"	""	"239"	""
"290"	"152"	"118"	"4"	"164"	"57"	"3"	"5"	"6"	"2"	"1"	"360"	""	"360"	""
"291"	"153"	"107"	"4"	"66"	"219"	"10"	"8"	"6"	"6"	"3"	"429"	""	"429"	""
"292"	"154"	"211"	"22"	"196"	"61"	"16"	"8"	"19"	"27"	"22"	"582"	""	"582"	""
"293"	"155"	"290"	"9"	"9"	"137"	"24"	"10"	"4"	"12"	"13"	"508"	""	"508"	""
"294"	"156"	"243"	"12"	"39"	"62"	"10"	"6"	"4"	"12"	"16"	"404"	""	"404"	""
"295"	"Current Round Total"	"2685"	"126"	"1501"	"967"	"151"	"107"	"94"	"129"	"148"	"5908"	"0"	"5908"	"0"
"296"	"Previous Round Total"	"15838"	"1320"	"22904"	"20338"	"1530"	"1247"	"1326"	"1240"	"2956"	"68699"	"0"	"68699"	"0"
"297"	"TOTAL"	"18523"	"1446"	"24405"	"21305"	"1681"	"1354"	"1420"	"1369"	"3104"	"74607"	"0"	"74607"	"0"
"298"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"304"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"306"	"157"	"191"	"9"	"91"	"200"	"9"	"34"	"13"	"9"	"9"	"565"	""	"565"	""
"307"	"158"	"314"	"5"	"148"	"15"	"10"	"4"	"10"	"10"	"12"	"528"	""	"528"	""
"308"	"159"	"307"	"10"	"13"	"54"	"4"	"4"	"6"	"11"	"13"	"422"	""	"422"	""
"309"	"159A"	"319"	"13"	"22"	"8"	"10"	"2"	"3"	"10"	"11"	"398"	""	"398"	""
"310"	"160"	"453"	"10"	"89"	"38"	"8"	"10"	"9"	"20"	"43"	"680"	""	"680"	""
"311"	"161"	"608"	"20"	"14"	"53"	"10"	"8"	"4"	"12"	"9"	"738"	""	"738"	""
"312"	"162"	"152"	"8"	"2"	"149"	"10"	"3"	"4"	"6"	"12"	"346"	""	"346"	""
"313"	"163"	"61"	"14"	"202"	"209"	"14"	"18"	"14"	"8"	"24"	"564"	""	"564"	""
"314"	"164"	"54"	"12"	"182"	"266"	"6"	"20"	"20"	"15"	"16"	"591"	""	"591"	""
"315"	"165"	"29"	"12"	"498"	"79"	"13"	"15"	"5"	"6"	"5"	"662"	""	"662"	""
"316"	"166"	"37"	"10"	"365"	"57"	"8"	"4"	"10"	"4"	"14"	"509"	""	"509"	""
"317"	"167"	"73"	"10"	"190"	"111"	"9"	"3"	"9"	"6"	"1"	"412"	""	"412"	""
"318"	"168"	"9"	"1"	"133"	"88"	"4"	"1"	"6"	"5"	"7"	"254"	""	"254"	""
"319"	"169"	"27"	"3"	"108"	"293"	"14"	"11"	"16"	"9"	"19"	"500"	""	"500"	""
"320"	"Current Round Total"	"2634"	"137"	"2057"	"1620"	"129"	"137"	"129"	"131"	"195"	"7169"	"0"	"7169"	"0"
"321"	"Previous Round Total"	"18523"	"1446"	"24405"	"21305"	"1681"	"1354"	"1420"	"1369"	"3104"	"74607"	"0"	"74607"	"0"
"322"	"TOTAL"	"21157"	"1583"	"26462"	"22925"	"1810"	"1491"	"1549"	"1500"	"3299"	"81776"	"0"	"81776"	"0"
"323"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"329"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"330"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"331"	"170"	"23"	"9"	"112"	"419"	"18"	"15"	"25"	"15"	"20"	"656"	""	"656"	""
"332"	"171"	"36"	"12"	"263"	"126"	"7"	"14"	"24"	"13"	"18"	"513"	""	"513"	""
"333"	"172"	"34"	"5"	"170"	"152"	"11"	"8"	"4"	"7"	"15"	"406"	""	"406"	""
"334"	"173"	"186"	"2"	"93"	"60"	"12"	"5"	"11"	"11"	"15"	"395"	""	"395"	""
"335"	"174"	"65"	"12"	"307"	"39"	"4"	"6"	"17"	"5"	"7"	"462"	""	"462"	""
"336"	"175"	"32"	"8"	"258"	"121"	"9"	"5"	"14"	"5"	"15"	"467"	""	"467"	""
"337"	"176"	"52"	"5"	"187"	"59"	"2"	"6"	"9"	"3"	"2"	"325"	""	"325"	""
"338"	"177"	"34"	"9"	"168"	"72"	"11"	"13"	"7"	"3"	"13"	"330"	""	"330"	""
"339"	"178"	"16"	"8"	"25"	"337"	"16"	"9"	"16"	"3"	"7"	"437"	""	"437"	""
"340"	"179"	"10"	"9"	"83"	"235"	"10"	"10"	"7"	"10"	"11"	"385"	""	"385"	""
"341"	"180"	"33"	"9"	"79"	"245"	"15"	"10"	"13"	"10"	"26"	"440"	""	"440"	""
"342"	"181"	"172"	"13"	"197"	"149"	"12"	"11"	"6"	"5"	"7"	"572"	""	"572"	""
"343"	"182"	"41"	"3"	"147"	"104"	"6"	"5"	"5"	"0"	"4"	"315"	""	"315"	""
"344"	"183"	"234"	"7"	"164"	"64"	"5"	"7"	"8"	"6"	"7"	"502"	""	"502"	""
"345"	"Current Round Total"	"968"	"111"	"2253"	"2182"	"138"	"124"	"166"	"96"	"167"	"6205"	"0"	"6205"	"0"
"346"	"Previous Round Total"	"21157"	"1583"	"26462"	"22925"	"1810"	"1491"	"1549"	"1500"	"3299"	"81776"	"0"	"81776"	"0"
"347"	"TOTAL"	"22125"	"1694"	"28715"	"25107"	"1948"	"1615"	"1715"	"1596"	"3466"	"87981"	"0"	"87981"	"0"
"348"	"(Statutory Rules and Order)                                                      ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"354"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"355"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"356"	"184"	"19"	"4"	"264"	"37"	"5"	"1"	"7"	"1"	"5"	"343"	""	"343"	""
"357"	"185"	"14"	"5"	"137"	"77"	"4"	"2"	"5"	"2"	"15"	"261"	""	"261"	""
"358"	"186"	"56"	"21"	"286"	"51"	"14"	"9"	"7"	"4"	"8"	"456"	""	"456"	""
"359"	"187"	"51"	"5"	"45"	"351"	"16"	"6"	"14"	"11"	"19"	"518"	""	"518"	""
"360"	"188"	"24"	"5"	"112"	"228"	"10"	"4"	"6"	"5"	"7"	"401"	""	"401"	""
"361"	"189"	"24"	"1"	"47"	"145"	"11"	"5"	"7"	"4"	"13"	"257"	""	"257"	""
"362"	"190"	"54"	"9"	"47"	"294"	"11"	"16"	"24"	"23"	"33"	"511"	""	"511"	""
"363"	"191"	"67"	"10"	"101"	"234"	"10"	"13"	"11"	"6"	"12"	"464"	""	"464"	""
"364"	"192"	"49"	"10"	"56"	"392"	"29"	"10"	"13"	"18"	"38"	"615"	""	"615"	""
"365"	"193"	"42"	"25"	"282"	"44"	"4"	"8"	"11"	"7"	"20"	"443"	""	"443"	""
"366"	"194"	"42"	"18"	"142"	"241"	"18"	"12"	"19"	"7"	"13"	"512"	""	"512"	""
"367"	"195"	"65"	"9"	"272"	"115"	"14"	"8"	"14"	"19"	"34"	"550"	""	"550"	""
"368"	"196"	"45"	"3"	"176"	"76"	"9"	"9"	"16"	"10"	"32"	"376"	""	"376"	""
"369"	"197"	"23"	"7"	"93"	"236"	"7"	"4"	"14"	"7"	"14"	"405"	""	"405"	""
"370"	"Current Round Total"	"575"	"132"	"2060"	"2521"	"162"	"107"	"168"	"124"	"263"	"6112"	"0"	"6112"	"0"
"371"	"Previous Round Total"	"22125"	"1694"	"28715"	"25107"	"1948"	"1615"	"1715"	"1596"	"3466"	"87981"	"0"	"87981"	"0"
"372"	"TOTAL"	"22700"	"1826"	"30775"	"27628"	"2110"	"1722"	"1883"	"1720"	"3729"	"94093"	"0"	"94093"	"0"
"373"	"(Statutory Rules and Order)                                                      ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"379"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"381"	"198"	"24"	"7"	"181"	"227"	"6"	"9"	"9"	"4"	"8"	"475"	""	"475"	""
"382"	"199"	"9"	"6"	"238"	"279"	"10"	"8"	"4"	"6"	"8"	"568"	""	"568"	""
"383"	"200"	"44"	"6"	"234"	"16"	"9"	"4"	"2"	"1"	"3"	"319"	""	"319"	""
"384"	"201"	"14"	"8"	"305"	"193"	"3"	"10"	"13"	"6"	"22"	"574"	""	"574"	""
"385"	"202"	"22"	"8"	"281"	"75"	"8"	"16"	"23"	"12"	"36"	"481"	""	"481"	""
"386"	"203"	"302"	"23"	"105"	"63"	"23"	"2"	"6"	"13"	"6"	"543"	""	"543"	""
"387"	"204"	"109"	"13"	"186"	"175"	"19"	"24"	"37"	"16"	"23"	"602"	""	"602"	""
"388"	"205"	"230"	"14"	"104"	"94"	"27"	"15"	"8"	"17"	"10"	"519"	""	"519"	""
"389"	"206"	"38"	"7"	"90"	"26"	"5"	"3"	"6"	"6"	"8"	"189"	""	"189"	""
"390"	"207"	"134"	"18"	"199"	"92"	"9"	"9"	"14"	"6"	"8"	"489"	""	"489"	""
"391"	"207A"	"53"	"8"	"35"	"203"	"12"	"5"	"12"	"10"	"5"	"343"	""	"343"	""
"392"	"208"	"54"	"16"	"409"	"101"	"14"	"28"	"44"	"27"	"66"	"759"	""	"759"	""
"393"	"209"	"126"	"30"	"213"	"63"	"13"	"4"	"16"	"13"	"13"	"491"	""	"491"	""
"394"	"210"	"183"	"6"	"13"	"85"	"7"	"7"	"5"	"6"	"18"	"330"	""	"330"	""
"395"	"Current Round Total"	"1342"	"170"	"2593"	"1692"	"165"	"144"	"199"	"143"	"234"	"6682"	"0"	"6682"	"0"
"396"	"Previous Round Total"	"22700"	"1826"	"30775"	"27628"	"2110"	"1722"	"1883"	"1720"	"3729"	"94093"	"0"	"94093"	"0"
"397"	"TOTAL"	"24042"	"1996"	"33368"	"29320"	"2275"	"1866"	"2082"	"1863"	"3963"	"100775"	"0"	"100775"	"0"
"398"	"(Statutory Rules and Order)                                                      ROUND : SEVENTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"Election to the Bihar Legislative Assembly 2005 from the 127-RANIGANJ (S.C.) Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"404"	""	"ASHOK PASWAN"	"RAM KUMAR BAITHA"	"RAMJI DAS RISHIDEV"	"SHANTI DEVI"	"BUDH DEO RISHIDEO"	"YOGA NAND PRASAD"	"ASHISH KUMAR RISHI"	"ISHWAR DAYAL DAS"	"PARMANAND RISHIDEV"	""	""	""	""
"405"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"406"	"211"	"214"	"19"	"106"	"259"	"17"	"7"	"11"	"10"	"13"	"656"	""	"656"	""
"407"	"212"	"227"	"9"	"14"	"191"	"18"	"4"	"8"	"13"	"9"	"493"	""	"493"	""
"408"	"213"	"100"	"7"	"148"	"79"	"7"	"9"	"21"	"13"	"27"	"411"	""	"411"	""
"409"	"214"	"341"	"18"	"128"	"36"	"22"	"13"	"10"	"18"	"12"	"598"	""	"598"	""
"410"	"215"	"249"	"3"	"82"	"9"	"7"	"7"	"1"	"7"	"3"	"368"	""	"368"	""
"411"	"216"	"200"	"12"	"119"	"79"	"11"	"7"	"7"	"15"	"15"	"465"	""	"465"	""
"412"	"217"	"288"	"16"	"67"	"12"	"8"	"6"	"5"	"10"	"23"	"435"	""	"435"	""
"413"	"217A"	"167"	"11"	"143"	"14"	"8"	"6"	"5"	"7"	"21"	"382"	""	"382"	""
"414"	"218"	"382"	"14"	"6"	"38"	"15"	"6"	"5"	"15"	"29"	"510"	""	"510"	""
"415"	"219"	"76"	"3"	"148"	"85"	"9"	"5"	"8"	"2"	"3"	"339"	""	"339"	""
"416"	"220"	"91"	"2"	"6"	"189"	"7"	"4"	"2"	"0"	"9"	"310"	""	"310"	""
"417"	"221"	"191"	"10"	"168"	"81"	"20"	"12"	"7"	"10"	"25"	"524"	""	"524"	""
"418"	"222"	"204"	"11"	"226"	"67"	"8"	"3"	"7"	"7"	"9"	"542"	""	"542"	""
"419"	"223"	"91"	"5"	"67"	"231"	"13"	"16"	"12"	"10"	"27"	"472"	""	"472"	""
"420"	"Current Round Total"	"2821"	"140"	"1428"	"1370"	"170"	"105"	"109"	"137"	"225"	"6505"	"0"	"6505"	"0"
"421"	"Previous Round Total"	"24042"	"1996"	"33368"	"29320"	"2275"	"1866"	"2082"	"1863"	"3963"	"100775"	"0"	"100775"	"0"
"422"	"TOTAL"	"26863"	"2136"	"34796"	"30690"	"2445"	"1971"	"2191"	"2000"	"4188"	"107280"	"0"	"107280"	"0"
