"ç.Ik.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"176"	"134"	"23"	"50"	"21"	"46"	"1"	"0"	"0"	"2"	"1"	"5"	"47"	"0"	"2"	"198"	"0"	"198"	"0"
"177"	"135"	"64"	"164"	"7"	"408"	"3"	"2"	"2"	"0"	"3"	"1"	"2"	"5"	"4"	"665"	"0"	"665"	"0"
"178"	"136"	"45"	"91"	"15"	"111"	"1"	"1"	"1"	"3"	"0"	"4"	"15"	"11"	"8"	"306"	"0"	"306"	"0"
"179"	"137"	"106"	"85"	"42"	"218"	"11"	"1"	"1"	"3"	"1"	"6"	"4"	"3"	"6"	"487"	"0"	"487"	"0"
"180"	"138"	"22"	"154"	"8"	"88"	"1"	"4"	"3"	"0"	"1"	"1"	"2"	"10"	"18"	"312"	"0"	"312"	"0"
"181"	"139"	"108"	"35"	"21"	"292"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"7"	"473"	"0"	"473"	"0"
"182"	"140"	"68"	"311"	"81"	"50"	"8"	"7"	"3"	"5"	"2"	"2"	"18"	"13"	"13"	"581"	"0"	"581"	"0"
"183"	"141"	"6"	"177"	"7"	"70"	"1"	"5"	"1"	"1"	"0"	"1"	"2"	"9"	"3"	"283"	"0"	"283"	"0"
"184"	"141 d"	"65"	"119"	"17"	"138"	"37"	"6"	"2"	"3"	"2"	"1"	"2"	"6"	"3"	"401"	"0"	"401"	"0"
"185"	"dqy%&"	"6617"	"24193"	"6862"	"17306"	"2827"	"400"	"168"	"266"	"167"	"240"	"1070"	"810"	"919"	"61845"	"0"	"61845"	"0"
"186"	"B.F."	"6617"	"24193"	"6862"	"17306"	"2827"	"400"	"168"	"266"	"167"	"240"	"1070"	"810"	"919"	"61845"	"0"	"61845"	"0"
"187"	"142"	"32"	"273"	"24"	"26"	"7"	"3"	"0"	"2"	"0"	"1"	"0"	"4"	"3"	"375"	"0"	"375"	"0"
"188"	"143"	"3"	"328"	"61"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"2"	"5"	"3"	"407"	"0"	"407"	"0"
"189"	"144"	"106"	"102"	"9"	"51"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"6"	"6"	"286"	"0"	"286"	"0"
"190"	"144 d"	"97"	"170"	"18"	"10"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"303"	"0"	"303"	"0"
"191"	"145"	"118"	"155"	"69"	"158"	"14"	"2"	"3"	"2"	"2"	"3"	"5"	"7"	"12"	"550"	"0"	"550"	"0"
"192"	"146"	"6"	"252"	"65"	"2"	"1"	"0"	"2"	"0"	"0"	"2"	"1"	"5"	"4"	"340"	"0"	"340"	"0"
"193"	"147"	"2"	"40"	"8"	"473"	"10"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"8"	"549"	"0"	"549"	"0"
"194"	"148"	"53"	"39"	"27"	"199"	"13"	"2"	"2"	"2"	"4"	"7"	"1"	"5"	"12"	"366"	"0"	"366"	"0"
"195"	"149"	"26"	"33"	"16"	"100"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"2"	"3"	"186"	"0"	"186"	"0"
"196"	"150"	"13"	"257"	"101"	"32"	"7"	"4"	"1"	"4"	"1"	"0"	"1"	"2"	"0"	"423"	"0"	"423"	"0"
"197"	"151"	"14"	"53"	"37"	"15"	"12"	"0"	"0"	"0"	"1"	"2"	"6"	"5"	"3"	"148"	"0"	"148"	"0"
"198"	"151 d"	"0"	"69"	"36"	"58"	"1"	"2"	"0"	"0"	"0"	"0"	"19"	"0"	"0"	"185"	"0"	"185"	"0"
"199"	"152"	"11"	"18"	"160"	"59"	"3"	"1"	"1"	"0"	"0"	"1"	"7"	"0"	"3"	"264"	"0"	"264"	"0"
"200"	"152 d"	"8"	"7"	"125"	"116"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"260"	"0"	"260"	"0"
"201"	"dqy%&"	"7106"	"25989"	"7618"	"18606"	"2898"	"424"	"180"	"278"	"177"	"260"	"1115"	"857"	"979"	"66487"	"0"	"66487"	"0"
"202"	"B.F."	"7106"	"25989"	"7618"	"18606"	"2898"	"424"	"180"	"278"	"177"	"260"	"1115"	"857"	"979"	"66487"	"0"	"66487"	""
"203"	"153"	"8"	"188"	"5"	"70"	"60"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"333"	"0"	"333"	"0"
"204"	"154"	"4"	"450"	"29"	"43"	"34"	"1"	"1"	"5"	"0"	"1"	"9"	"9"	"9"	"595"	"0"	"595"	"0"
"205"	"155"	"13"	"90"	"31"	"322"	"3"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"466"	"0"	"466"	"0"
"206"	"156"	"5"	"78"	"88"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"203"	"0"	"203"	"0"
"207"	"157"	"1"	"84"	"194"	"85"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"366"	"0"	"366"	"0"
"208"	"157 d"	"17"	"178"	"96"	"94"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"393"	"0"	"393"	"0"
"209"	"158"	"35"	"76"	"46"	"102"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"268"	"0"	"268"	"0"
"210"	"158 d"	"6"	"56"	"21"	"62"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"148"	"0"	"148"	"0"
"211"	"159"	"27"	"206"	"43"	"2"	"1"	"3"	"1"	"0"	"1"	"0"	"3"	"3"	"0"	"290"	"0"	"290"	"0"
"212"	"160"	"7"	"294"	"43"	"192"	"5"	"2"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"550"	"0"	"550"	"0"
"213"	"161"	"0"	"5"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"28"	"0"	"28"	"0"
"214"	"162"	"20"	"403"	"116"	"22"	"24"	"2"	"3"	"1"	"1"	"1"	"3"	"8"	"5"	"609"	"0"	"609"	"0"
"215"	"163"	"34"	"119"	"16"	"228"	"3"	"2"	"0"	"1"	"1"	"2"	"4"	"5"	"1"	"416"	"0"	"416"	"0"
"216"	"164"	"10"	"143"	"7"	"45"	"0"	"0"	"4"	"1"	"0"	"0"	"11"	"4"	"2"	"227"	"0"	"227"	"0"
"217"	"dqy%&"	"7293"	"28359"	"8375"	"19900"	"3038"	"444"	"189"	"287"	"181"	"267"	"1147"	"896"	"1003"	"71379"	"0"	"71379"	"0"
"218"	"B.F."	"7293"	"28359"	"8375"	"19900"	"3038"	"444"	"189"	"287"	"181"	"267"	"1147"	"896"	"1003"	"71379"	"0"	"71379"	"0"
"219"	"165"	"17"	"51"	"144"	"43"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"257"	"0"	"257"	"0"
"220"	"166"	"4"	"81"	"64"	"12"	"8"	"2"	"0"	"1"	"1"	"0"	"4"	"3"	"3"	"183"	"0"	"183"	"0"
"221"	"167"	"33"	"116"	"79"	"346"	"7"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"583"	"0"	"583"	"0"
"222"	"168"	"42"	"226"	"16"	"50"	"6"	"2"	"3"	"3"	"1"	"0"	"4"	"8"	"5"	"366"	"0"	"366"	"0"
"223"	"168 d"	"24"	"135"	"11"	"96"	"2"	"6"	"0"	"1"	"0"	"2"	"6"	"10"	"8"	"301"	"0"	"301"	"0"
"224"	"169"	"18"	"110"	"16"	"89"	"1"	"2"	"3"	"3"	"1"	"1"	"17"	"3"	"1"	"265"	"0"	"265"	"0"
"225"	"169 d"	"23"	"69"	"16"	"134"	"49"	"2"	"1"	"2"	"1"	"8"	"14"	"5"	"7"	"331"	"0"	"331"	"0"
"226"	"170"	"5"	"88"	"173"	"7"	"19"	"3"	"1"	"0"	"0"	"1"	"3"	"7"	"3"	"310"	"0"	"310"	"0"
"227"	"170 d"	"9"	"202"	"66"	"11"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"3"	"3"	"299"	"0"	"299"	"0"
"228"	"171"	"9"	"221"	"141"	"139"	"23"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"536"	"0"	"536"	"0"
"229"	"172"	"10"	"128"	"110"	"14"	"17"	"2"	"0"	"0"	"1"	"0"	"0"	"3"	"2"	"287"	"0"	"287"	"0"
"230"	"172 d"	"123"	"80"	"70"	"97"	"26"	"2"	"1"	"3"	"0"	"4"	"1"	"4"	"9"	"420"	"0"	"420"	"0"
"231"	"173"	"3"	"124"	"47"	"33"	"27"	"0"	"0"	"1"	"1"	"1"	"0"	"5"	"3"	"245"	"0"	"245"	"0"
"232"	"173 d"	"21"	"157"	"78"	"47"	"3"	"2"	"5"	"2"	"1"	"4"	"9"	"9"	"13"	"351"	"0"	"351"	"0"
"233"	"dqy%&"	"7634"	"30147"	"9406"	"21018"	"3226"	"467"	"203"	"303"	"190"	"292"	"1208"	"958"	"1061"	"76113"	"0"	"76113"	"0"
"234"	"B.F."	"7634"	"30147"	"9406"	"21018"	"3226"	"467"	"203"	"303"	"190"	"292"	"1208"	"958"	"1061"	"76113"	"0"	"76113"	"0"
"235"	"174"	"133"	"26"	"40"	"10"	"23"	"4"	"1"	"4"	"1"	"1"	"2"	"2"	"4"	"251"	"0"	"251"	"0"
"236"	"174 d"	"45"	"180"	"89"	"8"	"7"	"0"	"0"	"2"	"0"	"1"	"3"	"3"	"1"	"339"	"0"	"339"	"0"
"237"	"175"	"73"	"72"	"13"	"193"	"53"	"2"	"2"	"4"	"3"	"5"	"169"	"2"	"11"	"602"	"0"	"602"	"0"
"238"	"176"	"40"	"233"	"205"	"32"	"27"	"4"	"2"	"12"	"2"	"5"	"12"	"24"	"29"	"627"	"0"	"627"	"0"
"239"	"177"	"20"	"287"	"265"	"50"	"10"	"0"	"5"	"7"	"2"	"4"	"2"	"11"	"10"	"673"	"0"	"673"	"0"
"240"	"178"	"11"	"31"	"51"	"212"	"3"	"0"	"0"	"1"	"0"	"3"	"0"	"2"	"0"	"314"	"0"	"314"	"0"
"241"	"179"	"14"	"316"	"87"	"13"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"460"	"0"	"460"	"0"
"242"	"180"	"39"	"109"	"16"	"43"	"75"	"2"	"0"	"2"	"1"	"5"	"7"	"3"	"2"	"304"	"0"	"304"	"0"
"243"	"181"	"74"	"97"	"35"	"79"	"2"	"2"	"1"	"0"	"0"	"2"	"9"	"1"	"1"	"303"	"0"	"303"	"0"
"244"	"181 d"	"42"	"28"	"14"	"58"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"147"	"0"	"147"	"0"
"245"	"182"	"57"	"185"	"39"	"52"	"54"	"6"	"4"	"4"	"4"	"3"	"17"	"3"	"3"	"431"	"0"	"431"	"0"
"246"	"183"	"29"	"242"	"36"	"189"	"32"	"4"	"1"	"1"	"1"	"28"	"20"	"4"	"1"	"588"	"0"	"588"	"0"
"247"	"184"	"68"	"79"	"8"	"335"	"27"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"0"	"522"	"0"	"522"	"0"
"248"	"185"	"23"	"127"	"19"	"279"	"3"	"0"	"1"	"1"	"0"	"1"	"23"	"2"	"2"	"481"	"0"	"481"	"0"
"249"	"dqy%&"	"8302"	"32159"	"10323"	"22571"	"3573"	"492"	"221"	"343"	"205"	"350"	"1474"	"1017"	"1125"	"82155"	"0"	"82155"	"0"
"250"	"B.F."	"8302"	"32159"	"10323"	"22571"	"3573"	"492"	"221"	"343"	"205"	"350"	"1474"	"1017"	"1125"	"82155"	"0"	"82155"	"0"
"251"	"186"	"19"	"126"	"203"	"25"	"22"	"7"	"1"	"1"	"2"	"3"	"10"	"0"	"1"	"420"	"0"	"420"	"0"
"252"	"187"	"1"	"88"	"90"	"1"	"2"	"0"	"1"	"4"	"1"	"0"	"0"	"0"	"1"	"189"	"0"	"189"	"0"
"253"	"188"	"26"	"61"	"136"	"94"	"17"	"4"	"6"	"1"	"0"	"0"	"9"	"8"	"9"	"371"	"0"	"371"	"0"
"254"	"189"	"0"	"0"	"2"	"595"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"600"	"0"	"600"	"0"
"255"	"190"	"336"	"75"	"52"	"139"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"603"	"0"	"603"	"0"
"256"	"191"	"20"	"148"	"110"	"26"	"67"	"8"	"8"	"8"	"4"	"8"	"16"	"14"	"12"	"449"	"0"	"449"	"0"
"257"	"192"	"2"	"8"	"2"	"444"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"464"	"0"	"464"	"0"
"258"	"193"	"4"	"5"	"1"	"573"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"585"	"0"	"585"	"0"
"259"	"194"	"133"	"25"	"12"	"86"	"5"	"2"	"1"	"3"	"2"	"4"	"0"	"4"	"24"	"301"	"0"	"301"	"0"
"260"	"195"	"59"	"162"	"78"	"120"	"3"	"1"	"2"	"3"	"0"	"0"	"3"	"4"	"2"	"437"	"0"	"437"	"0"
"261"	"196"	"114"	"30"	"4"	"99"	"10"	"0"	"0"	"1"	"0"	"0"	"5"	"0"	"5"	"268"	""	"268"	""
"262"	"196 d"	"160"	"84"	"45"	"19"	"22"	"1"	"1"	"4"	"1"	"0"	"5"	"1"	"2"	"345"	"0"	"345"	"0"
"263"	"197"	"19"	"131"	"52"	"253"	"4"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"6"	"469"	"0"	"469"	"0"
"264"	"198"	"106"	"92"	"7"	"105"	"6"	"2"	"2"	"2"	"2"	"1"	"6"	"3"	"4"	"338"	"0"	"338"	"0"
"265"	"dqy%&"	"9301"	"33194"	"11117"	"25150"	"3740"	"519"	"243"	"371"	"217"	"366"	"1532"	"1051"	"1193"	"87994"	"0"	"87994"	"0"
"266"	"B.F."	"9301"	"33194"	"11117"	"25150"	"3740"	"519"	"243"	"371"	"217"	"366"	"1532"	"1051"	"1193"	"87994"	"0"	"87994"	"0"
"267"	"199"	"6"	"114"	"131"	"57"	"4"	"1"	"0"	"3"	"0"	"2"	"1"	"5"	"9"	"333"	"0"	"333"	"0"
"268"	"199 d"	"29"	"267"	"96"	"56"	"43"	"5"	"2"	"1"	"2"	"4"	"7"	"13"	"11"	"536"	"0"	"536"	"0"
"269"	"200"	"3"	"235"	"101"	"108"	"26"	"1"	"0"	"2"	"0"	"1"	"5"	"5"	"1"	"488"	"0"	"488"	"0"
"270"	";ksx%&"	"9339"	"33810"	"11445"	"25371"	"3813"	"526"	"245"	"377"	"219"	"373"	"1545"	"1074"	"1214"	"89351"	"0"	"89351"	"0"
"271"	"Mkad erksa dh la[;k"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"272"	"dqy ;ksx%&"	"9339"	"33810"	"11445"	"25371"	"3813"	"526"	"245"	"377"	"219"	"373"	"1545"	"1074"	"1214"	"89351"	"0"	"89351"	"0"
"273"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"L Fkku &       vjoy"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"89351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"rkfj[k&"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"38678"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
