"187"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"188"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"189"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"190"	"iwoZ i`\"V
dk ;ksx"	"26730"	"4333"	"1440"	"18303"	"685"	""	"457"	"824"	"703"	"561"	"2058"	"56094"	""	"56094"	""
"191"	"120"	"350"	"22"	"12"	"79"	"5"	""	"6"	"8"	"1"	"7"	"47"	"537"	""	"537"	""
"192"	"121"	"162"	"48"	"7"	"83"	"6"	""	"5"	"4"	"3"	"5"	"12"	"335"	""	"335"	""
"193"	"122"	"375"	"25"	"10"	"191"	"10"	""	"4"	"11"	"3"	"3"	"23"	"655"	""	"655"	""
"194"	"123"	"175"	"16"	"4"	"54"	"2"	""	"2"	"5"	"4"	"4"	"19"	"285"	""	"285"	""
"195"	"124"	"87"	"5"	"4"	"203"	"6"	""	"2"	"3"	"2"	"1"	"2"	"315"	""	"315"	""
"196"	"125"	"253"	"4"	"4"	"9"	"2"	""	"1"	"3"	"1"	"0"	"8"	"285"	""	"285"	""
"197"	"126"	"17"	"3"	"8"	"216"	"9"	""	"0"	"2"	"2"	"3"	"14"	"274"	""	"274"	""
"198"	"127"	"167"	"9"	"6"	"35"	"2"	""	"2"	"1"	"1"	"3"	"14"	"240"	""	"240"	""
"199"	"128"	"155"	"17"	"11"	"156"	"7"	""	"4"	"8"	"2"	"3"	"12"	"375"	""	"375"	""
"200"	"129"	"264"	"30"	"7"	"202"	"4"	""	"1"	"11"	"6"	"5"	"10"	"540"	""	"540"	""
"201"	"130"	"36"	"3"	"2"	"120"	"5"	""	"4"	"4"	"3"	"1"	"13"	"191"	""	"191"	""
"202"	"131"	"188"	"87"	"8"	"114"	"3"	""	"2"	"6"	"5"	"11"	"23"	"447"	""	"447"	""
"203"	"132"	"124"	"11"	"4"	"173"	"7"	""	"2"	"4"	"2"	"5"	"13"	"345"	""	"345"	""
"204"	"133"	"198"	"31"	"4"	"147"	"7"	""	"1"	"1"	"6"	"4"	"21"	"420"	""	"420"	""
"205"	";ksx%&"	"29281"	"4644"	"1531"	"20085"	"760"	""	"493"	"895"	"744"	"616"	"2289"	"61338"	""	"61338"	""
"206"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"207"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"208"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"209"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"210"	"iwoZ i`\"V
dk ;ksx"	"29281"	"4644"	"1531"	"20085"	"760"	""	"493"	"895"	"744"	"616"	"2289"	"61338"	""	"61338"	""
"211"	"134"	"160"	"100"	"5"	"54"	"1"	""	"4"	"4"	"2"	"5"	"20"	"355"	""	"355"	""
"212"	"135"	"242"	"11"	"4"	"64"	"10"	""	"1"	"3"	"3"	"5"	"16"	"359"	""	"359"	""
"213"	"136"	"194"	"37"	"4"	"146"	"7"	""	"6"	"9"	"3"	"4"	"6"	"416"	""	"416"	""
"214"	"136A"	"199"	"26"	"6"	"127"	"11"	""	"4"	"6"	"8"	"7"	"34"	"428"	""	"428"	""
"215"	"137"	"194"	"11"	"7"	"268"	"3"	""	"3"	"1"	"5"	"2"	"14"	"508"	""	"508"	""
"216"	"138"	"150"	"65"	"13"	"139"	"12"	""	"7"	"4"	"2"	"4"	"7"	"403"	""	"403"	""
"217"	"139"	"172"	"21"	"13"	"185"	"4"	""	"8"	"7"	"2"	"4"	"14"	"430"	""	"430"	""
"218"	"140"	"280"	"49"	"11"	"226"	"11"	""	"6"	"8"	"4"	"6"	"17"	"618"	""	"618"	""
"219"	"141"	"191"	"17"	"6"	"110"	"11"	""	"6"	"9"	"5"	"2"	"13"	"370"	""	"370"	""
"220"	"142"	"68"	"1"	"4"	"112"	"5"	""	"1"	"1"	"1"	"1"	"8"	"202"	""	"202"	""
"221"	"143"	"145"	"27"	"4"	"208"	"7"	""	"8"	"0"	"1"	"2"	"4"	"403"	""	"403"	""
"222"	"144"	"224"	"15"	"6"	"158"	"7"	""	"3"	"2"	"10"	"1"	"12"	"438"	""	"438"	""
"223"	"144A"	"145"	"12"	"2"	"139"	"5"	""	"3"	"4"	"3"	"3"	"23"	"339"	""	"339"	""
"224"	"145"	"282"	"19"	"2"	"87"	"5"	""	"4"	"3"	"2"	"9"	"45"	"461"	""	"461"	""
"225"	";ksx%&"	"31927"	"5055"	"1618"	"22108"	"859"	""	"557"	"956"	"795"	"671"	"2522"	"67068"	""	"67068"	""
"226"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"227"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"228"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"229"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"230"	"iwoZ i`\"V
dk ;ksx"	"31927"	"5055"	"1618"	"22108"	"859"	""	"557"	"956"	"795"	"671"	"2522"	"67068"	""	"67068"	""
"231"	"146"	"65"	"8"	"1"	"91"	"2"	""	"0"	"1"	"0"	"1"	"5"	"174"	""	"174"	""
"232"	"147"	"412"	"27"	"7"	"72"	"1"	""	"1"	"2"	"1"	"7"	"41"	"572"	""	"572"	""
"233"	"148"	"163"	"14"	"3"	"136"	"7"	""	"2"	"6"	"2"	"0"	"8"	"337"	""	"337"	""
"234"	"149"	"80"	"9"	"1"	"119"	"2"	""	"0"	"10"	"2"	"4"	"12"	"235"	""	"235"	""
"235"	"150"	"198"	"24"	"3"	"34"	"5"	""	"3"	"12"	"1"	"15"	"24"	"317"	""	"317"	""
"236"	"151"	"263"	"17"	"4"	"188"	"14"	""	"4"	"7"	"7"	"17"	"66"	"592"	""	"592"	""
"237"	"152"	"196"	"27"	"21"	"174"	"11"	""	"1"	"0"	"1"	"6"	"23"	"467"	""	"467"	""
"238"	"153"	"142"	"7"	"1"	"67"	"2"	""	"2"	"8"	"2"	"1"	"4"	"228"	""	"228"	""
"239"	"154"	"267"	"18"	"8"	"106"	"3"	""	"1"	"14"	"3"	"4"	"7"	"425"	""	"425"	""
"240"	"155"	"294"	"19"	"10"	"83"	"5"	""	"4"	"2"	"6"	"4"	"22"	"461"	""	"461"	""
"241"	"156"	"270"	"40"	"7"	"36"	"2"	""	"2"	"4"	"2"	"2"	"12"	"375"	""	"375"	""
"242"	"157"	"150"	"27"	"6"	"118"	"5"	""	"3"	"3"	"0"	"1"	"7"	"321"	""	"321"	""
"243"	"158"	"15"	"1"	"1"	"79"	"1"	""	"1"	"1"	"1"	"0"	"5"	"107"	""	"107"	""
"244"	"159"	"236"	"17"	"10"	"104"	"2"	""	"2"	"3"	"1"	"1"	"8"	"382"	""	"382"	""
"245"	";ksx%&"	"34678"	"5310"	"1701"	"23515"	"921"	""	"583"	"1029"	"824"	"734"	"2766"	"72061"	""	"72061"	""
"246"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"247"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"248"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"249"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"250"	"iwoZ i`\"V
dk ;ksx"	"34678"	"5310"	"1701"	"23515"	"921"	""	"583"	"1029"	"824"	"734"	"2766"	"72061"	""	"72061"	""
"251"	"160"	"261"	"31"	"5"	"93"	"2"	""	"4"	"9"	"7"	"11"	"23"	"446"	""	"446"	""
"252"	"161"	"179"	"69"	"4"	"49"	"3"	""	"2"	"0"	"2"	"0"	"13"	"321"	""	"321"	""
"253"	"162"	"289"	"18"	"8"	"105"	"6"	""	"3"	"8"	"5"	"5"	"21"	"468"	""	"468"	""
"254"	"163"	"342"	"20"	"12"	"160"	"6"	""	"2"	"8"	"8"	"8"	"41"	"607"	""	"607"	""
"255"	"164"	"104"	"10"	"2"	"134"	"5"	""	"2"	"6"	"9"	"6"	"32"	"310"	""	"310"	""
"256"	"165"	"109"	"9"	"4"	"81"	"4"	""	"3"	"3"	"6"	"2"	"15"	"236"	""	"236"	""
"257"	"166"	"33"	"2"	"3"	"404"	"6"	""	"2"	"1"	"5"	"0"	"5"	"461"	""	"461"	""
"258"	"167"	"130"	"24"	"8"	"242"	"6"	""	"5"	"8"	"4"	"5"	"10"	"442"	""	"442"	""
"259"	"168"	"82"	"59"	"8"	"191"	"12"	""	"4"	"5"	"6"	"11"	"29"	"407"	""	"407"	""
"260"	"169"	"234"	"16"	"4"	"112"	"2"	""	"1"	"4"	"3"	"5"	"20"	"401"	""	"401"	""
"261"	"169A"	"132"	"27"	"1"	"196"	"8"	""	"0"	"2"	"0"	"1"	"10"	"377"	""	"377"	""
"262"	"170"	"43"	"4"	"1"	"304"	"2"	""	"1"	"1"	"3"	"0"	"9"	"368"	""	"368"	""
"263"	"171"	"204"	"22"	"13"	"81"	"3"	""	"2"	"5"	"0"	"2"	"17"	"349"	""	"349"	""
"264"	"172"	"133"	"25"	"5"	"242"	"4"	""	"2"	"9"	"1"	"1"	"16"	"438"	""	"438"	""
"265"	";ksx%&"	"36953"	"5646"	"1779"	"25909"	"990"	""	"616"	"1098"	"883"	"791"	"3027"	"77692"	""	"77692"	""
"266"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"267"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"268"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"269"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"270"	"iwoZ i`\"V
dk ;ksx"	"36953"	"5646"	"1779"	"25909"	"990"	""	"616"	"1098"	"883"	"791"	"3027"	"77692"	""	"77692"	""
"271"	"173"	"196"	"11"	"6"	"178"	"4"	""	"2"	"11"	"2"	"2"	"25"	"437"	""	"437"	""
"272"	"174"	"163"	"70"	"7"	"117"	"5"	""	"3"	"7"	"7"	"8"	"16"	"403"	""	"403"	""
"273"	"175"	"88"	"58"	"6"	"117"	"4"	""	"5"	"2"	"5"	"3"	"8"	"296"	""	"296"	""
"274"	"176"	"102"	"69"	"6"	"157"	"4"	""	"1"	"1"	"2"	"4"	"12"	"358"	""	"358"	""
"275"	"176A"	"230"	"60"	"4"	"60"	"1"	""	"0"	"1"	"1"	"1"	"2"	"360"	""	"360"	""
"276"	"177"	"151"	"19"	"0"	"95"	"3"	""	"7"	"0"	"2"	"0"	"9"	"286"	""	"286"	""
"277"	"178"	"134"	"99"	"7"	"100"	"4"	""	"4"	"5"	"1"	"7"	"3"	"364"	""	"364"	""
"278"	"179"	"104"	"68"	"2"	"127"	"2"	""	"0"	"1"	"0"	"2"	"5"	"311"	""	"311"	""
"279"	"180"	"356"	"18"	"0"	"137"	"3"	""	"5"	"5"	"0"	"0"	"7"	"531"	""	"531"	""
"280"	"181"	"257"	"15"	"6"	"185"	"13"	""	"8"	"17"	"6"	"5"	"21"	"533"	""	"533"	""
"281"	"182"	"49"	"7"	"1"	"352"	"8"	""	"2"	"3"	"3"	"2"	"10"	"437"	""	"437"	""
"282"	"183"	"361"	"50"	"5"	"168"	"5"	""	"2"	"5"	"4"	"2"	"22"	"624"	""	"624"	""
"283"	"184"	"172"	"57"	"9"	"20"	"4"	""	"0"	"5"	"4"	"4"	"8"	"283"	""	"283"	""
"284"	"185"	"138"	"26"	"5"	"65"	"2"	""	"1"	"2"	"0"	"1"	"2"	"242"	""	"242"	""
"285"	";ksx%&"	"39454"	"6273"	"1843"	"27787"	"1052"	""	"656"	"1163"	"920"	"832"	"3177"	"83157"	""	"83157"	""
"286"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"287"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"288"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"289"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"290"	"iwoZ i`\"V
dk ;ksx"	"39454"	"6273"	"1843"	"27787"	"1052"	""	"656"	"1163"	"920"	"832"	"3177"	"83157"	""	"83157"	""
"291"	"186"	"273"	"34"	"0"	"8"	"0"	""	"0"	"4"	"3"	"0"	"7"	"329"	""	"329"	""
"292"	"187"	"283"	"27"	"6"	"32"	"2"	""	"0"	"0"	"2"	"7"	"13"	"372"	""	"372"	""
"293"	"188"	"145"	"63"	"12"	"103"	"7"	""	"0"	"2"	"0"	"4"	"11"	"347"	""	"347"	""
"294"	"189"	"259"	"48"	"5"	"120"	"5"	""	"3"	"19"	"4"	"2"	"18"	"483"	""	"483"	""
"295"	"190"	"46"	"8"	"2"	"89"	"2"	""	"3"	"3"	"3"	"1"	"6"	"163"	""	"163"	""
"296"	"191"	"163"	"16"	"17"	"32"	"0"	""	"2"	"1"	"0"	"1"	"13"	"245"	""	"245"	""
"297"	"192"	"189"	"14"	"6"	"140"	"6"	""	"3"	"12"	"5"	"7"	"24"	"406"	""	"406"	""
"298"	"193"	"151"	"27"	"2"	"144"	"9"	""	"3"	"1"	"0"	"1"	"4"	"342"	""	"342"	""
"299"	"194"	"124"	"8"	"8"	"312"	"3"	""	"2"	"1"	"2"	"0"	"4"	"464"	""	"464"	""
"300"	"195"	"345"	"33"	"5"	"49"	"1"	""	"6"	"4"	"7"	"0"	"12"	"462"	""	"462"	""
"301"	"196"	"87"	"15"	"2"	"258"	"7"	""	"2"	"6"	"4"	"0"	"9"	"390"	""	"390"	""
"302"	"197"	"253"	"63"	"13"	"12"	"1"	""	"1"	"7"	"6"	"1"	"9"	"366"	""	"366"	""
"303"	"198"	"283"	"60"	"16"	"56"	"4"	""	"5"	"21"	"9"	"15"	"60"	"529"	""	"529"	""
"304"	"199"	"228"	"35"	"6"	"199"	"5"	""	"5"	"9"	"1"	"4"	"17"	"509"	""	"509"	""
"305"	";ksx%&"	"42283"	"6724"	"1943"	"29341"	"1104"	""	"691"	"1253"	"966"	"875"	"3384"	"88564"	""	"88564"	""
"306"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"307"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"308"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"309"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"310"	"iwoZ i`\"V
dk ;ksx"	"42283"	"6724"	"1943"	"29341"	"1104"	""	"691"	"1253"	"966"	"875"	"3384"	"88564"	""	"88564"	""
"311"	"200"	"176"	"1"	"0"	"5"	"0"	""	"0"	"0"	"0"	"0"	"3"	"185"	""	"185"	""
"312"	"201"	"348"	"39"	"5"	"81"	"2"	""	"2"	"1"	"1"	"1"	"3"	"483"	""	"483"	""
"313"	"201A"	"266"	"23"	"4"	"28"	"3"	""	"1"	"3"	"2"	"5"	"22"	"357"	""	"357"	""
"314"	"202"	"170"	"30"	"5"	"237"	"11"	""	"3"	"6"	"7"	"7"	"8"	"484"	""	"484"	""
"315"	"203"	"313"	"55"	"1"	"142"	"4"	""	"1"	"6"	"4"	"2"	"12"	"540"	""	"540"	""
"316"	"204"	"130"	"4"	"1"	"179"	"2"	""	"0"	"2"	"0"	"0"	"13"	"331"	""	"331"	""
"317"	"205"	"149"	"40"	"2"	"150"	"5"	""	"1"	"2"	"3"	"3"	"21"	"376"	""	"376"	""
"318"	"206"	"145"	"8"	"3"	"126"	"4"	""	"4"	"3"	"2"	"2"	"6"	"303"	""	"303"	""
"319"	"207"	"163"	"22"	"5"	"241"	"6"	""	"4"	"7"	"3"	"5"	"13"	"469"	""	"469"	""
"320"	"208"	"83"	"7"	"2"	"67"	"0"	""	"0"	"2"	"0"	"1"	"0"	"162"	""	"162"	""
"321"	"209"	"291"	"64"	"9"	"203"	"7"	""	"1"	"3"	"1"	"2"	"13"	"594"	""	"594"	""
"322"	"210"	"118"	"9"	"3"	"134"	"3"	""	"4"	"5"	"3"	"1"	"5"	"285"	""	"285"	""
"323"	"211"	"154"	"9"	"6"	"142"	"6"	""	"2"	"7"	"1"	"0"	"3"	"330"	""	"330"	""
"324"	"212"	"245"	"14"	"6"	"44"	"3"	""	"3"	"1"	"2"	"5"	"9"	"332"	""	"332"	""
"325"	";ksx%&"	"45034"	"7049"	"1995"	"31120"	"1160"	""	"717"	"1301"	"995"	"909"	"3515"	"93795"	""	"93795"	""
"326"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"327"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"328"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"329"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"330"	"iwoZ i`\"V
dk ;ksx"	"45034"	"7049"	"1995"	"31120"	"1160"	""	"717"	"1301"	"995"	"909"	"3515"	"93795"	""	"93795"	""
"331"	"213"	"180"	"17"	"12"	"95"	"7"	""	"6"	"3"	"2"	"4"	"24"	"350"	""	"350"	""
"332"	"214"	"102"	"15"	"4"	"177"	"8"	""	"3"	"12"	"6"	"3"	"18"	"348"	""	"348"	""
"333"	"215"	"296"	"71"	"13"	"28"	"2"	""	"3"	"3"	"6"	"7"	"24"	"453"	""	"453"	""
"334"	"216"	"209"	"5"	"2"	"110"	"4"	""	"3"	"3"	"7"	"3"	"23"	"369"	""	"369"	""
"335"	"217"	"48"	"9"	"2"	"209"	"10"	""	"2"	"3"	"2"	"0"	"4"	"289"	""	"289"	""
"336"	"218"	"192"	"21"	"6"	"161"	"6"	""	"4"	"6"	"2"	"5"	"36"	"439"	""	"439"	""
"337"	"219"	"71"	"45"	"3"	"102"	"2"	""	"2"	"2"	"0"	"4"	"8"	"239"	""	"239"	""
"338"	"220"	"68"	"36"	"3"	"92"	"6"	""	"0"	"2"	"1"	"5"	"8"	"221"	""	"221"	""
"339"	"221"	"229"	"21"	"9"	"177"	"9"	""	"3"	"8"	"5"	"6"	"36"	"503"	""	"503"	""
"340"	"222"	"191"	"65"	"18"	"277"	"9"	""	"7"	"6"	"7"	"9"	"19"	"608"	""	"608"	""
"341"	"223"	"298"	"244"	"18"	"37"	"3"	""	"3"	"10"	"5"	"14"	"28"	"660"	""	"660"	""
"342"	"224"	"270"	"86"	"6"	"100"	"2"	""	"3"	"8"	"1"	"4"	"9"	"489"	""	"489"	""
"343"	"225"	"106"	"17"	"4"	"334"	"8"	""	"1"	"4"	"1"	"4"	"18"	"497"	""	"497"	""
"344"	"226"	"109"	"2"	"1"	"2"	"0"	""	"0"	"0"	"0"	"0"	"2"	"116"	""	"116"	""
"345"	";ksx%&"	"47403"	"7703"	"2096"	"33021"	"1236"	""	"757"	"1371"	"1040"	"977"	"3772"	"99376"	""	"99376"	""
"346"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""
"347"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"348"	""	"ekfudpUnz
jk;"	"ekSykuk
uq:Ìhu vUlkjh"	"jkek;.k
flag"	"Jh lR;nso
izlkn flag"	"vyh
eqYykg [kkWa"	""	"vo/k
fd'kksj flag"	"dsnkj
izlkn dq'kokgk"	"lq'khyk
flag"	"izHkwukFk
lkg"	"gseUr
dqekj flag"	""	""	""	""
"349"	""	"1"	"2"	"3"	"4"	"5"	""	"6"	"7"	"8"	"9"	"10"	""	""	""	""
"350"	"iwoZ i`\"V
dk ;ksx"	"47403"	"7703"	"2096"	"33021"	"1236"	""	"757"	"1371"	"1040"	"977"	"3772"	"99376"	""	"99376"	""
"351"	"227"	"361"	"41"	"3"	"39"	"2"	""	"1"	"2"	"1"	"5"	"9"	"464"	""	"464"	""
"352"	"228"	"158"	"62"	"10"	"77"	"4"	""	"1"	"2"	"4"	"4"	"8"	"330"	""	"330"	""
"353"	""	"47922"	"7806"	"2109"	"33137"	"1242"	""	"759"	"1375"	"1045"	"986"	"3789"	"100170"	""	"100170"	""
