"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 232-Gaya Town Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""
"6"	""	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"97"	"12"	"46"	""	"3"	""	""	"148"	""	""	"13"	""	""	"114"	""	""	"10"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"294"	""	""	"0"	""	""	""	"294"	""	""	""	""	""	""	""
"98"	"13"	"47"	""	"2"	""	""	"186"	""	""	"3"	""	""	"38"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"231"	""	""	"0"	""	""	""	"231"	""	""	""	""	""	""	""
"99"	"14"	"47A"	""	"0"	""	""	"142"	""	""	"2"	""	""	"33"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	"181"	""	""	"0"	""	""	""	"181"	""	""	""	""	""	""	""
"100"	"Total"	""	""	"120"	""	""	"2589"	""	""	"303"	""	""	"791"	""	""	"35"	""	""	"25"	""	""	"26"	""	""	"17"	""	""	""	"56"	""	""	"3962"	""	""	"0"	""	""	""	"3962"	""	""	""	""	""	""	""
"101"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"102"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	"RAJIV KUMAR SINHA"	""	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"103"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"104"	"1"	"48"	""	"6"	""	""	"283"	""	""	"22"	""	""	"53"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"368"	""	""	"0"	""	""	""	"368"	""	""	""	""	""	""	""
"105"	"2"	"49"	""	"0"	""	""	"264"	""	""	"20"	""	""	"99"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"387"	""	""	"0"	""	""	""	"387"	""	""	""	""	""	""	""
"106"	"3"	"50"	""	"10"	""	""	"334"	""	""	"25"	""	""	"98"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"471"	""	""	"0"	""	""	""	"471"	""	""	""	""	""	""	""
"107"	"4"	"51"	""	"4"	""	""	"248"	""	""	"13"	""	""	"157"	""	""	"11"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"436"	""	""	"0"	""	""	""	"436"	""	""	""	""	""	""	""
"108"	"5"	"52"	""	"9"	""	""	"142"	""	""	"7"	""	""	"179"	""	""	"7"	""	""	"1"	""	""	"8"	""	""	"7"	""	""	""	"5"	""	""	"365"	""	""	"0"	""	""	""	"365"	""	""	""	""	""	""	""
"109"	"6"	"53"	""	"4"	""	""	"287"	""	""	"9"	""	""	"39"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	"342"	""	""	"0"	""	""	""	"342"	""	""	""	""	""	""	""
"110"	"7"	"54"	""	"3"	""	""	"165"	""	""	"15"	""	""	"186"	""	""	"14"	""	""	"1"	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	"388"	""	""	"0"	""	""	""	"388"	""	""	""	""	""	""	""
"111"	"8"	"55"	""	"0"	""	""	"197"	""	""	"8"	""	""	"31"	""	""	"2"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"241"	""	""	"0"	""	""	""	"241"	""	""	""	""	""	""	""
"112"	"9"	"55A"	""	"1"	""	""	"219"	""	""	"4"	""	""	"18"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"245"	""	""	"0"	""	""	""	"245"	""	""	""	""	""	""	""
"113"	"10"	"56"	""	"1"	""	""	"313"	""	""	"28"	""	""	"62"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"2"	""	""	"411"	""	""	"0"	""	""	""	"411"	""	""	""	""	""	""	""
"114"	"11"	"57"	""	"2"	""	""	"242"	""	""	"31"	""	""	"94"	""	""	"14"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"4"	""	""	"387"	""	""	"0"	""	""	""	"387"	""	""	""	""	""	""	""
"115"	"12"	"58"	""	"2"	""	""	"303"	""	""	"23"	""	""	"43"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"372"	""	""	"0"	""	""	""	"372"	""	""	""	""	""	""	""
"116"	"13"	"58A"	""	"1"	""	""	"291"	""	""	"8"	""	""	"31"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"332"	""	""	"0"	""	""	""	"332"	""	""	""	""	""	""	""
"117"	"14"	"59"	""	"3"	""	""	"138"	""	""	"13"	""	""	"57"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"5"	""	""	"221"	""	""	"0"	""	""	""	"221"	""	""	""	""	""	""	""
"118"	"Total"	""	""	"46"	""	""	"3426"	""	""	"226"	""	""	"1147"	""	""	"57"	""	""	"8"	""	""	"12"	""	""	"16"	""	""	""	"28"	""	""	"4966"	""	""	"0"	""	""	""	"4966"	""	""	""	""	""	""	""
"119"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"120"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	"RAJIV KUMAR SINHA"	""	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"122"	"1"	"59A"	""	"3"	""	""	"107"	""	""	"10"	""	""	"65"	""	""	"7"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"4"	""	""	"196"	""	""	"0"	""	""	""	"196"	""	""	""	""	""	""	""
"123"	"2"	"60"	""	"4"	""	""	"224"	""	""	"15"	""	""	"58"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"303"	""	""	"0"	""	""	""	"303"	""	""	""	""	""	""	""
"124"	"3"	"60A"	""	"0"	""	""	"184"	""	""	"1"	""	""	"16"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	"207"	""	""	"0"	""	""	""	"207"	""	""	""	""	""	""	""
"125"	"4"	"61"	""	"2"	""	""	"117"	""	""	"7"	""	""	"67"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"199"	""	""	"0"	""	""	""	"199"	""	""	""	""	""	""	""
"126"	"5"	"62"	""	"5"	""	""	"370"	""	""	"19"	""	""	"33"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"5"	""	""	"436"	""	""	"0"	""	""	""	"436"	""	""	""	""	""	""	""
"127"	"6"	"63"	""	"57"	""	""	"289"	""	""	"18"	""	""	"42"	""	""	"0"	""	""	"3"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"411"	""	""	"0"	""	""	""	"411"	""	""	""	""	""	""	""
"128"	"7"	"64"	""	"7"	""	""	"429"	""	""	"6"	""	""	"42"	""	""	"1"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	""	"3"	""	""	"494"	""	""	"0"	""	""	""	"494"	""	""	""	""	""	""	""
"129"	"8"	"65"	""	"5"	""	""	"303"	""	""	"13"	""	""	"32"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	""	"6"	""	""	"363"	""	""	"0"	""	""	""	"363"	""	""	""	""	""	""	""
"130"	"9"	"65A"	""	"11"	""	""	"147"	""	""	"10"	""	""	"78"	""	""	"4"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"12"	""	""	"265"	""	""	"0"	""	""	""	"265"	""	""	""	""	""	""	""
"131"	"10"	"66"	""	"0"	""	""	"345"	""	""	"7"	""	""	"21"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"374"	""	""	"0"	""	""	""	"374"	""	""	""	""	""	""	""
"132"	"11"	"67"	""	"4"	""	""	"252"	""	""	"5"	""	""	"62"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"326"	""	""	"0"	""	""	""	"326"	""	""	""	""	""	""	""
"133"	"12"	"68"	""	"5"	""	""	"266"	""	""	"12"	""	""	"52"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	"341"	""	""	"0"	""	""	""	"341"	""	""	""	""	""	""	""
"134"	"13"	"68A"	""	"7"	""	""	"127"	""	""	"20"	""	""	"69"	""	""	"4"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"6"	""	""	"233"	""	""	"0"	""	""	""	"233"	""	""	""	""	""	""	""
"135"	"14"	"69"	""	"0"	""	""	"78"	""	""	"5"	""	""	"155"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"244"	""	""	"0"	""	""	""	"244"	""	""	""	""	""	""	""
"136"	"Total"	""	""	"110"	""	""	"3238"	""	""	"148"	""	""	"792"	""	""	"28"	""	""	"14"	""	""	"6"	""	""	"12"	""	""	""	"44"	""	""	"4392"	""	""	"0"	""	""	""	"4392"	""	""	""	""	""	""	""
"137"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"138"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	"RAJIV KUMAR SINHA"	""	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	"10"	""	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"140"	"1"	"69A"	""	"0"	""	""	"42"	""	""	"3"	""	""	"116"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"162"	""	""	"0"	""	""	""	"162"	""	""	""	""	""	""	""
"141"	"2"	"70"	""	"1"	""	""	"314"	""	""	"11"	""	""	"35"	""	""	"0"	""	""	"0"	""	""	"4"	""	""	"0"	""	""	""	"4"	""	""	"369"	""	""	"0"	""	""	""	"369"	""	""	""	""	""	""	""
"142"	"3"	"71"	""	"2"	""	""	"336"	""	""	"15"	""	""	"41"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	"397"	""	""	"0"	""	""	""	"397"	""	""	""	""	""	""	""
"143"	"4"	"71A"	""	"1"	""	""	"223"	""	""	"5"	""	""	"43"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"275"	""	""	"0"	""	""	""	"275"	""	""	""	""	""	""	""
"144"	"5"	"72"	""	"4"	""	""	"251"	""	""	"17"	""	""	"50"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"327"	""	""	"0"	""	""	""	"327"	""	""	""	""	""	""	""
"145"	"6"	"72A"	""	"1"	""	""	"114"	""	""	"8"	""	""	"45"	""	""	"0"	""	""	"1"	""	""	"3"	""	""	"1"	""	""	""	"4"	""	""	"177"	""	""	"0"	""	""	""	"177"	""	""	""	""	""	""	""
"146"	"7"	"73"	""	"1"	""	""	"151"	""	""	"6"	""	""	"51"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"210"	""	""	"0"	""	""	""	"210"	""	""	""	""	""	""	""
"147"	"8"	"73A"	""	"0"	""	""	"27"	""	""	"9"	""	""	"90"	""	""	"4"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"132"	""	""	"0"	""	""	""	"132"	""	""	""	""	""	""	""
"148"	"9"	"74"	""	"6"	""	""	"193"	""	""	"13"	""	""	"37"	""	""	"0"	""	""	"0"	""	""	"5"	""	""	"2"	""	""	""	"0"	""	""	"256"	""	""	"0"	""	""	""	"256"	""	""	""	""	""	""	""
"149"	"10"	"74A"	""	"1"	""	""	"60"	""	""	"13"	""	""	"106"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	""	"5"	""	""	"187"	""	""	"0"	""	""	""	"187"	""	""	""	""	""	""	""
"150"	"11"	"75"	""	"5"	""	""	"3"	""	""	"7"	""	""	"91"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"3"	""	""	"110"	""	""	"0"	""	""	""	"110"	""	""	""	""	""	""	""
"151"	"12"	"75A"	""	"9"	""	""	"16"	""	""	"21"	""	""	"278"	""	""	"8"	""	""	"2"	""	""	"5"	""	""	"1"	""	""	""	"15"	""	""	"355"	""	""	"0"	""	""	""	"355"	""	""	""	""	""	""	""
"152"	"13"	"76"	""	"2"	""	""	"158"	""	""	"9"	""	""	"124"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	"0"	""	""	""	"22"	""	""	"321"	""	""	"0"	""	""	""	"321"	""	""	""	""	""	""	""
"153"	"14"	"77"	""	"0"	""	""	"129"	""	""	"10"	""	""	"147"	""	""	"3"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	""	"29"	""	""	"321"	""	""	"0"	""	""	""	"321"	""	""	""	""	""	""	""
"154"	"Total"	""	""	"33"	""	""	"2017"	""	""	"147"	""	""	"1254"	""	""	"22"	""	""	"4"	""	""	"28"	""	""	"5"	""	""	""	"89"	""	""	"3599"	""	""	"0"	""	""	""	"3599"	""	""	""	""	""	""	""
"155"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"156"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"158"	"1"	"78"	""	"1"	""	""	"128"	""	""	"6"	""	""	"88"	""	""	"2"	""	""	"0"	""	""	"7"	""	""	""	"1"	""	""	"43"	""	""	"276"	""	""	"0"	""	""	""	"276"	""	""	""	""	""	""	""
"159"	"2"	"79"	""	"3"	""	""	"89"	""	""	"8"	""	""	"120"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	""	"1"	""	""	"11"	""	""	"236"	""	""	"0"	""	""	""	"236"	""	""	""	""	""	""	""
"160"	"3"	"80"	""	"1"	""	""	"200"	""	""	"4"	""	""	"38"	""	""	"2"	""	""	"2"	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	"255"	""	""	"0"	""	""	""	"255"	""	""	""	""	""	""	""
"161"	"4"	"81"	""	"3"	""	""	"331"	""	""	"14"	""	""	"22"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"370"	""	""	"0"	""	""	""	"370"	""	""	""	""	""	""	""
"162"	"5"	"82"	""	"3"	""	""	"158"	""	""	"6"	""	""	"118"	""	""	"0"	""	""	"3"	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	"293"	""	""	"0"	""	""	""	"293"	""	""	""	""	""	""	""
"163"	"6"	"82A"	""	"0"	""	""	"202"	""	""	"3"	""	""	"33"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"238"	""	""	"0"	""	""	""	"238"	""	""	""	""	""	""	""
"164"	"7"	"83"	""	"1"	""	""	"278"	""	""	"12"	""	""	"110"	""	""	"0"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	"411"	""	""	"0"	""	""	""	"411"	""	""	""	""	""	""	""
"165"	"8"	"83A"	""	"2"	""	""	"193"	""	""	"33"	""	""	"71"	""	""	"1"	""	""	"0"	""	""	"1"	""	""	""	"2"	""	""	"3"	""	""	"306"	""	""	"0"	""	""	""	"306"	""	""	""	""	""	""	""
"166"	"9"	"84"	""	"3"	""	""	"172"	""	""	"38"	""	""	"42"	""	""	"3"	""	""	"1"	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	"265"	""	""	"0"	""	""	""	"265"	""	""	""	""	""	""	""
"167"	"10"	"84A"	""	"8"	""	""	"169"	""	""	"18"	""	""	"35"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	"235"	""	""	"0"	""	""	""	"235"	""	""	""	""	""	""	""
"168"	"11"	"85"	""	"13"	""	""	"225"	""	""	"19"	""	""	"62"	""	""	"0"	""	""	"0"	""	""	"2"	""	""	""	"4"	""	""	"5"	""	""	"330"	""	""	"0"	""	""	""	"330"	""	""	""	""	""	""	""
"169"	"12"	"85A"	""	"1"	""	""	"132"	""	""	"16"	""	""	"55"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	"214"	""	""	"0"	""	""	""	"214"	""	""	""	""	""	""	""
"170"	"13"	"86"	""	"2"	""	""	"333"	""	""	"27"	""	""	"76"	""	""	"2"	""	""	"3"	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	"451"	""	""	"0"	""	""	""	"451"	""	""	""	""	""	""	""
"171"	"14"	"87"	""	"4"	""	""	"368"	""	""	"5"	""	""	"36"	""	""	"0"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	"415"	""	""	"0"	""	""	""	"415"	""	""	""	""	""	""	""
"172"	"Total"	""	""	"45"	""	""	"2978"	""	""	"209"	""	""	"906"	""	""	"17"	""	""	"14"	""	""	"21"	""	""	""	"20"	""	""	"85"	""	""	"4295"	""	""	"0"	""	""	""	"4295"	""	""	""	""	""	""	""
"173"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"174"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
"176"	"1"	"88"	""	"1"	""	""	"4"	""	""	"6"	""	""	"220"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"6"	""	""	"239"	""	""	"0"	""	""	""	"239"	""	""	""	""	""	""	""
"177"	"2"	"89"	""	"4"	""	""	"65"	""	""	"3"	""	""	"198"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"34"	""	""	"308"	""	""	"0"	""	""	""	"308"	""	""	""	""	""	""	""
"178"	"3"	"90"	""	"3"	""	""	"12"	""	""	"7"	""	""	"126"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"12"	""	""	"164"	""	""	"0"	""	""	""	"164"	""	""	""	""	""	""	""
"179"	"4"	"90A"	""	"3"	""	""	"37"	""	""	"8"	""	""	"112"	""	""	"2"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"165"	""	""	"0"	""	""	""	"165"	""	""	""	""	""	""	""
"180"	"5"	"91"	""	"1"	""	""	"95"	""	""	"10"	""	""	"110"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"5"	""	""	"222"	""	""	"0"	""	""	""	"222"	""	""	""	""	""	""	""
"181"	"6"	"91A"	""	"2"	""	""	"17"	""	""	"5"	""	""	"91"	""	""	"3"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"119"	""	""	"0"	""	""	""	"119"	""	""	""	""	""	""	""
"182"	"7"	"92"	""	"0"	""	""	"97"	""	""	"2"	""	""	"137"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	"240"	""	""	"0"	""	""	""	"240"	""	""	""	""	""	""	""
"183"	"8"	"93"	""	"1"	""	""	"126"	""	""	"6"	""	""	"144"	""	""	"0"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"4"	""	""	"284"	""	""	"0"	""	""	""	"284"	""	""	""	""	""	""	""
"184"	"9"	"94"	""	"4"	""	""	"5"	""	""	"4"	""	""	"204"	""	""	"7"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"5"	""	""	"232"	""	""	"0"	""	""	""	"232"	""	""	""	""	""	""	""
"185"	"10"	"94A"	""	"0"	""	""	"3"	""	""	"4"	""	""	"152"	""	""	"4"	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	"164"	""	""	"0"	""	""	""	"164"	""	""	""	""	""	""	""
"186"	"11"	"95"	""	"2"	""	""	"4"	""	""	"7"	""	""	"252"	""	""	"5"	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	"4"	""	""	"275"	""	""	"0"	""	""	""	"275"	""	""	""	""	""	""	""
"187"	"12"	"95A"	""	"0"	""	""	"2"	""	""	"3"	""	""	"157"	""	""	"3"	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	"167"	""	""	"0"	""	""	""	"167"	""	""	""	""	""	""	""
"188"	"13"	"96"	""	"8"	""	""	"126"	""	""	"26"	""	""	"181"	""	""	"7"	""	""	"1"	""	""	"3"	""	""	""	"3"	""	""	"3"	""	""	"358"	""	""	"0"	""	""	""	"358"	""	""	""	""	""	""	""
"189"	"14"	"96A"	""	"1"	""	""	"190"	""	""	"30"	""	""	"71"	""	""	"0"	""	""	"4"	""	""	"2"	""	""	""	"2"	""	""	"3"	""	""	"303"	""	""	"0"	""	""	""	"303"	""	""	""	""	""	""	""
"190"	"Total"	""	""	"30"	""	""	"783"	""	""	"121"	""	""	"2155"	""	""	"37"	""	""	"11"	""	""	"11"	""	""	""	"10"	""	""	"82"	""	""	"3240"	""	""	"0"	""	""	""	"3240"	""	""	""	""	""	""	""
"191"	"Table No."	"Sl. No. of Polling Station"	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""	""	""
"192"	""	""	""	"GODESHWAR PD. VERMA"	""	""	"PREM KUMAR"	""	""	"BACHCHU LAL BITHHAL"	""	""	"SANJAY SAHAY"	""	""	"JAWAID KARIM"	""	""	"GOPAL PRASAD"	""	""	"JITENDRA KUMAR"	""	""	""	"RAJIV KUMAR SINHA"	""	""	"MD. SHAHID HUSSAIN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"1"	"2"	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	""	"14"	""	""	"15"	""	""	""	""
