"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"180"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"181"	"91"	"54"	"12"	"316"	"12"	"2"	"11"	"6"	"29"	"2"	"5"	"1"	"3"	"453"	""	"453"	""
"182"	"92"	"200"	"30"	"96"	"11"	"2"	"5"	"4"	"146"	"5"	"1"	"4"	"5"	"509"	""	"509"	""
"183"	"93"	"160"	"70"	"169"	"13"	"5"	"5"	"10"	"116"	"2"	"7"	"3"	"5"	"565"	""	"565"	""
"184"	"94"	"285"	"71"	"48"	"4"	"4"	"5"	"15"	"49"	"5"	"16"	"20"	"49"	"571"	""	"571"	""
"185"	"95"	"165"	"36"	"197"	"19"	"6"	"8"	"6"	"60"	"11"	"14"	"22"	"65"	"609"	""	"609"	""
"186"	"96"	"61"	"15"	"263"	"25"	"6"	"1"	"7"	"30"	"0"	"3"	"8"	"7"	"426"	""	"426"	""
"187"	"97"	"236"	"28"	"128"	"10"	"5"	"2"	"8"	"79"	"0"	"3"	"9"	"2"	"510"	""	"510"	""
"188"	"98"	"221"	"69"	"89"	"17"	"4"	"6"	"10"	"38"	"4"	"8"	"16"	"15"	"497"	""	"497"	""
"189"	"99"	"173"	"140"	"5"	"2"	"1"	"1"	"0"	"2"	"0"	"2"	"4"	"6"	"336"	""	"336"	""
"190"	"100"	"294"	"27"	"125"	"8"	"3"	"6"	"8"	"58"	"7"	"12"	"24"	"29"	"601"	""	"601"	""
"191"	"101"	"131"	"24"	"74"	"5"	"6"	"8"	"4"	"40"	"5"	"10"	"19"	"21"	"347"	""	"347"	""
"192"	"102"	"101"	"159"	"127"	"6"	"1"	"2"	"3"	"11"	"4"	"20"	"5"	"11"	"450"	""	"450"	""
"193"	"103"	"124"	"222"	"193"	"5"	"5"	"2"	"5"	"11"	"5"	"15"	"14"	"17"	"618"	""	"618"	""
"194"	"104"	"20"	"13"	"203"	"146"	"4"	"8"	"2"	"45"	"3"	"13"	"23"	"26"	"506"	""	"506"	""
"195"	"Current Round Total"	"2225"	"916"	"2033"	"283"	"54"	"70"	"88"	"714"	"53"	"129"	"172"	"261"	"6998"	"0"	"6998"	"0"
"196"	"Previous Round Total"	"9927"	"12491"	"19100"	"1000"	"383"	"752"	"626"	"6034"	"547"	"1657"	"1067"	"1836"	"55420"	"0"	"55420"	"0"
"197"	"TOTAL"	"12152"	"13407"	"21133"	"1283"	"437"	"822"	"714"	"6748"	"600"	"1786"	"1239"	"2097"	"62418"	"0"	"62418"	"0"
"198"	"(Statutory Rules and Order)                                                      ROUND : NINETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"204"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"205"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"206"	"105"	"54"	"38"	"111"	"123"	"5"	"1"	"4"	"80"	"2"	"18"	"13"	"7"	"456"	""	"456"	""
"207"	"106"	"193"	"5"	"248"	"11"	"26"	"7"	"5"	"90"	"9"	"3"	"10"	"16"	"623"	""	"623"	""
"208"	"107"	"49"	"13"	"50"	"4"	"19"	"6"	"9"	"341"	"13"	"10"	"10"	"25"	"549"	""	"549"	""
"209"	"108"	"70"	"36"	"44"	"0"	"2"	"3"	"10"	"263"	"14"	"9"	"7"	"23"	"481"	""	"481"	""
"210"	"109"	"95"	"14"	"29"	"8"	"4"	"3"	"16"	"342"	"7"	"6"	"8"	"23"	"555"	""	"555"	""
"211"	"110"	"65"	"17"	"78"	"1"	"5"	"2"	"12"	"469"	"18"	"3"	"9"	"28"	"707"	""	"707"	""
"212"	"111"	"15"	"10"	"68"	"2"	"0"	"2"	"12"	"359"	"14"	"10"	"6"	"17"	"515"	""	"515"	""
"213"	"112"	"68"	"10"	"27"	"4"	"1"	"4"	"8"	"202"	"3"	"2"	"2"	"2"	"333"	""	"333"	""
"214"	"113"	"69"	"16"	"71"	"1"	"5"	"7"	"9"	"341"	"5"	"9"	"10"	"23"	"566"	""	"566"	""
"215"	"114"	"514"	"10"	"92"	"9"	"2"	"2"	"2"	"62"	"2"	"4"	"11"	"11"	"721"	""	"721"	""
"216"	"115"	"293"	"63"	"65"	"5"	"2"	"2"	"2"	"91"	"4"	"8"	"8"	"8"	"551"	""	"551"	""
"217"	"115A"	"164"	"22"	"32"	"3"	"4"	"1"	"1"	"14"	"4"	"6"	"4"	"11"	"266"	""	"266"	""
"218"	"116"	"61"	"207"	"183"	"7"	"7"	"3"	"3"	"65"	"5"	"17"	"11"	"12"	"581"	""	"581"	""
"219"	"117"	"93"	"174"	"310"	"10"	"2"	"2"	"5"	"17"	"1"	"10"	"4"	"7"	"635"	""	"635"	""
"220"	"Current Round Total"	"1803"	"635"	"1408"	"188"	"84"	"45"	"98"	"2736"	"101"	"115"	"113"	"213"	"7539"	"0"	"7539"	"0"
"221"	"Previous Round Total"	"12152"	"13407"	"21133"	"1283"	"437"	"822"	"714"	"6748"	"600"	"1786"	"1239"	"2097"	"62418"	"0"	"62418"	"0"
"222"	"TOTAL"	"13955"	"14042"	"22541"	"1471"	"521"	"867"	"812"	"9484"	"701"	"1901"	"1352"	"2310"	"69957"	"0"	"69957"	"0"
"223"	"(Statutory Rules and Order)                                                      ROUND : TENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"229"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"230"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"231"	"118"	"269"	"195"	"18"	"2"	"3"	"2"	"0"	"20"	"1"	"5"	"1"	"3"	"519"	""	"519"	""
"232"	"119"	"231"	"34"	"122"	"9"	"2"	"5"	"6"	"12"	"4"	"8"	"8"	"25"	"466"	""	"466"	""
"233"	"120"	"50"	"226"	"191"	"1"	"8"	"0"	"6"	"39"	"3"	"7"	"5"	"5"	"541"	""	"541"	""
"234"	"121"	"107"	"120"	"213"	"13"	"1"	"0"	"5"	"22"	"6"	"17"	"4"	"11"	"519"	""	"519"	""
"235"	"122"	"33"	"334"	"17"	"3"	"3"	"0"	"1"	"11"	"0"	"3"	"3"	"3"	"411"	""	"411"	""
"236"	"122A"	"27"	"128"	"6"	"1"	"2"	"0"	"0"	"2"	"1"	"10"	"1"	"5"	"183"	""	"183"	""
"237"	"123"	"131"	"314"	"16"	"8"	"2"	"1"	"2"	"5"	"1"	"11"	"1"	"1"	"493"	""	"493"	""
"238"	"123A"	"6"	"48"	"177"	"4"	"0"	"5"	"0"	"7"	"2"	"13"	"6"	"11"	"279"	""	"279"	""
"239"	"124"	"183"	"128"	"202"	"8"	"2"	"3"	"3"	"8"	"3"	"6"	"4"	"11"	"561"	""	"561"	""
"240"	"125"	"234"	"29"	"233"	"5"	"2"	"3"	"6"	"65"	"1"	"7"	"11"	"16"	"612"	""	"612"	""
"241"	"126"	"167"	"20"	"409"	"13"	"6"	"6"	"14"	"26"	"8"	"7"	"12"	"19"	"707"	""	"707"	""
"242"	"127"	"355"	"21"	"105"	"3"	"5"	"7"	"9"	"55"	"4"	"6"	"2"	"9"	"581"	""	"581"	""
"243"	"128"	"126"	"47"	"70"	"6"	"4"	"2"	"4"	"44"	"5"	"16"	"21"	"14"	"359"	""	"359"	""
"244"	"129"	"182"	"96"	"50"	"4"	"3"	"1"	"8"	"136"	"12"	"23"	"13"	"44"	"572"	""	"572"	""
"245"	"Current Round Total"	"2101"	"1740"	"1829"	"80"	"43"	"35"	"64"	"452"	"51"	"139"	"92"	"177"	"6803"	"0"	"6803"	"0"
"246"	"Previous Round Total"	"13955"	"14042"	"22541"	"1471"	"521"	"867"	"812"	"9484"	"701"	"1901"	"1352"	"2310"	"69957"	"0"	"69957"	"0"
"247"	"TOTAL"	"16056"	"15782"	"24370"	"1551"	"564"	"902"	"876"	"9936"	"752"	"2040"	"1444"	"2487"	"76760"	"0"	"76760"	"0"
"248"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"254"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD \"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"256"	"130"	"31"	"10"	"355"	"7"	"1"	"6"	"5"	"11"	"3"	"9"	"1"	"6"	"445"	""	"445"	""
"257"	"131"	"141"	"167"	"9"	"2"	"0"	"0"	"4"	"8"	"20"	"4"	"8"	"14"	"377"	""	"377"	""
"258"	"132"	"63"	"111"	"170"	"7"	"6"	"7"	"4"	"6"	"6"	"12"	"5"	"17"	"414"	""	"414"	""
"259"	"133"	"34"	"133"	"21"	"51"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"4"	"251"	""	"251"	""
"260"	"134"	"23"	"119"	"8"	"5"	"5"	"2"	"4"	"32"	"14"	"14"	"6"	"9"	"241"	""	"241"	""
"261"	"135"	"82"	"267"	"5"	"2"	"1"	"0"	"2"	"23"	"1"	"13"	"8"	"12"	"416"	""	"416"	""
"262"	"136"	"15"	"100"	"140"	"26"	"1"	"3"	"9"	"47"	"4"	"24"	"15"	"9"	"393"	""	"393"	""
"263"	"137"	"169"	"111"	"135"	"38"	"5"	"5"	"13"	"7"	"6"	"20"	"7"	"8"	"524"	""	"524"	""
"264"	"138"	"19"	"9"	"190"	"9"	"2"	"19"	"5"	"14"	"2"	"2"	"5"	"3"	"279"	""	"279"	""
"265"	"139"	"19"	"98"	"125"	"29"	"2"	"2"	"2"	"0"	"0"	"3"	"0"	"6"	"286"	""	"286"	""
"266"	"140"	"38"	"47"	"199"	"33"	"3"	"5"	"4"	"47"	"3"	"9"	"3"	"3"	"394"	""	"394"	""
"267"	"141"	"107"	"51"	"79"	"57"	"2"	"5"	"1"	"20"	"5"	"2"	"2"	"9"	"340"	""	"340"	""
"268"	"142"	"121"	"23"	"129"	"21"	"3"	"5"	"2"	"58"	"3"	"14"	"17"	"33"	"429"	""	"429"	""
"269"	"143"	"156"	"11"	"145"	"4"	"1"	"2"	"2"	"31"	"3"	"1"	"3"	"2"	"361"	""	"361"	""
"270"	"Current Round Total"	"1018"	"1257"	"1710"	"291"	"34"	"62"	"58"	"304"	"70"	"129"	"82"	"135"	"5150"	"0"	"5150"	"0"
"271"	"Previous Round Total"	"16056"	"15782"	"24370"	"1551"	"564"	"902"	"876"	"9936"	"752"	"2040"	"1444"	"2487"	"76760"	"0"	"76760"	"0"
"272"	"TOTAL"	"17074"	"17039"	"26080"	"1842"	"598"	"964"	"934"	"10240"	"822"	"2169"	"1526"	"2622"	"81910"	"0"	"81910"	"0"
"273"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"279"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"281"	"144"	"167"	"32"	"134"	"3"	"2"	"1"	"4"	"36"	"0"	"8"	"5"	"6"	"398"	""	"398"	""
"282"	"145"	"158"	"75"	"114"	"6"	"0"	"1"	"2"	"13"	"2"	"6"	"2"	"4"	"383"	""	"383"	""
"283"	"146"	"206"	"73"	"279"	"8"	"9"	"5"	"9"	"6"	"5"	"8"	"6"	"14"	"628"	""	"628"	""
"284"	"147"	"136"	"33"	"382"	"12"	"7"	"7"	"7"	"27"	"10"	"19"	"12"	"33"	"685"	""	"685"	""
"285"	"148"	"157"	"14"	"201"	"5"	"1"	"3"	"3"	"24"	"5"	"10"	"15"	"26"	"464"	""	"464"	""
"286"	"149"	"212"	"17"	"268"	"12"	"3"	"3"	"8"	"59"	"8"	"10"	"10"	"40"	"650"	""	"650"	""
"287"	"150"	"215"	"12"	"116"	"12"	"2"	"2"	"4"	"4"	"1"	"2"	"3"	"6"	"379"	""	"379"	""
"288"	"151"	"130"	"16"	"82"	"3"	"1"	"3"	"3"	"45"	"4"	"6"	"11"	"14"	"318"	""	"318"	""
"289"	"151A"	"151"	"37"	"65"	"4"	"3"	"4"	"3"	"3"	"0"	"12"	"9"	"13"	"304"	""	"304"	""
"290"	"152"	"252"	"14"	"254"	"13"	"2"	"5"	"8"	"5"	"1"	"2"	"3"	"8"	"567"	""	"567"	""
"291"	"153"	"340"	"19"	"134"	"7"	"3"	"5"	"5"	"14"	"5"	"12"	"22"	"49"	"615"	""	"615"	""
"292"	"154"	"147"	"12"	"103"	"9"	"2"	"2"	"5"	"5"	"4"	"2"	"11"	"9"	"311"	""	"311"	""
"293"	"154A"	"154"	"21"	"100"	"22"	"1"	"2"	"2"	"11"	"1"	"3"	"5"	"9"	"331"	""	"331"	""
"294"	"155"	"235"	"25"	"194"	"22"	"1"	"6"	"2"	"19"	"1"	"6"	"8"	"15"	"534"	""	"534"	""
"295"	"Current Round Total"	"2660"	"400"	"2426"	"138"	"37"	"49"	"65"	"271"	"47"	"106"	"122"	"246"	"6567"	"0"	"6567"	"0"
"296"	"Previous Round Total"	"17074"	"17039"	"26080"	"1842"	"598"	"964"	"934"	"10240"	"822"	"2169"	"1526"	"2622"	"81910"	"0"	"81910"	"0"
"297"	"TOTAL"	"19734"	"17439"	"28506"	"1980"	"635"	"1013"	"999"	"10511"	"869"	"2275"	"1648"	"2868"	"88477"	"0"	"88477"	"0"
"298"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"304"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"306"	"156"	"55"	"8"	"123"	"78"	"1"	"1"	"1"	"5"	"0"	"1"	"1"	"2"	"276"	""	"276"	""
"307"	"157"	"189"	"40"	"160"	"14"	"3"	"5"	"1"	"4"	"0"	"0"	"5"	"9"	"430"	""	"430"	""
"308"	"158"	"85"	"13"	"418"	"10"	"10"	"9"	"5"	"11"	"11"	"10"	"18"	"20"	"620"	""	"620"	""
"309"	"159"	"258"	"26"	"190"	"9"	"1"	"6"	"7"	"7"	"3"	"2"	"4"	"13"	"526"	""	"526"	""
"310"	"160"	"85"	"21"	"441"	"17"	"8"	"4"	"4"	"5"	"4"	"8"	"7"	"6"	"610"	""	"610"	""
"311"	"161"	"156"	"42"	"384"	"21"	"4"	"6"	"7"	"11"	"12"	"20"	"21"	"24"	"708"	""	"708"	""
"312"	"162"	"152"	"16"	"327"	"24"	"4"	"13"	"3"	"9"	"4"	"4"	"9"	"6"	"571"	""	"571"	""
"313"	"163"	"277"	"59"	"221"	"15"	"2"	"3"	"4"	"9"	"3"	"6"	"2"	"9"	"610"	""	"610"	""
"314"	"164"	"77"	"69"	"228"	"12"	"2"	"2"	"2"	"3"	"9"	"15"	"14"	"18"	"451"	""	"451"	""
"315"	"165"	"129"	"90"	"144"	"11"	"9"	"4"	"5"	"3"	"19"	"11"	"8"	"14"	"447"	""	"447"	""
"316"	"166"	"180"	"50"	"151"	"7"	"0"	"3"	"0"	"37"	"1"	"5"	"0"	"14"	"448"	""	"448"	""
"317"	"166A"	"191"	"24"	"182"	"8"	"1"	"0"	"1"	"73"	"0"	"3"	"2"	"4"	"489"	""	"489"	""
"318"	"167"	"174"	"60"	"159"	"12"	"2"	"3"	"9"	"142"	"6"	"10"	"12"	"16"	"605"	""	"605"	""
"319"	"168"	"116"	"13"	"164"	"34"	"4"	"1"	"1"	"56"	"5"	"2"	"6"	"7"	"409"	""	"409"	""
"320"	"Current Round Total"	"2124"	"531"	"3292"	"272"	"51"	"60"	"50"	"375"	"77"	"97"	"109"	"162"	"7200"	"0"	"7200"	"0"
"321"	"Previous Round Total"	"19734"	"17439"	"28506"	"1980"	"635"	"1013"	"999"	"10511"	"869"	"2275"	"1648"	"2868"	"88477"	"0"	"88477"	"0"
"322"	"TOTAL"	"21858"	"17970"	"31798"	"2252"	"686"	"1073"	"1049"	"10886"	"946"	"2372"	"1757"	"3030"	"95677"	"0"	"95677"	"0"
"323"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"329"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"330"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"331"	"169"	"52"	"127"	"85"	"11"	"3"	"6"	"7"	"109"	"15"	"30"	"23"	"38"	"506"	""	"506"	""
"332"	"170"	"95"	"14"	"118"	"35"	"4"	"3"	"5"	"42"	"5"	"9"	"7"	"33"	"370"	""	"370"	""
"333"	"171"	"162"	"40"	"231"	"27"	"6"	"2"	"6"	"23"	"4"	"7"	"9"	"32"	"549"	""	"549"	""
"334"	"172"	"254"	"97"	"109"	"12"	"13"	"7"	"10"	"26"	"4"	"13"	"4"	"23"	"572"	""	"572"	""
"335"	"173"	"293"	"133"	"42"	"6"	"3"	"1"	"1"	"6"	"3"	"6"	"5"	"9"	"508"	""	"508"	""
"336"	"174"	"397"	"28"	"70"	"10"	"3"	"5"	"6"	"24"	"3"	"8"	"20"	"40"	"614"	""	"614"	""
"337"	"175"	"92"	"168"	"104"	"9"	"17"	"8"	"5"	"2"	"3"	"15"	"1"	"9"	"433"	""	"433"	""
"338"	"176"	"255"	"40"	"169"	"10"	"3"	"4"	"6"	"8"	"3"	"13"	"6"	"35"	"552"	""	"552"	""
"339"	"177"	"251"	"25"	"89"	"6"	"0"	"1"	"6"	"64"	"1"	"10"	"8"	"25"	"486"	""	"486"	""
"340"	"178"	"336"	"27"	"92"	"7"	"5"	"4"	"4"	"56"	"5"	"3"	"14"	"35"	"588"	""	"588"	""
"341"	"179"	"448"	"15"	"98"	"7"	"1"	"3"	"6"	"20"	"2"	"1"	"5"	"21"	"627"	""	"627"	""
"342"	"180"	"257"	"17"	"93"	"4"	"2"	"1"	"3"	"164"	"3"	"7"	"11"	"22"	"584"	""	"584"	""
"343"	"181"	"350"	"16"	"99"	"3"	"5"	"5"	"8"	"52"	"2"	"3"	"16"	"48"	"607"	""	"607"	""
"344"	"182"	"225"	"31"	"36"	"6"	"3"	"2"	"4"	"139"	"3"	"3"	"9"	"27"	"488"	""	"488"	""
"345"	"Current Round Total"	"3467"	"778"	"1435"	"153"	"68"	"52"	"77"	"735"	"56"	"128"	"138"	"397"	"7484"	"0"	"7484"	"0"
"346"	"Previous Round Total"	"21858"	"17970"	"31798"	"2252"	"686"	"1073"	"1049"	"10886"	"946"	"2372"	"1757"	"3030"	"95677"	"0"	"95677"	"0"
"347"	"TOTAL"	"25325"	"18748"	"33233"	"2405"	"754"	"1125"	"1126"	"11621"	"1002"	"2500"	"1895"	"3427"	"103161"	"0"	"103161"	"0"
"348"	"(Statutory Rules and Order)                                                      ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"354"	""	"ANIL KUMAR YADAV"	"EKRAMUL HAQUE"	"JANARDAN YADAV"	"NEELAM DEVI"	"HARI NANDAN SINGH"	"KAPIL DEO ROY"	"JAI SHANKAR PRASAD
\"SNEHI\""	"DAYANAND YADAV"	"NAZAMUDDIN"	"ALMIN KHAN"	"PAPPU KUMAR SINGH"	"PARMANAND RISHIDEO"	""	""	""	""
"355"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"356"	"183"	"333"	"28"	"112"	"40"	"3"	"2"	"7"	"73"	"4"	"8"	"3"	"16"	"629"	""	"629"	""
"357"	"184"	"261"	"31"	"196"	"13"	"8"	"3"	"9"	"22"	"3"	"8"	"7"	"20"	"581"	""	"581"	""
"358"	"185"	"228"	"11"	"102"	"5"	"2"	"2"	"4"	"17"	"4"	"2"	"9"	"16"	"402"	""	"402"	""
"359"	"186"	"145"	"20"	"303"	"9"	"4"	"10"	"9"	"8"	"3"	"6"	"16"	"11"	"544"	""	"544"	""
"360"	"187"	"267"	"42"	"169"	"7"	"8"	"1"	"0"	"3"	"0"	"6"	"8"	"1"	"512"	""	"512"	""
