"Total.No..of.Electors.in.Assembly.Consitituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"135"	"79"	"gfjgj'kj.k dU;k e0fo0 Hkxoku cktkj"	"63"	"6"	"134"	"24"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"4"	"6"	"6"	"249"	"249"
"136"	"79 A"	"gfjgj'kj.k dU;k e0fo0 Hkxoku cktkj"	"47"	"0"	"129"	"19"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"202"	"202"
"137"	"80"	"jkeyhyk efB;k e0fo0nf{k.k Hkkx"	"200"	"6"	"173"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"391"	"391"
"138"	"81"	"jkeyhyk efB;k e0fo0 mRrj Hkkx"	"46"	"1"	"171"	"3"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"7"	"233"	"233"
"139"	"82"	"jktdh, e0fo0dkf'kcktkj"	"175"	"15"	"211"	"79"	"7"	"1"	"4"	"13"	"1"	"4"	"2"	"2"	"7"	"6"	"6"	"533"	"533"
"140"	"83"	"xkWa/kh e0fo0nkSyr xat"	"35"	"5"	"228"	"37"	"2"	"1"	"1"	"3"	"0"	"1"	"1"	"1"	"6"	"1"	"8"	"330"	"330"
"141"	"83 A"	"xkWa/kh e0fo0 nkSyr xat"	"69"	"7"	"200"	"10"	"2"	"2"	"3"	"2"	"1"	"0"	"0"	"3"	"13"	"2"	"7"	"321"	"321"
"142"	"84"	"xkWa/kh e0fo0nkSyr xat i0Hkkx"	"134"	"5"	"206"	"32"	"6"	"2"	"3"	"4"	"2"	"0"	"4"	"8"	"13"	"11"	"33"	"463"	"463"
"143"	"Total"	""	"1314"	"73"	"2528"	"425"	"32"	"18"	"19"	"39"	"17"	"16"	"14"	"38"	"82"	"55"	"130"	"4800"	"4800"
"144"	"B.F."	""	"11885"	"541"	"16536"	"1458"	"127"	"119"	"99"	"238"	"99"	"155"	"124"	"186"	"603"	"281"	"1276"	"33727"	"33727"
"145"	"G.Total"	""	"13199"	"614"	"19064"	"1883"	"159"	"137"	"118"	"277"	"116"	"171"	"138"	"224"	"685"	"336"	"1406"	"38527"	"38527"
"146"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"147"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"148"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"149"	"85"	"/keZukFk jruiqjk e0fo0"	"110"	"6"	"157"	"35"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"5"	"4"	"0"	"322"	"322"
"150"	"86"	"xkWa/kh mPp fo0 nkSyr xat m0Hkkx"	"123"	"7"	"183"	"36"	"5"	"0"	"1"	"2"	"1"	"0"	"2"	"1"	"10"	"7"	"11"	"389"	"389"
"151"	"86 A"	"xkW/kh mPp fo0 nkSyr xat m0 Hkkx"	"43"	"1"	"118"	"21"	"2"	"1"	"2"	"1"	"1"	"2"	"1"	"1"	"6"	"1"	"11"	"212"	"212"
"152"	"87"	"nkSyrxat dU;k izk0fo0"	"143"	"5"	"407"	"29"	"1"	"0"	"1"	"2"	"2"	"3"	"3"	"5"	"10"	"6"	"24"	"641"	"641"
"153"	"88"	"jktsUnz dkWysft,V mPp fo0 m0Hkkx"	"115"	"3"	"180"	"30"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"1"	"9"	"3"	"10"	"356"	"356"
"154"	"89"	"jktsUnz dkWysft,V mPp fo0 iw0Hkkx"	"177"	"7"	"106"	"21"	"4"	"1"	"1"	"5"	"1"	"3"	"0"	"1"	"8"	"3"	"19"	"357"	"357"
"155"	"89 A"	"jktsUnz dkWysft,V mPp fo0 iw0Hkkx"	"84"	"2"	"194"	"4"	"1"	"1"	"1"	"1"	"0"	"1"	"3"	"2"	"2"	"5"	"4"	"305"	"305"
"156"	"90"	"if'pfe eky[kkuk xqnjh esa p0e0e0"	"114"	"12"	"235"	"42"	"5"	"3"	"3"	"6"	"1"	"2"	"1"	"1"	"11"	"7"	"16"	"459"	"459"
"157"	"91"	"jktsUnz egkfo|ky; NijkA"	"157"	"8"	"269"	"58"	"6"	"2"	"5"	"3"	"3"	"1"	"3"	"7"	"20"	"6"	"17"	"565"	"565"
"158"	"92"	"mnwZ izk0fo0'ks[kVksyh"	"316"	"17"	"112"	"105"	"3"	"0"	"0"	"2"	"2"	"1"	"4"	"5"	"5"	"4"	"11"	"587"	"587"
"159"	"93"	"jktfd, cqfu;knh fo|ky;] xqnjh"	"21"	"2"	"242"	"6"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"6"	"285"	"285"
"160"	"94"	"vxzoky /keZ'kkyk mRrjh Hkkx"	"118"	"5"	"144"	"26"	"3"	"1"	"4"	"4"	"0"	"2"	"2"	"1"	"5"	"3"	"12"	"330"	"330"
"161"	"94 A"	"vxzoky /keZ'kkyk nkSyr xat mRrjh Hkkx"	"67"	"0"	"179"	"20"	"3"	"0"	"1"	"2"	"3"	"0"	"1"	"0"	"6"	"2"	"7"	"291"	"291"
"162"	"95"	"vxzoky /keZ'kkyk nkSyr xat n0 Hkkx"	"150"	"3"	"126"	"13"	"2"	"3"	"0"	"6"	"2"	"0"	"1"	"4"	"10"	"1"	"5"	"326"	"326"
"163"	"Total"	""	"1738"	"78"	"2652"	"446"	"37"	"15"	"20"	"36"	"17"	"17"	"22"	"30"	"110"	"54"	"153"	"5425"	"5425"
"164"	"B.F."	""	"13199"	"614"	"19064"	"1883"	"159"	"137"	"118"	"277"	"116"	"171"	"138"	"224"	"685"	"336"	"1406"	"38527"	"38527"
"165"	"G.Total"	""	"14937"	"692"	"21716"	"2329"	"196"	"152"	"138"	"313"	"133"	"188"	"160"	"254"	"795"	"390"	"1559"	"43952"	"43952"
"166"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"167"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"168"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"169"	"95 A"	"vxzoky /keZ'kkyk nkSyr xat n0 Hkkx"	"37"	"4"	"197"	"6"	"1"	"1"	"0"	"1"	"3"	"0"	"5"	"5"	"17"	"8"	"9"	"294"	"294"
"170"	"96"	"';kepd izk0fo0 iwohZ Hkkx"	"106"	"15"	"172"	"29"	"3"	"3"	"4"	"1"	"4"	"1"	"2"	"1"	"4"	"4"	"6"	"355"	"355"
"171"	"96 A"	"';kepd izk0 fo0 iwohZ Hkkx"	"109"	"5"	"240"	"12"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"6"	"4"	"8"	"391"	"391"
"172"	"97"	"e0fo0 eklwe xat"	"70"	"3"	"149"	"31"	"8"	"0"	"3"	"8"	"1"	"2"	"1"	"5"	"3"	"1"	"7"	"292"	"292"
"173"	"98"	"';kepd e0fo0 ';kepd nf{k.k Hkkx"	"194"	"17"	"113"	"89"	"9"	"2"	"3"	"4"	"7"	"2"	"3"	"13"	"16"	"6"	"17"	"495"	"495"
"174"	"99"	"';kepd e0fo0 ';kepd mRrjh Hkkx"	"298"	"23"	"153"	"29"	"3"	"1"	"3"	"6"	"3"	"3"	"2"	"9"	"13"	"10"	"32"	"588"	"588"
"175"	"100"	"vCnwy d;we valkjh m0fo0u;k Hkou e/; Hkkx"	"398"	"17"	"114"	"27"	"2"	"4"	"0"	"5"	"1"	"0"	"0"	"0"	"7"	"4"	"15"	"594"	"594"
"176"	"101"	"mnwZ enjlk nknk lkgsc cktkj uoh xat"	"91"	"4"	"145"	"19"	"1"	"1"	"4"	"3"	"0"	"0"	"2"	"1"	"4"	"0"	"5"	"280"	"280"
"177"	"101 A"	"mnwZ enjlk nknk lkgsc cktkj uoh xat"	"130"	"10"	"114"	"43"	"2"	"3"	"1"	"1"	"2"	"2"	"3"	"3"	"13"	"8"	"18"	"353"	"353"
"178"	"102"	"czEgiqj ckyd izk0fo0 NksVk czEgiqj"	"276"	"37"	"245"	"25"	"5"	"1"	"0"	"1"	"1"	"4"	"1"	"0"	"11"	"6"	"16"	"629"	"629"
"179"	"103"	"mnwZ fo|ky; czEgiqj"	"64"	"0"	"184"	"18"	"1"	"3"	"1"	"1"	"2"	"0"	"1"	"4"	"15"	"6"	"3"	"303"	"303"
"180"	"103 A"	"mnwZ fo|ky; czEgiqj"	"149"	"6"	"68"	"7"	"2"	"2"	"1"	"2"	"1"	"0"	"1"	"8"	"4"	"3"	"14"	"268"	"268"
"181"	"104"	"e/; fo0 vtk;cxat iwohZ Hkkx"	"145"	"5"	"46"	"22"	"2"	"0"	"0"	"1"	"3"	"1"	"0"	"3"	"2"	"1"	"7"	"238"	"238"
"182"	"104 A"	"e/; fo0 vtk;cxat iwohZ Hkkx"	"95"	"1"	"26"	"33"	"1"	"0"	"6"	"2"	"0"	"1"	"1"	"9"	"5"	"3"	"11"	"194"	"194"
"183"	"Total"	""	"2162"	"147"	"1966"	"390"	"40"	"22"	"26"	"39"	"28"	"17"	"23"	"62"	"120"	"64"	"168"	"5274"	"5274"
"184"	"B.F."	""	"14937"	"692"	"21716"	"2329"	"196"	"152"	"138"	"313"	"133"	"188"	"160"	"254"	"795"	"390"	"1559"	"43952"	"43952"
"185"	"G.Total"	""	"17099"	"839"	"23682"	"2719"	"236"	"174"	"164"	"352"	"161"	"205"	"183"	"316"	"915"	"454"	"1727"	"49226"	"49226"
"186"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"187"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"188"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"189"	"105"	"e/; fo0 vtk;cxat if'pe Hkkx"	"145"	"6"	"32"	"72"	"8"	"1"	"28"	"4"	"8"	"0"	"1"	"0"	"6"	"3"	"11"	"325"	"325"
"190"	"105 A"	"e/; fo0 vtk;cxat if'pe Hkkx"	"28"	"4"	"89"	"36"	"2"	"0"	"18"	"1"	"1"	"2"	"1"	"0"	"5"	"1"	"5"	"193"	"193"
"191"	"106"	"izk0fo0 rqdZofy;k"	"127"	"28"	"53"	"37"	"4"	"4"	"2"	"2"	"1"	"1"	"2"	"4"	"6"	"6"	"36"	"313"	"313"
"192"	"107"	"izk0fo0 okftriqj"	"461"	"12"	"9"	"45"	"4"	"2"	"0"	"0"	"2"	"1"	"4"	"7"	"4"	"7"	"83"	"641"	"641"
"193"	"108"	"mPp fo|ky; uSuh"	"127"	"9"	"317"	"27"	"4"	"1"	"0"	"4"	"1"	"3"	"5"	"9"	"32"	"11"	"39"	"589"	"589"
"194"	"109"	"iapk;r Hkou] uSuh"	"53"	"2"	"240"	"16"	"3"	"2"	"1"	"2"	"0"	"1"	"1"	"3"	"15"	"3"	"66"	"408"	"408"
"195"	"110"	"e/; fo0 uSuh"	"12"	"1"	"129"	"10"	"1"	"3"	"0"	"1"	"2"	"1"	"0"	"3"	"10"	"3"	"40"	"216"	"216"
"196"	"110 A"	"e/; fo0 uSuh"	"17"	"0"	"153"	"16"	"0"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"7"	"3"	"67"	"271"	"271"
"197"	"111"	"uSuh gfjtu Vksyk deZ'kkyk"	"66"	"15"	"46"	"47"	"3"	"5"	"9"	"9"	"6"	"0"	"2"	"0"	"7"	"4"	"137"	"356"	"356"
"198"	"112"	"izk0fo0 tVqvk"	"210"	"14"	"46"	"16"	"0"	"0"	"1"	"3"	"1"	"1"	"0"	"4"	"8"	"14"	"135"	"453"	"453"
"199"	"113"	"izk0fo0 fl/kofy;k"	"124"	"3"	"72"	"14"	"1"	"3"	"2"	"3"	"2"	"2"	"0"	"3"	"8"	"2"	"13"	"252"	"252"
"200"	"114"	"dU;k fo0 Qdqyh"	"10"	"24"	"175"	"18"	"3"	"1"	"4"	"10"	"3"	"3"	"2"	"2"	"15"	"4"	"12"	"286"	"286"
"201"	"114 A"	"dU; fo0 Qdqyh"	"10"	"7"	"236"	"8"	"3"	"1"	"2"	"7"	"2"	"2"	"1"	"0"	"17"	"3"	"16"	"315"	"315"
"202"	"115"	"e/; fo0Qdqyh mRrj Hkkx"	"19"	"8"	"371"	"15"	"5"	"4"	"0"	"8"	"1"	"1"	"2"	"3"	"8"	"4"	"26"	"475"	"475"
"203"	"Total"	""	"1409"	"133"	"1968"	"377"	"41"	"27"	"69"	"56"	"31"	"19"	"22"	"39"	"148"	"68"	"686"	"5093"	"5093"
"204"	"B.F,"	""	"17099"	"839"	"23682"	"2719"	"236"	"174"	"164"	"352"	"161"	"205"	"183"	"316"	"915"	"454"	"1727"	"49226"	"49226"
"205"	"G.Total"	""	"18508"	"972"	"25650"	"3096"	"277"	"201"	"233"	"408"	"192"	"224"	"205"	"355"	"1063"	"522"	"2413"	"54319"	"54319"
"206"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"207"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"209"	"116"	"e/; fo0Qdqyh nf{k.k Hkkx"	"91"	"12"	"343"	"10"	"0"	"0"	"2"	"3"	"2"	"2"	"0"	"2"	"29"	"11"	"22"	"529"	"529"
"210"	"117"	"iapk;r Hkou dfjaxk mRrjh Hkkx"	"76"	"5"	"107"	"35"	"4"	"0"	"0"	"5"	"0"	"5"	"1"	"1"	"7"	"3"	"98"	"347"	"347"
"211"	"118"	"izk0fo0djhaxk"	"69"	"3"	"251"	"2"	"2"	"1"	"1"	"1"	"2"	"2"	"1"	"4"	"19"	"3"	"94"	"455"	"455"
"212"	"119"	"iapk;r Hkou dfjaxk n0 Hkkx"	"157"	"17"	"126"	"62"	"4"	"7"	"6"	"9"	"5"	"6"	"5"	"5"	"20"	"13"	"185"	"627"	"627"
"213"	"120"	"izk0fo0 exkbZMhg"	"151"	"11"	"182"	"117"	"7"	"5"	"3"	"3"	"3"	"2"	"8"	"5"	"12"	"10"	"22"	"541"	"541"
"214"	"121"	"izk0fo0 jruiqjk chuVksyh"	"57"	"8"	"293"	"11"	"2"	"1"	"0"	"5"	"0"	"1"	"0"	"0"	"3"	"0"	"8"	"389"	"389"
"215"	"122"	"izk0fo0nfg;kWok Vksyk VkM+h mRrj Hkkx"	"20"	"2"	"315"	"4"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"8"	"0"	"5"	"359"	"359"
"216"	"122 A"	"izk0fo0nfg;kWok Vksyk VkM+h mRrj Hkkx"	"14"	"0"	"211"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"3"	"0"	"3"	"236"	"236"
"217"	"123"	"izk0fo0Vksyk VkM+h nf{k.k Hkkx"	"86"	"12"	"423"	"9"	"1"	"1"	"0"	"1"	"0"	"4"	"1"	"1"	"4"	"4"	"7"	"554"	"554"
"218"	"124"	"mnwZ izk0fo0 lk<+k usokth Vksyk iwohZ Hkkx"	"153"	"13"	"137"	"28"	"4"	"1"	"2"	"2"	"3"	"4"	"3"	"10"	"17"	"5"	"22"	"404"	"404"
"219"	"125"	"mnwZ izk0fo0 lk<+k usokth Vksyk if'pe Hkkx"	"162"	"17"	"351"	"25"	"3"	"3"	"2"	"2"	"3"	"6"	"2"	"7"	"18"	"9"	"4"	"614"	"614"
"220"	"126"	"izk0fo0 lk<+k"	"110"	"7"	"167"	"17"	"1"	"3"	"1"	"3"	"0"	"1"	"1"	"1"	"4"	"4"	"7"	"327"	"327"
"221"	"127"	"Nijk cktkj lfefr dk;kZy; iwohZ Hkkx"	"279"	"5"	"72"	"5"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"4"	"5"	"17"	"389"	"389"
"222"	"128"	"Nijk cktkj lfefr dk;kZy; if'pe Hkkx"	"84"	"2"	"210"	"52"	"4"	"4"	"1"	"0"	"1"	"1"	"2"	"2"	"13"	"9"	"14"	"399"	"399"
"223"	"Total"	""	"1509"	"114"	"3188"	"377"	"33"	"27"	"21"	"39"	"20"	"34"	"24"	"39"	"161"	"76"	"508"	"6170"	"6170"
"224"	"B.F."	""	"18508"	"972"	"25650"	"3096"	"277"	"201"	"233"	"408"	"192"	"224"	"205"	"355"	"1063"	"522"	"2413"	"54319"	"54319"
"225"	"G.Total"	""	"20017"	"1086"	"28838"	"3473"	"310"	"228"	"254"	"447"	"212"	"258"	"229"	"394"	"1224"	"598"	"2921"	"60489"	"60489"
"226"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"227"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"228"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"229"	"129"	"izk0fo0 esFkofy;k"	"363"	"16"	"27"	"34"	"7"	"2"	"0"	"1"	"2"	"2"	"0"	"5"	"6"	"10"	"43"	"518"	"518"
"230"	"130"	"izk0fo0 jkeuxj"	"283"	"17"	"40"	"48"	"3"	"0"	"2"	"2"	"2"	"3"	"1"	"5"	"3"	"3"	"12"	"424"	"424"
"231"	"130 A"	"izk0fo0 jkeuxj"	"274"	"9"	"37"	"60"	"4"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"3"	"3"	"7"	"404"	"404"
"232"	"131"	"izk0fo0 pupkSjk"	"234"	"16"	"136"	"45"	"8"	"8"	"1"	"3"	"6"	"4"	"6"	"52"	"24"	"14"	"150"	"707"	"707"
"233"	"132"	"izk0fo0 ;equk"	"342"	"14"	"33"	"87"	"8"	"3"	"0"	"5"	"2"	"2"	"6"	"11"	"5"	"10"	"73"	"601"	"601"
"234"	"133"	"ris'kj flag egkfo|ky; usokth Vksyk"	"239"	"10"	"53"	"99"	"8"	"0"	"1"	"3"	"1"	"3"	"2"	"8"	"4"	"11"	"21"	"463"	"463"
"235"	"134"	"e0fo0egrks eqlsgjh mRrjh Hkkx"	"340"	"14"	"46"	"20"	"2"	"3"	"1"	"1"	"3"	"1"	"5"	"4"	"9"	"12"	"223"	"684"	"684"
"236"	"135"	"e0fo0egrks eqlsgjh n0 Hkkx vofLFkr rsuqvk"	"283"	"6"	"83"	"31"	"6"	"1"	"2"	"7"	"6"	"4"	"6"	"9"	"15"	"11"	"87"	"557"	"557"
"237"	"136"	"dU;k izk0fo0 egrks eq'ksgjh"	"295"	"15"	"117"	"61"	"7"	"1"	"2"	"1"	"3"	"1"	"2"	"0"	"3"	"4"	"58"	"570"	"570"
"238"	"137"	"izk0fo0 ehjk eq'ksgjh"	"79"	"6"	"171"	"73"	"9"	"2"	"3"	"2"	"0"	"2"	"0"	"6"	"16"	"5"	"22"	"396"	"396"
"239"	"138"	"izk0fo0 ehjk eq'ksgjh"	"151"	"8"	"182"	"25"	"7"	"3"	"2"	"0"	"1"	"2"	"1"	"0"	"5"	"1"	"3"	"391"	"391"
"240"	"139"	"izk0fo0 ejfg;ka"	"120"	"3"	"219"	"40"	"3"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"8"	"2"	"2"	"401"	"401"
"241"	"140"	"izk0fo0/kwjh Nijk"	"262"	"8"	"61"	"17"	"4"	"1"	"1"	"2"	"0"	"2"	"1"	"5"	"5"	"6"	"103"	"478"	"478"
"242"	"141"	"izk0fo0 orkuh"	"106"	"9"	"160"	"29"	"5"	"1"	"2"	"3"	"3"	"4"	"6"	"14"	"38"	"16"	"46"	"442"	"442"
"243"	"Total"	""	"3371"	"151"	"1365"	"669"	"81"	"26"	"17"	"31"	"30"	"32"	"38"	"123"	"144"	"108"	"850"	"7036"	"7036"
"244"	"B.F"	""	"20017"	"1086"	"28838"	"3473"	"310"	"228"	"254"	"447"	"212"	"258"	"229"	"394"	"1224"	"598"	"2921"	"60489"	"60489"
"245"	"G.Total"	""	"23388"	"1237"	"30203"	"4142"	"391"	"254"	"271"	"478"	"242"	"290"	"267"	"517"	"1368"	"706"	"3771"	"67525"	"67525"
"246"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"247"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"248"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"249"	"141 A"	"izk0fo0 orkuh"	"169"	"4"	"70"	"15"	"2"	"3"	"0"	"1"	"1"	"0"	"1"	"1"	"4"	"1"	"25"	"297"	"297"
"250"	"142"	"e0fo0 cnyw Vksyk nf{k.k Hkkx"	"163"	"15"	"135"	"86"	"9"	"3"	"4"	"1"	"2"	"4"	"3"	"4"	"5"	"4"	"7"	"445"	"445"
"251"	"143"	"e0fo0 cnyw Vksyk mRrjh Hkkx"	"211"	"10"	"204"	"52"	"5"	"1"	"2"	"5"	"7"	"4"	"7"	"21"	"47"	"19"	"60"	"655"	"655"
"252"	"144"	"izk0fo0 vej Nijk"	"132"	"6"	"29"	"29"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"3"	"2"	"17"	"225"	"225"
"253"	"145"	"izk0fo0 Mqefj;k iwohZ Hkkx"	"207"	"15"	"4"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"4"	"22"	"258"	"258"
"254"	"146"	"izk0 fo0 Mqefj;k if'pe Hkkx"	"233"	"11"	"28"	"26"	"2"	"5"	"0"	"5"	"5"	"2"	"6"	"7"	"14"	"9"	"242"	"595"	"595"
"255"	"147"	"izk0fo0 yksgM+h"	"195"	"15"	"112"	"118"	"10"	"1"	"5"	"3"	"2"	"3"	"6"	"22"	"17"	"5"	"30"	"544"	"544"
"256"	"148"	"izk0fo0 yksgM+k"	"156"	"27"	"252"	"74"	"13"	"3"	"1"	"3"	"4"	"2"	"0"	"2"	"10"	"10"	"82"	"639"	"639"
"257"	"149"	"mPp fo0 xq:dqy esfg;kWa"	"79"	"7"	"241"	"140"	"15"	"7"	"3"	"2"	"2"	"3"	"4"	"23"	"21"	"7"	"16"	"570"	"570"
"258"	"150"	"e/; fo0 clk<+h"	"138"	"11"	"250"	"9"	"1"	"4"	"0"	"1"	"4"	"2"	"2"	"2"	"16"	"10"	"40"	"490"	"490"
"259"	"151"	"dU;k izk0fo0 usokth Vksyk mRrjh Hkkx"	"16"	"1"	"263"	"7"	"1"	"1"	"0"	"6"	"1"	"0"	"0"	"1"	"10"	"5"	"6"	"318"	"318"
"260"	"151 A"	"dU;k izk0fo0 usokth Vksyk mRrjh Hkkx"	"218"	"7"	"100"	"57"	"11"	"2"	"1"	"3"	"0"	"0"	"1"	"5"	"4"	"2"	"8"	"419"	"419"
"261"	"152"	"dU;k izk0fo0 usokth Vksyk nf{k.kh Hkkx"	"62"	"3"	"189"	"4"	"1"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"8"	"4"	"10"	"289"	"289"
"262"	"153"	"izkFkfed fo|ky;] ekyk iwohZ Hkkx"	"67"	"2"	"200"	"87"	"4"	"11"	"5"	"2"	"1"	"4"	"4"	"8"	"15"	"4"	"14"	"428"	"428"
"263"	"Total"	""	"2046"	"134"	"2077"	"706"	"77"	"43"	"26"	"36"	"31"	"25"	"34"	"98"	"174"	"86"	"579"	"6172"	"6172"
"264"	"B.F."	""	"23388"	"1237"	"30203"	"4142"	"391"	"254"	"271"	"478"	"242"	"290"	"267"	"517"	"1368"	"706"	"3771"	"67525"	"67525"
"265"	"G.Total"	""	"25434"	"1371"	"32280"	"4848"	"468"	"297"	"297"	"514"	"273"	"315"	"301"	"615"	"1542"	"792"	"4350"	"73697"	"73697"
"266"	"Booth No."	"Name of Booth"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	"Total"
"267"	""	""	"Udit Rai"	"Jitendra Kumar Singh"	"Ram Pravesh Ray"	"Ram Babu Ray"	"Ajay Singh"	"Pradeep Kumar"	"Braj Nandan Kishore Besra"	"Bishan Rai"	"Raghuba nsh Prasad Singh"	"Raj Narayan Gupta"	"Laxman Rai"	"Brajesh Kumar"	"Sankar Choubey"	"Satish Kumar"	"Subhsh Rai"	""	""
"268"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"269"	"154"	"izk0fo0 ekyk"	"22"	"3"	"45"	"144"	"6"	"4"	"2"	"2"	"0"	"1"	"5"	"21"	"23"	"5"	"11"	"294"	"294"
"270"	"155"	"e0fo0 ?ks?kVk iwohZ Hkkx"	"369"	"9"	"110"	"44"	"2"	"2"	"2"	"3"	"1"	"0"	"0"	"2"	"10"	"4"	"29"	"587"	"587"
