"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"sembly Constituency/Segment                                                227264"	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Assembly/Segment                                                             199-Shahpur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM
BHARAN SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR.
GAUTAM OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"159"	"121"	"HIGH SCHOOL JADOPUR (EAST PART)"	"146"	"34"	"0"	"74"	"3"	"2"	"3"	"4"	"266"	"0"	"266"	"0"
"160"	"122"	"HIGH SCHOOL JADOPUR (WEST PART)"	"179"	"187"	"33"	"86"	"5"	"1"	"1"	"3"	"495"	"0"	"495"	"0"
"161"	"123"	"MIDDLE SCHOOL TIYAR"	"95"	"65"	"6"	"243"	"20"	"12"	"4"	"9"	"454"	"0"	"454"	"0"
"162"	"124"	"PRIMARY SCHOOL TIYAR"	"37"	"99"	"8"	"172"	"45"	"7"	"3"	"5"	"376"	"0"	"376"	"0"
"163"	"125"	"MIDDLE SCHOOL SEKARYIA   (NORTH PART)"	"126"	"200"	"4"	"99"	"3"	"3"	"3"	"9"	"447"	"0"	"447"	"0"
"164"	"126"	"MIDDLE SCHOOL SIKARYIA (SOUTH PART)"	"34"	"172"	"4"	"174"	"7"	"2"	"5"	"11"	"409"	"0"	"409"	"0"
"165"	"127"	"PRIMARY SCHOOL MANIYARA"	"111"	"144"	"4"	"208"	"25"	"0"	"7"	"4"	"503"	"0"	"503"	"0"
"166"	"128"	"PRIMARY SCHOOL BIKRAMPUR"	"198"	"159"	"7"	"100"	"3"	"4"	"4"	"18"	"493"	"0"	"493"	"0"
"167"	"129"	"URDU MIDDLE SCHOOL BAGAHI(NORTH PART)"	"53"	"20"	"1"	"244"	"9"	"6"	"0"	"1"	"334"	"0"	"334"	"0"
"168"	"130"	"URDU MIDDLE SCHOOL BAGAHI (SOUTH PART)"	"97"	"44"	"6"	"382"	"12"	"2"	"6"	"9"	"558"	"0"	"558"	"0"
"169"	"131"	"PRIMARY SCHOOL CHAKAWATH"	"143"	"198"	"12"	"111"	"10"	"6"	"7"	"10"	"497"	"0"	"497"	"0"
"170"	"132"	"PRIMARY SCHOOL CHAKAWATH (TOLA CHKRAHI)"	"27"	"2"	"2"	"239"	"112"	"3"	"2"	"11"	"398"	"0"	"398"	"0"
"171"	"133"	"PANCHAYAT BHAWAN CHAKRAHI"	"67"	"136"	"7"	"122"	"48"	"21"	"8"	"25"	"434"	"0"	"434"	"0"
"172"	"134"	"MIDDLE SCHOOL MAHUAON (EAST PART)"	"3"	"49"	"5"	"220"	"36"	"24"	"3"	"1"	"341"	"0"	"341"	"0"
"173"	"135"	"MIDDLE SCHOOL MAHUAON (WEST PART)"	"9"	"46"	"4"	"217"	"40"	"12"	"2"	"2"	"332"	"0"	"332"	"0"
"174"	"136"	"PRIMARY SCHOOL BHRASARAA YADAV"	"23"	"12"	"87"	"214"	"25"	"9"	"7"	"7"	"384"	"0"	"384"	"0"
"175"	"137"	"PRIMARY SCHOOL BARSARAA MANGEET (NORTH PART)"	"100"	"65"	"20"	"139"	"111"	"9"	"3"	"8"	"455"	"0"	"455"	"0"
"176"	"138"	"PRIMARY SCHOOL BARSARAA MANGEET (SOUTH PART)"	"96"	"176"	"6"	"121"	"18"	"1"	"2"	"11"	"431"	"0"	"431"	"0"
"177"	"139"	"PRIMARY SCHOOL MAJHAULI(NORTH PART)"	"44"	"84"	"3"	"174"	"134"	"5"	"3"	"4"	"451"	"0"	"451"	"0"
"178"	"140"	"PRIMARY SCHOOL MAJHAULI(WEST PART)"	"140"	"185"	"13"	"83"	"92"	"14"	"5"	"10"	"542"	"0"	"542"	"0"
"179"	"141"	"PRIMARY SCHOOL OSSAIE TOLA GUNJ"	"204"	"64"	"14"	"124"	"24"	"7"	"8"	"53"	"498"	"0"	"498"	"0"
"180"	"142"	"MIDDLE SCHOOL OSSAIE (NORTH PART)"	"138"	"122"	"15"	"160"	"32"	"3"	"4"	"18"	"492"	"0"	"492"	"0"
"181"	"143"	"MIDDLE SCHOOL OSSAIE (EAST PART)"	"153"	"138"	"18"	"50"	"9"	"3"	"4"	"11"	"386"	"0"	"386"	"0"
"182"	"143A"	"MIDDLE SCHOOL OSSAIE (MIDDLE PART)"	"123"	"101"	"5"	"44"	"7"	"0"	"6"	"7"	"293"	"0"	"293"	"0"
"183"	"144"	"PRIMARY SCHOOL AANER"	"119"	"96"	"12"	"257"	"15"	"2"	"5"	"8"	"514"	"0"	"514"	"0"
"184"	"145"	"PRIMARY SCHOOL BARUNA"	"206"	"83"	"4"	"57"	"0"	"2"	"2"	"3"	"357"	"0"	"357"	"0"
"185"	"146"	"PANCHAYAT BHAWAN FINANGI"	"16"	"2"	"1"	"379"	"22"	"5"	"8"	"11"	"444"	"0"	"444"	"0"
"186"	"146A"	"PANCHAYAT BHAWAN FINANGI(BARAMDA)"	"74"	"17"	"2"	"134"	"9"	"3"	"4"	"9"	"252"	"0"	"252"	"0"
"187"	"147"	"PRIMARY SCHOOL JAMUAN (EAST PART)"	"35"	"134"	"9"	"65"	"56"	"4"	"1"	"2"	"306"	"0"	"306"	"0"
"188"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"189"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"190"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"191"	"148"	"PRIMARY SCHOOL JAMUAN (WEST PART)"	"101"	"166"	"12"	"303"	"21"	"5"	"8"	"17"	"633"	"0"	"633"	"0"
"192"	"149"	"PRIMARY SCHOOL NARAYANPUR"	"160"	"61"	"5"	"162"	"12"	"1"	"4"	"10"	"415"	"0"	"415"	"0"
"193"	"150"	"PRIMARY SCHOOL KHARAUNI"	"173"	"228"	"4"	"17"	"1"	"2"	"1"	"8"	"434"	"0"	"434"	"0"
"194"	"151"	"PRIMARY SCHOOL BILONA"	"92"	"112"	"6"	"134"	"15"	"4"	"8"	"25"	"396"	"0"	"396"	"0"
"195"	"152"	"PRIMARY SCHOOL DHOGARA"	"39"	"160"	"8"	"140"	"47"	"11"	"8"	"20"	"433"	"0"	"433"	"0"
"196"	"152A"	"PRIMARY SCHOOL DHOGARA(S)"	"64"	"133"	"2"	"52"	"6"	"1"	"4"	"1"	"263"	"0"	"263"	"0"
"197"	"153"	"HARIZAN SCHOOL DHOGRA CHAMAR TOLI"	"133"	"90"	"29"	"100"	"20"	"4"	"11"	"20"	"407"	"0"	"407"	"0"
"198"	"154"	"MIDDLE SCHOOL THEGRA (NORTH PART)"	"39"	"57"	"9"	"220"	"17"	"6"	"4"	"17"	"369"	"0"	"369"	"0"
"199"	"155"	"MIDDLE SCHOOL TEGHRA(SOUTH PART)"	"31"	"92"	"4"	"243"	"41"	"9"	"7"	"13"	"440"	"0"	"440"	"0"
"200"	"156"	"SAMUDIYIK BAHWAN BHOGACHAK"	"3"	"1"	"0"	"75"	"3"	"0"	"0"	"0"	"82"	"0"	"82"	"0"
"201"	"157"	"SENIOR BASIC SCHOOL AMARIE NAWADA (NORTH PART)"	"267"	"73"	"21"	"124"	"12"	"9"	"11"	"17"	"534"	"0"	"534"	"0"
"202"	"158"	"SENIOR BASIC SCHOOL AMARIE NAWADA (SOUTH PART)"	"512"	"51"	"11"	"31"	"3"	"3"	"13"	"20"	"644"	"0"	"644"	"0"
"203"	"159"	"P.S BIHYA GOON"	"42"	"181"	"24"	"82"	"7"	"3"	"3"	"7"	"349"	"0"	"349"	"0"
"204"	"159A"	"P.S BIHYA GOON(E)"	"120"	"244"	"8"	"104"	"19"	"3"	"6"	"14"	"518"	"0"	"518"	"0"
"205"	"160"	"KASTORBA HIGH SCHOOL BIHIYA (EAST PART)"	"29"	"200"	"2"	"170"	"11"	"3"	"2"	"4"	"421"	"0"	"421"	"0"
"206"	"161"	"KASTORBA HIHG SCHOOL BIHIYA (WEST PART)"	"50"	"287"	"5"	"127"	"8"	"1"	"2"	"4"	"484"	"0"	"484"	"0"
"207"	"162"	"BYAPAR MANDEL KARAYALAY BIHIYA  (NORTH PART)"	"34"	"263"	"8"	"103"	"5"	"2"	"5"	"9"	"429"	"0"	"429"	"0"
"208"	"163"	"PRIMARY SCHOOL SHIV MANDIR POKHRA"	"20"	"424"	"9"	"159"	"1"	"3"	"1"	"8"	"625"	"0"	"625"	"0"
"209"	"164"	"BYAPAR MANDAL KARYALAY BIHIYAYA (SOUTH PART)"	"71"	"449"	"4"	"113"	"5"	"3"	"4"	"3"	"652"	"0"	"652"	"0"
"210"	"165"	"KANYA MEDDLE SCHOOL BIHIYA (EAST PART)"	"37"	"202"	"2"	"163"	"5"	"7"	"2"	"7"	"425"	"0"	"425"	"0"
"211"	"166"	"KANYA MEDDLE SCHOOL BIHIYA (WEST PART)"	"15"	"230"	"3"	"164"	"8"	"6"	"5"	"8"	"439"	"0"	"439"	"0"
"212"	"167"	"HIGH SCHOOL , BIHIYA (NORTH PART)"	"30"	"254"	"7"	"112"	"4"	"4"	"9"	"6"	"426"	"0"	"426"	"0"
"213"	"168"	"HIGH SCHOOL , BIHIYA (SOUTH PART)"	"39"	"351"	"3"	"203"	"19"	"5"	"4"	"11"	"635"	"0"	"635"	"0"
"214"	"169"	"PRIMARY SCHOOL , BIHIYA (EAST PART)"	"47"	"162"	"6"	"206"	"19"	"6"	"3"	"7"	"456"	"0"	"456"	"0"
"215"	"170"	"PRIMARY SCHOOL , BIHIYA (WEST PART)"	"45"	"330"	"11"	"111"	"3"	"1"	"2"	"5"	"508"	"0"	"508"	"0"
"216"	"171"	"MIDDLE SCHOOL KATEYAN(NORTH PART)"	"121"	"183"	"9"	"189"	"12"	"3"	"5"	"6"	"528"	"0"	"528"	"0"
"217"	"172"	"MIDDLE SCHOOL , KATEYAN (SOUTH PART)"	"68"	"164"	"4"	"311"	"5"	"1"	"6"	"19"	"578"	"0"	"578"	"0"
"218"	"173"	"MIDDLE SCHOOL , KATEYAN (MIDDLE PART )"	"190"	"74"	"9"	"154"	"59"	"4"	"10"	"20"	"520"	"0"	"520"	"0"
"219"	"174"	"PRIMARY SCHOOL , NIRANPUR"	"30"	"190"	"26"	"147"	"11"	"7"	"7"	"15"	"433"	"0"	"433"	"0"
"220"	"175"	"PRIMARY SCHOOL , SAMARDAAH"	"77"	"100"	"6"	"88"	"112"	"4"	"4"	"7"	"398"	"0"	"398"	"0"
"221"	"176"	"PRIMARY SCHOOL , KUNWARDAAH"	"112"	"36"	"5"	"29"	"67"	"3"	"2"	"12"	"266"	"0"	"266"	"0"
"222"	"177"	"PRIMAY SCHOOL , NOSAYTAR"	"113"	"46"	"10"	"358"	"24"	"6"	"1"	"4"	"562"	"0"	"562"	"0"
"223"	"178"	"HIGH SCHOOL , KALYANPUR (EAST PART)"	"155"	"124"	"12"	"133"	"9"	"12"	"22"	"64"	"531"	"0"	"531"	"0"
"224"	"179"	"HIGH SCHOOL KALYANPUR (WEST PART)"	"135"	"36"	"2"	"134"	"22"	"6"	"9"	"29"	"373"	"0"	"373"	"0"
"225"	"180"	"MIDDLE SCHOOL , KALYANPUR"	"88"	"66"	"8"	"111"	"15"	"4"	"5"	"23"	"320"	"0"	"320"	"0"
"226"	"181"	"PRIMARY SCHOOL , NARAYANPUR"	"239"	"75"	"12"	"104"	"12"	"3"	"6"	"22"	"473"	"0"	"473"	"0"
"227"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"228"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"229"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"230"	"182"	"PRIMARY SCHOOL , BANDHA (EAST PART)"	"85"	"102"	"6"	"108"	"4"	"0"	"2"	"11"	"318"	"0"	"318"	"0"
"231"	"183"	"PRIMARY SCHOOL , BANDHA (WEST PART)"	"128"	"141"	"5"	"74"	"4"	"4"	"9"	"10"	"375"	"0"	"375"	"0"
"232"	"184"	"MIDDLE SCHOOL , KORYIA"	"136"	"175"	"11"	"259"	"10"	"7"	"6"	"16"	"620"	"0"	"620"	"0"
"233"	"185"	"PRIMARY SCHOOL , GHAGHA"	"155"	"82"	"3"	"95"	"7"	"6"	"3"	"16"	"367"	"0"	"367"	"0"
"234"	"186"	"MIDDLE SCHOOL , PIPRA ,JAGDISH (EAST PART)"	"178"	"59"	"8"	"134"	"6"	"2"	"7"	"19"	"413"	"0"	"413"	"0"
"235"	"187"	"MIDDLE SCHOOL , PIPRA JAGDISH (WEST PART)"	"96"	"92"	"0"	"82"	"7"	"1"	"1"	"4"	"283"	"0"	"283"	"0"
"236"	"188"	"PRIMARY SCHOOL , BARRA"	"134"	"259"	"3"	"127"	"0"	"15"	"7"	"10"	"555"	"0"	"555"	"0"
"237"	"189"	"PRIMARY SCHOOL , SANDAUR"	"93"	"381"	"5"	"154"	"8"	"3"	"5"	"19"	"668"	"0"	"668"	"0"
"238"	"190"	"PRIMARY SCHOOL , MISSROLY (EAST PART)"	"182"	"116"	"7"	"75"	"2"	"11"	"5"	"20"	"418"	"0"	"418"	"0"
"239"	"191"	"PRIMARY SCHOOL , KAWALPATI"	"39"	"143"	"3"	"77"	"11"	"0"	"3"	"7"	"283"	"0"	"283"	"0"
"240"	"192"	"MIDDLE SCHOOL , DUMARIYA"	"116"	"163"	"2"	"56"	"6"	"0"	"3"	"10"	"356"	"0"	"356"	"0"
"241"	"193"	"PRIMARY SCHOOL , DUMARYA"	"163"	"55"	"36"	"142"	"18"	"3"	"9"	"23"	"449"	"0"	"449"	"0"
"242"	"194"	"PRIMARY SCHOOL , KHARAUNI(EAST PART)"	"41"	"185"	"5"	"56"	"6"	"2"	"1"	"15"	"311"	"0"	"311"	"0"
"243"	"195"	"PRIMARY SCHOOL , KHARAUNI(WEST PART)"	"196"	"101"	"31"	"92"	"6"	"12"	"7"	"25"	"470"	"0"	"470"	"0"
"244"	"196"	"PRIMARY SCHOOL , DHAWARI (EAST PARRT)"	"111"	"209"	"6"	"52"	"4"	"0"	"4"	"3"	"389"	"0"	"389"	"0"
"245"	"197"	"PRIMARY SCHOOL , DHAWARI (WEST PART)"	"16"	"126"	"7"	"168"	"10"	"1"	"0"	"6"	"334"	"0"	"334"	"0"
"246"	"198"	"PRIMARY SCHOOL , PAKRI"	"153"	"154"	"7"	"90"	"3"	"3"	"4"	"9"	"423"	"0"	"423"	"0"
"247"	"199"	"PANCHYAT BAWAN , KARJA"	"11"	"120"	"8"	"251"	"12"	"3"	"1"	"2"	"408"	"0"	"408"	"0"
"248"	"200"	"MIDDLE SCHOOL ,KARJA (NORTH PART)"	"61"	"212"	"7"	"93"	"3"	"2"	"3"	"14"	"395"	"0"	"395"	"0"
"249"	"201"	"MIDDLE SCHOOL , KARJA UMRAVGANJ (SOUTH PART)"	"50"	"82"	"9"	"165"	"8"	"1"	"1"	"6"	"322"	"0"	"322"	"0"
"250"	"202"	"PRIMARY SCHOOL , CHAR GHAT"	"117"	"168"	"22"	"104"	"23"	"2"	"5"	"13"	"454"	"0"	"454"	"0"
"251"	"203"	"PRIMARY SCHOOL , RAJPUR"	"83"	"69"	"1"	"134"	"9"	"39"	"8"	"11"	"354"	"0"	"354"	"0"
"252"	"204"	"PRIMARY SCHOOL GAURA (NORTHERN PART)"	"119"	"174"	"38"	"95"	"7"	"10"	"4"	"11"	"458"	"0"	"458"	"0"
"253"	"205"	"PRIMARY SCHOOL GAURA(SOUTHERN PART)"	"33"	"202"	"8"	"247"	"7"	"14"	"7"	"7"	"525"	"0"	"525"	"0"
"254"	"206"	"PANCHAYAT BHAWAN GAURA"	"10"	"140"	"3"	"38"	"4"	"1"	"3"	"4"	"203"	"0"	"203"	"0"
"255"	"207"	"HIGH SCHOOL PAHARPUR(NORTHERN PART)"	"44"	"140"	"7"	"161"	"8"	"8"	"7"	"16"	"391"	"0"	"391"	"0"
"256"	"208"	"HIGH SCHOOL PAHARPUR(SOUTHERN PART)"	"21"	"129"	"3"	"71"	"6"	"1"	"5"	"4"	"240"	"0"	"240"	"0"
"257"	"209"	"PRIMARY SCHOOL CHANAUR"	"12"	"198"	"1"	"74"	"13"	"3"	"1"	"7"	"309"	"0"	"309"	"0"
"258"	"210"	"PRIMARY SCHOOL RAMDIHRA"	"0"	"13"	"0"	"458"	"2"	"0"	"0"	"1"	"474"	"0"	"474"	"0"
"259"	"211"	"RAJKIYA BUNIYADI MIDDLE SCHOOL BENWALIYA(NORTHERN PAR"	"37"	"200"	"11"	"93"	"4"	"0"	"3"	"13"	"361"	"0"	"361"	"0"
"260"	"211A"	"RAJKIYA BUNIYADI MIDDLE SCHOOL BENWALIYA(MIDDLE PART)"	"14"	"190"	"7"	"70"	"7"	"1"	"4"	"10"	"303"	"0"	"303"	"0"
"261"	"212"	"RAJKIYA BUNIYADI MIDDLE SCHOOL BENWALIYA(SOUTHERN PAR"	"81"	"218"	"13"	"67"	"3"	"1"	"4"	"7"	"394"	"0"	"394"	"0"
"262"	"213"	"HIGH SCHOOL JHAUWANTOLA BENWALIYA(SOUTHERN PART)"	"40"	"100"	"8"	"387"	"12"	"3"	"2"	"12"	"564"	"0"	"564"	"0"
"263"	"214"	"HIGH SCHOOL BENWALIYA(NORTHERN PART)"	"27"	"67"	"5"	"196"	"9"	"4"	"5"	"4"	"317"	"0"	"317"	"0"
"264"	"215"	"PANCHAYAT BHAWAN JHAUWANTOLA BENWALIYA"	"33"	"91"	"5"	"332"	"9"	"5"	"7"	"7"	"489"	"0"	"489"	"0"
"265"	"216"	"MIDDLE SCHOOL SUNDERPUR BARJA(SOUTHERN PART)"	"3"	"414"	"2"	"83"	"2"	"2"	"1"	"8"	"515"	"0"	"515"	"0"
"266"	"Serial No. of Polling Station"	""	"DHARMPAL SINGH"	"MUNNI DEVI"	"RAM BHARAN
SAXENA"	"SHIVANAND TIWARY"	"DADAN SINGH"	"RAMAKANT THAKUR"	"KALIKA SINGH"	"DR. GAUTAM
OJHA"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"267"	""	""	"LJSP"	"BJP"	"BSP"	"RJD"	"AJVD"	"SP"	"IND"	"IND"	""	""	""	""
"268"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"269"	"217"	"MIDDLE SCHOOL SUNDERPUR BARJA (NORTHERN PART)"	"62"	"454"	"3"	"85"	"3"	"0"	"0"	"4"	"611"	"0"	"611"	"0"
"270"	"218"	"PRIMARY SCHOOL SUNDERPUR BARJA"	"87"	"202"	"5"	"69"	"4"	"15"	"5"	"5"	"392"	"0"	"392"	"0"
"271"	"218A"	"PRIMARY SCHOOL SUNDERPUR BARJA(S)"	"11"	"237"	"3"	"107"	"1"	"5"	"3"	"7"	"374"	"0"	"374"	"0"
"272"	"Total No. of Votes recorded at Polling Stations"	""	"18766"	"34115"	"2062"	"31311"	"4128"	"1233"	"996"	"2409"	"95020"	"0"	"95020"	"0"
"273"	"No of votes recorded on postal ballot papers"	""	"0"	"6"	"1"	"3"	"1"	"0"	"0"	"0"	"11"	"0"	"11"	"0"
"274"	""	"Total votes polled"	"18766"	"34121"	"2063"	"31314"	"4129"	"1233"	"996"	"2409"	"95031"	"0"	"95031"	"0"
"275"	"Place :"	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Date : 22/11/2005                                                                                                                                                                                           Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
