"ernku.dsUnz.la..k"	"iiiizzRRzzRR....kkkk....kkkkhhhh.ddddssss.eeeerrrr"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"297"	"189"	"32"	"9"	"45"	"523"	"23"	"14"	"41"	"687"
"298"	"190"	"72"	"1"	"18"	"87"	"7"	""	"6"	"191"
"299"	"191"	"62"	"7"	"13"	"307"	"21"	"6"	"11"	"427"
"300"	"192"	"213"	"3"	"23"	"121"	"4"	"1"	"2"	"367"
"301"	"193"	"411"	"27"	"25"	"67"	"12"	"4"	"24"	"570"
"302"	"194"	"25"	"2"	"12"	"234"	"13"	"2"	"7"	"295"
"303"	"195"	"45"	"1"	"6"	"111"	"6"	""	"1"	"170"
"304"	"196"	"16"	"12"	"163"	"164"	"14"	"4"	"14"	"387"
"305"	";ksx&"	"2489"	"119"	"611"	"2735"	"177"	"61"	"206"	"6398"
"306"	"LFkku&"	""	""	""	""	""	""	""	""
"307"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"308"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"309"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"310"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"311"	"197"	"150"	"11"	"22"	"194"	"13"	"9"	"17"	"416"
"312"	"198"	"274"	"14"	"131"	"269"	"18"	"18"	"17"	"741"
"313"	"199"	"242"	"20"	"45"	"189"	"14"	"10"	"18"	"538"
"314"	"200"	"150"	"3"	"18"	"289"	"9"	"1"	"5"	"475"
"315"	"201"	"18"	"3"	"38"	"275"	"14"	"5"	"8"	"361"
"316"	"202"	"80"	"4"	"28"	"178"	"6"	"2"	"13"	"311"
"317"	"203"	"99"	"7"	"53"	"224"	"19"	"10"	"23"	"435"
"318"	"203A"	"239"	"15"	"24"	"118"	"13"	"6"	"8"	"423"
"319"	"204"	"172"	"7"	"12"	"344"	"7"	"3"	"8"	"553"
"320"	"205"	"123"	"75"	"34"	"213"	"8"	"3"	"4"	"460"
"321"	"206"	"158"	"12"	"68"	"370"	"18"	"8"	"12"	"646"
"322"	"207"	"105"	"14"	"155"	"142"	"11"	"6"	"20"	"453"
"323"	"208"	"88"	"22"	"153"	"117"	"11"	"6"	"34"	"431"
"324"	"209"	"266"	"12"	"35"	"81"	"1"	"2"	"8"	"405"
"325"	";ksx&"	"2164"	"219"	"816"	"3003"	"162"	"89"	"195"	"6648"
"326"	"LFkku&"	""	""	""	""	""	""	""	""
"327"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
"328"	"ernku dsUnz
la[;k"	"iiiizzRRzzRR;;;;kkkk''''kkkkhhhh ddddssss eeeerrrr"	""	""	""	""	""	""	""
"329"	""	"tkcsn bdoky
valkjh"	"uoy fd'kksj
izlkn flag"	"jfo dqekj flag"	"jkeukjk;.k
ea.My"	"vkse izdk'k
xqIrk"	"jkepUnz
jtd"	"yky eksgu 'kekZ"	"erks dk ;ksx"
"330"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"
"331"	"210"	"84"	"4"	"105"	"154"	"12"	"4"	"16"	"379"
"332"	"211"	"158"	"10"	"21"	"146"	"8"	"1"	"2"	"346"
"333"	"212"	"390"	"9"	"26"	"21"	"1"	"1"	"12"	"460"
"334"	"213"	"62"	"4"	"18"	"215"	"10"	"3"	"1"	"313"
"335"	"214"	"94"	"2"	"33"	"104"	""	"0"	"3"	"236"
"336"	";ksx&"	"788"	"29"	"203"	"640"	"31"	"9"	"34"	"1734"
"337"	"LFkku&"	""	""	""	""	""	""	""	""
"338"	"fnukad&                                                            lax.kd dk gLrk{kj         i;Zos{kd dk gLrk{j"	""	""	""	""	""	""	""	""
