"Total.No..of.Electors.in.Assembly.Constituency.Segment"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"162"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"163"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"164"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"165"	"B/F"	"4538"	""	"27036"	""	"385"	""	"479"	""	"187"	""	"450"	""	"119"	"969"	"144"	"195"	"304"	""	"34806"	"0"	"34806"	""
"166"	"77"	"28"	""	"358"	""	"0"	""	"2"	""	"1"	""	"4"	""	"0"	"4"	"1"	"3"	"4"	""	"405"	"0"	"405"	""
"167"	"78"	"65"	""	"353"	""	"10"	""	"2"	""	"6"	""	"8"	""	"4"	"15"	"2"	"6"	"9"	""	"480"	"0"	"480"	""
"168"	"79"	"22"	""	"337"	""	"10"	""	"11"	""	"9"	""	"4"	""	"2"	"9"	"1"	"0"	"0"	""	"405"	"0"	"405"	""
"169"	"80"	"21"	""	"441"	""	"2"	""	"0"	""	"1"	""	"3"	""	"0"	"12"	"1"	"2"	"0"	""	"483"	"0"	"483"	""
"170"	"81"	"38"	""	"437"	""	"4"	""	"1"	""	"1"	""	"8"	""	"2"	"6"	"0"	"2"	"5"	""	"504"	"0"	"504"	""
"171"	"82"	"26"	""	"237"	""	"1"	""	"0"	""	"0"	""	"6"	""	"0"	"9"	"0"	"1"	"7"	""	"287"	"0"	"287"	""
"172"	"82A"	"16"	""	"301"	""	"4"	""	"3"	""	"2"	""	"1"	""	"3"	"12"	"1"	"1"	"1"	""	"345"	"0"	"345"	""
"173"	"83"	"78"	""	"351"	""	"5"	""	"5"	""	"3"	""	"8"	""	"3"	"67"	"0"	"1"	"3"	""	"524"	"0"	"524"	""
"174"	"84"	"46"	""	"436"	""	"5"	""	"0"	""	"2"	""	"6"	""	"0"	"8"	"1"	"2"	"2"	""	"508"	"0"	"508"	""
"175"	"85"	"56"	""	"250"	""	"1"	""	"2"	""	"0"	""	"5"	""	"0"	"42"	"2"	"1"	"4"	""	"363"	"0"	"363"	""
"176"	"86"	"72"	""	"167"	""	"3"	""	"1"	""	"4"	""	"7"	""	"3"	"84"	"4"	"1"	"7"	""	"353"	"0"	"353"	""
"177"	"86A"	"50"	""	"53"	""	"1"	""	"2"	""	"1"	""	"3"	""	"0"	"145"	"4"	"0"	"4"	""	"263"	"0"	"263"	""
"178"	"87"	"199"	""	"28"	""	"0"	""	"3"	""	"3"	""	"0"	""	"1"	"97"	"2"	"0"	"6"	""	"339"	"0"	"339"	""
"179"	"87A"	"177"	""	"23"	""	"2"	""	"13"	""	"10"	""	"1"	""	"1"	"90"	"4"	"1"	"3"	""	"325"	"0"	"325"	""
"180"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"TOTAL"	"5432"	""	"30808"	""	"433"	""	"524"	""	"230"	""	"514"	""	"138"	"1569"	"167"	"216"	"359"	""	"40390"	"0"	"40390"	""
"182"	"ROUND:- 8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"185"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"186"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"187"	"B/F"	"5432"	""	"30808"	""	"433"	""	"524"	""	"230"	""	"514"	""	"138"	"1569"	"167"	"216"	"359"	""	"40390"	"0"	"40390"	""
"188"	"88"	"26"	""	"330"	""	"1"	""	"1"	""	"9"	""	"2"	""	"0"	"10"	"2"	"1"	"0"	""	"382"	"0"	"382"	""
"189"	"89"	"11"	""	"167"	""	"0"	""	"1"	""	"1"	""	"3"	""	"1"	"21"	"1"	"2"	"2"	""	"210"	"0"	"210"	""
"190"	"89A"	"13"	""	"338"	""	"2"	""	"0"	""	"50"	""	"7"	""	"1"	"15"	"3"	"2"	"2"	""	"433"	"0"	"433"	""
"191"	"90"	"49"	""	"271"	""	"0"	""	"0"	""	"3"	""	"2"	""	"1"	"13"	"0"	"1"	"1"	""	"341"	"0"	"341"	""
"192"	"90A"	"20"	""	"357"	""	"1"	""	"2"	""	"3"	""	"5"	""	"1"	"31"	"1"	"1"	"3"	""	"425"	"0"	"425"	""
"193"	"91"	"81"	""	"224"	""	"8"	""	"3"	""	"3"	""	"3"	""	"1"	"15"	"0"	"1"	"3"	""	"342"	"0"	"342"	""
"194"	"91A"	"21"	""	"231"	""	"0"	""	"2"	""	"18"	""	"6"	""	"2"	"3"	"0"	"0"	"3"	""	"286"	"0"	"286"	""
"195"	"92"	"273"	""	"90"	""	"1"	""	"8"	""	"27"	""	"2"	""	"0"	"3"	"1"	"2"	"4"	""	"411"	"0"	"411"	""
"196"	"93"	"22"	""	"469"	""	"6"	""	"6"	""	"17"	""	"15"	""	"5"	"8"	"3"	"2"	"8"	""	"561"	"0"	"561"	""
"197"	"94"	"51"	""	"484"	""	"2"	""	"1"	""	"7"	""	"4"	""	"1"	"17"	"0"	"0"	"3"	""	"570"	"0"	"570"	""
"198"	"95"	"19"	""	"449"	""	"4"	""	"15"	""	"5"	""	"14"	""	"2"	"21"	"2"	"1"	"6"	""	"538"	"0"	"538"	""
"199"	"96"	"19"	""	"204"	""	"3"	""	"0"	""	"5"	""	"3"	""	"2"	"8"	"6"	"20"	"18"	""	"288"	"0"	"288"	""
"200"	"97"	"18"	""	"345"	""	"5"	""	"5"	""	"4"	""	"5"	""	"2"	"4"	"0"	"7"	"3"	""	"398"	"0"	"398"	""
"201"	"98"	"95"	""	"258"	""	"11"	""	"37"	""	"64"	""	"11"	""	"5"	"13"	"6"	"8"	"8"	""	"516"	"0"	"516"	""
"202"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"TOTAL"	"6150"	""	"35025"	""	"477"	""	"605"	""	"446"	""	"596"	""	"162"	"1751"	"192"	"264"	"423"	""	"46091"	"0"	"46091"	""
"204"	"ROUND:- 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"207"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"208"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"209"	"B/F"	"6150"	""	"35025"	""	"477"	""	"605"	""	"446"	""	"596"	""	"162"	"1751"	"192"	"264"	"423"	""	"46091"	"0"	"46091"	""
"210"	"99"	"39"	""	"307"	""	"3"	""	"4"	""	"4"	""	"4"	""	"4"	"20"	"3"	"2"	"3"	""	"393"	"0"	"393"	""
"211"	"99A"	"21"	""	"136"	""	"2"	""	"5"	""	"11"	""	"0"	""	"1"	"2"	"0"	"0"	"1"	""	"179"	"0"	"179"	""
"212"	"100"	"44"	""	"362"	""	"4"	""	"0"	""	"5"	""	"4"	""	"0"	"5"	"1"	"2"	"4"	""	"431"	"0"	"431"	""
"213"	"101"	"250"	""	"11"	""	"2"	""	"0"	""	"2"	""	"1"	""	"0"	"2"	"0"	"2"	"7"	""	"277"	"0"	"277"	""
"214"	"102"	"101"	""	"98"	""	"2"	""	"0"	""	"11"	""	"2"	""	"0"	"4"	"0"	"0"	"1"	""	"219"	"0"	"219"	""
"215"	"102A"	"264"	""	"29"	""	"3"	""	"0"	""	"7"	""	"1"	""	"1"	"3"	"4"	"1"	"10"	""	"323"	"0"	"323"	""
"216"	"103"	"321"	""	"167"	""	"6"	""	"2"	""	"36"	""	"1"	""	"0"	"5"	"0"	"0"	"2"	""	"540"	"0"	"540"	""
"217"	"104"	"274"	""	"28"	""	"1"	""	"2"	""	"3"	""	"1"	""	"2"	"0"	"2"	"0"	"1"	""	"314"	"0"	"314"	""
"218"	"104A"	"132"	""	"161"	""	"4"	""	"1"	""	"1"	""	"4"	""	"0"	"9"	"4"	"1"	"7"	""	"324"	"0"	"324"	""
"219"	"105"	"245"	""	"87"	""	"2"	""	"2"	""	"0"	""	"4"	""	"1"	"2"	"2"	"1"	"6"	""	"352"	"0"	"352"	""
"220"	"106"	"60"	""	"465"	""	"7"	""	"1"	""	"0"	""	"8"	""	"6"	"2"	"0"	"5"	"6"	""	"560"	"0"	"560"	""
"221"	"107"	"48"	""	"415"	""	"14"	""	"4"	""	"4"	""	"13"	""	"4"	"6"	"1"	"3"	"5"	""	"517"	"0"	"517"	""
"222"	"108"	"502"	""	"73"	""	"4"	""	"2"	""	"4"	""	"1"	""	"1"	"5"	"5"	"1"	"23"	""	"621"	"0"	"621"	""
"223"	"109"	"198"	""	"123"	""	"6"	""	"50"	""	"27"	""	"3"	""	"3"	"12"	"4"	"5"	"6"	""	"437"	"0"	"437"	""
"224"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"TOTAL"	"8649"	""	"37487"	""	"537"	""	"678"	""	"561"	""	"643"	""	"185"	"1828"	"218"	"287"	"505"	""	"51578"	"0"	"51578"	""
"226"	"ROUND:- 10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"229"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"230"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"231"	"B/F"	"8649"	""	"37487"	""	"537"	""	"678"	""	"561"	""	"643"	""	"185"	"1828"	"218"	"287"	"505"	""	"51578"	"0"	"51578"	""
"232"	"110"	"173"	""	"198"	""	"0"	""	"2"	""	"0"	""	"4"	""	"2"	"17"	"1"	"1"	"3"	""	"401"	"0"	"401"	""
"233"	"111"	"42"	""	"4"	""	"0"	""	"38"	""	"0"	""	"2"	""	"1"	"0"	"3"	"5"	"3"	""	"98"	"0"	"98"	""
"234"	"112"	"117"	""	"145"	""	"15"	""	"72"	""	"17"	""	"8"	""	"6"	"16"	"18"	"9"	"44"	""	"467"	"0"	"467"	""
"235"	"113"	"197"	""	"163"	""	"9"	""	"9"	""	"16"	""	"7"	""	"10"	"13"	"7"	"6"	"22"	""	"459"	"0"	"459"	""
"236"	"114"	"200"	""	"185"	""	"15"	""	"25"	""	"8"	""	"11"	""	"9"	"13"	"3"	"4"	"10"	""	"483"	"0"	"483"	""
"237"	"115"	"62"	""	"209"	""	"1"	""	"2"	""	"0"	""	"8"	""	"2"	"1"	"0"	"1"	"1"	""	"287"	"0"	"287"	""
"238"	"115A"	"74"	""	"135"	""	"4"	""	"3"	""	"15"	""	"3"	""	"2"	"2"	"4"	"3"	"3"	""	"248"	"0"	"248"	""
"239"	"116"	"44"	""	"259"	""	"4"	""	"0"	""	"6"	""	"8"	""	"3"	"7"	"4"	"10"	"15"	""	"360"	"0"	"360"	""
"240"	"117"	"112"	""	"7"	""	"0"	""	"1"	""	"6"	""	"0"	""	"0"	"3"	"1"	"2"	"0"	""	"132"	"0"	"132"	""
"241"	"117A"	"61"	""	"43"	""	"9"	""	"10"	""	"6"	""	"3"	""	"4"	"11"	"5"	"5"	"23"	""	"180"	"0"	"180"	""
"242"	"118"	"5"	""	"183"	""	"2"	""	"0"	""	"2"	""	"2"	""	"0"	"1"	"0"	"2"	"3"	""	"200"	"0"	"200"	""
"243"	"119"	"211"	""	"11"	""	"1"	""	"1"	""	"0"	""	"1"	""	"0"	"1"	"3"	"1"	"1"	""	"231"	"0"	"231"	""
"244"	"120"	"258"	""	"34"	""	"6"	""	"5"	""	"1"	""	"4"	""	"2"	"4"	"0"	"7"	"8"	""	"329"	"0"	"329"	""
"245"	"121"	"414"	""	"7"	""	"1"	""	"2"	""	"1"	""	"4"	""	"1"	"0"	"2"	"2"	"6"	""	"440"	"0"	"440"	""
"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"TOTAL"	"10619"	""	"39070"	""	"604"	""	"848"	""	"639"	""	"708"	""	"227"	"1917"	"269"	"345"	"647"	""	"55893"	"0"	"55893"	""
"248"	"ROUND:- 11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"251"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"252"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"253"	"B/F"	"10619"	""	"39070"	""	"604"	""	"848"	""	"639"	""	"708"	""	"227"	"1917"	"269"	"345"	"647"	""	"55893"	"0"	"55893"	""
"254"	"122"	"66"	""	"329"	""	"3"	""	"5"	""	"1"	""	"3"	""	"0"	"2"	"0"	"5"	"7"	""	"421"	"0"	"421"	""
"255"	"123"	"101"	""	"151"	""	"1"	""	"5"	""	"0"	""	"7"	""	"1"	"13"	"2"	"1"	"10"	""	"292"	"0"	"292"	""
"256"	"124"	"264"	""	"11"	""	"2"	""	"1"	""	"0"	""	"1"	""	"0"	"0"	"0"	"1"	"1"	""	"281"	"0"	"281"	""
"257"	"125"	"169"	""	"4"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	"0"	"0"	"1"	"2"	""	"176"	"0"	"176"	""
"258"	"126"	"24"	""	"58"	""	"1"	""	"87"	""	"0"	""	"4"	""	"0"	"0"	"1"	"0"	"2"	""	"177"	"0"	"177"	""
"259"	"127"	"143"	""	"38"	""	"1"	""	"3"	""	"0"	""	"0"	""	"1"	"6"	"0"	"2"	"2"	""	"196"	"0"	"196"	""
"260"	"128"	"32"	""	"135"	""	"1"	""	"0"	""	"0"	""	"2"	""	"0"	"1"	"0"	"1"	"1"	""	"173"	"0"	"173"	""
"261"	"129"	"109"	""	"82"	""	"1"	""	"7"	""	"0"	""	"0"	""	"0"	"7"	"0"	"1"	"0"	""	"207"	"0"	"207"	""
"262"	"130"	"390"	""	"64"	""	"8"	""	"1"	""	"2"	""	"2"	""	"0"	"2"	"0"	"4"	"8"	""	"481"	"0"	"481"	""
"263"	"131"	"260"	""	"16"	""	"0"	""	"1"	""	"3"	""	"0"	""	"0"	"0"	"0"	"2"	"9"	""	"291"	"0"	"291"	""
"264"	"131A"	"173"	""	"7"	""	"0"	""	"0"	""	"1"	""	"1"	""	"0"	"0"	"5"	"4"	"27"	""	"218"	"0"	"218"	""
"265"	"132"	"495"	""	"32"	""	"4"	""	"3"	""	"12"	""	"2"	""	"4"	"1"	"0"	"5"	"18"	""	"576"	"0"	"576"	""
"266"	"133"	"6"	""	"432"	""	"4"	""	"5"	""	"2"	""	"6"	""	"5"	"5"	"1"	"13"	"12"	""	"491"	"0"	"491"	""
"267"	"134"	"65"	""	"288"	""	"50"	""	"4"	""	"4"	""	"5"	""	"5"	"21"	"6"	"10"	"11"	""	"469"	"0"	"469"	""
"268"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"TOTAL"	"12916"	""	"40717"	""	"680"	""	"970"	""	"664"	""	"741"	""	"243"	"1975"	"284"	"395"	"757"	""	"60342"	"0"	"60342"	""
"270"	"ROUND:- 12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"273"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"274"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"275"	"B/F"	"12916"	""	"40717"	""	"680"	""	"970"	""	"664"	""	"741"	""	"243"	"1975"	"284"	"395"	"757"	""	"60342"	"0"	"60342"	""
"276"	"135"	"42"	""	"497"	""	"12"	""	"27"	""	"2"	""	"11"	""	"7"	"11"	"8"	"13"	"6"	""	"636"	"0"	"636"	""
"277"	"136"	"114"	""	"47"	""	"31"	""	"2"	""	"2"	""	"2"	""	"2"	"5"	"1"	"3"	"12"	""	"221"	"0"	"221"	""
"278"	"137"	"204"	""	"85"	""	"5"	""	"6"	""	"6"	""	"2"	""	"2"	"1"	"0"	"3"	"11"	""	"325"	"0"	"325"	""
"279"	"138"	"160"	""	"84"	""	"4"	""	"2"	""	"3"	""	"1"	""	"6"	"2"	"3"	"3"	"10"	""	"278"	"0"	"278"	""
"280"	"139"	"32"	""	"98"	""	"2"	""	"1"	""	"0"	""	"2"	""	"1"	"2"	"0"	"2"	"1"	""	"141"	"0"	"141"	""
"281"	"139A"	"44"	""	"197"	""	"1"	""	"2"	""	"1"	""	"3"	""	"1"	"2"	"0"	"1"	"1"	""	"253"	"0"	"253"	""
"282"	"140"	"31"	""	"459"	""	"5"	""	"3"	""	"1"	""	"4"	""	"2"	"3"	"3"	"1"	"2"	""	"514"	"0"	"514"	""
"283"	"141"	"40"	""	"365"	""	"6"	""	"12"	""	"0"	""	"6"	""	"0"	"4"	"0"	"0"	"3"	""	"436"	"0"	"436"	""
"284"	"142"	"42"	""	"303"	""	"1"	""	"0"	""	"15"	""	"3"	""	"0"	"9"	"0"	"2"	"2"	""	"377"	"0"	"377"	""
"285"	"143"	"64"	""	"267"	""	"3"	""	"0"	""	"4"	""	"2"	""	"0"	"7"	"0"	"2"	"4"	""	"353"	"0"	"353"	""
"286"	"144"	"74"	""	"247"	""	"4"	""	"0"	""	"2"	""	"7"	""	"2"	"80"	"2"	"5"	"3"	""	"426"	"0"	"426"	""
"287"	"145"	"144"	""	"54"	""	"6"	""	"68"	""	"12"	""	"1"	""	"1"	"2"	"4"	"3"	"11"	""	"306"	"0"	"306"	""
"288"	"145A"	"166"	""	"95"	""	"2"	""	"1"	""	"4"	""	"4"	""	"2"	"4"	"4"	"2"	"4"	""	"288"	"0"	"288"	""
"289"	"146"	"434"	""	"113"	""	"5"	""	"4"	""	"0"	""	"2"	""	"2"	"9"	"0"	"3"	"17"	""	"589"	"0"	"589"	""
"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"TOTAL"	"14507"	""	"43628"	""	"767"	""	"1098"	""	"716"	""	"791"	""	"271"	"2116"	"309"	"438"	"844"	""	"65485"	"0"	"65485"	""
"292"	"ROUND:- 13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"295"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"296"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"297"	"B/F"	"14507"	""	"43628"	""	"767"	""	"1098"	""	"716"	""	"791"	""	"271"	"2116"	"309"	"438"	"844"	""	"65485"	"0"	"65485"	""
"298"	"147"	"72"	""	"349"	""	"5"	""	"47"	""	"33"	""	"9"	""	"5"	"29"	"3"	"4"	"6"	""	"562"	"0"	"562"	""
"299"	"148"	"93"	""	"482"	""	"6"	""	"2"	""	"1"	""	"9"	""	"2"	"3"	"3"	"6"	"7"	""	"614"	"0"	"614"	""
"300"	"149"	"34"	""	"280"	""	"8"	""	"60"	""	"17"	""	"6"	""	"3"	"9"	"9"	"12"	"6"	""	"444"	""	"444"	""
"301"	"150"	"72"	""	"209"	""	"6"	""	"5"	""	"2"	""	"6"	""	"1"	"6"	"4"	"8"	"9"	""	"328"	"0"	"328"	""
"302"	"150A"	"133"	""	"44"	""	"2"	""	"34"	""	"5"	""	"2"	""	"1"	"2"	"10"	"5"	"8"	""	"246"	"0"	"246"	""
"303"	"151"	"43"	""	"86"	""	"8"	""	"171"	""	"13"	""	"2"	""	"8"	"9"	"8"	"3"	"15"	""	"366"	"0"	"366"	""
"304"	"152"	"54"	""	"239"	""	"7"	""	"2"	""	"2"	""	"7"	""	"5"	"9"	"5"	"4"	"8"	""	"342"	""	"342"	""
"305"	"153"	"235"	""	"76"	""	"2"	""	"3"	""	"5"	""	"2"	""	"2"	"5"	"3"	"1"	"11"	""	"345"	"0"	"345"	""
"306"	"154"	"364"	""	"47"	""	"8"	""	"7"	""	"3"	""	"3"	""	"2"	"5"	"2"	"4"	"10"	""	"455"	"0"	"455"	""
"307"	"155"	"291"	""	"10"	""	"1"	""	"2"	""	"6"	""	"1"	""	"0"	"5"	"1"	"1"	"8"	""	"326"	"0"	"326"	""
"308"	"156"	"197"	""	"93"	""	"10"	""	"95"	""	"9"	""	"10"	""	"10"	"72"	"21"	"9"	"29"	""	"555"	"0"	"555"	""
"309"	"157"	"139"	""	"341"	""	"4"	""	"1"	""	"1"	""	"2"	""	"2"	"4"	"0"	"2"	"5"	""	"501"	"0"	"501"	""
"310"	"158"	"133"	""	"284"	""	"6"	""	"1"	""	"0"	""	"11"	""	"2"	"7"	"5"	"4"	"8"	""	"461"	"0"	"461"	""
"311"	"159"	"74"	""	"273"	""	"5"	""	"2"	""	"1"	""	"7"	""	"0"	"3"	"1"	"2"	"6"	""	"374"	"0"	"374"	""
"312"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"TOTAL"	"16441"	""	"46441"	""	"845"	""	"1530"	""	"814"	""	"868"	""	"314"	"2284"	"384"	"503"	"980"	""	"71404"	"0"	"71404"	""
"314"	"ROUND:- 14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"SIGNATURE OF A.R.O."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"SL NO OF POLLING ST."	"No. of Valid votes cast in favour of                                                                                                                                              TOTAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"
"317"	""	"DHANRAJ SINGH"	""	"DR. MONAZIR HASSAN"	""	"RANDHIR SINGH"	""	"SANJAY YADAV"	""	"RAMDEO SINGH YADAV"	""	"LOK NATH KUSHWAHA"	""	"ASHOK KUMAR PODDAR"	"CHAND SHEKHAR"	"DEVAN YADAV"	"PRAKASH PASWAN"	"BABULAL PASWAN"	""	"OF VALID VOTES"	""	""	""
"318"	"1"	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	"9"	"10"	"11"	"12"	""	"13"	"14"	"15"	"16"
"319"	"B/F"	"16441"	""	"46441"	""	"845"	""	"1530"	""	"814"	""	"868"	""	"314"	"2284"	"384"	"503"	"980"	""	"71404"	"0"	"71404"	""
"320"	"160"	"102"	""	"358"	""	"3"	""	"6"	""	"1"	""	"5"	""	"1"	"1"	"0"	"4"	"4"	""	"485"	"0"	"485"	""
"321"	"161"	"150"	""	"273"	""	"3"	""	"3"	""	"1"	""	"4"	""	"1"	"2"	"1"	"9"	"11"	""	"458"	"0"	"458"	""
