"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"238"	"116"	"19"	"104"	"198"	"130"	"7"	"20"	"5"	"18"	"501"	""	"501"	""
"239"	"117"	"21"	"117"	"211"	"135"	"6"	"3"	"11"	"13"	"517"	""	"517"	""
"240"	"118"	"26"	"110"	"275"	"254"	"10"	"17"	"20"	"26"	"738"	""	"738"	""
"241"	"119"	"33"	"257"	"206"	"100"	"8"	"8"	"1"	"8"	"621"	""	"621"	""
"242"	"120"	"6"	"45"	"114"	"101"	"2"	"3"	"3"	"7"	"281"	""	"281"	""
"243"	"121"	"12"	"9"	"477"	"55"	"3"	"7"	"15"	"14"	"592"	""	"592"	""
"244"	"122"	"11"	"21"	"513"	"116"	"3"	"4"	"39"	"12"	"719"	""	"719"	""
"245"	"Current Round Total"	"261"	"1436"	"2939"	"2622"	"134"	"122"	"147"	"219"	"7880"	"0"	"7880"	"0"
"246"	"Previous Round Total"	"1478"	"5174"	"27522"	"23379"	"1156"	"769"	"1065"	"1656"	"62199"	"0"	"62199"	"0"
"247"	"TOTAL"	"1739"	"6610"	"30461"	"26001"	"1290"	"891"	"1212"	"1875"	"70079"	"0"	"70079"	"0"
"248"	"(Statutory Rules and Order)                                                      ROUND : ELEVENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"254"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"256"	"123"	"4"	"19"	"84"	"171"	"3"	"4"	"1"	"12"	"298"	""	"298"	""
"257"	"124"	"12"	"93"	"150"	"219"	"15"	"6"	"9"	"37"	"541"	""	"541"	""
"258"	"125"	"36"	"243"	"61"	"239"	"9"	"7"	"13"	"7"	"615"	""	"615"	""
"259"	"126"	"15"	"107"	"15"	"274"	"17"	"3"	"9"	"6"	"446"	""	"446"	""
"260"	"126A"	"9"	"121"	"18"	"106"	"4"	"2"	"1"	"0"	"261"	""	"261"	""
"261"	"127"	"23"	"283"	"26"	"186"	"7"	"5"	"11"	"6"	"547"	""	"547"	""
"262"	"128"	"16"	"343"	"16"	"160"	"8"	"4"	"7"	"12"	"566"	""	"566"	""
"263"	"129"	"36"	"448"	"147"	"81"	"17"	"6"	"6"	"8"	"749"	""	"749"	""
"264"	"130"	"26"	"566"	"17"	"28"	"4"	"4"	"6"	"5"	"656"	""	"656"	""
"265"	"131"	"3"	"250"	"10"	"26"	"1"	"3"	"1"	"5"	"299"	""	"299"	""
"266"	"132"	"22"	"400"	"28"	"49"	"4"	"3"	"7"	"7"	"520"	""	"520"	""
"267"	"133"	"20"	"93"	"90"	"300"	"10"	"4"	"5"	"19"	"541"	""	"541"	""
"268"	"134"	"25"	"231"	"87"	"361"	"15"	"7"	"10"	"14"	"750"	""	"750"	""
"269"	"135"	"14"	"107"	"48"	"174"	"7"	"4"	"5"	"8"	"367"	""	"367"	""
"270"	"Current Round Total"	"261"	"3304"	"797"	"2374"	"121"	"62"	"91"	"146"	"7156"	"0"	"7156"	"0"
"271"	"Previous Round Total"	"1739"	"6610"	"30461"	"26001"	"1290"	"891"	"1212"	"1875"	"70079"	"0"	"70079"	"0"
"272"	"TOTAL"	"2000"	"9914"	"31258"	"28375"	"1411"	"953"	"1303"	"2021"	"77235"	"0"	"77235"	"0"
"273"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"279"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"281"	"136"	"8"	"229"	"285"	"248"	"6"	"5"	"3"	"8"	"792"	""	"792"	""
"282"	"137"	"27"	"104"	"239"	"256"	"28"	"5"	"6"	"37"	"702"	""	"702"	""
"283"	"138"	"9"	"184"	"18"	"64"	"4"	"0"	"4"	"8"	"291"	""	"291"	""
"284"	"139"	"4"	"20"	"147"	"119"	"5"	"4"	"4"	"10"	"313"	""	"313"	""
"285"	"139A"	"1"	"37"	"57"	"210"	"8"	"1"	"3"	"10"	"327"	""	"327"	""
"286"	"140"	"13"	"91"	"72"	"261"	"8"	"8"	"6"	"29"	"488"	""	"488"	""
"287"	"141"	"15"	"119"	"22"	"295"	"17"	"10"	"9"	"14"	"501"	""	"501"	""
"288"	"142"	"17"	"130"	"103"	"222"	"6"	"5"	"5"	"18"	"506"	""	"506"	""
"289"	"143"	"15"	"248"	"188"	"104"	"5"	"6"	"8"	"8"	"582"	""	"582"	""
"290"	"144"	"17"	"36"	"39"	"375"	"19"	"6"	"3"	"9"	"504"	""	"504"	""
"291"	"145"	"26"	"114"	"117"	"163"	"7"	"6"	"7"	"15"	"455"	""	"455"	""
"292"	"146"	"14"	"51"	"233"	"229"	"15"	"8"	"15"	"16"	"581"	""	"581"	""
"293"	"147"	"20"	"98"	"212"	"311"	"18"	"7"	"19"	"31"	"716"	""	"716"	""
"294"	"148"	"23"	"407"	"44"	"61"	"9"	"8"	"7"	"15"	"574"	""	"574"	""
"295"	"Current Round Total"	"209"	"1868"	"1776"	"2918"	"155"	"79"	"99"	"228"	"7332"	"0"	"7332"	"0"
"296"	"Previous Round Total"	"2000"	"9914"	"31258"	"28375"	"1411"	"953"	"1303"	"2021"	"77235"	"0"	"77235"	"0"
"297"	"TOTAL"	"2209"	"11782"	"33034"	"31293"	"1566"	"1032"	"1402"	"2249"	"84567"	"0"	"84567"	"0"
"298"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"304"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"306"	"149"	"27"	"248"	"122"	"233"	"18"	"4"	"13"	"6"	"671"	""	"671"	""
"307"	"150"	"11"	"133"	"267"	"21"	"9"	"2"	"4"	"8"	"455"	""	"455"	""
"308"	"151"	"43"	"196"	"159"	"233"	"16"	"11"	"14"	"13"	"685"	""	"685"	""
"309"	"152"	"27"	"121"	"145"	"283"	"26"	"13"	"16"	"16"	"647"	""	"647"	""
"310"	"153"	"12"	"380"	"68"	"84"	"4"	"1"	"4"	"8"	"561"	""	"561"	""
"311"	"154"	"2"	"124"	"81"	"75"	"3"	"6"	"6"	"3"	"300"	""	"300"	""
"312"	"155"	"11"	"134"	"100"	"86"	"5"	"5"	"12"	"8"	"361"	""	"361"	""
"313"	"156"	"15"	"130"	"242"	"44"	"17"	"7"	"66"	"14"	"535"	""	"535"	""
"314"	"157"	"28"	"393"	"20"	"84"	"9"	"1"	"8"	"9"	"552"	""	"552"	""
"315"	"157A"	"6"	"162"	"8"	"76"	"5"	"4"	"3"	"1"	"265"	""	"265"	""
"316"	"158"	"10"	"184"	"18"	"137"	"10"	"2"	"1"	"4"	"366"	""	"366"	""
"317"	"159"	"7"	"53"	"24"	"272"	"14"	"1"	"3"	"9"	"383"	""	"383"	""
"318"	"160"	"8"	"32"	"347"	"57"	"0"	"6"	"13"	"22"	"485"	""	"485"	""
"319"	"161"	"13"	"72"	"149"	"85"	"5"	"5"	"6"	"16"	"351"	""	"351"	""
"320"	"Current Round Total"	"220"	"2362"	"1750"	"1770"	"141"	"68"	"169"	"137"	"6617"	"0"	"6617"	"0"
"321"	"Previous Round Total"	"2209"	"11782"	"33034"	"31293"	"1566"	"1032"	"1402"	"2249"	"84567"	"0"	"84567"	"0"
"322"	"TOTAL"	"2429"	"14144"	"34784"	"33063"	"1707"	"1100"	"1571"	"2386"	"91184"	"0"	"91184"	"0"
"323"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"329"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"330"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"331"	"162"	"33"	"71"	"195"	"313"	"16"	"8"	"10"	"9"	"655"	""	"655"	""
"332"	"163"	"23"	"110"	"236"	"127"	"23"	"13"	"27"	"34"	"593"	""	"593"	""
"333"	"164"	"10"	"207"	"130"	"25"	"11"	"10"	"14"	"26"	"433"	""	"433"	""
"334"	"164A"	"9"	"120"	"31"	"40"	"2"	"1"	"0"	"6"	"209"	""	"209"	""
"335"	"165"	"15"	"178"	"171"	"77"	"12"	"1"	"11"	"18"	"483"	""	"483"	""
"336"	"166"	"7"	"256"	"13"	"95"	"5"	"3"	"3"	"10"	"392"	""	"392"	""
"337"	"167"	"16"	"161"	"103"	"93"	"10"	"7"	"6"	"16"	"412"	""	"412"	""
"338"	"168"	"15"	"33"	"275"	"129"	"15"	"9"	"4"	"16"	"496"	""	"496"	""
"339"	"169"	"6"	"6"	"163"	"30"	"55"	"6"	"14"	"9"	"289"	""	"289"	""
"340"	"170"	"17"	"39"	"453"	"255"	"15"	"6"	"6"	"20"	"811"	""	"811"	""
"341"	"171"	"8"	"31"	"346"	"124"	"6"	"3"	"4"	"15"	"537"	""	"537"	""
"342"	"172"	"11"	"17"	"247"	"194"	"9"	"5"	"7"	"3"	"493"	""	"493"	""
"343"	"173"	"13"	"13"	"233"	"67"	"2"	"4"	"6"	"3"	"341"	""	"341"	""
"344"	"174"	"17"	"275"	"123"	"58"	"13"	"4"	"4"	"15"	"509"	""	"509"	""
"345"	"Current Round Total"	"200"	"1517"	"2719"	"1627"	"194"	"80"	"116"	"200"	"6653"	"0"	"6653"	"0"
"346"	"Previous Round Total"	"2429"	"14144"	"34784"	"33063"	"1707"	"1100"	"1571"	"2386"	"91184"	"0"	"91184"	"0"
"347"	"TOTAL"	"2629"	"15661"	"37503"	"34690"	"1901"	"1180"	"1687"	"2586"	"97837"	"0"	"97837"	"0"
"348"	"(Statutory Rules and Order)                                                      ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"354"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"355"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"356"	"175"	"14"	"80"	"313"	"40"	"20"	"7"	"8"	"14"	"496"	""	"496"	""
"357"	"176"	"24"	"234"	"46"	"160"	"21"	"11"	"7"	"5"	"508"	""	"508"	""
"358"	"177"	"17"	"52"	"212"	"67"	"46"	"9"	"4"	"19"	"426"	""	"426"	""
"359"	"178"	"29"	"140"	"164"	"185"	"16"	"6"	"7"	"12"	"559"	""	"559"	""
"360"	"179"	"32"	"63"	"152"	"306"	"14"	"19"	"14"	"35"	"635"	""	"635"	""
"361"	"180"	"30"	"117"	"84"	"303"	"20"	"6"	"14"	"12"	"586"	""	"586"	""
"362"	"181"	"9"	"215"	"166"	"66"	"32"	"9"	"18"	"16"	"531"	""	"531"	""
"363"	"182"	"16"	"364"	"13"	"60"	"5"	"2"	"7"	"8"	"475"	""	"475"	""
"364"	"183"	"23"	"207"	"84"	"106"	"14"	"8"	"16"	"15"	"473"	""	"473"	""
"365"	"184"	"25"	"256"	"109"	"58"	"9"	"5"	"2"	"4"	"468"	""	"468"	""
"366"	"185"	"8"	"278"	"14"	"37"	"7"	"2"	"4"	"8"	"358"	""	"358"	""
"367"	"186"	"22"	"210"	"28"	"89"	"10"	"2"	"11"	"13"	"385"	""	"385"	""
"368"	"187"	"8"	"266"	"16"	"207"	"17"	"9"	"16"	"23"	"562"	""	"562"	""
"369"	"187A"	"6"	"103"	"3"	"48"	"6"	"6"	"2"	"6"	"180"	""	"180"	""
"370"	"Current Round Total"	"263"	"2585"	"1404"	"1732"	"237"	"101"	"130"	"190"	"6642"	"0"	"6642"	"0"
"371"	"Previous Round Total"	"2629"	"15661"	"37503"	"34690"	"1901"	"1180"	"1687"	"2586"	"97837"	"0"	"97837"	"0"
"372"	"TOTAL"	"2892"	"18246"	"38907"	"36422"	"2138"	"1281"	"1817"	"2776"	"104479"	"0"	"104479"	"0"
"373"	"(Statutory Rules and Order)                                                      ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election to the Bihar Legislative Assembly 2005 from the 132-JOKIHAT Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"379"	""	"JIWACHH MANDAL"	"NASIMUR RAHMAN"	"MANZAR ALAM"	"SARFRAZ ALAM"	"PRAMOD SINGH YADAV"	"MOVINUL HAQUE"	"DEVANAND MANDAL"	"MOTILAL PASWAN"	""	""	""	""
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"381"	"188"	"19"	"381"	"100"	"59"	"12"	"8"	"12"	"19"	"610"	""	"610"	""
"382"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"383"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"384"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"385"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"386"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"387"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"388"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"389"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"390"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"391"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"392"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"393"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"394"	""	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"395"	"Current Round Total"	"19"	"381"	"100"	"59"	"12"	"8"	"12"	"19"	"610"	"0"	"610"	"0"
"396"	"Previous Round Total"	"2892"	"18246"	"38907"	"36422"	"2138"	"1281"	"1817"	"2776"	"104479"	"0"	"104479"	"0"
"397"	"TOTAL"	"2911"	"18627"	"39007"	"36481"	"2150"	"1289"	"1829"	"2795"	"105089"	"0"	"105089"	"0"
