"Total.No..of.Electors.in.Assembly.Constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"211"	""	"109"	"298"	"7"	"9"	"20"	"2"	"7"	"2"	"4"	"16"	"365"	""	"365"	"0"
"212"	""	"110"	"239"	"1"	"5"	"21"	"0"	"1"	"0"	"3"	"1"	"271"	""	"271"	"0"
"213"	""	"110&d"	"228"	"5"	"3"	"9"	"2"	"0"	"3"	"0"	"10"	"260"	""	"260"	"0"
"214"	""	"111"	"206"	"5"	"5"	"21"	"1"	"2"	"1"	"2"	"6"	"249"	""	"249"	"0"
"215"	""	"Total"	"2206"	"107"	"116"	"354"	"45"	"256"	"67"	"221"	"1375"	"4747"	"0"	"4747"	"0"
"216"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"223"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"224"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"225"	"Round - 10"	"111-A"	"258"	"5"	"0"	"14"	"0"	"1"	"1"	"4"	"15"	"298"	""	"298"	"0"
"226"	""	"112"	"196"	"6"	"3"	"2"	"4"	"2"	"1"	"3"	"49"	"266"	""	"266"	"0"
"227"	""	"113"	"226"	"13"	"2"	"74"	"0"	"6"	"2"	"4"	"62"	"389"	""	"389"	"0"
"228"	""	"114"	"105"	"8"	"3"	"25"	"0"	"1"	"6"	"0"	"87"	"235"	""	"235"	"0"
"229"	""	"115"	"115"	"21"	"43"	"86"	"9"	"10"	"12"	"9"	"380"	"685"	""	"685"	"0"
"230"	""	"116"	"195"	"9"	"6"	"20"	"1"	"6"	"2"	"8"	"111"	"358"	""	"358"	"0"
"231"	""	"117"	"220"	"6"	"6"	"128"	"5"	"4"	"8"	"6"	"122"	"505"	""	"505"	"0"
"232"	""	"118"	"208"	"13"	"6"	"73"	"3"	"8"	"5"	"5"	"31"	"352"	""	"352"	"0"
"233"	""	"119"	"82"	"9"	"18"	"138"	"3"	"1"	"4"	"5"	"12"	"272"	""	"272"	"0"
"234"	""	"120"	"144"	"3"	"12"	"125"	"1"	"1"	"3"	"4"	"8"	"301"	""	"301"	"0"
"235"	""	"121"	"164"	"8"	"31"	"19"	"2"	"32"	"0"	"5"	"14"	"275"	""	"275"	"0"
"236"	""	"121-A"	"100"	"7"	"33"	"21"	"2"	"14"	"5"	"10"	"170"	"362"	""	"362"	"0"
"237"	""	"122"	"126"	"12"	"14"	"40"	"2"	"16"	"5"	"7"	"130"	"352"	""	"352"	"0"
"238"	""	"123"	"50"	"5"	"6"	"37"	"6"	"26"	"15"	"10"	"125"	"280"	""	"280"	"0"
"239"	""	"Total"	"2189"	"125"	"183"	"802"	"38"	"128"	"69"	"80"	"1316"	"4930"	"0"	"4930"	"0"
"240"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"247"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"248"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"249"	"Round - 11"	"124"	"98"	"9"	"53"	"7"	"4"	"4"	"5"	"116"	"239"	"535"	""	"535"	"0"
"250"	""	"125"	"154"	"10"	"49"	"33"	"7"	"21"	"10"	"10"	"68"	"362"	""	"362"	"0"
"251"	""	"126"	"11"	"4"	"1"	"1"	"0"	"2"	"3"	"4"	"217"	"243"	""	"243"	"0"
"252"	""	"127"	"31"	"3"	"5"	"1"	"4"	"4"	"3"	"6"	"215"	"272"	""	"272"	"0"
"253"	""	"128"	"86"	"4"	"8"	"15"	"3"	"3"	"2"	"14"	"207"	"342"	""	"342"	"0"
"254"	""	"129"	"54"	"4"	"3"	"12"	"5"	"32"	"6"	"7"	"143"	"266"	""	"266"	"0"
"255"	""	"130"	"142"	"14"	"12"	"15"	"9"	"2"	"5"	"15"	"201"	"415"	""	"415"	"0"
"256"	""	"131"	"45"	"5"	"13"	"12"	"4"	"1"	"5"	"3"	"289"	"377"	""	"377"	"0"
"257"	""	"132"	"169"	"12"	"26"	"40"	"8"	"9"	"11"	"15"	"300"	"590"	""	"590"	"0"
"258"	""	"133"	"218"	"11"	"14"	"31"	"3"	"7"	"8"	"34"	"206"	"532"	""	"532"	"0"
"259"	""	"134"	"164"	"9"	"2"	"17"	"4"	"2"	"2"	"14"	"31"	"245"	""	"245"	"0"
"260"	""	"135"	"27"	"9"	"12"	"36"	"9"	"7"	"7"	"8"	"206"	"321"	""	"321"	"0"
"261"	""	"136"	"94"	"8"	"6"	"18"	"4"	"3"	"2"	"10"	"217"	"362"	""	"362"	"0"
"262"	""	"137"	"146"	"9"	"6"	"8"	"4"	"4"	"5"	"3"	"77"	"262"	""	"262"	"0"
"263"	""	"Total"	"1439"	"111"	"210"	"246"	"68"	"101"	"74"	"259"	"2616"	"5124"	"0"	"5124"	"0"
"264"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"271"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"272"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"273"	"Round - 12"	"138"	"30"	"8"	"8"	"76"	"4"	"10"	"3"	"5"	"107"	"251"	""	"251"	"0"
"274"	""	"139"	"38"	"21"	"47"	"66"	"8"	"8"	"5"	"12"	"137"	"342"	""	"342"	"0"
"275"	""	"139-A"	"39"	"38"	"7"	"39"	"6"	"8"	"10"	"20"	"110"	"277"	""	"277"	"0"
"276"	""	"140"	"176"	"14"	"12"	"33"	"10"	"15"	"14"	"23"	"139"	"436"	""	"436"	"0"
"277"	""	"141"	"162"	"76"	"24"	"68"	"8"	"4"	"13"	"14"	"72"	"441"	""	"441"	"0"
"278"	""	"142"	"137"	"13"	"43"	"43"	"11"	"4"	"8"	"25"	"97"	"381"	""	"381"	"0"
"279"	""	"142-A"	"41"	"12"	"11"	"96"	"6"	"5"	"6"	"11"	"150"	"338"	""	"338"	"0"
"280"	""	"143"	"76"	"10"	"13"	"21"	"6"	"13"	"10"	"39"	"226"	"414"	""	"414"	"0"
"281"	""	"144"	"142"	"18"	"5"	"8"	"3"	"3"	"5"	"9"	"89"	"282"	""	"282"	"0"
"282"	""	"145"	"33"	"5"	"26"	"2"	"3"	"3"	"5"	"7"	"174"	"258"	""	"258"	"0"
"283"	""	"145-A"	"21"	"11"	"47"	"3"	"11"	"4"	"3"	"3"	"119"	"222"	""	"222"	"0"
"284"	""	"146"	"107"	"15"	"18"	"38"	"6"	"6"	"8"	"6"	"115"	"319"	""	"319"	"0"
"285"	""	"146-A"	"42"	"9"	"106"	"11"	"7"	"3"	"3"	"2"	"130"	"313"	""	"313"	"0"
"286"	""	"147"	"239"	"12"	"87"	"57"	"6"	"7"	"10"	"9"	"36"	"463"	""	"463"	"0"
"287"	""	"Total"	"1283"	"262"	"454"	"561"	"95"	"93"	"103"	"185"	"1701"	"4737"	"0"	"4737"	"0"
"288"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"295"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"296"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"297"	"Round - 13"	"148"	"146"	"9"	"41"	"28"	"5"	"4"	"6"	"20"	"248"	"507"	""	"507"	"0"
"298"	""	"149"	"155"	"9"	"10"	"25"	"3"	"4"	"5"	"12"	"177"	"400"	""	"400"	"0"
"299"	""	"150"	"41"	"6"	"4"	"8"	"3"	"5"	"4"	"10"	"132"	"213"	""	"213"	"0"
"300"	""	"150-A"	"41"	"6"	"6"	"4"	"2"	"1"	"2"	"5"	"154"	"221"	""	"221"	"0"
"301"	""	"151"	"40"	"6"	"141"	"29"	"9"	"8"	"9"	"5"	"213"	"460"	""	"460"	"0"
"302"	""	"152"	"39"	"3"	"5"	"4"	"0"	"1"	"2"	"3"	"147"	"204"	""	"204"	"0"
"303"	""	"153"	"147"	"4"	"9"	"40"	"1"	"2"	"6"	"2"	"20"	"231"	""	"231"	"0"
"304"	""	"153-A"	"119"	"16"	"6"	"38"	"8"	"6"	"7"	"6"	"19"	"225"	""	"225"	"0"
"305"	""	"154"	"117"	"10"	"137"	"12"	"1"	"1"	"3"	"2"	"184"	"467"	""	"467"	"0"
"306"	""	"155"	"41"	"3"	"20"	"10"	"4"	"3"	"4"	"7"	"189"	"281"	""	"281"	"0"
"307"	""	"155-A"	"44"	"8"	"4"	"33"	"2"	"3"	"3"	"0"	"99"	"196"	""	"196"	"0"
"308"	""	"156"	"56"	"4"	"45"	"9"	"2"	"4"	"7"	"13"	"194"	"334"	""	"334"	"0"
"309"	""	"157"	"22"	"9"	"23"	"44"	"0"	"2"	"1"	"1"	"188"	"290"	""	"290"	"0"
"310"	""	"158"	"120"	"7"	"23"	"19"	"5"	"3"	"3"	"5"	"161"	"346"	""	"346"	"0"
"311"	""	"Total"	"1128"	"100"	"474"	"303"	"45"	"47"	"62"	"91"	"2125"	"4375"	"0"	"4375"	"0"
"312"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"319"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"320"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"321"	"Round - 14"	"159"	"105"	"17"	"80"	"23"	"13"	"5"	"7"	"15"	"132"	"397"	""	"397"	"0"
"322"	""	"160"	"182"	"7"	"7"	"17"	"9"	"4"	"3"	"8"	"99"	"336"	""	"336"	"0"
"323"	""	"161"	"182"	"14"	"83"	"14"	"6"	"5"	"5"	"8"	"66"	"383"	""	"383"	"0"
"324"	""	"162"	"61"	"12"	"67"	"10"	"2"	"6"	"5"	"18"	"78"	"259"	""	"259"	"0"
"325"	""	"162-A"	"54"	"13"	"56"	"11"	"4"	"2"	"5"	"35"	"107"	"287"	""	"287"	"0"
"326"	""	"163"	"320"	"21"	"21"	"13"	"4"	"7"	"5"	"10"	"34"	"435"	""	"435"	"0"
"327"	""	"164"	"121"	"14"	"19"	"3"	"5"	"3"	"5"	"8"	"136"	"314"	""	"314"	"0"
"328"	""	"165"	"291"	"21"	"25"	"67"	"5"	"4"	"4"	"2"	"22"	"441"	""	"441"	"0"
"329"	""	"166"	"145"	"12"	"13"	"57"	"6"	"2"	"3"	"19"	"16"	"273"	""	"273"	"0"
"330"	""	"167"	"22"	"5"	"3"	"16"	"1"	"1"	"2"	"7"	"159"	"216"	""	"216"	"0"
"331"	""	"167-A"	"25"	"11"	"1"	"21"	"2"	"1"	"2"	"3"	"211"	"277"	""	"277"	"0"
"332"	""	"168"	"123"	"22"	"20"	"140"	"13"	"12"	"6"	"8"	"155"	"499"	""	"499"	"0"
"333"	""	"169"	"32"	"10"	"8"	"37"	"7"	"5"	"4"	"6"	"174"	"283"	""	"283"	"0"
"334"	""	"170"	"121"	"9"	"8"	"38"	"5"	"4"	"6"	"7"	"164"	"362"	""	"362"	"0"
"335"	""	"Total"	"1784"	"188"	"411"	"467"	"82"	"61"	"62"	"154"	"1553"	"4762"	"0"	"4762"	"0"
"336"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"343"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"344"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"345"	"Round - 15"	"171"	"97"	"10"	"24"	"27"	"4"	"3"	"5"	"11"	"83"	"264"	""	"264"	"0"
"346"	""	"171-A"	"51"	"6"	"9"	"27"	"0"	"1"	"4"	"12"	"141"	"251"	""	"251"	"0"
"347"	""	"172"	"145"	"16"	"15"	"15"	"7"	"7"	"8"	"29"	"335"	"577"	""	"577"	"0"
"348"	""	"173"	"105"	"18"	"6"	"25"	"3"	"4"	"11"	"5"	"109"	"286"	""	"286"	"0"
"349"	""	"174"	"90"	"11"	"5"	"272"	"7"	"7"	"6"	"13"	"14"	"425"	""	"425"	"0"
"350"	""	"175"	"62"	"11"	"17"	"64"	"6"	"6"	"4"	"17"	"223"	"410"	""	"410"	"0"
"351"	""	"176"	"101"	"16"	"19"	"63"	"8"	"11"	"13"	"11"	"65"	"307"	""	"307"	"0"
"352"	""	"176-A"	"92"	"13"	"6"	"85"	"5"	"8"	"5"	"5"	"56"	"275"	""	"275"	"0"
"353"	""	"177"	"96"	"19"	"28"	"23"	"3"	"3"	"14"	"53"	"238"	"477"	""	"477"	"0"
"354"	""	"177-A"	"64"	"9"	"6"	"36"	"1"	"1"	"2"	"7"	"175"	"301"	""	"301"	"0"
"355"	""	"178"	"106"	"8"	"10"	"15"	"3"	"4"	"13"	"14"	"208"	"381"	""	"381"	"0"
"356"	""	"178-A"	"52"	"9"	"10"	"7"	"2"	"7"	"2"	"5"	"120"	"214"	""	"214"	"0"
"357"	""	"179"	"29"	"8"	"8"	"43"	"7"	"7"	"6"	"4"	"222"	"334"	""	"334"	"0"
"358"	""	"180"	"54"	"10"	"72"	"10"	"5"	"5"	"6"	"6"	"45"	"213"	""	"213"	"0"
"359"	""	"Total"	"1144"	"164"	"235"	"712"	"61"	"74"	"99"	"192"	"2034"	"4715"	"0"	"4715"	"0"
"360"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"367"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"368"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"369"	"Round - 16"	"181"	"233"	"19"	"31"	"9"	"2"	"5"	"9"	"33"	"48"	"389"	""	"389"	"0"
"370"	""	"182"	"53"	"5"	"9"	"15"	"0"	"6"	"2"	"8"	"175"	"273"	""	"273"	"0"
"371"	""	"182-A"	"20"	"6"	"24"	"24"	"3"	"5"	"2"	"10"	"189"	"283"	""	"283"	"0"
"372"	""	"183"	"99"	"8"	"26"	"13"	"3"	"1"	"5"	"8"	"330"	"493"	""	"493"	"0"
"373"	""	"184"	"41"	"12"	"43"	"21"	"4"	"3"	"5"	"5"	"273"	"407"	""	"407"	"0"
"374"	""	"185"	"374"	"9"	"15"	"12"	"1"	"1"	"4"	"10"	"137"	"563"	""	"563"	"0"
"375"	""	"186"	"35"	"16"	"14"	"62"	"5"	"4"	"4"	"7"	"215"	"362"	""	"362"	"0"
"376"	""	"187"	"151"	"24"	"19"	"93"	"10"	"6"	"9"	"10"	"76"	"398"	""	"398"	"0"
"377"	""	"188"	"78"	"9"	"58"	"20"	"8"	"9"	"2"	"12"	"138"	"334"	""	"334"	"0"
"378"	""	"189"	"26"	"8"	"10"	"12"	"0"	"1"	"3"	"5"	"264"	"329"	""	"329"	"0"
"379"	""	"190"	"97"	"5"	"7"	"25"	"2"	"2"	"7"	"9"	"218"	"372"	""	"372"	"0"
"380"	""	"191"	"11"	"4"	"86"	"12"	"9"	"3"	"0"	"42"	"134"	"301"	""	"301"	"0"
"381"	""	"191-A"	"46"	"10"	"10"	"12"	"4"	"4"	"4"	"52"	"128"	"270"	""	"270"	"0"
"382"	""	"192"	"96"	"25"	"11"	"92"	"10"	"5"	"8"	"11"	"158"	"416"	""	"416"	"0"
"383"	""	"Total"	"1360"	"160"	"363"	"422"	"61"	"55"	"64"	"222"	"2483"	"5190"	"0"	"5190"	"0"
"384"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 74 Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"391"	""	""	"Md. Ahmar Hassan"	"Chitradhar Mishra"	"Md. Ziyauddin"	"Faiyaz Ahmad"	"Bashuki Nath Jha"	"Shailendra Kumar Simanchal"	"S.M. Abdullah"	"Ram Chandra Yadav"	"Hari Bhushan Thakur"	""	""	""	""
"392"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"393"	"Round 17"	"193"	"197"	"7"	"7"	"39"	"0"	"1"	"2"	"0"	"79"	"332"	""	"332"	"0"
"394"	""	"194"	"214"	"18"	"106"	"10"	"9"	"3"	"12"	"2"	"19"	"393"	""	"393"	"0"
"395"	""	"195"	"423"	"25"	"24"	"26"	"9"	"2"	"3"	"4"	"25"	"541"	""	"541"	"0"
"396"	""	"196"	"66"	"68"	"31"	"88"	"18"	"14"	"10"	"44"	"122"	"461"	""	"461"	"0"
"397"	""	"197"	"103"	"14"	"11"	"25"	"3"	"8"	"5"	"11"	"241"	"421"	""	"421"	"0"
"398"	""	"198"	"42"	"139"	"44"	"60"	"8"	"5"	"7"	"17"	"126"	"448"	""	"448"	"0"
"399"	""	"199"	"86"	"38"	"21"	"50"	"3"	"10"	"3"	"9"	"203"	"423"	""	"423"	"0"
"400"	""	"Total"	"1131"	"309"	"244"	"298"	"50"	"43"	"42"	"87"	"815"	"3019"	"0"	"3019"	"0"
"401"	"Total No. of votes recorded at Polling stations"	""	"26967"	"2540"	"5348"	"7527"	"1001"	"1409"	"1240"	"2721"	"33772"	"82525"	"0"	"82525"	"0"
"402"	"No. of Votes recorded on postal ballot papers"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"403"	"TOTAL VOTES POLLED"	""	"26967"	"2540"	"5348"	"7527"	"1001"	"1409"	"1240"	"2721"	"33772"	"82525"	"0"	"82525"	"0"
