"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.Ik.k.esa.fn..x.s.fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"dqy.fof.kekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonÙk.erksa.dh.la..k"
"224"	"138"	"96"	"76"	"68"	"143"	"33"	"0"	"1"	"417"	"0"	"417"	"0"
"225"	"139"	"105"	"115"	"9"	"244"	"5"	"7"	"6"	"491"	"0"	"491"	"0"
"226"	"140"	"63"	"105"	"205"	"142"	"2"	"4"	"5"	"526"	"0"	"526"	"0"
"227"	"141"	"51"	"144"	"128"	"339"	"4"	"4"	"9"	"679"	"0"	"679"	"0"
"228"	"142"	"134"	"69"	"4"	"149"	"4"	"4"	"8"	"372"	"0"	"372"	"0"
"229"	"143"	"68"	"38"	"84"	"125"	"5"	"7"	"7"	"334"	"0"	"334"	"0"
"230"	"144"	"165"	"41"	"28"	"202"	"2"	"5"	"18"	"461"	"0"	"461"	"0"
"231"	"145"	"125"	"120"	"29"	"87"	"2"	"2"	"11"	"376"	"0"	"376"	"0"
"232"	"146"	"26"	"220"	"240"	"24"	"8"	"4"	"7"	"529"	"0"	"529"	"0"
"233"	"147"	"20"	"157"	"9"	"131"	"2"	"6"	"7"	"332"	"0"	"332"	"0"
"234"	"147 d"	"18"	"32"	"20"	"285"	"4"	"7"	"7"	"373"	"0"	"373"	"0"
"235"	"148"	"160"	"75"	"56"	"104"	"7"	"11"	"13"	"426"	"0"	"426"	"0"
"236"	"149"	"115"	"25"	"4"	"231"	"6"	"5"	"17"	"403"	"0"	"403"	"0"
"237"	"pdz ;ksx"	"1291"	"1236"	"886"	"2319"	"85"	"68"	"121"	"6006"	"0"	"6006"	"0"
"238"	"dqy ;ksx"	"8870"	"19586"	"12616"	"34062"	"877"	"749"	"1332"	"78092"	"0"	"78092"	"0"
"239"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"240"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"241"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"242"	"fiNys Ik`\"B
dk ;ksx"	"8870"	"19586"	"12616"	"34062"	"877"	"749"	"1332"	"78092"	"0"	"78092"	"0"
"243"	"150"	"51"	"173"	"52"	"200"	"3"	"4"	"14"	"497"	"0"	"497"	"0"
"244"	"151"	"55"	"159"	"13"	"115"	"3"	"4"	"3"	"352"	"0"	"352"	"0"
"245"	"152"	"164"	"141"	"59"	"118"	"9"	"7"	"11"	"509"	"0"	"509"	"0"
"246"	"153"	"181"	"116"	"234"	"19"	"9"	"9"	"23"	"591"	"0"	"591"	"0"
"247"	"154"	"46"	"285"	"37"	"34"	"4"	"6"	"10"	"422"	"0"	"422"	"0"
"248"	"155"	"255"	"84"	"28"	"109"	"1"	"3"	"14"	"494"	"0"	"494"	"0"
"249"	"156"	"280"	"112"	"19"	"29"	"3"	"0"	"16"	"459"	"0"	"459"	"0"
"250"	"157"	"116"	"293"	"48"	"27"	"6"	"6"	"12"	"508"	"0"	"508"	"0"
"251"	"158"	"32"	"153"	"27"	"153"	"4"	"3"	"4"	"376"	"0"	"376"	"0"
"252"	"159"	"88"	"60"	"11"	"287"	"5"	"6"	"11"	"468"	"0"	"468"	"0"
"253"	"160"	"124"	"67"	"226"	"70"	"4"	"5"	"13"	"509"	"0"	"509"	"0"
"254"	"161"	"118"	"130"	"19"	"51"	"3"	"4"	"12"	"337"	"0"	"337"	"0"
"255"	"162"	"80"	"67"	"106"	"231"	"8"	"6"	"18"	"516"	"0"	"516"	"0"
"256"	"162 d"	"32"	"29"	"14"	"179"	"6"	"5"	"5"	"270"	"0"	"270"	"0"
"257"	"pdz ;ksx"	"1622"	"1869"	"893"	"1622"	"68"	"68"	"166"	"6308"	"0"	"6308"	"0"
"258"	"dqy ;ksx"	"10492"	"21455"	"13509"	"35684"	"945"	"817"	"1498"	"84400"	"0"	"84400"	"0"
"259"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"260"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"261"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"262"	"fiNys Ik`\"B
dk ;ksx"	"10492"	"21455"	"13509"	"35684"	"945"	"817"	"1498"	"84400"	"0"	"84400"	"0"
"263"	"163 d"	"11"	"124"	"97"	"101"	"1"	"1"	"4"	"339"	"0"	"339"	"0"
"264"	"163"	"19"	"157"	"3"	"67"	"0"	"2"	"2"	"250"	"0"	"250"	"0"
"265"	"164"	"58"	"282"	"13"	"75"	"4"	"4"	"8"	"444"	"0"	"444"	"0"
"266"	"164 d"	"167"	"173"	"7"	"30"	"2"	"6"	"15"	"400"	"0"	"400"	"0"
"267"	"165"	"21"	"191"	"80"	"358"	"6"	"6"	"18"	"680"	"0"	"680"	"0"
"268"	"166"	"40"	"248"	"200"	"129"	"1"	"5"	"4"	"627"	"0"	"627"	"0"
"269"	"166 d"	"5"	"68"	"43"	"53"	"2"	"2"	"1"	"174"	"0"	"174"	"0"
"270"	"167 d"	"16"	"162"	"43"	"271"	"1"	"7"	"6"	"506"	"0"	"506"	"0"
"271"	"167"	"12"	"120"	"47"	"319"	"8"	"8"	"7"	"521"	"0"	"521"	"0"
"272"	"168"	"29"	"69"	"96"	"307"	"5"	"3"	"9"	"518"	"0"	"518"	"0"
"273"	"169"	"18"	"159"	"190"	"229"	"9"	"7"	"9"	"621"	"0"	"621"	"0"
"274"	"170"	"29"	"278"	"95"	"125"	"8"	"12"	"15"	"562"	"0"	"562"	"0"
"275"	"170 d"	"25"	"70"	"124"	"107"	"4"	"5"	"10"	"345"	"0"	"345"	"0"
"276"	"171"	"32"	"145"	"79"	"211"	"4"	"2"	"9"	"482"	"0"	"482"	"0"
"277"	"pdz ;ksx"	"482"	"2246"	"1117"	"2382"	"55"	"70"	"117"	"6469"	"0"	"6469"	"0"
"278"	"dqy ;ksx"	"10974"	"23701"	"14626"	"38066"	"1000"	"887"	"1615"	"90869"	"0"	"90869"	"0"
"279"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"280"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"281"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"282"	"fiNys Ik`\"B
dk ;ksx"	"10974"	"23701"	"14626"	"38066"	"1000"	"887"	"1615"	"90869"	"0"	"90869"	"0"
"283"	"171 d"	"34"	"105"	"32"	"164"	"5"	"3"	"5"	"348"	"0"	"348"	"0"
"284"	"172"	"51"	"146"	"137"	"332"	"3"	"5"	"5"	"679"	"0"	"679"	"0"
"285"	"173"	"15"	"374"	"15"	"185"	"1"	"2"	"6"	"598"	"0"	"598"	"0"
"286"	"174"	"39"	"179"	"154"	"258"	"12"	"13"	"16"	"671"	"0"	"671"	"0"
"287"	"175"	"32"	"139"	"87"	"321"	"4"	"15"	"6"	"604"	"0"	"604"	"0"
"288"	"176"	"24"	"72"	"2"	"298"	"6"	"1"	"5"	"408"	"0"	"408"	"0"
"289"	"177 d"	"113"	"173"	"76"	"28"	"1"	"2"	"4"	"397"	"0"	"397"	"0"
"290"	"177"	"16"	"174"	"78"	"171"	"2"	"9"	"7"	"457"	"0"	"457"	"0"
"291"	"178"	"14"	"249"	"35"	"168"	"1"	"4"	"1"	"472"	"0"	"472"	"0"
"292"	"179"	"27"	"194"	"96"	"287"	"5"	"6"	"3"	"618"	"0"	"618"	"0"
"293"	"180"	"25"	"192"	"7"	"422"	"2"	"8"	"2"	"658"	"0"	"658"	"0"
"294"	"181"	"6"	"36"	"251"	"258"	"3"	"0"	"2"	"556"	"0"	"556"	"0"
"295"	"181 d"	"20"	"35"	"3"	"191"	"1"	"2"	"1"	"253"	"0"	"253"	"0"
"296"	"182"	"27"	"67"	"89"	"365"	"4"	"6"	"12"	"570"	"0"	"570"	"0"
"297"	"182 d"	"10"	"211"	"23"	"138"	"6"	"2"	"7"	"397"	"0"	"397"	"0"
"298"	"pdz ;ksx"	"453"	"2346"	"1085"	"3586"	"56"	"78"	"82"	"7686"	"0"	"7686"	"0"
"299"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"300"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"301"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"302"	"dqy ;ksx"	"11427"	"26047"	"15711"	"41652"	"1056"	"965"	"1697"	"98555"	"0"	"98555"	"0"
"303"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"304"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"306"	"fiNys Ik`\"B
dk ;ksx"	"11427"	"26047"	"15711"	"41652"	"1056"	"965"	"1697"	"98555"	"0"	"98555"	"0"
"307"	"183"	"54"	"248"	"46"	"149"	"5"	"1"	"11"	"514"	"0"	"514"	"0"
"308"	"183 d"	"14"	"116"	"7"	"169"	"3"	"1"	"3"	"313"	"0"	"313"	"0"
"309"	"184"	"54"	"145"	"70"	"273"	"3"	"2"	"3"	"550"	"0"	"550"	"0"
"310"	"185 d"	"9"	"56"	"173"	"168"	"1"	"2"	"2"	"411"	"0"	"411"	"0"
"311"	"185"	"33"	"174"	"98"	"187"	"1"	"11"	"8"	"512"	"0"	"512"	"0"
"312"	"186"	"105"	"126"	"13"	"268"	"3"	"5"	"5"	"525"	"0"	"525"	"0"
"313"	"187"	"120"	"402"	"12"	"84"	"7"	"7"	"15"	"647"	"0"	"647"	"0"
"314"	"188"	"47"	"232"	"76"	"106"	"4"	"1"	"5"	"471"	"0"	"471"	"0"
"315"	"189"	"108"	"297"	"79"	"250"	"6"	"11"	"13"	"764"	"0"	"764"	"0"
"316"	"190"	"125"	"43"	"116"	"289"	"7"	"0"	"12"	"592"	"0"	"592"	"0"
"317"	"191"	"64"	"200"	"63"	"167"	"9"	"5"	"14"	"522"	"0"	"522"	"0"
"318"	"192"	"15"	"26"	"37"	"172"	"6"	"5"	"5"	"266"	"0"	"266"	"0"
"319"	"193 d"	"34"	"206"	"15"	"180"	"8"	"1"	"7"	"451"	"0"	"451"	"0"
"320"	"193"	"11"	"133"	"4"	"110"	"1"	"4"	"5"	"268"	"0"	"268"	"0"
"321"	"pdz ;ksx"	"793"	"2404"	"809"	"2572"	"64"	"56"	"108"	"6806"	"0"	"6806"	"0"
"322"	"dqy ;ksx"	"12220"	"28451"	"16520"	"44224"	"1120"	"1021"	"1805"	"105361"	"0"	"105361"	"0"
"323"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"324"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"325"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"326"	"fiNys Ik`\"B
dk ;ksx"	"12220"	"28451"	"16520"	"44224"	"1120"	"1021"	"1805"	"105361"	"0"	"105361"	"0"
"327"	"194"	"106"	"122"	"98"	"160"	"3"	"4"	"4"	"497"	"0"	"497"	"0"
"328"	"195"	"68"	"204"	"138"	"218"	"8"	"9"	"11"	"656"	"0"	"656"	"0"
"329"	"196"	"20"	"96"	"168"	"404"	"11"	"7"	"9"	"715"	"0"	"715"	"0"
"330"	"197"	"45"	"47"	"99"	"168"	"6"	"2"	"5"	"372"	"0"	"372"	"0"
"331"	"198"	"13"	"47"	"108"	"270"	"11"	"3"	"7"	"459"	"0"	"459"	"0"
"332"	"199"	"40"	"106"	"56"	"98"	"7"	"5"	"10"	"322"	"0"	"322"	"0"
"333"	"200"	"9"	"46"	"55"	"249"	"10"	"8"	"16"	"393"	"0"	"393"	"0"
"334"	"200 d"	"7"	"24"	"70"	"104"	"2"	"4"	"2"	"213"	"0"	"213"	"0"
"335"	"201"	"7"	"143"	"9"	"176"	"1"	"3"	"10"	"349"	"0"	"349"	"0"
"336"	"202"	"8"	"242"	"97"	"167"	"2"	"1"	"2"	"519"	"0"	"519"	"0"
"337"	"203"	"28"	"229"	"10"	"132"	"4"	"2"	"1"	"406"	"0"	"406"	"0"
"338"	"203 d"	"23"	"140"	"122"	"17"	"1"	"0"	"0"	"303"	"0"	"303"	"0"
"339"	"204"	"147"	"109"	"9"	"225"	"5"	"9"	"14"	"518"	"0"	"518"	"0"
"340"	"205"	"17"	"69"	"164"	"76"	"8"	"6"	"9"	"349"	"0"	"349"	"0"
"341"	"pdz ;ksx"	"538"	"1624"	"1203"	"2464"	"79"	"63"	"100"	"6071"	"0"	"6071"	"0"
"342"	"dqy ;ksx"	"12758"	"30075"	"17723"	"46688"	"1199"	"1084"	"1905"	"111432"	"0"	"111432"	"0"
"343"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"344"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"345"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"346"	"fiNys Ik`\"B
dk ;ksx"	"12758"	"30075"	"17723"	"46688"	"1199"	"1084"	"1905"	"111432"	"0"	"111432"	"0"
"347"	"205 d"	"19"	"25"	"41"	"146"	"7"	"4"	"4"	"246"	"0"	"246"	"0"
"348"	"206 d"	"15"	"33"	"89"	"89"	"0"	"1"	"2"	"229"	"0"	"229"	"0"
"349"	"206"	"77"	"136"	"64"	"229"	"10"	"20"	"29"	"565"	"0"	"565"	"0"
"350"	"207 d"	"76"	"143"	"125"	"82"	"5"	"11"	"14"	"456"	"0"	"456"	"0"
"351"	"207"	"36"	"60"	"165"	"116"	"13"	"8"	"24"	"422"	"0"	"422"	"0"
"352"	"208"	"30"	"17"	"182"	"289"	"16"	"3"	"21"	"558"	"0"	"558"	"0"
"353"	"209"	"154"	"43"	"68"	"167"	"4"	"5"	"12"	"453"	"0"	"453"	"0"
"354"	"210"	"25"	"168"	"66"	"232"	"3"	"3"	"16"	"513"	"0"	"513"	"0"
"355"	"211 d"	"70"	"38"	"18"	"162"	"2"	"4"	"13"	"307"	"0"	"307"	"0"
"356"	"211"	"214"	"21"	"141"	"65"	"6"	"7"	"11"	"465"	"0"	"465"	"0"
"357"	"212"	"102"	"81"	"137"	"128"	"6"	"6"	"15"	"475"	"0"	"475"	"0"
"358"	"213"	"179"	"64"	"28"	"250"	"8"	"11"	"29"	"569"	"0"	"569"	"0"
"359"	"214"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"360"	"pdz ;ksx"	"997"	"829"	"1124"	"1955"	"80"	"83"	"190"	"5258"	"0"	"5258"	"0"
"361"	"dqy ;ksx"	"13755"	"30904"	"18847"	"48643"	"1279"	"1167"	"2095"	"116690"	"0"	"116690"	"0"
"362"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr Ik{k esa fn, x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	"dqy
fof/kekU; er"	"izfr{ksfir
erksa dh la[;k"	";ksx"	"fufonÙk
erksa dh la[;k"
"363"	""	"vk'kk ikloku"	"tokgj ikloku"	"izsek Hkkjrh"	"yyu ikloku"	"jketh ikloku"	"lq;Zoa'k izlkn"	"nhid ckcq pekj"	""	""	""	""
"364"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"365"	"ernku
dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"13755"	"30904"	"18847"	"48643"	"1279"	"1167"	"2095"	"116690"	"0"	"116690"	"0"
"366"	"Mkd eri=ksa
ij vfHkfyf[kr erksa dh la[;k"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"367"	"Mkys x;s
dqy er"	"13755"	"30904"	"18847"	"48645"	"1279"	"1167"	"2095"	"116692"	"0"	"116692"	"0"
