"129"	"55"	""	"6"	"76"	"23"	""	"135"	""	"201"	""	"14"	""	"0"	""	"5"	""	"4"	""	"1"	""	"6"	""	"471"	""	""	"0"	""	""	"471"	""	""	"0"	""	""	""	""
"130"	"56"	""	"4"	"62"	"32"	""	"46"	""	"160"	""	"3"	""	"5"	""	"1"	""	"1"	""	"2"	""	"2"	""	"318"	""	""	"0"	""	""	"318"	""	""	"0"	""	""	""	""
"131"	"57"	""	"17"	"199"	"10"	""	"12"	""	"28"	""	"8"	""	"1"	""	"1"	""	"2"	""	"7"	""	"16"	""	"301"	""	""	"0"	""	""	"301"	""	""	"0"	""	""	""	""
"132"	"58"	""	"4"	"9"	"6"	""	"144"	""	"138"	""	"10"	""	"8"	""	"4"	""	"5"	""	"3"	""	"13"	""	"344"	""	""	"0"	""	""	"344"	""	""	"0"	""	""	""	""
"133"	"59"	""	"3"	"2"	"17"	""	"63"	""	"252"	""	"5"	""	"2"	""	"0"	""	"0"	""	"1"	""	"8"	""	"353"	""	""	"0"	""	""	"353"	""	""	"0"	""	""	""	""
"134"	"60"	""	"36"	"40"	"16"	""	"130"	""	"185"	""	"9"	""	"1"	""	"10"	""	"2"	""	"0"	""	"9"	""	"438"	""	""	"0"	""	""	"438"	""	""	"0"	""	""	""	""
"135"	"61"	""	"5"	"115"	"95"	""	"81"	""	"177"	""	"9"	""	"7"	""	"8"	""	"11"	""	"10"	""	"21"	""	"539"	""	""	"0"	""	""	"539"	""	""	"0"	""	""	""	""
"136"	"62"	""	"10"	"146"	"15"	""	"65"	""	"254"	""	"9"	""	"4"	""	"2"	""	"4"	""	"5"	""	"5"	""	"519"	""	""	"0"	""	""	"519"	""	""	"0"	""	""	""	""
"137"	"63"	""	"7"	"122"	"15"	""	"41"	""	"40"	""	"5"	""	"3"	""	"5"	""	"1"	""	"3"	""	"5"	""	"247"	""	""	"0"	""	""	"247"	""	""	"0"	""	""	""	""
"138"	"64"	""	"9"	"66"	"23"	""	"46"	""	"226"	""	"16"	""	"6"	""	"2"	""	"9"	""	"9"	""	"15"	""	"427"	""	""	"0"	""	""	"427"	""	""	"0"	""	""	""	""
"139"	"65"	""	"7"	"143"	"10"	""	"9"	""	"182"	""	"8"	""	"2"	""	"1"	""	"3"	""	"11"	""	"11"	""	"387"	""	""	"0"	""	""	"387"	""	""	"0"	""	""	""	""
"140"	"66"	""	"1"	"55"	"1"	""	"22"	""	"182"	""	"5"	""	"2"	""	"0"	""	"0"	""	"1"	""	"2"	""	"271"	""	""	"0"	""	""	"271"	""	""	"0"	""	""	""	""
"141"	"67"	""	"8"	"120"	"13"	""	"57"	""	"172"	""	"7"	""	"3"	""	"1"	""	"3"	""	"4"	""	"6"	""	"394"	""	""	"0"	""	""	"394"	""	""	"0"	""	""	""	""
"142"	"Total"	""	"123"	"1171"	"276"	""	"1083"	""	"2212"	""	"109"	""	"45"	""	"49"	""	"46"	""	"61"	""	"122"	""	"5297"	""	""	"0"	""	""	"5297"	""	""	"0"	""	""	""	""
"143"	"Till last Round"	""	"876"	"3489"	"1488"	""	"5166"	""	"10050"	""	"448"	""	"270"	""	"219"	""	"241"	""	"252"	""	"538"	""	"23037"	""	""	"0"	""	""	"23037"	""	""	"0"	""	""	""	""
"144"	"Grand Total"	""	"999"	"4660"	"1764"	""	"6249"	""	"12262"	""	"557"	""	"315"	""	"268"	""	"287"	""	"313"	""	"660"	""	"28334"	""	""	"0"	""	""	"28334"	""	""	"0"	""	""	""	""
"145"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"ROUND - 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"158"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"67"	""	"6"	"96"	"38"	""	"68"	""	"191"	""	"7"	""	"2"	""	"0"	""	"1"	""	"3"	""	"2"	""	"414"	""	""	""	""	""	"414"	""	""	""	""	""	""	""
"160"	"68"	""	"16"	"150"	"9"	""	"38"	""	"238"	""	"9"	""	"8"	""	"3"	""	"1"	""	"5"	""	"5"	""	"482"	""	""	""	""	""	"482"	""	""	""	""	""	""	""
"161"	"69"	""	"18"	"91"	"16"	""	"19"	""	"364"	""	"18"	""	"16"	""	"4"	""	"3"	""	"7"	""	"25"	""	"581"	""	""	""	""	""	"581"	""	""	""	""	""	""	""
"162"	"70"	""	"8"	"170"	"26"	""	"86"	""	"136"	""	"10"	""	"6"	""	"4"	""	"7"	""	"9"	""	"14"	""	"476"	""	""	""	""	""	"476"	""	""	""	""	""	""	""
"163"	"71"	""	"12"	"267"	"37"	""	"211"	""	"133"	""	"8"	""	"9"	""	"4"	""	"6"	""	"3"	""	"15"	""	"705"	""	""	""	""	""	"705"	""	""	""	""	""	""	""
"164"	"72"	""	"2"	"24"	"2"	""	"42"	""	"183"	""	"3"	""	"0"	""	"2"	""	"4"	""	"0"	""	"5"	""	"267"	""	""	""	""	""	"267"	""	""	""	""	""	""	""
"165"	"73"	""	"7"	"118"	"95"	""	"53"	""	"85"	""	"11"	""	"8"	""	"4"	""	"6"	""	"6"	""	"13"	""	"406"	""	""	""	""	""	"406"	""	""	""	""	""	""	""
"166"	"74"	""	"12"	"76"	"36"	""	"110"	""	"192"	""	"10"	""	"3"	""	"1"	""	"4"	""	"10"	""	"11"	""	"465"	""	""	""	""	""	"465"	""	""	""	""	""	""	""
"167"	"75"	""	"54"	"43"	"144"	""	"74"	""	"229"	""	"8"	""	"6"	""	"5"	""	"7"	""	"5"	""	"8"	""	"583"	""	""	""	""	""	"583"	""	""	""	""	""	""	""
"168"	"76"	""	"10"	"7"	"48"	""	"180"	""	"253"	""	"6"	""	"5"	""	"6"	""	"5"	""	"5"	""	"21"	""	"546"	""	""	""	""	""	"546"	""	""	""	""	""	""	""
"169"	"77"	""	"7"	"1"	"3"	""	"179"	""	"6"	""	"3"	""	"2"	""	"6"	""	"1"	""	"3"	""	"9"	""	"220"	""	""	""	""	""	"220"	""	""	""	""	""	""	""
"170"	"78"	""	"4"	"148"	"19"	""	"25"	""	"58"	""	"4"	""	"2"	""	"3"	""	"2"	""	"4"	""	"10"	""	"279"	""	""	""	""	""	"279"	""	""	""	""	""	""	""
"171"	"79"	""	"0"	"2"	"1"	""	"50"	""	"102"	""	"2"	""	"1"	""	"1"	""	"0"	""	"1"	""	"1"	""	"161"	""	""	""	""	""	"161"	""	""	""	""	""	""	""
"172"	"80"	""	"10"	"58"	"70"	""	"81"	""	"300"	""	"12"	""	"3"	""	"5"	""	"5"	""	"6"	""	"17"	""	"567"	""	""	""	""	""	"567"	""	""	""	""	""	""	""
"173"	"Total"	""	"166"	"1251"	"544"	""	"1216"	""	"2470"	""	"111"	""	"71"	""	"48"	""	"52"	""	"67"	""	"156"	""	"6152"	""	""	"0"	""	""	"6152"	""	""	"0"	""	""	""	""
"174"	"Till last Round"	""	"999"	"4660"	"1764"	""	"6249"	""	"12262"	""	"557"	""	"315"	""	"268"	""	"287"	""	"313"	""	"660"	""	"28334"	""	""	"0"	""	""	"28334"	""	""	"0"	""	""	""	""
"175"	"Grand Total"	""	"1165"	"5911"	"2308"	""	"7465"	""	"14732"	""	"668"	""	"386"	""	"316"	""	"339"	""	"380"	""	"816"	""	"34486"	""	""	"0"	""	""	"34486"	""	""	"0"	""	""	""	""
"176"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"ROUND - 7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"189"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"81"	""	"18"	"22"	"90"	""	"185"	""	"203"	""	"14"	""	"9"	""	"4"	""	"7"	""	"11"	""	"31"	""	"594"	""	""	"0"	""	""	"594"	""	""	"0"	""	""	""	""
"191"	"82"	""	"30"	"39"	"77"	""	"108"	""	"106"	""	"9"	""	"7"	""	"7"	""	"9"	""	"8"	""	"26"	""	"426"	""	""	"0"	""	""	"426"	""	""	"0"	""	""	""	""
"192"	"83"	""	"6"	"1"	"21"	""	"305"	""	"92"	""	"5"	""	"4"	""	"4"	""	"8"	""	"2"	""	"11"	""	"459"	""	""	"0"	""	""	"459"	""	""	"0"	""	""	""	""
"193"	"84"	""	"7"	"55"	"50"	""	"102"	""	"20"	""	"4"	""	"4"	""	"5"	""	"3"	""	"8"	""	"7"	""	"265"	""	""	"0"	""	""	"265"	""	""	"0"	""	""	""	""
"194"	"85"	""	"13"	"129"	"26"	""	"67"	""	"159"	""	"8"	""	"4"	""	"4"	""	"5"	""	"9"	""	"14"	""	"438"	""	""	"0"	""	""	"438"	""	""	"0"	""	""	""	""
"195"	"86"	""	"7"	"47"	"12"	""	"122"	""	"98"	""	"10"	""	"4"	""	"6"	""	"1"	""	"4"	""	"3"	""	"314"	""	""	"0"	""	""	"314"	""	""	"0"	""	""	""	""
"196"	"86A"	""	"7"	"73"	"8"	""	"127"	""	"93"	""	"5"	""	"5"	""	"1"	""	"2"	""	"5"	""	"11"	""	"337"	""	""	"0"	""	""	"337"	""	""	"0"	""	""	""	""
"197"	"87"	""	"10"	"11"	"107"	""	"43"	""	"246"	""	"24"	""	"8"	""	"7"	""	"8"	""	"4"	""	"16"	""	"484"	""	""	"0"	""	""	"484"	""	""	"0"	""	""	""	""
"198"	"88"	""	"24"	"3"	"46"	""	"28"	""	"88"	""	"5"	""	"1"	""	"3"	""	"5"	""	"0"	""	"5"	""	"208"	""	""	"0"	""	""	"208"	""	""	"0"	""	""	""	""
"199"	"89"	""	"11"	"1"	"30"	""	"37"	""	"265"	""	"10"	""	"9"	""	"4"	""	"2"	""	"8"	""	"6"	""	"383"	""	""	"0"	""	""	"383"	""	""	"0"	""	""	""	""
"200"	"90"	""	"23"	"16"	"59"	""	"68"	""	"51"	""	"6"	""	"2"	""	"4"	""	"3"	""	"1"	""	"4"	""	"237"	""	""	"0"	""	""	"237"	""	""	"0"	""	""	""	""
"201"	"91"	""	"8"	"21"	"7"	""	"129"	""	"14"	""	"6"	""	"3"	""	"5"	""	"3"	""	"1"	""	"5"	""	"202"	""	""	"0"	""	""	"202"	""	""	"0"	""	""	""	""
"202"	"92"	""	"6"	"27"	"71"	""	"96"	""	"87"	""	"8"	""	"10"	""	"8"	""	"7"	""	"11"	""	"13"	""	"344"	""	""	"0"	""	""	"344"	""	""	"0"	""	""	""	""
"203"	"93"	""	"7"	"8"	"23"	""	"155"	""	"93"	""	"12"	""	"5"	""	"9"	""	"3"	""	"6"	""	"16"	""	"337"	""	""	"0"	""	""	"337"	""	""	"0"	""	""	""	""
"204"	"Total"	""	"177"	"453"	"627"	""	"1572"	""	"1615"	""	"126"	""	"75"	""	"71"	""	"66"	""	"78"	""	"168"	""	"5028"	""	""	"0"	""	""	"5028"	""	""	"0"	""	""	""	""
"205"	"Till last Round"	""	"1165"	"5911"	"2308"	""	"7465"	""	"14732"	""	"668"	""	"386"	""	"316"	""	"339"	""	"380"	""	"816"	""	"34486"	""	""	"0"	""	""	"34486"	""	""	"0"	""	""	""	""
"206"	"Grand Total"	""	"1342"	"6364"	"2935"	""	"9037"	""	"16347"	""	"794"	""	"461"	""	"387"	""	"405"	""	"458"	""	"984"	""	"39514"	""	""	"0"	""	""	"39514"	""	""	"0"	""	""	""	""
"207"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"ROUND - 8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"220"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"94"	""	"4"	"60"	"23"	""	"29"	""	"317"	""	"6"	""	"3"	""	"2"	""	"1"	""	"1"	""	"1"	""	"447"	""	""	"0"	""	""	"447"	""	""	"0"	""	""	""	""
"222"	"95"	""	"10"	"12"	"31"	""	"56"	""	"114"	""	"8"	""	"8"	""	"3"	""	"3"	""	"4"	""	"5"	""	"254"	""	""	"0"	""	""	"254"	""	""	"0"	""	""	""	""
"223"	"96"	""	"7"	"188"	"24"	""	"53"	""	"233"	""	"9"	""	"2"	""	"8"	""	"3"	""	"8"	""	"4"	""	"539"	""	""	"0"	""	""	"539"	""	""	"0"	""	""	""	""
"224"	"97"	""	"17"	"26"	"10"	""	"324"	""	"14"	""	"3"	""	"7"	""	"7"	""	"6"	""	"15"	""	"3"	""	"432"	""	""	"0"	""	""	"432"	""	""	"0"	""	""	""	""
"225"	"98"	""	"19"	"1"	"32"	""	"232"	""	"35"	""	"8"	""	"2"	""	"17"	""	"9"	""	"3"	""	"15"	""	"373"	""	""	"0"	""	""	"373"	""	""	"0"	""	""	""	""
"226"	"99"	""	"5"	"33"	"49"	""	"71"	""	"303"	""	"12"	""	"10"	""	"47"	""	"26"	""	"14"	""	"35"	""	"605"	""	""	"0"	""	""	"605"	""	""	"0"	""	""	""	""
"227"	"100"	""	"3"	"19"	"9"	""	"68"	""	"55"	""	"0"	""	"1"	""	"2"	""	"1"	""	"2"	""	"3"	""	"163"	""	""	"0"	""	""	"163"	""	""	"0"	""	""	""	""
"228"	"101"	""	"4"	"37"	"115"	""	"83"	""	"164"	""	"11"	""	"11"	""	"4"	""	"10"	""	"6"	""	"12"	""	"457"	""	""	"0"	""	""	"457"	""	""	"0"	""	""	""	""
"229"	"102"	""	"28"	"66"	"30"	""	"120"	""	"147"	""	"6"	""	"5"	""	"11"	""	"6"	""	"2"	""	"6"	""	"427"	""	""	"0"	""	""	"427"	""	""	"0"	""	""	""	""
"230"	"103"	""	"17"	"2"	"11"	""	"297"	""	"31"	""	"4"	""	"5"	""	"8"	""	"3"	""	"7"	""	"11"	""	"396"	""	""	"0"	""	""	"396"	""	""	"0"	""	""	""	""
"231"	"104"	""	"0"	"2"	"21"	""	"21"	""	"167"	""	"3"	""	"5"	""	"2"	""	"2"	""	"0"	""	"14"	""	"237"	""	""	"0"	""	""	"237"	""	""	"0"	""	""	""	""
"232"	"105"	""	"9"	"3"	"113"	""	"67"	""	"110"	""	"9"	""	"6"	""	"4"	""	"10"	""	"5"	""	"12"	""	"348"	""	""	"0"	""	""	"348"	""	""	"0"	""	""	""	""
"233"	"106"	""	"6"	"3"	"24"	""	"37"	""	"172"	""	"1"	""	"4"	""	"0"	""	"3"	""	"0"	""	"5"	""	"255"	""	""	"0"	""	""	"255"	""	""	"0"	""	""	""	""
"234"	"107"	""	"7"	"6"	"31"	""	"197"	""	"17"	""	"7"	""	"4"	""	"10"	""	"4"	""	"7"	""	"14"	""	"304"	""	""	"0"	""	""	"304"	""	""	"0"	""	""	""	""
"235"	"Total"	""	"136"	"458"	"523"	""	"1655"	""	"1879"	""	"87"	""	"73"	""	"125"	""	"87"	""	"74"	""	"140"	""	"5237"	""	""	"0"	""	""	"5237"	""	""	"0"	""	""	""	""
"236"	"Till last Round"	""	"1342"	"6364"	"2935"	""	"9037"	""	"16347"	""	"794"	""	"461"	""	"387"	""	"405"	""	"458"	""	"984"	""	"39514"	""	""	"0"	""	""	"39514"	""	""	"0"	""	""	""	""
"237"	"Grand Total"	""	"1478"	"6822"	"3458"	""	"10692"	""	"18226"	""	"881"	""	"534"	""	"512"	""	"492"	""	"532"	""	"1124"	""	"44751"	""	""	"0"	""	""	"44751"	""	""	"0"	""	""	""	""
"238"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"[ FORM 20 ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"[ See rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 186 FATWA ASSEMBLY CONSTITUNECY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 186-FATWA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"ROUND - 9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Serial no. of polling station"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	"No. of rejected votes"	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""
"251"	""	""	"Tllkeshwar Choudhary"	"Nageshwar Paswan"	"Punit Rai"	""	"Sanjeev Prasad Tony"	""	"Saryug Paswan"	""	"Ashok Prabhakar"	""	"Bhagwan Das"	""	"Yogendra Paswan"	""	"Ramesh Paswan"	""	"Suresh Choudhary"	""	"Sudarshan Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"108"	""	"8"	"0"	"49"	""	"14"	""	"132"	""	"8"	""	"3"	""	"2"	""	"3"	""	"2"	""	"3"	""	"224"	""	""	"0"	""	""	"224"	""	""	"0"	""	""	""	""
"253"	"109"	""	"8"	"2"	"39"	""	"236"	""	"21"	""	"3"	""	"7"	""	"5"	""	"7"	""	"4"	""	"16"	""	"348"	""	""	"0"	""	""	"348"	""	""	"0"	""	""	""	""
"254"	"110"	""	"5"	"4"	"48"	""	"68"	""	"157"	""	"6"	""	"5"	""	"3"	""	"3"	""	"1"	""	"7"	""	"307"	""	""	"0"	""	""	"307"	""	""	"0"	""	""	""	""
"255"	"111"	""	"21"	"104"	"69"	""	"51"	""	"240"	""	"8"	""	"13"	""	"9"	""	"9"	""	"9"	""	"14"	""	"547"	""	""	"0"	""	""	"547"	""	""	"0"	""	""	""	""
"256"	"112"	""	"7"	"3"	"35"	""	"130"	""	"111"	""	"7"	""	"2"	""	"1"	""	"3"	""	"0"	""	"11"	""	"310"	""	""	"0"	""	""	"310"	""	""	"0"	""	""	""	""
"257"	"113"	""	"14"	"15"	"106"	""	"137"	""	"195"	""	"6"	""	"1"	""	"2"	""	"5"	""	"3"	""	"3"	""	"487"	""	""	"0"	""	""	"487"	""	""	"0"	""	""	""	""
"258"	"114"	""	"16"	"109"	"37"	""	"125"	""	"90"	""	"13"	""	"6"	""	"6"	""	"3"	""	"3"	""	"10"	""	"418"	""	""	"0"	""	""	"418"	""	""	"0"	""	""	""	""
"259"	"115"	""	"29"	"6"	"32"	""	"222"	""	"67"	""	"8"	""	"6"	""	"3"	""	"5"	""	"4"	""	"3"	""	"385"	""	""	"0"	""	""	"385"	""	""	"0"	""	""	""	""
