"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"188"	"104"	"mPp fo|ky;] uheh ¼i0 Hkkx½"	"28"	"11"	"156"	"162"	"8"	"23"	"388"	""	"388"	""
"189"	"104 d"	"mPp fo|ky;] uheh ¼n0 Hkkx½"	"26"	"6"	"150"	"144"	"10"	"13"	"349"	""	"349"	""
"190"	"105"	"izkFkfed fo|ky;] igfM+;k ¼iw0 Hkkx½"	"3"	"1"	"133"	"4"	"3"	"1"	"145"	""	"145"	""
"191"	"105d"	"izkFkfed fo|ky;] igfM+;k ¼i0 Hkkx½"	"8"	"3"	"156"	"22"	"4"	"6"	"199"	""	"199"	""
"192"	"106"	"izkFkfed fo|ky;] fe;uch?kk"	"25"	"11"	"188"	"171"	"18"	"26"	"439"	""	"439"	""
"193"	"107"	"izkFkfed fo|ky; vkSjs;k"	"15"	"12"	"199"	"235"	"18"	"33"	"512"	""	"512"	""
"194"	"108"	"e/; fo|ky; ekQks ¼iwohZ Hkkx½"	"17"	"9"	"241"	"178"	"22"	"26"	"493"	""	"493"	""
"195"	"109"	"e/; fo|ky; ekQks ¼i0 Hkkx½"	"26"	"8"	"161"	"292"	"5"	"3"	"495"	""	"495"	""
"196"	"110"	"iapk;r Hkou ekQks"	"12"	"11"	"151"	"298"	"11"	"11"	"494"	""	"494"	""
"197"	"Total No. of votes recorded at Polling Stations"	""	"349"	"94"	"2053"	"2906"	"152"	"216"	"5770"	""	"5770"	""
"198"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"199"	"Total votes polled"	""	"349"	"94"	"2053"	"2906"	"152"	"216"	"5770"	""	"5770"	""
"200"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"202"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"203"	"111"	"e/; fo|ky; dkssjek"	"8"	"6"	"123"	"310"	"2"	"2"	"451"	""	"451"	""
"204"	"112"	"izkFkfed fo|ky; csykSuh"	"21"	"13"	"253"	"114"	"4"	"17"	"422"	""	"422"	""
"205"	"113"	"e/; fo|ky; xxkSj ¼m0 Hkkx½"	"8"	"7"	"99"	"207"	"2"	"3"	"326"	""	"326"	""
"206"	"113d"	"e/; fo|ky; xxkSj ¼n0 Hkkx½"	"19"	"9"	"160"	"97"	"8"	"7"	"300"	""	"300"	""
"207"	"114"	"lkeqnkf;d Hkou xxkSj ¼m0 Hkkx½"	"12"	"7"	"116"	"120"	"6"	"9"	"270"	""	"270"	""
"208"	"114d"	"lkeqnkf;d Hkou xxkSj ¼n0 Hkkx½"	"2"	"7"	"130"	"76"	"6"	"16"	"237"	""	"237"	""
"209"	"115"	"e/; fo|ky; MhgdqlqEHkk ¼iw0 Hkkx½"	"43"	"5"	"122"	"85"	"0"	"11"	"266"	""	"266"	""
"210"	"115d"	"e/; fo|ky; MhgdqlqEHkk ¼i0 Hkkx½"	"17"	"8"	"94"	"52"	"5"	"12"	"188"	""	"188"	""
"211"	"116"	"rglhy dpgjh MhgdqlqEHkk"	"18"	"10"	"205"	"97"	"5"	"10"	"345"	""	"345"	""
"212"	"117"	"yfyr ukjk;.k mPp fo|ky; ?kkVdqlqEHkk ¼iw0 Hkkx½"	"91"	"6"	"159"	"140"	"4"	"16"	"416"	""	"416"	""
"213"	"118"	"yfyr   ukjk;.k   mPp   fo|ky;   ?kkVdqlqEHkk   ¼/kkuqd"	"82"	"8"	"82"	"159"	"20"	"15"	"366"	""	"366"	""
"214"	"119"	"izkFkfed fo|ky; lqtkoyiqj"	"51"	"4"	"119"	"141"	"9"	"8"	"332"	""	"332"	""
"215"	"120"	"izkFkfed fo|ky; HknkSlh"	"21"	"1"	"64"	"208"	"2"	"3"	"299"	""	"299"	""
"216"	"121"	"izkFkfed fo|ky; dks;yk"	"10"	"5"	"177"	"138"	"3"	"4"	"337"	""	"337"	""
"217"	"Total No. of votes recorded at Polling Stations"	""	"403"	"96"	"1903"	"1944"	"76"	"133"	"4555"	""	"4555"	""
"218"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"219"	"Total votes polled"	""	"403"	"96"	"1903"	"1944"	"76"	"133"	"4555"	""	"4555"	""
"220"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"223"	"122"	"izkFkfed fo|ky; okm?kkV"	"10"	"1"	"59"	"297"	"1"	"2"	"370"	""	"370"	""
"224"	"123"	"e/;fo|ky; HknkSl"	"17"	"4"	"30"	"457"	"14"	"4"	"526"	""	"526"	""
"225"	"124"	"iapk;r Hkou HknkSl"	"2"	"0"	"36"	"19"	"0"	"1"	"58"	""	"58"	""
"226"	"124d"	"iapk;r Hkou HknkSl & pyar ernku dsUnz"	"1"	"0"	"33"	"102"	"0"	"2"	"138"	""	"138"	""
"227"	"125"	"izkFkfed fo|ky; nfj;kiqj"	"8"	"2"	"358"	"40"	"3"	"2"	"413"	""	"413"	""
"228"	"126"	"izkFkfed fo|ky;] [k[kM+k"	"6"	"3"	"57"	"50"	"4"	"3"	"123"	""	"123"	""
"229"	"127"	"izkFkfed fo|ky;] dksljk"	"6"	"3"	"47"	"217"	"6"	"8"	"287"	""	"287"	""
"230"	"128"	"lkeqnkf;d Hkou] dksljk"	"62"	"7"	"73"	"155"	"10"	"13"	"320"	""	"320"	""
"231"	"129"	"izkFkfed fo|ky;] th;uch?kk ¼m0 Hkkx½"	"2"	"0"	"6"	"317"	"2"	"1"	"328"	""	"328"	""
"232"	"129d"	"izkFkfed fo|ky;] th;uch?kk ¼n0 Hkkx½"	"31"	"1"	"25"	"224"	"2"	"14"	"297"	""	"297"	""
"233"	"130"	"izkFkfed fo|ky;] xksihpd"	"27"	"6"	"125"	"64"	"7"	"7"	"236"	""	"236"	""
"234"	"131"	"gfjtu lkeqnkf;d Hkou] ckadjiqj ckad"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"235"	"132"	"izkFkfed fo|ky;] cjS;kch?kk"	"20"	"3"	"35"	"135"	"6"	"36"	"235"	""	"235"	""
"236"	"133"	"iapk;r Hkou] dqlqEHkk ¼n0 Hkkx½"	"27"	"6"	"19"	"89"	"9"	"67"	"217"	""	"217"	""
"237"	"Total No. of votes recorded at Polling Stations"	""	"219"	"36"	"903"	"2166"	"64"	"160"	"3548"	""	"3548"	""
"238"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"239"	"Total votes polled"	""	"219"	"36"	"903"	"2166"	"64"	"160"	"3548"	""	"3548"	""
"240"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"242"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"243"	"133d"	"iapk;r Hkou] dqlqEHkk ¼m0 Hkkx½"	"11"	"9"	"51"	"90"	"2"	"8"	"171"	""	"171"	""
"244"	"134"	"izkFkfed fo|ky;] vekuriqj"	"30"	"13"	"107"	"17"	"4"	"32"	"203"	""	"203"	""
"245"	"135"	"izkFkfed fo|ky;] eVks[kj"	"29"	"11"	"174"	"114"	"11"	"21"	"360"	""	"360"	""
"246"	"136"	"izkFkfed fo|ky;] dfjgks"	"21"	"11"	"251"	"30"	"9"	"29"	"351"	""	"351"	""
"247"	"137"	"izkFkfed fo|ky;] okftniqj ¼mÙkj Hkkx½"	"16"	"5"	"173"	"45"	"6"	"11"	"256"	""	"256"	""
"248"	"138"	"izkFkfed fo|ky;] okftniqj ¼nf{k.k Hkkx½"	"28"	"9"	"131"	"74"	"3"	"11"	"256"	""	"256"	""
"249"	"139"	"e/; fo|ky;] dkjs ¼mÙkj Hkkx½"	"14"	"41"	"96"	"285"	"10"	"2"	"448"	""	"448"	""
"250"	"140"	"e/; fo|ky;] dkjs ¼nf{k.k Hkkx½"	"42"	"5"	"141"	"73"	"4"	"4"	"269"	""	"269"	""
"251"	"140 d"	"e/; fo|ky;] dkjs ¼iwohZ Hkkx½"	"85"	"26"	"119"	"34"	"5"	"7"	"276"	""	"276"	""
"252"	"141"	"izkFkfed fo|ky;] yksnhiqj ¼iw0 Hkkx½"	"10"	"1"	"71"	"101"	"6"	"20"	"209"	""	"209"	""
"253"	"141d"	"izkFkfed fo|ky;] yksnhiqj ¼i0 Hkkx½"	"16"	"4"	"72"	"65"	"7"	"6"	"170"	""	"170"	""
"254"	"142"	"lkeqnkf;d Hkou] nsoys"	"39"	"16"	"151"	"210"	"15"	"48"	"479"	""	"479"	""
"255"	"143"	"izkFkfed fo|ky;] /ksolkch?kk"	"10"	"1"	"27"	"181"	"3"	"3"	"225"	""	"225"	""
"256"	"144"	"izkFkfed fo|ky;] /ksolkMhg"	"71"	"5"	"30"	"194"	"3"	"9"	"312"	""	"312"	""
"257"	"Total No. of votes recorded at Polling Stations"	""	"422"	"157"	"1594"	"1513"	"88"	"211"	"3985"	""	"3985"	""
"258"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"259"	"Total votes polled"	""	"422"	"157"	"1594"	"1513"	"88"	"211"	"3985"	""	"3985"	""
"260"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"262"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"263"	"145"	"izkFkfed fo|ky;] nsojk"	"14"	"2"	"106"	"133"	"7"	"3"	"265"	""	"265"	""
"264"	"146"	"e/; fo|ky;] iSu ¼e/; Hkkx½"	"30"	"7"	"29"	"188"	"12"	"16"	"282"	""	"282"	""
"265"	"147"	"e/; fo|ky;] iSu ¼iwjc Hkkx½"	"5"	"1"	"15"	"152"	"1"	"7"	"181"	""	"181"	""
"266"	"148"	"e/; fo|ky;] iSu ¼if'pe Hkkx½"	"5"	"7"	"4"	"116"	"6"	"2"	"140"	""	"140"	""
"267"	"148d"	"e/; fo|ky;] iSu ¼n0 Hkkx½"	"33"	"11"	"159"	"14"	"2"	"8"	"227"	""	"227"	""
"268"	"149"	"izkFkfed fo|ky;] fMgjh"	"2"	"3"	"17"	"236"	"5"	"6"	"269"	""	"269"	""
"269"	"150"	"e/; fo|ky;] ckn'kkgiqj"	"108"	"10"	"110"	"167"	"2"	"10"	"407"	""	"407"	""
"270"	"151"	"izkFkfed fo|ky;] xkslk;e<+h"	"42"	"24"	"119"	"206"	"22"	"24"	"437"	""	"437"	""
"271"	"152"	"e/; fo|ky;] vkS/ks"	"148"	"8"	"153"	"109"	"3"	"7"	"428"	""	"428"	""
"272"	"153"	"e/; fo|ky;] nqYykiqj"	"1"	"3"	"280"	"19"	"3"	"0"	"306"	""	"306"	""
"273"	"154"	"izkFkfed fo|ky;] fcgVk"	"16"	"8"	"385"	"42"	"7"	"5"	"463"	""	"463"	""
"274"	"155"	"mPp fo|ky;] xo;"	"11"	"3"	"76"	"304"	"13"	"15"	"422"	""	"422"	""
"275"	"156"	"izkFkfed fo|ky;] xo;"	"30"	"8"	"125"	"185"	"19"	"26"	"393"	""	"393"	""
"276"	"157"	"e/; fo|ky;] yksnhiqj ¼m0 Hkkx½"	"15"	"1"	"31"	"157"	"2"	"4"	"210"	""	"210"	""
"277"	"Total No. of votes recorded at Polling Stations"	""	"460"	"96"	"1609"	"2028"	"104"	"133"	"4430"	""	"4430"	""
"278"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"279"	"Total votes polled"	""	"460"	"96"	"1609"	"2028"	"104"	"133"	"4430"	""	"4430"	""
"280"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"283"	"157d"	"e/; fo|ky;] yksnhiqj ¼n0 Hkkx½"	"23"	"13"	"152"	"62"	"4"	"6"	"260"	""	"260"	""
"284"	"158"	"yksfg;k Hkou] lfjdk"	"6"	"0"	"30"	"351"	"2"	"5"	"394"	""	"394"	""
"285"	"159"	"izkFkfed fo|ky;] efu;kSM+h ¼iw0 Hkkx½"	"22"	"4"	"191"	"102"	"7"	"11"	"337"	""	"337"	""
"286"	"159d"	"izkFkfed fo|ky;] efu;kSM+h ¼i0 Hkkx½"	"3"	"4"	"57"	"37"	"4"	"6"	"111"	""	"111"	""
"287"	"160"	"izkFkfed fo|ky;] ljeSnku"	"51"	"9"	"248"	"99"	"7"	"17"	"431"	""	"431"	""
"288"	"161"	"e/; fo|ky;] esgql ¼iwjc Hkkx½"	"13"	"3"	"248"	"348"	"10"	"2"	"624"	""	"624"	""
"289"	"162"	"e/; fo|ky;] esgql ¼i0 Hkkx½"	"5"	"5"	"153"	"313"	"3"	"11"	"490"	""	"490"	""
"290"	"162d"	"e/; fo|ky;] esgql ¼m0 Hkkx½"	"10"	"1"	"39"	"158"	"3"	"2"	"213"	""	"213"	""
"291"	"163"	"izkFkfed fo|ky;] jeuqch?kk"	"14"	"0"	"152"	"361"	"6"	"11"	"544"	""	"544"	""
"292"	"164"	"izkFkfed fo|ky;] dqjkSuh"	"16"	"6"	"153"	"118"	"6"	"4"	"303"	""	"303"	""
"293"	"165"	"izkFkfed fo|ky;] eglkj"	"92"	"11"	"155"	"271"	"8"	"12"	"549"	""	"549"	""
"294"	"166"	"izkFkfed fo|ky;] t;eaxyk ¼iw0 Hkkx½"	"2"	"0"	"10"	"207"	"1"	"0"	"220"	""	"220"	""
"295"	"166d"	"izkFkfed fo|ky;] t;eaxyk ¼i0 Hkkx½"	"1"	"0"	"25"	"146"	"0"	"3"	"175"	""	"175"	""
"296"	"167"	"izkFkfed fo|ky;] enkjh"	"0"	"2"	"340"	"9"	"0"	"0"	"351"	""	"351"	""
"297"	"Total No. of votes recorded at Polling Stations"	""	"258"	"58"	"1953"	"2582"	"61"	"90"	"5002"	""	"5002"	""
"298"	"No. of votes recorded on postal ballot papers (to be filled in the
case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"299"	"Total votes polled"	""	"258"	"58"	"1953"	"2582"	"61"	"90"	"5002"	""	"5002"	""
"300"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	""	"Umesh Kumar Suman"	"Usha Kumari"	"Mahavir Choudhary"	"Ramsundar Ram Kanaujia"	"Ajay Kumar"	"Alanandan Paswan"	""	""	""	""
"302"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"303"	"168"	"mPp fo|ky;] fljkjh"	"18"	"8"	"37"	"344"	"3"	"6"	"416"	""	"416"	""
"304"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"305"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"306"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"307"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"308"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"309"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"310"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"311"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"312"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"313"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"314"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"315"	"Total No. of votes recorded at Polling Stations"	""	"18"	"8"	"37"	"344"	"3"	"6"	"416"	""	"416"	""
"316"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"4"	""
"317"	"Total votes polled"	""	"19"	"8"	"37"	"344"	"3"	"6"	"417"	"3"	"420"	""
"318"	"Grand Total"	""	"6239"	"1605"	"24550"	"34223"	"1515"	"2514"	"70646"	"3"	"70649"	""
"319"	"Place : Sheikhpura                                                                                                                                                                                                          R.O"	""	""	""	""	""	""	""	""	""	""	""
"320"	"Date : 22.11.2005                                                                                                                                                                                                    174 - Barbigha"	""	""	""	""	""	""	""	""	""	""	""
