"Total.No..of.Electors.in.Assembly.Constituency...188104"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"238"	"134"	"288"	"40"	"10"	"10"	"174"	"3"	"9"	"534"	"0"	"534"	"0"	""
"239"	"135"	"167"	"92"	"183"	"13"	"58"	"8"	"9"	"530"	"0"	"530"	"0"	""
"240"	"136"	"106"	"167"	"146"	"10"	"83"	"10"	"8"	"530"	"0"	"530"	"0"	""
"241"	"Total"	"1810"	"1631"	"1241"	"166"	"2166"	"133"	"220"	"7367"	"0"	"7367"	"0"	""
"242"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"247"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"249"	"137"	"184"	"57"	"26"	"10"	"105"	"12"	"25"	"419"	"0"	"419"	"0"	""
"250"	"138"	"123"	"112"	"31"	"14"	"56"	"9"	"13"	"358"	"0"	"358"	"0"	""
"251"	"139"	"126"	"71"	"53"	"16"	"184"	"14"	"10"	"474"	"0"	"474"	"0"	""
"252"	"140"	"72"	"207"	"28"	"12"	"208"	"15"	"19"	"561"	"0"	"561"	"0"	""
"253"	"141"	"102"	"46"	"76"	"14"	"228"	"15"	"7"	"488"	"0"	"488"	"0"	""
"254"	"142"	"73"	"30"	"117"	"15"	"285"	"10"	"14"	"544"	"0"	"544"	"0"	""
"255"	"143"	"202"	"5"	"35"	"13"	"133"	"7"	"42"	"437"	"0"	"437"	"0"	""
"256"	"143A"	"152"	"13"	"18"	"21"	"203"	"6"	"6"	"419"	"0"	"419"	"0"	""
"257"	"144"	"112"	"77"	"159"	"18"	"274"	"18"	"17"	"675"	"0"	"675"	"0"	""
"258"	"145"	"48"	"34"	"24"	"11"	"456"	"8"	"29"	"610"	"0"	"610"	"0"	""
"259"	"146"	"186"	"28"	"171"	"19"	"134"	"10"	"23"	"571"	"0"	"571"	"0"	""
"260"	"147"	"292"	"48"	"67"	"9"	"119"	"16"	"31"	"582"	"0"	"582"	"0"	""
"261"	"148"	"22"	"321"	"24"	"6"	"41"	"8"	"13"	"435"	"0"	"435"	"0"	""
"262"	"148A"	"37"	"130"	"22"	"7"	"111"	"7"	"11"	"325"	"0"	"325"	"0"	""
"263"	"Total"	"1731"	"1179"	"851"	"185"	"2537"	"155"	"260"	"6898"	"0"	"6898"	"0"	""
"264"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"269"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"271"	"149"	"59"	"154"	"82"	"19"	"279"	"4"	"12"	"609"	"0"	"609"	"0"	""
"272"	"150"	"42"	"85"	"3"	"4"	"249"	"5"	"15"	"403"	"0"	"403"	"0"	""
"273"	"151"	"154"	"106"	"103"	"12"	"244"	"12"	"8"	"639"	"0"	"639"	"0"	""
"274"	"152"	"112"	"185"	"90"	"16"	"298"	"8"	"12"	"721"	"0"	"721"	"0"	""
"275"	"153"	"150"	"13"	"69"	"4"	"131"	"4"	"7"	"378"	"0"	"378"	"0"	""
"276"	"153A"	"67"	"48"	"51"	"9"	"31"	"5"	"12"	"223"	"0"	"223"	"0"	""
"277"	"154"	"74"	"31"	"168"	"15"	"492"	"9"	"12"	"801"	"0"	"801"	"0"	""
"278"	"155"	"64"	"308"	"55"	"16"	"76"	"21"	"26"	"566"	"0"	"566"	"0"	""
"279"	"156"	"11"	"200"	"58"	"9"	"203"	"8"	"6"	"495"	"0"	"495"	"0"	""
"280"	"157"	"30"	"98"	"102"	"6"	"66"	"9"	"6"	"317"	"0"	"317"	"0"	""
"281"	"157"	"125"	"110"	"100"	"6"	"15"	"6"	"12"	"374"	"0"	"374"	"0"	""
"282"	"158"	"48"	"144"	"36"	"23"	"256"	"7"	"11"	"525"	"0"	"525"	"0"	""
"283"	"159"	"25"	"147"	"26"	"4"	"105"	"2"	"2"	"311"	"0"	"311"	"0"	""
"284"	"160"	"161"	"68"	"72"	"12"	"210"	"14"	"23"	"560"	"0"	"560"	"0"	""
"285"	"Total"	"1122"	"1697"	"1015"	"155"	"2655"	"114"	"164"	"6922"	"0"	"6922"	"0"	""
"286"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"291"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"292"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"293"	"161"	"84"	"40"	"74"	"13"	"54"	"7"	"9"	"281"	"0"	"281"	"0"	""
"294"	"162"	"197"	"81"	"65"	"41"	"49"	"18"	"25"	"476"	"0"	"476"	"0"	""
"295"	"163"	"43"	"72"	"283"	"5"	"45"	"5"	"6"	"459"	"0"	"459"	"0"	""
"296"	"164"	"214"	"10"	"32"	"22"	"136"	"7"	"12"	"433"	"0"	"433"	"0"	""
"297"	"165"	"295"	"26"	"89"	"16"	"153"	"9"	"14"	"602"	"0"	"602"	"0"	""
"298"	"166"	"54"	"14"	"72"	"19"	"395"	"6"	"11"	"571"	"0"	"571"	"0"	""
"299"	"167"	"51"	"104"	"142"	"17"	"131"	"14"	"22"	"481"	"0"	"481"	"0"	""
"300"	"168"	"123"	"105"	"13"	"5"	"87"	"1"	"5"	"339"	"0"	"339"	"0"	""
"301"	"169"	"37"	"30"	"29"	"9"	"269"	"5"	"4"	"383"	"0"	"383"	"0"	""
"302"	"170"	"112"	"10"	"50"	"89"	"110"	"15"	"14"	"400"	"0"	"400"	"0"	""
"303"	"170A"	"9"	"23"	"3"	"1"	"6"	"0"	"0"	"42"	"0"	"42"	"0"	""
"304"	"171"	"194"	"50"	"45"	"10"	"69"	"7"	"34"	"409"	"0"	"409"	"0"	""
"305"	"172"	"236"	"14"	"51"	"13"	"63"	"6"	"16"	"399"	"0"	"399"	"0"	""
"306"	"173"	"306"	"36"	"54"	"24"	"102"	"14"	"22"	"558"	"0"	"558"	"0"	""
"307"	"Total"	"1955"	"615"	"1002"	"284"	"1669"	"114"	"194"	"5833"	"0"	"5833"	"0"	""
"308"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"313"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"314"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"315"	"174"	"79"	"22"	"11"	"17"	"118"	"3"	"5"	"255"	"0"	"255"	"0"	""
"316"	"175"	"164"	"50"	"15"	"6"	"165"	"4"	"6"	"410"	"0"	"410"	"0"	""
"317"	"175A"	"132"	"11"	"56"	"12"	"223"	"7"	"8"	"449"	"0"	"449"	"0"	""
"318"	"176"	"151"	"8"	"148"	"20"	"352"	"17"	"29"	"725"	"0"	"725"	"0"	""
"319"	"177"	"144"	"23"	"13"	"14"	"181"	"2"	"7"	"384"	"0"	"384"	"0"	""
"320"	"178"	"65"	"20"	"34"	"6"	"297"	"11"	"19"	"452"	"0"	"452"	"0"	""
"321"	"Total"	"735"	"134"	"277"	"75"	"1336"	"44"	"74"	"2675"	"0"	"2675"	"0"	""
"322"	"Total No. of Electors in Assembly Constituency - 188104"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Election for 6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"326"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""
"327"	"Polling    Station No."	"Pradeep Singh"	"Ram       Prasad Yadav"	"Shambhu Tiwari"	"Harendra Prasad Kushwaha"	"Binay Vihari"	"Kishkindha Devi"	"Vijay Kumar"	"Total     No.     of actual Votes"	"Total     No.     of rejected Votes"	"Total"	"No.                 of
Tendered Votes"	""
"328"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"12"	"13"	"14"	"15"	""
"329"	"Total"	"28089"	"12290"	"26065"	"3304"	"24419"	"1576"	"2479"	"98222"	"0"	"98222"	"0"	""
"330"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"331"	"Grand Tot."	"28089"	"12290"	"26065"	"3304"	"24419"	"1576"	"2479"	"98222"	"0"	"98222"	"0"	""
"332"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"6-Lauria Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"16"	""	""	""	""	""	""	""	""	""	""	""	""
