"Total.No..of.Electors.in.Assembly.Constituency...200284"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"173"	"99"	"46"	"67"	"29"	"326"	"16"	"8"	"9"	"7"	"9"	"6"	"6"	"8"	"19"	"556"	"0"	"556"	"0"	""
"174"	"100"	"18"	"62"	"59"	"315"	"4"	"5"	"4"	"3"	"4"	"7"	"1"	"3"	"11"	"496"	"0"	"496"	"0"	""
"175"	"Total"	"466"	"2260"	"623"	"4433"	"122"	"75"	"61"	"54"	"75"	"72"	"43"	"77"	"193"	"8554"	"0"	"8554"	"0"	""
"176"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"182"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"183"	"101"	"5"	"36"	"40"	"308"	"8"	"2"	"1"	"2"	"2"	"3"	"0"	"2"	"6"	"415"	"0"	"415"	"0"	""
"184"	"102"	"8"	"103"	"16"	"402"	"11"	"4"	"5"	"2"	"4"	"9"	"1"	"4"	"14"	"583"	"0"	"583"	"0"	""
"185"	"103"	"7"	"39"	"12"	"623"	"12"	"0"	"5"	"1"	"4"	"6"	"2"	"4"	"11"	"726"	"0"	"726"	"0"	""
"186"	"104"	"1"	"5"	"1"	"706"	"4"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"721"	"0"	"721"	"0"	""
"187"	"105"	"123"	"239"	"39"	"157"	"13"	"10"	"6"	"5"	"5"	"5"	"2"	"5"	"2"	"611"	"0"	"611"	"0"	""
"188"	"106"	"99"	"174"	"144"	"48"	"3"	"4"	"5"	"2"	"5"	"2"	"3"	"5"	"11"	"505"	"0"	"505"	"0"	""
"189"	"106A"	"18"	"178"	"10"	"52"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"6"	"4"	"273"	"0"	"273"	"0"	""
"190"	"107"	"23"	"302"	"26"	"189"	"9"	"6"	"10"	"4"	"4"	"5"	"5"	"5"	"12"	"600"	"0"	"600"	"0"	""
"191"	"108"	"28"	"432"	"40"	"206"	"1"	"3"	"6"	"8"	"1"	"4"	"5"	"10"	"21"	"765"	"0"	"765"	"0"	""
"192"	"109"	"47"	"213"	"84"	"193"	"6"	"7"	"3"	"4"	"4"	"2"	"5"	"5"	"12"	"585"	"0"	"585"	"0"	""
"193"	"110"	"6"	"158"	"140"	"26"	"4"	"2"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"344"	"0"	"344"	"0"	""
"194"	"111"	"10"	"262"	"85"	"47"	"1"	"5"	"1"	"2"	"0"	"2"	"0"	"2"	"6"	"423"	"0"	"423"	"0"	""
"195"	"111A"	"117"	"148"	"113"	"36"	"3"	"10"	"2"	"0"	"9"	"1"	"0"	"2"	"5"	"446"	"0"	"446"	"0"	""
"196"	"112"	"54"	"196"	"59"	"53"	"2"	"0"	"1"	"3"	"3"	"0"	"3"	"7"	"15"	"396"	"0"	"396"	"0"	""
"197"	"Total"	"546"	"2485"	"809"	"3046"	"77"	"53"	"46"	"35"	"48"	"43"	"26"	"58"	"121"	"7393"	"0"	"7393"	"0"	""
"198"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"204"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"205"	"113"	"5"	"226"	"65"	"17"	"1"	"1"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"323"	"0"	"323"	"0"	""
"206"	"114"	"24"	"305"	"80"	"39"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"457"	"0"	"457"	"0"	""
"207"	"115"	"27"	"244"	"44"	"36"	"1"	"6"	"1"	"0"	"2"	"0"	"4"	"2"	"1"	"368"	"0"	"368"	"0"	""
"208"	"116"	"40"	"121"	"113"	"22"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"303"	"0"	"303"	"0"	""
"209"	"117"	"30"	"272"	"128"	"107"	"10"	"4"	"5"	"4"	"2"	"2"	"5"	"4"	"6"	"579"	"0"	"579"	"0"	""
"210"	"118"	"9"	"51"	"4"	"236"	"9"	"4"	"12"	"5"	"4"	"3"	"5"	"1"	"6"	"349"	"0"	"349"	"0"	""
"211"	"118A"	"10"	"33"	"43"	"255"	"2"	"3"	"3"	"0"	"0"	"0"	"1"	"0"	"3"	"353"	"0"	"353"	"0"	""
"212"	"119"	"7"	"57"	"10"	"379"	"8"	"2"	"1"	"5"	"4"	"3"	"3"	"3"	"13"	"495"	"0"	"495"	"0"	""
"213"	"120"	"11"	"198"	"124"	"13"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"4"	"355"	"0"	"355"	"0"	""
"214"	"121"	"10"	"262"	"26"	"130"	"3"	"1"	"2"	"6"	"4"	"0"	"4"	"3"	"8"	"459"	"0"	"459"	"0"	""
"215"	"122"	"23"	"186"	"72"	"172"	"9"	"5"	"8"	"2"	"5"	"3"	"1"	"2"	"4"	"492"	"0"	"492"	"0"	""
"216"	"123"	"5"	"92"	"178"	"109"	"5"	"2"	"2"	"2"	"3"	"2"	"4"	"2"	"17"	"423"	"0"	"423"	"0"	""
"217"	"124"	"8"	"98"	"6"	"184"	"5"	"3"	"5"	"2"	"5"	"5"	"2"	"6"	"6"	"335"	"0"	"335"	"0"	""
"218"	"124A"	"8"	"89"	"12"	"185"	"5"	"3"	"1"	"1"	"2"	"2"	"2"	"3"	"4"	"317"	"0"	"317"	"0"	""
"219"	"Total"	"217"	"2234"	"905"	"1884"	"61"	"37"	"41"	"31"	"32"	"21"	"34"	"31"	"80"	"5608"	"0"	"5608"	"0"	""
"220"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"227"	"125"	"18"	"24"	"7"	"460"	"4"	"2"	"5"	"1"	"6"	"3"	"8"	"0"	"3"	"541"	"0"	"541"	"0"	""
"228"	"126"	"4"	"103"	"45"	"243"	"1"	"3"	"5"	"1"	"1"	"1"	"2"	"7"	"5"	"421"	"0"	"421"	"0"	""
"229"	"127"	"28"	"109"	"18"	"226"	"6"	"6"	"6"	"5"	"4"	"5"	"6"	"2"	"14"	"435"	"0"	"435"	"0"	""
"230"	"127A"	"19"	"9"	"82"	"265"	"5"	"2"	"2"	"0"	"4"	"1"	"0"	"2"	"1"	"392"	"0"	"392"	"0"	""
"231"	"128"	"9"	"51"	"19"	"170"	"10"	"1"	"1"	"2"	"1"	"3"	"0"	"5"	"20"	"292"	"0"	"292"	"0"	""
"232"	"129"	"30"	"26"	"10"	"288"	"9"	"15"	"4"	"9"	"5"	"4"	"0"	"4"	"8"	"412"	"0"	"412"	"0"	""
"233"	"130"	"14"	"56"	"76"	"354"	"11"	"5"	"6"	"4"	"5"	"9"	"0"	"6"	"9"	"555"	"0"	"555"	"0"	""
"234"	"131"	"57"	"93"	"36"	"86"	"1"	"6"	"1"	"1"	"1"	"5"	"2"	"1"	"2"	"292"	"0"	"292"	"0"	""
"235"	"132"	"6"	"267"	"22"	"75"	"6"	"3"	"2"	"4"	"2"	"3"	"4"	"8"	"6"	"408"	"0"	"408"	"0"	""
"236"	"133"	"8"	"198"	"93"	"143"	"9"	"3"	"4"	"4"	"5"	"3"	"2"	"7"	"10"	"489"	"0"	"489"	"0"	""
"237"	"134"	"14"	"14"	"125"	"13"	"2"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"1"	"176"	"0"	"176"	"0"	""
"238"	"135"	"0"	"9"	"15"	"262"	"3"	"1"	"3"	"0"	"0"	"1"	"0"	"2"	"5"	"301"	"0"	"301"	"0"	""
"239"	"136"	"34"	"3"	"7"	"221"	"5"	"2"	"8"	"0"	"4"	"3"	"0"	"3"	"10"	"300"	"0"	"300"	"0"	""
"240"	"137"	"36"	"184"	"28"	"164"	"5"	"7"	"9"	"9"	"7"	"4"	"2"	"5"	"10"	"470"	"0"	"470"	"0"	""
"241"	"Total"	"277"	"1146"	"583"	"2970"	"77"	"59"	"58"	"40"	"45"	"45"	"27"	"53"	"104"	"5484"	"0"	"5484"	"0"	""
"242"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"249"	"138"	"40"	"208"	"183"	"90"	"4"	"3"	"2"	"2"	"1"	"3"	"5"	"7"	"8"	"556"	"0"	"556"	"0"	""
"250"	"139"	"11"	"47"	"8"	"43"	"1"	"1"	"4"	"0"	"2"	"0"	"0"	"2"	"0"	"119"	"0"	"119"	"0"	""
"251"	"140"	"47"	"133"	"15"	"202"	"3"	"5"	"5"	"11"	"6"	"10"	"4"	"6"	"10"	"457"	"0"	"457"	"0"	""
"252"	"141"	"13"	"281"	"91"	"116"	"4"	"0"	"2"	"1"	"5"	"2"	"0"	"3"	"10"	"528"	"0"	"528"	"0"	""
"253"	"142"	"30"	"201"	"64"	"125"	"10"	"6"	"4"	"3"	"6"	"2"	"4"	"7"	"11"	"473"	"0"	"473"	"0"	""
"254"	"143"	"59"	"251"	"63"	"155"	"4"	"3"	"3"	"3"	"2"	"2"	"3"	"8"	"56"	"612"	"0"	"612"	"0"	""
"255"	"144"	"8"	"133"	"18"	"397"	"1"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"15"	"581"	"0"	"581"	"0"	""
"256"	"145"	"38"	"205"	"10"	"202"	"3"	"4"	"4"	"6"	"3"	"7"	"3"	"4"	"3"	"492"	"0"	"492"	"0"	""
"257"	"146"	"10"	"127"	"85"	"84"	"0"	"4"	"2"	"3"	"3"	"2"	"0"	"2"	"6"	"328"	"0"	"328"	"0"	""
"258"	"147"	"25"	"63"	"49"	"137"	"0"	"1"	"3"	"4"	"8"	"4"	"2"	"9"	"12"	"317"	"0"	"317"	"0"	""
"259"	"148"	"28"	"102"	"115"	"208"	"14"	"1"	"3"	"1"	"3"	"4"	"3"	"7"	"8"	"497"	"0"	"497"	"0"	""
"260"	"149"	"22"	"261"	"85"	"156"	"5"	"5"	"3"	"6"	"3"	"4"	"7"	"5"	"11"	"573"	"0"	"573"	"0"	""
"261"	"150"	"67"	"152"	"12"	"137"	"8"	"6"	"5"	"6"	"5"	"4"	"4"	"8"	"15"	"429"	"0"	"429"	"0"	""
"262"	"151"	"20"	"208"	"174"	"158"	"35"	"5"	"1"	"3"	"2"	"2"	"1"	"2"	"39"	"650"	"0"	"650"	"0"	""
"263"	"Total"	"418"	"2372"	"972"	"2210"	"92"	"46"	"42"	"51"	"50"	"47"	"36"	"72"	"204"	"6612"	"0"	"6612"	"0"	""
"264"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"271"	"152"	"57"	"121"	"43"	"201"	"14"	"12"	"4"	"7"	"7"	"7"	"16"	"18"	"33"	"540"	"0"	"540"	"0"	""
"272"	"153"	"64"	"79"	"15"	"114"	"9"	"10"	"3"	"4"	"2"	"1"	"3"	"2"	"21"	"327"	"0"	"327"	"0"	""
"273"	"154"	"12"	"143"	"12"	"146"	"10"	"6"	"5"	"3"	"1"	"4"	"2"	"8"	"61"	"413"	"0"	"413"	"0"	""
"274"	"155"	"15"	"339"	"30"	"27"	"4"	"1"	"0"	"4"	"0"	"4"	"4"	"3"	"9"	"440"	"0"	"440"	"0"	""
"275"	"156"	"12"	"251"	"23"	"145"	"4"	"1"	"7"	"3"	"10"	"1"	"2"	"4"	"4"	"467"	"0"	"467"	"0"	""
"276"	"157"	"19"	"296"	"11"	"71"	"2"	"1"	"1"	"1"	"4"	"2"	"3"	"5"	"23"	"439"	"0"	"439"	"0"	""
"277"	"157A"	"22"	"178"	"20"	"131"	"5"	"5"	"4"	"4"	"4"	"2"	"1"	"9"	"15"	"400"	"0"	"400"	"0"	""
"278"	"158"	"17"	"279"	"52"	"114"	"11"	"7"	"4"	"7"	"6"	"5"	"2"	"6"	"12"	"522"	"0"	"522"	"0"	""
"279"	"159"	"18"	"132"	"105"	"188"	"9"	"7"	"1"	"5"	"6"	"3"	"1"	"11"	"10"	"496"	"0"	"496"	"0"	""
"280"	"160"	"4"	"99"	"30"	"215"	"9"	"3"	"6"	"0"	"0"	"1"	"0"	"3"	"11"	"381"	"0"	"381"	"0"	""
"281"	"161"	"38"	"423"	"32"	"88"	"6"	"6"	"6"	"8"	"6"	"5"	"7"	"8"	"9"	"642"	"0"	"642"	"0"	""
"282"	"162"	"9"	"115"	"25"	"190"	"9"	"4"	"0"	"1"	"2"	"2"	"2"	"3"	"7"	"369"	"0"	"369"	"0"	""
"283"	"163"	"14"	"32"	"119"	"101"	"4"	"2"	"2"	"4"	"3"	"10"	"4"	"3"	"13"	"311"	"0"	"311"	"0"	""
"284"	"164"	"4"	"172"	"2"	"67"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"6"	"261"	"0"	"261"	"0"	""
"285"	"Total"	"305"	"2659"	"519"	"1798"	"98"	"66"	"44"	"52"	"51"	"47"	"48"	"87"	"234"	"6008"	"0"	"6008"	"0"	""
"286"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"292"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"293"	"164A"	"34"	"287"	"42"	"101"	"7"	"5"	"3"	"3"	"3"	"0"	"3"	"2"	"7"	"497"	"0"	"497"	"0"	""
"294"	"165"	"2"	"164"	"71"	"48"	"5"	"0"	"1"	"1"	"2"	"2"	"0"	"2"	"3"	"301"	"0"	"301"	"0"	""
"295"	"166"	"7"	"250"	"36"	"165"	"5"	"1"	"3"	"0"	"3"	"2"	"1"	"4"	"4"	"481"	"0"	"481"	"0"	""
"296"	"167"	"3"	"318"	"114"	"77"	"24"	"1"	"3"	"4"	"5"	"3"	"4"	"9"	"5"	"570"	"0"	"570"	"0"	""
"297"	"168"	"68"	"61"	"185"	"190"	"7"	"9"	"5"	"4"	"10"	"1"	"1"	"4"	"8"	"553"	"0"	"553"	"0"	""
"298"	"169"	"8"	"176"	"44"	"341"	"8"	"2"	"5"	"6"	"3"	"4"	"3"	"4"	"2"	"606"	"0"	"606"	"0"	""
"299"	"170"	"72"	"175"	"51"	"238"	"15"	"12"	"10"	"6"	"4"	"4"	"3"	"6"	"7"	"603"	"0"	"603"	"0"	""
"300"	"171"	"28"	"55"	"81"	"175"	"10"	"6"	"5"	"24"	"9"	"6"	"4"	"6"	"13"	"422"	"0"	"422"	"0"	""
"301"	"172"	"109"	"253"	"16"	"149"	"4"	"10"	"4"	"1"	"4"	"9"	"1"	"6"	"14"	"580"	"0"	"580"	"0"	""
"302"	"173"	"11"	"141"	"35"	"195"	"0"	"4"	"4"	"4"	"3"	"6"	"2"	"2"	"6"	"413"	"0"	"413"	"0"	""
"303"	"173A"	"14"	"187"	"29"	"74"	"3"	"2"	"6"	"3"	"1"	"2"	"1"	"0"	"8"	"330"	"0"	"330"	"0"	""
"304"	"174"	"3"	"5"	"56"	"236"	"15"	"2"	"3"	"6"	"7"	"10"	"7"	"7"	"30"	"387"	"0"	"387"	"0"	""
"305"	"175"	"37"	"160"	"104"	"166"	"3"	"12"	"6"	"5"	"7"	"4"	"1"	"4"	"3"	"512"	"0"	"512"	"0"	""
"306"	"176"	"16"	"233"	"23"	"148"	"11"	"3"	"2"	"6"	"5"	"4"	"8"	"5"	"24"	"488"	"0"	"488"	"0"	""
"307"	"Total"	"412"	"2465"	"887"	"2303"	"117"	"69"	"60"	"73"	"66"	"57"	"39"	"61"	"134"	"6743"	"0"	"6743"	"0"	""
"308"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"314"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"315"	"177"	"42"	"282"	"66"	"142"	"16"	"10"	"5"	"7"	"7"	"7"	"10"	"15"	"22"	"631"	"0"	"631"	"0"	""
"316"	"178"	"12"	"94"	"22"	"84"	"5"	"0"	"1"	"2"	"3"	"7"	"3"	"0"	"7"	"240"	"0"	"240"	"0"	""
"317"	"179"	"27"	"346"	"73"	"98"	"15"	"4"	"7"	"10"	"4"	"2"	"7"	"17"	"13"	"623"	"0"	"623"	"0"	""
"318"	"180"	"56"	"345"	"93"	"107"	"7"	"12"	"8"	"6"	"6"	"6"	"6"	"8"	"14"	"674"	"0"	"674"	"0"	""
"319"	"181"	"32"	"207"	"116"	"162"	"9"	"5"	"4"	"6"	"4"	"3"	"2"	"4"	"14"	"568"	"0"	"568"	"0"	""
"320"	"182"	"9"	"27"	"56"	"221"	"12"	"5"	"6"	"10"	"4"	"9"	"7"	"5"	"22"	"393"	"0"	"393"	"0"	""
"321"	"183"	"28"	"187"	"93"	"159"	"7"	"10"	"11"	"9"	"4"	"1"	"3"	"4"	"3"	"519"	"0"	"519"	"0"	""
"322"	"184"	"16"	"263"	"23"	"176"	"3"	"2"	"2"	"9"	"4"	"2"	"8"	"8"	"24"	"540"	"0"	"540"	"0"	""
"323"	"185"	"39"	"179"	"62"	"80"	"6"	"12"	"9"	"12"	"19"	"8"	"12"	"17"	"12"	"467"	"0"	"467"	"0"	""
"324"	"186"	"39"	"146"	"7"	"48"	"5"	"3"	"5"	"3"	"11"	"5"	"2"	"10"	"16"	"300"	"0"	"300"	"0"	""
"325"	"187"	"14"	"146"	"57"	"174"	"15"	"9"	"9"	"7"	"7"	"4"	"2"	"8"	"3"	"455"	"0"	"455"	"0"	""
"326"	"188"	"7"	"51"	"70"	"256"	"5"	"4"	"3"	"5"	"7"	"8"	"8"	"13"	"48"	"485"	"0"	"485"	"0"	""
"327"	"189"	"8"	"110"	"29"	"247"	"12"	"4"	"4"	"1"	"5"	"8"	"3"	"9"	"13"	"453"	"0"	"453"	"0"	""
"328"	"190"	"8"	"125"	"104"	"209"	"12"	"5"	"8"	"10"	"4"	"3"	"5"	"6"	"10"	"509"	"0"	"509"	"0"	""
"329"	"Total"	"337"	"2508"	"871"	"2163"	"129"	"85"	"82"	"97"	"89"	"73"	"78"	"124"	"221"	"6857"	"0"	"6857"	"0"	""
"330"	"Total No. of Electors in Assembly Constituency - 200284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"Election for 3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Polling Station No."	"Kameshwar Pandey"	"Chandra Mohan Rai"	"Prabhat Ranjan Singh"	"Fakroodin Khan"	"Anita Devi"	"Puroosotam Ram"	"Bechchoo Yadav"	"Majister Yadav"	"Sudama Ram"	"Nand Lal Ram"	"Najamudin"	"Muneendra Pandit"	"Mohammad Salauddin"	"Total    No. of     actual Votes"	"Total    No. of rejected Votes"	"Total"	"No.        of Tendered Votes"	""
"336"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	""
"337"	"191"	"26"	"151"	"76"	"59"	"4"	"5"	"2"	"5"	"3"	"5"	"3"	"4"	"15"	"358"	"0"	"358"	"0"	""
"338"	"192"	"10"	"183"	"16"	"99"	"5"	"1"	"5"	"2"	"5"	"6"	"5"	"20"	"70"	"427"	"0"	"427"	"0"	""
"339"	"192A"	"8"	"55"	"2"	"98"	"6"	"0"	"1"	"2"	"3"	"4"	"2"	"1"	"7"	"189"	"0"	"189"	"0"	""
"340"	"193"	"26"	"188"	"45"	"312"	"12"	"6"	"8"	"4"	"10"	"11"	"10"	"10"	"15"	"657"	"0"	"657"	"0"	""
"341"	"194"	"12"	"52"	"36"	"141"	"12"	"9"	"9"	"14"	"4"	"5"	"1"	"5"	"3"	"303"	"0"	"303"	"0"	""
"342"	"195"	"30"	"40"	"105"	"364"	"16"	"9"	"5"	"8"	"0"	"1"	"5"	"4"	"5"	"592"	"0"	"592"	"0"	""
"343"	"196"	"10"	"145"	"56"	"135"	"7"	"3"	"3"	"11"	"4"	"5"	"5"	"9"	"47"	"440"	"0"	"440"	"0"	""
"344"	"Total"	"122"	"814"	"336"	"1208"	"62"	"33"	"33"	"46"	"29"	"37"	"31"	"53"	"162"	"2966"	"0"	"2966"	"0"	""
"345"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"3-Ramnagar Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
