"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency/Segmen   205207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly/Segment                                      205-Piro"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"134"	"114"	"PANCHAYAT BHAWAN BARAWN"	"164"	"153"	"177"	"12"	"7"	"7"	"3"	"5"	"4"	"4"	"4"	"3"	"543"	"0"	"543"	"0"
"135"	"115"	"PRIMARY SCHOOL BARAWAN NO. 2"	"421"	"103"	"85"	"3"	"3"	"4"	"2"	"4"	"3"	"5"	"5"	"13"	"651"	"0"	"651"	"0"
"136"	"116"	"PRIMARY SCHOOL DHANPOKHAR"	"27"	"4"	"289"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"2"	"333"	"0"	"333"	"0"
"137"	"117"	"PRIMARY SCHOOL KASER"	"146"	"16"	"112"	"4"	"1"	"0"	"0"	"1"	"0"	"3"	"0"	"8"	"291"	"0"	"291"	"0"
"138"	"118"	"PRIMARY SCHOOL MOHAN TOLA"	"32"	"4"	"164"	"8"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"212"	"0"	"212"	"0"
"139"	"119"	"PRIMARY SCHOOL DEOCHANDA"	"12"	"26"	"408"	"11"	"0"	"0"	"0"	"2"	"1"	"4"	"0"	"1"	"465"	"0"	"465"	"0"
"140"	"120"	"MIDDLE SCHOOL TILADH"	"13"	"2"	"568"	"4"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"594"	"0"	"594"	"0"
"141"	"121"	"PRIMARY SCHOOL DUSADHI BADHAR"	"410"	"0"	"25"	"61"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"4"	"504"	"0"	"504"	"0"
"142"	"122"	"VYAPAR MANDAL PIRO (N)"	"84"	"11"	"359"	"22"	"1"	"4"	"0"	"2"	"1"	"1"	"2"	"2"	"489"	"0"	"489"	"0"
"143"	"123"	"VYAPAR MANDAL PIRO (SOUTH PART)"	"56"	"1"	"243"	"18"	"0"	"2"	"0"	"1"	"3"	"0"	"0"	"0"	"324"	"0"	"324"	"0"
"144"	"124"	"URDU PRIMARY SCHOOL BHAGALPUR (NORTH PART)"	"212"	"6"	"189"	"18"	"1"	"3"	"2"	"1"	"1"	"1"	"2"	"3"	"439"	"0"	"439"	"0"
"145"	"125"	"URDU PRIMARY SCHOOL BHAGALPUR (WEST PART)"	"223"	"4"	"167"	"22"	"0"	"2"	"2"	"1"	"0"	"2"	"1"	"0"	"424"	"0"	"424"	"0"
"146"	"126"	"MD AFTAB KHAN KA BHAWAN WARD NO. 4"	"333"	"6"	"99"	"29"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"1"	"471"	"0"	"471"	"0"
"147"	"127"	"PRIMARY SCHOOL IBRAHIMPUR"	"278"	"34"	"174"	"41"	"4"	"3"	"3"	"7"	"9"	"7"	"4"	"7"	"571"	"0"	"571"	"0"
"148"	"128"	"MIDDLE SCHOOL PIRO (BALAK) (EAST PART)"	"40"	"2"	"305"	"5"	"2"	"7"	"5"	"1"	"3"	"1"	"1"	"2"	"374"	"0"	"374"	"0"
"149"	"129"	"MIDDLE SCHOOL PIRO (WEST PART)"	"109"	"11"	"127"	"64"	"2"	"0"	"1"	"1"	"0"	"2"	"7"	"1"	"325"	"0"	"325"	"0"
"150"	"130"	"GIRLS MIDDLE SCHOOL PIRO"	"249"	"11"	"398"	"9"	"2"	"5"	"1"	"1"	"5"	"4"	"3"	"10"	"698"	"0"	"698"	"0"
"151"	"131"	"PUSHPA MIDDLE SCHOOL PIRO (NORTH PART)"	"136"	"2"	"251"	"7"	"2"	"0"	"3"	"3"	"3"	"0"	"2"	"4"	"413"	"0"	"413"	"0"
"152"	"132"	"PUSHPA MIDDLE SCHOOL PIRO (SOUTH PART)"	"93"	"9"	"335"	"2"	"1"	"1"	"0"	"0"	"3"	"1"	"2"	"3"	"450"	"0"	"450"	"0"
"153"	"133"	"AHMAD ALI KA BHAWAN PIRO WARD NO. 9"	"375"	"14"	"176"	"82"	"3"	"3"	"3"	"7"	"6"	"4"	"0"	"10"	"683"	"0"	"683"	"0"
"154"	"134"	"URDU MIDDLE SCHOOL PIRO"	"272"	"4"	"115"	"1"	"0"	"0"	"2"	"1"	"2"	"2"	"1"	"10"	"410"	"0"	"410"	"0"
"155"	"135"	"SRI SANTOSH PANDEY KA BHAWAN PIRO WARD NO. 11"	"380"	"21"	"192"	"27"	"3"	"2"	"4"	"4"	"3"	"2"	"4"	"10"	"652"	"0"	"652"	"0"
"156"	"136"	"PRIMARY SCHOOL BALUA TOLA"	"443"	"44"	"36"	"45"	"12"	"8"	"2"	"9"	"3"	"3"	"5"	"19"	"629"	"0"	"629"	"0"
"157"	"137"	"PRIMARY SCHOOL ITIMAHAN GANESH"	"145"	"95"	"255"	"30"	"0"	"1"	"1"	"4"	"0"	"1"	"2"	"3"	"537"	"0"	"537"	"0"
"158"	"138"	"PRIMARY SCHOOL DHANPURA"	"65"	"1"	"92"	"1"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"162"	"0"	"162"	"0"
"159"	"139"	"MIDDLE SCHOOL BACHARI (NORTH PART)"	"62"	"123"	"362"	"14"	"1"	"2"	"1"	"1"	"1"	"4"	"2"	"1"	"574"	"0"	"574"	"0"
"160"	"140"	"MIDDLE SCHOOL BACHARI (SOUTH PART)"	"54"	"41"	"395"	"1"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"9"	"506"	"0"	"506"	"0"
"161"	"141"	"PRIMARY SCHOOL GOVIND DIH"	"480"	"2"	"22"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"511"	"0"	"511"	"0"
"162"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"163"	"Serial No. of Polling Station"	""	"RJD"	"CPI(ML)(L)"	"JD(U)"	"LJSP"	"BSP"	"SP"	"SAP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"164"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"165"	"142"	"PRIMARY SCHOOL LAHRITIWARI DIH"	"129"	"19"	"183"	"36"	"2"	"1"	"1"	"1"	"2"	"12"	"3"	"14"	"403"	"0"	"403"	"0"
"166"	"143"	"PRIMARY SCHOOL BHULUKUYAN"	"117"	"26"	"159"	"32"	"1"	"6"	"0"	"3"	"3"	"0"	"4"	"1"	"352"	"0"	"352"	"0"
"167"	"144"	"PRIMARY SCHOOL JAISIDIH"	"187"	"17"	"196"	"4"	"6"	"2"	"1"	"4"	"2"	"3"	"7"	"12"	"441"	"0"	"441"	"0"
"168"	"145"	"MIDDLE SCHOOL BHADSAR (EAST PART)"	"43"	"1"	"193"	"154"	"2"	"0"	"5"	"6"	"3"	"3"	"6"	"9"	"425"	"0"	"425"	"0"
"169"	"146"	"MIDDLE SCHOOL BHADSAR (WEST PART)"	"112"	"18"	"217"	"34"	"3"	"4"	"3"	"0"	"1"	"2"	"0"	"2"	"396"	"0"	"396"	"0"
"170"	"147"	"MIDDLE SCHOOL THAKURI"	"269"	"125"	"161"	"8"	"1"	"14"	"3"	"1"	"2"	"3"	"6"	"22"	"615"	"0"	"615"	"0"
"171"	"148"	"PRIMARY SCHOOL KANAI"	"171"	"49"	"216"	"19"	"3"	"1"	"2"	"6"	"4"	"1"	"0"	"9"	"481"	"0"	"481"	"0"
"172"	"149"	"PRIMARY SCHOOL KASMARIA"	"159"	"84"	"162"	"9"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"3"	"423"	"0"	"423"	"0"
"173"	"150"	"PRIMARY SCHOOL DHRUBDIHA"	"138"	"9"	"129"	"8"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"2"	"292"	"0"	"292"	"0"
"174"	"151"	"SAHKARITA GODAM MADRAHAN"	"225"	"25"	"27"	"9"	"0"	"9"	"0"	"4"	"3"	"0"	"3"	"2"	"307"	"0"	"307"	"0"
"175"	"152"	"PRIMARY SCHOOL PADARIYA"	"102"	"49"	"148"	"11"	"0"	"0"	"1"	"1"	"4"	"3"	"10"	"13"	"342"	"0"	"342"	"0"
"176"	"153"	"PRIMARY SCHOOL LILARI"	"175"	"129"	"112"	"13"	"1"	"3"	"2"	"4"	"7"	"8"	"10"	"26"	"490"	"0"	"490"	"0"
"177"	"154"	"PRIMARY SCHOOL DUMARIYA"	"205"	"72"	"6"	"11"	"1"	"0"	"3"	"5"	"1"	"3"	"19"	"23"	"349"	"0"	"349"	"0"
"178"	"155"	"PRIMARY SCHOOL MADRIHAN (EAST PART)"	"381"	"37"	"55"	"20"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"5"	"501"	"0"	"501"	"0"
"179"	"156"	"PRIMARY SCHOOL AMAURJA"	"340"	"144"	"56"	"9"	"3"	"8"	"2"	"1"	"2"	"0"	"8"	"12"	"585"	"0"	"585"	"0"
"180"	"157"	"PRIMARY SCHOOL PASAUR HARIJAN TOLA"	"231"	"176"	"31"	"0"	"1"	"1"	"3"	"0"	"4"	"0"	"13"	"14"	"474"	"0"	"474"	"0"
"181"	"158"	"PRIMARY SCHOOL PASAUR"	"44"	"215"	"166"	"5"	"4"	"0"	"2"	"2"	"2"	"4"	"16"	"18"	"478"	"0"	"478"	"0"
"182"	"159"	"MIDDLE SCHOOL PASAUR"	"93"	"199"	"250"	"3"	"1"	"1"	"1"	"2"	"2"	"6"	"13"	"11"	"582"	"0"	"582"	"0"
"183"	"160"	"PRIMARY SCHOOL HARPUR"	"143"	"84"	"215"	"21"	"1"	"2"	"2"	"2"	"1"	"3"	"0"	"1"	"475"	"0"	"475"	"0"
"184"	"161"	"PRIMARY SCHOOL PALIA"	"295"	"3"	"7"	"2"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"2"	"316"	"0"	"316"	"0"
"185"	"162"	"PRIMARY SCHOOL MADAI"	"400"	"62"	"161"	"3"	"4"	"0"	"3"	"0"	"3"	"3"	"1"	"2"	"642"	"0"	"642"	"0"
"186"	"163"	"MIDDLE SCHOOL MUKUNDPUR (WEST PART)"	"301"	"44"	"209"	"6"	"2"	"1"	"10"	"5"	"3"	"8"	"9"	"31"	"629"	"0"	"629"	"0"
"187"	"164"	"PRIMARY SCHOOL MUKUNDPUR (EAST PART)"	"255"	"1"	"195"	"7"	"1"	"0"	"0"	"2"	"1"	"1"	"1"	"4"	"468"	"0"	"468"	"0"
"188"	"165"	"PRIMARY SCHOOL JAITPURA"	"107"	"62"	"206"	"24"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"403"	"0"	"403"	"0"
"189"	"166"	"MIDDLE SCHOOL MALAUR"	"90"	"57"	"209"	"14"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"3"	"379"	"0"	"379"	"0"
"190"	"167"	"PRIMARY SCHOOL MALAUR"	"178"	"127"	"277"	"8"	"1"	"2"	"3"	"0"	"3"	"8"	"4"	"7"	"618"	"0"	"618"	"0"
"191"	"168"	"PRIMARY SCHOOL KHANRATI"	"186"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"193"	"0"	"193"	"0"
"192"	"169"	"PRIMARY SCHOOL BALIHARI"	"322"	"78"	"77"	"2"	"0"	"2"	"1"	"0"	"0"	"2"	"2"	"1"	"487"	"0"	"487"	"0"
"193"	"170"	"PRIMARY SCHOOL EKAUNI"	"219"	"46"	"47"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"318"	"0"	"318"	"0"
"194"	"171"	"PRIMARY SCHOOL DEKUDA"	"27"	"1"	"220"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"0"	"261"	"0"
"195"	"172"	"PRIMARY SCHOOL BARAR"	"168"	"22"	"184"	"61"	"1"	"0"	"3"	"0"	"1"	"0"	"2"	"3"	"445"	"0"	"445"	"0"
"196"	"173"	"HALKA GODAM BHAIRODIH"	"59"	"40"	"268"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"368"	"0"	"368"	"0"
"197"	"174"	"MIDDLE SCHOOL SAROPUR"	"54"	"2"	"270"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"333"	"0"	"333"	"0"
"198"	"175"	"PRIMARY SCHOOL DHANAUTI"	"421"	"77"	"47"	"8"	"5"	"5"	"0"	"1"	"6"	"2"	"4"	"7"	"583"	"0"	"583"	"0"
"199"	"176"	"PRIMARY SCHOOL NAGRAWN"	"121"	"11"	"242"	"39"	"3"	"77"	"2"	"4"	"4"	"6"	"2"	"10"	"521"	"0"	"521"	"0"
"200"	"177"	"PRIMARY SCHOOL NAGRI (SOUTH PART)"	"257"	"11"	"335"	"128"	"7"	"2"	"2"	"6"	"6"	"2"	"5"	"8"	"769"	"0"	"769"	"0"
"201"	"178"	"PRIMARY SCHOOL NAGRI (NORTH PART)"	"110"	"128"	"401"	"73"	"5"	"0"	"2"	"4"	"0"	"5"	"9"	"7"	"744"	"0"	"744"	"0"
"202"	"179"	"PRIMARY SCHOOL DUBEYDIHRA"	"155"	"0"	"32"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"0"	"190"	"0"
"203"	"180"	"MIDDLE SCHOOL KUMHAILA (EAST PART)"	"382"	"121"	"30"	"3"	"0"	"1"	"0"	"2"	"2"	"0"	"5"	"6"	"552"	"0"	"552"	"0"
"204"	"181"	"MIDDLE SCHOOL KUMHAILA (WEST PART)"	"10"	"181"	"7"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"2"	"4"	"210"	"0"	"210"	"0"
"205"	"182"	"PRIMARY SCHOOL KORI"	"303"	"46"	"194"	"20"	"0"	"1"	"1"	"4"	"5"	"7"	"6"	"8"	"595"	"0"	"595"	"0"
"206"	"183"	"PRIMARY SCHOOL DHERHA"	"278"	"3"	"11"	"0"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"301"	"0"	"301"	"0"
"207"	"184"	"MIDDLE SCHOOL KOYAL (WEST PART)"	"216"	"84"	"167"	"3"	"0"	"0"	"2"	"1"	"0"	"2"	"2"	"4"	"481"	"0"	"481"	"0"
"208"	"185"	"MIDDLE SCHOOL KOYAL (EAST PART)"	"127"	"209"	"127"	"20"	"4"	"2"	"0"	"2"	"0"	"2"	"7"	"8"	"508"	"0"	"508"	"0"
"209"	"186"	"MIDDLE SCHOOL SIYADIH (NORTH PART)"	"210"	"120"	"246"	"6"	"0"	"2"	"0"	"1"	"1"	"2"	"3"	"11"	"602"	"0"	"602"	"0"
"210"	"187"	"MIDDLE SCHOOL SIYADIH (SOUTH PART)"	"121"	"35"	"316"	"2"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"9"	"489"	"0"	"489"	"0"
"211"	"188"	"PRIMARY SCHOOL BAGUSRA"	"70"	"135"	"98"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"3"	"2"	"313"	"0"	"313"	"0"
"212"	"189"	"PRIMARY SCHOOL CHARPOKHARI"	"183"	"14"	"292"	"44"	"3"	"1"	"9"	"13"	"11"	"8"	"8"	"12"	"598"	"0"	"598"	"0"
"213"	"190"	"MIDDLE SCHOOL BARNI"	"255"	"87"	"135"	"30"	"0"	"4"	"1"	"2"	"3"	"1"	"4"	"3"	"525"	"0"	"525"	"0"
"214"	"191"	"PRIMARY SCHOOL KATHRAI"	"239"	"32"	"398"	"1"	"5"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"680"	"0"	"680"	"0"
"215"	"192"	"PRIMARY SCHOOL BRAHARA"	"304"	"41"	"147"	"5"	"2"	"3"	"3"	"1"	"1"	"4"	"4"	"9"	"524"	"0"	"524"	"0"
"216"	"193"	"SARYU VIDHYA MANDIR SEMRAON"	"121"	"45"	"250"	"7"	"1"	"1"	"2"	"4"	"2"	"4"	"5"	"5"	"447"	"0"	"447"	"0"
"217"	""	""	"TRIVENI SINGH"	"DINESHER RAM"	"NARENDRA KUMAR
PANDEY"	"PRAVIN KUMAR
SINGH"	"VRIJENDRA SINGH
YADAV"	"RAGHUPATI GOPE"	"SHATRUJAY PANDEY"	"AJIT RAY"	"CHITRANJAN PASWAN"	"JAWAHAR RAI"	"DASRATH RAM"	"BAIJNATH UPADHAYAY"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"218"	"Serial No. of Polling Station"	""	"RJD"	"CPI(ML)(L)"	"JD(U)"	"LJSP"	"BSP"	"SP"	"SAP"	"IND"	"IND"	"IND"	"IND"	"IND"	""	""	""	""
"219"	"1"	""	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"220"	"194"	"PRIMARY SCHOOL DULAUR TOLA SEMRAON"	"361"	"100"	"88"	"7"	"1"	"1"	"0"	"2"	"2"	"0"	"3"	"2"	"567"	"0"	"567"	"0"
"221"	"195"	"MIDDLE SCHOOL ENGLISH TOLA"	"266"	"8"	"26"	"7"	"1"	"0"	"1"	"1"	"3"	"2"	"1"	"5"	"321"	"0"	"321"	"0"
"222"	"196"	"MIDDLE SCHOOL CHHAPRA TOLA SEMRAON"	"289"	"27"	"212"	"5"	"0"	"4"	"0"	"1"	"5"	"6"	"4"	"6"	"559"	"0"	"559"	"0"
"223"	"197"	"PRIMARY SCHOOL BHALUANA"	"68"	"69"	"351"	"13"	"1"	"2"	"3"	"2"	"0"	"4"	"4"	"6"	"523"	"0"	"523"	"0"
"224"	"198"	"PRIMARY SCHOOL PRITAMPUR"	"438"	"24"	"22"	"35"	"4"	"1"	"1"	"7"	"8"	"1"	"5"	"30"	"576"	"0"	"576"	"0"
"225"	"199"	"PRIMARY SCHOOL BABUBANDH"	"174"	"26"	"123"	"3"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"331"	"0"	"331"	"0"
"226"	"200"	"PRIMARY SCHOOL BAJEN"	"179"	"55"	"188"	"12"	"2"	"4"	"5"	"3"	"5"	"8"	"2"	"18"	"481"	"0"	"481"	"0"
"227"	"201"	"PRIMARY SCHOOL MANAINI"	"149"	"46"	"126"	"7"	"2"	"0"	"1"	"3"	"2"	"1"	"4"	"2"	"343"	"0"	"343"	"0"
"228"	"202"	"PRIMARY SCHOOL BAGAHI"	"104"	"70"	"74"	"5"	"1"	"2"	"1"	"0"	"2"	"0"	"4"	"4"	"267"	"0"	"267"	"0"
"229"	"203"	"PRIMARY SCHOOL BETARI"	"55"	"8"	"200"	"11"	"3"	"1"	"2"	"1"	"2"	"2"	"0"	"5"	"290"	"0"	"290"	"0"
"230"	"204"	"PRIMARY SCHOOL PANDEY DIH"	"163"	"53"	"101"	"4"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"4"	"330"	"0"	"330"	"0"
"231"	"205"	"PRIMARY SCHOOL MAJHIAON"	"97"	"126"	"444"	"8"	"2"	"2"	"2"	"2"	"8"	"3"	"4"	"3"	"701"	"0"	"701"	"0"
"232"	"206"	"COPRETIV GODAM HALKA MANSAGAR"	"124"	"257"	"191"	"2"	"2"	"1"	"2"	"7"	"1"	"1"	"5"	"2"	"595"	"0"	"595"	"0"
"233"	"207"	"PRIMARY SCHOOL ETAUR"	"125"	"106"	"399"	"1"	"5"	"1"	"0"	"1"	"4"	"3"	"4"	"15"	"664"	"0"	"664"	"0"
"234"	"208"	"MIDDLE SCHOOL SONBARSHA (EAST PART)"	"61"	"203"	"154"	"5"	"0"	"2"	"1"	"1"	"1"	"2"	"4"	"4"	"438"	"0"	"438"	"0"
"235"	"209"	"MIDDLE SCHOOL SONBARSHA (WEST PART)"	"13"	"206"	"195"	"1"	"0"	"0"	"2"	"1"	"3"	"1"	"8"	"3"	"433"	"0"	"433"	"0"
"236"	"210"	"PRIMARY SCHOOL KUSUMHI"	"183"	"95"	"60"	"4"	"0"	"0"	"2"	"1"	"1"	"3"	"3"	"8"	"360"	"0"	"360"	"0"
"237"	"211"	"PRIMARY SCHOOL DEODHI"	"100"	"79"	"126"	"20"	"1"	"2"	"4"	"2"	"4"	"8"	"8"	"10"	"364"	"0"	"364"	"0"
"238"	"212"	"PRIMARY SCHOOL BALBANDH (EAST PART)"	"75"	"63"	"115"	"9"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"268"	"0"	"268"	"0"
"239"	"213"	"PRIMARY SCHOOL BALBANDH (WEST PART)"	"13"	"4"	"246"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"265"	"0"	"265"	"0"
"240"	"214"	"PRIMARY SCHOOL PATHAR"	"33"	"53"	"150"	"56"	"4"	"2"	"0"	"2"	"2"	"1"	"1"	"1"	"305"	"0"	"305"	"0"
"241"	"215"	"PRIMARY SCHOOL DHANDHAULI"	"208"	"33"	"44"	"0"	"1"	"5"	"0"	"0"	"0"	"1"	"1"	"2"	"295"	"0"	"295"	"0"
"242"	"216"	"MIDDLE SCHOOL KAUP (NORTH PART)"	"240"	"325"	"128"	"19"	"2"	"2"	"3"	"2"	"2"	"0"	"1"	"2"	"726"	"0"	"726"	"0"
"243"	"217"	"MIDDLE SCHOOL KAUP (SOUTH PART)"	"35"	"105"	"240"	"6"	"0"	"0"	"4"	"2"	"1"	"1"	"2"	"4"	"400"	"0"	"400"	"0"
"244"	"218"	"URDU PRIMARY SCHOOL GARHANI (NORTH PART)"	"97"	"58"	"280"	"19"	"0"	"2"	"1"	"0"	"2"	"3"	"0"	"5"	"467"	"0"	"467"	"0"
"245"	"219"	"URDU PRIMARY SCHOOL GARAHANI (SOUTH PART)"	"50"	"15"	"371"	"7"	"1"	"0"	"3"	"1"	"1"	"6"	"1"	"5"	"461"	"0"	"461"	"0"
"246"	"220"	"PANCHAYAT BHAWAN GARHANI"	"254"	"31"	"197"	"10"	"0"	"2"	"0"	"2"	"0"	"5"	"0"	"1"	"502"	"0"	"502"	"0"
"247"	"221"	"HINDI PRIMARY SCHOOL GARHANI (NORTH PART)"	"159"	"31"	"236"	"7"	"2"	"0"	"2"	"0"	"4"	"2"	"3"	"4"	"450"	"0"	"450"	"0"
"248"	"222"	"HINDI PRIMARY SCHOOL GARHANI TALUK (MIDDLE CENTRE)"	"62"	"64"	"244"	"17"	"1"	"2"	"0"	"2"	"2"	"4"	"5"	"8"	"411"	"0"	"411"	"0"
"249"	"222A"	"HINDI PRIMARY SCHOOL GARHANI TALUK (WEST PART)"	"174"	"78"	"159"	"2"	"1"	"0"	"2"	"3"	"2"	"1"	"5"	"8"	"435"	"0"	"435"	"0"
"250"	"223"	"MIDDLE SCHOOL PADARIYA"	"145"	"200"	"118"	"5"	"1"	"0"	"0"	"0"	"2"	"0"	"2"	"1"	"474"	"0"	"474"	"0"
"251"	"224"	"PRIMARY SCHOOL BAHRI"	"196"	"118"	"159"	"11"	"2"	"1"	"2"	"4"	"1"	"1"	"6"	"13"	"514"	"0"	"514"	"0"
"252"	"225"	"PRIMARY SCHOOL SOHRI"	"214"	"30"	"112"	"3"	"1"	"3"	"2"	"2"	"2"	"1"	"1"	"1"	"372"	"0"	"372"	"0"
"253"	"226"	"PRIMARY SCHOOL KARNAUL"	"31"	"26"	"385"	"6"	"4"	"3"	"0"	"2"	"1"	"4"	"6"	"4"	"472"	"0"	"472"	"0"
"254"	"227"	"MIDDLE SCHOOL CHANDI (WEST PART)"	"58"	"218"	"129"	"4"	"0"	"1"	"1"	"1"	"2"	"2"	"6"	"8"	"430"	"0"	"430"	"0"
"255"	"228"	"URDU PRIMARY SCHOOL HARPUR"	"233"	"154"	"198"	"10"	"2"	"1"	"1"	"0"	"2"	"2"	"5"	"7"	"615"	"0"	"615"	"0"
"256"	"229"	"PRIMARY SCHOOL BARDIHAN"	"224"	"138"	"153"	"13"	"3"	"0"	"2"	"1"	"0"	"2"	"1"	"3"	"540"	"0"	"540"	"0"
"257"	"Total No. of Votes recorded at Polling Stations"	""	"35963"	"13626"	"46329"	"4237"	"447"	"448"	"394"	"486"	"654"	"607"	"711"	"1341"	"105243"	"0"	"105243"	"0"
"258"	"No of votes recorded on postal ballot papers"	""	"0"	"0"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"11"	"0"	"11"	"0"
"259"	""	"Total votes polled"	"35963"	"13626"	"46338"	"4239"	"447"	"448"	"394"	"486"	"654"	"607"	"711"	"1341"	"105254"	"0"	"105254"	"0"
"260"	"Place :                                                                                                                                                                                                                   Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"Date : 22/11/2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
