"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE BIHAR LEGISLATIVE FROM 62-AURAI  ASSEMBLY CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"TOTAL NO OF ELECTORS IN 62-AURAI ASSEMBLY CONSTITUENCY                        180075"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"NAME OF THE ASSEMBLY /SEGMENT……………………………………………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"201"	"PS NO."	"ARJUN RAY"	"UGAN TARA DEVI"	"MOH. LAL BABU"	"SANJAY SHAHI"	"ABHAY KUMAR"	"TARIQUE IMAM"	"NAND KISHORE YADAV"	"BHIKHARI SAHANI"	"MD. SAGHIR AHMAD"	"SURENDRA KUMAR"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL"	"TOTAL NO OF
TENDERED VOTES"	""
"202"	"178"	"219"	"345"	"22"	"4"	"17"	"8"	"5"	"8"	"20"	"23"	"671"	""	"671"	""	""
"203"	"179"	"146"	"39"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"3"	"196"	""	"196"	""	""
"204"	"180"	"217"	"42"	"6"	"1"	"4"	"0"	"3"	"2"	"3"	"7"	"285"	""	"285"	""	""
"205"	"181"	"226"	"109"	"28"	"6"	"4"	"4"	"5"	"7"	"8"	"29"	"426"	""	"426"	""	""
"206"	"182"	"199"	"208"	"13"	"4"	"10"	"4"	"3"	"6"	"10"	"15"	"472"	""	"472"	""	""
"207"	"183"	"403"	"33"	"3"	"8"	"2"	"4"	"2"	"3"	"4"	"20"	"482"	""	"482"	""	""
"208"	"184"	"270"	"20"	"6"	"2"	"11"	"10"	"6"	"8"	"9"	"33"	"375"	""	"375"	""	""
"209"	"185"	"294"	"28"	"13"	"3"	"9"	"0"	"6"	"4"	"2"	"10"	"369"	""	"369"	""	""
"210"	"186"	"379"	"107"	"42"	"20"	"34"	"9"	"11"	"8"	"7"	"22"	"639"	""	"639"	""	""
"211"	"187"	"424"	"47"	"23"	"7"	"7"	"9"	"3"	"4"	"5"	"8"	"537"	""	"537"	""	""
"212"	"188"	"353"	"52"	"9"	"3"	"10"	"0"	"1"	"1"	"4"	"5"	"438"	""	"438"	""	""
"213"	"189"	"189"	"32"	"7"	"2"	"10"	"8"	"3"	"1"	"3"	"15"	"270"	""	"270"	""	""
"214"	"190"	"289"	"21"	"17"	"9"	"33"	"10"	"5"	"5"	"3"	"26"	"418"	""	"418"	""	""
"215"	"TOTAL"	"44886"	"10182"	"2761"	"2679"	"13521"	"1753"	"804"	"904"	"1113"	"3470"	"82073"	"0"	"82073"	""	""
"216"	"B.P."	"5"	"2"	"1"	"1"	""	""	""	""	""	""	"9"	""	"9"	""	""
"217"	"G.TOT."	"44891"	"10184"	"2762"	"2680"	"13521"	"1753"	"804"	"904"	"1113"	"3470"	"82082"	"0"	"82082"	""	""
"218"	"TOTAL NO OF VOTES RECORDED AT POLLING STATIONS"	""	""	""	""	""	""	""	""	"82073"	""	""	""	""	""	""
"219"	"NO OF VOTES RECORDED ON POSTAL BALLOT PAPERS."	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""
"220"	"TOTAL VOTES POLLED"	""	""	""	""	""	""	""	""	"82082"	""	""	""	""	""	""
"221"	"PLACE : MUZAFFARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"DATE : 22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"ASSISTANT RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
