"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"137"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"138"	"105"	"128"	"2"	"19"	"6"	"303"	"6"	"4"	"3"	"2"	"10"	"7"	"8"	"3"	"1"	"1"	"10"	"513"	"0"	"513"	"0"
"139"	"106"	"292"	"6"	"22"	"13"	"334"	"7"	"6"	"5"	"1"	"10"	"2"	"8"	"6"	"2"	"6"	"11"	"731"	"0"	"731"	"0"
"140"	"107"	"275"	"11"	"47"	"21"	"328"	"7"	"8"	"2"	"3"	"37"	"1"	"4"	"1"	"2"	"2"	"5"	"754"	"0"	"754"	"0"
"141"	"108"	"66"	"4"	"13"	"3"	"399"	"14"	"3"	"1"	"6"	"133"	"8"	"21"	"4"	"6"	"1"	"14"	"696"	"0"	"696"	"0"
"142"	"109"	"11"	"0"	"15"	"9"	"230"	"8"	"3"	"0"	"1"	"11"	"4"	"3"	"0"	"1"	"1"	"9"	"306"	"0"	"306"	"0"
"143"	"110"	"403"	"7"	"3"	"6"	"304"	"2"	"2"	"2"	"0"	"3"	"3"	"5"	"1"	"5"	"11"	"12"	"769"	"0"	"769"	"0"
"144"	"111"	"108"	"4"	"10"	"11"	"262"	"9"	"10"	"1"	"3"	"41"	"6"	"13"	"1"	"1"	"2"	"10"	"492"	"0"	"492"	"0"
"145"	"112"	"157"	"3"	"14"	"12"	"421"	"8"	"15"	"4"	"4"	"31"	"2"	"4"	"4"	"0"	"3"	"12"	"694"	"0"	"694"	"0"
"146"	"113"	"142"	"5"	"8"	"6"	"529"	"6"	"3"	"4"	"2"	"36"	"5"	"8"	"6"	"2"	"1"	"7"	"770"	"0"	"770"	"0"
"147"	"114"	"55"	"3"	"16"	"9"	"473"	"35"	"8"	"2"	"8"	"24"	"5"	"28"	"3"	"0"	"9"	"17"	"695"	"0"	"695"	"0"
"148"	"115"	"22"	"10"	"52"	"11"	"375"	"10"	"5"	"14"	"25"	"262"	"3"	"11"	"4"	"4"	"0"	"7"	"815"	"0"	"815"	"0"
"149"	"116"	"48"	"8"	"43"	"6"	"233"	"11"	"6"	"2"	"11"	"187"	"5"	"3"	"2"	"3"	"4"	"4"	"576"	"0"	"576"	"0"
"150"	"117"	"161"	"5"	"21"	"7"	"164"	"3"	"1"	"1"	"8"	"128"	"11"	"6"	"1"	"0"	"3"	"9"	"529"	"0"	"529"	"0"
"151"	"118"	"226"	"3"	"18"	"8"	"394"	"12"	"5"	"3"	"3"	"76"	"6"	"7"	"3"	"1"	"2"	"7"	"774"	"0"	"774"	"0"
"152"	"119"	"174"	"5"	"14"	"7"	"200"	"17"	"5"	"3"	"11"	"259"	"4"	"3"	"2"	"1"	"5"	"9"	"719"	"0"	"719"	"0"
"153"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"154"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"155"	"120"	"197"	"6"	"6"	"2"	"133"	"7"	"0"	"1"	"1"	"39"	"2"	"1"	"0"	"1"	"0"	"3"	"399"	"0"	"399"	"0"
"156"	"120A"	"195"	"6"	"15"	"3"	"139"	"10"	"4"	"3"	"3"	"62"	"3"	"5"	"2"	"4"	"5"	"16"	"475"	"0"	"475"	"0"
"157"	"121"	"169"	"25"	"16"	"3"	"173"	"9"	"4"	"2"	"7"	"175"	"2"	"5"	"2"	"3"	"6"	"11"	"612"	"0"	"612"	"0"
"158"	"122"	"149"	"9"	"3"	"1"	"2"	"5"	"1"	"2"	"12"	"234"	"4"	"2"	"2"	"0"	"1"	"4"	"431"	"0"	"431"	"0"
"159"	"122A"	"114"	"3"	"4"	"2"	"21"	"5"	"4"	"7"	"7"	"192"	"6"	"3"	"3"	"1"	"2"	"4"	"378"	"0"	"378"	"0"
"160"	"123"	"246"	"15"	"4"	"5"	"16"	"27"	"1"	"4"	"6"	"164"	"5"	"3"	"0"	"2"	"0"	"8"	"506"	"0"	"506"	"0"
"161"	"124"	"27"	"5"	"8"	"9"	"153"	"9"	"4"	"8"	"16"	"301"	"4"	"143"	"5"	"1"	"11"	"6"	"710"	"0"	"710"	"0"
"162"	"125"	"207"	"24"	"20"	"5"	"243"	"10"	"3"	"3"	"1"	"52"	"5"	"85"	"6"	"2"	"4"	"6"	"676"	"0"	"676"	"0"
"163"	"126"	"351"	"12"	"7"	"0"	"33"	"2"	"1"	"2"	"3"	"47"	"1"	"15"	"1"	"1"	"4"	"4"	"484"	"0"	"484"	"0"
"164"	"127"	"118"	"15"	"10"	"4"	"126"	"13"	"6"	"4"	"7"	"42"	"4"	"97"	"6"	"2"	"7"	"9"	"470"	"0"	"470"	"0"
"165"	"127A"	"80"	"1"	"10"	"6"	"100"	"5"	"4"	"2"	"5"	"123"	"1"	"30"	"2"	"3"	"5"	"6"	"383"	"0"	"383"	"0"
"166"	"128"	"372"	"12"	"4"	"4"	"59"	"6"	"2"	"2"	"1"	"18"	"5"	"3"	"2"	"0"	"4"	"14"	"508"	"0"	"508"	"0"
"167"	"128A"	"244"	"6"	"7"	"1"	"49"	"7"	"5"	"3"	"2"	"39"	"2"	"4"	"4"	"1"	"5"	"7"	"386"	"0"	"386"	"0"
"168"	"129"	"364"	"18"	"8"	"5"	"79"	"11"	"1"	"1"	"2"	"7"	"1"	"20"	"4"	"0"	"4"	"16"	"541"	"0"	"541"	"0"
"169"	"130"	"306"	"8"	"5"	"1"	"68"	"4"	"1"	"1"	"0"	"21"	"4"	"4"	"2"	"2"	"1"	"25"	"453"	"0"	"453"	"0"
"170"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"171"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"172"	"130A"	"128"	"10"	"10"	"6"	"154"	"6"	"0"	"1"	"1"	"106"	"5"	"2"	"0"	"1"	"0"	"2"	"432"	"0"	"432"	"0"
"173"	"131"	"375"	"19"	"4"	"4"	"49"	"5"	"0"	"0"	"0"	"38"	"2"	"2"	"1"	"2"	"2"	"5"	"508"	"0"	"508"	"0"
"174"	"132"	"367"	"13"	"13"	"2"	"65"	"9"	"6"	"4"	"5"	"190"	"5"	"6"	"6"	"1"	"5"	"3"	"700"	"0"	"700"	"0"
"175"	"133"	"272"	"79"	"10"	"2"	"11"	"7"	"2"	"1"	"3"	"16"	"4"	"7"	"0"	"4"	"5"	"21"	"444"	"0"	"444"	"0"
"176"	"134"	"252"	"41"	"2"	"2"	"15"	"2"	"2"	"0"	"0"	"9"	"6"	"1"	"8"	"2"	"2"	"14"	"358"	"0"	"358"	"0"
"177"	"135"	"379"	"12"	"3"	"0"	"7"	"7"	"3"	"0"	"0"	"8"	"0"	"0"	"1"	"1"	"0"	"4"	"425"	"0"	"425"	"0"
"178"	"136"	"120"	"11"	"13"	"7"	"162"	"7"	"12"	"3"	"3"	"79"	"6"	"13"	"8"	"3"	"8"	"21"	"476"	"0"	"476"	"0"
"179"	"137"	"330"	"7"	"6"	"1"	"25"	"2"	"0"	"1"	"0"	"9"	"0"	"2"	"1"	"0"	"1"	"3"	"388"	"0"	"388"	"0"
"180"	"138"	"153"	"12"	"14"	"5"	"192"	"18"	"1"	"2"	"3"	"40"	"5"	"17"	"5"	"3"	"7"	"10"	"487"	"0"	"487"	"0"
"181"	"139"	"97"	"17"	"26"	"13"	"313"	"8"	"4"	"1"	"7"	"51"	"11"	"22"	"5"	"2"	"10"	"15"	"602"	"0"	"602"	"0"
"182"	"139A"	"211"	"6"	"1"	"4"	"38"	"7"	"1"	"0"	"1"	"27"	"1"	"4"	"1"	"2"	"4"	"7"	"315"	"0"	"315"	"0"
"183"	"140"	"142"	"27"	"10"	"3"	"106"	"2"	"3"	"2"	"3"	"13"	"4"	"6"	"2"	"2"	"3"	"15"	"343"	"0"	"343"	"0"
"184"	"141"	"227"	"10"	"5"	"2"	"25"	"13"	"1"	"2"	"3"	"34"	"2"	"2"	"2"	"3"	"3"	"13"	"347"	"0"	"347"	"0"
"185"	"141A"	"270"	"8"	"6"	"1"	"45"	"9"	"0"	"1"	"1"	"27"	"1"	"3"	"4"	"1"	"6"	"4"	"387"	"0"	"387"	"0"
"186"	"142"	"324"	"13"	"6"	"0"	"2"	"8"	"0"	"1"	"4"	"12"	"1"	"0"	"0"	"0"	"4"	"26"	"401"	"0"	"401"	"0"
"187"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"188"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"189"	"143"	"150"	"10"	"2"	"1"	"42"	"5"	"7"	"6"	"15"	"383"	"10"	"8"	"5"	"3"	"7"	"12"	"666"	"0"	"666"	"0"
"190"	"144"	"151"	"7"	"3"	"2"	"51"	"3"	"6"	"3"	"8"	"26"	"3"	"179"	"5"	"2"	"3"	"10"	"462"	"0"	"462"	"0"
"191"	"145"	"281"	"21"	"2"	"0"	"1"	"4"	"1"	"1"	"2"	"6"	"4"	"2"	"1"	"5"	"3"	"26"	"360"	"0"	"360"	"0"
"192"	"146"	"279"	"23"	"14"	"2"	"23"	"2"	"3"	"2"	"2"	"25"	"3"	"4"	"5"	"1"	"8"	"27"	"423"	"0"	"423"	"0"
"193"	"147"	"237"	"9"	"9"	"18"	"117"	"7"	"2"	"1"	"12"	"135"	"5"	"15"	"4"	"1"	"1"	"4"	"577"	"0"	"577"	"0"
"194"	"148"	"54"	"3"	"3"	"2"	"185"	"0"	"1"	"2"	"7"	"59"	"5"	"289"	"4"	"2"	"4"	"5"	"625"	"0"	"625"	"0"
"195"	"149"	"230"	"15"	"6"	"6"	"238"	"3"	"4"	"0"	"4"	"59"	"1"	"37"	"2"	"1"	"0"	"4"	"610"	"0"	"610"	"0"
"196"	"150"	"277"	"5"	"6"	"1"	"31"	"6"	"0"	"1"	"3"	"1"	"3"	"102"	"0"	"1"	"0"	"1"	"438"	"0"	"438"	"0"
"197"	"151"	"429"	"9"	"4"	"2"	"6"	"1"	"1"	"3"	"2"	"32"	"2"	"9"	"2"	"1"	"0"	"12"	"515"	"0"	"515"	"0"
"198"	"152"	"412"	"13"	"4"	"2"	"2"	"5"	"2"	"1"	"1"	"3"	"1"	"2"	"0"	"3"	"2"	"14"	"467"	"0"	"467"	"0"
"199"	"152A"	"81"	"2"	"1"	"0"	"5"	"2"	"3"	"3"	"7"	"9"	"3"	"236"	"3"	"0"	"3"	"3"	"361"	"0"	"361"	"0"
"200"	"153"	"142"	"4"	"4"	"4"	"228"	"6"	"6"	"1"	"4"	"63"	"2"	"54"	"3"	"2"	"0"	"3"	"526"	"0"	"526"	"0"
"201"	"154"	"278"	"11"	"16"	"5"	"202"	"11"	"0"	"2"	"7"	"49"	"2"	"94"	"3"	"3"	"1"	"4"	"688"	"0"	"688"	"0"
"202"	"155"	"222"	"12"	"8"	"2"	"100"	"20"	"1"	"0"	"11"	"8"	"3"	"140"	"5"	"1"	"0"	"12"	"545"	"0"	"545"	"0"
"203"	"156"	"59"	"1"	"1"	"3"	"123"	"7"	"0"	"0"	"0"	"13"	"2"	"80"	"2"	"3"	"2"	"6"	"302"	"0"	"302"	"0"
"204"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"205"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"206"	"157"	"172"	"2"	"2"	"1"	"70"	"3"	"4"	"3"	"7"	"38"	"6"	"366"	"9"	"5"	"12"	"21"	"721"	"0"	"721"	"0"
"207"	"158"	"7"	"2"	"16"	"7"	"235"	"7"	"1"	"2"	"6"	"13"	"3"	"187"	"4"	"0"	"0"	"2"	"492"	"0"	"492"	"0"
"208"	"158A"	"267"	"8"	"4"	"2"	"94"	"3"	"0"	"1"	"2"	"10"	"8"	"1"	"1"	"3"	"2"	"5"	"411"	"0"	"411"	"0"
"209"	"159"	"439"	"13"	"6"	"2"	"74"	"27"	"1"	"2"	"4"	"41"	"7"	"12"	"7"	"4"	"8"	"28"	"675"	"0"	"675"	"0"
"210"	"160"	"342"	"11"	"1"	"1"	"6"	"30"	"1"	"3"	"0"	"1"	"4"	"3"	"3"	"2"	"4"	"17"	"429"	"0"	"429"	"0"
"211"	"160A"	"149"	"6"	"10"	"1"	"61"	"8"	"1"	"0"	"1"	"13"	"1"	"1"	"0"	"1"	"1"	"7"	"261"	"0"	"261"	"0"
"212"	"161"	"281"	"13"	"14"	"3"	"158"	"14"	"4"	"2"	"7"	"67"	"3"	"19"	"4"	"1"	"0"	"12"	"602"	"0"	"602"	"0"
"213"	"162"	"205"	"6"	"12"	"2"	"175"	"18"	"3"	"4"	"1"	"28"	"7"	"8"	"4"	"3"	"1"	"3"	"480"	"0"	"480"	"0"
"214"	"163"	"34"	"4"	"33"	"10"	"425"	"29"	"4"	"6"	"7"	"44"	"8"	"20"	"3"	"2"	"5"	"11"	"645"	"0"	"645"	"0"
"215"	"164"	"161"	"18"	"18"	"8"	"154"	"7"	"2"	"4"	"5"	"43"	"5"	"69"	"8"	"7"	"5"	"14"	"528"	"0"	"528"	"0"
"216"	"165"	"372"	"10"	"16"	"1"	"85"	"12"	"3"	"3"	"1"	"0"	"0"	"7"	"3"	"1"	"3"	"9"	"526"	"0"	"526"	"0"
"217"	"166"	"196"	"4"	"18"	"4"	"150"	"5"	"0"	"1"	"3"	"6"	"2"	"18"	"1"	"0"	"1"	"7"	"416"	"0"	"416"	"0"
"218"	"167"	"53"	"1"	"20"	"22"	"235"	"7"	"3"	"2"	"3"	"36"	"5"	"9"	"4"	"1"	"2"	"5"	"408"	"0"	"408"	"0"
"219"	"168"	"54"	"1"	"6"	"1"	"18"	"0"	"0"	"1"	"0"	"2"	"1"	"4"	"1"	"0"	"0"	"3"	"92"	"0"	"92"	"0"
"220"	"169"	"238"	"11"	"17"	"3"	"116"	"13"	"2"	"0"	"2"	"4"	"1"	"4"	"4"	"1"	"4"	"4"	"424"	"0"	"424"	"0"
"221"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"222"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"223"	"170"	"411"	"6"	"14"	"4"	"173"	"7"	"0"	"1"	"1"	"0"	"0"	"19"	"0"	"0"	"2"	"4"	"642"	"0"	"642"	"0"
"224"	"171"	"214"	"8"	"13"	"5"	"163"	"33"	"9"	"5"	"5"	"30"	"2"	"4"	"1"	"3"	"2"	"6"	"503"	"0"	"503"	"0"
"225"	"172"	"386"	"11"	"13"	"3"	"63"	"42"	"2"	"0"	"3"	"9"	"3"	"6"	"2"	"2"	"6"	"35"	"586"	"0"	"586"	"0"
"226"	"173"	"102"	"6"	"6"	"2"	"210"	"57"	"3"	"2"	"2"	"68"	"2"	"6"	"0"	"0"	"3"	"5"	"474"	"0"	"474"	"0"
"227"	"174"	"206"	"14"	"26"	"7"	"196"	"42"	"0"	"2"	"3"	"21"	"9"	"9"	"3"	"2"	"2"	"6"	"548"	"0"	"548"	"0"
"228"	"175"	"338"	"9"	"3"	"4"	"12"	"22"	"5"	"1"	"1"	"37"	"3"	"4"	"3"	"3"	"4"	"22"	"471"	"0"	"471"	"0"
"229"	"176"	"194"	"12"	"14"	"5"	"91"	"29"	"5"	"1"	"10"	"162"	"3"	"1"	"6"	"2"	"4"	"4"	"543"	"0"	"543"	"0"
"230"	"177"	"16"	"2"	"3"	"2"	"68"	"6"	"0"	"3"	"11"	"237"	"4"	"3"	"3"	"1"	"2"	"2"	"363"	"0"	"363"	"0"
"231"	"178"	"251"	"10"	"2"	"1"	"33"	"4"	"3"	"1"	"4"	"102"	"1"	"0"	"1"	"0"	"2"	"11"	"426"	"0"	"426"	"0"
"232"	"179"	"183"	"12"	"2"	"6"	"30"	"298"	"5"	"3"	"7"	"36"	"5"	"3"	"4"	"5"	"2"	"6"	"607"	"0"	"607"	"0"
"233"	"180"	"258"	"4"	"5"	"9"	"209"	"50"	"2"	"3"	"1"	"63"	"1"	"6"	"2"	"1"	"3"	"5"	"622"	"0"	"622"	"0"
"234"	"181"	"572"	"5"	"4"	"0"	"12"	"30"	"1"	"1"	"4"	"6"	"1"	"3"	"1"	"0"	"3"	"9"	"652"	"0"	"652"	"0"
"235"	"182"	"301"	"9"	"10"	"1"	"115"	"31"	"0"	"0"	"2"	"6"	"2"	"5"	"3"	"2"	"3"	"15"	"505"	"0"	"505"	"0"
"236"	"183"	"48"	"3"	"1"	"2"	"6"	"351"	"4"	"1"	"0"	"4"	"4"	"2"	"1"	"0"	"5"	"5"	"437"	"0"	"437"	"0"
"237"	"184"	"18"	"0"	"1"	"0"	"20"	"349"	"11"	"0"	"0"	"2"	"6"	"2"	"0"	"1"	"1"	"8"	"419"	"0"	"419"	"0"
"238"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"239"	""	"vCnqy tyhy"	"[oktk cgkmn~nhu vgen"	"fouksnkuan lkg"	"'kaHkq dqekj eaMy"	"fgejkt flag"	"tkfdj glsu"	"ekxu ikloku"	"vyhjtk"	"dSyk'k jtd"	"fnus'k dq0 bUlku"	"fursUnz jk;"	"izeksn dq0 flag"	"Hkksyk jk;"	"ealqj vkye"	"eks0 etg:y gd 'ksj"	"'kEHkw jk;"	""	""	""	""
"240"	"185"	"346"	"4"	"0"	"1"	"2"	"70"	"2"	"1"	"3"	"27"	"1"	"1"	"1"	"0"	"1"	"4"	"464"	"0"	"464"	"0"
"241"	"185A"	"232"	"5"	"1"	"1"	"28"	"55"	"0"	"1"	"3"	"19"	"0"	"4"	"1"	"1"	"1"	"6"	"358"	"0"	"358"	"0"
"242"	"186"	"268"	"4"	"4"	"1"	"44"	"57"	"2"	"1"	"1"	"64"	"1"	"3"	"2"	"2"	"7"	"12"	"473"	"0"	"473"	"0"
"243"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"46221"	"2084"	"4255"	"1155"	"33685"	"3203"	"619"	"484"	"853"	"10121"	"714"	"4524"	"622"	"482"	"739"	"2072"	"111833"	"0"	"111833"	"0"
"244"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh la[;k
¼lHkk fuokZpu& {ks= ls fuokZpu dh n'kk esa Hkjk tk, ½"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"245"	"Mkys x, dqy er"	"46221"	"2084"	"4255"	"1155"	"33685"	"3203"	"619"	"484"	"853"	"10121"	"714"	"4524"	"622"	"482"	"739"	"2072"	"111833"	"0"	"111833"	"0"
