"PART...I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"182"	"BF"	"4703"	"16344"	"19628"	"14293"	"1332"	"320"	"211"	"214"	"370"	"480"	"646"	"58541"	"0"	"58541"	"0"
"183"	"99"	"56"	"122"	"84"	"365"	"5"	"0"	"1"	"1"	"0"	"0"	"1"	"635"	"0"	"635"	"0"
"184"	"100"	"20"	"142"	"138"	"78"	"4"	"3"	"1"	"1"	"2"	"4"	"1"	"394"	"0"	"394"	"0"
"185"	"100 A"	"20"	"188"	"172"	"14"	"2"	"1"	"0"	"0"	"1"	"3"	"5"	"406"	"0"	"406"	"0"
"186"	"101"	"49"	"282"	"240"	"93"	"3"	"6"	"3"	"1"	"9"	"2"	"10"	"698"	"0"	"698"	"0"
"187"	"102"	"43"	"191"	"95"	"195"	"7"	"3"	"1"	"3"	"2"	"9"	"14"	"563"	"0"	"563"	"0"
"188"	"102 A"	"11"	"101"	"100"	"37"	"5"	"1"	"2"	"2"	"2"	"5"	"2"	"268"	"0"	"268"	"0"
"189"	"103"	"10"	"390"	"128"	"294"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"828"	"0"	"828"	"0"
"190"	"104"	"7"	"261"	"43"	"59"	"2"	"1"	"2"	"0"	"6"	"9"	"8"	"398"	"0"	"398"	"0"
"191"	"104 A"	"3"	"133"	"24"	"99"	"6"	"0"	"2"	"1"	"0"	"1"	"1"	"270"	"0"	"270"	"0"
"192"	"105"	"34"	"327"	"41"	"2"	"3"	"6"	"47"	"2"	"1"	"3"	"8"	"474"	"0"	"474"	"0"
"193"	"106"	"0"	"1"	"62"	"295"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"361"	"0"	"361"	"0"
"194"	"107"	"52"	"365"	"133"	"130"	"8"	"1"	"6"	"3"	"6"	"3"	"8"	"715"	"0"	"715"	"0"
"195"	"108"	"41"	"476"	"12"	"5"	"0"	"2"	"0"	"0"	"0"	"4"	"0"	"540"	"0"	"540"	"0"
"196"	"109"	"129"	"87"	"93"	"78"	"6"	"2"	"1"	"0"	"3"	"1"	"4"	"404"	"0"	"404"	"0"
"197"	"TOTAL"	"5178"	"19410"	"20993"	"16037"	"1388"	"346"	"277"	"230"	"403"	"525"	"708"	"65495"	"0"	"65495"	"0"
"198"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"201"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"202"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"203"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"204"	"BF"	"5178"	"19410"	"20993"	"16037"	"1388"	"346"	"277"	"230"	"403"	"525"	"708"	"65495"	"0"	"65495"	"0"
"205"	"109 A"	"51"	"73"	"88"	"49"	"3"	"2"	"2"	"2"	"0"	"2"	"1"	"273"	"0"	"273"	"0"
"206"	"110"	"95"	"80"	"142"	"240"	"5"	"3"	"1"	"3"	"2"	"3"	"7"	"581"	"0"	"581"	"0"
"207"	"111"	"212"	"5"	"134"	"137"	"0"	"4"	"1"	"0"	"2"	"1"	"2"	"498"	"0"	"498"	"0"
"208"	"112"	"47"	"137"	"158"	"85"	"3"	"2"	"1"	"2"	"2"	"5"	"5"	"447"	"0"	"447"	"0"
"209"	"113"	"39"	"146"	"84"	"209"	"4"	"3"	"0"	"1"	"4"	"2"	"0"	"492"	"0"	"492"	"0"
"210"	"114"	"51"	"277"	"83"	"44"	"1"	"1"	"0"	"0"	"2"	"1"	"3"	"463"	"0"	"463"	"0"
"211"	"114 A"	"24"	"285"	"32"	"74"	"3"	"1"	"0"	"1"	"1"	"0"	"3"	"424"	"0"	"424"	"0"
"212"	"115"	"20"	"103"	"75"	"540"	"7"	"1"	"1"	"0"	"1"	"0"	"1"	"749"	"0"	"749"	"0"
"213"	"116"	"8"	"333"	"94"	"110"	"2"	"1"	"1"	"2"	"1"	"1"	"1"	"554"	"0"	"554"	"0"
"214"	"116 A"	"19"	"197"	"46"	"126"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"394"	"0"	"394"	"0"
"215"	"117"	"28"	"272"	"116"	"283"	"4"	"0"	"0"	"3"	"2"	"1"	"2"	"711"	"0"	"711"	"0"
"216"	"118"	"29"	"538"	"179"	"15"	"0"	"3"	"1"	"2"	"0"	"2"	"6"	"775"	"0"	"775"	"0"
"217"	"119"	"121"	"189"	"192"	"224"	"13"	"9"	"6"	"6"	"7"	"8"	"24"	"799"	"0"	"799"	"0"
"218"	"120"	"53"	"304"	"96"	"150"	"5"	"2"	"0"	"1"	"4"	"4"	"1"	"620"	"0"	"620"	"0"
"219"	"TOTAL"	"5975"	"22349"	"22512"	"18323"	"1439"	"380"	"293"	"253"	"431"	"555"	"765"	"73275"	"0"	"73275"	"0"
"220"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"223"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"224"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"225"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"226"	"BF"	"5975"	"22349"	"22512"	"18323"	"1439"	"380"	"293"	"253"	"431"	"555"	"765"	"73275"	"0"	"73275"	"0"
"227"	"121"	"49"	"174"	"159"	"222"	"4"	"0"	"2"	"1"	"2"	"0"	"3"	"616"	"0"	"616"	"0"
"228"	"122"	"31"	"367"	"305"	"193"	"3"	"2"	"1"	"0"	"3"	"4"	"4"	"913"	"0"	"913"	"0"
"229"	"123"	"23"	"36"	"349"	"176"	"7"	"5"	"5"	"4"	"12"	"2"	"12"	"631"	"0"	"631"	"0"
"230"	"123 A"	"56"	"86"	"272"	"38"	"9"	"3"	"3"	"4"	"7"	"0"	"13"	"491"	"0"	"491"	"0"
"231"	"124"	"80"	"53"	"257"	"120"	"5"	"4"	"0"	"5"	"8"	"2"	"8"	"542"	"0"	"542"	"0"
"232"	"124 A"	"60"	"15"	"193"	"94"	"1"	"2"	"4"	"1"	"2"	"0"	"5"	"377"	"0"	"377"	"0"
"233"	"125"	"55"	"195"	"178"	"87"	"4"	"0"	"0"	"2"	"4"	"3"	"7"	"535"	"0"	"535"	"0"
"234"	"125 A"	"60"	"57"	"83"	"221"	"6"	"1"	"2"	"1"	"2"	"1"	"8"	"442"	"0"	"442"	"0"
"235"	"126"	"43"	"212"	"264"	"120"	"6"	"4"	"2"	"2"	"4"	"3"	"7"	"667"	"0"	"667"	"0"
"236"	"127"	"141"	"63"	"308"	"48"	"25"	"5"	"3"	"2"	"5"	"7"	"18"	"625"	"0"	"625"	"0"
"237"	"128"	"19"	"243"	"102"	"4"	"12"	"0"	"1"	"0"	"1"	"1"	"0"	"383"	"0"	"383"	"0"
"238"	"129"	"24"	"129"	"152"	"38"	"2"	"3"	"2"	"0"	"2"	"3"	"9"	"364"	"0"	"364"	"0"
"239"	"129 A"	"33"	"133"	"66"	"262"	"10"	"3"	"2"	"4"	"3"	"1"	"7"	"524"	"0"	"524"	"0"
"240"	"130"	"76"	"107"	"141"	"169"	"103"	"7"	"4"	"1"	"4"	"7"	"8"	"627"	"0"	"627"	"0"
"241"	"TOTAL"	"6725"	"24219"	"25341"	"20115"	"1636"	"419"	"324"	"280"	"490"	"589"	"874"	"81012"	"0"	"81012"	"0"
"242"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"245"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"246"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"247"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"248"	"BF"	"6725"	"24219"	"25341"	"20115"	"1636"	"419"	"324"	"280"	"490"	"589"	"874"	"81012"	"0"	"81012"	"0"
"249"	"131"	"18"	"52"	"267"	"399"	"10"	"2"	"1"	"1"	"5"	"1"	"5"	"761"	"0"	"761"	"0"
"250"	"132"	"36"	"113"	"184"	"147"	"10"	"7"	"7"	"5"	"3"	"4"	"4"	"520"	"0"	"520"	"0"
"251"	"133"	"26"	"400"	"173"	"128"	"4"	"2"	"1"	"4"	"3"	"4"	"7"	"752"	"0"	"752"	"0"
"252"	"134"	"41"	"319"	"202"	"64"	"7"	"6"	"1"	"4"	"9"	"11"	"20"	"684"	"0"	"684"	"0"
"253"	"135"	"16"	"345"	"258"	"150"	"3"	"1"	"0"	"1"	"1"	"2"	"2"	"779"	"0"	"779"	"0"
"254"	"136"	"11"	"253"	"155"	"92"	"3"	"0"	"2"	"3"	"7"	"3"	"8"	"537"	"0"	"537"	"0"
"255"	"137"	"63"	"235"	"270"	"111"	"5"	"7"	"2"	"2"	"3"	"3"	"6"	"707"	"0"	"707"	"0"
"256"	"138"	"14"	"19"	"156"	"259"	"5"	"8"	"4"	"1"	"2"	"2"	"9"	"479"	"0"	"479"	"0"
"257"	"138 A"	"10"	"42"	"106"	"189"	"0"	"5"	"1"	"2"	"2"	"2"	"6"	"365"	"0"	"365"	"0"
"258"	"139"	"25"	"201"	"147"	"292"	"5"	"2"	"3"	"2"	"1"	"3"	"5"	"686"	"0"	"686"	"0"
"259"	"140"	"54"	"118"	"253"	"177"	"2"	"4"	"0"	"2"	"0"	"3"	"2"	"615"	"0"	"615"	"0"
"260"	"141"	"64"	"114"	"132"	"337"	"6"	"5"	"0"	"2"	"1"	"1"	"3"	"665"	"0"	"665"	"0"
"261"	"142"	"15"	"62"	"111"	"276"	"3"	"1"	"1"	"0"	"1"	"1"	"1"	"472"	"0"	"472"	"0"
"262"	"143"	"18"	"148"	"154"	"118"	"3"	"1"	"1"	"4"	"3"	"1"	"8"	"459"	"0"	"459"	"0"
"263"	"TOTAL"	"7136"	"26640"	"27909"	"22854"	"1702"	"470"	"348"	"313"	"531"	"630"	"960"	"89493"	"0"	"89493"	"0"
"264"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"267"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"268"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"269"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"270"	"BF"	"7136"	"26640"	"27909"	"22854"	"1702"	"470"	"348"	"313"	"531"	"630"	"960"	"89493"	"0"	"89493"	"0"
"271"	"144"	"51"	"119"	"99"	"53"	"2"	"3"	"0"	"2"	"3"	"1"	"7"	"340"	"0"	"340"	"0"
"272"	"145"	"24"	"429"	"103"	"22"	"2"	"1"	"0"	"1"	"2"	"2"	"2"	"588"	"0"	"588"	"0"
"273"	"146"	"9"	"221"	"205"	"87"	"5"	"0"	"1"	"0"	"0"	"2"	"3"	"533"	"0"	"533"	"0"
"274"	"146 A"	"98"	"232"	"84"	"11"	"1"	"4"	"1"	"0"	"4"	"2"	"1"	"438"	"0"	"438"	"0"
"275"	"147"	"82"	"212"	"303"	"191"	"13"	"2"	"6"	"0"	"4"	"1"	"5"	"819"	"0"	"819"	"0"
"276"	"148"	"41"	"521"	"123"	"73"	"1"	"1"	"0"	"2"	"0"	"1"	"2"	"765"	"0"	"765"	"0"
"277"	"149"	"28"	"98"	"240"	"211"	"5"	"0"	"0"	"1"	"1"	"1"	"5"	"590"	"0"	"590"	"0"
"278"	"150"	"8"	"123"	"97"	"349"	"1"	"2"	"0"	"0"	"1"	"0"	"1"	"582"	"0"	"582"	"0"
"279"	"150 A"	"5"	"63"	"252"	"94"	"1"	"1"	"0"	"0"	"1"	"2"	"2"	"421"	"0"	"421"	"0"
"280"	"151"	"115"	"121"	"579"	"24"	"4"	"3"	"1"	"4"	"7"	"1"	"6"	"865"	"0"	"865"	"0"
"281"	"152"	"157"	"76"	"164"	"48"	"61"	"3"	"3"	"3"	"6"	"7"	"8"	"536"	"0"	"536"	"0"
"282"	"153"	"37"	"48"	"260"	"267"	"39"	"3"	"2"	"1"	"5"	"1"	"2"	"665"	"0"	"665"	"0"
"283"	"154"	"62"	"417"	"184"	"184"	"3"	"5"	"2"	"0"	"5"	"2"	"0"	"864"	"0"	"864"	"0"
"284"	"155"	"24"	"529"	"192"	"7"	"2"	"1"	"0"	"0"	"2"	"2"	"2"	"761"	"0"	"761"	"0"
"285"	"TOTAL"	"7877"	"29849"	"30794"	"24475"	"1842"	"499"	"364"	"327"	"572"	"655"	"1006"	"98260"	"0"	"98260"	"0"
"286"	"PART - I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"289"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"290"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"291"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"292"	"BF"	"7877"	"29849"	"30794"	"24475"	"1842"	"499"	"364"	"327"	"572"	"655"	"1006"	"98260"	"0"	"98260"	"0"
"293"	"155 A"	"27"	"188"	"22"	"6"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"248"	"0"	"248"	"0"
"294"	"156"	"17"	"38"	"167"	"465"	"14"	"8"	"3"	"4"	"2"	"1"	"9"	"728"	"0"	"728"	"0"
"295"	"157"	"540"	"26"	"202"	"49"	"15"	"4"	"1"	"0"	"11"	"7"	"7"	"862"	"0"	"862"	"0"
"296"	"158"	"274"	"43"	"4"	"72"	"85"	"26"	"2"	"0"	"5"	"4"	"7"	"522"	"0"	"522"	"0"
"297"	"159"	"38"	"88"	"224"	"57"	"5"	"5"	"1"	"0"	"9"	"3"	"4"	"434"	"0"	"434"	"0"
"298"	"160"	"49"	"111"	"202"	"131"	"3"	"2"	"0"	"0"	"0"	"1"	"2"	"501"	"0"	"501"	"0"
"299"	"161"	"37"	"151"	"114"	"95"	"5"	"4"	"2"	"0"	"0"	"0"	"3"	"411"	"0"	"411"	"0"
"300"	"161 A"	"39"	"39"	"379"	"138"	"4"	"5"	"1"	"2"	"0"	"3"	"1"	"611"	"0"	"611"	"0"
"301"	"162"	"40"	"222"	"340"	"51"	"5"	"6"	"3"	"0"	"5"	"2"	"7"	"681"	"0"	"681"	"0"
"302"	"163"	"39"	"257"	"184"	"86"	"24"	"3"	"4"	"3"	"0"	"4"	"1"	"605"	"0"	"605"	"0"
"303"	"164"	"137"	"135"	"132"	"72"	"4"	"4"	"2"	"2"	"4"	"6"	"3"	"501"	"0"	"501"	"0"
"304"	"165"	"27"	"152"	"385"	"83"	"24"	"1"	"0"	"0"	"2"	"6"	"2"	"682"	"0"	"682"	"0"
"305"	"166"	"140"	"270"	"76"	"156"	"50"	"4"	"5"	"1"	"3"	"3"	"7"	"715"	"0"	"715"	"0"
"306"	"167"	"29"	"498"	"140"	"103"	"6"	"3"	"6"	"2"	"3"	"4"	"2"	"796"	"0"	"796"	"0"
"307"	"TOTAL"	"9310"	"32067"	"33365"	"26039"	"2087"	"575"	"395"	"341"	"617"	"700"	"1061"	"106557"	"0"	"106557"	"0"
"308"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"310"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"311"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"312"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"313"	"BF"	"9310"	"32067"	"33365"	"26039"	"2087"	"575"	"395"	"341"	"617"	"700"	"1061"	"106557"	"0"	"106557"	"0"
"314"	"168"	"41"	"74"	"392"	"225"	"134"	"5"	"1"	"5"	"4"	"5"	"5"	"891"	"0"	"891"	"0"
"315"	"169"	"24"	"165"	"97"	"166"	"77"	"2"	"0"	"2"	"4"	"2"	"4"	"543"	"0"	"543"	"0"
"316"	"170"	"30"	"24"	"35"	"125"	"323"	"4"	"0"	"1"	"3"	"11"	"3"	"559"	"0"	"559"	"0"
"317"	"171"	"63"	"70"	"88"	"9"	"341"	"11"	"2"	"2"	"3"	"10"	"6"	"605"	"0"	"605"	"0"
"318"	"172"	"14"	"19"	"25"	"51"	"4"	"0"	"2"	"2"	"1"	"0"	"2"	"120"	"0"	"120"	"0"
"319"	"173"	"2"	"26"	"93"	"86"	"29"	"5"	"1"	"1"	"2"	"3"	"2"	"250"	"0"	"250"	"0"
"320"	"174"	"28"	"55"	"92"	"118"	"5"	"4"	"0"	"1"	"2"	"2"	"5"	"312"	"0"	"312"	"0"
"321"	"175"	"159"	"128"	"119"	"16"	"3"	"4"	"3"	"4"	"4"	"4"	"7"	"451"	"0"	"451"	"0"
"322"	"176"	"12"	"111"	"349"	"34"	"9"	"4"	"3"	"3"	"2"	"8"	"9"	"544"	"0"	"544"	"0"
"323"	"TOTAL"	"9683"	"32739"	"34655"	"26869"	"3012"	"614"	"407"	"362"	"642"	"745"	"1104"	"110832"	"0"	"110832"	"0"
"324"	"TOTAL NO. OF ELECTORS IN ASSEMBLY CONSTITUENCY: 187731"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"SERIAL NO. OF POLLING STATION"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID"	"NO. OF REJECTED VOTES"	"TOTAL"	"NO. OF TENDERED VOTES"
"326"	""	"1
DR. AJAY"	"2
BRIJ KISHOR"	"3
MAHABALI"	"4
MOHAMMAD"	"5
MUSAFIR RAI"	"6
RAMPRAKAS"	"7
SHIVMURAT"	"8
NEERAJ"	"9
FAGU RAM"	"10
RAM"	"11
SHYAM"	""	""	""	""
"327"	""	"ALOK"	"BIND"	"SINGH"	"ZAMA KHAN"	""	"H RAM"	"BIND"	"KUMAR"	""	"CHANDRA"	"BIHARI AHIR"	""	""	""	""
"328"	""	""	""	""	""	""	""	""	""	""	"PANDEY"	""	""	""	""	""
"329"	"BF"	"9683"	"32739"	"34655"	"26869"	"3012"	"614"	"407"	"362"	"642"	"745"	"1104"	"110832"	"0"	"110832"	"0"
"330"	"TOTAL"	"9683"	"32739"	"34655"	"26869"	"3012"	"614"	"407"	"362"	"642"	"745"	"1104"	"110832"	"0"	"110832"	"0"
"331"	"POSTAL VOTES"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"4"	"0"
"332"	"TOTAL VOTES POLLED"	"9683"	"32739"	"34655"	"26869"	"3012"	"614"	"407"	"362"	"642"	"745"	"1104"	"110832"	"4"	"110836"	"0"
"333"	"Place: ..........................................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"Date:......................................"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
