"SI.No.of.Polling.Station"	"X."	"NO..OF.VALID.VOTES.CAST.IN.FAVOUR.OF"	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"TOTAL.NO..OF.VALID.VOTES"	"X..25"	"X..26"	"No.fo.Rejected.Votes"	"X..27"	"X..28"	"Total"	"X..29"	"X..30"	"X..31"	"No..of.Tendered.Votes"	"X..32"	"X..33"	"X..34"
"107"	"70"	"89"	""	"10"	""	"20"	""	"140"	""	"5"	""	"3"	""	"1"	""	"1"	""	"1"	""	"3"	""	""	"4"	""	""	"277"	""	""	"0"	""	""	"277"	""	""	""	"0"	""	""	""	""	""
"108"	"71"	"50"	""	"41"	""	"53"	""	"91"	""	"21"	""	"4"	""	"5"	""	"5"	""	"3"	""	"5"	""	""	"7"	""	""	"285"	""	""	"0"	""	""	"285"	""	""	""	"0"	""	""	""	""	""
"109"	"72"	"155"	""	"16"	""	"1"	""	"65"	""	"2"	""	"0"	""	"1"	""	"5"	""	"0"	""	"0"	""	""	"5"	""	""	"250"	""	""	"0"	""	""	"250"	""	""	""	"0"	""	""	""	""	""
"110"	"73"	"164"	""	"60"	""	"8"	""	"73"	""	"11"	""	"0"	""	"4"	""	"2"	""	"2"	""	"1"	""	""	"4"	""	""	"329"	""	""	"0"	""	""	"329"	""	""	""	"0"	""	""	""	""	""
"111"	"74"	"168"	""	"92"	""	"9"	""	"123"	""	"6"	""	"3"	""	"1"	""	"6"	""	"2"	""	"3"	""	""	"8"	""	""	"421"	""	""	"0"	""	""	"421"	""	""	""	"0"	""	""	""	""	""
"112"	"75"	"152"	""	"30"	""	"29"	""	"182"	""	"39"	""	"2"	""	"4"	""	"6"	""	"1"	""	"5"	""	""	"3"	""	""	"453"	""	""	"0"	""	""	"453"	""	""	""	"0"	""	""	""	""	""
"113"	"76"	"250"	""	"40"	""	"1"	""	"24"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"2"	""	""	"10"	""	""	"332"	""	""	"0"	""	""	"332"	""	""	""	"0"	""	""	""	""	""
"114"	"77"	"82"	""	"64"	""	"3"	""	"81"	""	"4"	""	"0"	""	"2"	""	"2"	""	"1"	""	"6"	""	""	"15"	""	""	"260"	""	""	"0"	""	""	"260"	""	""	""	"0"	""	""	""	""	""
"115"	"78"	"168"	""	"132"	""	"20"	""	"156"	""	"6"	""	"4"	""	"4"	""	"6"	""	"11"	""	"5"	""	""	"17"	""	""	"529"	""	""	"0"	""	""	"529"	""	""	""	"0"	""	""	""	""	""
"116"	"79"	"189"	""	"93"	""	"3"	""	"61"	""	"1"	""	"2"	""	"2"	""	"3"	""	"3"	""	"1"	""	""	"2"	""	""	"360"	""	""	"0"	""	""	"360"	""	""	""	"0"	""	""	""	""	""
"117"	"TOTAL"	"2071"	""	"803"	""	"249"	""	"1235"	""	"129"	""	"27"	""	"35"	""	"57"	""	"36"	""	"43"	""	""	"121"	""	""	"4806"	""	""	"0"	""	""	"4806"	""	""	""	"0"	""	""	""	""	""
"118"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"119"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"121"	"80"	"147"	""	"117"	""	"26"	""	"74"	""	"5"	""	"5"	""	"1"	""	"2"	""	"1"	""	"2"	""	""	"9"	""	""	"389"	""	""	"0"	""	""	"389"	""	""	""	"0"	""	""	""	""	""
"122"	"81"	"158"	""	"77"	""	"53"	""	"122"	""	"4"	""	"3"	""	"3"	""	"3"	""	"7"	""	"6"	""	""	"13"	""	""	"449"	""	""	"0"	""	""	"449"	""	""	""	"0"	""	""	""	""	""
"123"	"82"	"270"	""	"66"	""	"11"	""	"111"	""	"6"	""	"8"	""	"2"	""	"1"	""	"0"	""	"1"	""	""	"4"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	"0"	""	""	""	""	""
"124"	"83"	"179"	""	"153"	""	"16"	""	"140"	""	"5"	""	"2"	""	"7"	""	"6"	""	"1"	""	"6"	""	""	"14"	""	""	"529"	""	""	"0"	""	""	"529"	""	""	""	"0"	""	""	""	""	""
"125"	"84"	"55"	""	"33"	""	"95"	""	"211"	""	"2"	""	"2"	""	"0"	""	"8"	""	"1"	""	"0"	""	""	"7"	""	""	"414"	""	""	"0"	""	""	"414"	""	""	""	"0"	""	""	""	""	""
"126"	"85"	"318"	""	"78"	""	"8"	""	"49"	""	"1"	""	"2"	""	"1"	""	"1"	""	"0"	""	"3"	""	""	"10"	""	""	"471"	""	""	"0"	""	""	"471"	""	""	""	"0"	""	""	""	""	""
"127"	"86"	"176"	""	"16"	""	"9"	""	"154"	""	"3"	""	"4"	""	"2"	""	"8"	""	"6"	""	"5"	""	""	"15"	""	""	"398"	""	""	"0"	""	""	"398"	""	""	""	"0"	""	""	""	""	""
"128"	"86 A"	"227"	""	"12"	""	"27"	""	"65"	""	"2"	""	"6"	""	"1"	""	"5"	""	"5"	""	"5"	""	""	"28"	""	""	"383"	""	""	"0"	""	""	"383"	""	""	""	"0"	""	""	""	""	""
"129"	"87"	"62"	""	"174"	""	"4"	""	"169"	""	"2"	""	"0"	""	"0"	""	"4"	""	"2"	""	"0"	""	""	"7"	""	""	"424"	""	""	"0"	""	""	"424"	""	""	""	"0"	""	""	""	""	""
"130"	"88"	"310"	""	"19"	""	"16"	""	"222"	""	"6"	""	"3"	""	"5"	""	"10"	""	"4"	""	"1"	""	""	"13"	""	""	"609"	""	""	"0"	""	""	"609"	""	""	""	"0"	""	""	""	""	""
"131"	"89"	"185"	""	"31"	""	"41"	""	"291"	""	"10"	""	"9"	""	"6"	""	"28"	""	"11"	""	"5"	""	""	"27"	""	""	"644"	""	""	"0"	""	""	"644"	""	""	""	"0"	""	""	""	""	""
"132"	"90"	"244"	""	"15"	""	"6"	""	"182"	""	"3"	""	"2"	""	"0"	""	"2"	""	"1"	""	"2"	""	""	"2"	""	""	"459"	""	""	"0"	""	""	"459"	""	""	""	"0"	""	""	""	""	""
"133"	"91"	"123"	""	"12"	""	"5"	""	"172"	""	"2"	""	"5"	""	"2"	""	"9"	""	"3"	""	"6"	""	""	"16"	""	""	"355"	""	""	"0"	""	""	"355"	""	""	""	"0"	""	""	""	""	""
"134"	"92"	"75"	""	"55"	""	"21"	""	"290"	""	"12"	""	"10"	""	"4"	""	"18"	""	"7"	""	"8"	""	""	"25"	""	""	"525"	""	""	"0"	""	""	"525"	""	""	""	"0"	""	""	""	""	""
"135"	"TOTAL"	"2529"	""	"858"	""	"338"	""	"2252"	""	"63"	""	"61"	""	"34"	""	"105"	""	"49"	""	"50"	""	""	"190"	""	""	"6529"	""	""	"0"	""	""	"6529"	""	""	""	"0"	""	""	""	""	""
"136"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"137"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"139"	"93"	"117"	""	"7"	""	"4"	""	"435"	""	"5"	""	"3"	""	"7"	""	"9"	""	"2"	""	"2"	""	""	"5"	""	""	"596"	""	""	"0"	""	""	"596"	""	""	""	"0"	""	""	""	""	""
"140"	"94"	"40"	""	"55"	""	"14"	""	"441"	""	"13"	""	"4"	""	"4"	""	"20"	""	"2"	""	"6"	""	""	"16"	""	""	"615"	""	""	"0"	""	""	"615"	""	""	""	"0"	""	""	""	""	""
"141"	"95"	"189"	""	"5"	""	"5"	""	"294"	""	"4"	""	"6"	""	"1"	""	"12"	""	"2"	""	"2"	""	""	"5"	""	""	"525"	""	""	"0"	""	""	"525"	""	""	""	"0"	""	""	""	""	""
"142"	"96"	"294"	""	"12"	""	"2"	""	"213"	""	"7"	""	"0"	""	"3"	""	"10"	""	"3"	""	"3"	""	""	"8"	""	""	"555"	""	""	"0"	""	""	"555"	""	""	""	"0"	""	""	""	""	""
"143"	"97"	"267"	""	"41"	""	"12"	""	"233"	""	"6"	""	"4"	""	"7"	""	"15"	""	"8"	""	"6"	""	""	"23"	""	""	"622"	""	""	"0"	""	""	"622"	""	""	""	"0"	""	""	""	""	""
"144"	"98"	"90"	""	"13"	""	"4"	""	"254"	""	"4"	""	"7"	""	"1"	""	"15"	""	"1"	""	"6"	""	""	"3"	""	""	"398"	""	""	"0"	""	""	"398"	""	""	""	"0"	""	""	""	""	""
"145"	"98 A"	"161"	""	"3"	""	"2"	""	"119"	""	"0"	""	"0"	""	"2"	""	"1"	""	"0"	""	"0"	""	""	"0"	""	""	"288"	""	""	"0"	""	""	"288"	""	""	""	"0"	""	""	""	""	""
"146"	"99"	"121"	""	"91"	""	"8"	""	"347"	""	"9"	""	"5"	""	"1"	""	"21"	""	"9"	""	"9"	""	""	"23"	""	""	"644"	""	""	"0"	""	""	"644"	""	""	""	"0"	""	""	""	""	""
"147"	"100"	"344"	""	"5"	""	"1"	""	"44"	""	"1"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	""	"2"	""	""	"401"	""	""	"0"	""	""	"401"	""	""	""	"0"	""	""	""	""	""
"148"	"101"	"97"	""	"2"	""	"0"	""	"175"	""	"0"	""	"2"	""	"1"	""	"1"	""	"1"	""	"1"	""	""	"0"	""	""	"280"	""	""	"0"	""	""	"280"	""	""	""	"0"	""	""	""	""	""
"149"	"101 A"	"109"	""	"5"	""	"14"	""	"98"	""	"2"	""	"0"	""	"0"	""	"3"	""	"1"	""	"2"	""	""	"1"	""	""	"235"	""	""	"0"	""	""	"235"	""	""	""	"0"	""	""	""	""	""
"150"	"102"	"155"	""	"146"	""	"4"	""	"11"	""	"2"	""	"1"	""	"0"	""	"0"	""	"4"	""	"0"	""	""	"2"	""	""	"325"	""	""	"0"	""	""	"325"	""	""	""	"0"	""	""	""	""	""
"151"	"102 A"	"221"	""	"107"	""	"45"	""	"17"	""	"2"	""	"2"	""	"0"	""	"0"	""	"3"	""	"2"	""	""	"4"	""	""	"403"	""	""	"0"	""	""	"403"	""	""	""	"0"	""	""	""	""	""
"152"	"103"	"227"	""	"21"	""	"6"	""	"36"	""	"2"	""	"3"	""	"6"	""	"2"	""	"2"	""	"9"	""	""	"28"	""	""	"342"	""	""	"0"	""	""	"342"	""	""	""	"0"	""	""	""	""	""
"153"	"TOTAL"	"2432"	""	"513"	""	"121"	""	"2717"	""	"57"	""	"37"	""	"33"	""	"111"	""	"39"	""	"49"	""	""	"120"	""	""	"6229"	""	""	"0"	""	""	"6229"	""	""	""	"0"	""	""	""	""	""
"154"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"155"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"157"	"104"	"155"	""	"114"	""	"20"	""	"101"	""	"6"	""	"2"	""	"2"	""	"11"	""	"4"	""	"2"	""	""	"12"	""	""	"429"	""	""	"0"	""	""	"429"	""	""	""	"0"	""	""	""	""	""
"158"	"105"	"196"	""	"29"	""	"30"	""	"24"	""	"3"	""	"8"	""	"2"	""	"5"	""	"2"	""	"1"	""	""	"6"	""	""	"306"	""	""	"0"	""	""	"306"	""	""	""	"0"	""	""	""	""	""
"159"	"106"	"140"	""	"166"	""	"38"	""	"18"	""	"1"	""	"2"	""	"0"	""	"2"	""	"10"	""	"4"	""	""	"9"	""	""	"390"	""	""	"0"	""	""	"390"	""	""	""	"0"	""	""	""	""	""
"160"	"106 A"	"142"	""	"11"	""	"1"	""	"9"	""	"3"	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"2"	""	""	"171"	""	""	"0"	""	""	"171"	""	""	""	"0"	""	""	""	""	""
"161"	"107"	"169"	""	"84"	""	"87"	""	"104"	""	"7"	""	"2"	""	"1"	""	"3"	""	"1"	""	"11"	""	""	"14"	""	""	"483"	""	""	"0"	""	""	"483"	""	""	""	"0"	""	""	""	""	""
"162"	"108"	"251"	""	"5"	""	"1"	""	"2"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	"0"	""	""	"3"	""	""	"262"	""	""	"0"	""	""	"262"	""	""	""	"0"	""	""	""	""	""
"163"	"109"	"286"	""	"111"	""	"2"	""	"31"	""	"0"	""	"1"	""	"0"	""	"1"	""	"0"	""	"2"	""	""	"2"	""	""	"436"	""	""	"0"	""	""	"436"	""	""	""	"0"	""	""	""	""	""
"164"	"110"	"126"	""	"34"	""	"17"	""	"326"	""	"5"	""	"3"	""	"1"	""	"2"	""	"1"	""	"1"	""	""	"1"	""	""	"517"	""	""	"0"	""	""	"517"	""	""	""	"0"	""	""	""	""	""
"165"	"111"	"186"	""	"12"	""	"5"	""	"56"	""	"2"	""	"1"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"2"	""	""	"266"	""	""	"0"	""	""	"266"	""	""	""	"0"	""	""	""	""	""
"166"	"111 A"	"195"	""	"23"	""	"7"	""	"120"	""	"6"	""	"3"	""	"0"	""	"3"	""	"1"	""	"3"	""	""	"5"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	"0"	""	""	""	""	""
"167"	"112"	"249"	""	"51"	""	"4"	""	"36"	""	"3"	""	"2"	""	"4"	""	"4"	""	"1"	""	"1"	""	""	"6"	""	""	"361"	""	""	"0"	""	""	"361"	""	""	""	"0"	""	""	""	""	""
"168"	"113"	"170"	""	"5"	""	"0"	""	"4"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"6"	""	""	"187"	""	""	"0"	""	""	"187"	""	""	""	"0"	""	""	""	""	""
"169"	"113 A"	"190"	""	"13"	""	"2"	""	"40"	""	"2"	""	"1"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	""	"250"	""	""	"0"	""	""	"250"	""	""	""	"0"	""	""	""	""	""
"170"	"114"	"211"	""	"20"	""	"8"	""	"103"	""	"2"	""	"3"	""	"2"	""	"4"	""	"6"	""	"2"	""	""	"5"	""	""	"366"	""	""	"0"	""	""	"366"	""	""	""	"0"	""	""	""	""	""
"171"	"TOTAL"	"2666"	""	"678"	""	"222"	""	"974"	""	"41"	""	"29"	""	"12"	""	"41"	""	"26"	""	"27"	""	""	"74"	""	""	"4790"	""	""	"0"	""	""	"4790"	""	""	""	"0"	""	""	""	""	""
"172"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"173"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"175"	"115"	"116"	""	"28"	""	"27"	""	"135"	""	"9"	""	"1"	""	"1"	""	"3"	""	"2"	""	"1"	""	""	"3"	""	""	"326"	""	""	"0"	""	""	"326"	""	""	""	"0"	""	""	""	""	""
"176"	"116"	"174"	""	"63"	""	"13"	""	"82"	""	"10"	""	"2"	""	"1"	""	"3"	""	"3"	""	"0"	""	""	"5"	""	""	"356"	""	""	"0"	""	""	"356"	""	""	""	"0"	""	""	""	""	""
"177"	"117"	"70"	""	"37"	""	"74"	""	"151"	""	"3"	""	"2"	""	"0"	""	"1"	""	"0"	""	"0"	""	""	"1"	""	""	"339"	""	""	"0"	""	""	"339"	""	""	""	"0"	""	""	""	""	""
"178"	"118"	"168"	""	"41"	""	"5"	""	"44"	""	"1"	""	"1"	""	"0"	""	"0"	""	"1"	""	"1"	""	""	"5"	""	""	"267"	""	""	"0"	""	""	"267"	""	""	""	"0"	""	""	""	""	""
"179"	"119"	"222"	""	"117"	""	"16"	""	"97"	""	"3"	""	"2"	""	"2"	""	"7"	""	"3"	""	"2"	""	""	"6"	""	""	"477"	""	""	"0"	""	""	"477"	""	""	""	"0"	""	""	""	""	""
"180"	"120"	"159"	""	"130"	""	"33"	""	"88"	""	"4"	""	"4"	""	"2"	""	"8"	""	"6"	""	"4"	""	""	"5"	""	""	"443"	""	""	"0"	""	""	"443"	""	""	""	"0"	""	""	""	""	""
"181"	"121"	"173"	""	"112"	""	"19"	""	"120"	""	"8"	""	"3"	""	"2"	""	"9"	""	"25"	""	"3"	""	""	"14"	""	""	"488"	""	""	"0"	""	""	"488"	""	""	""	"0"	""	""	""	""	""
"182"	"122"	"111"	""	"18"	""	"19"	""	"92"	""	"8"	""	"10"	""	"1"	""	"4"	""	"0"	""	"2"	""	""	"7"	""	""	"272"	""	""	"0"	""	""	"272"	""	""	""	"0"	""	""	""	""	""
"183"	"123"	"84"	""	"71"	""	"5"	""	"19"	""	"10"	""	"0"	""	"0"	""	"2"	""	"1"	""	"1"	""	""	"1"	""	""	"194"	""	""	"0"	""	""	"194"	""	""	""	"0"	""	""	""	""	""
"184"	"124"	"294"	""	"18"	""	"14"	""	"21"	""	"5"	""	"1"	""	"3"	""	"6"	""	"5"	""	"6"	""	""	"18"	""	""	"391"	""	""	"0"	""	""	"391"	""	""	""	"0"	""	""	""	""	""
"185"	"125"	"194"	""	"43"	""	"7"	""	"20"	""	"1"	""	"1"	""	"1"	""	"3"	""	"0"	""	"0"	""	""	"1"	""	""	"271"	""	""	"0"	""	""	"271"	""	""	""	"0"	""	""	""	""	""
"186"	"126"	"306"	""	"3"	""	"3"	""	"9"	""	"4"	""	"2"	""	"1"	""	"0"	""	"0"	""	"0"	""	""	"8"	""	""	"336"	""	""	"0"	""	""	"336"	""	""	""	"0"	""	""	""	""	""
"187"	"127"	"80"	""	"68"	""	"25"	""	"181"	""	"7"	""	"0"	""	"0"	""	"2"	""	"0"	""	"0"	""	""	"0"	""	""	"363"	""	""	"0"	""	""	"363"	""	""	""	"0"	""	""	""	""	""
"188"	"127 A"	"186"	""	"22"	""	"37"	""	"54"	""	"3"	""	"1"	""	"1"	""	"2"	""	"2"	""	"0"	""	""	"1"	""	""	"309"	""	""	"0"	""	""	"309"	""	""	""	"0"	""	""	""	""	""
"189"	"TOTAL"	"2337"	""	"771"	""	"297"	""	"1113"	""	"76"	""	"30"	""	"15"	""	"50"	""	"48"	""	"20"	""	""	"75"	""	""	"4832"	""	""	"0"	""	""	"4832"	""	""	""	"0"	""	""	""	""	""
"190"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"191"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"193"	"128"	"33"	""	"65"	""	"24"	""	"296"	""	"25"	""	"7"	""	"6"	""	"6"	""	"4"	""	"4"	""	""	"10"	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	"0"	""	""	""	""	""
"194"	"129"	"58"	""	"30"	""	"40"	""	"192"	""	"14"	""	"5"	""	"0"	""	"6"	""	"1"	""	"4"	""	""	"10"	""	""	"360"	""	""	"0"	""	""	"360"	""	""	""	"0"	""	""	""	""	""
"195"	"130"	"234"	""	"26"	""	"16"	""	"211"	""	"18"	""	"7"	""	"3"	""	"15"	""	"5"	""	"6"	""	""	"11"	""	""	"552"	""	""	"0"	""	""	"552"	""	""	""	"0"	""	""	""	""	""
"196"	"131"	"181"	""	"8"	""	"9"	""	"156"	""	"9"	""	"0"	""	"2"	""	"3"	""	"0"	""	"1"	""	""	"4"	""	""	"373"	""	""	"0"	""	""	"373"	""	""	""	"0"	""	""	""	""	""
"197"	"132"	"91"	""	"23"	""	"73"	""	"85"	""	"9"	""	"2"	""	"1"	""	"2"	""	"1"	""	"0"	""	""	"4"	""	""	"291"	""	""	"0"	""	""	"291"	""	""	""	"0"	""	""	""	""	""
"198"	"133"	"163"	""	"59"	""	"37"	""	"65"	""	"9"	""	"4"	""	"5"	""	"9"	""	"8"	""	"8"	""	""	"17"	""	""	"384"	""	""	"0"	""	""	"384"	""	""	""	"0"	""	""	""	""	""
"199"	"134"	"110"	""	"38"	""	"27"	""	"53"	""	"3"	""	"3"	""	"7"	""	"9"	""	"8"	""	"10"	""	""	"16"	""	""	"284"	""	""	"0"	""	""	"284"	""	""	""	"0"	""	""	""	""	""
"200"	"135"	"27"	""	"15"	""	"14"	""	"108"	""	"5"	""	"3"	""	"4"	""	"16"	""	"4"	""	"2"	""	""	"16"	""	""	"214"	""	""	"0"	""	""	"214"	""	""	""	"0"	""	""	""	""	""
"201"	"136"	"133"	""	"31"	""	"15"	""	"188"	""	"2"	""	"2"	""	"1"	""	"5"	""	"2"	""	"2"	""	""	"5"	""	""	"386"	""	""	"0"	""	""	"386"	""	""	""	"0"	""	""	""	""	""
"202"	"136 A"	"126"	""	"6"	""	"4"	""	"30"	""	"0"	""	"1"	""	"0"	""	"0"	""	"1"	""	"0"	""	""	"3"	""	""	"171"	""	""	"0"	""	""	"171"	""	""	""	"0"	""	""	""	""	""
"203"	"137"	"54"	""	"72"	""	"63"	""	"163"	""	"4"	""	"1"	""	"3"	""	"3"	""	"4"	""	"5"	""	""	"8"	""	""	"380"	""	""	"0"	""	""	"380"	""	""	""	"0"	""	""	""	""	""
"204"	"137 A"	"131"	""	"31"	""	"11"	""	"31"	""	"1"	""	"1"	""	"5"	""	"5"	""	"4"	""	"7"	""	""	"5"	""	""	"232"	""	""	"0"	""	""	"232"	""	""	""	"0"	""	""	""	""	""
"205"	"138"	"150"	""	"48"	""	"43"	""	"30"	""	"4"	""	"4"	""	"3"	""	"0"	""	"1"	""	"1"	""	""	"4"	""	""	"288"	""	""	"0"	""	""	"288"	""	""	""	"0"	""	""	""	""	""
"206"	"139"	"245"	""	"25"	""	"17"	""	"172"	""	"5"	""	"5"	""	"2"	""	"4"	""	"1"	""	"4"	""	""	"3"	""	""	"483"	""	""	"0"	""	""	"483"	""	""	""	"0"	""	""	""	""	""
"207"	"TOTAL"	"1736"	""	"477"	""	"393"	""	"1780"	""	"108"	""	"45"	""	"42"	""	"83"	""	"44"	""	"54"	""	""	"116"	""	""	"4878"	""	""	"0"	""	""	"4878"	""	""	""	"0"	""	""	""	""	""
"208"	"SI.No.of Polling Station"	"NO. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL NO. OF VALID VOTES"	""	""	"No fo Rejected Votes"	""	""	"Total"	""	""	""	"No. of Tendere d Votes"	""	""	""	""	""
"209"	""	"MD.NEHAL UDDIN"	""	"RAM CHANDRA SINGH"	""	"LALLU PRASAD SINGH"	""	"SUNIL KUMAR SINGH"	""	"ASHOK KUMAR SINGH"	""	"INDRDEO PASWAN"	""	"UPENDRA PASWAN"	""	"NURAL HODA KHAN"	""	"BIRBAL PASWAN"	""	"MAHENDRA RAM"	""	""	"MD. NAZIR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	""	"1"	""	"2"	""	"3"	""	"4"	""	"5"	""	"6"	""	"7"	""	"8"	""	"9"	""	"10"	""	""	"11"	""	""	"12"	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""
"211"	"140"	"78"	""	"18"	""	"16"	""	"219"	""	"10"	""	"11"	""	"7"	""	"18"	""	"5"	""	"8"	""	""	"8"	""	""	"398"	""	""	"0"	""	""	"398"	""	""	""	"0"	""	""	""	""	""
"212"	"141"	"88"	""	"42"	""	"17"	""	"308"	""	"8"	""	"0"	""	"1"	""	"1"	""	"1"	""	"2"	""	""	"0"	""	""	"468"	""	""	"0"	""	""	"468"	""	""	""	"0"	""	""	""	""	""
"213"	"142"	"172"	""	"27"	""	"2"	""	"27"	""	"1"	""	"2"	""	"2"	""	"1"	""	"4"	""	"2"	""	""	"2"	""	""	"242"	""	""	"0"	""	""	"242"	""	""	""	"0"	""	""	""	""	""
