"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(SEE RUSELT 56 (6) FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"(To be used for recording the result of voting at polling station other than notified polling stations) Election to the Bihar Legistative assembly from the 160-JHAJHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total no of electors in assembly constituency-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"193"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"194"	"156"	"165"	"4"	"198"	"34"	""	"5"	"5"	"144"	"17"	"13"	"-585"	"&"	""	"-585"	"&"
"195"	"157"	"200"	"2"	"190"	"13"	""	"1"	"3"	"7"	"3"	"3"	"-422"	"&"	""	"-422"	"&"
"196"	"158"	"86"	"3"	"182"	"38"	""	"4"	"3"	"25"	"14"	"5"	"-360"	"&"	""	"-360"	"&"
"197"	"159"	"120"	"7"	"66"	"23"	""	"5"	"5"	"82"	"8"	"6"	"-322"	"&"	""	"-322"	"&"
"198"	"160"	"129"	"8"	"253"	"19"	""	"7"	"3"	"21"	"15"	"19"	"-474"	"&"	""	"-474"	"&"
"199"	"161"	"145"	"8"	"343"	"26"	""	"8"	"4"	"50"	"3"	"10"	"-597"	"&"	""	"-597"	"&"
"200"	"162"	"324"	"11"	"26"	"6"	""	"1"	"2"	"7"	"5"	"9"	"-391"	"&"	""	"-391"	"&"
"201"	"162A"	"168"	"7"	"64"	"48"	""	"3"	"2"	"8"	"5"	"9"	"-314"	"&"	""	"-314"	""
"202"	"163"	"165"	"5"	"114"	"10"	""	"5"	"7"	"88"	"11"	"29"	"-434"	"&"	""	"-434"	"&"
"203"	"163A"	"22"	"2"	"44"	"22"	""	"0"	"4"	"130"	"9"	"3"	"-236"	"&"	""	"-236"	""
"204"	"164"	"43"	"15"	"449"	"65"	""	"8"	"9"	"13"	"7"	"13"	"-622"	"&"	""	"-622"	"&"
"205"	"165"	"375"	"15"	"70"	"15"	""	"8"	"3"	"34"	"22"	"36"	"-578"	"&"	""	"-578"	"&"
"206"	"166"	"370"	"22"	"263"	"13"	""	"9"	"5"	"19"	"10"	"18"	"-729"	"&"	""	"-729"	"&"
"207"	"167"	"308"	"7"	"71"	"15"	""	"6"	"4"	"5"	"6"	"5"	"-427"	"&"	""	"-427"	"&"
"208"	"168"	"78"	"4"	"441"	"40"	""	"6"	"1"	"13"	"4"	"5"	"-592"	"&"	""	"-592"	"&"
"209"	"169"	"147"	"8"	"140"	"35"	""	"4"	"3"	"6"	"7"	"7"	"-357"	"&"	""	"-357"	"&"
"210"	"170"	"184"	"39"	"308"	"27"	""	"3"	"6"	"6"	"5"	"4"	"-582"	"&"	""	"-582"	"&"
"211"	"171"	"140"	"6"	"271"	"27"	""	"10"	"5"	"64"	"3"	"5"	"-531"	"&"	""	"-531"	"&"
"212"	"172"	"37"	"4"	"588"	"18"	""	"2"	"7"	"46"	"3"	"3"	"-708"	"&"	""	"-708"	"&"
"213"	"173"	"255"	"12"	"224"	"24"	""	"2"	"3"	"17"	"15"	"9"	"-561"	"&"	""	"-561"	"&"
"214"	"174"	"283"	"8"	"47"	"10"	""	"2"	"1"	"17"	"11"	"25"	"-404"	"&"	""	"-404"	"&"
"215"	"175"	"165"	"11"	"46"	"22"	""	"2"	"3"	"32"	"6"	"12"	"-299"	"&"	""	"-299"	"&"
"216"	"176"	"180"	"5"	"170"	"27"	""	"10"	"4"	"12"	"11"	"38"	"-457"	"&"	""	"-457"	"&"
"217"	"177"	"185"	"17"	"158"	"36"	""	"10"	"2"	"15"	"10"	"29"	"-462"	"&"	""	"-462"	"&"
"218"	"178"	"154"	"5"	"170"	"19"	""	"6"	"8"	"9"	"6"	"16"	"-393"	"&"	""	"-393"	"&"
"219"	"179"	"79"	"5"	"260"	"25"	""	"9"	"8"	"4"	"4"	"1"	"-395"	"&"	""	"-395"	"&"
"220"	"180"	"195"	"18"	"185"	"26"	""	"1"	"6"	"15"	"9"	"19"	"-474"	"&"	""	"-474"	"&"
"221"	"181"	"154"	"11"	"279"	"58"	""	"12"	"15"	"12"	"10"	"20"	"-571"	"&"	""	"-571"	"&"
"222"	"182"	"79"	"7"	"228"	"24"	""	"9"	"4"	"7"	"8"	"19"	"-385"	"&"	""	"-385"	"&"
"223"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"SL. No. of
Polling Station."	"DAMODAR RAWAT"	"RAJU YADAV"	"RASHID AHMAD"	"VINOD PD. YADAV"	""	"DINESH KUMAR SINGH"	"KAPIL DEO MANDAL"	"PUNAM DEVI"	"PRADEEP YADAV"	"BASUDEO MANDAL"	"Total of valid votes"	"No. of rejected votes"	""	"Total"	"No. of tendered votes"
"225"	""	"1"	"2"	"3"	"4"	""	"5"	"6"	"7"	"8"	"9"	"-10"	"11"	""	"12"	"13"
"226"	"183"	"257"	"5"	"197"	"12"	""	"5"	"2"	"6"	"7"	"18"	"-509"	"&"	""	"-509"	"&"
"227"	"184"	"145"	"10"	"200"	"31"	""	"15"	"7"	"19"	"9"	"14"	"-450"	"&"	""	"-450"	"&"
"228"	"185"	"66"	"7"	"278"	"25"	""	"8"	"5"	"7"	"9"	"22"	"-427"	"&"	""	"-427"	"&"
"229"	"186"	"189"	"17"	"227"	"46"	""	"8"	"7"	"12"	"13"	"15"	"-534"	"&"	""	"-534"	"&"
"230"	"187"	"256"	"13"	"124"	"14"	""	"9"	"6"	"11"	"18"	"38"	"-489"	"&"	""	"-489"	"&"
"231"	"188"	"292"	"9"	"68"	"9"	""	"3"	"7"	"1"	"2"	"11"	"-402"	"&"	""	"-402"	"&"
"232"	"189"	"238"	"1"	"128"	"6"	""	"2"	"2"	"3"	"3"	"10"	"-393"	"&"	""	"-393"	"&"
"233"	"190"	"199"	"5"	"168"	"12"	""	"2"	"4"	"5"	"10"	"26"	"-431"	"&"	""	"-431"	"&"
"234"	"191"	"51"	"18"	"340"	"30"	""	"7"	"4"	"14"	"5"	"8"	"-477"	"&"	""	"-477"	"&"
"235"	"Total"	"37789"	"1675"	"25445"	"5595"	""	"3337"	"851"	"5816"	"1604"	"2512"	"-84624"	"&"	""	"-84624"	"&"
"236"	"Total no. of votes recorded at polling Stations"	""	""	""	""	"84624"	""	""	""	""	""	""	""	""	""	""
"237"	"No. of votes recorded on postal ballot papers"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""
"238"	"Grand Total"	""	""	""	""	"84624"	""	""	""	""	""	""	""	""	""	""
"239"	"Place ……………………….."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"Date…………………………."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
