"No..and.Name.of.Assembly.Constituency...........45..Hajipur"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"207"	"102"	"394"	"3"	"85"	"4"	"275"	"7"	"2"	"7"	"11"	"394"	"0"	"394"	"0"
"208"	"102K"	"446"	"11"	"141"	"34"	"238"	"5"	"6"	"5"	"6"	"446"	"0"	"446"	"0"
"209"	"103"	"479"	"54"	"171"	"40"	"147"	"14"	"11"	"16"	"26"	"479"	"0"	"479"	"0"
"210"	"104"	"262"	"6"	"127"	"83"	"23"	"2"	"4"	"3"	"14"	"262"	"0"	"262"	"0"
"211"	"105"	"402"	"30"	"68"	"29"	"229"	"19"	"14"	"4"	"9"	"402"	"0"	"402"	"0"
"212"	"106"	"292"	"7"	"184"	"28"	"37"	"16"	"1"	"8"	"11"	"292"	"0"	"292"	"0"
"213"	"Grand Total"	"6275"	"267"	"2362"	"1080"	"2017"	"137"	"103"	"106"	"203"	"6275"	"0"	"6275"	"0"
"214"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"215"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"221"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"222"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"223"	"106K"	"454"	"10"	"167"	"47"	"188"	"11"	"7"	"9"	"15"	"454"	"0"	"454"	"0"
"224"	"107"	"423"	"9"	"258"	"116"	"19"	"0"	"7"	"7"	"7"	"423"	"0"	"423"	"0"
"225"	"108"	"410"	"7"	"87"	"82"	"224"	"3"	"0"	"2"	"5"	"410"	"0"	"410"	"0"
"226"	"109"	"506"	"15"	"85"	"143"	"224"	"9"	"1"	"8"	"21"	"506"	"0"	"506"	"0"
"227"	"110"	"448"	"10"	"294"	"30"	"81"	"6"	"8"	"7"	"12"	"448"	"0"	"448"	"0"
"228"	"111"	"372"	"3"	"147"	"70"	"111"	"12"	"5"	"11"	"13"	"372"	"0"	"372"	"0"
"229"	"111K"	"421"	"10"	"129"	"115"	"123"	"5"	"11"	"5"	"23"	"421"	"0"	"421"	"0"
"230"	"112"	"668"	"26"	"204"	"139"	"224"	"17"	"25"	"13"	"20"	"668"	"0"	"668"	"0"
"231"	"113"	"323"	"11"	"70"	"163"	"57"	"5"	"4"	"5"	"8"	"323"	"0"	"323"	"0"
"232"	"114"	"202"	"3"	"85"	"26"	"61"	"4"	"7"	"5"	"11"	"202"	"0"	"202"	"0"
"233"	"114K"	"365"	"9"	"177"	"59"	"99"	"8"	"3"	"3"	"7"	"365"	"0"	"365"	"0"
"234"	"115"	"407"	"15"	"211"	"91"	"68"	"4"	"5"	"4"	"9"	"407"	"0"	"407"	"0"
"235"	"116"	"502"	"4"	"153"	"134"	"172"	"10"	"9"	"4"	"16"	"502"	"0"	"502"	"0"
"236"	"117"	"628"	"19"	"374"	"172"	"31"	"7"	"7"	"3"	"15"	"628"	"0"	"628"	"0"
"237"	"Grand Total"	"6129"	"151"	"2441"	"1387"	"1682"	"101"	"99"	"86"	"182"	"6129"	"0"	"6129"	"0"
"238"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"239"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"245"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"246"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"247"	"118"	"445"	"20"	"161"	"228"	"16"	"2"	"5"	"5"	"8"	"445"	"0"	"445"	"0"
"248"	"119"	"607"	"24"	"302"	"135"	"98"	"11"	"10"	"9"	"18"	"607"	"0"	"607"	"0"
"249"	"120"	"333"	"15"	"129"	"95"	"71"	"3"	"7"	"6"	"7"	"333"	"0"	"333"	"0"
"250"	"121"	"388"	"8"	"111"	"201"	"44"	"8"	"5"	"3"	"8"	"388"	"0"	"388"	"0"
"251"	"122"	"447"	"7"	"157"	"234"	"26"	"4"	"7"	"6"	"6"	"447"	"0"	"447"	"0"
"252"	"123"	"529"	"23"	"229"	"135"	"94"	"7"	"17"	"11"	"13"	"529"	"0"	"529"	"0"
"253"	"124"	"415"	"12"	"197"	"35"	"138"	"9"	"13"	"4"	"7"	"415"	"0"	"415"	"0"
"254"	"125"	"686"	"16"	"66"	"175"	"356"	"23"	"14"	"11"	"25"	"686"	"0"	"686"	"0"
"255"	"126"	"344"	"9"	"195"	"59"	"59"	"6"	"7"	"2"	"7"	"344"	"0"	"344"	"0"
"256"	"126K"	"402"	"12"	"148"	"115"	"94"	"3"	"6"	"5"	"19"	"402"	"0"	"402"	"0"
"257"	"127"	"467"	"10"	"80"	"13"	"329"	"7"	"4"	"2"	"22"	"467"	"0"	"467"	"0"
"258"	"128"	"586"	"24"	"348"	"125"	"32"	"9"	"8"	"19"	"21"	"586"	"0"	"586"	"0"
"259"	"129"	"317"	"5"	"144"	"110"	"32"	"5"	"5"	"6"	"10"	"317"	"0"	"317"	"0"
"260"	"129K"	"453"	"8"	"160"	"21"	"232"	"10"	"6"	"4"	"12"	"453"	"0"	"453"	"0"
"261"	"Grand Total"	"6419"	"193"	"2427"	"1681"	"1621"	"107"	"114"	"93"	"183"	"6419"	"0"	"6419"	"0"
"262"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"263"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"269"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"270"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"271"	"130"	"369"	"12"	"248"	"58"	"39"	"2"	"1"	"6"	"3"	"369"	"0"	"369"	"0"
"272"	"131"	"376"	"8"	"119"	"44"	"174"	"7"	"3"	"12"	"9"	"376"	"0"	"376"	"0"
"273"	"131K"	"310"	"10"	"140"	"55"	"92"	"0"	"3"	"5"	"5"	"310"	"0"	"310"	"0"
"274"	"132"	"351"	"5"	"237"	"89"	"6"	"1"	"2"	"6"	"5"	"351"	"0"	"351"	"0"
"275"	"133"	"713"	"17"	"453"	"149"	"51"	"3"	"11"	"7"	"22"	"713"	"0"	"713"	"0"
"276"	"134"	"497"	"21"	"123"	"106"	"206"	"15"	"5"	"11"	"10"	"497"	"0"	"497"	"0"
"277"	"135"	"542"	"32"	"136"	"152"	"188"	"15"	"2"	"5"	"12"	"542"	"0"	"542"	"0"
"278"	"136"	"567"	"13"	"292"	"151"	"73"	"7"	"8"	"6"	"17"	"567"	"0"	"567"	"0"
"279"	"137"	"620"	"20"	"183"	"109"	"251"	"23"	"6"	"11"	"17"	"620"	"0"	"620"	"0"
"280"	"138"	"336"	"12"	"201"	"38"	"67"	"9"	"1"	"4"	"4"	"336"	"0"	"336"	"0"
"281"	"138K"	"288"	"5"	"135"	"26"	"101"	"9"	"3"	"3"	"6"	"288"	"0"	"288"	"0"
"282"	"139"	"752"	"18"	"429"	"74"	"192"	"11"	"13"	"6"	"9"	"752"	"0"	"752"	"0"
"283"	"140"	"569"	"21"	"118"	"64"	"311"	"10"	"20"	"10"	"15"	"569"	"0"	"569"	"0"
"284"	"141"	"383"	"10"	"118"	"13"	"226"	"4"	"3"	"3"	"6"	"383"	"0"	"383"	"0"
"285"	"Grand Total"	"6673"	"204"	"2932"	"1128"	"1977"	"116"	"81"	"95"	"140"	"6673"	"0"	"6673"	"0"
"286"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"287"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"288"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"293"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"294"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"295"	"142"	"724"	"21"	"330"	"169"	"175"	"14"	"4"	"5"	"6"	"724"	"0"	"724"	"0"
"296"	"143"	"698"	"22"	"349"	"114"	"164"	"14"	"5"	"12"	"18"	"698"	"0"	"698"	"0"
"297"	"144"	"488"	"23"	"304"	"83"	"54"	"6"	"4"	"2"	"12"	"488"	"0"	"488"	"0"
"298"	"145"	"416"	"13"	"153"	"30"	"195"	"7"	"6"	"2"	"10"	"416"	"0"	"416"	"0"
"299"	"146"	"429"	"7"	"271"	"81"	"52"	"3"	"3"	"4"	"8"	"429"	"0"	"429"	"0"
"300"	"147"	"309"	"6"	"101"	"40"	"146"	"4"	"4"	"2"	"6"	"309"	"0"	"309"	"0"
"301"	"148"	"373"	"6"	"138"	"106"	"92"	"2"	"9"	"6"	"14"	"373"	"0"	"373"	"0"
"302"	"149"	"312"	"7"	"223"	"45"	"14"	"1"	"2"	"9"	"11"	"312"	"0"	"312"	"0"
"303"	"149K"	"391"	"13"	"141"	"25"	"181"	"12"	"5"	"7"	"7"	"391"	"0"	"391"	"0"
"304"	"150"	"557"	"11"	"322"	"68"	"124"	"10"	"5"	"9"	"8"	"557"	"0"	"557"	"0"
"305"	"151"	"504"	"5"	"183"	"144"	"132"	"13"	"8"	"7"	"12"	"504"	"0"	"504"	"0"
"306"	"152"	"458"	"35"	"151"	"147"	"87"	"12"	"3"	"7"	"16"	"458"	"0"	"458"	"0"
"307"	"152K"	"228"	"2"	"98"	"58"	"58"	"3"	"5"	"1"	"3"	"228"	"0"	"228"	"0"
"308"	"153"	"551"	"4"	"169"	"313"	"50"	"6"	"2"	"2"	"5"	"551"	"0"	"551"	"0"
"309"	"Grand Total"	"6438"	"175"	"2933"	"1423"	"1524"	"107"	"65"	"75"	"136"	"6438"	"0"	"6438"	"0"
"310"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"311"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"317"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"318"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"319"	"154"	"484"	"12"	"172"	"176"	"96"	"9"	"5"	"2"	"12"	"484"	"0"	"484"	"0"
"320"	"155"	"665"	"10"	"276"	"62"	"261"	"10"	"10"	"8"	"28"	"665"	"0"	"665"	"0"
"321"	"156"	"636"	"26"	"152"	"105"	"286"	"22"	"19"	"8"	"18"	"636"	"0"	"636"	"0"
"322"	"157"	"648"	"15"	"250"	"144"	"196"	"12"	"14"	"6"	"11"	"648"	"0"	"648"	"0"
"323"	"158"	"390"	"9"	"40"	"143"	"164"	"14"	"3"	"5"	"12"	"390"	"0"	"390"	"0"
"324"	"159"	"326"	"6"	"118"	"23"	"149"	"8"	"13"	"3"	"6"	"326"	"0"	"326"	"0"
"325"	"160"	"305"	"9"	"67"	"14"	"190"	"7"	"5"	"5"	"8"	"305"	"0"	"305"	"0"
"326"	"161"	"412"	"26"	"98"	"76"	"176"	"9"	"6"	"5"	"16"	"412"	"0"	"412"	"0"
"327"	"162"	"247"	"7"	"66"	"25"	"119"	"17"	"2"	"5"	"6"	"247"	"0"	"247"	"0"
"328"	"162K"	"366"	"7"	"45"	"8"	"259"	"20"	"9"	"8"	"10"	"366"	"0"	"366"	"0"
"329"	"163"	"389"	"11"	"164"	"20"	"168"	"5"	"7"	"6"	"8"	"389"	"0"	"389"	"0"
"330"	"164"	"404"	"14"	"71"	"268"	"27"	"7"	"3"	"5"	"9"	"404"	"0"	"404"	"0"
"331"	"165"	"459"	"4"	"293"	"113"	"33"	"6"	"3"	"3"	"4"	"459"	"0"	"459"	"0"
"332"	"166"	"286"	"7"	"99"	"64"	"71"	"21"	"6"	"8"	"10"	"286"	"0"	"286"	"0"
"333"	"Grand Total"	"6017"	"163"	"1911"	"1241"	"2195"	"167"	"105"	"77"	"158"	"6017"	"0"	"6017"	"0"
"334"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"335"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"336"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Round No.  :-    15"	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"340"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"341"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"342"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"343"	"166K"	"271"	"4"	"59"	"32"	"126"	"23"	"4"	"10"	"13"	"271"	"0"	"271"	"0"
"344"	"167"	"530"	"9"	"40"	"10"	"434"	"15"	"9"	"4"	"9"	"530"	"0"	"530"	"0"
"345"	"168"	"555"	"29"	"157"	"61"	"238"	"24"	"11"	"12"	"23"	"555"	"0"	"555"	"0"
"346"	"169"	"217"	"5"	"111"	"59"	"5"	"20"	"1"	"5"	"11"	"217"	"0"	"217"	"0"
"347"	"170"	"519"	"10"	"50"	"397"	"19"	"11"	"9"	"8"	"15"	"519"	"0"	"519"	"0"
"348"	"171"	"635"	"10"	"294"	"74"	"217"	"12"	"6"	"7"	"15"	"635"	"0"	"635"	"0"
"349"	"172"	"360"	"2"	"40"	"62"	"244"	"5"	"3"	"3"	"1"	"360"	"0"	"360"	"0"
"350"	"173"	"338"	"11"	"70"	"37"	"176"	"19"	"7"	"5"	"13"	"338"	"0"	"338"	"0"
"351"	"174"	"393"	"14"	"188"	"126"	"37"	"5"	"3"	"12"	"8"	"393"	"0"	"393"	"0"
"352"	"175"	"360"	"10"	"101"	"12"	"218"	"10"	"1"	"3"	"5"	"360"	"0"	"360"	"0"
"353"	"176"	"508"	"11"	"286"	"81"	"91"	"5"	"7"	"9"	"18"	"508"	"0"	"508"	"0"
"354"	"177"	"634"	"11"	"305"	"40"	"229"	"14"	"9"	"14"	"12"	"634"	"0"	"634"	"0"
"355"	"178"	"636"	"17"	"238"	"86"	"249"	"11"	"13"	"8"	"14"	"636"	"0"	"636"	"0"
"356"	"179"	"373"	"14"	"203"	"12"	"126"	"3"	"7"	"6"	"2"	"373"	"0"	"373"	"0"
"357"	"Grand Total"	"6329"	"157"	"2142"	"1089"	"2409"	"177"	"90"	"106"	"159"	"6329"	"0"	"6329"	"0"
"358"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"359"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"360"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Round No.  :-    16"	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"364"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"365"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"366"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"367"	"180"	"481"	"17"	"82"	"106"	"211"	"21"	"15"	"12"	"17"	"481"	"0"	"481"	"0"
"368"	"181"	"386"	"6"	"150"	"141"	"61"	"4"	"5"	"6"	"13"	"386"	"0"	"386"	"0"
"369"	"182"	"352"	"9"	"144"	"134"	"38"	"1"	"6"	"6"	"14"	"352"	"0"	"352"	"0"
"370"	"183"	"432"	"10"	"260"	"24"	"105"	"8"	"3"	"4"	"18"	"432"	"0"	"432"	"0"
"371"	"184"	"372"	"12"	"31"	"198"	"98"	"10"	"7"	"3"	"13"	"372"	"0"	"372"	"0"
"372"	"184K"	"378"	"13"	"68"	"37"	"239"	"10"	"5"	"3"	"3"	"378"	"0"	"378"	"0"
"373"	"185"	"345"	"7"	"251"	"17"	"57"	"1"	"4"	"6"	"2"	"345"	"0"	"345"	"0"
"374"	"185K"	"397"	"10"	"220"	"61"	"81"	"8"	"4"	"3"	"10"	"397"	"0"	"397"	"0"
"375"	"186"	"393"	"6"	"115"	"43"	"212"	"3"	"7"	"3"	"4"	"393"	"0"	"393"	"0"
"376"	"186K"	"382"	"10"	"198"	"11"	"143"	"7"	"2"	"4"	"7"	"382"	"0"	"382"	"0"
"377"	"187"	"634"	"10"	"437"	"86"	"75"	"4"	"4"	"8"	"10"	"634"	"0"	"634"	"0"
"378"	"188"	"470"	"18"	"115"	"230"	"55"	"10"	"15"	"8"	"19"	"470"	"0"	"470"	"0"
"379"	"189"	"555"	"17"	"310"	"90"	"99"	"11"	"7"	"12"	"9"	"555"	"0"	"555"	"0"
"380"	"190"	"235"	"10"	"22"	"72"	"122"	"3"	"3"	"2"	"1"	"235"	"0"	"235"	"0"
"381"	"Grand Total"	"5812"	"155"	"2403"	"1250"	"1596"	"101"	"87"	"80"	"140"	"5812"	"0"	"5812"	"0"
"382"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"383"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"384"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Round No.  :-    17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"388"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"389"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
"390"	""	""	"AVTAR"	"NITYANAND ROY"	"MANOJ SHUKLA"	"RAJENDRA RAY"	"SURENDRA PRASAD SINGH"	"JAGANNATH PRASAD YADAV"	"VINOD RAY"	"SURESH PRASAD YADAV"	""	""	""	""
"391"	"191"	"535"	"8"	"310"	"34"	"120"	"13"	"4"	"16"	"30"	"535"	"0"	"535"	"0"
"392"	"192"	"466"	"11"	"277"	"44"	"99"	"2"	"5"	"7"	"21"	"466"	"0"	"466"	"0"
"393"	"193"	"344"	"3"	"230"	"31"	"71"	"1"	"2"	"3"	"3"	"344"	"0"	"344"	"0"
"394"	"193K"	"480"	"4"	"428"	"15"	"24"	"2"	"2"	"2"	"3"	"480"	"0"	"480"	"0"
"395"	"194"	"502"	"34"	"181"	"47"	"193"	"11"	"7"	"10"	"19"	"502"	"0"	"502"	"0"
"396"	"195"	"495"	"9"	"109"	"307"	"37"	"2"	"6"	"3"	"22"	"495"	"0"	"495"	"0"
"397"	"196"	"516"	"22"	"367"	"63"	"35"	"5"	"11"	"5"	"8"	"516"	"0"	"516"	"0"
"398"	"197"	"318"	"15"	"145"	"12"	"134"	"5"	"2"	"1"	"4"	"318"	"0"	"318"	"0"
"399"	"197K"	"218"	"6"	"66"	"24"	"107"	"4"	"2"	"4"	"5"	"218"	"0"	"218"	"0"
"400"	"198"	"418"	"25"	"176"	"75"	"104"	"6"	"9"	"8"	"15"	"418"	"0"	"418"	"0"
"401"	"198K"	"283"	"6"	"132"	"56"	"68"	"5"	"2"	"3"	"11"	"283"	"0"	"283"	"0"
"402"	"199"	"345"	"7"	"143"	"104"	"77"	"3"	"4"	"3"	"4"	"345"	"0"	"345"	"0"
"403"	"200"	"599"	"20"	"184"	"20"	"308"	"17"	"19"	"8"	"23"	"599"	"0"	"599"	"0"
"404"	"201"	"384"	"9"	"97"	"10"	"253"	"8"	"3"	"3"	"1"	"384"	"0"	"384"	"0"
"405"	"Grand Total"	"5903"	"179"	"2845"	"842"	"1630"	"84"	"78"	"76"	"169"	"5903"	"0"	"5903"	"0"
"406"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"407"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"408"	"No. and Name of Assembly Constituency  :-       45- Hajipur"	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"Total No. of Electors in the Assembly Constituency :-  231556"	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"Round No.  :-    18"	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"412"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"413"	""	""	"BSP"	"BJP"	"LJP"	"RJD"	"CPI (ML)(L)"	"SP"	"IND"	"IND"	""	""	""	""
