"X010.RAXAUL"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"189"	"125"	""	"IN PREMISES OF P.S. AMODEI HINDI L.SDD"	"507"	"F71038"	"17"	"78"	"98"	"299"	"30"	"9"	"41"	"555"
"190"	"125"	"A"	"P.S. AMODEI HINDI R.S"	"1024"	"F73047"	"17"	"86"	"54"	"98"	"3"	"2"	"2"	"245"
"191"	"126"	""	"P.S. AMODEI URDU (E.PART)"	"1164"	"F27395"	"17"	"106"	"101"	"331"	"14"	"8"	"14"	"574"
"192"	"127"	""	"P.S. AMODEI URDU (W.PART)"	"1322"	"F21531"	"17"	"63"	"71"	"536"	"21"	"8"	"6"	"705"
"193"	"128"	""	"P.S. NARIRGIR"	"1108"	"F16391"	"17"	"125"	"158"	"347"	"18"	"9"	"16"	"673"
"194"	"129"	""	"P.S. BELAHIYA"	"821"	"F03790"	"17"	"58"	"77"	"189"	"7"	"0"	"8"	"339"
"195"	"130"	""	"P.S. TILKAHANI"	"843"	"D97780"	"17"	"217"	"93"	"125"	"11"	"5"	"11"	"462"
"196"	"131"	""	"M.S. RAGHUNATHPUR"	"1049"	"F21142"	"17"	"602"	"19"	"2"	"0"	"1"	"1"	"625"
"197"	"131"	"A"	"IN PREMISES OF M.S. RAGHUNATHPURDD"	"502"	"F21470"	"17"	"247"	"10"	"8"	"0"	"0"	"0"	"265"
"198"	"132"	""	"SHIV SHANKAR SINGH H.S. RAGHUNATHPUR"	"1309"	"F20815"	"17"	"465"	"110"	"118"	"5"	"2"	"3"	"703"
"199"	"133"	""	"URDU P.S. CHARHWA"	"887"	"F16241"	"18"	"60"	"4"	"365"	"7"	"1"	"3"	"440"
"200"	"134"	""	"M.S. CHAMPAPUR (N.PART)"	"1205"	"F08436"	"18"	"296"	"95"	"232"	"7"	"4"	"9"	"643"
"201"	"135"	""	"M.S. CHAMPAPUR (S.PART)"	"1011"	"F21195"	"18"	"193"	"292"	"77"	"6"	"6"	"13"	"587"
"202"	"135"	"A"	"IN PREMISES OF M.S. CHAMPAPUR (S.PART)DD"	"423"	"F20756o9f 9"	"18"	"52"	"91"	"17"	"1"	"1"	"4"	"166"
"203"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"205"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"206"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"207"	"136"	""	"PANCHAYAT BHAWAN CHAMPAPUR"	"988"	"F18394"	"18"	"269"	"160"	"71"	"12"	"7"	"9"	"528"
"208"	"137"	""	"P.S. BALUA CHAMPAPUR"	"720"	"F21149"	"18"	"203"	"112"	"54"	"6"	"5"	"6"	"386"
"209"	"138"	""	"P.S. MUSHAHARI CHAMPAPUR"	"925"	"F04441"	"18"	"162"	"200"	"34"	"1"	"11"	"14"	"422"
"210"	"139"	""	"P.S. MANANA"	"834"	"F21519"	"18"	"160"	"95"	"232"	"11"	"5"	"17"	"520"
"211"	"140"	""	"P.S. PANTOKA"	"1292"	"F24672"	"18"	"278"	"84"	"161"	"14"	"8"	"26"	"571"
"212"	"141"	""	"P.S. MANGALPUR L.S"	"1021"	"F21582"	"18"	"254"	"124"	"15"	"5"	"4"	"10"	"412"
"213"	"141"	"A"	"IN PREMISES OF P.S. MANGALPUR R.SDD"	"493"	"F25816"	"19"	"22"	"151"	"17"	"10"	"8"	"14"	"222"
"214"	"142"	""	"M.S. UCHCHI BHATIYA"	"958"	"F16664"	"19"	"157"	"165"	"96"	"10"	"6"	"13"	"447"
"215"	"143"	""	"P.S. KHUGUNI"	"1157"	"F08253"	"19"	"285"	"88"	"33"	"3"	"8"	"19"	"436"
"216"	"144"	""	"P.S. YOGWALIYA"	"1101"	"F26468"	"19"	"48"	"157"	"156"	"12"	"7"	"19"	"399"
"217"	"145"	""	"PANCHAYAT BHAWAN BAIRIYA"	"1144"	"F26054"	"19"	"427"	"152"	"23"	"9"	"8"	"15"	"634"
"218"	"146"	""	"P.S. ARYA NAGAR"	"1303"	"F16401"	"19"	"164"	"29"	"348"	"16"	"7"	"27"	"591"
"219"	"147"	""	"P.S. DUMRI"	"1398"	"F24740"	"19"	"177"	"171"	"124"	"18"	"8"	"21"	"519"
"220"	"148"	""	"M.S. PRASAUNA MADAN L.S"	"1012"	"F16769"	"19"	"392"	"31"	"21"	"2"	"0"	"2"	"448"
"221"	"148"	"A"	"IN PREMISES OF M.S. PRASAUNA MADANDDR.S"	"435"	"F26625"	"19"	"142"	"4"	"16"	"3"	"2"	"4"	"171"
"222"	"149"	""	"IN PREMISES OF M.S. SATPIPRADD"	"590"	"F20149"	"19"	"211"	"165"	"22"	"6"	"7"	"26"	"437"
"223"	"149"	"A"	"M.S. SATPIPRA R.S"	"935"	"F25426"	"20"	"85"	"59"	"32"	"0"	"0"	"2"	"178"
"224"	"150"	""	"P.S. MISHRAULIYA"	"714"	"F24456"	"20"	"145"	"297"	"12"	"6"	"4"	"5"	"469"
"225"	"151"	""	"M.S. INARWA"	"1271"	"F16467"	"20"	"156"	"105"	"196"	"18"	"4"	"8"	"487"
"226"	"152"	""	"IN PREMISES OF M.S. RAMGARHWA (W.PART)DD"	"462"	"F27557"	"20"	"285"	"173"	"84"	"9"	"2"	"6"	"559"
"227"	"152"	"A"	"M.S. RAMGARHWA (W.PART)"	"935"	"F21012"	"20"	"109"	"30"	"23"	"0"	"2"	"1"	"165"
"228"	"153"	""	"IN PREMISES OF M.S. RAMGARHWA (E.PART)DD"	"560"	"F23327"	"20"	"203"	"155"	"166"	"6"	"8"	"13"	"551"
"229"	"153"	"A"	"M.S. RAMGARHWA (E.PART)"	"999"	"F24503"	"20"	"135"	"82"	"118"	"7"	"2"	"10"	"354"
"230"	"154"	""	"BOARD SANSKRIT SCH. RAMGARHWA (N.PART)"	"914"	"F75786"	"20"	"226"	"80"	"99"	"3"	"2"	"7"	"417"
"231"	"154"	"A"	"IN PREMISES OF BOARD SANSKRIT SCH. RAMGARH"	"W    554"	"F24877o0f 9"	"20"	"100"	"38"	"53"	"3"	"2"	"0"	"196"
"232"	"010-RAXAUL"	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Booth"	""	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""
"234"	""	""	""	""	""	""	"DR. AJAY KUMAR SINGH"	"RAJ NANDAN RAI"	"SAGIR AHMAD"	"RAJ KUMARI SAHANI"	"KAMOD RAM"	"MIR HASAN"	"TOTAL"
"235"	"No"	"Ext"	"Name"	"Voters"	"CU"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"
"236"	"155"	""	"BOARD SANSKRIT SCH.RAMGARHWA (S.PART)"	"1316"	"F79585"	"20"	"304"	"213"	"104"	"11"	"3"	"14"	"649"
"237"	"156"	""	"H.S. RAMGARHWA"	"1147"	"A04385"	"21"	"311"	"158"	"46"	"6"	"5"	"9"	"535"
"238"	"157"	""	"M.S. MURLA (N.PART)"	"1010"	"F25228"	"21"	"180"	"141"	"81"	"9"	"7"	"9"	"427"
"239"	"157"	"A"	"IN PREMISES OF M.S. MURLA (N.PART)DD"	"530"	"A58106"	"21"	"113"	"66"	"11"	"3"	"0"	"4"	"197"
"240"	"158"	""	"M.S. MURLA (S.PART)"	"1042"	"F21421"	"21"	"132"	"206"	"91"	"11"	"15"	"14"	"469"
"241"	"158"	"A"	"IN PREMISES OF M.S. MURLA (S.PART)DD"	"634"	"F76768"	"21"	"63"	"137"	"15"	"3"	"6"	"17"	"241"
"242"	"159"	""	"URDU P.S. BHERHIHARWA"	"1353"	"A58093"	"21"	"76"	"81"	"359"	"47"	"8"	"16"	"587"
"243"	"160"	""	"BASIK SCH. SISWANIYA"	"1367"	"F20982"	"21"	"265"	"216"	"126"	"24"	"19"	"43"	"693"
"244"	"161"	""	"P.S. SISWANIYA POKHRA DHANGAR TOLI"	"1008"	"A17795"	"21"	"50"	"389"	"82"	"4"	"10"	"18"	"553"
"245"	"162"	""	"P.S. BELA HINDI (S.PART)"	"1057"	"A17769"	"21"	"236"	"84"	"163"	"8"	"8"	"13"	"512"
"246"	"162"	"A"	"IN PREMISES OF P.S. BELA HINDI (S.PART)DD"	"515"	"F25230"	"21"	"65"	"28"	"40"	"1"	"1"	"4"	"139"
"247"	"163"	""	"IN PREMISES OF P.S. BELA HINDI (N.PART)DD"	"841"	"F22642"	"22"	"57"	"159"	"184"	"9"	"8"	"21"	"438"
"248"	"163"	"A"	"P.S. BELA HINDI (N.PART)"	"799"	"F25644"	"22"	"86"	"81"	"142"	"2"	"4"	"8"	"323"
"249"	"164"	""	"IN PREMISES OF ISLAMIYA MADARSA BELASPURDD"	"425"	"F26876"	"22"	"56"	"88"	"266"	"12"	"6"	"10"	"438"
"250"	"164"	"A"	"ISLAMIYA MADARSA BELASPUR"	"1136"	"F24954"	"22"	"19"	"11"	"108"	"5"	"1"	"4"	"148"
"251"	"165"	""	"IN PREMISES OF P.S. PACHBHIRHIYADDR.S"	"424"	"F76454"	"22"	"131"	"219"	"40"	"16"	"16"	"42"	"464"
"252"	"165"	"A"	"P.S. PACHBHIRHIYA L.S"	"1026"	"F25894"	"22"	"19"	"103"	"46"	"5"	"4"	"7"	"184"
"253"	"166"	""	"P.S. BHAISARHA"	"503"	"F26418"	"22"	"32"	"187"	"54"	"4"	"4"	"10"	"291"
"254"	""	""	""	""	""	""	"38448"	"29999"	"22947"	"1816"	"1188"	"2419"	"96817"
"255"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"9 of 9"	""	""	""	""	""	""	""	""	""	""	""	""
