"X."	"X..1"	"X..2"	"X012.MOTIHARI"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"175"	"133"	""	"609"	"16"	"160"	"3"	"110"	"3"	"20"	"3"	"2"	"0"	"3"	"1"	"9"	"6"	"8"	"328"
"176"	"134"	""	"1244"	"16"	"194"	"7"	"230"	"8"	"138"	"8"	"2"	"3"	"13"	"2"	"5"	"14"	"18"	"642"
"177"	"135"	""	"1108"	"16"	"231"	"4"	"78"	"7"	"173"	"12"	"6"	"3"	"13"	"4"	"9"	"9"	"14"	"563"
"178"	"136"	""	"1043"	"16"	"273"	"14"	"207"	"10"	"68"	"5"	"2"	"3"	"2"	"1"	"5"	"4"	"5"	"599"
"179"	"137"	""	"1105"	"16"	"193"	"7"	"134"	"6"	"158"	"9"	"3"	"2"	"14"	"6"	"3"	"8"	"19"	"562"
"180"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"182"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"183"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"184"	"138"	""	"1281"	"16"	"317"	"9"	"156"	"3"	"19"	"4"	"2"	"0"	"1"	"2"	"5"	"1"	"7"	"526"
"185"	"139"	"A"	"532"	"16"	"163"	"7"	"14"	"1"	"6"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"13"	"209"
"186"	"139"	""	"902"	"16"	"391"	"7"	"125"	"5"	"38"	"5"	"1"	"7"	"5"	"5"	"3"	"5"	"30"	"627"
"187"	"140"	""	"1199"	"16"	"267"	"5"	"132"	"6"	"96"	"6"	"4"	"5"	"3"	"1"	"1"	"3"	"9"	"538"
"188"	"141"	""	"710"	"17"	"62"	"5"	"48"	"8"	"180"	"8"	"1"	"2"	"11"	"6"	"1"	"12"	"14"	"358"
"189"	"142"	""	"823"	"17"	"165"	"4"	"39"	"1"	"142"	"13"	"4"	"2"	"3"	"2"	"4"	"10"	"20"	"409"
"190"	"143"	""	"1201"	"17"	"503"	"13"	"79"	"4"	"5"	"2"	"0"	"1"	"3"	"1"	"0"	"2"	"7"	"620"
"191"	"144"	"A"	"648"	"17"	"118"	"5"	"143"	"6"	"58"	"4"	"5"	"1"	"9"	"3"	"1"	"6"	"5"	"364"
"192"	"144"	""	"768"	"17"	"187"	"8"	"48"	"4"	"132"	"4"	"2"	"1"	"10"	"2"	"3"	"9"	"4"	"414"
"193"	"145"	""	"322"	"17"	"36"	"2"	"73"	"3"	"45"	"1"	"3"	"0"	"2"	"3"	"4"	"3"	"13"	"188"
"194"	"146"	""	"782"	"17"	"279"	"3"	"35"	"4"	"37"	"0"	"2"	"0"	"13"	"3"	"0"	"5"	"16"	"397"
"195"	"146"	"A"	"737"	"17"	"317"	"3"	"23"	"2"	"39"	"2"	"0"	"1"	"2"	"0"	"0"	"1"	"3"	"393"
"196"	"147"	""	"1226"	"17"	"491"	"9"	"96"	"2"	"52"	"5"	"7"	"1"	"3"	"4"	"0"	"5"	"9"	"684"
"197"	"148"	""	"1384"	"17"	"308"	"12"	"142"	"7"	"207"	"9"	"6"	"5"	"31"	"9"	"7"	"26"	"39"	"808"
"198"	"149"	""	"1074"	"18"	"345"	"13"	"114"	"8"	"74"	"4"	"1"	"0"	"7"	"4"	"0"	"10"	"17"	"597"
"199"	"150"	""	"597"	"18"	"14"	"4"	"5"	"5"	"352"	"11"	"2"	"1"	"6"	"3"	"0"	"3"	"2"	"408"
"200"	"151"	""	"1103"	"18"	"381"	"7"	"88"	"4"	"110"	"3"	"2"	"5"	"9"	"1"	"2"	"3"	"6"	"621"
"201"	"152"	""	"1245"	"18"	"307"	"20"	"183"	"13"	"93"	"7"	"6"	"4"	"5"	"6"	"10"	"8"	"23"	"685"
"202"	"153"	""	"995"	"18"	"114"	"7"	"59"	"6"	"316"	"6"	"2"	"5"	"16"	"3"	"5"	"13"	"15"	"567"
"203"	"154"	""	"1280"	"18"	"127"	"10"	"142"	"7"	"279"	"17"	"5"	"9"	"26"	"9"	"11"	"19"	"29"	"690"
"204"	"155"	""	"1377"	"18"	"179"	"19"	"204"	"11"	"86"	"11"	"8"	"8"	"22"	"12"	"15"	"19"	"40"	"634"
"205"	"156"	""	"959"	"18"	"362"	"7"	"130"	"4"	"6"	"3"	"2"	"1"	"0"	"3"	"6"	"5"	"18"	"547"
"206"	"157"	""	"968"	"18"	"69"	"11"	"236"	"8"	"155"	"12"	"6"	"2"	"17"	"1"	"3"	"5"	"14"	"539"
"207"	"158"	""	"1007"	"18"	"420"	"7"	"67"	"6"	"81"	"6"	"1"	"2"	"6"	"1"	"3"	"5"	"9"	"614"
"208"	"159"	""	"979"	"19"	"310"	"14"	"248"	"7"	"8"	"3"	"4"	"2"	"0"	"2"	"5"	"0"	"3"	"606"
"209"	"160"	""	"717"	"19"	"220"	"5"	"86"	"7"	"80"	"5"	"2"	"1"	"4"	"2"	"3"	"7"	"12"	"434"
"210"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"212"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"213"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"214"	"161"	""	"1109"	"19"	"230"	"8"	"104"	"8"	"191"	"10"	"3"	"10"	"23"	"6"	"12"	"22"	"30"	"657"
"215"	"162"	""	"1200"	"19"	"255"	"8"	"126"	"9"	"125"	"4"	"5"	"4"	"10"	"3"	"4"	"18"	"32"	"603"
"216"	"163"	""	"687"	"19"	"159"	"7"	"165"	"5"	"64"	"2"	"1"	"0"	"3"	"5"	"3"	"3"	"13"	"430"
"217"	"164"	""	"745"	"19"	"217"	"4"	"18"	"1"	"111"	"3"	"1"	"1"	"7"	"3"	"2"	"13"	"15"	"396"
"218"	"165"	""	"918"	"19"	"301"	"6"	"111"	"4"	"68"	"3"	"2"	"2"	"8"	"3"	"7"	"11"	"21"	"547"
"219"	"166"	""	"793"	"19"	"223"	"11"	"159"	"7"	"112"	"10"	"2"	"1"	"11"	"9"	"7"	"6"	"19"	"577"
"220"	"167"	""	"1240"	"19"	"550"	"7"	"94"	"2"	"8"	"0"	"1"	"3"	"1"	"3"	"1"	"1"	"11"	"682"
"221"	"168"	""	"583"	"19"	"287"	"1"	"17"	"0"	"17"	"2"	"0"	"0"	"2"	"0"	"1"	"3"	"12"	"342"
"222"	"169"	""	"1063"	"20"	"308"	"10"	"146"	"4"	"114"	"8"	"1"	"0"	"6"	"3"	"4"	"7"	"12"	"623"
"223"	"170"	""	"907"	"20"	"191"	"11"	"203"	"5"	"96"	"5"	"0"	"4"	"6"	"3"	"3"	"8"	"13"	"548"
"224"	"171"	""	"836"	"20"	"179"	"6"	"108"	"1"	"109"	"7"	"2"	"3"	"9"	"1"	"3"	"7"	"18"	"453"
"225"	"172"	""	"1277"	"20"	"249"	"16"	"192"	"9"	"207"	"14"	"7"	"8"	"18"	"10"	"6"	"8"	"26"	"770"
"226"	"173"	""	"551"	"20"	"49"	"9"	"203"	"6"	"10"	"4"	"2"	"3"	"0"	"1"	"1"	"3"	"3"	"294"
"227"	"174"	"A"	"665"	"20"	"75"	"3"	"168"	"7"	"63"	"5"	"3"	"6"	"7"	"1"	"1"	"3"	"7"	"349"
"228"	"174"	""	"746"	"20"	"148"	"10"	"134"	"3"	"42"	"4"	"4"	"5"	"6"	"6"	"5"	"10"	"18"	"395"
"229"	"175"	""	"1147"	"20"	"271"	"13"	"57"	"0"	"106"	"10"	"4"	"0"	"7"	"1"	"2"	"9"	"21"	"501"
"230"	"175"	"A"	"301"	"20"	"26"	"7"	"24"	"2"	"75"	"7"	"3"	"1"	"6"	"1"	"1"	"4"	"4"	"161"
"231"	"176"	""	"1368"	"20"	"231"	"13"	"162"	"4"	"112"	"9"	"5"	"4"	"12"	"11"	"6"	"8"	"22"	"599"
"232"	"177"	""	"818"	"21"	"211"	"7"	"18"	"1"	"64"	"2"	"0"	"1"	"1"	"1"	"0"	"5"	"7"	"318"
"233"	"178"	""	"218"	"21"	"16"	"3"	"4"	"3"	"76"	"4"	"1"	"0"	"3"	"0"	"4"	"13"	"2"	"129"
"234"	"179"	""	"1023"	"21"	"92"	"7"	"87"	"5"	"239"	"15"	"10"	"6"	"38"	"14"	"13"	"32"	"26"	"584"
"235"	"180"	""	"993"	"21"	"193"	"16"	"233"	"12"	"51"	"5"	"1"	"2"	"4"	"1"	"3"	"6"	"17"	"544"
"236"	"181"	""	"920"	"21"	"235"	"12"	"152"	"8"	"20"	"10"	"1"	"1"	"1"	"4"	"8"	"7"	"20"	"479"
"237"	"182"	""	"856"	"21"	"54"	"12"	"254"	"13"	"61"	"6"	"5"	"9"	"2"	"7"	"7"	"14"	"14"	"458"
"238"	"183"	""	"1150"	"21"	"99"	"7"	"223"	"11"	"103"	"13"	"4"	"2"	"10"	"6"	"8"	"11"	"19"	"516"
"239"	"184"	""	"1322"	"21"	"237"	"15"	"244"	"4"	"124"	"7"	"10"	"8"	"16"	"8"	"5"	"8"	"16"	"702"
"240"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"243"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"244"	"185"	""	"565"	"21"	"229"	"10"	"91"	"2"	"15"	"2"	"3"	"1"	"1"	"3"	"2"	"1"	"11"	"371"
"245"	"186"	""	"1302"	"21"	"404"	"20"	"238"	"5"	"25"	"2"	"2"	"2"	"0"	"6"	"9"	"2"	"31"	"746"
"246"	"187"	""	"1387"	"22"	"140"	"17"	"416"	"14"	"79"	"5"	"2"	"1"	"4"	"1"	"3"	"3"	"6"	"691"
"247"	"188"	"A"	"559"	"22"	"111"	"7"	"115"	"5"	"19"	"4"	"3"	"0"	"4"	"1"	"5"	"5"	"7"	"286"
"248"	"188"	""	"1081"	"22"	"276"	"10"	"145"	"7"	"95"	"2"	"4"	"2"	"15"	"3"	"6"	"8"	"25"	"598"
"249"	"189"	""	"1293"	"22"	"450"	"19"	"110"	"6"	"84"	"7"	"1"	"1"	"8"	"1"	"4"	"14"	"26"	"731"
"250"	"189"	"A"	"219"	"22"	"121"	"8"	"10"	"0"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"150"
"251"	"190"	"A"	"546"	"22"	"114"	"3"	"56"	"4"	"88"	"2"	"1"	"1"	"6"	"1"	"2"	"9"	"13"	"300"
"252"	"190"	""	"998"	"22"	"118"	"10"	"223"	"12"	"106"	"5"	"4"	"7"	"7"	"6"	"2"	"9"	"15"	"524"
"253"	"191"	""	"252"	"22"	"119"	"1"	"11"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"140"
"254"	"192"	""	"1195"	"22"	"205"	"7"	"35"	"8"	"225"	"16"	"4"	"3"	"27"	"10"	"5"	"14"	"16"	"575"
"255"	"193"	""	"1184"	"22"	"352"	"15"	"110"	"5"	"145"	"11"	"1"	"4"	"17"	"10"	"0"	"12"	"24"	"706"
"256"	"194"	""	"1025"	"23"	"238"	"9"	"318"	"13"	"5"	"1"	"6"	"0"	"1"	"2"	"9"	"9"	"28"	"639"
"257"	"194"	"A"	"467"	"23"	"37"	"9"	"78"	"3"	"77"	"13"	"5"	"3"	"6"	"3"	"1"	"5"	"5"	"245"
"258"	"195"	""	"885"	"23"	"233"	"6"	"152"	"7"	"110"	"7"	"2"	"3"	"6"	"3"	"3"	"11"	"20"	"563"
"259"	"195"	"A"	"543"	"23"	"45"	"5"	"183"	"6"	"21"	"0"	"2"	"5"	"1"	"1"	"3"	"5"	"4"	"281"
"260"	"196"	""	"763"	"23"	"25"	"2"	"41"	"9"	"244"	"19"	"13"	"5"	"21"	"10"	"0"	"10"	"19"	"418"
"261"	"197"	""	"505"	"23"	"39"	"5"	"213"	"6"	"12"	"1"	"1"	"2"	"3"	"0"	"9"	"1"	"10"	"302"
"262"	"198"	""	"1292"	"23"	"143"	"10"	"153"	"16"	"237"	"22"	"9"	"11"	"19"	"16"	"13"	"29"	"27"	"705"
"263"	"199"	""	"1225"	"23"	"132"	"4"	"200"	"12"	"154"	"7"	"4"	"3"	"17"	"9"	"8"	"16"	"17"	"583"
"264"	"200"	""	"793"	"23"	"45"	"6"	"211"	"7"	"42"	"4"	"1"	"1"	"7"	"2"	"5"	"4"	"15"	"350"
"265"	"200"	"A"	"758"	"23"	"107"	"4"	"143"	"1"	"27"	"1"	"3"	"1"	"2"	"0"	"5"	"5"	"16"	"315"
"266"	"201"	""	"810"	"24"	"152"	"4"	"148"	"2"	"37"	"2"	"1"	"0"	"1"	"0"	"3"	"3"	"9"	"362"
"267"	"202"	""	"1323"	"24"	"252"	"11"	"200"	"15"	"80"	"4"	"2"	"0"	"2"	"6"	"10"	"2"	"17"	"601"
"268"	"203"	""	"1183"	"24"	"175"	"10"	"270"	"9"	"82"	"12"	"3"	"2"	"5"	"9"	"9"	"10"	"21"	"617"
"269"	"204"	""	"1066"	"24"	"274"	"4"	"183"	"8"	"21"	"4"	"2"	"3"	"3"	"1"	"7"	"4"	"21"	"535"
"270"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"273"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"274"	"205"	""	"1110"	"24"	"128"	"6"	"224"	"12"	"109"	"6"	"6"	"2"	"8"	"1"	"4"	"3"	"14"	"523"
"275"	"206"	""	"726"	"24"	"191"	"4"	"102"	"2"	"66"	"5"	"3"	"1"	"7"	"2"	"1"	"6"	"6"	"396"
"276"	"207"	""	"1152"	"24"	"362"	"11"	"88"	"4"	"30"	"2"	"8"	"2"	"4"	"1"	"6"	"3"	"25"	"546"
"277"	"208"	""	"1195"	"24"	"175"	"7"	"279"	"6"	"129"	"15"	"6"	"8"	"9"	"4"	"9"	"9"	"14"	"670"
"278"	"209"	""	"1220"	"24"	"125"	"2"	"24"	"7"	"321"	"13"	"2"	"5"	"14"	"2"	"3"	"21"	"11"	"550"
"279"	"210"	""	"1341"	"24"	"336"	"15"	"160"	"9"	"79"	"5"	"5"	"5"	"4"	"3"	"4"	"12"	"32"	"669"
"280"	"211"	""	"1320"	"25"	"315"	"10"	"201"	"7"	"11"	"3"	"2"	"3"	"2"	"2"	"1"	"0"	"2"	"559"
"281"	"212"	""	"790"	"25"	"152"	"3"	"146"	"6"	"85"	"5"	"4"	"2"	"9"	"3"	"3"	"9"	"10"	"437"
"282"	"212"	"A"	"624"	"25"	"14"	"2"	"199"	"3"	"52"	"0"	"0"	"0"	"2"	"0"	"8"	"9"	"10"	"299"
"283"	"213"	""	"678"	"25"	"235"	"8"	"114"	"1"	"5"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"5"	"374"
"284"	"213"	"A"	"730"	"25"	"153"	"11"	"44"	"3"	"87"	"4"	"5"	"4"	"11"	"2"	"3"	"9"	"13"	"349"
"285"	"214"	""	"1130"	"25"	"238"	"14"	"299"	"5"	"5"	"2"	"2"	"3"	"2"	"1"	"3"	"1"	"16"	"591"
"286"	"215"	""	"758"	"25"	"155"	"4"	"173"	"3"	"74"	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"11"	"427"
"287"	"215"	"A"	"817"	"25"	"190"	"11"	"169"	"6"	"41"	"5"	"1"	"3"	"3"	"3"	"1"	"1"	"7"	"441"
"288"	"216"	""	"534"	"25"	"45"	"1"	"159"	"10"	"68"	"3"	"1"	"1"	"7"	"3"	"7"	"9"	"24"	"338"
"289"	"217"	""	"858"	"25"	"274"	"1"	"88"	"3"	"32"	"5"	"1"	"2"	"3"	"5"	"4"	"3"	"13"	"434"
"290"	"217"	"A"	"811"	"26"	"93"	"7"	"216"	"4"	"31"	"1"	"1"	"0"	"1"	"2"	"1"	"1"	"13"	"371"
"291"	"218"	""	"816"	"26"	"116"	"11"	"95"	"6"	"112"	"13"	"3"	"10"	"16"	"2"	"5"	"7"	"14"	"410"
"292"	"218"	"A"	"615"	"26"	"47"	"1"	"50"	"6"	"134"	"9"	"5"	"10"	"20"	"8"	"6"	"20"	"23"	"339"
"293"	"219"	""	"854"	"26"	"422"	"8"	"43"	"3"	"23"	"1"	"3"	"1"	"7"	"1"	"3"	"4"	"19"	"538"
"294"	"220"	""	"1136"	"26"	"341"	"9"	"152"	"5"	"14"	"2"	"4"	"1"	"1"	"4"	"2"	"5"	"19"	"559"
"295"	"221"	""	"936"	"26"	"224"	"10"	"242"	"8"	"14"	"2"	"3"	"2"	"3"	"1"	"4"	"3"	"7"	"523"
"296"	"222"	""	"1371"	"26"	"87"	"4"	"70"	"8"	"337"	"19"	"10"	"11"	"32"	"17"	"7"	"28"	"36"	"666"
"297"	"223"	""	"856"	"26"	"92"	"10"	"215"	"13"	"13"	"2"	"2"	"0"	"2"	"3"	"11"	"1"	"14"	"378"
"298"	"224"	""	"1056"	"26"	"150"	"12"	"223"	"8"	"126"	"14"	"4"	"4"	"15"	"3"	"9"	"9"	"32"	"609"
"299"	"225"	""	"489"	"26"	"106"	"13"	"139"	"7"	"12"	"2"	"3"	"0"	"1"	"3"	"1"	"1"	"2"	"290"
"300"	""	""	""	"012-MOTIHARI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"Booth"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	"PRAMOD   KUMAR"	"MAHENDRA   PD.   SINGH"	"RAMA   DEVI"	"SAMBHU  RAI"	"SURESH  SAHANI (Sarotar)"	"RAJU  BAITHA"	"SUMIT  KUMAR  MITRA"	"ARVIND  KUMAR  SINHA"	"UDAY SHANKAR PASWAN"	"KISUN PASWAN"	"YOGENDRA BAITHA"	"VIJAY KUMAR GUPTA"	"SURESH SAHANI(Hathiyahi)"	"Total"
"303"	"No"	"Ext"	"Voters"	"Round"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"304"	"226"	""	"1271"	"27"	"160"	"34"	"144"	"10"	"352"	"9"	"3"	"5"	"20"	"4"	"4"	"9"	"11"	"765"
"305"	"227"	""	"1208"	"27"	"201"	"10"	"218"	"13"	"115"	"9"	"1"	"3"	"7"	"3"	"10"	"4"	"20"	"614"
"306"	"Total"	""	""	""	"56119"	"1651"	"35416"	"2218"	"18393"	"1197"	"692"	"514"	"1459"	"745"	"888"	"1472"	"3083"	"123847"
