"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.194.BIKRAM.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of"	""	""	"No. of"	""	""	""	""	"No. of tendered"	""	""	""	""	""	""
"3"	"Serial no. of"	""	"ANIL"	""	""	"DEVI DAYAL"	""	""	"SHAILESH"	""	""	""	"SHYAM DEO"	""	""	"JITENDRA"	""	""	"ANIL"	""	""	"DAMYANTI"	""	""	""	"BHUSHAN"	""	""	"MUNNA"	""	""	""	""	"RAGHUNANDAN"	""	""	"RAMESH"	""	""	""	"Valid Votes"	""	""	"votes"	""	""	""	""	"votes"	""	""	""	""	""	""
"82"	"51"	""	""	""	"188"	""	"32"	""	""	"61"	""	""	""	"295"	""	""	"9"	""	""	"3"	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"14"	""	""	"27"	""	""	""	"656"	""	""	""	""	""	"656"	""	""	""	""	""	""	""
"83"	"52"	""	""	""	"179"	""	"8"	""	""	"154"	""	""	""	"91"	""	""	"4"	""	""	"2"	""	""	"3"	""	""	""	"8"	""	""	""	"9"	""	""	""	"3"	""	""	"24"	""	""	""	"485"	""	""	""	""	""	"485"	""	""	""	""	""	""	""
"84"	"53"	""	""	""	"66"	""	"1"	""	""	"24"	""	""	""	"239"	""	""	"9"	""	""	"2"	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	"10"	""	""	"8"	""	""	""	"365"	""	""	""	""	""	"365"	""	""	""	""	""	""	""
"85"	"54"	""	""	""	"197"	""	"2"	""	""	"27"	""	""	""	"22"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	"5"	""	""	""	"259"	""	""	""	""	""	"259"	""	""	""	""	""	""	""
"86"	"55"	""	""	""	"180"	""	"16"	""	""	"59"	""	""	""	"52"	""	""	"1"	""	""	"0"	""	""	"2"	""	""	""	"8"	""	""	""	"3"	""	""	""	"4"	""	""	"13"	""	""	""	"338"	""	""	""	""	""	"338"	""	""	""	""	""	""	""
"87"	"Total"	""	""	""	"2744"	""	"201"	""	""	"927"	""	""	""	"1275"	""	""	"52"	""	""	"26"	""	""	"33"	""	""	""	"77"	""	""	""	"70"	""	""	""	"65"	""	""	"190"	""	""	""	"5660"	""	""	""	""	""	"5660"	""	"0"	""	""	""	""	""
"88"	"Till Last Round"	""	""	""	"8935"	""	"466"	""	""	"1908"	""	""	""	"3856"	""	""	"214"	""	""	"77"	""	""	"56"	""	""	""	"149"	""	""	""	"157"	""	""	""	"133"	""	""	"402"	""	""	""	"16353"	""	""	"0"	""	""	"16353"	""	"0"	""	""	""	""	""
"89"	"Grand Total"	""	""	""	"11679"	""	"667"	""	""	"2835"	""	""	""	"5131"	""	""	"266"	""	""	"103"	""	""	"89"	""	""	""	"226"	""	""	""	"227"	""	""	""	"198"	""	""	"592"	""	""	""	"22013"	""	""	"0"	""	""	"22013"	""	"0"	""	""	""	""	""
"90"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"91"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-5
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Serial no. of polling station"	""	"ANIL KUMAR"	""	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	""	"SHYAM DEO SINGH"	""	""	"JITENDRA KUMAR"	""	""	"ANIL KUMAR"	""	""	"DAMYANTI DEVI"	""	""	""	"BHUSHAN PRASAD"	""	""	"MUNNA CHOUDHARY"	""	""	""	""	"RAGHUNANDAN PRASAD"	""	""	"RAMESH SHARMA"	""	""	""	"Total of Valid Votes"	""	""	"No. of
rejected votes"	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"95"	"56"	""	"139"	""	""	"8"	""	""	"120"	""	""	""	"46"	""	""	"1"	""	""	"3"	""	""	"2"	""	""	""	"9"	""	""	"7"	""	""	""	""	"3"	""	""	"13"	""	""	""	"351"	""	""	""	""	""	"351"	""	""	""	""	""	""	""	""
"96"	"57"	""	"251"	""	""	"3"	""	""	"38"	""	""	""	"212"	""	""	"12"	""	""	"3"	""	""	"2"	""	""	""	"6"	""	""	"2"	""	""	""	""	"6"	""	""	"13"	""	""	""	"548"	""	""	""	""	""	"548"	""	""	""	""	""	""	""	""
"97"	"58"	""	"199"	""	""	"2"	""	""	"16"	""	""	""	"117"	""	""	"17"	""	""	"3"	""	""	"1"	""	""	""	"4"	""	""	"1"	""	""	""	""	"3"	""	""	"1"	""	""	""	"364"	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""
"98"	"59"	""	"16"	""	""	"3"	""	""	"11"	""	""	""	"304"	""	""	"5"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	""	"2"	""	""	"2"	""	""	""	"346"	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""
"99"	"60"	""	"41"	""	""	"2"	""	""	"30"	""	""	""	"116"	""	""	"16"	""	""	"1"	""	""	"2"	""	""	""	"4"	""	""	"1"	""	""	""	""	"3"	""	""	"7"	""	""	""	"223"	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""
"100"	"61"	""	"114"	""	""	"5"	""	""	"47"	""	""	""	"249"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	""	""	"2"	""	""	"11"	""	""	""	"434"	""	""	""	""	""	"434"	""	""	""	""	""	""	""	""
"101"	"62"	""	"162"	""	""	"6"	""	""	"25"	""	""	""	"27"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	""	"2"	""	""	"38"	""	""	""	"265"	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""
"102"	"63"	""	"32"	""	""	"1"	""	""	"83"	""	""	""	"147"	""	""	"15"	""	""	"2"	""	""	"1"	""	""	""	"5"	""	""	"6"	""	""	""	""	"4"	""	""	"16"	""	""	""	"312"	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""
"103"	"64"	""	"245"	""	""	"2"	""	""	"28"	""	""	""	"110"	""	""	"2"	""	""	"1"	""	""	"2"	""	""	""	"3"	""	""	"3"	""	""	""	""	"3"	""	""	"10"	""	""	""	"409"	""	""	""	""	""	"409"	""	""	""	""	""	""	""	""
"104"	"65"	""	"171"	""	""	"2"	""	""	"32"	""	""	""	"107"	""	""	"3"	""	""	"5"	""	""	"0"	""	""	""	"3"	""	""	"2"	""	""	""	""	"2"	""	""	"11"	""	""	""	"338"	""	""	""	""	""	"338"	""	""	""	""	""	""	""	""
"105"	"66"	""	"268"	""	""	"4"	""	""	"54"	""	""	""	"51"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"5"	""	""	"4"	""	""	""	""	"6"	""	""	"12"	""	""	""	"406"	""	""	""	""	""	"406"	""	""	""	""	""	""	""	""
"106"	"67"	""	"105"	""	""	"2"	""	""	"167"	""	""	""	"61"	""	""	"5"	""	""	"1"	""	""	"1"	""	""	""	"6"	""	""	"4"	""	""	""	""	"3"	""	""	"8"	""	""	""	"363"	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""
"107"	"68"	""	"20"	""	""	"0"	""	""	"9"	""	""	""	"95"	""	""	"84"	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	""	"0"	""	""	"6"	""	""	""	"217"	""	""	""	""	""	"217"	""	""	""	""	""	""	""	""
"108"	"69"	""	"203"	""	""	"1"	""	""	"43"	""	""	""	"126"	""	""	"189"	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	""	"2"	""	""	"5"	""	""	""	"572"	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""
"109"	"Total"	""	"1966"	""	""	"41"	""	""	"703"	""	""	""	"1768"	""	""	"354"	""	""	"24"	""	""	"13"	""	""	""	"50"	""	""	"35"	""	""	""	""	"41"	""	""	"153"	""	""	""	"5148"	""	""	""	""	""	"5148"	""	"0"	""	""	""	""	""	""
"110"	"Till Last Round"	""	"11679"	""	""	"667"	""	""	"2835"	""	""	""	"5131"	""	""	"266"	""	""	"103"	""	""	"89"	""	""	""	"226"	""	""	"227"	""	""	""	""	"198"	""	""	"592"	""	""	""	"22013"	""	""	"0"	""	""	"22013"	""	"0"	""	""	""	""	""	""
"111"	"Grand Total"	""	"13645"	""	""	"708"	""	""	"3538"	""	""	""	"6899"	""	""	"620"	""	""	"127"	""	""	"102"	""	""	""	"276"	""	""	"262"	""	""	""	""	"239"	""	""	"745"	""	""	""	"27161"	""	""	"0"	""	""	"27161"	""	"0"	""	""	""	""	""	""
"112"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-6
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Serial no. of polling station"	""	"ANIL KUMAR"	""	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	""	"SHYAM DEO SINGH"	""	""	"JITENDRA KUMAR"	""	""	"ANIL KUMAR"	""	""	"DAMYANTI DEVI"	""	""	""	"BHUSHAN PRASAD"	""	""	""	"MUNNA CHOUDHARY"	""	""	""	"RAGHUNANDAN PRASAD"	""	""	"RAMESH SHARMA"	""	""	""	"Total of Valid Votes"	""	""	"No. of
rejected votes"	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"117"	"70"	""	"127"	""	""	"5"	""	""	"116"	""	""	""	"63"	""	""	"95"	""	""	"4"	""	""	"1"	""	""	""	"9"	""	""	""	"5"	""	""	""	"4"	""	""	"8"	""	""	""	"437"	""	""	""	""	""	"437"	""	""	""	""	""	""	""	""
"118"	"71"	""	"158"	""	""	"7"	""	""	"180"	""	""	""	"136"	""	""	"15"	""	""	"4"	""	""	"2"	""	""	""	"9"	""	""	""	"17"	""	""	""	"6"	""	""	"13"	""	""	""	"547"	""	""	""	""	""	"547"	""	""	""	""	""	""	""	""
"119"	"72"	""	"40"	""	""	"4"	""	""	"140"	""	""	""	"195"	""	""	"7"	""	""	"1"	""	""	"0"	""	""	""	"5"	""	""	""	"1"	""	""	""	"6"	""	""	"2"	""	""	""	"401"	""	""	""	""	""	"401"	""	""	""	""	""	""	""	""
"120"	"73"	""	"99"	""	""	"25"	""	""	"118"	""	""	""	"35"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"6"	""	""	""	"3"	""	""	"11"	""	""	""	"303"	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""
"121"	"74"	""	"195"	""	""	"11"	""	""	"82"	""	""	""	"66"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"11"	""	""	""	"4"	""	""	""	"4"	""	""	"17"	""	""	""	"390"	""	""	""	""	""	"390"	""	""	""	""	""	""	""	""
"122"	"74A"	""	"244"	""	""	"5"	""	""	"25"	""	""	""	"112"	""	""	"4"	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"4"	""	""	"10"	""	""	""	"408"	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""
"123"	"75"	""	"317"	""	""	"8"	""	""	"86"	""	""	""	"79"	""	""	"2"	""	""	"3"	""	""	"5"	""	""	""	"9"	""	""	""	"4"	""	""	""	"0"	""	""	"17"	""	""	""	"530"	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""
"124"	"76"	""	"241"	""	""	"1"	""	""	"36"	""	""	""	"49"	""	""	"3"	""	""	"2"	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"5"	""	""	"11"	""	""	""	"354"	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""
"125"	"77"	""	"216"	""	""	"16"	""	""	"77"	""	""	""	"43"	""	""	"2"	""	""	"5"	""	""	"1"	""	""	""	"3"	""	""	""	"4"	""	""	""	"4"	""	""	"11"	""	""	""	"382"	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""
"126"	"77A"	""	"73"	""	""	"4"	""	""	"115"	""	""	""	"117"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"4"	""	""	""	"6"	""	""	""	"3"	""	""	"3"	""	""	""	"328"	""	""	""	""	""	"328"	""	""	""	""	""	""	""	""
"127"	"78"	""	"360"	""	""	"2"	""	""	"78"	""	""	""	"36"	""	""	"2"	""	""	"0"	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	"7"	""	""	""	"491"	""	""	""	""	""	"491"	""	""	""	""	""	""	""	""
"128"	"79"	""	"223"	""	""	"3"	""	""	"60"	""	""	""	"9"	""	""	"2"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	"6"	""	""	""	"307"	""	""	""	""	""	"307"	""	""	""	""	""	""	""	""
"129"	"80"	""	"129"	""	""	"23"	""	""	"60"	""	""	""	"19"	""	""	"1"	""	""	"1"	""	""	"4"	""	""	""	"3"	""	""	""	"4"	""	""	""	"0"	""	""	"8"	""	""	""	"252"	""	""	""	""	""	"252"	""	""	""	""	""	""	""	""
"130"	"81"	""	"77"	""	""	"22"	""	""	"90"	""	""	""	"247"	""	""	"8"	""	""	"1"	""	""	"1"	""	""	""	"5"	""	""	""	"3"	""	""	""	"5"	""	""	"11"	""	""	""	"470"	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""
"131"	"Total"	""	"2499"	""	""	"136"	""	""	"1263"	""	""	""	"1206"	""	""	"144"	""	""	"25"	""	""	"17"	""	""	""	"73"	""	""	""	"57"	""	""	""	"45"	""	""	"135"	""	""	""	"5600"	""	""	""	""	""	"5600"	""	"0"	""	""	""	""	""	""
"132"	"Till Last Round"	""	"13645"	""	""	"708"	""	""	"3538"	""	""	""	"6899"	""	""	"620"	""	""	"127"	""	""	"102"	""	""	""	"276"	""	""	""	"262"	""	""	""	"239"	""	""	"745"	""	""	""	"27161"	""	""	"0"	""	""	"27161"	""	"0"	""	""	""	""	""	""
"133"	"Grand Total"	""	"16144"	""	""	"844"	""	""	"4801"	""	""	""	"8105"	""	""	"764"	""	""	"152"	""	""	"119"	""	""	""	"349"	""	""	""	"319"	""	""	""	"284"	""	""	"880"	""	""	""	"32761"	""	""	"0"	""	""	"32761"	""	"0"	""	""	""	""	""	""
"134"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-7
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Serial no. of polling station"	""	"ANIL KUMAR"	""	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	""	"SHYAM DEO SINGH"	""	""	"JITENDRA KUMAR"	""	""	"ANIL KUMAR"	""	""	"DAMYANTI DEVI"	""	""	""	"BHUSHAN PRASAD"	""	""	"MUNNA CHOUDHARY"	""	""	""	""	"RAGHUNANDAN PRASAD"	""	""	"RAMESH SHARMA"	""	""	""	"Total of Valid Votes"	""	""	"No. of
rejected votes"	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"139"	"82"	""	"161"	""	""	"1"	""	""	"154"	""	""	""	"61"	""	""	"4"	""	""	"0"	""	""	"1"	""	""	""	"9"	""	""	"7"	""	""	""	""	"3"	""	""	"7"	""	""	""	"408"	""	""	""	""	""	"408"	""	""	""	""	""	""	""	""
"140"	"82A"	""	"56"	""	""	"3"	""	""	"102"	""	""	""	"82"	""	""	"5"	""	""	"2"	""	""	"1"	""	""	""	"6"	""	""	"5"	""	""	""	""	"1"	""	""	"2"	""	""	""	"265"	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""
"141"	"83"	""	"84"	""	""	"11"	""	""	"82"	""	""	""	"42"	""	""	"3"	""	""	"0"	""	""	"2"	""	""	""	"6"	""	""	"3"	""	""	""	""	"1"	""	""	"8"	""	""	""	"242"	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""
"142"	"84"	""	"441"	""	""	"6"	""	""	"8"	""	""	""	"74"	""	""	"1"	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	""	"2"	""	""	"20"	""	""	""	"557"	""	""	""	""	""	"557"	""	""	""	""	""	""	""	""
"143"	"85"	""	"133"	""	""	"5"	""	""	"33"	""	""	""	"164"	""	""	"11"	""	""	"1"	""	""	"3"	""	""	""	"3"	""	""	"2"	""	""	""	""	"4"	""	""	"12"	""	""	""	"371"	""	""	""	""	""	"371"	""	""	""	""	""	""	""	""
"144"	"86"	""	"135"	""	""	"14"	""	""	"66"	""	""	""	"145"	""	""	"14"	""	""	"2"	""	""	"1"	""	""	""	"9"	""	""	"12"	""	""	""	""	"5"	""	""	"10"	""	""	""	"413"	""	""	""	""	""	"413"	""	""	""	""	""	""	""	""
"145"	"87"	""	"120"	""	""	"1"	""	""	"8"	""	""	""	"21"	""	""	"1"	""	""	"2"	""	""	"0"	""	""	""	"7"	""	""	"2"	""	""	""	""	"4"	""	""	"362"	""	""	""	"528"	""	""	""	""	""	"528"	""	""	""	""	""	""	""	""
"146"	"88"	""	"78"	""	""	"48"	""	""	"174"	""	""	""	"17"	""	""	"2"	""	""	"4"	""	""	"3"	""	""	""	"9"	""	""	"10"	""	""	""	""	"6"	""	""	"25"	""	""	""	"376"	""	""	""	""	""	"376"	""	""	""	""	""	""	""	""
"147"	"89"	""	"122"	""	""	"4"	""	""	"91"	""	""	""	"96"	""	""	"2"	""	""	"2"	""	""	"0"	""	""	""	"4"	""	""	"3"	""	""	""	""	"3"	""	""	"21"	""	""	""	"348"	""	""	""	""	""	"348"	""	""	""	""	""	""	""	""
"148"	"90"	""	"366"	""	""	"3"	""	""	"40"	""	""	""	"115"	""	""	"4"	""	""	"1"	""	""	"2"	""	""	""	"4"	""	""	"1"	""	""	""	""	"9"	""	""	"11"	""	""	""	"556"	""	""	""	""	""	"556"	""	""	""	""	""	""	""	""
"149"	"91"	""	"188"	""	""	"0"	""	""	"54"	""	""	""	"38"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	""	"1"	""	""	"2"	""	""	""	"286"	""	""	""	""	""	"286"	""	""	""	""	""	""	""	""
"150"	"92"	""	"20"	""	""	"2"	""	""	"125"	""	""	""	"184"	""	""	"6"	""	""	"7"	""	""	"3"	""	""	""	"9"	""	""	"9"	""	""	""	""	"7"	""	""	"15"	""	""	""	"387"	""	""	""	""	""	"387"	""	""	""	""	""	""	""	""
"151"	"93"	""	"140"	""	""	"8"	""	""	"166"	""	""	""	"128"	""	""	"8"	""	""	"4"	""	""	"3"	""	""	""	"8"	""	""	"8"	""	""	""	""	"5"	""	""	"9"	""	""	""	"487"	""	""	""	""	""	"487"	""	""	""	""	""	""	""	""
"152"	"94"	""	"84"	""	""	"1"	""	""	"55"	""	""	""	"280"	""	""	"20"	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	"3"	""	""	""	""	"1"	""	""	"3"	""	""	""	"452"	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""
"153"	"Total"	""	"2128"	""	""	"107"	""	""	"1158"	""	""	""	"1447"	""	""	"82"	""	""	"28"	""	""	"21"	""	""	""	"80"	""	""	"66"	""	""	""	""	"52"	""	""	"507"	""	""	""	"5676"	""	""	""	""	""	"5676"	""	"0"	""	""	""	""	""	""
"154"	"Till Last Round"	""	"16144"	""	""	"844"	""	""	"4801"	""	""	""	"8105"	""	""	"764"	""	""	"152"	""	""	"119"	""	""	""	"349"	""	""	"319"	""	""	""	""	"284"	""	""	"880"	""	""	""	"32761"	""	""	"0"	""	""	"32761"	""	"0"	""	""	""	""	""	""
"155"	"Grand Total"	""	"18272"	""	""	"951"	""	""	"5959"	""	""	""	"9552"	""	""	"846"	""	""	"180"	""	""	"140"	""	""	""	"429"	""	""	"385"	""	""	""	""	"336"	""	""	"1387"	""	""	""	"38437"	""	""	"0"	""	""	"38437"	""	"0"	""	""	""	""	""	""
"156"	"Place :- Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"[ FORM 20 ]
FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 194-BIKRAM ASSEMBLY CONSTITUNECY
ROUND-8
PART 1
(To be used both for Parliamentary and Assembly elections) Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 194-BIKRAM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"Serial no. of polling station"	""	"ANIL KUMAR"	""	""	"DEVI DAYAL PANDIT"	""	""	"SHAILESH KUMAR SINGH"	""	""	"SHYAM DEO SINGH"	""	""	""	"JITENDRA KUMAR"	""	"ANIL KUMAR"	""	""	""	"DAMYANTI DEVI"	""	""	"BHUSHAN PRASAD"	""	""	""	"MUNNA CHOUDHARY"	""	""	""	""	"RAGHUNANDAN PRASAD"	""	""	"RAMESH SHARMA"	""	""	"Total of Valid Votes"	""	""	""	"No. of
rejected votes"	""	""	"Total"	""	"No. of tendered votes"	""	""	""	""	""	""
"161"	"95"	""	"191"	""	""	"0"	""	""	"167"	""	""	"60"	""	""	""	"3"	""	"2"	""	""	""	"3"	""	""	"3"	""	""	""	"6"	""	""	""	""	"2"	""	""	"14"	""	""	"451"	""	""	""	""	""	""	"451"	""	""	""	""	""	""	""	""
"162"	"95A"	""	"90"	""	""	"7"	""	""	"75"	""	""	"19"	""	""	""	"1"	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	"4"	""	""	"197"	""	""	""	""	""	""	"197"	""	""	""	""	""	""	""	""
"163"	"96"	""	"155"	""	""	"12"	""	""	"211"	""	""	"36"	""	""	""	"2"	""	"0"	""	""	""	"1"	""	""	"9"	""	""	""	"10"	""	""	""	""	"2"	""	""	"12"	""	""	"450"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""
"164"	"97"	""	"204"	""	""	"2"	""	""	"154"	""	""	"50"	""	""	""	"0"	""	"1"	""	""	""	"6"	""	""	"4"	""	""	""	"1"	""	""	""	""	"8"	""	""	"0"	""	""	"430"	""	""	""	""	""	""	"430"	""	""	""	""	""	""	""	""
