"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(CHAPTER XIV, PARA 25.9 FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-ARRAH PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Total No. of Electors in Assembly Constituency/Segment                          250546"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly/Segment                                                                   198-Ara"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"(in the case of election from a Parliamentary Constituency) 275AB"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"126"	"100A"	"SARKARI GRAM KACHHARI JAMIRA(MOBILE)"	"10"	"145"	"152"	"4"	"34"	"0"	"1"	"3"	"2"	"3"	"0"	"4"	"9"	"367"	"0"	"367"	"0"
"127"	"101"	"PRIMARY SCHOOL LAXMANPUR"	"23"	"208"	"60"	"12"	"171"	"7"	"13"	"13"	"6"	"2"	"4"	"5"	"6"	"530"	"0"	"530"	"0"
"128"	"102"	"PRIMARY SCHOOL ALIPUR"	"5"	"445"	"7"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"462"	"0"	"462"	"0"
"129"	"103"	"SAMUDAYIK HARIJAN DALAN,ALIPUR"	"29"	"101"	"89"	"10"	"90"	"7"	"3"	"9"	"2"	"5"	"5"	"3"	"5"	"358"	"0"	"358"	"0"
"130"	"104"	"PRIMARY SCHOOL HASANPURA"	"18"	"48"	"592"	"29"	"55"	"4"	"0"	"5"	"1"	"1"	"0"	"2"	"5"	"760"	"0"	"760"	"0"
"131"	"105"	"HARIJAN DALAN PIPARHIYAN"	"6"	"15"	"703"	"10"	"4"	"2"	"4"	"1"	"2"	"0"	"2"	"0"	"1"	"750"	"0"	"750"	"0"
"132"	"106"	"MIDDLE SCHOOL GOTHHULA(N)"	"96"	"62"	"109"	"9"	"32"	"3"	"5"	"3"	"8"	"9"	"6"	"1"	"16"	"359"	"0"	"359"	"0"
"133"	"106A"	"MIDDLE SCHOOL GOTHHULA(S)"	"42"	"82"	"173"	"8"	"41"	"4"	"3"	"2"	"3"	"1"	"2"	"9"	"12"	"382"	"0"	"382"	"0"
"134"	"107"	"PRIMARY SCHOOL BARAULI"	"7"	"129"	"278"	"58"	"28"	"1"	"5"	"3"	"1"	"0"	"0"	"2"	"3"	"515"	"0"	"515"	"0"
"135"	"108"	"MIDDLE SCHOOL KARWAN(E)"	"17"	"197"	"3"	"2"	"76"	"1"	"0"	"2"	"0"	"0"	"0"	"3"	"2"	"303"	"0"	"303"	"0"
"136"	"108A"	"MIDDLE SCHOOL KARWAN(W)"	"46"	"147"	"46"	"0"	"206"	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"450"	"0"	"450"	"0"
"137"	"109"	"PRIMARY SCHOOL BHUSUHULA"	"20"	"54"	"249"	"10"	"20"	"1"	"0"	"5"	"2"	"2"	"6"	"0"	"8"	"377"	"0"	"377"	"0"
"138"	"110"	"URDU MIDDLE SCHOOL BALBATRA(MIDDLE PART)"	"12"	"31"	"482"	"4"	"9"	"1"	"0"	"0"	"1"	"1"	"4"	"0"	"5"	"550"	"0"	"550"	"0"
"139"	"111"	"URDU MIDDLE SCHOOL BALBATRA(MIDDLE PART)"	"9"	"35"	"299"	"2"	"1"	"2"	"2"	"1"	"2"	"1"	"5"	"1"	"3"	"363"	"0"	"363"	"0"
"140"	"111A"	"URDU MIDDLE SCHOOL BALBATRA (MOBILE)"	"19"	"46"	"251"	"3"	"7"	"4"	"3"	"1"	"2"	"2"	"2"	"3"	"6"	"349"	"0"	"349"	"0"
"141"	"112"	"URDU MIDDLE SCHOOL BALBATRA(SOUTHERN PART)"	"2"	"10"	"265"	"6"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"288"	"0"	"288"	"0"
"142"	"113"	"PARDA KANYA MIDDLE SCHOOL BINDTOLI(EASTERN PART)"	"16"	"268"	"84"	"2"	"37"	"4"	"4"	"1"	"1"	"4"	"2"	"2"	"7"	"432"	"0"	"432"	"0"
"143"	"114"	"PARDA KANYA MIDDLE SCHOOL BINDTOLI(NORTHERN PART)"	"13"	"215"	"100"	"3"	"26"	"8"	"8"	"4"	"1"	"2"	"1"	"2"	"11"	"394"	"0"	"394"	"0"
"144"	"114A"	"PARDA KANYA MIDDLE SCHOOL SANKUL SANSADHAN BUILDING CENTRE"	"13"	"144"	"149"	"2"	"7"	"0"	"4"	"0"	"1"	"1"	"1"	"1"	"11"	"334"	"0"	"334"	"0"
"145"	"115"	"BRANCH OFFICE ELECTRIC DEPTT. BANSTAL"	"12"	"306"	"108"	"0"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"441"	"0"	"441"	"0"
"146"	"116"	"SANSKRIT HIGH SCHOOL MAJHUWAN(NORTHERN PART)"	"28"	"189"	"124"	"1"	"25"	"0"	"4"	"7"	"1"	"2"	"2"	"3"	"29"	"415"	"0"	"415"	"0"
"147"	"117"	"SANSKRIT HIGH SCHOOL MAJHUWAN(SOUTHERN PART)"	"12"	"299"	"22"	"1"	"5"	"1"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"345"	"0"	"345"	"0"
"148"	"118"	"SANSKRIT HIGH SCHOOL MAJHUWAN(MIDDLE PART)"	"8"	"324"	"43"	"3"	"16"	"7"	"6"	"7"	"4"	"1"	"4"	"2"	"8"	"433"	"0"	"433"	"0"
"149"	"119"	"GURUNANAK ABHYASARTH MIDDLE SCHOOL MAULABAG(NORTHERN PART)"	"11"	"210"	"86"	"3"	"20"	"8"	"2"	"5"	"3"	"1"	"1"	"2"	"3"	"355"	"0"	"355"	"0"
"150"	"120"	"GURUNANAK ABHAYASARTH MIDDLE SCHOOL MAULABAG(SOUTHERN PART)"	"4"	"387"	"90"	"0"	"12"	"2"	"2"	"17"	"0"	"1"	"1"	"2"	"1"	"519"	"0"	"519"	"0"
"151"	"121"	"GURUNANAK ABHAYASARATH MIDDLE SCHOOL,MAULABAG(MIDDLE PART)"	"3"	"206"	"122"	"3"	"11"	"0"	"2"	"5"	"2"	"0"	"1"	"1"	"3"	"359"	"0"	"359"	"0"
"152"	"122"	"NAGARPALIKA OFFICE,ARA"	"4"	"188"	"94"	"3"	"71"	"3"	"0"	"9"	"0"	"0"	"0"	"2"	"3"	"377"	"0"	"377"	"0"
"153"	"123"	"SALETAX OFFICE BHAWAN,ARA(NORTHERN PART)"	"6"	"157"	"74"	"2"	"23"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"1"	"269"	"0"	"269"	"0"
"154"	"124"	"SALETAX OFFICE BHAWAN,ARA(SOUTHERN PART)"	"7"	"189"	"184"	"4"	"43"	"0"	"5"	"3"	"3"	"0"	"3"	"5"	"13"	"459"	"0"	"459"	"0"
"155"	"125"	"ARA TOWN HIGH SCHOOL DRILLSHED(NORTHERN PART)"	"5"	"235"	"170"	"3"	"20"	"1"	"1"	"3"	"1"	"0"	"1"	"1"	"11"	"452"	"0"	"452"	"0"
"156"	"126"	"ARA TOWN HIGH SCHOOL DRILLSHED(SOUTHERN PART)"	"15"	"254"	"191"	"4"	"8"	"2"	"0"	"1"	"1"	"0"	"1"	"2"	"5"	"484"	"0"	"484"	"0"
"157"	"127"	"ARA TOWN HIGH SCHOOL(MIDDLE PART)"	"5"	"369"	"212"	"6"	"14"	"0"	"4"	"3"	"1"	"1"	"2"	"2"	"0"	"619"	"0"	"619"	"0"
"158"	"128"	"MADRASA BAHIDIYA TARI MOHLLA"	"2"	"108"	"142"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"1"	"260"	"0"	"260"	"0"
"159"	"129"	"SHISHU BHAWAN ARA(MIDDLE PART)"	"5"	"413"	"34"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"466"	"0"	"466"	"0"
"160"	"130"	"SHISHU BHAWAN ARA(WESTERN PART)"	"2"	"262"	"62"	"2"	"7"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"4"	"342"	"0"	"342"	"0"
"161"	"131"	"HARPRASAD JAIN HIGH SCHOOL ARA"	"1"	"220"	"74"	"3"	"25"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"4"	"334"	"0"	"334"	"0"
"162"	"132"	"BHUNESHWARI MIDDLE SCHOOL MAHAJANI SCHOOL ARA(SOUTHERN PART)"	"10"	"337"	"73"	"12"	"53"	"3"	"1"	"1"	"1"	"2"	"1"	"2"	"5"	"501"	"0"	"501"	"0"
"163"	"133"	"BHUNESHWARI MIDDLE SCHOOL MAHAJANI SCHOOL ARA(NORTHERN PART)"	"11"	"233"	"63"	"3"	"72"	"1"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"390"	"0"	"390"	"0"
"164"	"134"	"MAHANT MAHADEVA NAND GIRI MAHILA COLLEGE ARA"	"17"	"283"	"60"	"1"	"18"	"0"	"0"	"2"	"0"	"5"	"0"	"0"	"1"	"387"	"0"	"387"	"0"
"165"	"135"	"NEMICHAND SHASHTRI KANYA HIGH SCHOOL BABU BAZAR ARA"	"7"	"319"	"124"	"6"	"15"	"2"	"1"	"6"	"2"	"1"	"0"	"4"	"10"	"497"	"0"	"497"	"0"
"166"	"136"	"SERVEY OFFICE NEAR MOHAN CINEMA ARA"	"5"	"355"	"58"	"3"	"22"	"0"	"0"	"3"	"2"	"0"	"1"	"4"	"5"	"458"	"0"	"458"	"0"
"167"	"137"	"YADAV VIDYAPITH MAULABAG ARA"	"3"	"305"	"45"	"2"	"6"	"0"	"0"	"34"	"2"	"1"	"5"	"2"	"0"	"405"	"0"	"405"	"0"
"168"	"138"	"HARIJAN AWASIYE SCHOOL MAULABAG ARA(SOUTHERN PART)"	"15"	"379"	"115"	"1"	"26"	"3"	"3"	"17"	"2"	"0"	"7"	"3"	"6"	"577"	"0"	"577"	"0"
"169"	"139"	"HARIJAN AWASIYE SCHOOL MAULABAG ARA(EASTERN PART)"	"14"	"230"	"117"	"8"	"39"	"3"	"2"	"9"	"0"	"1"	"0"	"0"	"3"	"426"	"0"	"426"	"0"
"170"	"140"	"HARIJAN AWASIYE SCHOOL MAULABAG ARA(WESTERN PART)"	"23"	"217"	"231"	"2"	"17"	"8"	"2"	"8"	"2"	"2"	"4"	"3"	"6"	"525"	"0"	"525"	"0"
"171"	"141"	"JAGJIWAN COLLEGE ARA"	"13"	"361"	"56"	"1"	"27"	"1"	"4"	"0"	"0"	"0"	"1"	"1"	"3"	"468"	"0"	"468"	"0"
"172"	"142"	"SAWTEL MEMORIAL G.H.S.(SOUTHREN PART)"	"37"	"162"	"71"	"5"	"35"	"3"	"1"	"4"	"3"	"3"	"1"	"1"	"6"	"332"	"0"	"332"	"0"
"173"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"174"	"No"	"Booth Name"	"LJP"	"BJP"	"RJD"	"BSP"	"CPI(ML)(L)"	"JKM"	"ABJS"	"RSP"	"IND"	""	""	""	""	""	""	""	""
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"176"	"142A"	"SAWTEL MEMORIAL G.H.S.(WESTERN PART)"	"16"	"171"	"62"	"1"	"38"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"295"	"0"	"295"	"0"
"177"	"143"	"SAHJANAND BARHAMRISHI COLLEGE ARA(EASTERN PART)"	"6"	"232"	"49"	"3"	"21"	"0"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"319"	"0"	"319"	"0"
"178"	"144"	"SAHJANAND BRAHAMRISHI COLLEGE ARA(WESTERN PART)"	"2"	"285"	"27"	"0"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"328"	"0"	"328"	"0"
"179"	"145"	"SAHJANAND BARHAMRISHI COLLEGE ARA (MIDDLE PART)"	"18"	"177"	"138"	"6"	"19"	"2"	"1"	"2"	"2"	"3"	"1"	"3"	"10"	"382"	"0"	"382"	"0"
"180"	"146"	"PRIMARY SCHOOL PAKRI ARA"	"15"	"305"	"177"	"3"	"17"	"3"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"530"	"0"	"530"	"0"
"181"	"147"	"URDU PRIMARY SCHOOL PAKRI ARA"	"97"	"213"	"189"	"4"	"28"	"5"	"7"	"7"	"3"	"9"	"10"	"8"	"17"	"597"	"0"	"597"	"0"
"182"	"148"	"PRIMARY SCHOOL CHANDWA ARA(NORTHERN PART)"	"9"	"268"	"142"	"7"	"90"	"9"	"6"	"5"	"1"	"1"	"2"	"4"	"5"	"549"	"0"	"549"	"0"
"183"	"149"	"PRIMARY SCHOOL CHANDWA ARA(SOUTHERN PART)"	"14"	"127"	"102"	"7"	"65"	"7"	"4"	"8"	"2"	"3"	"1"	"5"	"13"	"358"	"0"	"358"	"0"
"184"	"150"	"PRIMARY SCHOOL CHANDWA ARA(MIDDLE PART)"	"24"	"184"	"50"	"7"	"34"	"0"	"1"	"3"	"2"	"4"	"0"	"0"	"1"	"310"	"0"	"310"	"0"
"185"	"151"	"DIST.AGRICULTURE OFFICE MAHARAJA HATTA(MIDDLE PART ARA"	"0"	"183"	"8"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"195"	"0"	"195"	"0"
"186"	"151A"	"GARAGE OF DIST.AGRICULTURE OFFICE MAHARAJA HATTA(EAST PART)"	"4"	"206"	"44"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"260"	"0"	"260"	"0"
"187"	"152"	"DIST.AGRICLUTURE OFFICE MAHARAJA HATTA(WESTERN PART)ARA"	"5"	"333"	"27"	"1"	"5"	"0"	"0"	"4"	"1"	"0"	"1"	"2"	"2"	"381"	"0"	"381"	"0"
"188"	"153"	"DIST.AGRICULTURE OFFICE MAHARAJA HATTA(EASTERN PART)ARA"	"2"	"360"	"6"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"372"	"0"	"372"	"0"
"189"	"154"	"BLOCK OFFICE ARA(EASTERN PART)"	"2"	"280"	"29"	"1"	"10"	"1"	"0"	"7"	"1"	"0"	"0"	"2"	"0"	"333"	"0"	"333"	"0"
"190"	"155"	"BLOCK OFFICE ARA(WESTERN PART)"	"2"	"229"	"12"	"0"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"252"	"0"	"252"	"0"
"191"	"156"	"TRANING &PRODUCTION CENTRE ARA BLOCK(NORTHERN PART)"	"4"	"264"	"19"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"292"	"0"	"292"	"0"
"192"	"157"	"TRANING & PRODUCTION CENTRE ARA BLOCK(SOUTHERN PART)"	"1"	"242"	"10"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"256"	"0"	"256"	"0"
"193"	"158"	"DIST.VETNARY OFFICE CLUB ROAD ARA"	"3"	"305"	"72"	"1"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"386"	"0"	"386"	"0"
"194"	"159"	"RAJKIYA KANYA HIGH SCHOOL ARA"	"2"	"227"	"14"	"0"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"2"	"250"	"0"	"250"	"0"
"195"	"160"	"MAHARAJA COLLEGE ARA(WESTERN PART)"	"2"	"263"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"271"	"0"	"271"	"0"
"196"	"161"	"MAHARAJA COLLEGE ARA(EASTERN PART)"	"2"	"208"	"11"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"231"	"0"	"231"	"0"
"197"	"162"	"MIDDLE SCHOOL NAWADA(NORTHERN PART)ARA"	"6"	"211"	"137"	"3"	"75"	"1"	"1"	"3"	"0"	"1"	"2"	"4"	"3"	"447"	"0"	"447"	"0"
"198"	"163"	"MIDDLE SCHOOL NAWADA(SOUTHERN PART)ARA"	"10"	"201"	"128"	"0"	"68"	"3"	"2"	"1"	"1"	"0"	"3"	"2"	"1"	"420"	"0"	"420"	"0"
"199"	"164"	"MIDDLE SCHOOL NAWADA(NAYA BHAWAN)ARA"	"10"	"229"	"96"	"0"	"46"	"1"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"388"	"0"	"388"	"0"
"200"	"165"	"LOKNIRMAN PARMANDAL ARA(NORTHERN PART)"	"10"	"134"	"71"	"5"	"48"	"0"	"2"	"3"	"0"	"4"	"3"	"4"	"3"	"287"	"0"	"287"	"0"
"201"	"166"	"LOK NIRMAN PARMANDAL(SOUTHERN PART)ARA"	"2"	"288"	"162"	"3"	"77"	"1"	"2"	"1"	"1"	"1"	"1"	"2"	"2"	"543"	"0"	"543"	"0"
"202"	"167"	"MIDDLE SCHOOL KARMAN TOLA(NORTHERN PART)ARA"	"21"	"302"	"124"	"4"	"60"	"3"	"6"	"7"	"0"	"1"	"2"	"10"	"7"	"547"	"0"	"547"	"0"
"203"	"168"	"MIDDLE SCHOOL KARMAN TOLA(SOUTHERN PART)ARA"	"6"	"216"	"68"	"4"	"80"	"1"	"1"	"3"	"1"	"3"	"0"	"2"	"9"	"394"	"0"	"394"	"0"
"204"	"169"	"LAWARIS SEWA KENDRA ARA(NOTHERN PART)"	"8"	"215"	"81"	"2"	"56"	"1"	"1"	"4"	"3"	"1"	"2"	"3"	"2"	"379"	"0"	"379"	"0"
"205"	"170"	"LAWARIS SEWA KENDRA ARA(SOUTHERN PART)"	"10"	"338"	"31"	"2"	"16"	"3"	"0"	"4"	"0"	"1"	"1"	"1"	"2"	"409"	"0"	"409"	"0"
"206"	"171"	"LAWARIS SEWA KENDRA ARA(MIDDLE PART)"	"1"	"191"	"21"	"2"	"15"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"231"	"0"	"231"	"0"
"207"	"172"	"D.A.V.PUBLIC HIGH SCHOOL(EASTERN PART)ARA"	"132"	"97"	"18"	"13"	"260"	"2"	"5"	"9"	"3"	"4"	"3"	"1"	"11"	"558"	"0"	"558"	"0"
"208"	"173"	"D.A.V.PUBLIC HIGH SCHOOL(NORTHMIDDLE PART)ARA"	"3"	"196"	"15"	"2"	"35"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"3"	"256"	"0"	"256"	"0"
"209"	"174"	"D.A.V.HIGH PUBLIC HIGH SCHOOL)WESTERN PART)ARA"	"53"	"119"	"17"	"4"	"110"	"4"	"2"	"3"	"3"	"5"	"4"	"1"	"9"	"334"	"0"	"334"	"0"
"210"	"175"	"BASANTLAL DHARAMSALA ARA(NORTHERN PART)"	"21"	"423"	"116"	"4"	"55"	"4"	"4"	"5"	"3"	"0"	"6"	"4"	"10"	"655"	"0"	"655"	"0"
"211"	"176"	"BASANTLAL DHARAMSALA ARA(SOUTHERN PART)"	"15"	"349"	"86"	"5"	"37"	"4"	"4"	"8"	"1"	"2"	"2"	"2"	"3"	"518"	"0"	"518"	"0"
"212"	"177"	"INDU TAPESHWAR MAHILA COLLEGE(WESTERN PART)ARA"	"1"	"235"	"26"	"1"	"8"	"2"	"2"	"5"	"0"	"0"	"0"	"2"	"1"	"283"	"0"	"283"	"0"
"213"	"178"	"INDU TAPESHWAR MAHILA COLLEGE(MIDDLE PART)ARA"	"15"	"240"	"59"	"2"	"30"	"0"	"4"	"0"	"0"	"3"	"1"	"3"	"4"	"361"	"0"	"361"	"0"
"214"	"179"	"INDU TAPESHWAR MAHILA COLLEGE(EASTERN PART)"	"54"	"96"	"156"	"4"	"13"	"1"	"3"	"2"	"2"	"3"	"6"	"4"	"12"	"356"	"0"	"356"	"0"
"215"	"180"	"PRIMARY SCHOOL SHIVGANJ ARA"	"3"	"154"	"61"	"3"	"7"	"1"	"4"	"1"	"1"	"0"	"4"	"0"	"2"	"241"	"0"	"241"	"0"
"216"	"181"	"ARA MAINA SUNDER DHARAMSALA (EASTERN PART)ARA"	"5"	"324"	"80"	"0"	"16"	"2"	"0"	"1"	"0"	"0"	"2"	"1"	"5"	"436"	"0"	"436"	"0"
"217"	"182"	"ARA MAINA SUNDER DHARAMSALA(WESTERN PART)ARA"	"11"	"214"	"55"	"0"	"13"	"0"	"3"	"3"	"2"	"2"	"4"	"7"	"8"	"322"	"0"	"322"	"0"
"218"	"183"	"HAR PRASAD DAS JAIN DHARAMSALA(NORTHERN PART)ARA"	"1"	"311"	"8"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"336"	"0"	"336"	"0"
"219"	"184"	"HARPRASAD DAS JAIN DHARAMSALA(SOUTHERN PART)"	"19"	"354"	"98"	"1"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"1"	"481"	"0"	"481"	"0"
"220"	"185"	"MANIKCHAND SCHOOL ARA(EASTERN PART)"	"5"	"447"	"66"	"3"	"13"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"542"	"0"	"542"	"0"
"221"	"186"	"MANIKCHAND SCHOOL ARA(WESTERN PART)"	"7"	"307"	"59"	"2"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"387"	"0"	"387"	"0"
"222"	"187"	"URDU PRIMARY SCHOOL KHETARI ARA"	"12"	"4"	"361"	"3"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"385"	"0"	"385"	"0"
"223"	"188"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(NORTHERN PART)ARA"	"9"	"111"	"327"	"6"	"45"	"3"	"2"	"2"	"1"	"2"	"1"	"3"	"3"	"515"	"0"	"515"	"0"
"224"	"189"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(SOUTHERN SCHOOL)ARA"	"3"	"50"	"210"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"0"	"270"	"0"
"225"	"190"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(EASTERN PART)ARA"	"3"	"188"	"32"	"3"	"50"	"2"	"2"	"3"	"0"	"2"	"2"	"0"	"2"	"289"	"0"	"289"	"0"
"226"	"191"	"AMIRCHAND AGARWAL GIRLS HIGH SCHOOL(WESTERN PART)ARA"	"12"	"245"	"111"	"3"	"27"	"0"	"2"	"2"	"1"	"3"	"2"	"1"	"1"	"410"	"0"	"410"	"0"
"227"	"192"	"URDU PRIMARY SCHOOL RAUJA(NORTHERN PART)ARA"	"22"	"57"	"325"	"2"	"21"	"2"	"0"	"1"	"11"	"4"	"2"	"0"	"2"	"449"	"0"	"449"	"0"
"228"	"193"	"URDU PRIMARY SCHOOL RAUJA(SOUTHERN PART)ARA"	"45"	"72"	"199"	"4"	"9"	"0"	"2"	"0"	"6"	"0"	"1"	"0"	"5"	"343"	"0"	"343"	"0"
"229"	"193A"	"URDU PRIMARY SCHOOL RAUJA ARA(MOBILE)"	"10"	"130"	"102"	"3"	"32"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"6"	"289"	"0"	"289"	"0"
"230"	"194"	"BABY GARDEN SCHOOL ARA"	"9"	"74"	"206"	"5"	"10"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"309"	"0"	"309"	"0"
"231"	"195"	"PRIMARY SCHOOL RAUJA(EASTERN PART)ARA"	"22"	"86"	"221"	"6"	"4"	"1"	"1"	"2"	"1"	"1"	"1"	"2"	"5"	"353"	"0"	"353"	"0"
"232"	"196"	"PRIMARY SCHOOL RAUJA(WESTREN PART)ARA"	"13"	"232"	"88"	"6"	"10"	"7"	"1"	"2"	"0"	"1"	"3"	"5"	"1"	"369"	"0"	"369"	"0"
"233"	"Booth"	"ABDUL AHAD"	""	"AMRENDRA
PRATAP SINGH"	"MD.
NAWAJ ALAM"	"VINOD
KUMAR PANDEY"	"SUDAMA PRASAD"	"JAIRAM PRASAD"	"RAJENDRA UPADHYAY"	"SHIV
KUMAR SAHAY"	"FAISHON AHMAD"	"MANOJ KUMAR
IND"	"RAKESH KUMAR
IND"	"SHAMBHU PRASAD SHARMA
IND"	"SUSHIL VIKRANT
IND"	"Total  of Valid Votes"	"No. of rejected votes"	"Total"	"No.
Tendered Votes"
"234"	"No"	"Booth Name"	"LJP"	"BJP"	"RJD"	"BSP"	"CPI(ML)(L)"	"JKM"	"ABJS"	"RSP"	"IND"	""	""	""	""	""	""	""	""
"235"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"236"	"197"	"PRIMARY SCHOOL AHIRPURWA ARA"	"21"	"336"	"315"	"11"	"14"	"3"	"3"	"5"	"1"	"2"	"7"	"6"	"3"	"727"	"0"	"727"	"0"
"237"	"198"	"SANJAY COLLEGE DHARHARA ARA"	"9"	"166"	"116"	"0"	"9"	"1"	"2"	"2"	"0"	"1"	"0"	"2"	"2"	"310"	"0"	"310"	"0"
"238"	"199"	"AMAR ADARSH MIDDLE SCHOOL RAMGARHIYA(EASTERN PART)ARA"	"16"	"560"	"22"	"3"	"12"	"0"	"1"	"4"	"1"	"1"	"0"	"2"	"3"	"625"	"0"	"625"	"0"
"239"	"200"	"AMAR ADARSH MIDDLE SCHOOL RAMGARHIYA(WESTERN PART)ARA"	"6"	"444"	"44"	"3"	"4"	"1"	"4"	"1"	"1"	"0"	"2"	"5"	"4"	"519"	"0"	"519"	"0"
"240"	"201"	"ANDHA SCHOOL DHARHARA ARA(NORTHERN PART)"	"9"	"131"	"343"	"3"	"4"	"1"	"3"	"0"	"2"	"1"	"5"	"4"	"2"	"508"	"0"	"508"	"0"
"241"	"202"	"ANDHA SCHOOL DHARHARA ARA(SOUTHERN PART)"	"7"	"37"	"291"	"3"	"20"	"0"	"1"	"2"	"3"	"0"	"1"	"1"	"1"	"367"	"0"	"367"	"0"
